District,Bldg I.D.,Building Name,Bldg Enroll,Bldg Adjusted Capacity(Historical),Bldg Over/Under(Historical),Bldg Utilization(Historical),Bldg Capacity(Target),Bldg Over/Under(Target),Bldg Utilization(Target),Org ID,Organization Name,Org Enroll,Org Adjusted Capacity(Historical),Org Over/Under(Historical),Org Utilization(Historical),Org Adjusted Capacity(Target),Org Over Under(Target),Org Utilization(Target),No. of Spec rooms used,Inclusionary
2,M535,PARK WEST HS (ECF) - MANHATTAN,0,0,0,0,0,0,0,M303,FACING HISTORY SCHOOL - MANHATTAN ,451,520,-69,87,479,-28,94,0,
2,M535,PARK WEST HS (ECF) - MANHATTAN,0,0,0,0,0,0,0,M542,MANHATTAN BRIDGES - MANHATTAN     ,541,687,-146,79,659,-118,82,9,
2,M600,FASHION INDUSTRIES VOC HS - M,1607,2067,-460,78,1879,-272,86,M600,FASHION INDUSTRIES VOC HS - M     ,1599,2067,-468,77,1879,-280,85,33,
2,M600,FASHION INDUSTRIES VOC HS - M,0,0,0,0,0,0,0,M751,M751 SPED - MANHATTAN             ,8,0,8,0,0,8,0,0,All
2,M615,CHELSEA VOC HS - MANHATTAN,905,1013,-108,89,1026,-121,88,M376,NYC ISCHOOL - MANHATTAN            ,433,254,179,170,247,186,175,1,
2,M615,CHELSEA VOC HS - MANHATTAN,0,0,0,0,0,0,0,M615,CHELSEA VOC HS - MANHATTAN        ,466,759,-293,61,779,-313,60,8,
2,M615,CHELSEA VOC HS - MANHATTAN,0,0,0,0,0,0,0,M721,M721 SPED - MANHATTAN             ,6,0,6,0,0,6,0,0,
2,M620,NORMAN THOMAS HS (ECF) - MANHATTAN,1753,2224,-471,79,2071,-318,85,M427,MANHATTAN ACADEMY OF ARTS AND LLANGUAGE - MANHATTAN,175,247,-72,71,210,-35,83,2,
2,M620,NORMAN THOMAS HS (ECF) - MANHATTAN,0,0,0,0,0,0,0,M432,MURRAY HILL ACADEMY HS - M,214,378,-164,57,333,-119,64,6,
2,M620,NORMAN THOMAS HS (ECF) - MANHATTAN,0,0,0,0,0,0,0,M500,UNITY HS - MANHATTAN,237,393,-156,60,372,-135,64,2,
2,M620,NORMAN THOMAS HS (ECF) - MANHATTAN,0,0,0,0,0,0,0,M620,NORMAN THOMAS HS - MANHATTAN      ,1127,1206,-79,93,1156,-29,97,16,
2,M620,NORMAN THOMAS HS (ECF) - MANHATTAN,0,0,0,0,0,0,0,MG18,BELLEVUE HOSPITAL - MANHATTAN     ,,,0,,,0,,0,
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,1863,2432,-569,77,2247,-384,83,M393,THE BUSINESS OF SPORTS SCHOOL,304,344,-40,88,321,-17,95,0,
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,0,0,0,0,0,0,0,M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY - M,126,179,-53,70,163,-37,77,0,
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,0,0,0,0,0,0,0,M625,HS OF GRAPHIC COMM. ARTS (VOC)-M  ,1433,1828,-395,78,1686,-253,85,19,
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,0,0,0,0,0,0,0,M992,ALTERNATIVE LEARNING CENTER - M   ,0,81,-81,0,77,-77,0,0,
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,0,0,0,0,0,0,0,MG02,R.O.T.C. - MANHATTAN              ,,,0,,,0,,0,
2,M625,HS OF GRAPHIC COMMUNICATION ARTS-M,0,0,0,0,0,0,0,MG05,UFT USE - MANHATTAN               ,,,0,,,0,,0,
2,M630,ART & DESIGN VOC HS - M,1344,1629,-285,83,1436,-92,94,M630,ART & DESIGN VOC HS - MANHATTAN   ,1344,1629,-285,83,1436,-92,94,27,
2,M630,ART & DESIGN VOC HS - M,0,0,0,0,0,0,0,MG03,SPARK - MANHATTAN                 ,,,0,,,0,,0,
2,M630,ART & DESIGN VOC HS - M,0,0,0,0,0,0,0,MG05,UFT USE - MANHATTAN               ,,,0,,,0,,0,
2,M630,ART & DESIGN VOC HS - M,0,0,0,0,0,0,0,MG16,OCSAE - M                         ,,,0,,,0,,0,
2,M645,OLD MANHATTAN VOC/TECH HS - M,717,793,-76,90,694,23,103,M655,LIFE SCIENCE SECONDARY SCHOOL - M ,717,793,-76,90,694,23,103,12,
2,M661,MNHT COMP NIGHT&DAY (OL BACN X)-M,421,390,31,108,421,0,100,M575,MNHT COMPR. NIGHT & DAY HS - M    ,421,390,31,108,421,0,100,3,
2,M807,HARVEY MILK SCHOOL - MANHATTAN,68,129,-61,53,133,-65,51,M586,HARVEY MILK SCHOOL - MANHATTAN    ,68,129,-61,53,133,-65,51,0,
2,M807,HARVEY MILK SCHOOL - MANHATTAN,0,0,0,0,0,0,0,MG18,HETRICK MARTIN INSTITUTE - M      ,,,0,,,0,,0,
2,M833,HS FOR ECONOMICS & FINANCE - M,809,802,7,101,733,76,110,M489,HS FOR ECONOMICS & FINANCE - M    ,809,802,7,101,733,76,110,9,
2,M833,HS FOR ECONOMICS & FINANCE - M,0,0,0,0,0,0,0,MG03,SPARK - MANHATTAN                 ,,,0,,,0,,0,
2,M833,HS FOR ECONOMICS & FINANCE - M,0,0,0,0,0,0,0,MG18,ST. VINCENTS - MANHATTAN          ,,,0,,,0,,0,
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,1675,1530,145,109,1429,246,117,M400,HS FOR ENVIRONMENTAL STUDIES - M  ,1394,1133,261,123,1033,361,135,14,
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,0,0,0,0,0,0,0,M544,INDEPENDENCE HS - MANHATTAN       ,281,397,-116,71,396,-115,71,4,
2,M834,HS FOR ENVIRONMENTAL STUDIES - M,0,0,0,0,0,0,0,M973,RESTART - MANHATTAN,0,0,0,,0,0,,1,
2,M873,MANHATTAN VILLAGE ACADEMY - M,429,491,-62,87,499,-70,86,M439,MANHATTAN VILLAGE ACADEMY - M     ,429,491,-62,87,499,-70,86,9,
2,M874,SCHOOL FOR THE PHYSICAL CITY - M,432,527,-95,82,502,-70,86,M411,BARUCH COLLEGE CAMPUS HS - M,432,527,-95,82,502,-70,86,5,
2,M883,LEGACY HS FOR INTEGR. STUDIES - M,306,470,-164,65,486,-180,63,M429,LEGACY HS FOR INTEGR. STUDIES - M ,294,470,-176,63,486,-192,60,10,
2,M883,LEGACY HS FOR INTEGR. STUDIES - M,0,0,0,0,0,0,0,M721,M721 SPED - MANHATTAN             ,12,0,12,0,0,12,0,0,
2,M894,HS FOR LEADERSHIP & PUBLIC SER - M,607,787,-180,77,744,-137,82,M425,HS FOR LEADERSHIP & PUBLIC SERV-M ,607,787,-180,77,744,-137,82,11,
2,M896,NYC PUBLIC SCHOOL REPERTORY CO - M,217,249,-32,87,245,-28,89,M531,NYC PUBLIC SCHOOL REPERTORY CO - M,217,249,-32,87,245,-28,89,3,
2,M905,BALLET TECH/PUB. SCL FOR DANCE - M,154,221,-67,70,220,-66,70,M442,BALLET TECH/PUB. SCL FOR DANCE- M ,154,221,-67,70,220,-66,70,0,
3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,1518,2353,-835,65,2045,-527,74,M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,283,402,-119,70,350,-67,81,2,
3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,0,0,0,0,0,0,0,M403,THE GLOBAL LEARNING COLLABORATIVE,358,464,-106,77,403,-45,89,2,
3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,0,0,0,0,0,0,0,M404,INNOVATION DIPLOMA PLUS,199,314,-115,63,265,-66,75,3,
3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,0,0,0,0,0,0,0,M417,FRANK MCCOURT HS- MANHATTAN,219,284,-65,77,256,-37,86,2,
3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,0,0,0,0,0,0,0,M470,LOUIS D. BRANDEIS HS - MANHATTAN  ,291,605,-314,48,543,-252,54,11,
3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,0,0,0,0,0,0,0,M523,UPPER WEST SUCCESS ACADEMY CHARTER SCHOOL - M,168,284,-116,59,228,-60,74,0,
3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,0,0,0,0,0,0,0,MG05,UFT USE - MANHATTAN               ,,,0,,,0,,0,
3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,0,0,0,0,0,0,0,MG13,SCHOOL SAFETY - MANHATTAN         ,,,0,,,0,,0,
3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,0,0,0,0,0,0,0,MG16,GRAND STREET/RAPP - MANHATTAN     ,,,0,,,0,,0,
3,M470,LOUIS D. BRANDEIS HS - MANHATTAN,0,0,0,0,0,0,0,MG18,ST. LUKES HOSPITAL - MANHATTAN    ,,,0,,,0,,0,
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,2605,2537,68,103,2099,506,124,M485,FIORELLO LAGUARDIA HS - MANHATTAN ,2605,2537,68,103,2099,506,124,54,
3,M490,"MARTIN LUTHER KING, JR. HS - M ",2790,3488,-698,80,3372,-582,83,M283,MANHATTAN THEATER LAB - MANHATTAN ,409,409,0,100,402,7,102,1,
3,M490,"MARTIN LUTHER KING, JR. HS - M ",0,0,0,0,0,0,0,M299,"SCHOOL FOR ARTS, IMAGINATION - M  ",418,442,-24,95,416,2,100,1,
3,M490,"MARTIN LUTHER KING, JR. HS - M ",0,0,0,0,0,0,0,M307,URBAN ASSEMBLY MEDIA - MANHATTAN  ,366,512,-146,71,501,-135,73,2,
3,M490,"MARTIN LUTHER KING, JR. HS - M ",0,0,0,0,0,0,0,M492,HS FOR LAW ADVOCACY & JUSTICE - M ,541,759,-218,71,700,-159,77,0,
3,M490,"MARTIN LUTHER KING, JR. HS - M ",0,0,0,0,0,0,0,M494,HS FOR ARTS & TECHNOLOGY - M      ,603,736,-133,82,683,-80,88,9,
3,M490,"MARTIN LUTHER KING, JR. HS - M ",0,0,0,0,0,0,0,M541,HUNTER SCIENCE HS - MANHATTAN     ,453,630,-177,72,670,-217,68,7,
3,M490,"MARTIN LUTHER KING, JR. HS - M ",0,0,0,0,0,0,0,MG13,SCHOOL SAFETY/VIRTUAL ENTERPR - M ,,,0,,,0,,0,
3,M837,BEACON HS - MANHATTAN,1162,837,325,139,809,353,144,M479,BEACON HS - MANHATTAN             ,1162,837,325,139,809,353,144,13,
3,M837,BEACON HS - MANHATTAN,0,0,0,0,0,0,0,MG05,UFT USE- M                        ,,,0,,,0,,0,
4,M107,THE HERITAGE SCHOOL - MANHATTAN,294,245,49,120,249,45,118,M680,THE HERITAGE SCHOOL - MANHATTAN   ,294,245,49,120,249,45,118,3,
4,M435,MANHTN CT FOR MATH & SCI. HS - M  ,2019,1945,74,104,1905,114,106,M169,M169 SPED - MANHATTAN,11,0,11,0,0,11,0,0,All
4,M435,MANHTN CT FOR MATH & SCI. HS - M  ,0,0,0,0,0,0,0,M435,MANHTN CT FOR MATH & SCI. HS - M  ,1650,1446,204,114,1395,255,118,21,
4,M435,MANHTN CT FOR MATH & SCI. HS - M  ,0,0,0,0,0,0,0,M825,I.S. 825 - MANHATTAN              ,358,499,-141,72,510,-152,70,4,
4,M435,MANHTN CT FOR MATH & SCI. HS - M  ,0,0,0,0,0,0,0,MG16,MT. SINAI HOSPITAL - MANHATTAN    ,,,0,,,0,,0,
4,M435,MANHTN CT FOR MATH & SCI. HS - M  ,0,0,0,0,0,0,0,MG18,CHILDRENS AID SOCIETY - MANHATTAN ,,,0,,,0,,0,
4,M495,PARK EAST HS - MANHATTAN,349,322,27,108,315,34,111,M495,PARK EAST HS - MANHATTAN          ,349,322,27,108,315,34,111,2,
4,M495,PARK EAST HS - MANHATTAN,0,0,0,0,0,0,0,MG03,SPARK - MANHATTAN                 ,,,0,,,0,,0,
4,M895,YOUNG WOMEN'S LEADERSHIP HS - M,449,555,-106,81,531,-82,85,M610,YOUNG WOMEN'S LEADERSHIP HS - M   ,449,555,-106,81,531,-82,85,5,
5,M136,I.S. 136 - MANHATTAN,1142,1321,-179,86,1319,-177,87,M302,I.S. 302 - MANHATTAN              ,192,311,-119,62,331,-139,58,0,
5,M136,I.S. 136 - MANHATTAN,0,0,0,0,0,0,0,M304,MOTT HALL HS - MANHATTAN          ,426,401,25,106,376,50,113,2,
5,M136,I.S. 136 - MANHATTAN,0,0,0,0,0,0,0,M685,BREAD AND ROSES HS - MANHATTAN    ,524,609,-85,86,612,-88,86,4,
5,M136,I.S. 136 - MANHATTAN,0,0,0,0,0,0,0,MG13,SCHOOL SAFETY - MANHATTAN         ,,,0,,,0,,0,
5,M136,I.S. 136 - MANHATTAN,0,0,0,0,0,0,0,MG18,COL. PRES./PRINT SHOP - MANHATTAN ,,,0,,,0,,0,
5,M501,ARTHUR SCHOMBURG HS (IS 201) - M,902,1469,-567,61,1316,-414,69,M284,HARLEM CHILDREN ZONE PROMISE ACADEMY 1 - MANHATTAN,,,0,,,0,,0,
5,M501,ARTHUR SCHOMBURG HS (IS 201) - M,0,0,0,0,0,0,0,M341,PROMISE ACADEMY II - MANHATTAN    ,555,567,-12,98,493,62,113,0,
5,M501,ARTHUR SCHOMBURG HS (IS 201) - M,0,0,0,0,0,0,0,M469,CHOIR ACAD OF HARLEM - M          ,347,902,-555,38,823,-476,42,14,
5,M501,ARTHUR SCHOMBURG HS (IS 201) - M,0,0,0,0,0,0,0,MG13,REGION 10 SUSPENSION SITE - M     ,,,0,,,0,,0,
5,M970,THURGOOD MARSHALL ACAD. - M,580,717,-137,81,644,-64,90,M670,THURGOOD MARSHALL ACADEMY - MANHATTAN,580,717,-137,81,644,-64,90,6,
5,M970,THURGOOD MARSHALL ACAD. - M,0,0,0,0,0,0,0,MG13,SCHOOL SAFETY - MANHATTAN         ,,,0,,,0,,0,
5,M970,THURGOOD MARSHALL ACAD. - M,0,0,0,0,0,0,0,MG18,COLUMBIA PRESBYTERIAN - MANHATTAN ,,,0,,,0,,0,
6,M465,G. WASHINGTON HS EDUC. CAMPUS - M ,2575,2231,344,115,2229,346,116,M462,HS FOR INTL BUSINESS & FINANCE - M,630,587,43,107,567,63,111,2,
6,M465,G. WASHINGTON HS EDUC. CAMPUS - M ,0,0,0,0,0,0,0,M463,HS FOR MEDIA & COMM - MANHATTAN   ,572,531,41,108,523,49,109,2,
6,M465,G. WASHINGTON HS EDUC. CAMPUS - M ,0,0,0,0,0,0,0,M467,HS FOR LAW AND PUBLIC SERVICE - M ,694,541,153,128,519,175,134,6,
6,M465,G. WASHINGTON HS EDUC. CAMPUS - M ,0,0,0,0,0,0,0,M468,HS FOR HEALTH CAREER & SCIENCE - M,679,572,107,119,620,59,110,6,
6,M465,G. WASHINGTON HS EDUC. CAMPUS - M ,0,0,0,0,0,0,0,MG05,UFT USE - MANHATTAN               ,,,0,,,0,,0,
6,M465,G. WASHINGTON HS EDUC. CAMPUS - M ,0,0,0,0,0,0,0,MG16,COLUMBIA PRESBYTERIAN CLINIC - M  ,,,0,,,0,,0,
6,M540,A. PHILLIP RANDOLPH HS - MANHATTAN,1285,1456,-171,88,1437,-152,89,M540,A. PHILIP RANDOLPH HS -MANHATTAN  ,1285,1456,-171,88,1437,-152,89,17,
6,M540,A. PHILLIP RANDOLPH HS - MANHATTAN,0,0,0,0,0,0,0,MG11,ST. LUKE - M                      ,,,0,,,0,,0,
6,M540,A. PHILLIP RANDOLPH HS - MANHATTAN,0,0,0,0,0,0,0,MG18,SOUND BUSINESS INST. - MANHATTAN  ,,,0,,,0,,0,
6,M812,"HS FOR MATH, SCI & ENGINEERING-M",406,453,-47,90,451,-45,90,M692,"HS FOR MATH, SCI AND ENGINEERING-M",406,453,-47,90,451,-45,90,1,
6,M876,GREGORIO LUPERON PREP. SCHOOL - M,472,505,-33,93,463,9,102,M552,GREGORIO LUPERON PREP. SCHOOL - M ,472,505,-33,93,463,9,102,7,
7,X470,SOUTH BRONX HS (OLD 38) - X,828,1029,-201,80,1002,-174,83,X473,MOTT HAVEN VILLAGE PREP - BRONX,363,402,-39,90,398,-35,91,1,
7,X470,SOUTH BRONX HS (OLD 38) - X,0,0,0,0,0,0,0,X495,UNIVERSITY HEIGHTS HS - BRONX,465,627,-162,74,604,-139,77,7,
7,X500,HOSTOS LINCOLN ACADEMY OF SCI HS-X,223,323,-100,69,334,-111,67,X500,HOSTOS LINCOLN ACAD OF SCI HS - BRONX,223,323,-100,69,334,-111,67,5,
7,X600,ALFRED E. SMITH HS - X,1029,1715,-686,60,1507,-478,68,X381,BRONX HAVEN HIGH SCHOOL - BRONX,153,205,-52,75,206,-53,74,1,
7,X600,ALFRED E. SMITH HS - X,0,0,0,0,0,0,0,X522,BRONX DESIGN AND CONSTRUCTION ACADEMY - BRONX,138,289,-151,48,253,-115,55,4,
7,X600,ALFRED E. SMITH HS - X,0,0,0,0,0,0,0,X600,ALFRED E. SMITH HS - X            ,738,1221,-483,60,1048,-310,70,34,
7,X655,SAMUEL GOMPERS VOC HS - X,663,1468,-805,45,1368,-705,48,X655,SAMUEL GOMPERS VOC HS - X         ,663,1468,-805,45,1368,-705,48,21,
7,X655,SAMUEL GOMPERS VOC HS - X,0,0,0,0,0,0,0,XG05,UFT USE - BRONX                   ,,,0,,,0,,0,
7,X790,MOTT HAVEN EDUCATIONAL CAMPUS - BRONX,1794,2381,-587,75,2159,-365,83,X188,X188 SPED - BRONX,88,85,3,104,85,3,104,0,
7,X790,MOTT HAVEN EDUCATIONAL CAMPUS - BRONX,0,0,0,0,0,0,0,X527,BRONX LEADERSHIP ACADEMY II HS - BRONX,502,521,-19,96,475,27,106,6,
7,X790,MOTT HAVEN EDUCATIONAL CAMPUS - BRONX,0,0,0,0,0,0,0,X547,NEW EXPLORERS HIGH SCHOOL - BRONX,383,560,-177,68,495,-112,77,8,
7,X790,MOTT HAVEN EDUCATIONAL CAMPUS - BRONX,0,0,0,0,0,0,0,X548,URBAN ASSEMBLY SCHOOL - BRONX,477,612,-135,78,556,-79,86,5,
7,X790,MOTT HAVEN EDUCATIONAL CAMPUS - BRONX,0,0,0,0,0,0,0,X704,KIPP CHARTER SCHOOL - BRONX,344,603,-259,57,548,-204,63,0,
7,X790,MOTT HAVEN EDUCATIONAL CAMPUS - BRONX,0,0,0,0,0,0,0,XG18,UNITED WAY - BRONX                ,,,0,,,0,,0,
7,X884,HEALTH OPPORTUNITIES HS - X,906,1121,-215,81,1048,-142,86,X427,COMM HS FOR SOCIAL JUSTICE - X,319,417,-98,76,401,-82,80,3,
