DBN,SCHOOL NAME,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,101,122,93
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,s,s,s
02M414,N.Y.C. MUSEUM SCHOOL,43,43,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,183,264,223
02M418,MILLENNIUM HIGH SCHOOL,121,135,103
02M419,LANDMARK HIGH SCHOOL,s,s,s
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,234,314,79
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,116,148,40
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,s,s,s
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,28,36,s
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,s,s,s
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,s,s,s
02M439,MANHATTAN VILLAGE ACADEMY,31,45,37
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,s,s,s
02M449,VANGUARD HIGH SCHOOL,20,20,s
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,13,13,6
02M460,WASHINGTON IRVING HIGH SCHOOL,17,17,s
02M473,WASHINGTON IRVING YABC,s,s,s
02M475,STUYVESANT HIGH SCHOOL,1444,2684,2608
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,91,161,73
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,s,s,s
02M519,TALENT UNLIMITED HIGH SCHOOL,59,59,19
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,106,110,64
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,87,124,54
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,s,s,s
02M542,MANHATTAN BRIDGES HIGH SCHOOL,117,174,130
02M543,NEW DESIGN HIGH SCHOOL,27,27,s
02M544,INDEPENDENCE HIGH SCHOOL,s,s,s
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,105,182,141
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,s,s,s
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,19,22,s
02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,s,s,s
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,s,s,s
02M570,SATELLITE ACADEMY HIGH SCHOOL,s,s,s
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,48,74,43
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,57,91,15
02M586,HARVEY MILK HIGH SCHOOL,s,s,s
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,92,108,43
02M605,HUMANITIES PREPARATORY ACADEMY,s,s,s
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,68,134,27
02M620,NORMAN THOMAS HIGH SCHOOL,s,s,s
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,86,98,s
02M630,ART AND DESIGN HIGH SCHOOL,166,201,74
02M655,LIFE SCIENCES SECONDARY SCHOOL,47,77,13
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,18,18,s
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",6,6,s
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",s,s,s
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,s,s,s
03M403,THE GLOBAL LEARNING COLLABORATIVE,30,30,21
03M404,INNOVATION DIPLOMA PLUS,s,s,s
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,55,56,s
03M417,FRANK MCCOURT HIGH SCHOOL,s,s,s
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,21,48,s
03M479,BEACON HIGH SCHOOL,151,187,134
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,923,1576,1177
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",67,78,27
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,s,s,s
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,s,s,s
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,s,s,s
03M577,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,s,s,s
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,15,15,s
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,12,12,s
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,311,423,263
04M495,PARK EAST HIGH SCHOOL,s,s,s
04M555,CENTRAL PARK EAST HIGH SCHOOL,51,82,30
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,47,60,32
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,s,s,s
04M680,"HERITAGE SCHOOL, THE",14,14,s
05M285,HARLEM RENAISSANCE HIGH SCHOOL,s,s,s
05M304,MOTT HALL HIGH SCHOOL,s,s,s
05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",14,16,15
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,21,33,s
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,s,s,s
05M469,CHOIR ACADEMY OF HARLEM,15,15,s
05M499,FREDERICK DOUGLASS ACADEMY,167,202,121
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,40,40,7
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,s,s,s
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",196,245,202
06M293,CITY COLLEGE ACADEMY OF THE ARTS,s,s,s
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,38,61,6
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,107,124,46
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,s,s,s
06M457,GEORGE WASHINGTON YABC,s,s,s
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,17,18,s
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,24,38,s
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,114,153,56
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,51,51,23
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,159,296,110
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,113,134,98
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,17,20,8
07X321,CROTONA ACADEMY HIGH SCHOOL,s,s,s
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,s,s,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s,s,s
07X381,BRONX HAVEN HIGH SCHOOL,s,s,s
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,s,s,s
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,16,16,s
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,s,s,s
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,23,42,15
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,24,35,s
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,7,7,s
07X547,NEW EXPLORERS HIGH SCHOOL,s,s,s
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,27,31,s
07X551,BRONX ACADEMY OF LETTERS,59,85,36
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,s,s,s
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,s,s,s
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,34,34,13
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,s,s,s
08X282,WOMEN'S ACADEMY OF EXCELLENCE,s,s,s
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,70,91,36
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,12,12,s
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,s,s,s
08X312,MILLENNIUM ART ACADEMY,66,68,11
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,18,24,s
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",s,s,s
08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",s,s,s
08X377,BRONX COMMUNITY HIGH SCHOOL,s,s,s
08X405,HERBERT H. LEHMAN HIGH SCHOOL,316,395,209
08X408,HERBERT H. LEHMAN YABC,s,s,s
08X432,BRONX BRIDGES HIGH SCHOOL,11,11,s
08X452,BRONX GUILD,s,s,s
08X507,STEVENSON YABC,s,s,s
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",32,38,s
08X530,BANANA KELLY HIGH SCHOOL,s,s,s
08X537,BRONX ARENA HIGH SCHOOL,s,s,s
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,s,s,s
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,s,s,s
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,s,s,s
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,s,s,s
09X231,EAGLE ACADEMY FOR YOUNG MEN,51,71,11
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",s,s,s
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",16,16,12
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,55,62,15
09X252,MOTT HALL BRONX HIGH SCHOOL,s,s,s
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,82,101,49
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,s,s,s
09X276,LEADERSHIP INSTITUTE,s,s,s
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,s,s,s
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,s,s,s
09X329,DREAMYARD PREPARATORY SCHOOL,21,21,7
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,18,20,s
09X403,BRONX INTERNATIONAL HIGH SCHOOL,s,s,s
09X404,SCHOOL FOR EXCELLENCE,s,s,s
09X412,BRONX HIGH SCHOOL OF BUSINESS,27,27,6
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,16,16,s
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,23,31,s
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",42,74,14
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,18,18,12
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,18,18,7
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,s,s,s
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),123,165,103
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,113,173,15
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,17,17,s
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",22,22,s
10X243,WEST BRONX ACADEMY FOR THE FUTURE,77,111,14
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,30,30,s
10X284,BRONX SCHOOL OF LAW AND FINANCE,15,20,s
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,s,s,s
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,90,94,74
10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),70,89,17
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),s,s,s
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),s,s,s
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,62,82,21
10X434,BELMONT PREPARATORY HIGH SCHOOL,54,65,9
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,s,s,s
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,s,s,s
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,26,26,9
10X440,DEWITT CLINTON HIGH SCHOOL,380,551,314
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",30,42,11
10X445,BRONX HIGH SCHOOL OF SCIENCE,1598,3480,2986
10X475,JOHN F. KENNEDY HIGH SCHOOL,36,36,11
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,89,168,45
10X478,LEARNING TO WORK GED AT JOHN F. KENNEDY,s,s,s
10X546,BRONX THEATRE HIGH SCHOOL,55,65,8
10X549,DISCOVERY HIGH SCHOOL,54,62,8
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,18,23,9
10X667,GRACE DODGE YABC,s,s,s
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,253,375,320
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,s,s,s
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,18,23,s
11X265,BRONX LAB SCHOOL,s,s,s
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,26,31,s
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,57,86,s
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,95,134,35
11X290,BRONX ACADEMY OF HEALTH CAREERS,25,25,s
11X299,ASTOR COLLEGIATE ACADEMY,s,s,s
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,23,25,s
11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,s,s,s
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,38,48,7
11X455,HARRY S TRUMAN HIGH SCHOOL,97,136,23
11X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,s,s,s
11X513,NEW WORLD HIGH SCHOOL,22,22,18
11X514,THE BRONXWOOD PREPARATORY ACADEMY,28,28,s
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,s,s,s
11X542,PELHAM PREPARATORY ACADEMY,43,48,13
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,s,s,s
11X545,BRONX AEROSPACE HIGH SCHOOL,10,14,s
12X245,NEW DAY ACADEMY,s,s,s
12X248,"METROPOLITAN HIGH SCHOOL, THE",20,20,18
12X251,EXPLORATIONS ACADEMY,60,85,24
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,s,s,s
12X267,BRONX LATIN,43,43,s
12X271,EAST BRONX ACADEMY FOR THE FUTURE,69,130,s
12X278,PEACE AND DIVERSITY ACADEMY,s,s,s
12X388,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,18,18,9
12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,s,s,s
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,s,s,s
12X478,THE CINEMA SCHOOL,85,196,15
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,s,s,s
12X480,BRONX REGIONAL HIGH SCHOOL,s,s,s
12X550,HIGH SCHOOL OF WORLD CULTURES,19,22,8
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,35,35,9
12X684,WINGS ACADEMY,27,36,8
12X690,MONROE ACADEMY FOR BUSINESS/LAW,9,9,s
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,s,s,s
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,13,19,s
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,s,s,s
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,s,s,s
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",15,15,s
13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",81,96,7
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,2516,4427,3333
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,s,s,s
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,34,53,36
13K499,ACORN COMMUNITY HIGH SCHOOL,37,47,s
13K509,FREEDOM ACADEMY HIGH SCHOOL,s,s,s
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,s,s,s
13K553,BROOKLYN ACADEMY HIGH SCHOOL,s,s,s
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,s,s,s
13K595,BEDFORD ACADEMY HIGH SCHOOL,124,152,26
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,28,31,9
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,s,s,s
13K670,BENJAMIN BANNEKER ACADEMY,146,203,82
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",s,s,s
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,14,14,12
14K322,FOUNDATIONS ACADEMY,s,s,s
14K404,ACADEMY FOR YOUNG WRITERS,23,23,9
14K449,"BROOKLYN LATIN SCHOOL, THE",s,s,s
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,s,s,s
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,36,50,s
14K477,SCHOOL FOR LEGAL STUDIES,53,68,10
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",75,96,37
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,49,62,s
14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,32,46,9
14K561,WILLIAMSBURG PREPARATORY SCHOOL,54,61,28
14K586,LYONS COMMUNITY SCHOOL,s,s,s
14K610,AUTOMOTIVE HIGH SCHOOL,s,s,s
14K632,FRANCES PERKINS ACADEMY,s,s,s
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,s,s,s
14K923,AUTOMOTIVE HIGH SCHOOL YABC,s,s,s
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,18,19,s
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,s,s,s
15K462,SECONDARY SCHOOL FOR LAW,35,50,19
15K463,SECONDARY SCHOOL FOR JOURNALISM,9,9,s
15K464,PARK SLOPE COLLEGIATE,s,s,s
15K497,SCHOOL FOR INTERNATIONAL STUDIES,26,27,s
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,64,72,s
15K520,PACIFIC HIGH SCHOOL,s,s,s
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,s,s,s
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,44,61,22
15K667,SUNSET PARK HIGH SCHOOL,s,s,s
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,s,s,s
16K455,BOYS AND GIRLS HIGH SCHOOL,s,s,s
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,47,63,s
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,s,s,s
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,s,s,s
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,29,36,8
17K408,ACADEMY OF HOSPITALITY AND TOURISM,33,33,s
17K467,ERASMUS YABC,s,s,s
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,s,s,s
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,s,s,s
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,s,s,s
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",7,7,s
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,s,s,s
17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,11,11,s
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,s,s,s
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",24,24,s
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,s,s,s
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,86,115,10
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,38,60,s
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,s,s,s
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,s,s,s
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,343,588,156
17K600,CLARA BARTON HIGH SCHOOL,128,195,56
17K625,PAUL ROBESON HIGH SCHOOL,s,s,s
17K751,ACADEMY FOR HEALTH CAREERS,s,s,s
18K563,IT TAKES A VILLAGE ACADEMY,19,23,s
18K566,BROOKLYN GENERATION SCHOOL,s,s,s
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,s,s,s
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,s,s,s
18K576,VICTORY COLLEGIATE HIGH SCHOOL,11,21,s
18K578,BROOKLYN BRIDGE ACADEMY,s,s,s
18K589,ARTS & MEDIA PREPARATORY ACADEMY,s,s,s
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,s,s,s
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,6,6,s
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,59,62,6
18K635,OLYMPUS ACADEMY,s,s,s
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,s,s,s
18K642,URBAN ACTION ACADEMY,21,21,s
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s
19K409,EAST NEW YORK FAMILY ACADEMY,10,10,s
19K420,FRANKLIN K. LANE HIGH SCHOOL,s,s,s
19K431,THOMAS JEFFERSON YABC,s,s,s
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,s,s,s
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,8,10,s
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,s,s,s
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,8,8,s
19K583,MULTICULTURAL HIGH SCHOOL,9,9,s
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,64,71,6
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,19,19,s
19K639,BROOKLYN LAB SCHOOL,s,s,s
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,7,7,s
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,s,s,s
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",24,29,s
20K445,NEW UTRECHT HIGH SCHOOL,264,362,155
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,132,146,63
20K490,FORT HAMILTON HIGH SCHOOL,435,705,414
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,216,308,173
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,s,s,s
20K658,FRANKLIN DELANO ROOSEVELT YABC,s,s,s
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,s,s,s
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,55,71,6
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,s,s,s
21K410,ABRAHAM LINCOLN HIGH SCHOOL,121,149,79
21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,s,s,s
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,s,s,s
21K525,EDWARD R. MURROW HIGH SCHOOL,457,690,406
21K540,JOHN DEWEY HIGH SCHOOL,278,511,253
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,s,s,s
