Demographic,DBN,NAME,Total Cohort  - June,Total Math/ELA APM - June,% of Cohort - June,Total Cohort  - August,Total Math/ELA APM - August,% of Cohort - August
All Students,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,177,53,29.9%,177,54,30.5%
All Students,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,53,1,1.9%,53,1,1.9%
All Students,02M519,TALENT UNLIMITED HIGH SCHOOL,136,45,33.1%,136,45,33.1%
All Students,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,637,112,17.6%,637,114,17.9%
All Students,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,148,29,19.6%,148,31,20.9%
All Students,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THE,49,2,4.1%,49,2,4.1%
All Students,02M542,MANHATTAN BRIDGES HIGH SCHOOL,111,13,11.7%,111,13,11.7%
All Students,02M543,NEW DESIGN HIGH SCHOOL,101,8,7.9%,101,8,7.9%
All Students,02M544,INDEPENDENCE HIGH SCHOOL,145,3,2.1%,145,3,2.1%
All Students,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASI,54,40,74.1%,54,40,74.1%
All Students,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCO,97,14,14.4%,97,14,14.4%
All Students,02M551,THE HARBOR HS,77,7,9.1%,77,7,9.1%
All Students,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY,260,48,18.5%,260,48,18.5%
All Students,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACH,134,27,20.1%,134,27,20.1%
All Students,02M586,HARVEY MILK HIGH SCHOOL,30,3,10%,30,3,10%
All Students,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,416,145,34.9%,416,148,35.6%
All Students,02M615,CHELSEA CAREER AND TECHNICAL EDUCATIO,173,8,4.6%,173,8,4.6%
All Students,02M620,NORMAN THOMAS HIGH SCHOOL,464,16,3.4%,464,16,3.4%
All Students,02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION,407,20,4.9%,407,20,4.9%
All Students,02M630,ART AND DESIGN HIGH SCHOOL,320,44,13.8%,320,44,13.8%
All Students,02M655,LIFE SCIENCES SECONDARY SCHOOL,118,11,9.3%,118,11,9.3%
All Students,03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,74,4,5.4%,74,4,5.4%
All Students,03M299,HIGH SCHOOL FOR ARTS  IMAGINATION AND,89,4,4.5%,89,4,4.5%
All Students,03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDI,100,5,5%,100,5,5%
All Students,03M404,INNOVATION DIPLOMA PLUS,39,0,0%,39,0,0%
All Students,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PER,127,11,8.7%,127,13,10.2%
All Students,03M470,LOUIS D. BRANDEIS HIGH SCHOOL,521,19,3.6%,521,20,3.8%
All Students,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF,646,487,75.4%,646,490,75.9%
All Students,03M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COM,107,10,9.3%,107,10,9.3%
All Students,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,137,17,12.4%,137,17,12.4%
All Students,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,200,4,2%,200,4,2%
All Students,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOO,90,68,75.6%,90,68,75.6%
All Students,03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,54,6,11.1%,54,6,11.1%
All Students,04M409,COALITION SCHOOL FOR SOCIAL CHANGE,76,3,3.9%,76,3,3.9%
All Students,04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,381,212,55.6%,381,215,56.4%
All Students,04M495,PARK EAST HIGH SCHOOL,92,5,5.4%,92,6,6.5%
All Students,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,55,23,41.8%,55,23,41.8%
All Students,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,75,3,4%,75,3,4%
All Students,04M680,HERITAGE SCHOOL  THE,75,7,9.3%,75,8,10.7%
All Students,04M695,URBAN PEACE ACADEMY,45,4,8.9%,45,4,8.9%
All Students,05M285,HARLEM RENAISSANCE HIGH SCHOOL,81,0,0%,81,0,0%
All Students,05M304,MOTT HALL HIGH SCHOOL,96,14,14.6%,96,14,14.6%
All Students,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,62,6,9.7%,62,6,9.7%
All Students,05M469,CHOIR ACADEMY OF HARLEM,39,0,0%,39,0,0%
All Students,05M499,FREDERICK DOUGLASS ACADEMY,259,119,45.9%,259,121,46.7%
All Students,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,95,17,17.9%,95,17,17.9%
All Students,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,106,100,94.3%,106,104,98.1%
All Students,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,185,18,9.7%,185,19,10.3%
All Students,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,161,10,6.2%,161,11,6.8%
All Students,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,171,16,9.4%,171,16,9.4%
All Students,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,158,21,13.3%,158,21,13.3%
All Students,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,267,62,23.2%,267,63,23.6%
All Students,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,91,11,12.1%,91,11,12.1%
All Students,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,80,10,12.5%,80,10,12.5%
All Students,07X321,CROTONA ACADEMY HIGH SCHOOL,56,0,0%,56,0,0%
All Students,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,10,s,s,10,s,s
All Students,07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,50,0,0%,50,0,0%
All Students,07X381,BRONX HAVEN HIGH SCHOOL   ,11,s,s,11,s,s
All Students,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,69,0,0%,69,0,0%
All Students,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,61,25,41%,61,25,41%
All Students,07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,136,19,14%,136,19,14%
All Students,07X527,BRONX LEADERSHIP ACADEMY II HS,102,10,9.8%,102,10,9.8%
All Students,07X547,NEW EXPLORERS HIGH SCHOOL,81,4,4.9%,81,5,6.2%
All Students,07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,82,2,2.4%,82,3,3.7%
All Students,07X551,BRONX ACADEMY OF LETTERS,76,7,9.2%,76,7,9.2%
All Students,07X600,ALFRED E. SMITH CAREER AND TECHNICAL,267,6,2.2%,267,6,2.2%
All Students,07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,357,8,2.2%,357,8,2.2%
All Students,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,134,19,14.2%,134,20,14.9%
All Students,08X282,WOMEN'S ACADEMY OF EXCELLENCE,75,10,13.3%,75,11,14.7%
All Students,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,117,10,8.5%,117,11,9.4%
All Students,08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,121,3,2.5%,121,3,2.5%
All Students,08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,101,7,6.9%,101,7,6.9%
All Students,08X312,MILLENNIUM ART ACADEMY,108,7,6.5%,108,7,6.5%
All Students,08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,89,11,12.4%,89,11,12.4%
All Students,08X377,BRONX COMMUNITY HIGH SCHOOL,79,0,0%,79,0,0%
All Students,08X405,HERBERT H. LEHMAN HIGH SCHOOL,1092,181,16.6%,1092,193,17.7%
All Students,08X450,ADLAI E. STEVENSON HIGH SCHOOL,7,s,s,7,s,s
All Students,08X452,BRONX GUILD,64,1,1.6%,64,1,1.6%
All Students,08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,99,0,0%,99,0,0%
All Students,08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,89,1,1.1%,89,1,1.1%
All Students,08X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH,141,0,0%,141,0,0%
All Students,08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC,419,27,6.4%,419,28,6.7%
All Students,08X686,NEW SCHOOL FOR ARTS AND SCIENCES,1,s,s,1,s,s
All Students,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,96,2,2.1%,96,2,2.1%
All Students,09X231,EAGLE ACADEMY FOR YOUNG MEN,100,14,14%,100,14,14%
All Students,09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,74,2,2.7%,74,3,4.1%
All Students,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,60,9,15%,60,9,15%
All Students,09X252,MOTT HALL BRONX HIGH SCHOOL,107,3,2.8%,107,3,2.8%
All Students,09X260,BRONX CENTER FOR SCIENCE AND MATHEMAT,100,59,59%,100,61,61%
All Students,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPED,120,4,3.3%,120,4,3.3%
All Students,09X276,LEADERSHIP INSTITUTE,67,5,7.5%,67,5,7.5%
All Students,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,99,10,10.1%,99,10,10.1%
All Students,09X329,DREAMYARD PREPARATORY SCHOOL,93,10,10.8%,93,12,12.9%
All Students,09X403,BRONX INTERNATIONAL HIGH SCHOOL,88,8,9.1%,88,9,10.2%
All Students,09X404,SCHOOL FOR EXCELLENCE,108,6,5.6%,108,6,5.6%
All Students,09X412,BRONX HIGH SCHOOL OF BUSINESS,110,11,10%,110,11,10%
All Students,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,103,35,34%,103,35,34%
All Students,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,123,8,6.5%,123,9,7.3%
All Students,09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND,122,8,6.6%,122,8,6.6%
All Students,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,87,14,16.1%,87,14,16.1%
All Students,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,178,27,15.2%,178,27,15.2%
All Students,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,47,4,8.5%,47,4,8.5%
All Students,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,135,36,26.7%,135,36,26.7%
All Students,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,73,11,15.1%,73,11,15.1%
All Students,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,62,12,19.4%,62,12,19.4%
All Students,10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,67,1,1.5%,67,1,1.5%
All Students,10X243,WEST BRONX ACADEMY FOR THE FUTURE,72,5,6.9%,72,5,6.9%
All Students,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,118,4,3.4%,118,4,3.4%
All Students,10X284,BRONX SCHOOL OF LAW AND FINANCE,99,8,8.1%,99,8,8.1%
All Students,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,113,1,0.9%,113,1,0.9%
All Students,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,83,7,8.4%,83,7,8.4%
All Students,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,115,17,14.8%,115,18,15.7%
All Students,10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,2,s,s,2,s,s
All Students,10X397,ENGLISH LANGUAGE LEARNERS AND INTERNA,3,s,s,3,s,s
All Students,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,134,5,3.7%,134,5,3.7%
All Students,10X434,BELMONT PREPARATORY HIGH SCHOOL,96,3,3.1%,96,3,3.1%
All Students,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,82,5,6.1%,82,5,6.1%
All Students,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,144,11,7.6%,144,11,7.6%
All Students,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,115,9,7.8%,115,9,7.8%
All Students,10X440,DEWITT CLINTON HIGH SCHOOL,1013,158,15.6%,1013,162,16%
All Students,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,82,16,19.5%,82,16,19.5%
All Students,10X445,BRONX HIGH SCHOOL OF SCIENCE,668,650,97.3%,668,656,98.2%
All Students,10X475,JOHN F. KENNEDY HIGH SCHOOL,502,14,2.8%,502,14,2.8%
All Students,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,107,43,40.2%,107,43,40.2%
All Students,10X546,BRONX THEATRE HIGH SCHOOL,108,9,8.3%,108,10,9.3%
All Students,10X549,DISCOVERY HIGH SCHOOL,96,5,5.2%,96,5,5.2%
All Students,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,362,16,4.4%,362,17,4.7%
All Students,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,78,74,94.9%,78,75,96.2%
All Students,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,58,2,3.4%,58,2,3.4%
All Students,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,118,10,8.5%,118,11,9.3%
All Students,11X265,BRONX LAB SCHOOL,94,5,5.3%,94,6,6.4%
All Students,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,65,4,6.2%,65,4,6.2%
All Students,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,90,11,12.2%,90,11,12.2%
All Students,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,121,37,30.6%,121,37,30.6%
All Students,11X290,BRONX ACADEMY OF HEALTH CAREERS,99,8,8.1%,99,8,8.1%
All Students,11X299,ASTOR COLLEGIATE ACADEMY,111,4,3.6%,111,4,3.6%
All Students,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,382,15,3.9%,382,15,3.9%
All Students,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,95,13,13.7%,95,13,13.7%
All Students,11X425,EVANDER CHILDS HIGH SCHOOL,1,s,s,1,s,s
All Students,11X455,HARRY S TRUMAN HIGH SCHOOL,565,51,9%,565,52,9.2%
All Students,11X513,NEW WORLD HIGH SCHOOL,62,11,17.7%,62,11,17.7%
All Students,11X514,THE BRONXWOOD PREPARATORY ACADEMY,66,2,3%,66,2,3%
All Students,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,116,7,6%,116,7,6%
All Students,11X542,PELHAM PREPARATORY ACADEMY,111,29,26.1%,111,29,26.1%
All Students,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,118,6,5.1%,118,6,5.1%
All Students,11X545,BRONX AEROSPACE HIGH SCHOOL,70,6,8.6%,70,6,8.6%
All Students,12X248,METROPOLITAN HIGH SCHOOL  THE,104,4,3.8%,104,4,3.8%
All Students,12X251,EXPLORATIONS ACADEMY,69,0,0%,69,0,0%
All Students,12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,113,1,0.9%,113,1,0.9%
All Students,12X267,BRONX LATIN,2,s,s,2,s,s
All Students,12X271,EAST BRONX ACADEMY FOR THE FUTURE,74,1,1.4%,74,1,1.4%
All Students,12X278,PEACE AND DIVERSITY ACADEMY,96,4,4.2%,96,4,4.2%
All Students,12X480,BRONX REGIONAL HIGH SCHOOL,107,2,1.9%,107,2,1.9%
All Students,12X550,HIGH SCHOOL OF WORLD CULTURES,52,4,7.7%,52,4,7.7%
All Students,12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,99,2,2%,99,2,2%
All Students,12X690,MONROE ACADEMY FOR BUSINESS/LAW,137,7,5.1%,137,7,5.1%
All Students,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,112,2,1.8%,112,2,1.8%
All Students,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,81,5,6.2%,81,5,6.2%
All Students,13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,96,6,6.3%,96,6,6.3%
All Students,13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,78,1,1.3%,78,2,2.6%
All Students,13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,231,23,10%,231,25,10.8%
All Students,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1097,967,88.1%,1097,1001,91.2%
All Students,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,109,29,26.6%,109,29,26.6%
All Students,13K499,ACORN COMMUNITY HIGH SCHOOL,169,6,3.6%,169,6,3.6%
All Students,13K509,FREEDOM ACADEMY HIGH SCHOOL,58,11,19%,58,11,19%
All Students,13K553,BROOKLYN ACADEMY HIGH SCHOOL,55,0,0%,55,0,0%
All Students,13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,52,2,3.8%,52,2,3.8%
All Students,13K595,BEDFORD ACADEMY HIGH SCHOOL,76,35,46.1%,76,35,46.1%
All Students,13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,246,4,1.6%,246,4,1.6%
All Students,13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,88,0,0%,88,0,0%
All Students,13K670,BENJAMIN BANNEKER ACADEMY,234,92,39.3%,234,93,39.7%
All Students,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,100,4,4%,100,5,5%
All Students,14K322,FOUNDATIONS ACADEMY,60,5,8.3%,60,5,8.3%
All Students,14K404,ACADEMY FOR YOUNG WRITERS,78,3,3.8%,78,3,3.8%
All Students,14K449,BROOKLYN LATIN SCHOOL  THE,51,37,72.5%,51,38,74.5%
All Students,14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,96,4,4.2%,96,4,4.2%
All Students,14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,207,14,6.8%,207,14,6.8%
All Students,14K477,SCHOOL FOR LEGAL STUDIES,146,12,8.2%,146,12,8.2%
All Students,14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,161,16,9.9%,161,16,9.9%
All Students,14K488,BROOKLYN PREPARATORY HIGH SCHOOL,75,8,10.7%,75,8,10.7%
All Students,14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,97,13,13.4%,97,13,13.4%
All Students,14K561,WILLIAMSBURG PREPARATORY SCHOOL,108,15,13.9%,108,17,15.7%
All Students,14K586,LYONS COMMUNITY SCHOOL,4,s,s,4,s,s
All Students,14K610,AUTOMOTIVE HIGH SCHOOL,233,3,1.3%,233,3,1.3%
All Students,15K027,AGNES Y. HUMPHREY SCHOOL FOR LEADERSH,3,s,s,3,s,s
All Students,15K462,SECONDARY SCHOOL FOR LAW,89,7,7.9%,89,7,7.9%
All Students,15K463,SECONDARY SCHOOL FOR JOURNALISM,94,8,8.5%,94,9,9.6%
All Students,15K464,PARK SLOPE COLLEGIATE,87,5,5.7%,87,5,5.7%
All Students,15K497,SCHOOL FOR INTERNATIONAL STUDIES,65,12,18.5%,65,12,18.5%
All Students,15K498,ACORN HS FOR SOCIAL JUSTICE,96,5,5.2%,96,5,5.2%
All Students,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIE,142,4,2.8%,142,4,2.8%
All Students,15K520,PACIFIC HIGH SCHOOL,71,1,1.4%,71,1,1.4%
All Students,15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,107,0,0%,107,0,0%
All Students,15K530,METROPOLITAN CORPORATE ACADEMY HIGH S,84,1,1.2%,84,1,1.2%
All Students,15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,100,16,16%,100,17,17%
All Students,15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,55,0,0%,55,0,0%
All Students,16K393,FREDERICK DOUGLASS ACADEMY IV SECONDA,71,6,8.5%,71,6,8.5%
All Students,16K455,BOYS AND GIRLS HIGH SCHOOL,530,11,2.1%,530,11,2.1%
All Students,17K382,ACADEMY FOR COLLEGE PREPARATION AND C,69,14,20.3%,69,14,20.3%
All Students,17K408,ACADEMY OF  HOSPITALITY AND TOURISM,81,10,12.3%,81,10,12.3%
All Students,17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,81,1,1.2%,81,1,1.2%
All Students,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,84,5,6%,84,5,6%
All Students,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHI,104,12,11.5%,104,12,11.5%
All Students,17K531,SCHOOL FOR HUMAN RIGHTS  THE,60,5,8.3%,60,5,8.3%
All Students,17K533,SCHOOL FOR DEMOCRACY AND  LEADERSHIP,74,0,0%,74,8,10.8%
All Students,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY D,100,11,11%,100,11,11%
All Students,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT,116,9,7.8%,116,9,7.8%
All Students,17K543,SCIENCE  TECHNOLOGY AND RESEARCH EARL,76,21,27.6%,76,21,27.6%
All Students,17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,108,7,6.5%,108,8,7.4%
All Students,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROE,93,22,23.7%,93,22,23.7%
All Students,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE,110,20,18.2%,110,20,18.2%
All Students,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,88,5,5.7%,88,5,5.7%
All Students,17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,75,2,2.7%,75,2,2.7%
All Students,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHO,156,55,35.3%,156,55,35.3%
All Students,17K600,CLARA BARTON HIGH SCHOOL,488,104,21.3%,488,110,22.5%
All Students,17K625,PAUL ROBESON HIGH SCHOOL,292,13,4.5%,292,13,4.5%
All Students,18K415,SAMUEL J. TILDEN HIGH SCHOOL,178,2,1.1%,178,2,1.1%
All Students,18K500,CANARSIE HIGH SCHOOL,431,11,2.6%,431,11,2.6%
All Students,18K515,SOUTH SHORE HIGH SCHOOL,125,7,5.6%,125,7,5.6%
All Students,18K563,IT TAKES A VILLAGE ACADEMY,4,s,s,4,s,s
All Students,18K566,BROOKLYN GENERATION SCHOOL,4,s,s,4,s,s
All Students,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,3,s,s,3,s,s
All Students,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHO,5,s,s,5,s,s
All Students,18K576,VICTORY COLLEGIATE HIGH SCHOOL,3,s,s,3,s,s
All Students,18K578,BROOKLYN BRIDGE ACADEMY,87,0,0%,87,0,0%
All Students,18K589,ARTS & MEDIA PREPARATORY ACADEMY,4,s,s,4,s,s
All Students,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCI,2,s,s,2,s,s
All Students,18K635,OLYMPUS ACADEMY,101,1,1%,101,1,1%
All Students,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,69,0,0%,69,1,1.4%
All Students,19K409,EAST NEW YORK FAMILY ACADEMY,91,6,6.6%,91,6,6.6%
All Students,19K420,FRANKLIN K. LANE HIGH SCHOOL,494,22,4.5%,494,22,4.5%
All Students,19K435,THOMAS JEFFERSON HIGH SCHOOL,1,s,s,1,s,s
All Students,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,87,3,3.4%,87,3,3.4%
All Students,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,111,4,3.6%,111,4,3.6%
All Students,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,111,4,3.6%,111,4,3.6%
All Students,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,95,1,1.1%,95,5,5.3%
All Students,19K583,MULTICULTURAL HIGH SCHOOL,3,s,s,3,s,s
All Students,19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,346,38,11%,346,40,11.6%
All Students,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,1,s,s,1,s,s
All Students,19K639,BROOKLYN LAB SCHOOL,1,s,s,1,s,s
All Students,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY,106,5,4.7%,106,5,4.7%
All Students,19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,226,6,2.7%,226,6,2.7%
All Students,20K445,NEW UTRECHT HIGH SCHOOL,621,171,27.5%,621,176,28.3%
All Students,20K485,HIGH SCHOOL OF  TELECOMMUNICATION ART,297,107,36%,297,108,36.4%
All Students,20K490,FORT HAMILTON HIGH SCHOOL,986,295,29.9%,986,302,30.6%
All Students,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,859,201,23.4%,859,206,24%
All Students,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,71,6,8.5%,71,6,8.5%
All Students,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL,113,28,24.8%,113,28,24.8%
