Facility,Zip code,Telephone,Website,Location 1
Jamaica,11432,(718) 523-5699,www.nyc.gov/hra,"165 08 88th Avenue
Jamaica, New York
(40.696147000083954, -73.80443200013667)"
Staten Island,10301,(718) 420-4660/4732,www.nyc.gov/hra,"215 Bay Street
Staten Island, New York
(40.60667400010499, -74.16240100000613)"
"Alianza Dominicana, Inc.",10033,(212) 740-1960,www.alianzadom.org,"2410 Amsterdam Avenue
New York, New York
(40.847155142523604, -73.93158875873911)"
"Brooklyn Perinatal Network, Inc.",11217,(718) 643-8258,www.bpnetwork.org   ,"30 Third Avenue
Brooklyn, New York
(42.43318899977248, -78.74864600041258)"
The Children’s Aid Society,10017,(212) 503-6804,www.childrensaidsociety.org,"150 45th Street
New York, New York
(40.65122086849, -74.01294591096575)"
Hispanic Federation,10005,(212) 233-8955,www.hispanicfederation.org,"55 Exchange Place
New York, New York
(40.706172474547756, -74.01084613297641)"
Jewish Community Center of Staten Island,10301,(718) 981-1400,www.sijcc.org/community,"475 Victory Boulevard
Staten Island, New York
(40.630627751644205, -74.08851956408898)"
Joseph P. Addabbo Family Health Center,11691,(718) 868-8291,www.addabbo.org,"1288 Central Avenue
Far Rockaway, New York
(40.6078073308654, -73.74882172719383)"
Make the Road New York,11237,(718) 418-7690 ,www.maketheroad.org,"301 Grove Street
Brooklyn, New York
(40.698428502523264, -73.91562347499381)"
Metropolitan New York Coordinating Council on Jewish Poverty,10038,(212) 453-9595,www.metcouncil.org,"80 Maiden Lane
New York, New York
(40.70722063476455, -74.00745556513084)"
Morris Heights Health Center,10453,(718) 483-1260,www.mhhc.org,"2042 Grand Avenue
New York, New York
(40.756053999992105, -73.9869510002884)"
Public Health Solutions,10013,(646) 619-6400,www.healthsolutions.org,"220 Church Street
New York, New York
(40.71698884234022, -74.00638009998525)"
Ridgewood Bushwick Senior Citizens Council,11237,(718) 366-3800,,"217 Wyckoff Avenue
Brooklyn, New York
(40.7021176575353, -73.91565860141604)"
Safe Space,11368,(718) 205-9294,www.safespacenyc.org,"96 01 43rd Avenue
Corona, New York
(40.75257899982097, -73.85259799999767)"
Structured Employment Economic Development (SEEDCO),10010,(212) 473-0255,www.seedco.org,"915 Broadway
New York, New York
(40.73980307188606, -73.98959502962896)"
Yeled V' Yalda,11218,"(718) 686-2188, 2189",www.yeled.org,"3820 14th Avenue
Brooklyn, New York
(40.63974363278944, -73.9836557463576)"
Chelsea Health Center,10001,(212) 244-0841,www.nyc.gov/health,"303 Ninth Avenue
New York, New York
(40.74929991251548, -73.9992717346642)"
Corona Health Center,11372,(718) 476-7860,www.nyc.gov/health,"34 33 Junction Boulevard
Jackson Heights, New York
(40.751979000030815, -73.88282399992767)"
Crown Heights Health Center,11213,(718) 953-8234/8236,www.nyc.gov/health,"1219 Prospect Place
Brooklyn, New York
(40.67354525266527, -73.93566629477249)"
Fort Greene Health Center,11201,(718) 643-4467/4445,www.nyc.gov/health,"295 Flatbush Avenue
Brooklyn, New York
(40.69205340232306, -73.98241301998932)"
Homecrest Health Center,11229,(718) 336-2553 x144/145,www.nyc.gov/health,"1601 Avenue
Brooklyn, New York
(42.43318899977248, -78.74864600041258)"
Jamaica Health Center,11437,(718) 262-5512,www.nyc.gov/health,"90 37 Parsons Boulevard
Jamaica, New York
(40.696147000083954, -73.80443200013667)"
Staten Island Health Center,10301,(718) 420-4714,www.nyc.gov/health,"51 Stuyvesant Place
Staten Island, New York
(40.644866565572904, -74.07827452624353)"
Tremont Health Center,10457,(718) 466-8842/8883,www.nyc.gov/health,"1826 Arthur Avenue
Bronx, New York
(40.8440002082747, -73.8945487244044)"
Washington Heights Health Center,10032,(212) 491-1661/4453,www.nyc.gov/health,"600 168th Street
New York, New York
(40.8411278753413, -73.9399616966274)"
Affinity Health Plan,10461,(866) 247-5678,www.affinityplan.org,"2500 Halsey Street
Bronx, New York
(40.837493177930924, -73.84263914576955)"
AmeriChoice by UnitedHealthcare,10005,(800) 493-4647,www.americhoice.com,"77 Water Street
New York, New York
(40.70440575681283, -74.00848079224426)"
Amerigroup Community Care,10001,(800) 600-4441,www.amerigroupcorp.com,"360 31st Street
New York, New York
(40.750989677788965, -73.99657860198906)"
Fidelis Care NY,11374,(888) 343-3547,www.fideliscare.org,"95 25 Queens Boulevard
Rego Park, New York
(40.72364800025497, -73.86216799975335)"
HealthFirst,10004,(800) 404-8778,www.healthfirstny.com,"25 Broadway
New York, New York
(40.87333788079353, -73.91157107750263)"
Health Plus,11232,(888) 809-8009,www.healthplus-ny.org,"241 37th Street
Brooklyn, New York
(40.594047085721755, -73.99353870117261)"
Health Insurance Plan of New York (HIP),10041,(800) 542-2412,www.hipusa.com,"55 Water Street
New York, New York
(40.70402753702807, -74.00899848445475)"
MetroPlus Health Plan,10038,(800) 475-6387,www.metroplus.org,"160 Water Street
New York, New York
(40.706510170361355, -74.00551302954756)"
Neighborhood Health Providers,10175,800-826-6240,www.getnhp.com,"521 Fifth Avenue
New York, New York
(40.75438108198102, -73.98022409408367)"
"WellCare, Inc.",10011,(800) 992-6095,www.wellcare.com,"110 Fifth Avenue
New York, New York
(40.737500807491074, -73.99250883300391)"
