QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Address,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Total Units,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Year Built,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,QUEENS – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
4-00018-0001,"4 74 48 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D4-ELEVATOR,536,1996,724475,13402787,18.5,50100000,69,4-06809-0001,"75 25 153 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,D8-ELEVATOR,388,2004,540846,8920048,16.49,30200000,56,7.8,4-06797-0054,"159 10 71 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",FLUSHING-SOUTH,D6-ELEVATOR,142,2000,209525,4316215,20.6,16100000,77,7.9
4-00125-0028,"46 01 39 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,158,1961,155750,2453062,15.75,8290000,53,4-00131-0009,"41 29 50 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,36,1964,27288,422011,15.47,1430000,52,0.35,4-00134-0039,"41 24 50 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,40,1963,26100,424387,16.26,1430000,55,0.3
4-00128-0007,"39 25 51 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D4-ELEVATOR,426,1951,391802,4842672,12.36,13600000,34.7,4-02104-0001,"98 41 QUEENS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D7-ELEVATOR,206,1952,204340,2638170,12.91,8220000,40.2,3.25,4-02090-0026,"63 60 98 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,129,1951,125610,1593664,12.69,4960000,39.5,3
4-00131-0004,"50 05 43 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,73,1932,64350,1122264,17.44,4200000,65,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1377280,18.94,5150000,71,0.2,4-00137-0020,"41 15 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,73197,1287147,17.58,4810000,66,0.2
4-00131-0036,"41 36 51 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,42,1930,42474,515209,12.13,1450000,34.1,4-00139-0024,"43 10 49 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1931,43800,577011,13.17,1800000,41.1,0.15,4-00148-0001,"47 09 SKILLMAN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1942,57600,758703,13.17,2360000,41,0.2
4-00134-0045,"41 42 50 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,43,1940,45570,552764,12.13,1550000,34,4-00139-0024,"43 10 49 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1931,43800,577011,13.17,1800000,41.1,0.1,4-00148-0001,"47 09 SKILLMAN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1942,57600,758703,13.17,2360000,41,0.2
4-00140-0040,"43 30 48 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,92,1927,79896,1036251,12.97,3230000,40.4,4-00139-0024,"43 10 49 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1931,43800,577011,13.17,1800000,41.1,0.05,4-00148-0001,"47 09 SKILLMAN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1942,57600,758703,13.17,2360000,41,0.25
4-00141-0015,"43 33 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,176,1932,140760,1825657,12.97,5680000,40.4,4-00139-0024,"43 10 49 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1931,43800,577011,13.17,1800000,41.1,0.1,4-00148-0001,"47 09 SKILLMAN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1942,57600,758703,13.17,2360000,41,0.25
4-00141-0024,"43 01 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,69,1942,58650,750720,12.8,2340000,39.9,4-00139-0024,"43 10 49 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1931,43800,577011,13.17,1800000,41.1,0.1,4-00148-0001,"47 09 SKILLMAN AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1942,57600,758703,13.17,2360000,41,0.25
4-00156-0005,"41 15 45 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,320,1943,250000,3307500,13.23,10300000,41.2,4-00159-0001,"42 15 43 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,154,1938,148950,1744204,11.71,4900000,32.9,0.15,4-00162-0019,"43 09 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,48,1928,35340,367971,10.41,954000,27,0.15
4-00157-0009,"41 25 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,52,1931,41508,549150,13.23,1710000,41.2,4-00162-0019,"43 09 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,48,1928,35340,367971,10.41,954000,27,0.1,4-00168-0041,"45 26 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,46,1929,41316,540942,13.09,1680000,40.7,0.25
4-00157-0013,"41 15 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,71,1940,65748,854724,13,2660000,40.5,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,635900,15.59,2150000,53,0.15,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,532470,13.05,1660000,40.7,0.15
4-00157-0040,"44 15 43 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,73,1927,68700,908901,13.23,2830000,41.2,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,532470,13.05,1660000,40.7,0.15,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,635900,15.59,2150000,53,0.15
4-00158-0001,"41 41 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,94,1930,70590,917670,13,2860000,40.5,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,635900,15.59,2150000,53,0.1,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,532470,13.05,1660000,40.7,0.1
4-00159-0021,"41 08 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,61,1936,58926,779590,13.23,2430000,41.2,4-00162-0019,"43 09 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,48,1928,35340,367971,10.41,954000,27,0.1,4-00168-0041,"45 26 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,46,1929,41316,540942,13.09,1680000,40.7,0.25
4-00162-0011,"43 25 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,60,1941,65820,870798,13.23,2710000,41.2,4-00139-0024,"43 10 49 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,60,1931,43800,577011,13.17,1800000,41.1,0.25,4-00162-0019,"43 09 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,48,1928,35340,367971,10.41,954000,27,0
4-00162-0028,"43 10 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,48,1928,35340,467548,13.23,1460000,41.3,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,532470,13.05,1660000,40.7,0.15,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,635900,15.59,2150000,53,0.15
4-00162-0034,"43 30 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,60,1941,65280,863654,13.23,2690000,41.2,4-00162-0019,"43 09 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,48,1928,35340,367971,10.41,954000,27,0,4-00168-0041,"45 26 44 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,46,1929,41316,540942,13.09,1680000,40.7,0.15
4-00169-0029,"45 14 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C6-WALK-UP,23,1929,18984,249259,13.13,776000,40.9,4-00169-0013,"45 29 42 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C1-WALK-UP,20,1931,13152,177854,13.52,554000,42.1,0,4-00169-0021,"45 15 42 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C1-WALK-UP,23,1931,18949,280225,14.79,947000,50,0
4-00169-0032,"45 20 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C6-WALK-UP,23,1931,18984,249259,13.13,776000,40.9,4-00860-0001,"20 65 26 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C9-WALK-UP,60,1947,45417,829502,18.26,3100000,68,2.7,4-00859-0001,"20 75 27 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C9-WALK-UP,60,1947,45417,835418,18.39,3120000,69,2.7
4-00170-0001,"47 37 45 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,93,1964,75024,1102852,14.7,3730000,49.7,4-02104-0001,"98 41 QUEENS BOULEVARD
Queens, NY
(40.749436300045204, -73.79729979984586)",REGO PARK,D7-ELEVATOR,206,1952,204340,2638170,12.91,8220000,40.2,3.45,4-02319-0010,"47 50 59 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",WOODSIDE,D3-ELEVATOR,233,1970,239190,2625488,10.98,5570000,23.29,0.65
4-00175-0001,"42 05 48 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,54,1942,53400,728910,13.65,2270000,42.5,4-00186-0001,"41 43 39 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,84,1939,84000,1186373,14.12,3690000,43.9,0.45,4-00189-0019,"43 09 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,77,1932,66714,1084929,16.26,3670000,55,0.3
4-00177-0001,"43 10 50 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,493,1931,409538,5590193,13.65,17400000,42.5,4-00186-0001,"41 43 39 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,84,1939,84000,1186373,14.12,3690000,43.9,0.55,4-00189-0019,"43 09 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,77,1932,66714,1084929,16.26,3670000,55,0.4
4-00178-0025,"48 10 43 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,262,1937,235000,3207750,13.65,9990000,42.5,4-00186-0001,"41 43 39 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,84,1939,84000,1186373,14.12,3690000,43.9,0.55,4-00189-0019,"43 09 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,77,1932,66714,1084929,16.26,3670000,55,0.4
4-00184-0001,"41 41 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,96,1936,74664,1019163,13.65,3170000,42.5,4-00186-0001,"41 43 39 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,84,1939,84000,1186373,14.12,3690000,43.9,0.1,4-00189-0019,"43 09 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,77,1932,66714,1084929,16.26,3670000,55,0.1
4-00184-0037,"41 42 42 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,94,1931,74664,1019163,13.65,3170000,42.5,4-00131-0013,"41 15 50 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,48,1931,43150,644729,14.94,2180000,51,0.45,4-00131-0025,"41 16 51 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,42,1931,43150,693453,16.07,2340000,54,0.45
4-00185-0027,"41 12 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,83,1941,79000,1078350,13.65,3360000,42.5,4-00137-0004,"41 41 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D6-ELEVATOR,107,1931,77730,1314433,16.91,4910000,63,0.3,4-00137-0013,"41 29 46 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,96,1931,72700,1377280,18.94,5150000,71,0.3
4-00189-0025,"43 08 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,52,1937,53500,730275,13.65,2270000,42.4,4-00186-0001,"41 43 39 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,84,1939,84000,1186373,14.12,3690000,43.9,0.1,4-00189-0019,"43 09 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,77,1932,66714,1084929,16.26,3670000,55,0
4-00194-0023,"45 08 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C6-WALK-UP,124,1922,121714,1734424,14.25,5400000,44.4,4-00194-0001,"39 39 47 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C7-WALK-UP,12,1931,7380,120958,16.39,409000,55,0,4-00195-0001,"39 21 47 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C7-WALK-UP,44,1927,30000,392416,13.08,1100000,36.7,0.05
4-00196-0027,"41 12 47 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,48,1937,42232,576466,13.65,1790000,42.4,4-00195-0044,"45 36 39 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,70,1931,51108,670536,13.12,2090000,40.9,0.2,4-00196-0022,"47 07 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,59,1937,63492,955960,15.06,3230000,51,0
4-00196-0032,"47 20 42 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,59,1938,64890,885748,13.65,2760000,42.5,4-00195-0044,"45 36 39 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,70,1931,51108,670536,13.12,2090000,40.9,0.2,4-00196-0022,"47 07 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,59,1937,63492,955960,15.06,3230000,51,0
4-00198-0011,"47 39 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,54,1939,48000,655200,13.65,2040000,42.5,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,532470,13.05,1660000,40.7,0.4,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,635900,15.59,2150000,53,0.4
4-00198-0019,"47 25 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,54,1939,48000,655200,13.65,2040000,42.5,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,532470,13.05,1660000,40.7,0.4,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,635900,15.59,2150000,53,0.4
4-00202-0023,"48 21 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,60,1955,49660,677859,13.65,2110000,42.5,4-00184-0009,"41 29 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,50,1937,40800,532470,13.05,1660000,40.7,0.5,4-00184-0014,"41 19 41 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,49,1937,40800,635900,15.59,2150000,53,0.5
4-00206-0101,"39 55 GREENPOINT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,C6-WALK-UP,17,1940,14000,191100,13.65,595000,42.5,4-00319-0001,"33 78 11 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,C1-WALK-UP,24,1932,14796,223510,15.11,756000,51,1.9,4-00304-0003,"52 27 35 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,C1-WALK-UP,12,1931,6675,92595,13.87,288000,43.1,0.55
4-00209-0025,"50 21 39 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,51,1961,29725,405746,13.65,1260000,42.4,4-00205-0015,"39 40 GREENPOINT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,36,1941,32000,488701,15.27,1650000,52,0.1,4-00236-0066,"48 50 37 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D1-ELEVATOR,120,1961,97528,1408306,14.44,4760000,48.8,0.2
4-00209-0042,"50 22 40 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,51,1961,29754,406142,13.65,1260000,42.3,4-00236-0066,"48 50 37 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D1-ELEVATOR,120,1961,97528,1408306,14.44,4760000,48.8,0.2,4-00205-0015,"39 40 GREENPOINT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,36,1941,32000,488701,15.27,1650000,52,0.1
4-00210-0022,"50 15 39 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D4-ELEVATOR,51,1960,38864,530493,13.65,1650000,42.5,4-00236-0066,"48 50 37 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D1-ELEVATOR,120,1961,97528,1408306,14.44,4760000,48.8,0.15,4-00205-0015,"39 40 GREENPOINT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,36,1941,32000,488701,15.27,1650000,52,0.1
4-00341-0001,"35 55 29 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D4-ELEVATOR,61,1929,47000,634500,13.5,1980000,42.1,4-00342-0018,"29 02 29 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D7-ELEVATOR,77,1929,70000,1144181,16.35,3870000,55,0.15,4-00342-0024,"36 06 30 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",LONG ISLAND CITY,D7-ELEVATOR,66,1929,61000,846283,13.87,2640000,43.3,0.15
4-00528-0050,"33 43 14 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,364,1958,444115,5773495,13,18000000,40.5,4-00583-0011,"34 43 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,120,1964,103850,1458058,14.04,4540000,43.7,0.3,4-00581-0033,"33 43 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,73,1959,76956,1055293,13.71,3290000,42.8,0.3
4-00534-0015,"14 17 31 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,48,1914,28704,391809,13.65,1220000,42.5,4-00195-0044,"45 36 39 PLACE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,70,1931,51108,670536,13.12,2090000,40.9,1.75,4-00205-0015,"39 40 GREENPOINT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,36,1941,32000,488701,15.27,1650000,52,2.05
4-00557-0003,"33 34 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,727,1950,563800,6596460,11.7,18500000,32.8,4-01567-0040,"92 01 LAMONT AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,98,1962,82700,1078841,13.05,3360000,40.6,3.2,4-09236-0033,"120 07 85 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",KEW GARDENS,D1-ELEVATOR,57,1962,46692,580000,12.42,1630000,34.9,6.7
4-00569-0056,"31 14 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C6-WALK-UP,59,1926,33138,574281,17.33,2150000,65,4-00568-0031,"23 30 31 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C1-WALK-UP,20,1930,13776,255551,18.55,956000,69,0.05,4-00569-0030,"31 03 23 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C1-WALK-UP,24,1927,16600,325437,19.6,1220000,73,0
4-00578-0020,"30 83 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C6-WALK-UP,35,1928,27500,375375,13.65,1170000,42.5,4-00577-0019,"30 49 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C1-WALK-UP,87,1926,53796,1104656,20.53,4130000,77,0.1,4-00576-0049,"30 14 29 STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C1-WALK-UP,20,1928,14000,264575,18.9,989000,71,0.15
4-00578-0023,"25 06 30 DRIVE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C6-WALK-UP,30,1928,21500,293475,13.65,914000,42.5,4-00577-0019,"30 49 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C1-WALK-UP,87,1926,53796,1104656,20.53,4130000,77,0.1,4-00569-0003,"23 57 31 ROAD
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,C1-WALK-UP,20,1927,13500,213935,15.85,723000,54,0.15
4-00579-0018,"31 85 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,116,1960,92250,1254600,13.6,3910000,42.4,4-00579-0036,"31 35 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,122,1961,100400,1358775,13.53,4230000,42.1,0,4-00576-0036,"27 10 30 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,66,1963,50850,810693,15.94,2740000,54,0.3
4-00579-0042,"31 23 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D4-ELEVATOR,26,1971,16800,238224,14.18,742000,44.2,4-00578-0013,"30 91 CRESCENT STREET
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,72,1956,73600,998555,13.57,3110000,42.3,0.15,4-00576-0036,"27 10 30 AVENUE
Queens, NY
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,66,1963,50850,810693,15.94,2740000,54,0.3
