BRONX – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Address,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
2-02794-0062,"221 173 STREET
Bronx, NY
(40.84376950406947, -73.90882595240157)",MOUNT HOPE/MOUNT EDEN,D4-ELEVATOR,26,1939,32150,505077,15.71,300603,9.35,204474,1399000,43.51,2-02854-0018,"1979 WALTON AVENUE
Bronx, NY
(40.85176655090597, -73.90805380486725)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,30,1927,31125,544037,17.48,249626,8.02,294411,2124000,68.24,0.54,2-02816-0070,"1295 MORRIS AVENUE
Bronx, NY
(40.8355543244229, -73.91279243194802)",MELROSE/CONCOURSE,D5-ELEVATOR,43,1923,34857,547740,15.71,326047,9.35,221693,1517000,43.52,0.56,2-02816-0001,1294 GRANT AVENUE,MELROSE/CONCOURSE,D5-ELEVATOR,43,1923,"34,857","547,740",15.71,"326,047",9.35,"221,693","1,517,000",43.52,0.56
2-02799-0022,"1776 TOPPING AVENUE
Bronx, NY
(40.846179276639454, -73.90560393202543)",MOUNT HOPE/MOUNT EDEN,D4-ELEVATOR,25,1931,21080,256754,12.18,108562,5.15,148192,942000,44.69,2-02810-0050,"219 ECHO PLACE
Bronx, NY
(40.84981715406876, -73.90493871556718)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,31,1939,21600,253799,11.75,143365,6.64,110434,706000,32.69,0.29,2-02800-0036,"1826 MONROE AVENUE
Bronx, NY
(40.84730207431968, -73.90639574528565)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,32,1964,20196,245963,12.18,104037,5.15,141926,746000,36.94,0.1,2-02794-0054,1691 EASTBURN AVENUE,MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,36,1937,"26,000","327,340",12.59,"180,180",6.93,"147,160","986,000",37.92,0.23
2-02802-0005,"1854 MONROE AVENUE
Bronx, NY
(40.8479757483753, -73.90614330052148)",MOUNT HOPE/MOUNT EDEN,C6-WALK-UP,26,1915,22500,327600,14.56,200250,8.9,127350,844000,37.51,2-02802-0070,"217 176 STREET
Bronx, NY
(40.84755524269277, -73.90586464718798)",MOUNT HOPE/MOUNT EDEN,C1-WALK-UP,26,1915,21720,320587,14.76,169850,7.82,150737,1040000,47.88,0,2-02802-0014,"220 MT HOPE PLACE
Bronx, NY
(40.84826491313373, -73.90551582181571)",MOUNT HOPE/MOUNT EDEN,C1-WALK-UP,32,1923,25400,328415,12.93,197336,7.77,131079,757000,29.8,0,2-02802-0003,1848 MONROE AVENUE,MOUNT HOPE/MOUNT EDEN,C1-WALK-UP,26,1915,"22,500","250,956",11.15,"142,490",6.33,"108,466","669,000",29.73,0.00
2-02805-0016,"1855 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOUNT HOPE/MOUNT EDEN,D4-ELEVATOR,44,1936,45000,503100,11.18,291600,6.48,211500,1363000,30.29,2-02837-0031,"1565 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOUNT HOPE/MOUNT EDEN,D9-ELEVATOR,58,1920,62838,559288,8.9,333822,5.31,225466,1298000,20.66,0.46,2-02947-0035,"1899 BELMONT AVENUE
Bronx, NY
(40.84480632517673, -73.89292029318845)",EAST TREMONT,D9-ELEVATOR,27,1922,28279,380427,13.45,216185,7.64,164242,1088000,38.47,0.8,, , , , , , , , , , , , , , 
2-02809-0022,"240 ECHO PLACE
Bronx, NY
(40.849661699860654, -73.90444877292784)",MOUNT HOPE/MOUNT EDEN,D4-ELEVATOR,42,1931,45700,596385,13.05,274657,6.01,321728,2142000,46.87,2-02806-0001,"105 177 STREET
Bronx, NY
(40.84968139327063, -73.90791375045586)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,46,1927,45060,494814,10.98,176700,3.92,318114,1815000,40.28,0.15,2-02801-0018,"1855 MONROE AVENUE
Bronx, NY
(40.8479633647594, -73.90622226449233)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,36,1936,37000,482748,13.05,222485,6.01,260263,1733000,46.84,0.15,2-02801-0031,1882 GRAND CONCOURSE,MOUNT HOPE/MOUNT EDEN,D3-ELEVATOR,44,1914,"41,250","616,275",14.94,"326,700",7.92,"289,575","1,860,000",45.09,0.15
2-02810-0026,"250 178 STREET
Bronx, NY
(40.850245148691805, -73.90386021420521)",MOUNT HOPE/MOUNT EDEN,D4-ELEVATOR,60,1936,70000,817600,11.68,390600,5.58,427000,2732000,39.03,2-02820-0016,"1546 SELWYN AVENUE
Bronx, NY
(40.84106574634173, -73.91033119029585)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,69,1927,68886,797797,11.58,494299,7.18,303498,1945000,28.24,0.66,2-02804-0052,"215 MT HOPE PLACE
Bronx, NY
(40.84837239342266, -73.90577410523213)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,73,1937,78000,910708,11.68,434945,5.58,475763,2255000,28.91,0.1,2-02820-0027,1560 SELWYN AVENUE,MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,60,1926,"61,806","743,526",12.03,"401,739",6.50,"341,787","2,176,000",35.21,0.66
2-02821-0052,"1561 SHERIDAN AVENUE
Bronx, NY
(40.84192944397796, -73.9111201535249)",MOUNT HOPE/MOUNT EDEN,D4-ELEVATOR,68,1928,74462,790335,10.61,421091,5.66,369244,2292000,30.78,2-02821-0061,"1551 SHERIDAN AVENUE
Bronx, NY
(40.841712461315055, -73.91114241429467)",MOUNT HOPE/MOUNT EDEN,D7-ELEVATOR,55,1940,64000,584848,9.14,318611,4.98,266237,1585000,24.77,0,2-02821-0001,"1500 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,96,1935,96990,1001417,10.32,609515,6.28,391902,2439000,25.15,0,2-02820-0016,1546 SELWYN AVENUE,MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,69,1927,"68,886","797,797",11.58,"494,299",7.18,"303,498","1,945,000",28.24,0.09
2-02826-0011,"1770 WALTON AVENUE
Bronx, NY
(40.84756953806167, -73.91018555947747)",MOUNT HOPE/MOUNT EDEN,C6-WALK-UP,37,1925,29600,328856,11.11,203352,6.87,125504,775000,26.18,2-02791-0044,"1707 TOPPING AVENUE
Bronx, NY
(40.84423062907886, -73.90585275256475)",MOUNT HOPE/MOUNT EDEN,C7-WALK-UP,33,1924,30653,344162,11.23,194058,6.33,150104,967000,31.55,0.3,2-02869-0034,"45 TREMONT AVENUE
Bronx, NY
(40.8514011704861, -73.90846852966983)",HIGHBRIDGE/MORRIS HEIGHTS,C7-WALK-UP,51,1926,56849,471744,8.3,277624,4.88,194120,1054000,18.54,0.33,2-02889-0018,1705 ANTHONY AVENUE,MOUNT HOPE/MOUNT EDEN,C7-WALK-UP,23,1913,"19,620","217,896",11.11,"134,703",6.87,"83,193","513,000",26.15,0.37
2-02826-0024,"110 176 STREET
Bronx, NY
(40.84816338818245, -73.90942887842866)",MOUNT HOPE/MOUNT EDEN,C6-WALK-UP,37,1924,28100,312191,11.11,193047,6.87,119144,735000,26.16,2-02791-0044,"1707 TOPPING AVENUE
Bronx, NY
(40.84423062907886, -73.90585275256475)",MOUNT HOPE/MOUNT EDEN,C7-WALK-UP,33,1924,30653,344162,11.23,194058,6.33,150104,967000,31.55,0.3,2-02869-0034,"45 TREMONT AVENUE
Bronx, NY
(40.8514011704861, -73.90846852966983)",HIGHBRIDGE/MORRIS HEIGHTS,C7-WALK-UP,51,1926,56849,471744,8.3,277624,4.88,194120,1054000,18.54,0.33,2-02889-0018,1705 ANTHONY AVENUE,MOUNT HOPE/MOUNT EDEN,C7-WALK-UP,23,1913,"19,620","217,896",11.11,"134,703",6.87,"83,193","513,000",26.15,0.37
2-02849-0028,"1723 TOWNSEND AVENUE
Bronx, NY
(40.846732906456324, -73.91193437531514)",MOUNT HOPE/MOUNT EDEN,C6-WALK-UP,21,1926,24900,315981,12.69,179529,7.21,136452,913000,36.67,2-02849-0076,"1715 WALTON AVENUE
Bronx, NY
(40.84622127179186, -73.91123515313937)",MOUNT HOPE/MOUNT EDEN,C1-WALK-UP,46,1925,34580,495706,14.34,216488,6.26,279218,1934000,55.93,0.05,2-02861-0052,"1706 DAVIDSON AVENUE
Bronx, NY
(40.84724304066577, -73.91378931817808)",HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,45,1927,41250,523434,12.69,297418,7.21,226016,1512000,36.65,0.05,2-02849-0070,1727 WALTON AVENUE,MOUNT HOPE/MOUNT EDEN,C1-WALK-UP,56,1925,"45,310","474,534",10.47,"221,328",4.88,"253,206","1,573,000",34.72,0.05
2-02850-0040,"1770 TOWNSEND AVENUE
Bronx, NY
(40.847784728294826, -73.91110556878706)",MOUNT HOPE/MOUNT EDEN,C6-WALK-UP,57,1925,44440,499061,11.23,281305,6.33,217756,1403000,31.57,2-02869-0034,"45 TREMONT AVENUE
Bronx, NY
(40.8514011704861, -73.90846852966983)",HIGHBRIDGE/MORRIS HEIGHTS,C7-WALK-UP,51,1926,56849,471744,8.3,277624,4.88,194120,1054000,18.54,0.31,2-02791-0044,"1707 TOPPING AVENUE
Bronx, NY
(40.84423062907886, -73.90585275256475)",MOUNT HOPE/MOUNT EDEN,C7-WALK-UP,33,1924,30653,344162,11.23,194058,6.33,150104,967000,31.55,0.34,2-02854-0064,2003 WALTON AVENUE,MOUNT HOPE/MOUNT EDEN,C1-WALK-UP,49,1925,"55,350","870,460",15.73,"407,722",7.37,"462,738","3,124,000",56.44,0.40
2-02872-0001,"1372 SHAKESPEARE AVENUE
Bronx, NY
(40.84154338123717, -73.92154367927968)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,57,1926,39745,275433,6.93,195545,4.92,79888,475000,11.95,2-02466-0044,"125 168 STREET
Bronx, NY
(40.83624382519071, -73.91777984188022)",MELROSE/CONCOURSE,C1-WALK-UP,45,1924,45500,388015,8.53,252225,5.54,135790,812000,17.85,0.39,2-02457-0050,"1279 SHERIDAN AVENUE
Bronx, NY
(40.835836233178824, -73.9150147819894)",MELROSE/CONCOURSE,D1-ELEVATOR,27,1924,30800,383419,12.45,210872,6.85,172547,1157000,37.56,0.48,2-02816-0045,1355 MORRIS AVENUE,MELROSE/CONCOURSE,C1-WALK-UP,45,1924,"36,085","307,805",8.53,"199,911",5.54,"107,894","645,000",17.87,0.55
2-02931-0098,"605 169 STREET
Bronx, NY
(40.83190131863027, -73.90234429859225)",MORRISANIA/LONGWOOD,D4-ELEVATOR,35,1931,41580,430769,10.36,270695,6.51,160074,997000,23.98,2-03298-0028,"2986 BRIGGS AVENUE
Bronx, NY
(40.87164829343862, -73.8849488800076)",BEDFORD PARK/NORWOOD,D1-ELEVATOR,36,1938,40381,323048,8,216442,5.36,106606,629000,15.58,2.75,2-03237-0097,"160 KINGSBRIDGE ROAD
Bronx, NY
(40.87026634542542, -73.90444024198291)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,36,1927,39600,410291,10.36,189192,4.78,221099,915000,23.11,2.43,, , , , , , , , , , , , , , 
2-02933-0029,"1372 FRANKLIN AVENUE
Bronx, NY
(40.833338103365634, -73.9007112846625)",MORRISANIA/LONGWOOD,D4-ELEVATOR,48,1931,48852,507572,10.39,315584,6.46,191988,1194000,24.44,2-02692-0074,"865 167 STREET
Bronx, NY
(40.82613200727856, -73.89740684143501)",MORRISANIA/LONGWOOD,D7-ELEVATOR,55,1928,40800,423914,10.39,263552,6.46,160362,971000,23.8,0.41,2-02429-0034,"1109 CLAY AVENUE
Bronx, NY
(40.82998933407937, -73.91196319392002)",MELROSE/CONCOURSE,D1-ELEVATOR,60,1931,48200,468013,9.71,304195,6.31,163818,971000,20.15,0.63,2-02433-0023,1055 FINDLAY AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,49,1927,"48,475","592,409",12.22,"325,799",6.72,"266,610","1,692,000",34.90,0.77
2-02935-0001,"625 JEFFERSON PLACE
Bronx, NY
(40.833442676336155, -73.89999329445317)",MORRISANIA/LONGWOOD,D4-ELEVATOR,16,1906,17100,187660,10.97,113904,6.66,73756,456000,26.67,2-02464-0007,"1227 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D1-ELEVATOR,30,1937,20250,255716,12.63,165393,8.17,90323,481000,23.75,0.94,2-02474-0049,"853 WALTON AVENUE
Bronx, NY
(40.826439249036476, -73.92459394272153)",MELROSE/CONCOURSE,D1-ELEVATOR,24,1927,21931,287936,13.13,167011,7.62,120925,804000,36.66,1.41,, , , , , , , , , , , , , , 
2-02948-0025,"705 CROTONA PARK
Bronx, NY
(40.84212104413827, -73.89395187588254)",CROTONA PARK,C6-WALK-UP,20,1916,15000,196200,13.08,120408,8.03,75792,505000,33.67,2-03369-0034,"125 233 STREET
Bronx, NY
(40.8797037324041, -73.901284738288)",WOODLAWN,C1-WALK-UP,20,1929,14798,199773,13.5,103882,7.02,95891,635000,42.91,3.9,2-02790-0059,"343 173 STREET
Bronx, NY
(40.843493827884465, -73.90526042320803)",MOUNT HOPE/MOUNT EDEN,C1-WALK-UP,21,1915,13000,231270,17.79,115700,8.9,115570,580000,44.62,0.64,2-04016-0009,520 MORRIS PARK AVENUE,PARKCHESTER,C1-WALK-UP,21,1915,"12,840","189,478",14.76,"107,892",8.40,"81,586","563,000",43.85,1.14
2-02961-0015,"757 169 STREET
Bronx, NY
(40.830871349109934, -73.89977098100283)",MORRISANIA/LONGWOOD,C6-WALK-UP,32,1926,26347,327493,12.43,188384,7.15,139109,880000,33.4,2-03225-0169,"2333 LORING PLACE
Bronx, NY
(40.861611275826476, -73.90851272444)",KINGSBRIDGE HTS/UNIV HTS,C7-WALK-UP,26,1927,26556,284646,10.72,152081,5.73,132565,822000,30.95,2.14,2-02998-0166,"985 174 STREET
Bronx, NY
(40.836428279258726, -73.8848780309087)",CROTONA PARK,C7-WALK-UP,28,1931,24750,307602,12.43,156158,6.31,151444,945000,38.18,0.89,, , , , , , , , , , , , , , 
2-02962-0044,"1409 PROSPECT AVENUE
Bronx, NY
(40.83230653479862, -73.89666101747062)",MORRISANIA/LONGWOOD,C6-WALK-UP,11,1904,14175,165139,11.65,103228,7.28,61911,398000,28.08,2-02709-0009,"834 BECK STREET
Bronx, NY
(40.81782787147172, -73.89713986700835)",MORRISANIA/LONGWOOD,C1-WALK-UP,12,1907,10110,142532,14.1,64538,6.38,77994,445000,44.02,1.01,2-03237-0107,"2635 SEDGWICK AVENUE
Bronx, NY
(40.86916453183633, -73.90512912722889)",KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,11,1916,13690,134467,9.82,84052,6.14,50415,298000,21.77,2.51,, , , , , , , , , , , , , , 
2-02966-0017,"1500 BOSTON ROAD
Bronx, NY
(40.834951561901086, -73.89404595125656)",CROTONA PARK,C6-WALK-UP,43,1933,30000,327900,10.93,181263,6.04,146637,907000,30.23,2-02683-0043,"567 SOUTHERN BOULEVARD
Bronx, NY
(40.81241876142073, -73.90324592498636)",MORRISANIA/LONGWOOD,C7-WALK-UP,41,1907,25926,222094,8.57,144369,5.57,77725,465000,17.94,1.58,2-03974-0004,"1410 ROWLAND STREET
Bronx, NY
(40.83789699744085, -73.84576155801867)",WESTCHESTER,C1-WALK-UP,39,1928,32000,352320,11.01,193600,6.05,158720,981000,30.66,2.45,, , , , , , , , , , , , , , 
2-02967-0006,"1574 BOSTON ROAD
Bronx, NY
(40.83573221556757, -73.89140585524403)",CROTONA PARK,D4-ELEVATOR,54,1929,50000,675000,13.5,371250,7.43,303750,2013000,40.26,2-02453-0030,"1210 SHERMAN AVENUE
Bronx, NY
(40.83394461859277, -73.91575865169428)",MELROSE/CONCOURSE,D7-ELEVATOR,56,1938,53000,841105,15.87,462644,8.73,378461,2586000,48.79,1.23,2-03197-0001,"2280 GRAND AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,D7-ELEVATOR,55,1927,53662,660398,12.31,286998,5.35,373400,2367000,44.11,1.8,, , , , , , , , , , , , , , 
2-02968-0035,"810 RITTER PLACE
Bronx, NY
(40.830850271595146, -73.89844746313217)",MORRISANIA/LONGWOOD,C6-WALK-UP,21,1910,17520,192420,10.98,118170,6.74,74250,459000,26.2,2-02381-0051,"462 160 STREET
Bronx, NY
(40.82299288143057, -73.9123998386039)",MORRISANIA/LONGWOOD,C1-WALK-UP,31,1910,17520,171413,9.78,106268,6.07,65145,386000,22.03,0.94,2-02749-0010,"1018 HOE AVENUE
Bronx, NY
(40.82369201009576, -73.89042028459218)",MORRISANIA/LONGWOOD,C1-WALK-UP,20,1909,14450,169457,11.73,103374,7.15,66083,423000,29.27,0.6,, , , , , , , , , , , , , , 
2-02985-0023,"1922 CROTONA PARKWAY
Bronx, NY
(40.841576707924695, -73.88544205219551)",EAST TREMONT,D4-ELEVATOR,17,1911,27691,270541,9.77,167254,6.04,103287,612000,22.1,2-03122-0016,"916 179 STREET
Bronx, NY
(40.843474901811085, -73.88267336898487)",EAST TREMONT,C1-WALK-UP,16,1931,16208,96433,5.95,66320,4.09,30113,179000,11.04,0.12,2-03125-0014,"2117 DALY AVENUE
Bronx, NY
(40.84505860474586, -73.8813569730046)",EAST TREMONT,C1-WALK-UP,18,1915,19250,263022,13.66,139240,7.23,123782,774000,40.21,0.28,2-03119-0007,2116 CROTONA PARKWAY,EAST TREMONT,C1-WALK-UP,22,1931,"19,668","192,252",9.77,"118,759",6.04,"73,493","435,000",22.12,0.30
2-02992-0018,"1898 DALY AVENUE
Bronx, NY
(40.84090147653475, -73.88441762119892)",EAST TREMONT,C6-WALK-UP,16,1993,15840,260251,16.43,133821,8.45,126430,916000,57.83,2-03077-0050,"2463 HUGHES AVENUE
Bronx, NY
(40.85647324862814, -73.88585763255445)",BELMONT,C1-WALK-UP,16,2004,13520,237761,17.59,74546,5.51,163215,1177000,87.06,1.12,2-03199-0007,"2392 GRAND AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,16,2005,15712,315811,20.1,135799,8.64,180012,1295000,82.42,1.78,2-05798-0101,3615 OXFORD AVENUE,RIVERDALE,C1-WALK-UP,15,1980,"7,550","174,490",23.11,"78,802",10.44,"95,688","643,000",85.17,3.47
2-02992-0073,"1883 VYSE AVENUE
Bronx, NY
(40.839548757803456, -73.88393502210386)",EAST TREMONT,C6-WALK-UP,16,1993,15840,260251,16.43,133821,8.45,126430,916000,57.83,2-03077-0050,"2463 HUGHES AVENUE
Bronx, NY
(40.85647324862814, -73.88585763255445)",BELMONT,C1-WALK-UP,16,2004,13520,237761,17.59,74546,5.51,163215,1177000,87.06,1.12,2-03199-0007,"2392 GRAND AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,16,2005,15712,315811,20.1,135799,8.64,180012,1295000,82.42,1.78,2-05798-0101,3615 OXFORD AVENUE,RIVERDALE,C1-WALK-UP,15,1980,"7,550","174,490",23.11,"78,802",10.44,"95,688","643,000",85.17,3.47
2-02998-0145,"1003 174 STREET
Bronx, NY
(40.836161091367636, -73.88411859798565)",CROTONA PARK,C6-WALK-UP,43,1923,28165,336572,11.95,195616,6.95,140956,770000,27.34,2-02813-0009,"2034 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOUNT HOPE/MOUNT EDEN,C1-WALK-UP,46,1919,28000,372839,13.32,208864,7.46,163975,1088000,38.86,1.36,2-02754-0005,"1134 FARMS ROAD
Bronx, NY
(40.82722285127296, -73.8895463815305)",MORRISANIA/LONGWOOD,C1-WALK-UP,43,1926,30540,334439,10.95,204011,6.68,130428,806000,26.39,0.77,2-02609-0046,1175 FULTON AVENUE,MORRISANIA/LONGWOOD,C1-WALK-UP,43,1925,"28,800","483,196",16.78,"265,758",9.23,"217,438","1,573,000",54.62,1.21
2-03069-0090,"2039 HUGHES AVENUE
Bronx, NY
(40.847947946162385, -73.8911030292157)",EAST TREMONT,D4-ELEVATOR,12,1911,13200,145759,11.04,85221,6.46,60538,374000,28.33,2-03099-0006,"743 182 STREET
Bronx, NY
(40.8500580893534, -73.88596975140898)",BELMONT,C1-WALK-UP,20,1913,19750,215772,10.93,135607,6.87,80165,496000,25.11,0.33,2-03034-0047,"467 TREMONT AVENUE
Bronx, NY
(40.84708804737376, -73.89818371569106)",BATHGATE,C7-WALK-UP,28,1931,14549,240786,16.55,122794,8.44,117992,499000,34.3,0.36,2-02909-0012,440 EAST TREMONT AVENUE,BATHGATE,C7-WALK-UP,11,1931,"12,863","169,182",13.15,"94,222",7.33,"74,960","496,000",38.56,0.41
2-03073-0041,"2386 ARTHUR AVENUE
Bronx, NY
(40.855246380614965, -73.88779091887343)",BELMONT,C6-WALK-UP,15,1905,10776,117782,10.93,74031,6.87,43751,267000,24.78,2-03073-0039,"2380 ARTHUR AVENUE
Bronx, NY
(40.855106895768216, -73.8879082129491)",BELMONT,C7-WALK-UP,13,1904,10701,116748,10.91,66453,6.21,50295,311000,29.06,0,2-03273-0287,"610 191 STREET
Bronx, NY
(40.85915312461312, -73.88494716280293)",BELMONT,C1-WALK-UP,16,1911,8700,105966,12.18,57159,6.57,48807,187000,21.49,0.3,2-03099-0006,743 EAST 182 STREET,BELMONT,C1-WALK-UP,20,1913,"19,750","215,772",10.93,"135,607",6.87,"80,165","496,000",25.11,0.35
2-03080-0082,"2076 BELMONT AVENUE
Bronx, NY
(40.84814976712944, -73.8901137069794)",EAST TREMONT,C6-WALK-UP,16,1925,14850,155480,10.47,98307,6.62,57173,355000,23.91,2-03099-0006,"743 182 STREET
Bronx, NY
(40.8500580893534, -73.88596975140898)",BELMONT,C1-WALK-UP,20,1913,19750,215772,10.93,135607,6.87,80165,496000,25.11,0.26,2-03111-0010,"2125 SOUTHERN BOULEVARD
Bronx, NY
(40.84676892814889, -73.8838403800604)",EAST TREMONT,C7-WALK-UP,41,1931,31190,312306,10.01,198350,6.36,113956,694000,22.25,0.27,, , , , , , , , , , , , , , 
2-03081-0013,"2121 BELMONT AVENUE
Bronx, NY
(40.84922718352818, -73.88943727683987)",EAST TREMONT,C6-WALK-UP,21,1910,17000,188020,11.06,115260,6.78,72760,449000,26.41,2-03099-0006,"743 182 STREET
Bronx, NY
(40.8500580893534, -73.88596975140898)",BELMONT,C1-WALK-UP,20,1913,19750,215772,10.93,135607,6.87,80165,496000,25.11,0.24,2-03119-0058,"2150 CROTONA PARKWAY
Bronx, NY
(40.847212004164334, -73.88296823376224)",EAST TREMONT,C1-WALK-UP,11,1914,9815,109850,11.19,65648,6.69,44202,285000,29.04,0.4,, , , , , , , , , , , , , , 
2-03081-0042,"2114 BELMONT AVENUE
Bronx, NY
(40.84902802159298, -73.88948319244398)",EAST TREMONT,C6-WALK-UP,16,1927,12200,127734,10.47,80764,6.62,46970,292000,23.93,2-03099-0006,"743 182 STREET
Bronx, NY
(40.8500580893534, -73.88596975140898)",BELMONT,C1-WALK-UP,20,1913,19750,215772,10.93,135607,6.87,80165,496000,25.11,0.2,2-03111-0010,"2125 SOUTHERN BOULEVARD
Bronx, NY
(40.84676892814889, -73.8838403800604)",EAST TREMONT,C7-WALK-UP,41,1931,31190,312306,10.01,198350,6.36,113956,694000,22.25,0.27,, , , , , , , , , , , , , , 
2-03083-0001,"661 181 STREET
Bronx, NY
(40.82557699997852, -73.91844899972153)",EAST TREMONT,D4-ELEVATOR,281,1959,272000,3468000,12.75,2110720,7.76,1357280,9075000,33.36,2-03138-0001,"999 180 STREET
Bronx, NY
(40.843235160415034, -73.8791946738251)",EAST TREMONT,D1-ELEVATOR,237,1974,276135,3521878,12.75,2141678,7.76,1380200,9228000,33.42,0.66,2-03093-0020,"750 179 STREET
Bronx, NY
(40.845887638701804, -73.88818769650754)",EAST TREMONT,D1-ELEVATOR,152,1975,145330,2322119,15.98,1227556,8.45,1094563,7467000,51.38,0.3,2-03142-0001,2010 VALENTINE AVENUE,FORDHAM,D7-ELEVATOR,354,1973,"375,225","4,291,816",11.44,"2,823,485",7.52,"1,468,331","9,429,000",25.13,0.61
