District,Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
3,6,2006,Black,561,635,63,11.2%,318,56.7%,168,29.9%,12,2.1%,180,32.1%
3,6,2006,Hispanic,526,640,50,9.5%,266,50.6%,195,37.1%,15,2.9%,210,39.9%
3,6,2006,White,294,690,5,1.7%,23,7.8%,166,56.5%,100,34%,266,90.5%
3,7,2006,Asian,53,682,1,1.9%,11,20.8%,26,49.1%,15,28.3%,41,77.4%
3,7,2006,Black,618,631,93,15%,346,56%,168,27.2%,11,1.8%,179,29%
3,7,2006,Hispanic,515,642,51,9.9%,253,49.1%,193,37.5%,18,3.5%,211,41%
3,7,2006,White,287,695,6,2.1%,22,7.7%,145,50.5%,114,39.7%,259,90.2%
3,8,2006,Asian,54,683,3,5.6%,13,24.1%,24,44.4%,14,25.9%,38,70.4%
3,8,2006,Black,701,632,103,14.7%,418,59.6%,173,24.7%,7,1%,180,25.7%
3,8,2006,Hispanic,504,637,58,11.5%,283,56.2%,157,31.2%,6,1.2%,163,32.3%
3,8,2006,White,276,689,5,1.8%,31,11.2%,180,65.2%,60,21.7%,240,87%
3,All Grades,2006,Asian,389,690,6,1.5%,54,13.9%,221,56.8%,108,27.8%,329,84.6%
3,All Grades,2006,Black,3488,638,492,14.1%,1709,49%,1211,34.7%,76,2.2%,1287,36.9%
3,All Grades,2006,Hispanic,2829,644,310,11%,1318,46.6%,1129,39.9%,72,2.5%,1201,42.5%
3,All Grades,2006,White,1783,693,37,2.1%,143,8%,1095,61.4%,508,28.5%,1603,89.9%
4,3,2006,Asian,20,676,0,0%,5,25%,13,65%,2,10%,15,75%
4,3,2006,Black,431,653,63,14.6%,128,29.7%,230,53.4%,10,2.3%,240,55.7%
4,3,2006,Hispanic,587,657,79,13.5%,155,26.4%,331,56.4%,22,3.7%,353,60.1%
4,3,2006,White,16,669,1,6.3%,4,25%,10,62.5%,1,6.3%,11,68.8%
4,4,2006,Asian,18,672,1,5.6%,3,16.7%,13,72.2%,1,5.6%,14,77.8%
4,4,2006,Black,408,645,65,15.9%,162,39.7%,174,42.6%,7,1.7%,181,44.4%
4,4,2006,Hispanic,725,647,118,16.3%,262,36.1%,324,44.7%,21,2.9%,345,47.6%
4,4,2006,White,19,647,3,15.8%,6,31.6%,10,52.6%,0,0%,10,52.6%
4,5,2006,Asian,20,678,0,0%,4,20%,13,65%,3,15%,16,80%
4,5,2006,Black,426,647,41,9.6%,180,42.3%,181,42.5%,24,5.6%,205,48.1%
4,5,2006,Hispanic,726,649,75,10.3%,276,38%,322,44.4%,53,7.3%,375,51.7%
4,5,2006,White,13,650,1,7.7%,5,38.5%,6,46.2%,1,7.7%,7,53.8%
4,6,2006,Asian,17,663,0,0%,7,41.2%,8,47.1%,2,11.8%,10,58.8%
4,6,2006,Black,522,640,48,9.2%,258,49.4%,199,38.1%,17,3.3%,216,41.4%
4,6,2006,Hispanic,812,642,69,8.5%,394,48.5%,317,39%,32,3.9%,349,43%
4,6,2006,White,31,663,3,9.7%,5,16.1%,18,58.1%,5,16.1%,23,74.2%
4,7,2006,Asian,19,657,1,5.3%,7,36.8%,10,52.6%,1,5.3%,11,57.9%
4,7,2006,Black,472,631,61,12.9%,277,58.7%,127,26.9%,7,1.5%,134,28.4%
4,7,2006,Hispanic,833,632,115,13.8%,452,54.3%,259,31.1%,7,0.8%,266,31.9%
4,7,2006,White,25,657,2,8%,6,24%,16,64%,1,4%,17,68%
4,8,2006,Asian,18,653,1,5.6%,7,38.9%,10,55.6%,0,0%,10,55.6%
4,8,2006,Black,473,624,96,20.3%,279,59%,96,20.3%,2,0.4%,98,20.7%
4,8,2006,Hispanic,807,626,154,19.1%,478,59.2%,171,21.2%,4,0.5%,175,21.7%
4,8,2006,White,37,657,5,13.5%,6,16.2%,25,67.6%,1,2.7%,26,70.3%
4,All Grades,2006,Asian,112,667,3,2.7%,33,29.5%,67,59.8%,9,8%,76,67.9%
4,All Grades,2006,Black,2732,640,374,13.7%,1284,47%,1007,36.9%,67,2.5%,1074,39.3%
4,All Grades,2006,Hispanic,4490,641,610,13.6%,2017,44.9%,1724,38.4%,139,3.1%,1863,41.5%
4,All Grades,2006,White,141,658,15,10.6%,32,22.7%,85,60.3%,9,6.4%,94,66.7%
5,3,2006,Asian,6,686,0,0%,1,16.7%,5,83.3%,0,0%,5,83.3%
5,3,2006,Black,727,640,154,21.2%,309,42.5%,258,35.5%,6,0.8%,264,36.3%
5,3,2006,Hispanic,238,642,42,17.6%,103,43.3%,89,37.4%,4,1.7%,93,39.1%
5,3,2006,White,10,635,3,30%,4,40%,3,30%,0,0%,3,30%
5,4,2006,Asian,6,645,1,16.7%,2,33.3%,3,50%,0,0%,3,50%
5,4,2006,Black,693,643,97,14%,290,41.8%,301,43.4%,5,0.7%,306,44.2%
5,4,2006,Hispanic,287,643,47,16.4%,121,42.2%,117,40.8%,2,0.7%,119,41.5%
5,4,2006,White,3,s,s,s,s,s,s,s,s,s,s,s
5,5,2006,Asian,7,646,0,0%,4,57.1%,2,28.6%,1,14.3%,3,42.9%
5,5,2006,Black,715,637,81,11.3%,382,53.4%,246,34.4%,6,0.8%,252,35.2%
5,5,2006,Hispanic,309,636,48,15.5%,159,51.5%,97,31.4%,5,1.6%,102,33%
5,5,2006,White,8,640,1,12.5%,4,50%,3,37.5%,0,0%,3,37.5%
5,6,2006,Asian,11,661,0,0%,6,54.5%,4,36.4%,1,9.1%,5,45.5%
5,6,2006,Black,754,631,110,14.6%,387,51.3%,249,33%,8,1.1%,257,34.1%
5,6,2006,Hispanic,423,636,44,10.4%,228,53.9%,140,33.1%,11,2.6%,151,35.7%
5,6,2006,White,14,633,3,21.4%,6,42.9%,5,35.7%,0,0%,5,35.7%
5,7,2006,Asian,10,648,1,10%,2,20%,7,70%,0,0%,7,70%
5,7,2006,Black,850,625,170,20%,470,55.3%,206,24.2%,4,0.5%,210,24.7%
5,7,2006,Hispanic,472,630,67,14.2%,273,57.8%,122,25.8%,10,2.1%,132,28%
5,7,2006,White,5,s,s,s,s,s,s,s,s,s,s,s
5,8,2006,Asian,11,619,3,27.3%,5,45.5%,3,27.3%,0,0%,3,27.3%
5,8,2006,Black,829,624,178,21.5%,476,57.4%,174,21%,1,0.1%,175,21.1%
5,8,2006,Hispanic,417,630,60,14.4%,251,60.2%,102,24.5%,4,1%,106,25.4%
5,8,2006,White,10,640,1,10%,5,50%,4,40%,0,0%,4,40%
5,All Grades,2006,Asian,51,648,5,9.8%,20,39.2%,24,47.1%,2,3.9%,26,51%
5,All Grades,2006,Black,4568,633,790,17.3%,2314,50.7%,1434,31.4%,30,0.7%,1464,32%
5,All Grades,2006,Hispanic,2146,635,308,14.4%,1135,52.9%,667,31.1%,36,1.7%,703,32.8%
5,All Grades,2006,White,50,635,10,20%,21,42%,19,38%,0,0%,19,38%
6,3,2006,Asian,22,676,0,0%,4,18.2%,16,72.7%,2,9.1%,18,81.8%
6,3,2006,Black,190,643,34,17.9%,74,38.9%,80,42.1%,2,1.1%,82,43.2%
6,3,2006,Hispanic,1198,652,153,12.8%,399,33.3%,626,52.3%,20,1.7%,646,53.9%
6,3,2006,White,38,667,3,7.9%,7,18.4%,28,73.7%,0,0%,28,73.7%
6,4,2006,Asian,19,689,0,0%,1,5.3%,15,78.9%,3,15.8%,18,94.7%
6,4,2006,Black,154,637,33,21.4%,71,46.1%,49,31.8%,1,0.6%,50,32.5%
6,4,2006,Hispanic,1549,644,252,16.3%,603,38.9%,668,43.1%,26,1.7%,694,44.8%
6,4,2006,White,46,671,5,10.9%,7,15.2%,28,60.9%,6,13%,34,73.9%
6,5,2006,Asian,16,684,0,0%,0,0%,14,87.5%,2,12.5%,16,100%
6,5,2006,Black,156,640,24,15.4%,71,45.5%,58,37.2%,3,1.9%,61,39.1%
6,5,2006,Hispanic,1991,642,241,12.1%,885,44.5%,793,39.8%,72,3.6%,865,43.4%
6,5,2006,White,48,676,3,6.3%,14,29.2%,18,37.5%,13,27.1%,31,64.6%
6,6,2006,Asian,19,655,3,15.8%,5,26.3%,8,42.1%,3,15.8%,11,57.9%
6,6,2006,Black,168,623,32,19%,99,58.9%,36,21.4%,1,0.6%,37,22%
6,6,2006,Hispanic,1959,634,278,14.2%,1017,51.9%,615,31.4%,49,2.5%,664,33.9%
6,6,2006,White,36,669,2,5.6%,8,22.2%,19,52.8%,7,19.4%,26,72.2%
6,7,2006,Asian,17,653,2,11.8%,4,23.5%,10,58.8%,1,5.9%,11,64.7%
6,7,2006,Black,176,626,34,19.3%,92,52.3%,48,27.3%,2,1.1%,50,28.4%
6,7,2006,Hispanic,2110,631,317,15%,1130,53.6%,640,30.3%,23,1.1%,663,31.4%
6,7,2006,White,29,657,3,10.3%,6,20.7%,18,62.1%,2,6.9%,20,69%
6,8,2006,Asian,17,649,1,5.9%,8,47.1%,7,41.2%,1,5.9%,8,47.1%
6,8,2006,Black,172,626,43,25%,80,46.5%,47,27.3%,2,1.2%,49,28.5%
6,8,2006,Hispanic,2081,630,363,17.4%,1177,56.6%,522,25.1%,19,0.9%,541,26%
6,8,2006,White,34,647,7,20.6%,11,32.4%,13,38.2%,3,8.8%,16,47.1%
6,All Grades,2006,Asian,110,668,6,5.5%,22,20%,70,63.6%,12,10.9%,82,74.5%
6,All Grades,2006,Black,1016,633,200,19.7%,487,47.9%,318,31.3%,11,1.1%,329,32.4%
6,All Grades,2006,Hispanic,10888,637,1604,14.7%,5211,47.9%,3864,35.5%,209,1.9%,4073,37.4%
6,All Grades,2006,White,231,666,23,10%,53,22.9%,124,53.7%,31,13.4%,155,67.1%
7,3,2006,Asian,7,648,1,14.3%,2,28.6%,3,42.9%,1,14.3%,4,57.1%
7,3,2006,Black,417,638,94,22.5%,170,40.8%,150,36%,3,0.7%,153,36.7%
7,3,2006,Hispanic,731,643,149,20.4%,276,37.8%,300,41%,6,0.8%,306,41.9%
7,3,2006,White,14,653,3,21.4%,3,21.4%,8,57.1%,0,0%,8,57.1%
7,4,2006,Asian,12,639,2,16.7%,5,41.7%,5,41.7%,0,0%,5,41.7%
7,4,2006,Black,354,636,80,22.6%,147,41.5%,123,34.7%,4,1.1%,127,35.9%
7,4,2006,Hispanic,815,635,191,23.4%,333,40.9%,279,34.2%,12,1.5%,291,35.7%
7,4,2006,White,30,631,8,26.7%,12,40%,10,33.3%,0,0%,10,33.3%
7,5,2006,Asian,16,655,1,6.3%,8,50%,6,37.5%,1,6.3%,7,43.8%
7,5,2006,Black,465,634,68,14.6%,241,51.8%,152,32.7%,4,0.9%,156,33.5%
7,5,2006,Hispanic,963,630,181,18.8%,478,49.6%,291,30.2%,13,1.3%,304,31.6%
7,5,2006,White,23,642,2,8.7%,14,60.9%,7,30.4%,0,0%,7,30.4%
7,6,2006,Asian,8,649,1,12.5%,2,25%,5,62.5%,0,0%,5,62.5%
7,6,2006,Black,441,622,101,22.9%,251,56.9%,83,18.8%,6,1.4%,89,20.2%
7,6,2006,Hispanic,1013,625,180,17.8%,601,59.3%,221,21.8%,11,1.1%,232,22.9%
7,6,2006,White,12,650,0,0%,4,33.3%,8,66.7%,0,0%,8,66.7%
7,7,2006,Asian,10,609,4,40%,4,40%,2,20%,0,0%,2,20%
7,7,2006,Black,468,622,87,18.6%,292,62.4%,87,18.6%,2,0.4%,89,19%
7,7,2006,Hispanic,1057,619,248,23.5%,577,54.6%,224,21.2%,8,0.8%,232,21.9%
7,7,2006,White,9,604,4,44.4%,1,11.1%,4,44.4%,0,0%,4,44.4%
7,8,2006,Asian,5,s,s,s,s,s,s,s,s,s,s,s
7,8,2006,Black,441,618,109,24.7%,272,61.7%,59,13.4%,1,0.2%,60,13.6%
7,8,2006,Hispanic,985,621,243,24.7%,569,57.8%,165,16.8%,8,0.8%,173,17.6%
7,8,2006,White,4,s,s,s,s,s,s,s,s,s,s,s
7,All Grades,2006,Asian,58,638,11,19%,24,41.4%,21,36.2%,2,3.4%,23,39.7%
7,All Grades,2006,Black,2586,628,539,20.8%,1373,53.1%,654,25.3%,20,0.8%,674,26.1%
7,All Grades,2006,Hispanic,5564,628,1192,21.4%,2834,50.9%,1480,26.6%,58,1%,1538,27.6%
7,All Grades,2006,White,92,638,17,18.5%,37,40.2%,38,41.3%,0,0%,38,41.3%
8,3,2006,Asian,73,665,1,1.4%,25,34.2%,45,61.6%,2,2.7%,47,64.4%
8,3,2006,Black,681,648,112,16.4%,244,35.8%,310,45.5%,15,2.2%,325,47.7%
8,3,2006,Hispanic,1173,649,188,16%,372,31.7%,595,50.7%,18,1.5%,613,52.3%
8,3,2006,White,155,671,16,10.3%,30,19.4%,97,62.6%,12,7.7%,109,70.3%
8,4,2006,Asian,62,671,5,8.1%,10,16.1%,42,67.7%,5,8.1%,47,75.8%
8,4,2006,Black,619,648,93,15%,215,34.7%,298,48.1%,13,2.1%,311,50.2%
8,4,2006,Hispanic,1165,647,183,15.7%,401,34.4%,559,48%,22,1.9%,581,49.9%
8,4,2006,White,172,657,20,11.6%,48,27.9%,96,55.8%,8,4.7%,104,60.5%
8,5,2006,Asian,94,662,5,5.3%,24,25.5%,54,57.4%,11,11.7%,65,69.1%
8,5,2006,Black,614,638,89,14.5%,285,46.4%,228,37.1%,12,2%,240,39.1%
8,5,2006,Hispanic,1378,642,157,11.4%,622,45.1%,550,39.9%,49,3.6%,599,43.5%
8,5,2006,White,157,661,10,6.4%,46,29.3%,82,52.2%,19,12.1%,101,64.3%
8,6,2006,Asian,88,658,4,4.5%,27,30.7%,49,55.7%,8,9.1%,57,64.8%
8,6,2006,Black,668,635,98,14.7%,331,49.6%,217,32.5%,22,3.3%,239,35.8%
8,6,2006,Hispanic,1256,632,192,15.3%,632,50.3%,414,33%,18,1.4%,432,34.4%
8,6,2006,White,111,660,6,5.4%,39,35.1%,53,47.7%,13,11.7%,66,59.5%
8,7,2006,Asian,78,659,5,6.4%,25,32.1%,38,48.7%,10,12.8%,48,61.5%
8,7,2006,Black,775,631,103,13.3%,430,55.5%,233,30.1%,9,1.2%,242,31.2%
8,7,2006,Hispanic,1431,628,247,17.3%,760,53.1%,406,28.4%,18,1.3%,424,29.6%
8,7,2006,White,125,650,13,10.4%,46,36.8%,55,44%,11,8.8%,66,52.8%
8,8,2006,Asian,61,643,10,16.4%,26,42.6%,21,34.4%,4,6.6%,25,41%
8,8,2006,Black,744,628,138,18.5%,435,58.5%,165,22.2%,6,0.8%,171,23%
8,8,2006,Hispanic,1431,630,243,17%,824,57.6%,350,24.5%,14,1%,364,25.4%
8,8,2006,White,131,645,15,11.5%,54,41.2%,58,44.3%,4,3.1%,62,47.3%
8,All Grades,2006,Asian,456,660,30,6.6%,137,30%,249,54.6%,40,8.8%,289,63.4%
8,All Grades,2006,Black,4101,637,633,15.4%,1940,47.3%,1451,35.4%,77,1.9%,1528,37.3%
8,All Grades,2006,Hispanic,7834,637,1210,15.4%,3611,46.1%,2874,36.7%,139,1.8%,3013,38.5%
8,All Grades,2006,White,851,658,80,9.4%,263,30.9%,441,51.8%,67,7.9%,508,59.7%
9,3,2006,Asian,41,670,3,7.3%,9,22%,25,61%,4,9.8%,29,70.7%
9,3,2006,Black,995,644,195,19.6%,377,37.9%,408,41%,15,1.5%,423,42.5%
9,3,2006,Hispanic,1322,647,232,17.5%,476,36%,586,44.3%,28,2.1%,614,46.4%
9,3,2006,White,15,631,5,33.3%,6,40%,4,26.7%,0,0%,4,26.7%
9,4,2006,Asian,31,660,2,6.5%,11,35.5%,18,58.1%,0,0%,18,58.1%
9,4,2006,Black,930,644,156,16.8%,374,40.2%,375,40.3%,25,2.7%,400,43%
9,4,2006,Hispanic,1471,643,265,18%,535,36.4%,649,44.1%,22,1.5%,671,45.6%
9,4,2006,White,25,646,2,8%,9,36%,14,56%,0,0%,14,56%
9,5,2006,Asian,50,653,5,10%,15,30%,28,56%,2,4%,30,60%
9,5,2006,Black,945,638,128,13.5%,473,50.1%,324,34.3%,20,2.1%,344,36.4%
9,5,2006,Hispanic,1677,636,247,14.7%,813,48.5%,587,35%,30,1.8%,617,36.8%
9,5,2006,White,12,635,2,16.7%,5,41.7%,5,41.7%,0,0%,5,41.7%
9,6,2006,Asian,43,651,5,11.6%,16,37.2%,21,48.8%,1,2.3%,22,51.2%
9,6,2006,Black,916,634,123,13.4%,492,53.7%,274,29.9%,27,2.9%,301,32.9%
9,6,2006,Hispanic,1655,633,249,15%,835,50.5%,532,32.1%,39,2.4%,571,34.5%
9,6,2006,White,20,643,1,5%,12,60%,7,35%,0,0%,7,35%
9,7,2006,Asian,35,655,2,5.7%,13,37.1%,17,48.6%,3,8.6%,20,57.1%
9,7,2006,Black,1072,628,208,19.4%,542,50.6%,303,28.3%,19,1.8%,322,30%
9,7,2006,Hispanic,1781,628,306,17.2%,956,53.7%,486,27.3%,33,1.9%,519,29.1%
9,7,2006,White,15,636,4,26.7%,5,33.3%,5,33.3%,1,6.7%,6,40%
9,8,2006,Asian,31,647,4,12.9%,14,45.2%,11,35.5%,2,6.5%,13,41.9%
9,8,2006,Black,1069,628,199,18.6%,608,56.9%,254,23.8%,8,0.7%,262,24.5%
9,8,2006,Hispanic,1878,626,385,20.5%,1042,55.5%,440,23.4%,11,0.6%,451,24%
9,8,2006,White,34,634,8,23.5%,13,38.2%,12,35.3%,1,2.9%,13,38.2%
9,All Grades,2006,Asian,231,656,21,9.1%,78,33.8%,120,51.9%,12,5.2%,132,57.1%
9,All Grades,2006,Black,5927,636,1009,17%,2866,48.4%,1938,32.7%,114,1.9%,2052,34.6%
9,All Grades,2006,Hispanic,9784,635,1684,17.2%,4657,47.6%,3280,33.5%,163,1.7%,3443,35.2%
9,All Grades,2006,White,121,638,22,18.2%,50,41.3%,47,38.8%,2,1.7%,49,40.5%
10,3,2006,Asian,151,666,15,9.9%,34,22.5%,93,61.6%,9,6%,102,67.5%
10,3,2006,Black,853,646,162,19%,313,36.7%,363,42.6%,15,1.8%,378,44.3%
10,3,2006,Hispanic,1996,655,282,14.1%,638,32%,1016,50.9%,60,3%,1076,53.9%
10,3,2006,White,187,683,6,3.2%,34,18.2%,121,64.7%,26,13.9%,147,78.6%
10,4,2006,Asian,177,660,24,13.6%,46,26%,92,52%,15,8.5%,107,60.5%
10,4,2006,Black,791,649,115,14.5%,293,37%,354,44.8%,29,3.7%,383,48.4%
10,4,2006,Hispanic,2157,650,324,15%,766,35.5%,983,45.6%,84,3.9%,1067,49.5%
10,4,2006,White,192,677,12,6.3%,37,19.3%,106,55.2%,37,19.3%,143,74.5%
10,5,2006,Asian,202,653,22,10.9%,71,35.1%,92,45.5%,17,8.4%,109,54%
10,5,2006,Black,857,642,96,11.2%,375,43.8%,356,41.5%,30,3.5%,386,45%
10,5,2006,Hispanic,2528,645,255,10.1%,1089,43.1%,1081,42.8%,103,4.1%,1184,46.8%
10,5,2006,White,171,676,3,1.8%,31,18.1%,105,61.4%,32,18.7%,137,80.1%
10,6,2006,Asian,178,663,9,5.1%,47,26.4%,98,55.1%,24,13.5%,122,68.5%
10,6,2006,Black,836,642,76,9.1%,404,48.3%,327,39.1%,29,3.5%,356,42.6%
10,6,2006,Hispanic,2563,642,266,10.4%,1166,45.5%,1043,40.7%,88,3.4%,1131,44.1%
10,6,2006,White,182,662,8,4.4%,57,31.3%,93,51.1%,24,13.2%,117,64.3%
10,7,2006,Asian,170,654,8,4.7%,68,40%,79,46.5%,15,8.8%,94,55.3%
10,7,2006,Black,934,638,99,10.6%,486,52%,325,34.8%,24,2.6%,349,37.4%
10,7,2006,Hispanic,2613,637,318,12.2%,1316,50.4%,906,34.7%,73,2.8%,979,37.5%
10,7,2006,White,176,662,6,3.4%,52,29.5%,99,56.3%,19,10.8%,118,67%
10,8,2006,Asian,150,654,17,11.3%,49,32.7%,74,49.3%,10,6.7%,84,56%
10,8,2006,Black,874,631,136,15.6%,500,57.2%,230,26.3%,8,0.9%,238,27.2%
10,8,2006,Hispanic,2734,633,426,15.6%,1521,55.6%,754,27.6%,33,1.2%,787,28.8%
10,8,2006,White,193,652,13,6.7%,83,43%,86,44.6%,11,5.7%,97,50.3%
10,All Grades,2006,Asian,1028,658,95,9.2%,315,30.6%,528,51.4%,90,8.8%,618,60.1%
10,All Grades,2006,Black,5145,641,684,13.3%,2371,46.1%,1955,38%,135,2.6%,2090,40.6%
10,All Grades,2006,Hispanic,14591,643,1871,12.8%,6496,44.5%,5783,39.6%,441,3%,6224,42.7%
10,All Grades,2006,White,1101,668,48,4.4%,294,26.7%,610,55.4%,149,13.5%,759,68.9%
11,3,2006,Asian,134,679,10,7.5%,17,12.7%,93,69.4%,14,10.4%,107,79.9%
