Business Name,Tel,website,Address
Nail Essence,718-218-9772,,"586 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Huckleberry Bar,718 218-8555,http://www.huckleberrybar.com,"588 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Naturally Healthy,718-599-7527,,"594 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Genao Restaurant,718-963-6938,,"596 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Grand Liquor,718-599-3878,,"598 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Grand Street Bakery,718-387-2390,,"602 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Papa John's,718-388-7272,,"604 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"Diogenes Almonte, MD",718-388-8400,,"608 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Brookridge Realty,718-782-2020,,"611 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"Asian Bok Choy, Inc. (Chinese Wholesale)",718-387-1009,,"612 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
The Saint Austere,718-388-0012,,"613 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"Family Dental Center Ramakrishnan Vasanthi, MD ",718-384-6455,,"614 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Lily Thai,718-218-7522,,"615 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Affinity Cycles,718.384.5181,http://www.affinitycycles.com,"616 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Ooba Bar/Restaurant,347-335-0373,,"617 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Bushwick Country Club ,718.388.2114,,"618 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Grand 99¢ ,718-387-1206,,"619 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Red House (Chinese Restaurant),718-388-8111,,"622 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Willburg Café,718-963-0219,,"623 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Sunday Love,347-457-5453,http://www.sundaylove.biz,"624 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Ahn Houseware and Hardware,718-388-6050,,"627 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Denim Hut ,718-387-4276,,"629 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Hachi Asian Bistro,718-218-9888,,"631 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
O-T Real Estate,718-388-2288,,"632 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Lady Jay's,718-387-1029,,"633 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Baby Talk,718-384-2221,,"635 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Porto Rico Importing Company,718-782-1200,http://www.portorico.com,"636 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Blue Angel Wine,(917) 753-6240 [Pari Passu Realty Office],,"638 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Associated Supermarket,718-388-6938,,"639 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
La Nacional,718-388-1792,,"640 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Vilda Saludable Healthy Life,347-520-7164,,"644 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Aladdin Brokerage Corp.,718-387-5906,,"646 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Ju-Na Fashion,"718-486-7431, 347-563-4966",,"648A Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Bird Shop,917-435-0232,http://www.paradisebirdshop.com,"648 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Dental Office: Josefa Parra-Levin DDS PC,718-384-4009,,"648-D Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Jerry's Pizzeria,718-384-7680,,"649 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Family and Cosmetic Dentistry-Howard A. Silver DDS,718-486-8900,,"649 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
United Tae Kwon Do,718-384-8700,,"653 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
To The World Farm,718-218-8120,,"655 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
State Farm Insurance,718-388-3892,http://www.markbutleragency.com,"658 Grand St
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Acisclo Plastic Cover,718-782-5472,,"658 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Andres DeLeon Handmade Cigars,347-799-1688,http://www.andresdeleoncigars.com,"658B Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
The Second Chance Saloon,718-387-4411,,"659 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Unique Beauty,718-782-9353,,"660 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
7 Color Trading (Special Gift),347-296-4228,,"663 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Bonilla Brothers Laundromat and Dry Cleaning,718-599-1150,,"664 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Grand Street Health Building Grand Street Medical and Silver A Howard DDS,718-486-8900/718-963-0555,,"666 8 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
GST Pharmacy,718-963-1018,,"669 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Big Apple Deli,718-387-1624,,"671 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Q & A Services,718-782-8802,,"672 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Sisto Pharmacy (farmacia jente),718-387-2665,,"675 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Blooming Cleaners,718-302-4045,,"676 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"Grand Immediate Family Care Robert A. Zane, DPM & A Benchabbat, MD",718-387-3814 & 718-218-8357,,"678 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Ziby Fashion,no phone,,"679 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Hilda's Beauty Salon,718 384-8632,,"682 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Zeus (Tattoo Shop),718.302.0094,,"682 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"Gustavo Medina, Law Office (2nd Fl.)",718-782-0100,,"682 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
L P'n Harmony (bar),no phone,,"683 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Metro Sleek Design  (furniture),718-599-1877,http://Downtownfurniturenyc.com,"686 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Bahia Restaurant ,718-218-9592,,"690 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Rainbow ,718-302-3825,,"693 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Gem,718-387-9002,,"695 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Metro PCS,347-223-4108,,"696 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
L.M. Orthodontics,718-486-7600,,"700 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
New Himal Nails & Spa,718 387-1033,,"700 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Tex-Mex Pizza Grill,718-302-6649,,"702 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
5 Minute Discount,718-387-8998,,"703 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Los Primos Restaurant ,718-486-8449,,"704 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Flores Del Valle,718 384-6464,,"706 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Baron Medical Supply,718 486-6164,,"709 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Active Wearhouse,718 599-6198,http://www.activewearhousenyc.com,"710 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Electronics Repair Center,718-387-2744,,"711 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Grand Electronics & Appliances,718 302-3656,,"714 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Versaly Jewelry Inc.,718-486-8800,,"716 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Monica's Threading,718 388-8810,,"716A Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Subway (Fast Food Restaurant) ,718-218-8383 ,,"717 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Wyckoff Heights Medical Center/Kings Optical/New York Eye Care,718-388-5200,,"719 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Express Deli & Grocery,718-384-1973,,"720 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Farmer Deli * Grocery,718-599-0661,,"723 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Tmobile,718-384-4093,,"725 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Chase,717-384-5320,,"726 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Grand Morelos Mexican Bakery,718-218-9441,,"727 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Super 99 Cents,718-902-3868,,"731 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Edwin Travel Agency Inc,718-782-4212,http://www.edwintravel.com,"733 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
McDonald's ,1-800-244-6227,,"741 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Williamsburg Construction Corp,718-569-0089,,"748 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Modern Nail Salon,718-599-5591,,"749 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Family Dental Office ,718-388-7007,,"749 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Grand Billiard & Café,718-384-4230,,"750 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Absolute Power,718-387-4711,,"750 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
H & R Block,718-302-1491,,"754 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Lucky Wolf Tattoo,718-388-1472,http://luckywolftattoo.tumbler.com,"755 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Sprint,718-388-0100,,"755 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
New Hong Kong Kitchen ,718-388-1331,,"756 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Williamsburg Pet Clinic ,718 302-2420,,"760 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Stingray Divers,"718-384-1280, 718 302-0465",http://www.stingraydivers.com,"762 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Medical Office,718-388-7283,,"765 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
765 Grand Cleaners,718-599-3758,,"765 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Moe's Deli,718-388-6170,,"766 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Luna Unisex Beauty Salon,718 388-3844,,"769 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"C&C Pet Supplies, Inc.",718 782-5122,,"769A Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Grand Street Laundromat,718-486-0019,,"770 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Camporese Hardware,"718-782-8167, 917 833-9456",,"771 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"DMS RX, Inc. Unity Drugs",718-486-0344,,"772 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Carol's Bridal ,718-486-7928,,"773 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Cedeno Driving School,718-384-0450,,"775 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Up 2 Par,718-599-8880,http://www.up2parstore.com,"775 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Super 99 Cents,718-599-8880,,"779 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Liberty Department Stores Inc,718-782-0719,,"780 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Alex Shoe Repair,718-302-0829,,"783 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Decor Nails ,718-388-5242,,"783 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Bravo Supermarket,347 889-6279,,"785 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Cellular & Game Channel,718-302-3130,,"790 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Exito 83 Unisex Salon,718 387-0425,,"791 B Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Grand Jewelry ,718 384-1695,,"791 A Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
T.A.C. Taxpreplus,718 302-4944,http://www.taxpreplus.com,"793 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
#8 Lucky Family Discount Co.,no phone,,"794 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Sri Thai Café,718 388-7787,,"795 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Liberty Tax Service,718 387-8325,,"796 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
An Gift Shop,no phone,,"796 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Lula Bean,718-599-5852,http://www.lulabeancafe.com,"797 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Grand Vision Eyewear,718-576-2380,http://grandvisioneyewear.com,"799 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Dominican Bakery,718.384.1995,,"800 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
FresCo Tortillas ,718-218-8340,,"800 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Shiree Record Shop,no phone,,"801 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Crown Grill and Salad,718-384-5900,,"802 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"B&H Check Cashing, Inc.",718-387-7375,http://718checks.com,"805 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Dunkin Donuts,718-335-6845,,"809 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
David's Italia Best Pizza,718-388-8210,,"810 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Grand Deli and Grocery,no phone,,"810 Grand
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Richie's Wine & Liquor,718-387-2228,,"812 Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
An's Seafood & Fish Market ,718-218-8189,,"98 Bushwick Ave (corner-Grand Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
T & A Deli & Grocery,718-782-3975,,"90 Bushwick Ave
Brooklyn, NY
(40.71214853777747, -73.94081510287731)"
