OrganizationName,Brooklyn,Bronx,Manhattan,Queens,Staten Island,Fax,Phone,URL,noURL,Description,outsideLoc,outsideLocDesc,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Women's Groups,Youth Services,Faith-based organization,Foundation,Is registered with the Attorney General's office,New York City Agency,None of the above,Nonprofit,Comments,Other government organization,Published,Location 1,Location 2
Midtown Community Court/Fund for the City of New York,N,N,Y,N,N,2125861144,6462641300,http://www.courtinnovation.org,N,"The first community court in the nation, the Midtown Community Court is a criminal court that opened in 1993.  It hears misdemeanor and summons cases and combines punishment with help to deter future offending.  It holds low-level offenders accountable by sentencing them to perform community restitution that is immediate, visible, and meaningful. At the same time, it helps offenders address underlying problems, such as homelessness, unemployment, and substance abuse, by linking them to on-site social services such as mental health counseling, job training, and drug treatment. To meet the specific needs of women, we run Choices, a comprehensive initiative that helps women involved with the justice system to achieve their independence and transcend their pasts.",N,,N,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,,N,N,N,N,N,N,Y,,N,Published,,
"New York City Office of the Public Advocate, Betsy Gotbaum",Y,Y,Y,Y,Y,,2126697250,http://www.pubadvocate.nyc.gov,N,"The Public Advocate answers complaints about people's problems with city government, investigates agencies and programs, proposes solutions that make government more efficient, and helps communities gain better access to government.  She has successfully advocated for improved reproductive health services, prenatal care services, and general health services for women.  The Public Advocate has also worked to improve gender equity in schools and supported measures to increase access to city contracts for women-owned businesses.",N,,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,N,N,Y,Y,,N,N,N,N,Y,N,N,,N,Published,,
League of Women Voters of the City of New York,Y,Y,Y,Y,Y,2127253443,2127253541,http://www.lwvnyc.org,N,"Nonpartisan membership organization, open to women and men.",N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Girls Incorporated of New York City,Y,Y,Y,Y,Y,2125317622,2125317620,http://www.girlsincnyc.org,N,"Girls Incorporated of New York City is dedicated to inspiring all girls to be strong, smart, and bold.  We carry out our mission by delivering research-based experiential education programs with girls ages 6-18 during and after school and by delivering staff development trainings in the areas of gender equity and sexuality education. Our comprehensive programs are developed by the national organization, Girls Inc., and focus on the following topics: media literacy, economic literacy, violence prevention, self defense, sports, science, technology, health, sexuality and career readiness.",N,,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,Y,,N,N,N,N,N,N,Y,,N,Published,,
Schervier Nursing Care Center,N,Y,N,N,N,7184320744,8002605006,http://www.scherviercares.org,N,"The mission of Bon Secours New York Health System is to bring compassion to health care and to be ""good help"" to those in need?. Bon Secours New York's mission is carried out through the services and programs of Schervier Nursing Care Center, Burke at Schervier Short-Term Rehabilitation Program, Schervier Respite Care, Schervier Center for Alzheimer's and Dementia Care, Schervier Home Health Care, Schervier Center for Research in Geriatric Care, the Schervier Apartments and Buena Ayuda Information and Referral Center.",Y,Westchester County,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
US Department of Commerce/Harlem US Export Assistance Center,Y,Y,Y,Y,N,2128606203,2128606200,http://www.Export.gov,N,US Government agency that assists US companies with exporting US-made goods and services overseas.,Y,World Wide,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,,Y,Published,,
New York City Department of Transportation,N,N,Y,N,N,2124421908,2124427760,http://dot.nyc.gov,N,The primary function of the agency is to maintain the infrastructure of the city.,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,Y,N,N,,N,Published,,
Girls Incorporated,N,N,Y,N,N,,2125092000,http://www.girlsinc.org,N,"Girls Incorporated is a nonprofit organization that inspires all girls to be strong, smart, and bold.  With local roots dating to 1864 and national status since 1945, Girls Inc. has responded to the changing needs of girls through research-based programs and public education efforts that empower girls to understand, value, and assert their rights.  In 2007, Girls Inc. reached over 900,000 girls through Girls Inc. affiliates, our website, and educational publications.",Y,97 organizations across the U.S. and Canada,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
St. Luke's Roosevelt Hospital,N,N,Y,N,N,2125238679,2125238212,,Y,Hospital,N,,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,,N,Published,,
Women's HIV Collaborative of New York,Y,Y,Y,Y,Y,,2123671012,http://www.womenscollaborative,N,"WHCNY is rooted in the leadership and experiences of women living with HIV and AIDS.  As women, we are committed to empowering and supporting women, to develop innovative solutions through research, policy, advocacy and economics to promote platforms that support social justice and human rights for all.",N,,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Spence-Chapin Services to Families and Children,N,N,Y,N,N,2123698589,2123690300,http://www.spence-chapin.org,N,"Spence-Chapin is an accredited, nonprofit, nonsectarian agency that has been offering quality adoption services for 100 years. Our mission is to find adoptive homes for children in need here and in countries around the world.",Y,"Long Island, New Jersey",N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
ICD-International Center for the Disabled,N,N,Y,N,N,,2125856000,http://www.icdnyc.org,N,"ICD's mission is to help people with disabilities achieve greater health and independence at home, on the job, at school and in the community. Each year, we provide high quality, comprehensive and integrated medical rehabilitation; cognitive rehabilitation; speech/language, learning and hearing services; mental health and addiction recovery services; and vocational rehabilitation and job placement services to 4,000 poor and low-income individuals from all five boroughs of New York City.",N,,Y,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
West Brighton Community Local Development Corp./BOC Women's Business Center,N,N,N,N,Y,7188167234,7188164775,http://wbcldc.org,N,"The West Brighton Community Local Development Corporation (WBCLDC), serving the Staten Island Business Community since 1981, offers programming to assist new entrepreneurs and existing businesses. Our one-on-one business counseling and seminars on timely business topics are available to all Staten Islanders. WBCLDC hosts a satellite office of the BOC Women?s Business Center.  Through the BOC WBC, we offer one-on-one counseling, long-term training and short-term seminars targeting women entrepreneurs in Staten Island. The WBC is sponsored by the US Small Business Administration.",N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Hunger Action Network of New York State,N,N,Y,N,N,2127417236,2127418192,http://www.hungeractionnys.org/,,,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Identity House, Inc.",N,N,Y,N,N,,2122438181,http://www.identityhouse.org/,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Indochina Sino-American Senior Citizen Center,N,N,Y,N,N,2129250327,2122260317,http://www.isacc-ny.org,N,,N,,Y,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Institute for Human Identity,N,N,Y,N,N,2122433175,2122432830,http://www.ihi-therapycenter.org,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Institute for Labor and the Community,N,N,Y,N,N,,2125053184,,,,,,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
International Association of Administrative Professionals,Y,N,N,N,N,,2128395313,,N,,N,,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
International Sheet Metal Workers Local Union 28,N,N,Y,N,N,,2127328199,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
International Women's Health Coalition,N,N,Y,N,N,2129799009,2129798500,http://www.iwhc.org,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,"24 21 St
New York, NY 10010
(40.73957824137875, -73.9889295313273)"
"International Women's Tribune Centre, Inc.",N,N,Y,N,N,2126612704,2126878633,http://www.iwtc.org/,,,,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
International Women's Writing Guild,N,N,Y,N,N,2127379469,2127377536,http://www.iwwg.com,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Iris House-A Center for Women Living with HIV/AIDS,N,N,Y,N,N,2124239193,2124239049,http://www.irishouse.org/index.html,,"Established in 1993 by the Women and AIDS Working Group, Iris House provides comprehensive services and advocacy for women, families, and communities infected with and affected by HIV/AIDS, while simultaneously providing prevention and education services ",,,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Isabella Geriatric Center, Inc.",N,N,Y,N,N,,2123429324,http://www.isabella.org/index.htm,,"Since its inspired beginning in 1875, Isabella, a non-profit, non-sectarian organization, has pioneered in the care of the elderly of New York.  Located in northern Manhattan, Isabella has grown from a traditional nursing home into a progressive provider ",,,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Jewish Community Center of Staten Island, Inc.",N,N,N,N,Y,,7184755200,http://www.sijcc.org/,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Jewish Foundation for Education of Women,N,N,Y,N,N,2127652675,2122652565,http://www.jfew.org,,"The Jewish Foundation for Education of Women (JFEW) is a private, nonsectarian organization that provides scholarships to women with financial need who live in the New York City area. We have been supporting women in attaining their educational goals and ",,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Jewish Guild for the Blind,N,N,Y,N,N,2127696266,8002844422,http://www.jgb.org/,,"The Jewish Guild for the Blind (The Guild), located at 15 West 65th Street, New York, NY 10023, is a not-for-profit, non-sectarian agency that serves persons of all ages who are visually impaired, blind and multidisabled. The Guild offers a broad range of",,,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Jewish Institute of Queens,N,N,N,Y,N,,7186426800,http://queensgymnasia.org/index.html,,The Jewish Institute of Queens is an exciting and innovative place for children to grow and learn. The entire staff is dedicated to providing an education that will prepare every child for future academic success. ,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Jewish Women's Foundation,N,N,Y,N,N,2128361831,2128361478,http://jwfny.org/index.html,,Through the funding of innovative programs and advocacy efforts the Jewish Women's Foundation of New York is committed to addressing the unmet needs of Jewish women and girls in the New York area and beyond. We invite you to work with us toward these powe,,,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Junior League of Brooklyn,Y,N,N,N,N,,7186243288,http://www.brooklynjuniorleague.org/brooklyn/index.jsp,,The Junior League of Brooklyn was established in 1910 by women interested in fighting the health and social problems associated with overcrowded tenement neighborhoods. Our vision is to be Brooklyn's premiere volunteer organization that affects enduring a,,,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Kings Bay YM-YWHA, Inc.",Y,N,N,N,N,,7186487703,http://www.kingsbayy.org/,,"Kings Bay YM-YWHA is a community center serving the Sheepshead Bay, Marine Park, Bergen Beach, Homecreast and Midwood neighborhoods of Brooklyn. The Kings Bay Y offers a wide range of brand new social, educational and cultural programming for individuals ",,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Kingsbridge Heights Community Center, Inc.",N,Y,N,N,N,,7188840700,http://www.khcc-nyc.org/,,"Our programs are offered for all members of the community. We have programs for all ages: early childhood, youths, adults and seniors.",,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Kips Bay Boys & Girls Club,N,Y,N,N,N,,7188938600,http://kipsbay.org/drupal/,,"The mission of the Kips Bay Boys & Girls Club is to improve and enhance the quality of life for all young people, with special emphasis on those who need us most between ages 6-18. Kips Bay Boys and Girls Club exists to assist as many young people as poss",,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Kiwanis International,N,N,N,Y,N,7188680229,7188680229,http://www.kiwanis.org/,,"Kiwanis is a global organization of volunteers dedicated to changing the world, one child and one community at a time.",,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Kingsborough Community College Women's Center,Y,N,N,N,N,7183684516,7183684700,http://www.kingsborough.edu/sub-other/sub-student_current/womens_resource_center.html,,"The Center offers women and non-traditional students a welcoming, supportive environment in which to explore educational, professional, and lifestyle issues. It is an ideal place to meet and network with other students who are also working towards a succe",,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
La Asociacion Benefica Cultural Father Billini,N,N,N,Y,N,,7186518427,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Lambda Legal Defense and Education Fund, Inc.",N,N,Y,N,N,2122135597,2122135545,http://www.lambdalegal.org,,"Lambda Legal is a national organization committed to achieving full recognition of the civil rights of lesbians, gay men, bisexuals, transgender people and those with HIV through impact litigation, education and public policy work.",,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Lawyers Alliance for New York,N,N,Y,N,N,,2122191800,http://www.lawyersalliance.org/,,"Lawyers Alliance for New York is the leading provider of business and transactional legal services for nonprofit organizations that are improving the quality of life in New York City neighborhoods. By connecting lawyers, nonprofits, and communities, we he",,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
League for the Hard of Hearing,N,N,Y,N,N,9173057888,9173057700,http://www.lhh.org/,,"The League was founded in New York in 1910 and is the premier agency in the world providing services for people of all ages with all degrees of hearing loss. The League, a non-profit agency, assures a world without limits for infants, children and adults ",,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Learning Disabilities Association of New York City,N,N,Y,N,N,2129248896,2126456730,http://www.ldanyc.org/index.html,,"The Learning Disabilities Association of New York City (LDA of NYC) is a nonprofit organization which was founded in 1989. LDA of NYC facilitates access to needed services for all New Yorkers with Learning Disabilities, especially those in the more disadv",,,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Learning Leaders,N,N,Y,N,N,2122130787,2122133370,http://www.learningleaders.org/,N,"Learning Leadersâ€™ mission is to help New York City public school students succeed by training volunteers to provide individualized instructional support and other school-based support, and by equipping parents to foster their childrenâ€™s educational development.",N,,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Legal Action Center,N,N,Y,N,N,2126750286,2122431313,http://www.lac.org/,N,"The Legal Action Center is the only non-profit law and policy organization in the United States whose sole mission is to fight discrimination against people with histories of addiction, HIV/AIDS, or criminal records, and to advocate for sound public polic",N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Legal Outreach, Inc",N,N,Y,N,N,,2126909989,http://www.legaloutreach.org/index.php?option=com_frontpage&Itemid=1,,"Legal Outreach prepares urban youth from underserved communities in New York City to compete at high academic levels by using intensive legal and educational programs as tools for fostering vision, developing skills, enhancing confidence, and facilitating",,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Life Force: Women Fighting AIDS, Inc.",Y,N,N,N,N,7187974011,7187970937,http://www.lifeforceinc.org,,"The mission of Life Force is to reduce the incidence of HIV/AIDS and to address the other broad range of health care issues of women of color particularly in Brooklyn, NY.",,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Lifeline Center For Child Development,N,N,N,Y,N,7182179566,7187404300,http://www.lifelinecenter.org/,,A non-profit psychiatric day treatment center and Special education school,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Lighthouse International,N,N,Y,N,N,2128219743,2128219235,http://www.lighthouse.org,N,"Founded in New York City in 1905, Lighthouse International is a leading non-profit organization dedicated to preserving vision and to providing critically needed vision and rehabilitation services to help people of all ages overcome the challenges of vision loss. Through clinical services, education, research, and advocacy, the Lighthouse enables people with low vision and blindness to enjoy safe, independent and productive lives.",N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Lincoln Square Neighborhood Center, Inc.",N,N,Y,N,N,,2128740860,http://www.lsncny.org/,,"The vision that shaped Lincoln Square Neighborhood Center in 1949 also shaped the Settlement House movement begun over 100 years ago. Throughout this city, neighbors stood up and took responsibility for each other, working cooperatively to build networks ",,,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Little Shepherds Community Services, Inc.",N,Y,N,N,N,,7182952277,,,,,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Loisaida, Inc.",N,N,Y,N,N,,2123530272,http://loisaidainc.org/htm/,,"Loisaida, Inc is a community-based organization founded in 1979 at a time when the neighborhood was confronted with violence, drugs, gangs, and poverty. At that time 126 agencies, businesses, and individuals formed a Task Force to address the problems and",,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Long Island University: Brooklyn Campus,Y,N,N,N,N,,5162993834,http://www.brooklyn.liu.edu/,,"Established in 1926, the Brooklyn Campus, one of the fastest growing, most ethnically-diverse campuses in the metropolitan area, is located in the heart of revitalized downtown Brooklyn, N.Y. and offers over 195 academic programs.",,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"National Council of Jewish Women, Inc.",N,N,Y,N,N,2126457466,2126454048,http://www.ncjw.org,,"The National Council of Jewish Women is a volunteer organization that has been at the forefront of social change for over a century -- championing the needs of women, children, and families -- while courageously taking a progressive stance on such issues ",,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Lutheran Social Services of New York,N,N,Y,N,N,2128701101,2128701100,http://www.lssny.org/,,"LSSNY was established in 1886 and has a proud history of helping children and adults.  As we celebrate 120 years of ""Reaching People in Time to Make a Difference"", we are seeking loving and responsible foster parents to further our ministry to children an",,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Madison Square Boys & Girls Club,N,N,Y,N,N,,2127609600,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"MADRE, Inc.",N,N,Y,N,N,2126753704,2126270444,http://www.madre.org,N,MADRE is an international women's human rights organization that works towards a world in which all people enjoy the fullest range of individual and collective human rights; in which resources are shared equitably and sustainably; in which women participa,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"301 New York
",
Make the Road New York,Y,N,N,N,N,,7184187690,http://www.maketheroad.org/index.php,,"Make the Road New York* promotes economic justice, equity and opportunity for all New Yorkers through community and electoral organizing, strategic policy advocacy, leadership development, youth and adult education, and high quality legal and support serv",,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Malcolm X Day Care Center,N,N,N,Y,N,7186517412,7186517880,,,,,,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Marymount Manhattan College,N,N,Y,N,N,2125170413,2125170567,,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Maspeth Town Hall Community Center,N,N,N,Y,N,7183356099,7183356049,http://www.maspethtownhall.org/,,"Offering free and low-cost educational, recreational and cultural programs to the residents of Maspeth, Middle Village, Glendale, Woodside, Elmhurst and Ridgewood!",,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
