DFTA ID,Program Name,Date From,Date To,Time From,Time to,Site Address,Borough,Zip Code
25A,PENN WORTMAN ACTIVE ADULTS,01/28/2013,02/01/2013,9,4,895 PENNSYLVANIA AVENUE,BROOKLYN,11234
273,PROSPECT HILL SENIOR SERVICES CENTER,01/28/2013,02/01/2013,9,4,283 PROSPECT AVENUE,BROOKLYN,11215
27G,RED HOOK SENIOR CENTER,01/28/2013,02/01/2013,9,4,110 WEST 9TH STREET (temporary),BROOKLYN,11231
25X,REMSEN-SENIOR ACTION SENIOR CENTER,01/28/2013,02/01/2013,9,4,3304 CLARENDON ROAD,BROOKLYN,11203
26Z,RIDGEWOOD BUSHWICK SENIOR CENTER,01/28/2013,02/01/2013,9,4,319 STANHOPE STREET,BROOKLYN,11237
27P,ROSETTA GASTON SENIOR CENTER,01/28/2013,02/01/2013,9,4,460 DUMONT AVENUE,BROOKLYN,11212
27B,ROUNDTABLE SENIOR CITIZENS CENTER,01/28/2013,02/01/2013,9,4,1175 GATES AVENUE,BROOKLYN,11221
27M,SAINT GABRIELS SENIOR CENTER,01/28/2013,02/01/2013,9,4,331 HAWTHORNE STREET,BROOKLYN,11225
27F,SEPHARDIC MULTI SERVICE SENIOR CENTER,01/28/2013,02/01/2013,9,4,485 KINGS HIGHWAY,BROOKLYN,11223
25K,SHALOM SENIOR CENTER,01/28/2013,02/01/2013,9,4,483 ALBANY AVENUE,BROOKLYN,11203
27K,SHORE HILL NEIGHBORHOOD CENTER,01/28/2013,02/01/2013,9,4,9000 SHORE ROAD,BROOKLYN,11209
27C,SR CITIZENS LEAGUE OF FLATBUSH SR CENTER,01/28/2013,02/01/2013,9,4,550 OCEAN PARKWAY,BROOKLYN,11218
27L,SUNSET PARK SENIOR CENTER,01/28/2013,02/01/2013,9,4,4520 FOURTH AVENUE,BROOKLYN,11220
20E,SWINGING 60S SENIOR CENTER,01/28/2013,02/01/2013,9,4,211 AINSLIE STREET,BROOKLYN,11211
27Q,TILDEN SENIOR CENTER,01/28/2013,02/01/2013,9,4,630 MOTHER GASTON BOULEVARD,BROOKLYN,11212
27H,TIMES PLAZA SENIOR CENTER,01/28/2013,02/01/2013,9,4,460 ATLANTIC AVENUE,BROOKLYN,11217
27N,UNITED SENIOR CITIZENS CENTER,01/28/2013,02/01/2013,9,4,475 53RD STREET,BROOKLYN,11220
27S,VAN DYKE SENIOR CENTER,01/28/2013,02/01/2013,9,4,430 DUMONT AVENUE,BROOKLYN,11212
24Q,VANDALIA SENIOR CENTER,01/28/2013,02/01/2013,9,4,47 VANDALIA AVENUE,BROOKLYN,11239
27R,WAYSIDE TOMPKINS PARK SENIOR CENTER,01/28/2013,02/01/2013,9,4,550 GREENE AVENUE,BROOKLYN,11216
25J,WILLIAMSBURG-SATMAR SENIOR CENTER,01/28/2013,02/01/2013,9,4,125 HEYWARD STREET,BROOKLYN,11206
265,WILLOUGHBY SENIOR CENTER,01/28/2013,02/01/2013,9,4,105 NORTH PORTLAND AVENUE,BROOKLYN,11205
27J,WYCKOFF GARDENS SENIOR CENTER,01/28/2013,02/01/2013,9,4,280 WYCKOFF STREET,BROOKLYN,11217
27T,YOUNG ISRAEL OF MIDWOOD SENIOR CENTER,01/28/2013,02/01/2013,9,4,1694 OCEAN AVENUE,BROOKLYN,11230
354,A PHILIP RANDOLPH SENIOR CENTER,01/28/2013,02/01/2013,9,4,108 WEST 146TH STREET,MANHATTAN,10039
302,ABYSSINIAN TOWERS SENIOR CENTER,01/28/2013,02/01/2013,9,4,50 W 131ST ST,MANHATTAN,10037
30E,ARC FT WASHINGTON SENIOR CENTER,01/28/2013,02/01/2013,9,4,4111 BROADWAY,MANHATTAN,10033
30P,ASSOC OF BLACK SOCIAL WORKERS SR CENTER,01/28/2013,02/01/2013,9,4,221 WEST 107TH STREET,MANHATTAN,10025
30Q,BRC SENIOR NUTRITION PROGRAM,01/28/2013,02/01/2013,9,4,30 DELANCEY STREET,MANHATTAN,10002
30R,CANAAN SENIOR SERVICE CENTER,01/28/2013,02/01/2013,9,4,10 LENOX AVENUE,MANHATTAN,10026
317,CARTER BURDEN LUNCHEON CLUB,01/28/2013,02/01/2013,9,4,351 EAST 74TH STREET,MANHATTAN,10021
34H,CARVER SENIOR CENTER,01/28/2013,02/01/2013,9,4,55 EAST 102ND STREET,MANHATTAN,10029
33U,CENTER ON THE SQUARE SENIOR CENTER,01/28/2013,02/01/2013,9,4,20 WASHINGTON SQUARE NORTH,MANHATTAN,10011
36901,CENTRAL HARLEM SENIOR CENTER,01/28/2013,02/01/2013,9,4,120 WEST 140TH STREET,MANHATTAN,10030
347,CITY HALL SENIOR CENTER,01/28/2013,02/01/2013,9,4,100 GOLD STREET,MANHATTAN,10038
33S,COMMUNITY KITCHEN OF WEST HARLEM SC,01/28/2013,02/01/2013,9,4,252 W 116TH ST,MANHATTAN,10026
34Z,CORSI HOUSE SENIOR CENTER,01/28/2013,02/01/2013,9,4,307 EAST 116TH STREET,MANHATTAN,10029
329,COTHOA LUNCHEON CLUB SENIOR CENTER,01/28/2013,02/01/2013,9,4,2005 AMSTERDAM AVENUE,MANHATTAN,10032
322,CPC PROJECT OPEN DOOR,01/28/2013,02/01/2013,9,4,168 GRAND STREET,MANHATTAN,10013
34P,DYCKMAN SENIOR CENTER,01/28/2013,02/01/2013,9,4,3754 10TH AVENUE,MANHATTAN,10034
32U,E. HARLEM CNCL NUTRITION PROGRAM,01/28/2013,02/01/2013,9,4,150 EAST 121ST STREET,MANHATTAN,10035
33A,EDUCATIONAL ALLIANCE/ Whittaker Center,01/28/2013,02/01/2013,9,4,197 EAST BROADWAY,MANHATTAN,10002
33L,ENCORE LUNCHEON CLUB,01/28/2013,02/01/2013,9,4,239 WEST 49TH STREET,MANHATTAN,10019
351,GAYLORD WHITE SENIOR CENTER,01/28/2013,02/01/2013,9,4,2029 SECOND AVENUE,MANHATTAN,10029
33T,GODDARD-RIVERSIDE SENIOR CENTER,01/28/2013,02/01/2013,9,4,593 COLUMBUS AVENUE,MANHATTAN,10024
348,GOOD COMPANIONS NUTRITION,01/28/2013,02/01/2013,9,4,334 MADISON STREET,MANHATTAN,10002
33V,GRAND COALITION OF SENIORS SENIOR CENTER,01/28/2013,02/01/2013,9,4,80 PITT STREET,MANHATTAN,10002
324,HAMILTON GRANGE SENIOR CENTER,01/28/2013,02/01/2013,9,4,420 WEST 145TH STREET,MANHATTAN,10031
34A,HUDSON GUILD SENIOR SERVICES,01/28/2013,02/01/2013,9,4,119 9TH AVENUE,MANHATTAN,10011
33X,INDEPENDENCE PLAZA,01/28/2013,02/01/2013,9,4,310 GREENWICH STREET,MANHATTAN,10013
31T,JACKIE ROBINSON SR CTR AT GRANT HOUSES,01/28/2013,02/01/2013,9,4,1301 AMSTERDAM AVENUE,MANHATTAN,10027
62706,JASA CLUB 76,01/28/2013,02/01/2013,9,4,120 WEST 76TH STREET,MANHATTAN,10023
352,JEFFERSON HOUSES SENIOR CENTER,01/28/2013,02/01/2013,9,4,2205 FIRST AVENUE,MANHATTAN,10029
34S,JOHN PAUL II FRIENDSHIP CENTER,01/28/2013,02/01/2013,9,4,103 EAST 7TH STREET,MANHATTAN,10009
33Y,JUDITH WHITE SENIOR CENTER,01/28/2013,02/01/2013,9,4,27 BARROW STREET,MANHATTAN,10014
36902,KENNEDY SENIOR CENTER,01/28/2013,02/01/2013,9,4,34 WEST 134TH STREET,MANHATTAN,10037
34Q,LA GUARDIA SENIOR CENTER,01/28/2013,02/01/2013,9,4,280 CHERRY STREET,MANHATTAN,10002
33K,LENOX HILL INNOVATIVE SENIOR CENTER,01/28/2013,02/01/2013,9,4,343 EAST 70TH STREET,MANHATTAN,10021
34M,LENOX HILL SENIOR CENTER II ST. PETER'S,01/28/2013,02/01/2013,9,4,619 LEXINGTON AVENUE,MANHATTAN,10022
30Z,LEONARD COVELLO SENIOR CENTER,01/28/2013,02/01/2013,9,4,312 EAST 109TH STREET,MANHATTAN,10029
361,M MCLEOD BETHUNE SENIOR CENTER,01/28/2013,02/01/2013,9,4,1970 AMSTERDAM AVENUE,MANHATTAN,10032
358,MANHATTANVILLE-RIVERSIDE SENIOR CENTER,01/28/2013,02/01/2013,9,4,3333 BROADWAY,MANHATTAN,10031
30C,MORIAH OLDER ADULT LUNCHEON CLUB,01/28/2013,02/01/2013,9,4,90 BENNETT AVENUE,MANHATTAN,10033
34R,MOTT STREET SENIOR CENTER,01/28/2013,02/01/2013,9,4,180 MOTT STREET,MANHATTAN,10012
320,NY CHINATOWN SENIOR CENTER,01/28/2013,02/01/2013,9,4,70 MULBERRY STREET,MANHATTAN,10013
33Z,OUR LADY OF POMPEII SENIOR CENTER,01/28/2013,02/01/2013,9,4,25 CARMINE STREET,MANHATTAN,10014
33N,PROJECT FIND CLINTON SENIOR CENTER,01/28/2013,02/01/2013,9,4,530 WEST 55TH STREET,MANHATTAN,10019
33P,PROJECT FIND COFFEEHOUSE SENIOR CENTER,01/28/2013,02/01/2013,9,4,551 NINTH AVENUE,MANHATTAN,10018
33Q,PROJECT FIND HAMILTON HOUSE,01/28/2013,02/01/2013,9,4,141 WEST 73RD STREET,MANHATTAN,10023
33R,PROJECT FIND WOODSTOCK SENIOR CENTER,01/28/2013,02/01/2013,9,4,127 WEST 43RD STREET,MANHATTAN,10036
34T,PSS HARLEM SENIOR CENTER,01/28/2013,02/01/2013,9,4,18 MOUNT MORRIS PARK WEST,MANHATTAN,10027
34U,RAIN INWOOD SENIOR CENTER,01/28/2013,02/01/2013,9,4,84 VERMILYEA AVE,MANHATTAN,10034
34X,ROOSEVELT ISLAND SENIOR CENTER,01/28/2013,02/01/2013,9,4,546 MAIN STREET,MANHATTAN,10044
646,SAGE INNOVATIVE SENIOR CENTER,01/28/2013,02/01/2013,9,4,305 SEVENTH AVENUE,MANHATTAN,10001
335,SIROVICH SENIOR CENTER,01/28/2013,02/01/2013,9,4,331 EAST 12TH STREET,MANHATTAN,10003
34Y,STANLEY ISAACS SENIOR CENTER,01/28/2013,02/01/2013,9,4,415 EAST 93RD STREET,MANHATTAN,10128
334,STEIN SENIOR CENTER,01/28/2013,02/01/2013,9,4,245 EAST 17TH STREET (temporary),MANHATTAN,10010
355,UBA BEATRICE LEWIS SENIOR CENTER,01/28/2013,02/01/2013,9,4,2322 THIRD AVENUE,MANHATTAN,10035
362,UJC ADULT LUNCHEON CLUB,01/28/2013,02/01/2013,9,4,15 BIALYSTOKER PLACE,MANHATTAN,10002
363,UNIVERSITY SETTLEMENT NUTRITION,01/28/2013,02/01/2013,9,4,189 ALLEN STREET,MANHATTAN,10002
645,VISIONS INNOVATIVE SENIOR CENTER,01/28/2013,02/01/2013,9,4,135 WEST 23RD STREET,MANHATTAN,10011
36A,WASH HGTS COMMUNITY SVC SENIOR CENTER,01/28/2013,02/01/2013,9,4,650 WEST 187TH STREET,MANHATTAN,10033
34N,WEST 65TH STREET SENIOR CENTER,01/28/2013,02/01/2013,9,4,250 W 65TH ST,MANHATTAN,10023
36B,WEST SIDE FEDERATION SENIOR CENTER,01/28/2013,02/01/2013,9,4,135 WEST 106TH STREET,MANHATTAN,10025
33M,YM YWHA INNOVATIVE SENIOR CENTER,01/28/2013,02/01/2013,9,4,54 NAGLE AVENUE,MANHATTAN,10040
44Q,ALLEN COMMUNITY SENIOR CITIZENS CENTER,01/28/2013,02/01/2013,9,4,166-01 LINDEN BOULEVARD,QUEENS,11434
44N,ALPHA PHI ALPHA SENIOR CENTER,01/28/2013,02/01/2013,9,4,220-01 LINDEN BOULVARD,QUEENS,11411
42A,BROOKS SENIOR CENTER,01/28/2013,02/01/2013,9,4,143-22 109TH AVENUE,QUEENS,11435
43A,CCNS BAYSIDE SENIOR CENTER,01/28/2013,02/01/2013,9,4,221-15 HORACE HARDING EXPWY,QUEENS,11364
43B,CCNS CATHERINE SHERIDAN SENIOR CENTER,01/28/2013,02/01/2013,9,4,35-24 83RD STREET,QUEENS,11372
42X,CCNS DELLAMONICA SENIOR CENTER,01/28/2013,02/01/2013,9,4,23-56 BROADWAY,QUEENS,11106
44P,CCNS HILLCREST SENIOR CENTER,01/28/2013,02/01/2013,9,4,168-01B HILLSIDE AVENUE,QUEENS,11432
42W,CCNS OZONE PARK SENIOR CENTER,01/28/2013,02/01/2013,9,4,103-02 101ST AVENUE,QUEENS,11416
425,CCNS WOODHAVEN RICHMOND HILL SR. CTR.,01/28/2013,02/01/2013,9,4,78-15 JAMAICA AVENUE,QUEENS,11421
488,CPC QUEENS NAN SHAN SENIOR CITIZEN CTR,01/28/2013,02/01/2013,9,4,136-18 39TH AVENUE,QUEENS,11354
42Y,ELMCOR SENIOR CENTER,01/28/2013,02/01/2013,9,4,98-19 ASTORIA BOULVARD,QUEENS,11369
43N,ELMHURST JACKSON HEIGHTS SENIOR CENTER,01/28/2013,02/01/2013,9,4,75-01 BROADWAY,QUEENS,11373
43F,FLORENCE SMITH SENIOR SERVICE,01/28/2013,02/01/2013,9,4,102-19 34TH AVENUE,QUEENS,11368
44M,FOREST HILLS COMMUNITY HOUSE SENIOR CTR,01/28/2013,02/01/2013,9,4,108-25 62ND DRIVE,QUEENS,11375
46F,HANAC ANGELO PETROMELIS SENIOR CENTER,01/28/2013,02/01/2013,9,4,13-28 123RD STREET,QUEENS,11356
45B,HANAC LINDSAY SENIOR CENTER,01/28/2013,02/01/2013,9,4,27-40 HOYT AVENUE SOUTH,QUEENS,11102
44C,HOWARD BEACH SENIOR CENTER,01/28/2013,02/01/2013,9,4,157-10 83RD STREET (temporary),QUEENS,11414
472,IPR HE CORONA SENIOR CENTER,01/28/2013,02/01/2013,9,4,108-74 ROOSEVELT AVENUE,QUEENS,11368
44H,JASA BROOKDALE SENIOR CENTER,01/28/2013,02/01/2013,9,4,131 BEACH 19TH STREET,QUEENS,11691
44F,JASA HOLLISWOOD SENIOR CENTER,01/28/2013,02/01/2013,9,4,86-25 FRANCIS LEWIS BLVD,QUEENS,11427
401,JASA ROCKAWAY PARK SENIOR CENTER,01/28/2013,02/01/2013,9,4,106-20 SHORE FRONT PKWY.,QUEENS,11694
42J,JASA ROY REUTHER SENIOR CENTER,01/28/2013,02/01/2013,9,4,7-11C SEAGIRT AVENUE,QUEENS,11691
435,JSPOA FRIENDSHIP NUTRITION CENTER,01/28/2013,02/01/2013,9,4,92-33 170TH STREET,QUEENS,11433
44E,JSPOA ROCKAWAY BLVD SENIOR CENTER,01/28/2013,02/01/2013,9,4,123-10 143RD STREET,QUEENS,11436
42Q,JSPOA THEODORA JACKSON SENIOR CENTER,01/28/2013,02/01/2013,9,4,92-47 165TH STREET,QUEENS,11433
44K,KOREAN AMERICAN SENIOR CENTER,01/28/2013,02/01/2013,9,4,37-06 111TH STREET,QUEENS,11368
43R,KOREAN AMERICAN SENIOR CENTER - FLUSHING,01/28/2013,02/01/2013,9,4,42-15 166TH STREET,QUEENS,11358
43K,LEFRAK SENIOR CITIZENS CENTER,01/28/2013,02/01/2013,9,4,98-16 55TH AVENUE,QUEENS,11368
45F,MIDDLE VILLAGE OLDER ADULT CENTER,01/28/2013,02/01/2013,9,4,69-10 75TH STREET,QUEENS,11379
43V,NEWTOWN ITALIAN SENIOR CENTER,01/28/2013,02/01/2013,9,4,83-20 QUEENS BOULEVARD,QUEENS,11373
