County,Recreation Unit,Town,WMU,Acres,Map
Delaware,Cat Hollow,Colchester,4W,175,http://www.nyc.gov/html/dep/pdf/maps/Cat_Hollow.pdf
Delaware,Chambers Hollow ,Walton,4O,113,http://www.nyc.gov/html/dep/pdf/maps/Chambers_Hollow.pdf
Delaware,Chipmunk Hollow,Walton,4O,101,http://www.nyc.gov/html/dep/pdf/maps/Chipmunk_Hollow.pdf
Delaware,Churchill Mountain,Stamford,4P,190,http://www.nyc.gov/html/dep/pdf/maps/Churchill_Mtn.pdf
Delaware,Cole Hill,Middletown,4P,241,http://www.nyc.gov/html/dep/pdf/maps/Cole_Hill.pdf
Delaware,Coulter Brook,Bovina,4P,264,http://www.nyc.gov/html/dep/pdf/maps/Coulter_Brook.pdf
Delaware,Couse Hill,Masonville,4O,100,http://www.nyc.gov/html/dep/pdf/maps/Couse_Hill.pdf
Delaware,Covered Bridge,Delhi,4P,22,http://www.nyc.gov/html/dep/pdf/maps/Covered_Bridge.pdf
Delaware,Covert Hollow,Hamden,4O,428,http://www.nyc.gov/html/dep/pdf/maps/Covert_Hollow.pdf
Delaware,Covesville,Middletown,4R,56,http://www.nyc.gov/html/dep/pdf/maps/Covesville.pdf
Delaware,Cross Road ,Tompkins,4O,37,http://www.nyc.gov/html/dep/pdf/maps/Cross_Road.pdf
Delaware,Crystal Creek,Hamden,4O,48,http://www.nyc.gov/html/dep/pdf/maps/Crystal_Creek.pdf
Delaware,Delaware Headwaters,Roxbury,4P,599,http://www.nyc.gov/html/dep/pdf/maps/Delaware_Head.pdf
Delaware,Dibble Road,Andes,4P,104,http://www.nyc.gov/html/dep/pdf/maps/Dibble_Road.pdf
Delaware,Dry Brook,Meredith,4O,67,http://www.nyc.gov/html/dep/pdf/maps/Dry_Brook.pdf
Delaware,Dryden Brook,Tompkins,4O,82,http://www.nyc.gov/html/dep/pdf/maps/Dryden_Brook.pdf
Delaware,Duggan Hill,Roxbury,4P,192,http://www.nyc.gov/html/dep/pdf/maps/Duggan_Hill.pdf
Delaware,Dunraven North,Middletown,4P,202,http://www.nyc.gov/html/dep/pdf/maps/Dunraven_North.pdf
Delaware,East Brook,Franklin,4O,49,http://www.nyc.gov/html/dep/pdf/maps/East_Brook.pdf
Delaware,East Masonville,Masonville,4O,136,http://www.nyc.gov/html/dep/pdf/maps/East_Masonville.pdf
Delaware,East Platner Brook,Delhi,4O,453,http://www.nyc.gov/html/dep/pdf/maps/East_Platner.pdf
Delaware,East River Road,Hamden,4P,23,http://www.nyc.gov/html/dep/pdf/maps/East_River.pdf
Delaware,East Terry Clove,Delhi,4P,116,http://www.nyc.gov/html/dep/pdf/maps/EastTerryClove.pdf
Delaware,Finch Hollow,Delhi,4O,49,http://www.nyc.gov/html/dep/pdf/maps/Finch_Hollow.pdf
Delaware,Fish Brook,Walton,4O,411,http://www.nyc.gov/html/dep/pdf/maps/Fish_Brook.pdf
Delaware,Fletcher Hollow,Tompkins,4O,358,http://www.nyc.gov/html/dep/pdf/maps/Fletcher_Hollow.pdf
Delaware,Flynn Brook,Andes,4P,2200,http://www.nyc.gov/html/dep/pdf/maps/Flynn_Brook.pdf
Delaware,Freer Hollow ,Walton,4O,81,http://www.nyc.gov/html/dep/pdf/maps/Freer_Hollow.pdf
Delaware,Hardscrabble Road,Roxbury,4P,47,http://www.nyc.gov/html/dep/pdf/maps/Hardscrabble_Road.pdf
Delaware,Hinkley,Roxbury,4P,87,http://www.nyc.gov/html/dep/pdf/maps/Hinkley.pdf
Delaware,Horton Brook,Colchester,4W,7,http://www.nyc.gov/html/dep/pdf/maps/Horton_Brook.pdf
Delaware,Huckleberry Brook,Middletown,3A,101,http://www.nyc.gov/html/dep/pdf/maps/Huckleberry_Brook.pdf
Delaware,Irish Hill,Meredith,4O,156,http://www.nyc.gov/html/dep/pdf/maps/Irish_Hill.pdf
Delaware,Irish Mountain ,Roxbury,4R,259,http://www.nyc.gov/html/dep/pdf/maps/Irish_Mtn.pdf
Delaware,Johnny Brook,Deposit,4O,3791,http://www.nyc.gov/html/dep/pdf/maps/Johnny_Brook.pdf
Delaware,Johnny Cake Lane ,Middletown,4P,30,http://www.nyc.gov/html/dep/pdf/maps/Johnny_Cake.pdf
Delaware,Kiff Brook ,Kortright,4O,356,http://www.nyc.gov/html/dep/pdf/maps/Kiff_Brook.pdf
Delaware,Kortright Patent,Kortright,4O,55,http://www.nyc.gov/html/dep/pdf/maps/Kortright_Patent.pdf
Delaware,Launt Hollow,Hamden,4O,57,http://www.nyc.gov/html/dep/pdf/maps/Launt_Hollow.pdf
Delaware,Little Delaware,Bovina,4P,100,http://www.nyc.gov/html/dep/pdf/maps/Little_Delaware.pdf
Delaware,MacDonald Road,Hamden,4P,34,http://www.nyc.gov/html/dep/pdf/maps/MacDonald_Road.pdf
Delaware,Mallory Brook,Hamden,4P,35,http://www.nyc.gov/html/dep/pdf/maps/Mallory_Brook.pdf
Delaware,McGregor Mountain,Roxbury,4P,295,http://www.nyc.gov/html/dep/pdf/maps/McGregor_Mtn.pdf
Delaware,Meekers Hill,Andes,4P,120,http://www.nyc.gov/html/dep/pdf/maps/Meekers_Hill.pdf
Delaware,Miller Hollow,Colchester,4W,19,http://www.nyc.gov/html/dep/pdf/maps/Miller_Hollow.pdf
Delaware,Miller Road,Middletown,4P,285,http://www.nyc.gov/html/dep/pdf/maps/Miller_Road.pdf
Delaware,Morris Hill ,Middletown,4R,266,http://www.nyc.gov/html/dep/pdf/maps/Morris_Hill.pdf
Delaware,Mountain Top,Tompkins,4O,36,http://www.nyc.gov/html/dep/pdf/maps/Mountain_Top.pdf
Delaware,Mundale,Hamden,4O,216,http://www.nyc.gov/html/dep/pdf/maps/Mundale.pdf
Delaware,Murphy Hill,Andes,4P,520,http://www.nyc.gov/html/dep/pdf/maps/Murphy_Hill.pdf
Delaware,Narrow Notch,Stamford,4P,140,http://www.nyc.gov/html/dep/pdf/maps/Narrow_Notch.pdf
Delaware,New Kingston Mountain,Middletown,4P,282,http://www.nyc.gov/html/dep/pdf/maps/New_Kingston.pdf
Delaware,New Road,Bovina,4P,230,http://www.nyc.gov/html/dep/pdf/maps/New_Road.pdf
Delaware,Odell Lake Road,Harpersfield,4O,45,http://www.nyc.gov/html/dep/pdf/maps/Odell_Lake.pdf
Delaware,Palmer Hill,Andes,4P,235,http://www.nyc.gov/html/dep/pdf/maps/Palmer_Hill.pdf
Delaware,Peakes Brook,Delhi,4O,194,http://www.nyc.gov/html/dep/pdf/maps/Peakes_Brook.pdf
Delaware,Pepacton Ledges,Andes,4W,293,http://www.nyc.gov/html/dep/pdf/maps/Pepacton_Ledges.pdf
Delaware,Pink Street,Bovina,4P,309,http://www.nyc.gov/html/dep/pdf/maps/Pink_Street.pdf
Delaware,Platner Brook,Delhi,4O,54,http://www.nyc.gov/html/dep/pdf/maps/Platner_Brook.pdf
Delaware,Plattekill Mountain,Roxbury,4P,716,http://www.nyc.gov/html/dep/pdf/maps/Plattekill_Mtn.pdf
Delaware,Pleasant Valley,Roxbury,4P,183,http://www.nyc.gov/html/dep/pdf/maps/Pleasant_Valley.pdf
Delaware,Plymouth,Franklin,4O,80,http://www.nyc.gov/html/dep/pdf/maps/Plymouth.pdf
Delaware,Raynor Brook,Colchester,4P,360,http://www.nyc.gov/html/dep/pdf/maps/Raynor_Brook.pdf
Delaware,Read Creek,Tompkins,4W,13,http://www.nyc.gov/html/dep/pdf/maps/Read_Creek.pdf
Delaware,Red Kill,Middletown,4R,83,http://www.nyc.gov/html/dep/pdf/maps/Red_Kill.pdf
Delaware,Rehor Road,Andes,3A,190,http://www.nyc.gov/html/dep/pdf/maps/Rehor_Road.pdf
Delaware,Reuben Todd Road,Delhi,4P,124,http://www.nyc.gov/html/dep/pdf/maps/ReubenToddRoad.pdf
Delaware,River Road,Walton,4P,54,http://www.nyc.gov/html/dep/pdf/maps/River_Road.pdf
Delaware,Roods Creek,Tompkins,4W,349,http://www.nyc.gov/html/dep/pdf/maps/Roods_Creek.pdf
Delaware,Roses Brook,Stamford,4P,83,http://www.nyc.gov/html/dep/pdf/maps/Roses_Brook.pdf
Delaware,Sallys Alley,Roxbury,4R,257,http://www.nyc.gov/html/dep/pdf/maps/Sallys_Alley.pdf
Delaware,Sands Creek,Tompkins,4W,1608,http://www.nyc.gov/html/dep/pdf/maps/Sands_Creek.pdf
Delaware,Shaver Hollow,Andes,4P,33,http://www.nyc.gov/html/dep/pdf/maps/Shaver_Hollow.pdf
Delaware,Shavertown Bridge ,Andes,4P,305,http://www.nyc.gov/html/dep/pdf/maps/Shavertown_Bridge.pdf
Delaware,Shaw Road,Kortright,4P,50,http://www.nyc.gov/html/dep/pdf/maps/Shaw_Road.pdf
Delaware,South Dunraven,Middletown,4P,76,http://www.nyc.gov/html/dep/pdf/maps/South_Dunraven.pdf
Delaware,South River Road,Walton,4W,62,http://www.nyc.gov/html/dep/pdf/maps/SouthRiverRoad.pdf
Delaware,Speedwell Mountain,Tompkins,4O,3908,http://www.nyc.gov/html/dep/pdf/maps/Speedwell_Mtn.pdf
Delaware,Spring Valley,Meredith,4O,562,http://www.nyc.gov/html/dep/pdf/maps/Spring_Valley.pdf
Delaware,Sutherland Road,Meredith,4O,36,http://www.nyc.gov/html/dep/pdf/maps/Sutherland_Road.pdf
Delaware,Swart Road,Middletown,4P,161,http://www.nyc.gov/html/dep/pdf/maps/Swart_Road.pdf
Delaware,Tower Mountain,Tompkins,4O,102,http://www.nyc.gov/html/dep/pdf/maps/Tower_Mtn.pdf
Delaware,Town Brook,Stamford,4P,30,http://www.nyc.gov/html/dep/pdf/maps/Town_Brook.pdf
Delaware,Township Valley,Stamford,4P,128,http://www.nyc.gov/html/dep/pdf/maps/Township_Valley.pdf
Delaware,Trow Bridge,Middletown,4P,12,http://www.nyc.gov/html/dep/pdf/maps/Trow_Bridge.pdf
Delaware,Utsayantha,Stamford,4P,30,http://www.nyc.gov/html/dep/pdf/maps/Utsayantha.pdf
Delaware,Vega Mountain,Roxbury,4R,45,http://www.nyc.gov/html/dep/pdf/maps/Vega_Mtn.pdf
Delaware,Vinci Brook,Colchester,4W,97,http://www.nyc.gov/html/dep/pdf/maps/Vinci_Brook.pdf
Delaware,Wagon Wheel,Tompkins,4O,72,http://www.nyc.gov/html/dep/pdf/maps/Wagon_Wheel.pdf
Delaware,Weaver Hollow,Andes,4P,622,http://www.nyc.gov/html/dep/pdf/maps/Weaver_Hollow.pdf
Delaware,West Halcott,Halcott & Roxbury,4R,110,http://www.nyc.gov/html/dep/pdf/maps/West_Halcott.pdf
Delaware,West Masonville,Masonville,4O,44,http://www.nyc.gov/html/dep/pdf/maps/West_Masonville.pdf
Delaware,West Platner Brook,Delhi,4O,80,http://www.nyc.gov/html/dep/pdf/maps/West_Platner.pdf
Delaware,West Schoharie,Roxbury,4R,330,http://www.nyc.gov/html/dep/pdf/maps/West_Schoharie.pdf
Delaware,West Settlement,Roxbury,4P,1849,http://www.nyc.gov/html/dep/pdf/maps/West_Settlement.pdf
Delaware,Whiskey Hollow,Harpersfield,4O,34,http://www.nyc.gov/html/dep/pdf/maps/Whiskey_Hollow.pdf
Dutchess,Alamar,East Fishkill,3N,87,http://www.nyc.gov/html/dep/pdf/maps/Alamar.pdf
Dutchess,East Fishkill,East Fishkill,3N,807,http://www.nyc.gov/html/dep/pdf/maps/East_Fishkill.pdf
Greene,Balsam Mountain,Lexington,3A,772,http://www.nyc.gov/html/dep/pdf/maps/Balsam_Mtn.pdf
Greene,Batavia,Ashland,4R,428,http://www.nyc.gov/html/dep/pdf/maps/Batavia.pdf
Greene,Beech Ridge,Lexington,4R,487,http://www.nyc.gov/html/dep/pdf/maps/Beech_Ridge.pdf
Greene,Brownell Creek,Halcott,4R,98,http://www.nyc.gov/html/dep/pdf/maps/Brownell_Creek.pdf
Greene,Camp Meadowbrook,Hunter,3A,32,http://www.nyc.gov/html/dep/pdf/maps/Camp_Meadowbrook.pdf
Greene,Campbell Road,Ashland,4R,70,http://www.nyc.gov/html/dep/pdf/maps/Campbell_Road.pdf
Greene,Case Road ,Ashland,4R,189,http://www.nyc.gov/html/dep/pdf/maps/Case_Road.pdf
Greene,Cave Mountain ,Jewett,4R,323,http://www.nyc.gov/html/dep/pdf/maps/Cave_Mtn.pdf
Greene,Center Jewett,Jewett,4R,121,http://www.nyc.gov/html/dep/pdf/maps/Center_Jewett.pdf
Greene,Cozy Hollow,Prattsville,4R,78,http://www.nyc.gov/html/dep/pdf/maps/Cozy_Hollow.pdf
Greene,Deer Run,Ashland,4R,121,http://www.nyc.gov/html/dep/pdf/maps/Deer_Run.pdf
Greene,Diamond Notch,Hunter,3A,86,http://www.nyc.gov/html/dep/pdf/maps/Diamond_Notch.pdf
Greene,Dog Hill,Prattsville,4R,533,http://www.nyc.gov/html/dep/pdf/maps/Dog_Hill.pdf
Greene,East Windham,Windham,4R,27,http://www.nyc.gov/html/dep/pdf/maps/East_Windham.pdf
Greene,Four Corners,Prattsville,4R,203,http://www.nyc.gov/html/dep/pdf/maps/Four_Corners.pdf
Greene,Halcott,Halcott,4R,116,http://www.nyc.gov/html/dep/pdf/maps/Halcott.pdf
Greene,High Peak,Windham,3A,47,http://www.nyc.gov/html/dep/pdf/maps/High_Peak.pdf
Greene,Huntersfield Creek,Prattsville,4R,393,http://www.nyc.gov/html/dep/pdf/maps/Huntersfield_Crk.pdf
Greene,Jennie Notch,Windham,4R,247,http://www.nyc.gov/html/dep/pdf/maps/Jennie_Notch.pdf
Greene,Katydid Creek,Jewett,3A,143,http://www.nyc.gov/html/dep/pdf/maps/Katydid_Creek.pdf
Greeene,Little Westkill ,Lexington,4R,83,http://www.nyc.gov/html/dep/pdf/maps/Little_Westkill.pdf
Greene,Maben Hill,Lexington,4R,149,http://www.nyc.gov/html/dep/pdf/maps/Maben_Hill.pdf
Greene,Macumber Road,Conesville & Prattsville,4R,142,http://www.nyc.gov/html/dep/pdf/maps/Macumber_Rd.pdf
Greene,Maplecrest,Windham,3A,632,http://www.nyc.gov/html/dep/pdf/maps/Maplecrest.pdf
Greene,Maplecrest Road,Windham,3A,50,http://www.nyc.gov/html/dep/pdf/maps/Maplecrest_Road.pdf
Greene,Mount Hayden,Windham,4R,804,http://www.nyc.gov/html/dep/pdf/maps/Mt_Hayden.pdf
Greene,North Ashland,Ashland,4R,137,http://www.nyc.gov/html/dep/pdf/maps/North_Ashland.pdf
Greene,North Lexington,Lexington,4R,147,http://www.nyc.gov/html/dep/pdf/maps/North_Lexington.pdf
Greene,Partridge Road,Ashland,4R,63,http://www.nyc.gov/html/dep/pdf/maps/Partridge_Road.pdf
Greene,Patterson Ridge,Ashland,4R,294,http://www.nyc.gov/html/dep/pdf/maps/Patterson_Ridge.pdf
Greene,Pinekill Meadows ,Windham,3A,90,http://www.nyc.gov/html/dep/pdf/maps/Pinekill_Meadow.pdf
Greene,Railroad Bend,Hunter,3A,52,http://www.nyc.gov/html/dep/pdf/maps/Railroad_Bend.pdf
Greene,Red Kill Headwaters,Halcott,4R,136,http://www.nyc.gov/html/dep/pdf/maps/RedKill_Head.pdf
Greene,Richmond,Windham,4R,126,http://www.nyc.gov/html/dep/pdf/maps/Richmond.pdf
Greene,Roaring Kill ,Hunter,3A,139,http://www.nyc.gov/html/dep/pdf/maps/Roaring_Kill.pdf
Greene,Roundtop Mountain,Hunter,3A,335,http://www.nyc.gov/html/dep/pdf/maps/Roundtop_Mtn.pdf
Greene,Schoharie Creek,Prattsville,4R,58,http://www.nyc.gov/html/dep/pdf/maps/Schoharie_Creek.pdf
Greene,Scribner Hollow,Jewett,3A,219,http://www.nyc.gov/html/dep/pdf/maps/Scribner_Hollow.pdf
Greene,Silas Lake Road,Halcott,4R,48,http://www.nyc.gov/html/dep/pdf/maps/Silas_Lake.pdf
Greene,Ski Run Road ,Prattsville,4R,46,http://www.nyc.gov/html/dep/pdf/maps/Ski_Run.pdf
Greene,South Mountain Extension ,Windham,4R,47,http://www.nyc.gov/html/dep/pdf/maps/SouthMtn_Ext.pdf
Greene,South Roundtop,Hunter,3A,94,http://www.nyc.gov/html/dep/pdf/maps/South_Roundtop.pdf
Greene,Spruceton,Lexington,3A,7,http://www.nyc.gov/html/dep/pdf/maps/Spruceton.pdf
Greene,Stony Clove,Hunter,3A,97,http://www.nyc.gov/html/dep/pdf/maps/Stony_Clove.pdf
Greene,Tap Jam ,Windham,4R,164,http://www.nyc.gov/html/dep/pdf/maps/Tap_Jam.pdf
Greene,Warner Creek North,Hunter,3A,56,http://www.nyc.gov/html/dep/pdf/maps/WarnerCreekNorth.pdf
Greene,Washington Street ,Prattsville,4R,31,http://www.nyc.gov/html/dep/pdf/maps/Washington_Street.pdf
Greene,West Ashland,Ashland,4R,198,http://www.nyc.gov/html/dep/pdf/maps/West_Ashland.pdf
Greene,West Hollow,Ashland,4R,88,http://www.nyc.gov/html/dep/pdf/maps/West_Hollow.pdf
Greene,Westkill,Lexington,4R,263,http://www.nyc.gov/html/dep/pdf/maps/Westkill.pdf
Putnam,Adams,Kent,3N,178,http://www.nyc.gov/html/dep/pdf/maps/Adams.pdf
Putnam,Boyds Corner North,Kent,3N,387,http://www.nyc.gov/html/dep/pdf/maps/Boyds_Corner.pdf
Putnam,Dean Pond,Kent,3N,204,http://www.nyc.gov/html/dep/pdf/maps/Dean_Pond.pdf
Putnam,Farmers Mills,Kent,3N,163,http://www.nyc.gov/html/dep/pdf/maps/Farmers_Mills.pdf
Putnam,Horse Pound Brook,Kent,3N,1085,http://www.nyc.gov/html/dep/pdf/maps/Horse_Pound.pdf
Putnam,Kent Cliffs,Kent,3N,380,http://www.nyc.gov/html/dep/pdf/maps/Kent_Cliffs.pdf
Putnam,Kent Hills,Kent,3N,118,http://www.nyc.gov/html/dep/pdf/maps/Kent_Hills.pdf
Putnam,Knapp Road,Kent,3N,187,http://www.nyc.gov/html/dep/pdf/maps/Knapp_Road.pdf
Putnam,Lockwood,Carmel,3N,488,http://www.nyc.gov/html/dep/pdf/maps/Lockwood.pdf
Putnam,Long Pond,Carmel,3N,32,http://www.nyc.gov/html/dep/pdf/maps/Long_Pond.pdf
Putnam,Ludingtonville,Kent,3N,169,http://www.nyc.gov/html/dep/pdf/maps/Ludingtonville.pdf
Putnam,Mount Nimham,Kent,3N,81,http://www.nyc.gov/html/dep/pdf/maps/Mt_Nimham.pdf
Putnam,North Putnam,Kent,3N,42,http://www.nyc.gov/html/dep/pdf/maps/North_Putnam.pdf
Putnam,Richardsville,Kent,3N,193,http://www.nyc.gov/html/dep/pdf/maps/Richardsville.pdf
Putnam,Summit,Kent,3N,57,http://www.nyc.gov/html/dep/pdf/maps/Summit.pdf
Putnam,Taconic,Kent,3N,119,http://www.nyc.gov/html/dep/pdf/maps/Taconic.pdf
Putnam,West Branch Headwaters,Putnam Valley,3N,564,http://www.nyc.gov/html/dep/pdf/maps/WestBranch_Head.pdf
Putnam,White Pond,Kent,3N,197,http://www.nyc.gov/html/dep/pdf/maps/White_Pond.pdf
Schoharie,Bearkill,Conesville,4G,115,http://www.nyc.gov/html/dep/pdf/maps/Bearkill.pdf
Schoharie,Beaver Hill ,Conesville,4R,172,http://www.nyc.gov/html/dep/pdf/maps/Beaver_Hill.pdf
Schoharie,Bluebird Road,Conesville,4R,222,http://www.nyc.gov/html/dep/pdf/maps/Bluebird_Road.pdf
Schoharie,Bull Hill,Conesville,4G,90,http://www.nyc.gov/html/dep/pdf/maps/Bull_Hill.pdf
Schoharie,Hubbard Hill South,Conesville,4G,110,http://www.nyc.gov/html/dep/pdf/maps/HubbardHill_South.pdf
Schoharie,Hubbard Hill,Conesville,4G,367,http://www.nyc.gov/html/dep/pdf/maps/Hubbard_Hill.pdf
Schoharie,Manorkill,Conesville,4G,465,http://www.nyc.gov/html/dep/pdf/maps/Manorkill.pdf
Schoharie,McGregor Mountain North,Gilboa,4P,32,http://www.nyc.gov/html/dep/pdf/maps/McGregorMtn_North.pdf
Schoharie,Mount Royal,Conesville,4R,279,http://www.nyc.gov/html/dep/pdf/maps/Mount_Royal.pdf
Schoharie,Pangman Road,Conesville,4R,175,http://www.nyc.gov/html/dep/pdf/maps/Pangman_Road.pdf
Schoharie,Pine Mountain,Gilboa,4R,897,http://www.nyc.gov/html/dep/pdf/maps/Pine_Mtn.pdf
Schoharie,West Conesville,Conesville,4G,245,http://www.nyc.gov/html/dep/pdf/maps/West_Conesville.pdf
Schoharie,Windy Ridge,Gilboa,4P,42,http://www.nyc.gov/html/dep/pdf/maps/Windy_Ridge.pdf
Sullivan,Blue Hill,Neversink,3A,314,http://www.nyc.gov/html/dep/pdf/maps/Blue_Hill.pdf
Sullivan,Bungalow Brook,Neversink,3A,44,http://www.nyc.gov/html/dep/pdf/maps/Bungalow_Brook.pdf
Sullivan,Chandler Cove**,Neversink,3H,286,http://www.nyc.gov/html/dep/pdf/maps/Chandler_Cove.pdf
Sullivan,Chestnut Creek,Neversink,3H,90,http://www.nyc.gov/html/dep/pdf/maps/Chestnut_Creek.pdf
Sullivan,Conklin Brook,Neversink,3H,216,http://www.nyc.gov/html/dep/pdf/maps/Conklin_Brook.pdf
Sullivan,Denman Mountain,Neversink,3A,186,http://www.nyc.gov/html/dep/pdf/maps/Denman_Mountain.pdf
Sullivan,East Neversink,Neversink,3H,1948,http://www.nyc.gov/html/dep/pdf/maps/East_Neversink.pdf
Sullivan,Lindholm Road**,Neversink,3H,437,http://www.nyc.gov/html/dep/pdf/maps/Lindholm_Road.pdf
Sullivan,Moore Hill,Neversink,3A,156,http://www.nyc.gov/html/dep/pdf/maps/Moore_Hill.pdf
Sullivan,Myers Road**,Neversink,3H,264,http://www.nyc.gov/html/dep/pdf/maps/Myers_Road.pdf
Sullivan,North Side,Neversink,3C,268,http://www.nyc.gov/html/dep/pdf/maps/North_Side.pdf
Sullivan,Pine Patch,Neversink,3C,69,http://www.nyc.gov/html/dep/pdf/maps/Pine_Patch.pdf
Sullivan,Red Brook Headwaters,Neversink,3H,369,http://www.nyc.gov/html/dep/pdf/maps/RedBrook_Head.pdf
Sullivan,Schumway Road,Neversink,3H,171,http://www.nyc.gov/html/dep/pdf/maps/Schumway_Road.pdf
Sullivan,Smith Road,Neversink,3H,100,http://www.nyc.gov/html/dep/pdf/maps/Smith_Road.pdf
Sullivan,South Hill,Neversink,3H,427,http://www.nyc.gov/html/dep/pdf/maps/South_Hill.pdf
Sullivan,Sugarloaf,Neversink,3A,99,http://www.nyc.gov/html/dep/pdf/maps/Sugarloaf.pdf
Sullivan,Sugarloaf Mountain,Neversink,3A,195,http://www.nyc.gov/html/dep/pdf/maps/Sugarloaf_Mtn.pdf
Sullivan,West Neversink,Neversink,3H,1194,http://www.nyc.gov/html/dep/pdf/maps/West_Neversink.pdf
Ulster,Acorn Hill,Olive,3C,220,http://www.nyc.gov/html/dep/pdf/maps/Acorn_Hill.pdf
Ulster,Ashokan North,Olive,3C,1316,http://www.nyc.gov/html/dep/pdf/maps/Ashokan_North.pdf
Ulster,Beaverkill,Woodstock,3A,418,http://www.nyc.gov/html/dep/pdf/maps/Beaverkill.pdf
Ulster,Beetree Hill,Woodstock,3A,621,http://www.nyc.gov/html/dep/pdf/maps/Beetree_Hill.pdf
Ulster,Big Indian Cluster,Shandaken,"3A, 4R",272,http://www.nyc.gov/html/dep/pdf/maps/Big_Indian.pdf
Ulster,Birch Creek,Shandaken,4R,257,http://www.nyc.gov/html/dep/pdf/maps/Birch_Creek.pdf
Ulster,Black Road,Olive,3A,85,http://www.nyc.gov/html/dep/pdf/maps/Black_Road.pdf
Ulster,Boulevard Road**,Hurley,3C,76,http://www.nyc.gov/html/dep/pdf/maps/Boulevard_Road.pdf
Ulster,Broadstreet Hollow,Shandaken,3A,53,http://www.nyc.gov/html/dep/pdf/maps/Broadstreet_Hollow.pdf
Ulster,Bushkill**,Olive,3A,440,http://www.nyc.gov/html/dep/pdf/maps/Bushkill.pdf
Ulster,Bushkill Fishing Area ,Olive,3C,18,http://www.nyc.gov/html/dep/pdf/maps/Bushkill_Fishing.pdf
Ulster,Chichester,Shandaken,3A,26,http://www.nyc.gov/html/dep/pdf/maps/Chichester.pdf
Ulster,Deer Kill Creek,Wawarsing,3C,347,http://www.nyc.gov/html/dep/pdf/maps/DeerKill_Creek.pdf
Ulster,Diamond Road,Wawarsing,3H,146,http://www.nyc.gov/html/dep/pdf/maps/Diamond_Road.pdf
Ulster,Dinch Road,Denning,3A,75,http://www.nyc.gov/html/dep/pdf/maps/Dinch_Road.pdf
Ulster,East Mountain,Wawarsing,3C,206,http://www.nyc.gov/html/dep/pdf/maps/East_Mtn.pdf
Ulster,Green Eyes,Hurley,3C,172,http://www.nyc.gov/html/dep/pdf/maps/Green_Eyes.pdf
Ulster,Herdman Road,Shandaken,3A,17,http://www.nyc.gov/html/dep/pdf/maps/Herdman_Rd.pdf
Ulster,Ladleton,Denning,3A,500,http://www.nyc.gov/html/dep/pdf/maps/Ladleton.pdf
