Year,Project Code,Program Type,Program Name,Amount,Amount City Expects to Receive,Amount City Expects to be Received by Other Entities
2012,C-HPD-0090,HUD Formula/Entitlement Program,In Rem Building Maintenance and Repair Program,$1021000.00,,
2012,C-HPD-0015,HUD Formula/Entitlement Program,In Rem Building Maintenance and Repair Project Support,$2069000.00,,
2012,C-HPD-0013,HUD Formula/Entitlement Program,In Rem Material Management and Procurement,$545000.00,,
2012,C-HPD-0014,HUD Formula/Entitlement Program,In Rem Property Management Program,$4080000.00,,
2012,C-HPD-0012,HUD Formula/Entitlement Program,In Rem Superintendent Contract,$181000.00,,
2012,C-LPC-0202,HUD Formula/Entitlement Program,LPC Planning,$533000.00,,
2012,C-DPR-0054,HUD Formula/Entitlement Program,Land Restoration Program,$539000.00,,
2012,C-LPC-0052,HUD Formula/Entitlement Program,Landmarks Historic Preservation Grant Program,$145000.00,,
2012,C-HPD-0084,HUD Formula/Entitlement Program,Litigation (formerly Housing Litigation Division),$7050000.00,,
2012,C-DPR-0095,HUD Formula/Entitlement Program,Minipools,$606000.00,,
2012,C-SBS-0200,HUD Formula/Entitlement Program,NYC Business Solutions,$867000.00,,
2012,C-HPD-0000,HUD Formula/Entitlement Program,Neighborhood Housing Services,$698000.00,,
2012,C-HPD-0114,HUD Formula/Entitlement Program,Neighborhood Preservation Consultants,$803000.00,,
2012,C-DSNY-0031,HUD Formula/Entitlement Program,Neighborhood Vacant Lot Clean-Up Program,$19678000.00,,
2012,C-MAY-0047,HUD Formula/Entitlement Program,Project Open House for Disabled Persons,$232000.00,,
2012,C-HPD-0207,HUD Formula/Entitlement Program,Property Disposition and Finance (Formerly In Rem Alternative Management Program),$17590000.00,,
2012,C-DPR-0032,HUD Formula/Entitlement Program,Prospect Park Special Administrator's Office,$510000.00,,
2012,C-HPD-0209,HUD Formula/Entitlement Program,Rehabilitation Services,$735000.00,,
2012,C-HPD-0199,HUD Formula/Entitlement Program,Rent Guidelines Board Support Staff,$505000.00,,
2012,C-MOCJC-0037,HUD Formula/Entitlement Program,Safe Horizon,$3430000.00,,
2012,C-MAY-0203,HUD Formula/Entitlement Program,Scorecard Program,$415000.00,,
2012,C-CHA-0041,HUD Formula/Entitlement Program,Senior Resident Advisor Program,$450000.00,,
2012,C-HPD-0010,HUD Formula/Entitlement Program,Targeted Code Enforcement,$34321000.00,,
2012,C-DPR-0033,HUD Formula/Entitlement Program,Van Cortlandt/Pelham Bay Parks Special Administrator's Office,$462000.00,,
2012,C-DYCD-0174,HUD Formula/Entitlement Program,Met Council Food Pantry Program,$375000.00,,
2012,H-HPD-0000,HUD Formula/Entitlement Program,HOME INVESTMENT PARTNERSHIPS,,$60338441.00,
2012,H-HPD-0001,HUD Formula/Entitlement Program,HPD Administration,$6033844.00,,
2012,H-HPD-0002,HUD Formula/Entitlement Program,Neighborhood Entrepreneurs Program,$210321.00,,
2012,H-HPD-0003,HUD Formula/Entitlement Program,Neighborhood Redevelopment Program,$1772573.00,,
2012,H-HPD-0004,HUD Formula/Entitlement Program,Participation Loan Program (Gut/Mod),$2771284.00,,
2012,H-HPD-0006,HUD Formula/Entitlement Program,The Supportive Housing Program,$22020741.00,,
2012,H-HPD-0010,HUD Formula/Entitlement Program,Third Party Transfer,$3760521.00,,
2012,H-HPD-0011,HUD Formula/Entitlement Program,Multifamily Homeownership (formerly Cornerstone Program),$114635.00,,
2012,H-HPD-0012,HUD Formula/Entitlement Program,Article 8A Loan Program,$2735441.00,,
2012,H-HPD-0028,HUD Formula/Entitlement Program,HUD MultiFamily Program,$2239796.00,,
2012,H-HPD-0029,HUD Formula/Entitlement Program,Multifamily Rental Mixed Income,$1426301.00,,
2012,H-HPD-0031,HUD Formula/Entitlement Program,Low Income Rental Program (formerly New MIRP),$8734179.00,,
2012,H-HPD-0033,HUD Formula/Entitlement Program,Senior Housing Program (formerly Section 202 Housing Program),$4465855.00,,
2012,H-HPD-0035,HUD Formula/Entitlement Program,HOME Tenant-Based Rental Assistance,$2031843.00,,
2012,H-HPD-0036,HUD Formula/Entitlement Program,Special Projects (formerly DAMP Special Projects),$600016.00,,
2012,H-HPD-0201,HUD Formula/Entitlement Program,HomeFirst Down Payment Assistance Program,$1421090.00,,
2012,E-DHS-0000,HUD Formula/Entitlement Program,EMERGENCY SOLUTIONS GRANT,,$14146420.00,
2012,E-DHS-0002,HUD Formula/Entitlement Program,Services to the Homeless,$7472947.00,,
2012,E-DHS-0003,HUD Formula/Entitlement Program,Shelter Operating Costs,$906151.00,,
2012,E-DHS-0004,HUD Formula/Entitlement Program,Homelessness Prevention,$3313403.00,,
2012,E-DHS-0005,HUD Formula/Entitlement Program,Rapid Re-Housing: Housing Relocation and Stabilization Services,$1962843.00,,
2012,E-DHS-0006,HUD Formula/Entitlement Program,HMIS,$430000.00,,
2012,E-DHS-0007,HUD Formula/Entitlement Program,ESG Administration,$160000.00,,
2012,P-HOPWA-0000,HUD Formula/Entitlement Program,Housing Opportunities for Persons with AIDS,,$54245344.00,
2012,P-HRA-0201,HUD Formula/Entitlement Program,HASA Case Management and Support Services-Personnel: Case Management and Support Services,$1000000.00,,
2012,P-HRA-0204,HUD Formula/Entitlement Program,HASA Housing Contracts,$32176728.00,,
2012,P-DOHMH-0206,HUD Formula/Entitlement Program,Department of Health and Mental Hygiene - Bureau of HIV/AIDS Prevention and Control,$17029914.00,,
2012,P-DOHMH-0301,HUD Formula/Entitlement Program,Grantee General Program Administration,$1552504.00,,
2012,,,i. SUBTOTAL - FORMULA PROGRAMS,$360216205.00,,
2012,,New York City Housing Authority Funds,Public Housing Capital Fund Program,,$273059437.00,
2012,,New York City Housing Authority Funds,Public Housing Capital Fund - American Recovery and Reinvestment Act,,$0.00,
2012,,New York City Housing Authority Funds,HOPE VI,,$0.00,
2012,,New York City Housing Authority Funds,Subtotal-New York City Housing Authority Funds,,$273059437.00,
2012,,HUD Competitive Funds,Homeless Continuum of Care SuperNOFA,,,
2012,,HUD Competitive Funds,Supportive Housing Program,,,
2012,,HUD Competitive Funds,Section 8 Moderate Rehabilitation SRO,,,
2012,,HUD Competitive Funds,Shelter Plus Care Program,,,
2012,,HUD Competitive Funds,Section 202 Supportive Housing for the Elderly,,,
2012,,HUD Competitive Funds,Section 811 Supportive Housing for the Disabled,,,
2012,,HUD Competitive Funds,Section 8 Vouchers,,$0.00,
2012,,HUD Competitive Funds,Housing Opportunities for Persons With AIDS (HOPWA Program)- SPNS,,,$0.00
2012,,HUD Competitive Funds,Lead Hazard Control Program,,$0.00,
2012,,HUD Competitive Funds,Lead Hazard Reduction Demonstration Grant Program,,$0.00,
2012,,HUD Competitive Funds,Subtotal-HUD Competitive funds,,,
2012,,State Funds,Affordable Homeownership Development Program,,,
2012,,State Funds,Homeless Housing and Assistance Program,,,
2012,,State Funds,Low Income Housing Tax Credit,,$14500000.00,
2012,,State Funds,Low Income Housing Trust Fund Program,,,
2012,,State Funds,RESTORE Program,,,
2012,,State Funds,Subtotal-State Funds,,$14500000.00,
2012,,City Funds,DHS CITY FUNDS,,,
2012,,City Funds,DHS City Capital in programs that receive no Federal Funds,,$19777000.00,
2012,,City Funds,DHS City Expense in programs that receive no Federal Funds,,$278938061.00,
2012,,City Funds,DHS City Expense Budget (matching ESG funds),,$14245344.00,
2012,,City Funds,HPD CITY FUNDS,,,
2012,,City Funds,HPD City Capital with Federal Funds,,$186136000.00,
2012,,City Funds,HPD City Capital in programs that receive no Federal Funds,,$264212000.00,
2012,,City Funds,HPD City Expense with Federal Funds,,$35201062.00,
2012,,City Funds,HPD City Expense in programs that receive no Federal Funds,,$40278218.00,
2012,,City Funds,HRA CITY FUNDS,,,
2012,,City Funds,HRA City Expense with no Federal Funds,,$941987685.00,
2012,,City Funds,Subtotal-City Funds,,$890842461.00,
2012,,Private Funds,vi. Private Funds,,,$60442840.00
2012,,Total Funding Sources,Total Federal Sources,,$360216205.00,$273059437.00
2012,,Total Funding Sources,Total State Sources,,$14500000.00,
2012,,Total Funding Sources,Total City Sources,,$890842461.00,
2012,,Total Funding Sources,Total Private Sources,,,$60442840.00
2012,,,viii. TOTAL ALL SOURCES,,$1316703890.00,$333502277.00
