PropID,Boro,Community Board,Council District,Garden Name,Address,Size,Jurisdiction,NeighborhoodName,Cross Streets
NA,X,X12,0,Carpenter Avenue Community Garden,in East 239th Street,NA,DOT,Wakefield,At Carpenter Avenue
M385,M,M10,9,Carrie McCracken Garden/TRUCE,143-145 St. Nicholas Avenue,0.059,DPR,,Active
NA,B,B06,30,Carroll Street Community Garden (Our Lady of Peace Church or Gil Hodges Garden),534 Carroll Street,0.069,NYRP,,
NA,M,M11,8,Carver Community Garden,236-242 East 124th Street,0.275,TPL,East Harlem,2nd & 3rd Avenues
NA,X,X01,17,Cauldwell Youth Garden,551 Cauldwell Avenue,0.119,TPL,Mott Haven,E. 149th Street & Westchester Avenue
B448,B,B03,36,Cedar Tree Garden,305 Greene Avenue,0.177,DPR,,Active
NA,B,B03,41,Central Bainbridge Block Association Inc.,277-279 Bainbridge Street,0.112,TPL,Bed-Stuy,Ralph & Patchen Avenues
NA,M,M11,9,Chenchitas Group Garden,1691-93 Madison Avenue,0.053,HPD,East Harlem,E. 111th & E. 112th Streets.
NA,M,M10,9,Childrens Aid Soc. Garden (The Sowers),21 West 118th Street,0.057,PRI,,5th & Lenox Avenues
B224A,B,B03,41,Citizens for a Better Community,127 Patchen Avenue,0.299,DPR,Bed-Stuy,Active
NA,M,M02,3,City-As-School H.S.,16 Clarkson Street,0.110,DOE,West Village,Hudson & Varick Streets.
B450,B,B05,37,Clara's Garden,573-579 Glenmore Avenue,0.043,DPR,East New York,Active
X321,X,X04,16,Claremont Neighborhood Garden,1280 Teller Avenue,0.190,DPR,,Active
NA,B,B03,36,Classon/Fulgate Block Association,474 Classon Avenue,0.115,TPL,,Madison & Monroe Streets
NA,X,X04,16,Clay Avenue Community Garden,1328-1332 Clay Avenue,0.033,NYRP,,E. 169th & E. 170th Streets
M374,M,M10,9,Clayton Williams Garden,303 W 126th Street,0.057,TPL/DPR,,Active
B526,B,B05,37,Cleveland Street Vegetable Garden,433-435 Cleveland Street,0.057,DPR,East New York,Active
NA,B,B02,35,Clifton Place Garden,289 Grand Avenue,0.086,TPL,,Clifton Pl. & Greene Avenue
B451,B,B03,36,Clifton Place Memorial Park & Garden,1031-35 Bedford Avenue,0.165,DPR,,Active
NA,X,X06,15,Clinton Avenue Block Association,757 East 179th Street,0.115,NYRP,,N/W corner of Prospect Avenue & 179th Street
M281,M,M04,3,Clinton Community Garden,436 West 48th Street,0.350,DPR,Hell's Kitchen,Active
NA,X,X04,16,College Avenue GreenThumb,1420 College Avenue,0.430,DPR,,E. 170th & E. 171st Streets
NA,M,M10,,Colonial Gardeners,304-306 West 150th St,NA,PRI,,Bradhurst Avenue & Frederick Douglass Boulevard
M335,M,M03,1,Committee of Poor Peoples of the LES Community Garden,171 Stanton Street,0.058,DPR,Lower East Side,Active
B520,B,B04,34,Concerned Citizens of Grove Street,72-74 Grove Street,0.110,DPR,Bushwick,Active
B452,B,B05,37,Concerned Residents of Barbey Street,606 Glenmore Avenue,0.057,DPR,,Active
B453,B,B05,37,Concerned Residents of Montauk Avenue,214 Montauk Avenue,0.091,DPR,East New York,Active
NA,X,X06,15,Concerned Tenants of Daly Avenue,2139 Daly Avenue,0.179,TPL,,181st Street & Bronx Parkway South
NA,B,B04,37,Contented Hart Garden,1475 Bushwick Avenue,0.057,TPL,Bushwick,Pilling & Granite Streets.
B454,B,B04,40,Cooper Street Block Buster Block Association.,41 Cooper Street,0.160,DPR,Bushwick,Active
NA,B,B04,37,Cooper Street Gardeners,34 Cooper Street,0.078,NYRP,,Bushwick Avenue & Broadway
Q474A,Q,Q04,21,Corona Taxpayers Association,52-02 102nd  Street,0.180,DPR,Corona,Active
X338,X,X01,17,Courtlandt Avenue Association,364-366 East 158th Street,0.171,DPR,Melrose,Active
M315,M,M03,2,Creative Little Garden,530 East 6th Street,0.060,DPR,East Village,Active
NA,X,X05,,Creston Jungle Playground,2242 Creston Avenue,NA,NYRP,,E 182nd & E 183rd
B455,B,B05,37,Crystal Street Block Association Community Garden,Crystal Street,0.344,DPR,East New York,Active
NA,Q,Q14,31,Culinary Kids Garde (Seagirt Community Garden),3003 Seagirt Boulevard.,0.138,HPD,Far Rockaway,B30th & B31st
NA,Q,Q12,27,"Curtis ""50 Cent"" Jackson Community Garden",11709 165th Street,0.083,NYRP,,At Foch Boulevard
NA,B,B02,33,David Foulke Community Garden,248-250 Bergen Street,0.073,TPL,Boerum Hill,Bond & Nevins Streets.
NA,X,X07,14,Davidson Avenue Community Garden,2385 Davidson Avenue,0.115,TPL,,W. 184th Street & W. Fordham Rd.
M336,M,M03,2,De Colores Community Garden,311-313 E 8th Street,0.066,DPR,East Village,Active
NA,B,B04,37,Decatur Street Community Garden,1052 Decatur Street,0.057,NYRP,,Bushwick & Evergreen Avenues
X179A,X,X02,17,Demera/Santiago Garden,941-943 Avenue St. John,0.126,DPR,,Not GreenThumb
M323,M,M11,8,Diamante Garden (Block and School Association),306-310 East 118th Street,0.186,DPR,East Harlem,Active
M337,M,M03,2,Dias y Flores,520-522 East 13th Street,0.119,DPR,East Village,Active
NA,M,M12,7,Dorothy K. McGowan Memorial Garden,513 W 158th Street,0.045,TPL,Washington Heights,Amsterdam Avenue & Broadway
M302,M,M11,,Dream Street Park,223 - 231 E. 124 St.,0.252,DPR,,
X271A,X,X04,16,Dred Scott Bird Sanctuary Garden and Park,E 169th Street,0.473,DPR,,Active
NA,X,X06,15,Drew Garden - I.S. 167,East Tremont Avenue,NA,DOT,,west of E. 177th Street & BX River
NA,Q,Q12,28,Dunton Block and Civic Association. Inc.,Remington Street,0.551,TPL,,At Shore Avenue
NA,M,M12,10,Dyckman Valley School - P.S. 152,93 Nagle Avenue,0.090,DOE,,Ellwood & Sicles Streets.
M324,M,M03,2,Earth People,333-335 East 8th Street,0.106,DPR,East Village,Active
NA,M,M03,1,Earth School - P.S.64,600 East 6th Street,0.271,DOE,East Village,At Avenue B
NA,M,M11,,East 103rd Street Community Garden,105 E 103rd Street,NA,NYRP,,Lexington & Park Avenues
NA,X,X01,8,East 143rd Street Community Garden (Bronx Community & Cultural Garden or North Church Garden),401 E 143rd Street,0.208,NYRP,,At Willis
B414,B,B06,15,East 4th St. Com. Gar.(Windsor Terrace Kensington Veterans Mem.),171 E 4th Street,0.057,DPR,Kensington,Active
NA,B,B05,37,East End Community Garden,530-2 Glenmore Avenue / 260 Van Siclen Avenue,0.161,DPR,East New York,At Van Siclen Avenue
NA,M,M11,8,East Harlem Community Garden,429-433 East 117th Street,0.142,TPL,East Harlem,1st & Pleasant Avenues
B458,B,B09,35,Eastern Parkway Coalition,"Eastern Pkwy.,W/O Franklin",0.44,DPR,Crown Heights,Active
M319B,M,M09,0,Edgecomb Avenue Garden Park Sanctuary,339-341 Edgecomb Avenue,0.112,DPR,,Active
X341,X,X03,17,Edith Community Garden (830 Elton Tnts. Assoc.),836 Elton Avenue,0.116,DPR,Melrose,Active
M316,M,M10,21,Edward P. Bowman Park,52 W 129th Street,0.046,DPR,West Harlem,Active
X313,X,X01,17,El Batey Borincano,811-815 Eagle Avenue,0.170,DPR,"
Melrose",Active
X323,X,X06,15,El Batey de Dona Provi,504 East 178th Street,0.130,DPR,,Active
NA,M,M11,8,El Cataño Garden,169 East 110th Street,0.057,NYRP,East Harlem,3rd & Lexington Avenues
X339,X,X01,17,El Flamboyan,Tinton Avenue,0.402,DPR,,Active
X277,X,X01,17,El Girasol,624-638 East 138th Street,0.085,DPR,,Active
X277,X,X01,17,El Girasol,624-638 East 138th Street,0.085,HPD,,Active
M268A,M,M03,2,El Jardin del Paraiso,706-718 East 5th Street /311-321 East 4th Street,0.730,DPR,East Village,Active
B424,B,B01,30,El Puente: Espíritu Tierra Community Garden,203-207 South 2nd Street,0.230,DPR,Williamsburg,Active
M339,M,M03,2,El Sol Brillante Jr.,537 East 12th Street,0.059,DPR,East Village,Active
M340,M,M10,9,Elizabeth Langley Memorial Garden,121-123 West 137th Street,0.110,DPR,Central Harlem,Active
B460,B,B05,42,Elton Street Block Association,585 Elton Street,0.097,DPR,East New York,Active
NA,B,B05,37,Essex Street Community Fulton Street Garden (Fulton Street Community Garden),3030 Fulton Street,0.074,NYRP,East New York,At Essex Street
B461,B,B05,0,Euclid 500 Block Association.,532 Euclid Avenue,0.181,DPR,East New York,Active
NA,B,B05,42,Euclid Pine Block Association,,0.071,TPL,East New York,Aldride & Bay Vew
B532,B,B03,,F.A.R.R. Block Association,808 Herkimer Street,0.028,DPR,,Active
B462,B,B05,42,Family Community Garden - Brooklyn,793 Cleveland Street,0.275,DPR,East New York,Active
M330,M,M11,8,Family Community Garden - Manhattan,156 East 111th Street,0.040,DPR,East Harlem,Active
NA,M,M11,8,Family Garden,431 East 114th Street,0.057,NYRP,East Harlem,1st & Pleasant Avenues
X337,X,X01,17,Family Group Garden,419 East 158th Street,0.101,DPR,Melrose,Active
B463,B,B16,41,Fantasy Garden,181 Legion Street,0.230,DPR,Brownsville,Active
X252B,X,X06,0,Farm in the Bronx,East 182nd Street,0.188,DPR,,Active
B464,B,B16,41,Farmers Garden,1897-1905 Bergen Street,0.154,DPR,,Active
M310,M,M03,2,Firemens Memorial Garden Inc.,358-364 E 8th Street,0.170,DPR,East Village,Active
B465,B,B03,36,First Quincy Street GreenThumb Garden,397-401 Quincy Street,0.130,DPR,,Active
M358,M,M03,,First Street Garden,48 East 1st Street,0.061,DPR,,Active
B466,B,B05,42,First Temple of David,494 Bradford Street,0.062,DPR,East New York,Active
M291,M,M01,1,FishBridge Pk. (South-Water-Front Neigh. Assoc.),338-340 Pearl Street,0.100,DPR,Downtown Manhattan,Active
NA,M,M10,9,Five Star Block Association,250-252 West 121st Street,0.083,TPL,Harlem,Adam Clayton Powell & Fredrick Douglas Blvds
B467,B,B05,37,Floral Vineyard,2379-2385 Pitkin Avenue,0.107,DPR,East New York,Active
X324,X,X07,15,Fordham Bedford Lot-Busters,2592-2597 Bainbridge Avenue,0.044,DPR/TPL,,Active
X324,X,X07,15,Fordham Bedford Lot-Busters,2592-2597 Bainbridge Avenue,0.044,TPL/DPR,,Active
M317,M,M09,7,Frank White Memorial Garden,506-508 West 143rd Street,0.090,DPR,Hamilton Heights,Active
X318,X,X03,16,Franklin Memorial Garden,1060-1062 Cauldwell Avenue,0.120,DPR,Morrisania,Active
NA,M,M07,0,Frederick Douglass Academy HS,2599 Adam Clayton Powell Jr Boulevard,0.197,DOE,,At W. 147th Street
NA,M,M11,9,Friendly Garden,95 East 111th Street,0.076,HPD,East Harlem,At Park Avenue
NA,M,M09,7,Friendship Garden (Lucille McClarey Garden),499 West 150th Street,0.038,NYRP,Hamilton Heights,
M377,M,M10,,Garden,Fredrick Douglas Blvd. and W. 152ns St,0.046,DPR,,
B420,B,B03,41,Garden Beautiful,Corner of Broadway & Putnam Ave.,0.194,DPR,Bed-Stuy,Active
NA,B,B03,41,Garden of Angels,978 Greene Avenue,0.057,TPL,Bed-Stuy,Patchen Avenue & Malcolm X Blvd.
X297,X,X04,14,Garden of Eden - Bronx,1686 Weeks Avenue,0.210,DPR,,Active
X293,X,X06,15,Garden of Happiness,2156-2160 Prospect Avenue,0.330,DPR,Crotona,Active
NA,B,B03,36,Garden of Hope,392 Hancock Street,0.046,NYRP,,Throop & Marcus Garvey Blvd
X298,X,X04,14,Garden of Life,1685 Weeks Avenue,0.180,DPR,,Active
M341,M,M10,9,Garden of Love,302 West 116th Street,0.087,DPR,Upper West Side,Active
B399,B,B06,38,Garden of Union (Annie's Garden),"634-36, 640 Union Street",0.203,DPR,Park Slope,Active
NA,X,X06,15,Garden Of Youth,E 182nd Street,NA,PRI,Crotona,At Prospect Avenue
M071A,M,M09,,Garden People,West 91st and Riverside Drive,NA,DPR,,Active
M329,M,M03,2,Generation X Cultural Garden,270-272 East 4th Street,0.110,DPR,East Village,Active
NA,B,B05,42,Genesis Homes Garden,298-304 Snediker Avenue,0.054,DPR,East New York,
Q488,Q,Q12,28,George Eagle Carr Community Garden,148th Street,0.121,DPR,Jamaica,Active
Q489,Q,Q12,27,George Washington Carver Botanical Garden,109-13 156th Street,0.057,DPR,,Active
NA,M,M12,10,George Washington High School,549 Audubon Avenue,NA,DOE,Washington Heights,W. 190th St & Ft. George-Amstersam Avenue
NA,B,B02,0,George Westinghouse HS - Marvin's Garden,"105 Johnson Street (Tech), Brooklyn, NY 11201",NA,DOE,Downtown Brooklyn,Jay & Johnson Street
B415,B,B05,42,Georgia Avenue Community Garden,328 New Lots Avenue,0.036,DPR,East New York,Active
B436,B,B16,42,Gethsemane Garden,144 Newport Street,0.046,DPR,Brownsville,Active
B468,B,B05,37,Glenmore Hendrix Block Assoc.,555 Glenmore Avenue,0.032,DPR,East New York,Active
NA,X,X09,,Glover Street Community Garden,"1642 Glover Street, Bronx NY 10462",NA,NYRP,,Intersection of Castle Hill & Glover Street
B469,B,B05,42,Good Shepherd's Community Group,555-557 Shepherd Avenue,0.114,DPR,East New York,Active
B428,B,B04,,Goodwin Gardens,46 - 62 Goodwin St.,0.348,DPR,,
B470,B,B04,37,Granite Street Block Association,28-32 Granite Street,0.172,DPR,Bushwick,Active
NA,X,X04,16,Grant Avenue Garden,1062 Grant Avenue,0.058,TPL,,E. 165th & E. 166th Streets
B058A,B,B01,33,Green Dome,229 North 12th Street,NA,DPR,Greenpoint,Active
B471,B,B05,37,Green Gems,947-953 Glenmore Avenue,0.494,DPR,East New York,Active
NA,B,B06,38,Green Space @ President Street,222 5th Avenue,0.045,TPL,Park Slope,At President Street
B472,B,B03,36,Greene Avenue United Neighbors Association,490 Greene Avenue,0.046,DPR,,Active
NA,B,B02,35,Greene Garden,2 South Portland Avenue,0.084,TPL,,At DeKalb Avenue
B484,B,B05,37,Gregory's Garden (P.S. 158 Memorial Garden),"444,448 Warwick Avenue",0.057,DPR,East New York,Active
NA,B,B03,,Halsey Ralph and Howard Garden,774 Halsey St.,NA,HPD,,
B473,B,B03,36,Hancock T & T Block Association,322-324 Hancock Street,0.081,DPR,,Active
B527,B,B05,,Hands & Heart (New Lots Urban Farm),New Lots Avenue,NA,DPR,East New York,Active
X118A,X,X09,18,Harding Park Beautification Project,155 Harding Park,1.160,DPR,,Active
M363,M,M11,9,Harlem Rose Garden,4-8 E 129th Street,0.136,DPR,,Active
M297,M,M10,9,Harlem Success Garden - P.S. 175/I.S. 275,116 - 122 West 134th Street,0.250,DPR,Harlem,Active
NA,M,M10,21,Harlem Village Green,52 W 129th Street,0.046,PRI,Harlem,
NA,B,B03,36,Hart Street Community Garden,169-171 Hart Street,0.092,TPL,Bed-Stuy,Tompkins & Throop
B474,B,B03,36,Hart to Hart,104-108 Hart Street,0.332,DPR,Bed-Stuy,Active
B400,B,B03,36,Hattie Carthan Community Garden,654 Lafayette Avenue/363-365 Clifton Place,0.117,DPR,Bed-Stuy,Active
NA,B,B01,34,Heckscher Foundation For Children's Garden,134-136 Scholes Street,0.057,NYRP,Williamsburg,
NA,B,B05,42,Hendrix Street Community Garden (Block Association of Hendrix Street),532 Hendrix Street,0.023,NYRP,East New York,Blake & Dumont Avenues
NA,M,M11,8,Herb Garden (111th St. Betterment Association),176 E 111th Street,0.080,NYRP,East Harlem,3rd & Lexington Avenues
B475,B,B05,37,Herbal Garden of East New York,582 - 590 Glenmore Avenue,0.230,DPR,East New York,Active
NA,M,M04,0,High School For Environmental Studies,444 W 56th Street NY NY 10019,NA,DOE,Midtown,9th & 10th Avenues
B047A,B,B05,37,Highland Park Children's Garden,Jamaica Avenue,0.410,DPR,Highland Park,Active
NA,B,B02,35,Hollenback Community Garden,460 Washington Avenue,0.158,TPL,Clinton Hill,Gates & Greene Avenue
NA,M,M11,8,Home Depot Community Garden  (St. Mark's Monastery 1),415-421 East 117th Street,0.163,NYRP,East Harlem,1st Avenue & E 117th St
M371,M,M03,1,Hope Garden,193 East 2nd Street,0.046,DPR,East Village,Active
NA,M,M09,7,Hope Steven Garden,1656 Amsterdam Avenue,0.062,TPL,Hamilton Heights,142nd St & Hamilton Pl & Amsterdam Avenue
X346,X,X06,15,Hornaday Community Garden (Volky Flower Garden),851 Hornaday Avenue,0.115,DPR,,Active
B528,B,B16,41,Howard Garden,750 Howard Avenue,0.219,DPR,Brownsville,Active
B413,B,B16,37,Hull Street Community Garden Inc.,196 Hull Street,0.320,DPR,Ocean Hill / Brownsville,Active
NA,B,B16,41,Hull Street Playground,145 Hull Street,0.057,NYRP,Bed-Stuy,Hopkinson & Rockaway Avenues
M344,M,M11,8,Humacao Community Garden,335 E 108th Street,0.110,DPR,East Harlem,Active
B408,B,B06,39,Human Compass Community  Garden Inc.,207-209 Columbia Street,0.073,DPR,Red Hook,Active
NA,M,M12,10,I.S. 143 - Penny Harvest Garden,511 & 516 West 182nd Street,0.080,DOE,Washington Heights,Amsterdam Avenue & Audubon Avenue (Fort George)
NA,X,X06,15,I.S. 193X,1919 Prospect Avenue,0.677,DOE,,
NA,M,M12,7,I.S. 218 - Swindler Cove Garden,Harlem River Drive/Dyckman Street,NA,DOE,Washington Heights,
NA,B,B11,0,I.S. 227 - Shallow's School Yard Santuaries,6500 16th Avenue & 65th Street,NA,DOE,,Same
NA,B,B05,42,I.S. 311 - The Essence School,"800 Van Siclen Avenue, Brooklyn, NY 11207",NA,DOE,,Linden Blvd.
NA,B,B12,39,I.S. 62 - The Greening of Ditmas,700 Cortelyou Road,NA,DOE,Kensington,East 7th & Ditmas
NA,B,B01,33,I.S. 71,215 Heyward Street,NA,TPL/DOE,Williamsburg,Marcy Avenue & Harrision Street
NA,M,M12,0,I.S. 90 Miracle Sisters Garden,"21 Jumel Place, NY NY 10032",NA,DOE,Washington Heights,Edgecome Avenue - 167th/169th St
NA,B,B11,44,I.S. 96,99 Avenue P,NA,DOE,,
NA,B,B08,41,Imani II Garden (Schenectady Avenue Community Garden),87-91 Schenectady Avenue,0.092,HPD,Crown Heights,
X314,X,X01,17,Isla Verde Garden,625 Wales Avenue,0.160,DPR,,Active
NA,X,X03,16,J.H.S. 120,890 Cauldwell Avenue,NA,DOE,,
NA,B,B02,35,J.H.S. 265,101 Park Avenue,2.712,DOE,,N. Portland/Flushing
M364,M,M11,8,Jackie Robinson Community Garden,103 East 122nd Street,0.058,DPR/HPD,,Active
X319,X,X03,16,Jackson Forest/Morrisania Concerned Citizens,722 & 736 Home Street,0.180,DPR,Morrisania,Active
NA,X,X03,16,Jacqueline Denise Davis Garden,1022-1024 Boston Road (north of E 165th Street),0.223,TPL,,165th Street & Cauldwell Avenue
NA,X,X03,0,Jane Adams Vocational H.S. - 4 Seasons Garden,900 Tinton Avenue,NA,DOE,,163rd & E. 161st Street
NA,B,B03,36,Jane Bailey Memorial Garden,327-329 Greene Avenue,0.094,NYRP,,Franklin & Classon
X320,X,X03,15,Jardin de la Familia,1507 Washington Avenue,0.320,DPR,,Active
NA,X,X03,17,Jardin la Roca/Rock Garden,160 Elton Avenue,NA,DPR,Melrose,East 159 & East 160th
B477,B,B05,24,Jerome Gardens,447 Jerome Street,0.036,DPR,,Active
B478,B,B05,37,Jerry and the Senior Gents of E.N.Y.,349 Schenck Avenue,0.057,DPR,East New York,Active
B511,B,B16,1,Jes Good Rewards Children's Garden,155 Amboy Street,0.213,DPR,Brownsville,Active
NA,X,X08,10,JFK High School - Enchanted Garden,JFK High School 99 Terrace View Avenue,NA,DOE,Marble Hill,Tibbet Avenue/ 230th Street
NA,X,X12,15,Jim Mackey Eastchester Road Community Garden,E/S Eastchester Road & N/O E 222nd Street,0.046,NYRP,,
R146,R,R01,49,Joe Holzka Community Garden,1161 Castleton Avenue,0.429,DPR,,Active
