Medallion Number,Garage/Agent,Telephone,Cross Streets,Borough,Zip Code,Hours of Operation,Fax #,Website,Languages,Location 1,Location 2
1A23,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1A24,TAXIFLEET MANAGEMENT LLC,718-779-5000,,Queens,11377,9a-6p/ M-F,N/A,N/A,"English, Spanish","54-11 Queens Boulevard
Queens, New York 11377
(40.74238412611015, -73.91034677240702)","N/A
"
1A25,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A26,BOULEVARD TAXI LEASING INC,718-932-3312,,Queens,11103,9a-5:30a/ M-F,N/A,N/A,"English, Russian","32-56 49th Street
Queens, New York 11103
(40.7541472582534, -73.91299077917319)","N/A
"
1A27,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A28,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A29,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A30,QUEENS MEDALLION LEASING INC,718-784-9292,,Queens,11101,9a-5:30p/ M-F,,http://qmlny.tripod.com/,"English, Spanish","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)",
1A31,BOULEVARD TAXI LEASING INC,718-932-3312,,Queens,11103,9a-5:30a/ M-F,N/A,N/A,"English, Russian","32-56 49th Street
Queens, New York 11103
(40.7541472582534, -73.91299077917319)","N/A
"
1A32,QUEENS MEDALLION LEASING INC,718-784-9292,,Queens,11101,9a-5:30p/ M-F,,http://qmlny.tripod.com/,"English, Spanish","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)",
1A33,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A34,QUEENS MEDALLION LEASING INC,718-784-9292,,Queens,11101,9a-5:30p/ M-F,,http://qmlny.tripod.com/,"English, Spanish","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)",
1A35,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A36,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A37,BROOKLYN TAXI MANAGEMENT INC,718-282-3500,,Brooklyn,11218,9a-5p/ M-F,N/A,N/A,English,"904 Cortelyou Road
Brooklyn, New York 11218
(40.63890813341891, -73.96959410769733)","N/A
"
1A38,RADAS MANAGEMENT CORP - BIG APPLE BROKERAGE,718-397-0504,,Queens,11377,9a-5p/ M-F,N/A,N/A,"English, Spanish, Hindi","55-10 37th Avenue
Queens, New York 11377
(40.75075681420293, -73.90662357920576)","N/A
"
1A39,WOODSIDE MANAGEMENT INC,718-899-9369,,Queens,11377,9a-5p/ M-Sa,N/A,N/A,"English, Spanish, Urdu ","49-13 Roosevelt Avenue
Queens, New York 11377
(40.745453337107065, -73.90526052883693)","N/A
"
1A40,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A41,QUEENS MEDALLION LEASING INC,718-784-9292,,Queens,11101,9a-5:30p/ M-F,,http://qmlny.tripod.com/,"English, Spanish","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)",
1A42,JTL MANAGEMENT INC,718-392-7000,,Queens,11101,9a-5p/ M-F,N/A,N/A,English,"36-16 Skillman Avenue
Queens, New York 11101
(40.74741133625395, -73.92766771469138)","N/A
"
1A43,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1A44,RADAS MANAGEMENT CORP - BIG APPLE BROKERAGE,718-397-0504,,Queens,11377,9a-5p/ M-F,N/A,N/A,"English, Spanish, Hindi","55-10 37th Avenue
Queens, New York 11377
(40.75075681420293, -73.90662357920576)","N/A
"
1A45,RADAS MANAGEMENT CORP - BIG APPLE BROKERAGE,718-397-0504,,Queens,11377,9a-5p/ M-F,N/A,N/A,"English, Spanish, Hindi","55-10 37th Avenue
Queens, New York 11377
(40.75075681420293, -73.90662357920576)","N/A
"
1A46,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A47,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A48,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A49,QUEENS MEDALLION LEASING INC,718-784-9292,,Queens,11101,9a-5:30p/ M-F,,http://qmlny.tripod.com/,"English, Spanish","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)",
1A50,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1A51,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A52,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A53,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A54,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1A55,TAXIFLEET MANAGEMENT LLC,718-779-5000,,Queens,11377,9a-6p/ M-F,N/A,N/A,"English, Spanish","54-11 Queens Boulevard
Queens, New York 11377
(40.74238412611015, -73.91034677240702)","N/A
"
1A56,TEAM SYSTEMS CORP,718-786-0640,,Queens,11101,24/7,,http://www.teamtaxi.com/,"English, Spanish","30-17 40th Avenue
Queens, New York 11101
(40.751764054875764, -73.93416081974289)",
1A57,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A58,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A59,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A60,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A61,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A63,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A64,QUEENS MEDALLION LEASING INC,718-784-9292,,Queens,11101,9a-5:30p/ M-F,,http://qmlny.tripod.com/,"English, Spanish","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)",
1A65,WOODSIDE MANAGEMENT INC,718-899-9369,,Queens,11377,9a-5p/ M-Sa,N/A,N/A,"English, Spanish, Urdu ","49-13 Roosevelt Avenue
Queens, New York 11377
(40.745453337107065, -73.90526052883693)","N/A
"
1A66,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A67,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A68,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A69,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A70,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A71,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A72,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1A73,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1A74,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A75,UNITED MANAGEMENT GROUP INC,718-392-4600,,Queens,11232,9a-6p/ M-F,N/A,N/A,"English, Spanish","43-10 39th Street
Queens, New York 11232
(40.654640000000086, -74.00049999999999)","N/A
"
1A76,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A77,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A78,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A79,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A80,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A81,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A82,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A83,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A84,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A85,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A86,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A87,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A88,TEAM SYSTEMS CORP,718-786-0640,,Queens,11101,24/7,,http://www.teamtaxi.com/,"English, Spanish","30-17 40th Avenue
Queens, New York 11101
(40.751764054875764, -73.93416081974289)",
1A89,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A90,28TH STREET MANAGEMENT,212-244-6553,,Manhattan,10001,9a-5p/ M-F,N/A,N/A,English,"313 10th Avenue
Manhattan, New York 10001
(40.750900705727645, -74.00182580922746)","N/A
"
1A91,28TH STREET MANAGEMENT,212-244-6553,,Manhattan,10001,9a-5p/ M-F,N/A,N/A,English,"313 10th Avenue
Manhattan, New York 10001
(40.750900705727645, -74.00182580922746)","N/A
"
1A92,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A93,ARTHUR CAB LEASING CORP,718-392-3013,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish, Urdu","25-11B 41st Avenue
Queens, New York 11101
(40.745679999999936, -73.93815999999998)","N/A
"
1A94,BROOKLYN TAXI MANAGEMENT INC,718-282-3500,,Brooklyn,11218,9a-5p/ M-F,N/A,N/A,English,"904 Cortelyou Road
Brooklyn, New York 11218
(40.63890813341891, -73.96959410769733)","N/A
"
1A95,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A96,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A97,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1A98,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1A99,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B10,QUEENS MEDALLION LEASING INC,718-784-9292,,Queens,11101,9a-5:30p/ M-F,,http://qmlny.tripod.com/,"English, Spanish","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)",
1B11,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B12,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1B13,BOULEVARD TAXI LEASING INC,718-932-3312,,Queens,11103,9a-5:30a/ M-F,N/A,N/A,"English, Russian","32-56 49th Street
Queens, New York 11103
(40.7541472582534, -73.91299077917319)","N/A
"
1B14,BROOKLYN TAXI MANAGEMENT INC,718-282-3500,,Brooklyn,11218,9a-5p/ M-F,N/A,N/A,English,"904 Cortelyou Road
Brooklyn, New York 11218
(40.63890813341891, -73.96959410769733)","N/A
"
1B15,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1B16,EDDIE'S MANAGEMENT CORP,718-707-0072,,Queens,11101,9a-4p/ M-F,N/A,N/A,"English, Spanish","22-46 Jackson Avenue
Queens, New York 11101
(40.7465788529303, -73.94361320781147)","N/A
"
1B17,RADAS MANAGEMENT CORP - BIG APPLE BROKERAGE,718-397-0504,,Queens,11377,9a-5p/ M-F,N/A,N/A,"English, Spanish, Hindi","55-10 37th Avenue
Queens, New York 11377
(40.75075681420293, -73.90662357920576)","N/A
"
1B18,UNITED MANAGEMENT GROUP INC,718-392-4600,,Queens,11232,9a-6p/ M-F,N/A,N/A,"English, Spanish","43-10 39th Street
Queens, New York 11232
(40.654640000000086, -74.00049999999999)","N/A
"
1B19,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B20,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B21,STEINWAY EXPRESS MANAGEMENT CORP,718-361-1647,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish","36-06 Steinway Street
Queens, New York 11101
(40.75352537380397, -73.92351656448778)","N/A
"
1B22,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B23,WOODSIDE MANAGEMENT INC,718-899-9369,,Queens,11377,9a-5p/ M-Sa,N/A,N/A,"English, Spanish, Urdu ","49-13 Roosevelt Avenue
Queens, New York 11377
(40.745453337107065, -73.90526052883693)","N/A
"
1B24,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B25,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B26,JTL MANAGEMENT INC,718-392-7000,,Queens,11101,9a-5p/ M-F,N/A,N/A,English,"36-16 Skillman Avenue
Queens, New York 11101
(40.74741133625395, -73.92766771469138)","N/A
"
1B27,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1B28,BROOKLYN TAXI MANAGEMENT INC,718-282-3500,,Brooklyn,11218,9a-5p/ M-F,N/A,N/A,English,"904 Cortelyou Road
Brooklyn, New York 11218
(40.63890813341891, -73.96959410769733)","N/A
"
1B29,SUSAN MAINTENANCE CORP,718-222-4040,,Brooklyn,11215,24/7,N/A,N/A,"English, Spanish","374 4th Avenue
Brooklyn, New York 11215
(40.672955422270284, -73.98670654973029)","N/A
"
1B30,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B31,STEINWAY EXPRESS MANAGEMENT CORP,718-361-1647,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish","36-06 Steinway Street
Queens, New York 11101
(40.75352537380397, -73.92351656448778)","N/A
"
1B32,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B33,THE BRIDGE GROUP OF NYC INC,718-729-7777,,Queens,11101,9a-5p/ M-F,N/A,N/A,"English, Russian, Spanish","35-11 43rd Avenue
Queens, New York 11101
(40.74613429897232, -73.92899871129475)","N/A
"
1B34,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B35,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B36,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B37,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B38,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B39,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B40,RADAS MANAGEMENT CORP - BIG APPLE BROKERAGE,718-397-0504,,Queens,11377,9a-5p/ M-F,N/A,N/A,"English, Spanish, Hindi","55-10 37th Avenue
Queens, New York 11377
(40.75075681420293, -73.90662357920576)","N/A
"
1B41,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B42,TAXIFLEET MANAGEMENT LLC,718-779-5000,,Queens,11377,9a-6p/ M-F,N/A,N/A,"English, Spanish","54-11 Queens Boulevard
Queens, New York 11377
(40.74238412611015, -73.91034677240702)","N/A
"
1B43,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B44,QUEENS MEDALLION LEASING INC,718-784-9292,,Queens,11101,9a-5:30p/ M-F,,http://qmlny.tripod.com/,"English, Spanish","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)",
1B45,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B46,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B47,MC GUINNESS MANAGEMENT CORP,718-389-4486,,Brooklyn,11222,9a-5p/ M-F,N/A,N/A,English,"330 McGuinness Boulevard
Brooklyn, New York 11222
(40.733634247712956, -73.95204569947585)","N/A
"
1B48,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B49,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B50,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B51,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B52,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B53,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B54,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1B55,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1B56,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B57,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B58,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B59,STYLE MANAGEMENT CORP,212-279-3166,,Manhattan,10036,24/7,N/A,N/A,"English, Urdu","514 W 44th Street
Manhattan, New York 10036
(40.7613238480472, -73.9954496160397)","N/A
"
1B60,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B61,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B62,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B63,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B64,TAXIFLEET MANAGEMENT LLC,718-779-5000,,Queens,11377,9a-6p/ M-F,N/A,N/A,"English, Spanish","54-11 Queens Boulevard
Queens, New York 11377
(40.74238412611015, -73.91034677240702)","N/A
"
1B65,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B66,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B67,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B68,28TH STREET MANAGEMENT,212-244-6553,,Manhattan,10001,9a-5p/ M-F,N/A,N/A,English,"313 10th Avenue
Manhattan, New York 10001
(40.750900705727645, -74.00182580922746)","N/A
"
1B69,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B70,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B71,AG MEDALLION MANAGEMENT CORP,718-253-3501,,Brooklyn,11230,9a-6p/ M-F,N/A,N/A,"English, Russian, Arabic, Urdu, Gaelic (partial) ","1263 MacDonald Avenue
Brooklyn, New York 11230
(40.622224272530055, -73.97547158375336)","N/A
"
1B72,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B73,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B74,UNITED MANAGEMENT GROUP INC,718-392-4600,,Queens,11232,9a-6p/ M-F,N/A,N/A,"English, Spanish","43-10 39th Street
Queens, New York 11232
(40.654640000000086, -74.00049999999999)","N/A
"
1B75,AWESOME TAXI MANAGEMENT,212-967-5477,,Manhattan,10036,9a-8p/ M-F,N/A,N/A,"English, Spanish","520 W 44th Street
Manhattan, New York 10036
(40.761413780250166, -73.99568343976733)","N/A
"
1B76,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B77,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B78,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B79,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B80,SUSAN MAINTENANCE CORP,718-222-4040,,Brooklyn,11215,24/7,N/A,N/A,"English, Spanish","374 4th Avenue
Brooklyn, New York 11215
(40.672955422270284, -73.98670654973029)","N/A
"
1B81,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B82,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B83,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B84,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B85,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B86,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B87,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B88,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B89,MEDALLION MAINTENANCE,718-472-9000,,Queens,11101,9a-5p/ M-F,N/A,N/A,"English, Spanish","46-02 Vernon Boulevard
Queens, New York 11101
(40.74682347737684, -73.95280786094978)","N/A
"
1B90,STEINWAY EXPRESS MANAGEMENT CORP,718-361-1647,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish","36-06 Steinway Street
Queens, New York 11101
(40.75352537380397, -73.92351656448778)","N/A
"
1B91,L.I.C. TAXI MANAGEMENT,917-578-1240,,Queens,11101,9a-7p/ M-F,N/A,N/A,English,"29-15 38th Avenue
Queens, New York 11101
(40.75217850542997, -73.92904837509505)","N/A
"
1B92,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B93,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B94,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B95,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B96,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B97,AG MEDALLION MANAGEMENT CORP,718-253-3501,,Brooklyn,11230,9a-6p/ M-F,N/A,N/A,"English, Russian, Arabic, Urdu, Gaelic (partial) ","1263 MacDonald Avenue
Brooklyn, New York 11230
(40.622224272530055, -73.97547158375336)","N/A
"
1B98,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1B99,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1C10,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1C11,TEAM SYSTEMS CORP,718-786-0640,,Queens,11101,24/7,,http://www.teamtaxi.com/,"English, Spanish","30-17 40th Avenue
Queens, New York 11101
(40.751764054875764, -73.93416081974289)",
1C12,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1C13,CITY TRANSPORT MANAGEMENT INC,718-507-4840,,Queens,11377,24/7,N/A,N/A,"English, Russian (partial)","54-18 Broadway
Queens, New York 11377
(40.75314001758056, -73.90659659954486)","N/A
"
1C14,QUEENS MEDALLION LEASING INC,718-784-9292,,Queens,11101,9a-5:30p/ M-F,,http://qmlny.tripod.com/,"English, Spanish","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)",
1C15,28TH STREET MANAGEMENT,212-244-6553,,Manhattan,10001,9a-5p/ M-F,N/A,N/A,English,"313 10th Avenue
Manhattan, New York 10001
(40.750900705727645, -74.00182580922746)","N/A
"
1C16,MC GUINNESS MANAGEMENT CORP,718-389-4486,,Brooklyn,11222,9a-5p/ M-F,N/A,N/A,English,"330 McGuinness Boulevard
Brooklyn, New York 11222
(40.733634247712956, -73.95204569947585)","N/A
"
1C17,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
