BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Address,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
3-01066-0063,"915 PRESIDENT STREET
Brooklyn, NY
(40.672606618631264, -73.97267475168681)",PARK SLOPE,C6-WALK-UP,12,1920,7500,165075,22.01,63600,8.48,101475,743000,99.07,3-01066-0011,"882 UNION STREET
Brooklyn, NY
(40.6733211965072, -73.97261787240969)",PARK SLOPE,C1-WALK-UP,16,1910,13480,296752,22.01,114243,8.48,182509,1337000,99.18,0,3-01068-0054,"847 CARROLL STREET
Brooklyn, NY
(40.67163478786348, -73.97224657358066)",PARK SLOPE,C1-WALK-UP,10,1920,5374,105008,19.54, , ,105008,1181000,219.76,0.05,3-01063-0007,"77 7 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",PARK SLOPE,C7-WALK-UP,13,1920,"13,760","230,736",16.77,"83,932",6.10,"146,804","1,062,000",77.18,0.15
3-01067-0039,"100 8 AVENUE
Brooklyn, NY
(40.67279436084763, -73.97345766969264)",PARK SLOPE,D4-ELEVATOR,35,1920,26880,576845,21.46,149453,5.56,427392,3134000,116.59,3-01067-0007,"820 PRESIDENT STREET
Brooklyn, NY
(40.673754294166976, -73.97575905389672)",PARK SLOPE,D7-ELEVATOR,20,1920,16470,630360,38.27,200356,12.16,430004,3254000,197.57,0,3-01079-0040,"70 PROSPECT PARK
Brooklyn, NY
(40.700642038028796, -73.98786881209446)",PARK SLOPE,D1-ELEVATOR,30,1920,36636,603351,16.47,261998,7.15,341353,2471000,67.45,0.27,3-01081-0043,"78 PROSPECT PARK
Brooklyn, NY
(40.700610222718524, -73.98729013640768)",PARK SLOPE,D1-ELEVATOR,41,1920,"41,113","903,286",21.97,"317,950",7.73,"585,336","4,287,000",104.27,0.32
3-01067-0045,"118 8 AVENUE
Brooklyn, NY
(40.672302585335494, -73.97380233696651)",PARK SLOPE,D4-ELEVATOR,55,1936,72160,1734726,24.04,627070,8.69,1107656,8063000,111.74,3-01169-0019,"214 STERLING PLACE
Brooklyn, NY
(40.676145109918735, -73.97086093637708)",PROSPECT HEIGHTS,D1-ELEVATOR,35,1936,31000,451795,14.57,236190,7.62,215605,1375000,44.35,0.3,3-00958-0007,"586 PRESIDENT STREET
Brooklyn, NY
(40.67664931303105, -73.98321508300661)",PARK SLOPE,D1-ELEVATOR,25,2002,30000,1005191,33.51,292648,9.75,712543,5292000,176.4,0.44,,, , , , , , , , , , , , , 
3-01068-0003,"115 8 AVENUE
Brooklyn, NY
(40.67233564651661, -73.97369651330085)",PARK SLOPE,C6-WALK-UP,12,1920,5780,127622,22.08,56991,9.86,70631,517000,89.45,3-01064-0001,"71 8 AVENUE
Brooklyn, NY
(40.67348472100611, -73.97290346769046)",PARK SLOPE,C7-WALK-UP,12,1920,7314,204845,28.01,65427,8.95,139418,1004000,137.27,0.1,3-01070-0012,"786 CARROLL STREET
Brooklyn, NY
(40.6728238307815, -73.97546750576038)",PARK SLOPE,C1-WALK-UP,9,1920,4620,102000,22.08,45549,9.86,56451,1148000,248.48,0.16,3-01063-0001,"89 7 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",PARK SLOPE,C7-WALK-UP,14,1920,"10,240","159,845",15.61,"70,812",6.92,"89,033","610,000",59.57,0.18
3-01068-0037,"9 PROSPECT PARK
Brooklyn, NY
(40.700781920764115, -73.9903610721335)",PARK SLOPE,D4-ELEVATOR,43,1929,120000,1933200,16.11,966000,8.05,967200,6591000,54.93,3-01078-0016,"530 2 STREET
Brooklyn, NY
(40.67071105100208, -73.97728271045371)",PARK SLOPE,D1-ELEVATOR,47,1920,39261,653750,16.65,364847,9.29,288903,2091000,53.26,0.28,3-01169-0019,"214 STERLING PLACE
Brooklyn, NY
(40.676145109918735, -73.97086093637708)",PROSPECT HEIGHTS,D1-ELEVATOR,35,1936,31000,451795,14.57,236190,7.62,215605,1375000,44.35,0.28,,, , , , , , , , , , , , , 
3-01071-0002,"19 FISKE PLACE
Brooklyn, NY
(40.6723366119496, -73.97480343541125)",PARK SLOPE,C6-WALK-UP,20,1920,16350,359864,22.01,138648,8.48,221216,1620000,99.08,3-01077-0001,"215 8 AVENUE
Brooklyn, NY
(40.66998348891286, -73.97563711367047)",PARK SLOPE,C1-WALK-UP,16,1920,11250,272266,24.2,107440,9.55,164826,1199000,106.58,0.15,3-01066-0011,"882 UNION STREET
Brooklyn, NY
(40.6733211965072, -73.97261787240969)",PARK SLOPE,C1-WALK-UP,16,1910,13480,296752,22.01,114243,8.48,182509,1337000,99.18,0.15,3-01063-0007,"77 7 AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",PARK SLOPE,C7-WALK-UP,13,1920,"13,760","230,736",16.77,"83,932",6.10,"146,804","1,062,000",77.18,0.17
3-01071-0004,"140 8 AVENUE
Brooklyn, NY
(40.67176614599048, -73.9742084097783)",PARK SLOPE,D4-ELEVATOR,94,1936,97768,2183159,22.33,794854,8.13,1388305,10153000,103.85,3-01179-0023,"326 LINCOLN PLACE
Brooklyn, NY
(40.67329799768481, -73.96540034620045)",PROSPECT HEIGHTS,D1-ELEVATOR,35,1925,36276,404578,11.15,235768,6.5,168810,947000,26.11,0.51,3-00958-0007,"586 PRESIDENT STREET
Brooklyn, NY
(40.67664931303105, -73.98321508300661)",PARK SLOPE,D1-ELEVATOR,25,2002,30000,1005191,33.51,292648,9.75,712543,5292000,176.4,0.49,,, , , , , , , , , , , , , 
3-01071-0034,"259 GARFIELD PLACE
Brooklyn, NY
(40.67140844393991, -73.97510777875755)",PARK SLOPE,C6-WALK-UP,17,1904,24312,581057,23.9,233638,9.61,347419,2530000,104.06,3-01066-0011,"882 UNION STREET
Brooklyn, NY
(40.6733211965072, -73.97261787240969)",PARK SLOPE,C1-WALK-UP,16,1910,13480,296752,22.01,114243,8.48,182509,1337000,99.18,0.15,3-01066-0014,"888 UNION STREET
Brooklyn, NY
(40.67325115217392, -73.97243430795005)",PARK SLOPE,C1-WALK-UP,16,1920,12612,325176,25.78,135383,10.73,189793,1375000,109.02,0.15,,, , , , , , , , , , , , , 
3-01072-0040,"27 PROSPECT PARK
Brooklyn, NY
(40.70075530214514, -73.98973201311179)",PARK SLOPE,D4-ELEVATOR,33,1928,57824,962770,16.65,419224,7.25,543546,3933000,68.02,3-01079-0001,"575 3 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",PARK SLOPE,D1-ELEVATOR,36,1920,32388,371490,11.47,209550,6.47,161940,949000,29.3,0.19,3-01078-0016,"530 2 STREET
Brooklyn, NY
(40.67071105100208, -73.97728271045371)",PARK SLOPE,D1-ELEVATOR,47,1920,39261,653750,16.65,364847,9.29,288903,2091000,53.26,0.24,3-01081-0043,"78 PROSPECT PARK
Brooklyn, NY
(40.700610222718524, -73.98729013640768)",PARK SLOPE,D1-ELEVATOR,41,1920,"41,113","903,286",21.97,"317,950",7.73,"585,336","4,287,000",104.27,0.24
3-01073-0005,"133 8 AVENUE
Brooklyn, NY
(40.67187483133988, -73.97404079014538)",PARK SLOPE,C6-WALK-UP,40,1910,35424,640466,18.08,278078,7.85,362388,2609000,73.65,3-01075-0001,"189 8 AVENUE
Brooklyn, NY
(40.670669314299225, -73.97508003805298)",PARK SLOPE,C1-WALK-UP,12,1920,19540,276216,14.14,140923,7.21,135293,917000,46.93,0.05,3-01066-0011,"882 UNION STREET
Brooklyn, NY
(40.6733211965072, -73.97261787240969)",PARK SLOPE,C1-WALK-UP,16,1910,13480,296752,22.01,114243,8.48,182509,1337000,99.18,0.14,,, , , , , , , , , , , , , 
3-01073-0041,"35 PROSPECT PARK
Brooklyn, NY
(40.70074992902721, -73.98946884147311)",PARK SLOPE,D4-ELEVATOR,76,1929,191654,2991719,15.61,1418240,7.4,1573479,10772000,56.21,3-01078-0016,"530 2 STREET
Brooklyn, NY
(40.67071105100208, -73.97728271045371)",PARK SLOPE,D1-ELEVATOR,47,1920,39261,653750,16.65,364847,9.29,288903,2091000,53.26,0.21,3-01179-0037,"364 LINCOLN PLACE
Brooklyn, NY
(40.673068223433965, -73.9643117070314)",PROSPECT HEIGHTS,D1-ELEVATOR,54,1927,51288,746640,14.56,399071,7.78,347569,2402000,46.83,0.45,,, , , , , , , , , , , , , 
3-01075-0035,"40 PROSPECT PARK
Brooklyn, NY
(40.700692137802726, -73.98931539940077)",PARK SLOPE,D4-ELEVATOR,62,1942,67134,1170146,17.43,559226,8.33,610920,4409000,65.67,3-01078-0016,"530 2 STREET
Brooklyn, NY
(40.67071105100208, -73.97728271045371)",PARK SLOPE,D1-ELEVATOR,47,1920,39261,653750,16.65,364847,9.29,288903,2091000,53.26,0.18,3-01179-0116,"171 EASTERN PARKWAY
Brooklyn, NY
(40.67206931435511, -73.96359144585787)",PROSPECT HEIGHTS,D1-ELEVATOR,23,1929,12266,223227,18.2,118271,9.64,104956,755000,61.55,0.49,,, , , , , , , , , , , , , 
3-01075-0039,"44 PROSPECT PARK
Brooklyn, NY
(40.700686495961314, -73.98916152231705)",PARK SLOPE,D4-ELEVATOR,55,1940,60744,1095822,18.04,522398,8.6,573424,4132000,68.02,3-01078-0016,"530 2 STREET
Brooklyn, NY
(40.67071105100208, -73.97728271045371)",PARK SLOPE,D1-ELEVATOR,47,1920,39261,653750,16.65,364847,9.29,288903,2091000,53.26,0.18,3-01179-0083,"73 EASTERN PARKWAY
Brooklyn, NY
(40.672841371070774, -73.96626708764424)",PROSPECT HEIGHTS,D7-ELEVATOR,23,1926,13021,252911,19.42,132706,10.19,120205,862000,66.2,0.49,,, , , , , , , , , , , , , 
3-01077-0007,"199 8 AVENUE
Brooklyn, NY
(40.67043660332412, -73.9752719169808)",PARK SLOPE,C6-WALK-UP,16,1920,11272,259481,23.02,108775,9.65,150706,1100000,97.59,3-01077-0001,"215 8 AVENUE
Brooklyn, NY
(40.66998348891286, -73.97563711367047)",PARK SLOPE,C1-WALK-UP,16,1920,11250,272266,24.2,107440,9.55,164826,1199000,106.58,0,3-01093-0001,"911 8 AVENUE
Brooklyn, NY
(40.66565568203891, -73.97926541655079)",PARK SLOPE,C1-WALK-UP,16,1920,12160,279048,22.95,107179,8.81,171869,1255000,103.21,0.4,,, , , , , , , , , , , , , 
3-01080-0041,"314 8 AVENUE
Brooklyn, NY
(40.6692928509633, -73.97630839181552)",PARK SLOPE,C6-WALK-UP,11,1920,11728,224239,19.12,114113,9.73,110126,790000,67.36,3-00949-0044,"168 5 AVENUE
Brooklyn, NY
(40.67767166742828, -73.97964857924282)",PARK SLOPE,C7-WALK-UP,16,1920,11634,391617,33.66,119040,10.23,272577,2024000,173.97,0.6,3-00964-0008,"265 4 AVENUE
Brooklyn, NY
(40.67564073723574, -73.98416446681424)",PARK SLOPE,C7-WALK-UP,14,1930,13007,279901,21.52,96838,7.45,183063,1276000,98.1,0.47,,, , , , , , , , , , , , , 
3-01081-0005,"305 8 AVENUE
Brooklyn, NY
(40.66932129246533, -73.97619903978139)",PARK SLOPE,C6-WALK-UP,32,1914,32064,613064,19.12,311983,9.73,301081,2160000,67.37,3-01081-0001,"525 4 STREET
Brooklyn, NY
(40.66876318001628, -73.97660806127205)",PARK SLOPE,C1-WALK-UP,14,1920,11524,295438,25.64,139443,12.1,155995,1131000,98.14,0,3-01085-0037,"94 PROSPECT PARK
Brooklyn, NY
(40.700601192899484, -73.98667016459306)",PARK SLOPE,C1-WALK-UP,30,1920,21195,405315,19.12,206226,9.73,199089,1428000,67.37,0.1,3-01085-0068,"573 6 STREET
Brooklyn, NY
(40.66733588341594, -73.97717918569563)",PARK SLOPE,C1-WALK-UP,16,1920,"12,664","129,484",10.22,"74,190",5.86,"55,294","305,000",24.08,0.10
3-01081-0038,"75 PROSPECT PARK
Brooklyn, NY
(40.70068284398873, -73.98762621668624)",PARK SLOPE,D4-ELEVATOR,24,1920,35826,596503,16.65,251140,7.01,345363,2499000,69.75,3-01081-0043,"78 PROSPECT PARK
Brooklyn, NY
(40.700610222718524, -73.98729013640768)",PARK SLOPE,D1-ELEVATOR,41,1920,41113,903286,21.97,317950,7.73,585336,4287000,104.27,0,3-01079-0040,"70 PROSPECT PARK
Brooklyn, NY
(40.700642038028796, -73.98786881209446)",PARK SLOPE,D1-ELEVATOR,30,1920,36636,603351,16.47,261998,7.15,341353,2471000,67.45,0.05,3-01078-0016,"530 2 STREET
Brooklyn, NY
(40.67071105100208, -73.97728271045371)",PARK SLOPE,D1-ELEVATOR,47,1920,"39,261","653,750",16.65,"364,847",9.29,"288,903","2,091,000",53.26,0.16
3-01083-0005,"411 8 AVENUE
Brooklyn, NY
(40.6686840694881, -73.97673164433665)",PARK SLOPE,D4-ELEVATOR,31,1922,49188,810126,16.47,472697,9.61,337429,2443000,49.67,3-01079-0040,"70 PROSPECT PARK
Brooklyn, NY
(40.700642038028796, -73.98786881209446)",PARK SLOPE,D1-ELEVATOR,30,1920,36636,603351,16.47,261998,7.15,341353,2471000,67.45,0.1,3-01079-0001,"575 3 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",PARK SLOPE,D1-ELEVATOR,36,1920,32388,371490,11.47,209550,6.47,161940,949000,29.3,0.1,3-01078-0016,"530 2 STREET
Brooklyn, NY
(40.67071105100208, -73.97728271045371)",PARK SLOPE,D1-ELEVATOR,47,1920,"39,261","653,750",16.65,"364,847",9.29,"288,903","2,091,000",53.26,0.18
3-01083-0038,"86 PROSPECT PARK
Brooklyn, NY
(40.700601192899484, -73.98674624723675)",PARK SLOPE,C6-WALK-UP,25,1909,29628,566487,19.12,288280,9.73,278207,1996000,67.37,3-01085-0037,"94 PROSPECT PARK
Brooklyn, NY
(40.700601192899484, -73.98667016459306)",PARK SLOPE,C1-WALK-UP,30,1920,21195,405315,19.12,206226,9.73,199089,1428000,67.37,0.05,3-01085-0068,"573 6 STREET
Brooklyn, NY
(40.66733588341594, -73.97717918569563)",PARK SLOPE,C1-WALK-UP,16,1920,12664,129484,10.22,74190,5.86,55294,305000,24.08,0.05,3-01081-0001,"525 4 STREET
Brooklyn, NY
(40.66876318001628, -73.97660806127205)",PARK SLOPE,C1-WALK-UP,14,1920,"11,524","295,438",25.64,"139,443",12.10,"155,995","1,131,000",98.14,0.05
3-01083-0045,"92 PROSPECT PARK
Brooklyn, NY
(40.700601192899484, -73.98668918525398)",PARK SLOPE,C6-WALK-UP,16,1920,14368,274716,19.12,139801,9.73,134915,968000,67.37,3-01081-0001,"525 4 STREET
Brooklyn, NY
(40.66876318001628, -73.97660806127205)",PARK SLOPE,C1-WALK-UP,14,1920,11524,295438,25.64,139443,12.1,155995,1131000,98.14,0.05,3-01085-0037,"94 PROSPECT PARK
Brooklyn, NY
(40.700601192899484, -73.98667016459306)",PARK SLOPE,C1-WALK-UP,30,1920,21195,405315,19.12,206226,9.73,199089,1428000,67.37,0.05,3-01082-0037,"404 8 AVENUE
Brooklyn, NY
(40.66874810050322, -73.9767637053571)",PARK SLOPE,C1-WALK-UP,17,1920,"14,088","228,613",16.23,"100,190",7.11,"128,423","829,000",58.84,0.15
3-01089-0040,"123 PROSPECT PARK
Brooklyn, NY
(40.70064040852419, -73.98588624375533)",PARK SLOPE,D4-ELEVATOR,38,1920,43716,796506,18.22,393881,9.01,402625,2898000,66.29,3-01079-0040,"70 PROSPECT PARK
Brooklyn, NY
(40.700642038028796, -73.98786881209446)",PARK SLOPE,D1-ELEVATOR,30,1920,36636,603351,16.47,261998,7.15,341353,2471000,67.45,0.25,3-01065-0027,"862 UNION STREET
Brooklyn, NY
(40.6736116719343, -73.97336723034456)",PARK SLOPE,D1-ELEVATOR,49,1920,35310,704826,19.96,327122,9.26,377704,2702000,76.52,0.54,,, , , , , , , , , , , , , 
3-01091-0035,"133 PROSPECT PARK
Brooklyn, NY
(40.70062722868624, -73.98541905989447)",PARK SLOPE,D4-ELEVATOR,43,1904,41925,690505,16.47,402899,9.61,287606,2082000,49.66,3-01081-0043,"78 PROSPECT PARK
Brooklyn, NY
(40.700610222718524, -73.98729013640768)",PARK SLOPE,D1-ELEVATOR,41,1920,41113,903286,21.97,317950,7.73,585336,4287000,104.27,0.24,3-01079-0040,"70 PROSPECT PARK
Brooklyn, NY
(40.700642038028796, -73.98786881209446)",PARK SLOPE,D1-ELEVATOR,30,1920,36636,603351,16.47,261998,7.15,341353,2471000,67.45,0.29,3-01079-0001,"575 3 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",PARK SLOPE,D1-ELEVATOR,36,1920,"32,388","371,490",11.47,"209,550",6.47,"161,940","949,000",29.30,0.29
3-01096-0043,"461 12 STREET
Brooklyn, NY
(40.66408559009702, -73.98093176442705)",PARK SLOPE,C6-WALK-UP,12,1940,14642,283908,19.39,142613,9.74,141295,1013000,69.18,3-01096-0035,"558 11 STREET
Brooklyn, NY
(40.664701106500836, -73.98059607139906)",PARK SLOPE,C1-WALK-UP,24,1920,13280,257514,19.39,129377,9.74,128137,863000,64.98,0,3-01093-0001,"911 8 AVENUE
Brooklyn, NY
(40.66565568203891, -73.97926541655079)",PARK SLOPE,C1-WALK-UP,16,1920,12160,279048,22.95,107179,8.81,171869,1255000,103.21,0.17,,, , , , , , , , , , , , , 
3-01096-0050,"445 12 STREET
Brooklyn, NY
(40.664381560616164, -73.98154292433021)",PARK SLOPE,D4-ELEVATOR,36,1960,42500,699975,16.47,408425,9.61,291550,2111000,49.67,3-01078-0016,"530 2 STREET
Brooklyn, NY
(40.67071105100208, -73.97728271045371)",PARK SLOPE,D1-ELEVATOR,47,1920,39261,653750,16.65,364847,9.29,288903,2091000,53.26,0.44,3-01079-0040,"70 PROSPECT PARK
Brooklyn, NY
(40.700642038028796, -73.98786881209446)",PARK SLOPE,D1-ELEVATOR,30,1920,36636,603351,16.47,261998,7.15,341353,2471000,67.45,0.47,3-01107-0027,"70 PROSPECT PARK
Brooklyn, NY
(40.700642038028796, -73.98786881209446)",WINDSOR TERRACE,D1-ELEVATOR,48,1935,"49,428","676,601",13.69,"302,841",6.13,"373,760","2,211,000",44.73,0.48
3-01098-0001,"420 12 STREET
Brooklyn, NY
(40.6647703238803, -73.98247928083916)",PARK SLOPE,C6-WALK-UP,70,1970,109380,2376827,21.73,1093341,10,1283486,9406000,85.99,3-01924-0036,"226 TAAFFE PLACE
Brooklyn, NY
(40.69210057949405, -73.95981425899281)",BEDFORD STUYVESANT,C1-WALK-UP,110,1935,130000,2824628,21.73,999510,7.69,1825118,13375000,102.88,2.2,3-03615-0001,"165 LOTT AVENUE
Brooklyn, NY
(40.65800134671435, -73.90759640493656)",BROWNSVILLE,C1-WALK-UP,104,1986,101127,1456383,14.4,786055,7.77,670328,4640000,45.88,3.94,3-00305-0001,"419 HICKS STREET
Brooklyn, NY
(40.68840697826009, -73.99907000211061)",COBBLE HILL,C1-WALK-UP,114,1870,"90,288","2,680,530",29.69,"1,709,296",18.93,"971,234","7,280,000",80.63,1.85
3-01101-0046,"186 PROSPECT PARK
Brooklyn, NY
(40.700549808735545, -73.98494678813849)",PARK SLOPE,C6-WALK-UP,15,1920,10904,210774,19.33,86033,7.89,124741,895000,82.08,3-01101-0043,"184 PROSPECT PARK
Brooklyn, NY
(40.70055064966158, -73.98496444758517)",PARK SLOPE,C1-WALK-UP,16,1921,8960,192461,21.48,88525,9.88,103936,715000,79.8,0,3-01103-0071,"417 15 STREET
Brooklyn, NY
(40.66204847368022, -73.98197542722686)",PARK SLOPE,C1-WALK-UP,16,1920,12536,215424,17.18,94353,7.53,121071,865000,69,0.05,,, , , , , , , , , , , , , 
3-01103-0048,"195 PROSPECT PARK
Brooklyn, NY
(40.70060512091006, -73.98489393717374)",PARK SLOPE,C6-WALK-UP,21,1920,17000,303960,17.88,67830,3.99,236130,1702000,100.12,3-01103-0054,"459 15 STREET
Brooklyn, NY
(40.661614520811874, -73.98106807122936)",PARK SLOPE,C1-WALK-UP,20,1920,13528,241944,17.88,54017,3.99,187927,1355000,100.16,0,3-01103-0071,"417 15 STREET
Brooklyn, NY
(40.66204847368022, -73.98197542722686)",PARK SLOPE,C1-WALK-UP,16,1920,12536,215424,17.18,94353,7.53,121071,865000,69,0,3-01103-0001,"1419 8 AVENUE
Brooklyn, NY
(40.6626031960338, -73.98179048891689)",PARK SLOPE,C7-WALK-UP,17,1921,"12,068","257,735",21.36,"69,150",5.73,"188,585","1,383,000",114.60,0.00
3-01103-0066,"427 15 STREET
Brooklyn, NY
(40.661945151575466, -73.98175939009873)",PARK SLOPE,C6-WALK-UP,16,1900,12556,215712,17.18,94547,7.53,121165,876000,69.77,3-01103-0071,"417 15 STREET
Brooklyn, NY
(40.66204847368022, -73.98197542722686)",PARK SLOPE,C1-WALK-UP,16,1920,12536,215424,17.18,94353,7.53,121071,865000,69,0,3-01103-0054,"459 15 STREET
Brooklyn, NY
(40.661614520811874, -73.98106807122936)",PARK SLOPE,C1-WALK-UP,20,1920,13528,241944,17.88,54017,3.99,187927,1355000,100.16,0,3-01105-0041,"210 PROSPECT PARK
Brooklyn, NY
(40.66504477302526, -73.9920709005103)",PARK SLOPE SOUTH,C7-WALK-UP,15,1905,"10,641","162,439",15.27,"84,743",7.96,"77,696","534,000",50.18,0.06
3-01106-0021,"16 PROSPECT PARK
Brooklyn, NY
(40.70071351690789, -73.98988607846596)",WINDSOR TERRACE,C6-WALK-UP,16,1920,12393,253437,20.45,101870,8.22,151567,1082000,87.31,3-01107-0005,"38 PROSPECT PARK
Brooklyn, NY
(40.700693630839275, -73.98939303730127)",WINDSOR TERRACE,C1-WALK-UP,20,1920,15200,310764,20.45,125003,8.22,185761,1326000,87.24,0.14,3-01105-0063,"419 16 STREET
Brooklyn, NY
(40.66124665756699, -73.98205648188998)",PARK SLOPE SOUTH,C1-WALK-UP,16,1920,11844,295635,24.96,80062,6.76,215573,1566000,132.22,0.15,3-01105-0036,"196 PROSPECT PARK
Brooklyn, NY
(40.70056399743034, -73.98484294738076)",PARK SLOPE SOUTH,C1-WALK-UP,8,1920,"11,000","195,925",17.81,"39,922",3.63,"156,003","678,000",61.64,0.15
3-01107-0009,"41 PROSPECT PARK
Brooklyn, NY
(40.700744744271645, -73.98923471808627)",WINDSOR TERRACE,C6-WALK-UP,20,1920,17324,284114,16.4,126812,7.32,157302,1139000,65.75,3-01107-0005,"38 PROSPECT PARK
Brooklyn, NY
(40.700693630839275, -73.98939303730127)",WINDSOR TERRACE,C1-WALK-UP,20,1920,15200,310764,20.45,125003,8.22,185761,1326000,87.24,0,3-01113-0079,"437 PROSPECT AVENUE
Brooklyn, NY
(40.65994880236813, -73.98353782164737)",PARK SLOPE SOUTH,C1-WALK-UP,16,1920,17000,278782,16.4,124379,7.32,154403,1118000,65.76,0.31,3-01103-0009,"442 14 STREET
Brooklyn, NY
(40.66266605059293, -73.98163046559311)",PARK SLOPE,C1-WALK-UP,16,1920,"12,816","147,407",11.50,"81,817",6.38,"65,590","412,000",32.15,0.30
3-01152-0060,"307 PROSPECT PLACE
Brooklyn, NY
(40.677165039050976, -73.96635535237655)",PROSPECT HEIGHTS,C6-WALK-UP,16,1931,7192,159950,22.24,91051,12.66,68899,504000,70.08,3-01165-0054,"166 UNDERHILL AVENUE
Brooklyn, NY
(40.67555488077263, -73.96654933553755)",PROSPECT HEIGHTS,C1-WALK-UP,16,1901,8496,188916,22.24,107529,12.66,81387,503000,59.2,0.13,3-01158-0021,"180 PROSPECT PLACE
Brooklyn, NY
(40.67804101369567, -73.97084331758587)",PROSPECT HEIGHTS,C1-WALK-UP,16,1931,15480,278483,17.99,128173,8.28,150310,1083000,69.96,0.18,3-01131-0003,"41 UNDERHILL AVENUE
Brooklyn, NY
(40.67968094347917, -73.96499211713518)",PROSPECT HEIGHTS,C1-WALK-UP,12,1931,"7,237","172,848",23.88,"70,510",9.74,"102,338","740,000",102.25,0.20
3-01152-0071,"285 PROSPECT PLACE
Brooklyn, NY
(40.67730452387644, -73.96703375584583)",PROSPECT HEIGHTS,C6-WALK-UP,23,1931,19564,452320,23.12,168250,8.6,284070,2074000,106.01,3-01160-0032,"382 PROSPECT PLACE
Brooklyn, NY
(40.6766191763097, -73.96397941142769)",PROSPECT HEIGHTS,C1-WALK-UP,24,1931,17116,395799,23.12,147144,8.6,248655,1815000,106.04,0.16,3-01152-0092,"239 PROSPECT PLACE
Brooklyn, NY
(40.677596174014404, -73.96845223606233)",PROSPECT HEIGHTS,C1-WALK-UP,12,1931,8580,204237,23.8,82879,9.66,121358,884000,103.03,0,,, , , , , , , , , , , , , 
