BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Address,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
3-00068-0107,"165 SANDS STREET
Brooklyn, NY
(40.69983939818524, -73.98444118899604)",DOWNTOWN-METROTECH,D4-ELEVATOR,120,1902,121580,2044975,16.82,8320000,68,3-00051-0001,"65 WASHINGTON STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,D5-ELEVATOR,104,1914,123700,2126783,17.19,8650000,70,0.3,3-01798-0040,"550 GREENE AVENUE
Brooklyn, NY
(40.688662422549285, -73.94865379650403)",BEDFORD STUYVESANT,D1-ELEVATOR,151,1984,128000,2104487,16.44,5940000,46.4,2
3-00086-0011,"175 ADAMS STREET
Brooklyn, NY
(40.698440568502264, -73.98840268842595)",DOWNTOWN-METROTECH,D4-ELEVATOR,1026,1950,883265,14132240,16,57500000,65,3-01691-0012,"88 CHAUNCEY STREET
Brooklyn, NY
(40.6802379161153, -73.93071729179121)",BEDFORD STUYVESANT,D1-ELEVATOR,287,1974,277200,5004529,18.05,14100000,51,3.3,3-06979-0200,"3601 NEPTUNE AVENUE
Brooklyn, NY
(40.577031413494616, -74.00222232817039)",CONEY ISLAND,D6-ELEVATOR,339,1975,334000,5139441,15.39,14500000,43.4,8.3
3-00173-0039,"457 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,C6-WALK-UP,16,1905,9784,180515,18.45,734000,75,3-00146-0036,"406 ALBEE SQUARE
Brooklyn, NY
(40.69103473400113, -73.9835005854088)",DOWNTOWN-FULTON MALL,C1-WALK-UP,15,1905,9055,148593,16.41,604000,67,0.35,3-00172-0064,"375 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,C1-WALK-UP,20,1905,15200,248858,16.37,1010000,66,0.1
3-00178-0025,"422 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BOERUM HILL,D4-ELEVATOR,20,1912,25000,400000,16,1630000,65,3-01979-0003,"495 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CLINTON HILL,D1-ELEVATOR,42,1928,25500,402100,15.77,1640000,64,1.05,,,,,,,,,,,,
3-00178-0054,"423 ATLANTIC AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BOERUM HILL,D4-ELEVATOR,61,1900,122963,1967408,16,8000000,65,3-00051-0001,"65 WASHINGTON STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,D5-ELEVATOR,104,1914,123700,2126783,17.19,8650000,70,1.1,3-01798-0040,"550 GREENE AVENUE
Brooklyn, NY
(40.688662422549285, -73.94865379650403)",BEDFORD STUYVESANT,D1-ELEVATOR,151,1984,128000,2104487,16.44,5940000,46.4,1.8
3-00181-0039,"251 PACIFIC STREET
Brooklyn, NY
(40.688382660564464, -73.99053329201776)",BOERUM HILL,C6-WALK-UP,25,1914,18530,304077,16.41,1240000,67,3-00146-0036,"406 ALBEE SQUARE
Brooklyn, NY
(40.69103473400113, -73.9835005854088)",DOWNTOWN-FULTON MALL,C1-WALK-UP,15,1905,9055,148593,16.41,604000,67,0.35,3-00172-0064,"375 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,C1-WALK-UP,20,1905,15200,248858,16.37,1010000,66,0.4
3-00185-0048,"467 PACIFIC STREET
Brooklyn, NY
(40.685261395976674, -73.98251514739725)",BOERUM HILL,C6-WALK-UP,25,1912,17855,329425,18.45,1340000,75,3-00146-0036,"406 ALBEE SQUARE
Brooklyn, NY
(40.69103473400113, -73.9835005854088)",DOWNTOWN-FULTON MALL,C1-WALK-UP,15,1905,9055,148593,16.41,604000,67,0.4,3-00172-0064,"375 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,C1-WALK-UP,20,1905,15200,248858,16.37,1010000,66,0.15
3-00197-0022,"280 DEAN STREET
Brooklyn, NY
(40.684392678320236, -73.98252875220852)",BOERUM HILL,C6-WALK-UP,25,1900,18000,349200,19.4,986000,55,3-01029-0020,"312 12 STREET
Brooklyn, NY
(40.6667869750245, -73.98668510060705)",PARK SLOPE SOUTH,C1-WALK-UP,20,1914,14644,189355,12.93,712000,48.6,1.25,3-01041-0011,"204 14 STREET
Brooklyn, NY
(40.60501853918717, -74.00996868818028)",PARK SLOPE SOUTH,C1-WALK-UP,20,1915,15140,293602,19.39,1310000,87,1.3
3-00200-0005,"8 OLD FULTON STREET
Brooklyn, NY
(40.7028931599898, -73.99478736108922)",DOWNTOWN-FULTON FERRY,D4-ELEVATOR,11,1915,17400,361224,20.76,1610000,93,3-02396-0027,"279 1 STREET
Brooklyn, NY
(40.674613611257094, -73.9834649459981)",WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1910,16250,271862,16.73,835000,51,2.1,3-05079-0019,"142 ST PAUL'S PLACE
Brooklyn, NY
(40.65044819869886, -73.96257993538717)",FLATBUSH-CENTRAL,D9-ELEVATOR,16,1912,16080,398556,24.79,1220000,76,3.95
3-00202-0001,"28 OLD FULTON STREET
Brooklyn, NY
(40.7025949415051, -73.99387216671259)",DOWNTOWN-FULTON FERRY,D4-ELEVATOR,86,1906,171000,2701800,15.8,11000000,64,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2390870,15.22,6750000,43,0.45,3-08719-0038,"160 END AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BRIGHTON BEACH,D3-ELEVATOR,184,1963,155661,2547822,16.37,10400000,67,8.8
3-00208-0319,"182 COLUMBIA HEIGHTS
Brooklyn, NY
(40.69757443592373, -73.99672322155851)",BROOKLYN HEIGHTS,D4-ELEVATOR,19,1921,24918,414137,16.62,1680000,67,3-00236-0007,"75 PIERREPONT STREET
Brooklyn, NY
(40.695649532469446, -73.99458830702218)",BROOKLYN HEIGHTS,D1-ELEVATOR,36,1925,25818,460681,17.84,1870000,72,0.2,3-01173-0007,"195 UNDERHILL AVENUE
Brooklyn, NY
(40.67497299442476, -73.96668159153094)",PROSPECT HEIGHTS,D1-ELEVATOR,36,1940,24000,383858,15.99,1560000,65,2.35
3-00208-0331,"160 COLUMBIA HEIGHTS
Brooklyn, NY
(40.698201367782126, -73.99642025448821)",BROOKLYN HEIGHTS,D4-ELEVATOR,84,1937,84445,1916901,22.7,8570000,101,3-03512-0001,"663 HOWARD AVENUE
Brooklyn, NY
(40.66594467794974, -73.91936484804988)",BROWNSVILLE,D1-ELEVATOR,122,1983,85370,1612883,18.89,4550000,53,4.6,3-00236-0103,"52 CLARK STREET
Brooklyn, NY
(40.69772678072211, -73.99415621237242)",BROOKLYN HEIGHTS,D5-ELEVATOR,142,1928,79460,2105768,26.5,10200000,128,0.15
3-00208-0501,"10 MONTAGUE TERRACE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D4-ELEVATOR,20,1900,15197,327951,21.58,1470000,97,3-05079-0019,"142 ST PAUL'S PLACE
Brooklyn, NY
(40.65044819869886, -73.96257993538717)",FLATBUSH-CENTRAL,D9-ELEVATOR,16,1912,16080,398556,24.79,1220000,76,3.75,3-02409-0009,"262 1 STREET
Brooklyn, NY
(40.67471947728384, -73.98382006294929)",WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,15836,290907,18.37,893000,56,2.25
3-00208-0508,"2 MONTAGUE TERRACE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D4-ELEVATOR,25,1917,54966,1154286,21,5160000,94,3-00247-0028,"74 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D3-ELEVATOR,59,1912,54640,984472,18.02,4000000,73,0.25,,,,,,,,,,,,
3-00212-0001,"140 CADMAN PLAZA
Brooklyn, NY
(40.69970465811028, -73.9898230728249)",BROOKLYN HEIGHTS,D4-ELEVATOR,250,1967,352698,4627397,13.12,13100000,37.1,3-00250-0030,"182 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D6-ELEVATOR,187,1999,182000,6855305,37.7,34500000,190,0.45,3-08723-0410,"1511 CORBIN PLACE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BRIGHTON BEACH,D1-ELEVATOR,132,1951,109832,1689216,15.38,6870000,63,8.8
3-00216-0003,"55 HICKS STREET
Brooklyn, NY
(40.69999955232276, -73.99355388877717)",BROOKLYN HEIGHTS,C6-WALK-UP,30,1900,17245,472513,27.4,2290000,133,3-00146-0036,"406 ALBEE SQUARE
Brooklyn, NY
(40.69103473400113, -73.9835005854088)",DOWNTOWN-FULTON MALL,C1-WALK-UP,15,1905,9055,148593,16.41,604000,67,0.75,3-00172-0064,"375 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,C1-WALK-UP,20,1905,15200,248858,16.37,1010000,66,1
3-00217-0001,"75 HENRY STREET
Brooklyn, NY
(40.69864349455783, -73.99240031433479)",BROOKLYN HEIGHTS,D4-ELEVATOR,370,1967,593599,8090754,13.63,32100000,54,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2390870,15.22,6750000,43,0.25,3-05155-0050,"405 WESTMINSTER ROAD
Brooklyn, NY
(40.63902430326701, -73.96682888247585)",FLATBUSH-CENTRAL,D1-ELEVATOR,138,1960,153424,1847730,12.04,6510000,42.4,4.35
3-00219-0005,"81 COLUMBIA HEIGHTS
Brooklyn, NY
(40.70022307856585, -73.99538298498895)",BROOKLYN HEIGHTS,C6-WALK-UP,60,1890,39280,797776,20.31,3570000,91,3-00042-0018,"254 WATER STREET
Brooklyn, NY
(40.702970948924616, -73.98370198590868)",DOWNTOWN-FULTON FERRY,D8-ELEVATOR,26,2002,28358,639651,22.56,2860000,101,0.65,3-06681-0225,"1879 3 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-SOUTH,D3-ELEVATOR,50,1987,36769,799034,21.73,2260000,61,6.8
3-00221-0033,"73 ORANGE STREET
Brooklyn, NY
(40.698969919086686, -73.9930971077105)",BROOKLYN HEIGHTS,C6-WALK-UP,16,1925,13428,247747,18.45,1010000,75,3-02396-0027,"279 1 STREET
Brooklyn, NY
(40.674613611257094, -73.9834649459981)",WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1910,16250,271862,16.73,835000,51,2.15,3-05079-0019,"142 ST PAUL'S PLACE
Brooklyn, NY
(40.65044819869886, -73.96257993538717)",FLATBUSH-CENTRAL,D9-ELEVATOR,16,1912,16080,398556,24.79,1220000,76,3.7
3-00226-0001,"45 PINEAPPLE STREET
Brooklyn, NY
(40.698530901381154, -73.99417640609872)",BROOKLYN HEIGHTS,D4-ELEVATOR,68,1939,52012,859238,16.52,3490000,67,3-01179-0097,"159 EASTERN PARKWAY
Brooklyn, NY
(40.67215587184343, -73.9639196471878)",PROSPECT HEIGHTS,D1-ELEVATOR,72,1927,52140,783168,15.02,3100000,59,2.3,3-00247-0028,"74 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D3-ELEVATOR,59,1912,54640,984472,18.02,4000000,73,0.3
3-00226-0006,"87 HICKS STREET
Brooklyn, NY
(40.69891402104446, -73.99407377081789)",BROOKLYN HEIGHTS,C6-WALK-UP,20,1900,9435,119321,12.65,449000,47.6,3-00146-0036,"406 ALBEE SQUARE
Brooklyn, NY
(40.69103473400113, -73.9835005854088)",DOWNTOWN-FULTON MALL,C1-WALK-UP,15,1905,9055,148593,16.41,604000,67,0.7,3-00172-0064,"375 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,C1-WALK-UP,20,1905,15200,248858,16.37,1010000,66,0.95
3-00226-0010,"54 ORANGE STREET
Brooklyn, NY
(40.69906112728849, -73.99362720463242)",BROOKLYN HEIGHTS,D4-ELEVATOR,24,1963,34391,653429,19,2660000,77,3-01089-0001,"719 8 AVENUE
Brooklyn, NY
(40.66682871613259, -73.97828804034879)",PARK SLOPE,C1-WALK-UP,32,1905,31468,590620,18.77,2400000,76,2.4,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,846432,18.24,3440000,74,0.35
3-00226-0013,"66 ORANGE STREET
Brooklyn, NY
(40.69897096818847, -73.99330662612624)",BROOKLYN HEIGHTS,D4-ELEVATOR,21,1913,32135,578430,18,2350000,73,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,846432,18.24,3440000,74,0.35,3-01089-0001,"719 8 AVENUE
Brooklyn, NY
(40.66682871613259, -73.97828804034879)",PARK SLOPE,C1-WALK-UP,32,1905,31468,590620,18.77,2400000,76,2.4
3-00226-0018,"72 ORANGE STREET
Brooklyn, NY
(40.698925399919986, -73.99314644675825)",BROOKLYN HEIGHTS,D4-ELEVATOR,41,1938,32418,817582,25.2,3650000,113,3-01296-0008,"212 CROWN STREET
Brooklyn, NY
(40.6664068767231, -73.95354766801304)",CROWN HEIGHTS,D5-ELEVATOR,35,1927,38500,1057210,27.5,5120000,133,3.1,3-00051-0012,"65 WASHINGTON STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,D7-ELEVATOR,59,2000,50457,1657235,32.8,8030000,159,0.3
3-00226-0035,"59 PINEAPPLE STREET
Brooklyn, NY
(40.69842734445047, -73.99380444651095)",BROOKLYN HEIGHTS,D4-ELEVATOR,40,1940,39450,994929,25.2,4450000,113,3-00051-0012,"65 WASHINGTON STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,D7-ELEVATOR,59,2000,50457,1657235,32.8,8030000,159,0.3,3-01296-0008,"212 CROWN STREET
Brooklyn, NY
(40.6664068767231, -73.95354766801304)",CROWN HEIGHTS,D5-ELEVATOR,35,1927,38500,1057210,27.5,5120000,133,3.1
3-00229-0001,"15 CLARK STREET
Brooklyn, NY
(40.698203135508585, -73.99564774766235)",BROOKLYN HEIGHTS,D4-ELEVATOR,31,1920,45600,756960,16.6,3080000,68,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,846432,18.24,3440000,74,0.35,3-02104-0008,"299 ADELPHI STREET
Brooklyn, NY
(40.688581219041616, -73.97090721994414)",FORT GREENE,D9-ELEVATOR,71,1927,44046,693471,15.74,2820000,64,1.5
3-00229-0006,"129 COLUMBIA HEIGHTS
Brooklyn, NY
(40.69857538579133, -73.99616495121167)",BROOKLYN HEIGHTS,D4-ELEVATOR,37,1900,48450,804270,16.6,3270000,67,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,846432,18.24,3440000,74,0.35,3-02104-0008,"299 ADELPHI STREET
Brooklyn, NY
(40.688581219041616, -73.97090721994414)",FORT GREENE,D9-ELEVATOR,71,1927,44046,693471,15.74,2820000,64,1.5
3-00230-0017,"35 CLARK STREET
Brooklyn, NY
(40.69796731290799, -73.99479607327795)",BROOKLYN HEIGHTS,D4-ELEVATOR,34,1923,37800,588546,15.57,2390000,63,3-01153-0010,"93 UNDERHILL AVENUE
Brooklyn, NY
(40.677896119241964, -73.96562100439604)",PROSPECT HEIGHTS,C1-WALK-UP,35,1930,32835,515470,15.7,2100000,64,2.15,3-01167-0013,"452 PARK PLACE
Brooklyn, NY
(40.67541837284588, -73.96282489470461)",CROWN HEIGHTS,C1-WALK-UP,39,1926,29560,456201,15.43,1860000,63,2.4
3-00231-0017,"41 CLARK STREET
Brooklyn, NY
(40.697904808835304, -73.99456897615033)",BROOKLYN HEIGHTS,D4-ELEVATOR,307,1911,25407,406512,16,1650000,65,3-02139-0014,"190 8 STREET
Brooklyn, NY
(40.6713805485146, -73.98916035446884)",WILLIAMSBURG-SOUTH,C1-WALK-UP,41,1917,25924,452373,17.45,1840000,71,1.85,3-01178-0075,"505 LINCOLN PLACE
Brooklyn, NY
(40.671963251969316, -73.95956819148196)",CROWN HEIGHTS,C1-WALK-UP,30,1920,25556,395141,15.46,1210000,47.3,2.55
3-00231-0019,"44 PINEAPPLE STREET
Brooklyn, NY
(40.69849423262695, -73.9942544696548)",BROOKLYN HEIGHTS,D4-ELEVATOR,275,1929,441063,5491234,12.45,20600000,46.7,3-06468-0016,"1429 SHORE PARKWAY
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BATH BEACH,D1-ELEVATOR,263,1960,257300,3305508,12.85,12400000,48.2,6.9,3-05155-0050,"405 WESTMINSTER ROAD
Brooklyn, NY
(40.63902430326701, -73.96682888247585)",FLATBUSH-CENTRAL,D1-ELEVATOR,138,1960,153424,1847730,12.04,6510000,42.4,4.3
3-00231-0030,"60 PINEAPPLE STREET
Brooklyn, NY
(40.69837149848775, -73.99381362866504)",BROOKLYN HEIGHTS,D4-ELEVATOR,74,1899,114445,1602230,14,6350000,55,3-01946-0004,"379 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CLINTON HILL,D5-ELEVATOR,86,1905,113924,1709714,15.01,6780000,60,1.65,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2390870,15.22,6750000,43,0.15
3-00232-0001,"79 CLARK STREET
Brooklyn, NY
(40.69746994376421, -73.9929718159236)",BROOKLYN HEIGHTS,D4-ELEVATOR,301,1971,450503,6140355,13.63,17300000,38.4,3-05155-0050,"405 WESTMINSTER ROAD
Brooklyn, NY
(40.63902430326701, -73.96682888247585)",FLATBUSH-CENTRAL,D1-ELEVATOR,138,1960,153424,1847730,12.04,6510000,42.4,4.25,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2390870,15.22,6750000,43,0.15
3-00234-0008,"1 PIERREPONT STREET
Brooklyn, NY
(40.69633666172248, -73.99706089096321)",BROOKLYN HEIGHTS,D4-ELEVATOR,26,1924,75120,1779592,23.69,7950000,106,3-00236-0103,"52 CLARK STREET
Brooklyn, NY
(40.69772678072211, -73.99415621237242)",BROOKLYN HEIGHTS,D5-ELEVATOR,142,1928,79460,2105768,26.5,10200000,128,0.1,3-00416-0017,"419 DE GRAW STREET
Brooklyn, NY
(40.68187810333975, -73.99034026519763)",GOWANUS,D5-ELEVATOR,90,1931,76334,1593686,20.88,7120000,93,1.1
3-00234-0019,"177 COLUMBIA HEIGHTS
Brooklyn, NY
(40.6971186231755, -73.99686648415509)",BROOKLYN HEIGHTS,C6-WALK-UP,29,1925,16250,299813,18.45,1220000,75,3-02396-0027,"279 1 STREET
Brooklyn, NY
(40.674613611257094, -73.9834649459981)",WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1910,16250,271862,16.73,835000,51,2.35,3-05079-0019,"142 ST PAUL'S PLACE
Brooklyn, NY
(40.65044819869886, -73.96257993538717)",FLATBUSH-CENTRAL,D9-ELEVATOR,16,1912,16080,398556,24.79,1220000,76,3.65
3-00234-0059,"128 WILLOW STREET
Brooklyn, NY
(40.69750876316801, -73.99579001099775)",BROOKLYN HEIGHTS,D4-ELEVATOR,48,1925,44100,732060,16.6,2980000,68,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,846432,18.24,3440000,74,0.3,3-02104-0008,"299 ADELPHI STREET
Brooklyn, NY
(40.688581219041616, -73.97090721994414)",FORT GREENE,D9-ELEVATOR,71,1927,44046,693471,15.74,2820000,64,1.5
3-00235-0004,"35 PIERREPONT STREET
Brooklyn, NY
(40.696048966220324, -73.99601272778243)",BROOKLYN HEIGHTS,D4-ELEVATOR,33,1929,45664,776288,17,3160000,69,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,846432,18.24,3440000,74,0.25,3-02104-0008,"299 ADELPHI STREET
Brooklyn, NY
(40.688581219041616, -73.97090721994414)",FORT GREENE,D9-ELEVATOR,71,1927,44046,693471,15.74,2820000,64,1.45
3-00235-0015,"149 WILLOW STREET
Brooklyn, NY
(40.69713544092035, -73.995892128256)",BROOKLYN HEIGHTS,D4-ELEVATOR,20,1900,14925,396706,26.6,1920000,129,3-01067-0007,"820 PRESIDENT STREET
Brooklyn, NY
(40.673754294166976, -73.97575905389672)",PARK SLOPE,D7-ELEVATOR,20,1920,16470,600000,36.4,3020000,183,2,3-02396-0027,"279 1 STREET
Brooklyn, NY
(40.674613611257094, -73.9834649459981)",WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1910,16250,271862,16.73,835000,51,2.3
3-00235-0020,"135 WILLOW STREET
Brooklyn, NY
(40.69740233398337, -73.99576411619861)",BROOKLYN HEIGHTS,D4-ELEVATOR,112,1956,91416,2104396,23.02,9400000,103,3-05279-0043,"829 GREENWOOD AVENUE
Brooklyn, NY
(40.6522973213617, -73.97363089153552)",WINDSOR TERRACE,D1-ELEVATOR,135,1982,104640,2163800,20.68,9670000,92,3.25,3-08722-0475,"200 BRIGHTON 15 STREET
Brooklyn, NY
(40.576314119002475, -73.95498026695823)",BRIGHTON BEACH,D1-ELEVATOR,96,1951,96600,1485708,15.38,6040000,63,8.6
3-00235-0028,"115 WILLOW STREET
Brooklyn, NY
(40.69778360983096, -73.99558124181017)",BROOKLYN HEIGHTS,D4-ELEVATOR,39,1927,49158,842568,17.14,3430000,70,3-06114-0006,"310 94 STREET
Brooklyn, NY
(40.61767230391655, -74.03284255812264)",BAY RIDGE,D7-ELEVATOR,74,1928,48000,771521,16.07,3140000,65,5.9,3-01177-0007,"781 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CROWN HEIGHTS,D5-ELEVATOR,63,1920,47925,872518,18.21,2680000,56,2.45
3-00235-0044,"130 HICKS STREET
Brooklyn, NY
(40.69767212842184, -73.9947443797477)",BROOKLYN HEIGHTS,D4-ELEVATOR,40,1958,22750,485712,21.35,2170000,95,3-00384-0072,"15 WYCKOFF STREET
Brooklyn, NY
(40.686924910400215, -73.99299551472282)",BOERUM HILL,C1-WALK-UP,40,1900,26084,581511,22.29,2600000,100,0.7,3-02096-0014,"205 ASHLAND PLACE
Brooklyn, NY
(40.68896451716735, -73.97843375473097)",FORT GREENE,C1-WALK-UP,16,1931,25032,510051,20.38,2280000,91,1.1
3-00235-0052,"142 HICKS STREET
Brooklyn, NY
(40.69731707608468, -73.9949134522892)",BROOKLYN HEIGHTS,D4-ELEVATOR,19,1900,8252,219338,26.6,1060000,128,3-01067-0007,"820 PRESIDENT STREET
Brooklyn, NY
(40.673754294166976, -73.97575905389672)",PARK SLOPE,D7-ELEVATOR,20,1920,16470,600000,36.4,3020000,183,2,3-02396-0027,"279 1 STREET
Brooklyn, NY
(40.674613611257094, -73.9834649459981)",WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1910,16250,271862,16.73,835000,51,2.3
3-00236-0001,"160 HENRY STREET
Brooklyn, NY
(40.6957885814061, -73.99384687199503)",BROOKLYN HEIGHTS,D4-ELEVATOR,38,1924,66400,1166648,17.57,4740000,71,3-03168-0001,"1226 FLUSHING AVENUE
Brooklyn, NY
(40.707369042582876, -73.92415496818066)",WYCKOFF HEIGHTS,D1-ELEVATOR,99,1931,65402,1173311,17.94,4770000,73,3.85,3-08716-0064,"3085 BRIGHTON 13 STREET
Brooklyn, NY
(40.5790401823618, -73.95613505308762)",BRIGHTON BEACH,D7-ELEVATOR,77,1926,67000,1152325,17.2,4690000,70,8.3
3-00236-0011,"69 PIERREPONT STREET
Brooklyn, NY
(40.69570356216399, -73.994781270217)",BROOKLYN HEIGHTS,D4-ELEVATOR,40,1905,55284,1128346,20.41,5040000,91,3-00247-0028,"74 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D3-ELEVATOR,59,1912,54640,984472,18.02,4000000,73,0.15,,,,,,,,,,,,
3-00236-0018,"187 HICKS STREET
Brooklyn, NY
(40.695970750245976, -73.99547245933154)",BROOKLYN HEIGHTS,D4-ELEVATOR,29,1936,48387,829353,17.14,3370000,70,3-01177-0007,"781 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CROWN HEIGHTS,D5-ELEVATOR,63,1920,47925,872518,18.21,2680000,56,2.35,3-06114-0006,"310 94 STREET
Brooklyn, NY
(40.61767230391655, -74.03284255812264)",BAY RIDGE,D7-ELEVATOR,74,1928,48000,771521,16.07,3140000,65,5.8
