Year,Partner
2012,U.S. Geological Survey
2012,Vera Institute of Justice
2012,Visiting Nurse Service of NY
2012,"Wall Street Languages, Ltd. dba Rennert International"
2012,The Walt Disney Company
2012,Weil Gotshal & Manges LLP
2012,Weill Cornell Medical College
2012,WilmerHale
2012,World Vision
2012,Wyckoff Gardens Senior Center
2012,Young Israel of Forest Hills Senior League
2012,Ziff
