Analysed?,Description,Photo,Note,Type,Height,Size,# of Signs (Panel A),Width (Panel A),Height (Panel A),Area (Panel A),# of Signs (Panel B),Width (Panel B),Height (Panel B),Area (Panel B),Total # of Signs,Total Area,Location 1
y,Marriott Marquis (1535 Broadway @ 46th St),IMG_8930,Sportsmanship,Vinyl,,"±66' high x ±44' 6"" wide",1,66,45,2937,,,,0,1,2937,"1535 Broadway
New York, NY 10036
(40.75868277309995, -73.98539028770674)"
y,Marriott Marquis - Planters (Broadway & 45th),IMG_8938,Car ad,Vinyl,,±40' high x ±50' wide,1,40,50,2000,,,,0,1,2000,"1535 Broadway
New York, NY 10036
(40.75868277309995, -73.98539028770674)"
y,"Marriott Marquis (West 46th Street, West 45th Street)",,,LED,,±23' high x ±24' wide,1,23,24,552,,,,0,1,552,"1535 Broadway
New York, NY 10036
(40.75868277309995, -73.98539028770674)"
y,Planet Hollwood (1540 Broadway),IMG_8934/9007,True Crime,Vinyl,,Two faces: ±30' high x ±68' wide,2,30,68,4080,,,,0,2,4080,"1540 Broadway
New York, NY 10036
(40.75821098926468, -73.98527751716185)"
y,1552 Broadway @ 46th st,IMG_8928,Master Chef,Vinyl,Above 65 Ft,±44' high x ±45' wide,1,44,45,1980,,,,0,1,1980,"1552 Broadway
New York, NY 10036
(40.75870269821288, -73.98530714233621)"
y,1552 Broadway @ 46th st,IMG_8927,Glee,Vinyl,Above 65 Ft,N/face: ±35' high x ±20' wide; S/face: ±35' high x ±33' wide,1,35,20,700,1,35,33,1155,2,1855,"1552 Broadway
New York, NY 10036
(40.75870269821288, -73.98530714233621)"
y,W hotel - East Face (1567 Broadway @ 47th) ,IMG_8924,Billy Elliot,Vinyl,Above 65 Ft,±52' high x ±28' wide,1,52,28,1456,,,,0,1,1456,"1567 Broadway
New York, NY 10036
(40.75924641415952, -73.98513439236365)"
y,Spectacolor HD (1567 Broadway @ 47th Street),,,LED,,±40' high x ±40' wide,1,40,40,1600,,,,0,1,1600,"1567 Broadway
New York, NY 10036
(40.75924641415952, -73.98513439236365)"
y,Hershey World of Chocolate (Crowne Plaza Hotel/Broadway & 48th Street),,,LED,,15 Stories,1,15,30,450,,,,0,1,450,"1593 Broadway
New York, NY 10036
(40.75994457769776, -73.98491919469183)"
y,Morgan Stanley Building (1626 Broadway btw 49th & 50th),IMG_8872/3,Falling skies,Vinyl,Under 65 Ft,±29' high x ±125' wide,1,29,125,3625,,,,0,1,3625,"1626 Broadway
New York, NY 10036
(40.76008129426175, -73.98479268511082)"
y,Morgan Stanley Building (1626 Broadway @ 49th ),IMG_8871,Celeb Cruises,Vinyl,Under 65 Ft,±44' high x ±36' wide,1,44,36,1584,,,,0,1,1584,"1626 Broadway
New York, NY 10036
(40.76008129426175, -73.98479268511082)"
y,Winter Garden Theatre (Broadway @ 50th),IMG_8889,Ugg,Vinyl,Under 65 Ft,±28' high x ±48' wide,1,28,48,1344,,,,0,1,1344,"1632 Broadway
New York, NY 10036
(40.76008129426175, -73.98479268511082)"
y,Winter Garden Theatre Package (Broadway@50th),IMG_8876,Telecharge,Vinyl,Above 65 Ft,W/face: ±28' high x ±48' wide; SW/face: ±28' high x ±42' wide,1,28,48,1344,1,28,42,1176,2,2520,"1632 Broadway
New York, NY 10036
(40.76008129426175, -73.98479268511082)"
y,1650 Broadway (Broadway @ West 50th St),IMG_8879-81,Fast Five,Vinyl,Under 65 Ft,Panel A: ±130’ high x ±92' wide; Panel B: ±130’ high x ±48' wide,1,130,92,11960,1,130,48,6240,2,18200,"1650 Broadway
New York, NY 10036
(40.76008129426175, -73.98479268511082)"
y,Sheraton Manahattan (Broadway & 52nd),IMG_8885,Maybelline,Vinyl,Under 65 Ft,±26' high x ±18' wide,1,26,18,468,,,,0,1,468,"1652 Broadway
New York, NY 10036
(40.76008129426175, -73.98479268511082)"
y,Morgan Stanley Building (750 7th Avenue),IMG_8894,United,Vinyl,Under 65 Ft,7th Ave. Panel A: ±25' high x ±57' wide; 7th Ave. Panel B: ±25' high x ±95' wide; 50th St. Panel C: ±25' high x ±40' wide,2,25,57,2850,1,25,95,2375,3,5225,"750 Seventh Ave
New York, NY 10036
(40.759842914885056, -73.9842263035319)"
y,750 Seventh Avenue (7th Avenue @50th),IMG_8888,Benneton,Vinyl,Under 65 Ft,Each face: ±40' high x ±27' wide,1,40,27,1080,,,,0,1,1080,"750 Seventh Ave
New York, NY 10036
(40.759842914885056, -73.9842263035319)"
y,Broadway @ 42nd Street,IMG_8958,LA Noire,Vinyl,Under 65 Ft,±40’ high x ±105’ wide,1,40,105,4200,,,,0,1,4200,"4 Times Square
New York, NY 10036
(40.75665475369446, -73.98624434165002)"
