Borough,Address,Building ,Custodial Borough Supervisor Name,Custodial Borough Supervisor Phone ,Custodial ,Engineering,DCAS Security ? ,Security
Manhattan,"125 Worth St.
",Health Building,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2977",212-676-6396,212-374-8533,Y,"212-442-9339, Alternate: 212-442-4292 Health Police Desk: 212-788-4990"
Manhattan,"137 Centre St.
",Excelsior Building,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2978",212-219-5096,212-442-8533,N,213-360-4116
Manhattan,"170 E. 121 St.
",Harlem Courthouse,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2979",212-534-2162,718-590-3835,N,212-360-8745
Manhattan,"2 Lafayette St.
",Court Square Building,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2980",212-442-0210,212-442-0213,Y,212-442-0211
Manhattan,"22 Reade St.
",City Planning Building,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2981",212-720-3388,212-566-1973,N,212-720-3393
Manhattan,"253 Broadway
",Home Life Building,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2982",212-341-0420,212-374-5489,Y,212-341-0355
Manhattan,"27 Madison Ave.
",Manhattan Appellate Court,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2983",N/A,212-340-0464,N,212-340-0477
Manhattan,"31 Chambers St.
",Manhattan Surrogate's Court,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2984",212-788-8828,212-788-8546,Y,"212-788-8548
Basement: 212-676-0608"
Manhattan,"346 Broadway
",Clock Tower Building,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2985",212-442-3580,212-788-8546,Y,212-442-3588
Manhattan,"49-51 Chambers St.
",Emigrant Savings Building,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2986",212-788-8255,212-566-1973,Y,"212-788-8259, Reade St Basement:212-676-0638   51 Chambers Sec Desk: 212-676-9899"
Manhattan,"60 Centre St.
",Manhattan Supreme Court,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2987",212-374-8534,212-374-8533,N,646-396-3139
Manhattan,"60 Lafayette St.
",Manhattan Family Court,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2988",212-442-2993/2,212-442-2995,N,646-386-5040
Manhattan,"City Hall Park
",City Hall,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2989",212-788-2954,212-374-5489,N,212-788-6688
Manhattan,"314 W. 54th St.
",Midtown Community Court,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2990",N/A,646-264-1336,N,646-265-1352
Manhattan,"280 Broadway
",Sun Building,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2991",212-566-3047,212-566-1973,Y,Main: 212-566-1974 Chambers entr:212-566-5677 Loading Dock: 212-566-1976
Manhattan,"52 Chambers St.
",Tweed Courthouse,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2992",212-374-4146,212-374-5489,Y,Upper Level: 212-374-6766 1st Floor Entrance: 212-374-5913 1st Floor Camera:212-374-2831
Manhattan,"80 Centre St.
",Louis Lefkowitz Building,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2993",212-227-3598,212-227-3602,Y,646-386-3700
Manhattan,"100 Gold St.
",100 Gold St.,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2994",212-863-7951,212-863-5099,Y,212-863-5007
Manhattan,"115 Chrystie Street
",115 Chrystie Street,"Tammy Newkirk, Richard McCarthy","917-337-6309,  347-386-2995",212-334-7001,212-442-8533,Y,212-334-7603
Queens,"120-55 Queens Blvd.
",Queens Borough Hall,Derrick Barksdale,917-681-2181,718-286-2919,718-286-2924,Y,718-286-3122
Queens,"125-01 Queens Blvd.
",Queens Criminal Court,Derrick Barksdale,917-681-2182,718-520-3546,718-520-3547,N,"Officer( 24/7) 718-298-0736
Capt. 718-298-0729"
Queens,"25-10 Court House Square
",Long Island City Courthouse,Derrick Barksdale,917-681-2183,718-784-5320,718-392-4230,N,718-298-1614
Queens,"88-11 Sutphin Blvd.
",Queens Supreme Court,Derrick Barksdale,917-681-2184,718-520-3107,718-520-3108,N,718-298-1071
Queens,"152-02 Jamaica Ave.
",Queens Family Court,Derrick Barksdale,917-681-2185,718-262-8357/8382,718-262-8015,N,718-298-1020
Queens,"89-17 Sutphin Blvd.
",Queens Civil Court,Derrick Barksdale,917-681-2186,718-206-3213,718-206-3249,N,718-262-7111
Queens,"66-26 Metropolitan Ave.
",Central Storehouse,Derrick Barksdale,917-681-2187,N/A,718-417-2041,Y,"Liaison 718-417-2020
Guard 718-417-2000"
Queens,"126-02 82nd Avenue
",Queens Family Justice Center,Derrick Barksdale,917-681-2188,718-520-3546,718-520-3547,N,"East 718-298-0724
West 718-298-0725"
Staten Island,"10 Richmond Terrace
",Staten Island Borough Hall,Bernice Blackman, 917-337-6289,718-816-2381,718-556-7371,N,718-816-2043
Staten Island,"18 Richmond Terrace
",Staten Island Supreme Court,Bernice Blackman, 917-337-6290,718-390-5121,718-556-7371,N,718-675-8708
Staten Island,"130 Stuyvesant Pl.
",130 Stuyvesant Pl.,Bernice Blackman, 917-337-6291,718-556-7354,718-556-7371,Y,"Lobby: 718-556-2498
Garage Guard: 718-448-5104"
Staten Island,"927 Castleton Ave.
",Staten Island Civil Court,Bernice Blackman, 917-337-6292,718-556-5323,718-556-7371,N,718-675-8450
Staten Island,"67 Targee St.
",Staten Island Criminal Court,Bernice Blackman, 917-337-6293,718-390-5121,718-556-7371,N,718-675-8544
Staten Island,"111 Canal St.
",Staten Island Village Hall,Bernice Blackman, 917-337-6294,718-390-5199,718-556-7371,N,No Security Desk
Staten Island,"100 Richmond Terrace
",Staten Island Family Court,Bernice Blackman, 917-337-6295,718-390-8515,718-556-7371,N,718-675-8850
