PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
Jobs & Internships,In-School Youth Employment (ISY),Public School 80 - The Michael J. Petrides School,Staten Island,"Police Athletic League, Inc.",212.477.6504,High School,"715 Ocean Terrace
Staten Island, NEW YORK 10301
(40.60745891713139, -74.10148829317096)"
Jobs & Internships,In-School Youth Employment (ISY),Public School 14 - Cornelius Vanderbilt Elementary School,Staten Island,"Police Athletic League, Inc.",212.477.6504,High School,"100 Tompkins Avenue
Staten Island, NEW YORK 10304
(40.622148795415534, -74.07837687526822)"
Jobs & Internships,In-School Youth Employment (ISY),United Activities Unlimited @ PS 18 Beacon,Staten Island,"United Activities Unlimited, Inc.",718.987.8111,High School,"221 Broadway
Staten Island, NEW YORK 10310
(40.63603930909672, -74.11747369098056)"
Jobs & Internships,In-School Youth Employment (ISY),"Bronx School for Law, Government & Justice - H.S. 505",Bronx,"Federation Employment and Guidance Service, Inc.",212.366.8441,High School,"244 163rd Street
Bronx, NEW YORK 10451
(40.82755758070661, -73.91861304157015)"
Jobs & Internships,In-School Youth Employment (ISY),Family Preservation Center/MBCS,Bronx,"Mid-Bronx Council Services, Inc.",718.588.8200,High School,"1125 Grand
Bronx, NEW YORK 10452
(40.83772426336412, -73.9233322114124)"
Jobs & Internships,In-School Youth Employment (ISY),South Bronx Overall Economic Development Corp.,Bronx,South Bronx Overall Economic Development Corp.,718.292.3113,High School,"555 Bergen Avenue
Bronx, NEW YORK 10455
(40.81594441525443, -73.91641591148277)"
Jobs & Internships,In-School Youth Employment (ISY),Citizens Advice Bureau/Girls Club of New York,Bronx,"Citizens Advice Bureau, Inc.",718.365.0910,High School,"1130 Grand
Bronx, NEW YORK 10456
(40.8316941436386, -73.9160410469591)"
Jobs & Internships,In-School Youth Employment (ISY),Grace Dodge Vocational High School - H.S. 660,Bronx,"Mid-Bronx Council Services, Inc.",718.588.8200,High School,"2474 Crotona Avenue
Bronx, NEW YORK 10458
(40.85598037390898, -73.88255350719163)"
Jobs & Internships,In-School Youth Employment (ISY),"Simpson Street Development Association, Inc.",Bronx,"Simpson Street Development Association, Inc.",718.589.1510,High School,"997 163rd Street
Bronx, NEW YORK 10459
(40.82101228286123, -73.89341802447647)"
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 217 - Rafael Hernandez School,Bronx,"Simpson Street Development Association, Inc.",718.589.1510,High School,
Jobs & Internships,In-School Youth Employment (ISY),Herbert H. Lehman High School - H.S. 405,Bronx,"Henkels & McCoy, Inc.",800.622.5577,High School,"3000 Tremont Avenue
Bronx, NEW YORK 10461
(40.840618266233676, -73.83830582037355)"
Jobs & Internships,In-School Youth Employment (ISY),John F. Kennedy High School - H.S. 475,Bronx,"Henkels & McCoy, Inc.",800.622.5577,High School,"99 Terrace View Avenue
Bronx, NEW YORK 10463
(40.877210772673564, -73.91213621128965)"
Jobs & Internships,In-School Youth Employment (ISY),"Mosholu Montefiore Community Center, Inc.",Bronx,"Mosholu Montefiore Community Center, Inc.",718.882.4000,High School,"3400 Reservoir Oval
Bronx, NEW YORK 10467
(40.87877505492227, -73.87563356258636)"
Jobs & Internships,In-School Youth Employment (ISY),Christopher Columbus High School - H.S. 415,Bronx,"Henkels & McCoy, Inc.",800.622.5577,High School,"925 Astor Avenue
Bronx, NEW YORK 10469
(40.859680011813644, -73.86106256531913)"
Jobs & Internships,In-School Youth Employment (ISY),Adlai E. Stevenson High School - H.S. 450,Bronx,"Episcopal Social Services, of New York, Inc.",212.886.5602,High School,"1980 Lafayette Avenue
Bronx, NEW YORK 10473
(40.82225901265785, -73.85628678256198)"
Jobs & Internships,In-School Youth Employment (ISY),"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718.744.7447,High School,"10 25 41st Avenue
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
Jobs & Internships,In-School Youth Employment (ISY),LaGuardia Community College,Queens,Research Foundation of CUNY/LaGuardia Community College,718.270.6908,High School,"31 10 Thomson Avenue
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
Jobs & Internships,In-School Youth Employment (ISY),Hellenic American Neighborhood Action Committee (HANAC),Queens,Hellenic American Neighborhood Action Committee (HANAC),212.840.8005,High School,"23 16 30th Avenue
Queens, NEW YORK 11102
(40.77152402451418, -73.92643545073543)"
Jobs & Internships,In-School Youth Employment (ISY),"Sunnyside Community Service, Inc.",Queens,"Sunnyside Community Service, Inc.",718.784.6173,High School,"43 31 39th Street
Queens, NEW YORK 11104
(40.74489336663561, -73.92054134530679)"
Jobs & Internships,In-School Youth Employment (ISY),Public School 181 - John Steptoe School,Brooklyn,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6908,High School,"1023 New York Avenue
Brooklyn, NEW YORK 11203
(40.648253402034975, -73.94634447537274)"
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 232 - Winthrop School,Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,High School,"905 Winthrop Street
Brooklyn, NEW YORK 11203
(40.65845142217417, -73.92913135988232)"
Jobs & Internships,In-School Youth Employment (ISY),"Sesame Flyers International, Inc.",Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,High School,"3510 Church Avenue
Brooklyn, NEW YORK 11203
(40.65104606617694, -73.9446401676269)"
Jobs & Internships,In-School Youth Employment (ISY),East NY Development Corporation,Brooklyn,East NY Development Corporation,718.566.2129,High School,"2644 Atlantic Avenue
Brooklyn, NEW YORK 11207
(40.67565526230447, -73.89675297527339)"
Jobs & Internships,In-School Youth Employment (ISY),Franklin K. Lane High School - H.S. 420,Brooklyn,Cypress Hills Local Development Corporation,718.647.2800,High School,"999 Jamaica Avenue
Brooklyn, NEW YORK 11208
(40.6907285274162, -73.87016567362916)"
Jobs & Internships,In-School Youth Employment (ISY),"Beth Chana, Ltd",Brooklyn,National Society For Hebrew Day Schools,212.227.1000,High School,"712 Bedford Avenue
Brooklyn, NEW YORK 11222
(40.721582628685766, -73.953734870062)"
Jobs & Internships,In-School Youth Employment (ISY),Bnos Ahavas Israel Viznitz,Brooklyn,National Society For Hebrew Day Schools,212.227.1000,High School,"12 Franklin Street
Brooklyn, NEW YORK 11222
(40.72531118436204, -73.95751636662311)"
Jobs & Internships,In-School Youth Employment (ISY),"Asociaciones Dominicanas, Inc",Brooklyn,"Asociaciones Dominicanas, Inc",212.247.2929,High School,"202 Union Avenue
Brooklyn, NEW YORK 11211
(40.706434807769, -73.95033181160849)"
Jobs & Internships,In-School Youth Employment (ISY),"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",718.449.5000,High School,"3001 37th Street
Brooklyn, NEW YORK 11224
(40.573273749723825, -74.00249064003097)"
Jobs & Internships,In-School Youth Employment (ISY),P.S. 138,Brooklyn,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6908,High School,"760 Prospect Place
Brooklyn, NEW YORK 11216
(40.674353675202426, -73.95141196170016)"
Jobs & Internships,In-School Youth Employment (ISY),Bedford Stuyvesant Restoration Corporation,Brooklyn,Bedford Stuyvesant Restoration Corporation,718.636.6931,High School,"1368 Fulton Street
Brooklyn, NEW YORK 11216
(40.68016709769277, -73.94592248315027)"
Jobs & Internships,In-School Youth Employment (ISY),Public School 1 - Bergen Elementary School,Brooklyn,SCO Family of Services,516.671.1253,High School,"309 47 Street
Brooklyn, NEW YORK 11220
(40.64919427766737, -74.01249722815565)"
Jobs & Internships,In-School Youth Employment (ISY),Public School 314 - Luis Munoz Marin Elementary School,Brooklyn,SCO Family of Services,516.671.1253,High School,"330 59th Street
Brooklyn, NEW YORK 11220
(40.64220161479856, -74.0191758017247)"
Jobs & Internships,In-School Youth Employment (ISY),"Chinese-American Planning Council, Inc/Brooklyn Branch",Brooklyn,Chinese American Planning Council,212.941.0920,High School,"4101 8th Avenue
Brooklyn, NEW YORK 11232
(40.64613150332472, -73.99844270592891)"
Jobs & Internships,In-School Youth Employment (ISY),The International High School @ Prospect Heights (K524),Brooklyn,Chinese American Planning Council,212.941.0920,High School,"883 Classon Avenue
Brooklyn, NEW YORK 11225
(40.67045865769921, -73.96162827573441)"
Jobs & Internships,In-School Youth Employment (ISY),Middle School 2,Brooklyn,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6908,High School,"655 Parkside Avenue
Brooklyn, NEW YORK 11226
(40.6561968174429, -73.95158492978685)"
Jobs & Internships,In-School Youth Employment (ISY),Bais Yaakov Academy,Brooklyn,National Society For Hebrew Day Schools,212.227.1000,High School,"2 Franklin Street
Brooklyn, NEW YORK 11222
(40.72426648164826, -73.95768334814491)"
Jobs & Internships,In-School Youth Employment (ISY),SCO Family Services/Center for Family Life,Brooklyn,SCO Family of Services,516.671.1253,High School,"345 43rd Street
Brooklyn, NEW YORK 11232
(40.6510383207887, -74.0095131568878)"
Jobs & Internships,In-School Youth Employment (ISY),Junior High School 136 - Charles O. Dewey,Brooklyn,SCO Family of Services,516.671.1253,High School,"4004 4th Avenue
Brooklyn, NEW YORK 11232
(40.65208990853318, -74.00688510833078)"
Jobs & Internships,In-School Youth Employment (ISY),Ridgewood Bushwick Youth Center,Brooklyn,"Ridgewood Bushwick Senior Citizens Council, Inc.",718.381.9653,High School,"1474 Gates Avenue
Brooklyn, NEW YORK 11237
(40.69784030864716, -73.91383248246076)"
Jobs & Internships,In-School Youth Employment (ISY),Italian American Civil Rights League (Italian American Civil,Brooklyn,Italian American Civil Rights League (Italian American Civil,718.642.2857,High School,"1460 Pennsylvania Avenue
Brooklyn, NEW YORK 11239
(40.64607779528712, -73.87995018190169)"
Jobs & Internships,In-School Youth Employment (ISY),Public School 346 - Abe Stark Elementary School,Brooklyn,Italian American Civil Rights League (Italian American Civil,718.642.2857,High School,"1400 Pennsylvania Avenue
Brooklyn, NEW YORK 11239
(40.64752174991216, -73.88154676244247)"
Jobs & Internships,In-School Youth Employment (ISY),Flushing High School - H.S. 460,Queens,"Sports & Arts In Schools Foundation, Inc.",718.786.7110,High School,"35 01 Union Street
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
Jobs & Internships,In-School Youth Employment (ISY),Chinese American Planning Council,Queens,Chinese American Planning Council,212.941.0920,High School,"136 18 39th Avenue
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 168 - Parsons School,Queens,Queens Child Guidance Center,718.651.7770,High School,"158 40 76th Road
Queens, NEW YORK 11366
(40.72816440726166, -73.79226817393703)"
Jobs & Internships,In-School Youth Employment (ISY),"Elmcor Youth and Adult Activities, Inc.",Queens,"Elmcor Youth & Adult Activities, Inc.",718.651.0096,High School,"33 16 108th Street
Queens, NEW YORK 11368
(40.749678220373596, -73.85304068857687)"
Jobs & Internships,In-School Youth Employment (ISY),"Greater Ridgewood Youth Council, Inc.",Queens,"Greater Ridgewood Youth Council, Inc.",718.456.5437,High School,"62 04 Myrtle Avenue
Queens, NEW YORK 11385
(40.70122489161548, -73.88334858436963)"
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 93 - Ridgewood Intermediate School,Queens,"Greater Ridgewood Youth Council, Inc.",718.456.5437,High School,"66 56 Forest Avenue
Queens, NEW YORK 11385
(40.70122489161548, -73.88334858436963)"
Jobs & Internships,In-School Youth Employment (ISY),Foster-Laurie,Queens,"Police Athletic League, Inc.",212.477.6504,High School,"199 10 112th Avenue
Queens, NEW YORK 11412
(40.69812711747255, -73.75923519834566)"
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 72 - Catherine & Count Basie School,Queens,Queens Child Guidance Center,718.651.7770,High School,"133 25 Guy R Brewer Boulevard
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
Jobs & Internships,In-School Youth Employment (ISY),"Police Athletic League, Inc",Queens,"Police Athletic League, Inc.",212.477.6504,High School,"116 25 Guy R Brewer Boulevard
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
Jobs & Internships,In-School Youth Employment (ISY),"New Spirit II, Inc. -- Youth Center",Queens,"New Spirit II, Inc.",718.712.1100,High School,"162 04 South Road
Queens, NEW YORK 11433
(40.698104881734935, -73.7875740339145)"
Jobs & Internships,In-School Youth Employment (ISY),Rockaway Development & Revitalization Corporation,Queens,Rockaway Development & Revitalization Corporation,718.327.5300,High School,"1920 Mott Avenue
Queens, NEW YORK 11691
(40.6038795254241, -73.7521789315517)"
