PrimaryProjectType,SubType,ProjectStatus,StartDateActual,FinishDateActual,ProjectSiteName,ProjectSiteAddress,Acronym,CO2e (MT) Calculated
Other,Retro-commissioning,Survey,,,NYBG - Watson Library Complex,"NYBG WATSON DR WATSON-MUSEUM BLDG CMPLEX, Southern Boulevard at 200th Street",DCLA,
HVAC System Upgrade,Retrofit,Completed,28-Apr-09,29-Jun-09,NYBG - Operations Building,"2800 Southern Blvd Visitor's Center, 2667 Dr. Theodore Kazimiroff Blvd",DCLA,7.89
Lighting System Upgrade,Retrofit,Completed,28-Apr-09,26-Jun-06,NYBG - Tool Shed,"2800 Southern Blvd, 2670 Thoedore Kazimiroff Blvd",DCLA,0.57
Lighting System Upgrade,Retrofit,Design,,,New York Hall Of Science - 47-01 111th Street,47-00 111th Street,DCLA,98.31
HVAC System Upgrade,Retrofit,Design,01-Feb-11,,Snug Harbor,1000 Richmond Terrace,DCLA,
Comprehensive,Retrofit,Design,,,Staten Island Museum - 75 Stuyvesant Place,75 Stuyvesant Place,DCLA,187.8
Lighting System Upgrade,Retrofit,Design,,,Studio Museum of Harlem,"144 West 125th Street  NY, NY  10027",DCLA,40.43
Lighting System Upgrade,Retrofit,Design,,,Studio Museum In Harlem - 144 West 125th Street,"144 West 125th Street  NY, NY  10027",DCLA,53.29
Lighting System Upgrade,Retrofit,Design,,,Studio Museum In Harlem - 144 West 125th Street,"144 West 125th Street  NY, NY  10027",DCLA,134.65
Energy Audit,None,Completed,19-Oct-10,23-Nov-11,Studio Museum in Harlem,144 Wesst 125th Street,DCAS,265.82
Lighting System Upgrade,Retrofit,Design,,,Bronx Zoo,"E. 180th Street & Devoe Ave, 2300 Southern Blvd",DCLA,539.56
Other,Retrofit,Design,,,Bronx Zoo,"E. 180th Street & Devoe Ave, 2300 Southern Blvd",DCLA,6026.93
HVAC System Upgrade,Retrofit,Design,,,Central Building,10 Grand Army Plaza,BPL,832.88
Energy Audit,None,Completed,27-Jan-11,31-Dec-11,Central Building,10 Grand Army Plaza,BPL,
Other,Cogen,Design,,,City Hall,BETWEEN BROADWAY & PARK ROW,DCAS,892.02
Energy Audit,None,Completed,01-Jun-11,06-Dec-11,Manhattan Supreme Court,60 Centre Street New York NY,DCAS,617.9
Energy Audit,None,Completed,16-Aug-11,14-Dec-11,Sun Building,280 Broadway,DCAS,
Energy Audit,None,Completed,16-Aug-11,14-Dec-11,Long Island City Courthouse,2510 Thompson Avenue,DCAS,
Energy Audit,None,Completed,16-Aug-11,12-Dec-11,Queens Civil Court,89-17 Sutphin Boulevard,DCAS,
Energy Audit,None,Completed,16-Aug-11,14-Dec-11,Louis J Lefkowitz Building,80 Centre Street,DCAS,
Energy Audit,None,Completed,16-Aug-11,06-Mar-12,Manhattan Civil Court,111 Centre Street,DCAS,
Energy Audit,None,Completed,16-Aug-11,19-Jan-12,Excelsior Building,133-137 Centre Street,DCAS,69.66
Energy Audit,None,Completed,16-Aug-11,12-Dec-11,Health Building,125 Worth Street,DCAS,-354.98
Energy Audit,None,Completed,16-Aug-11,12-Dec-11,Bronx Family & Criminal Court,215 East 161st Street,DCAS,
Energy Audit,None,Completed,18-Jul-12,04-Sep-12,Staten Island Borough Hall,215 East 161st Street,DCAS,1400.19
Energy Audit,None,Completed,,,Queens Supreme Court,88-11 Sutphin Blvd,DCAS,
Energy Audit,None,Completed,,,Manhattan Family Court,60 Lafayette Street,DCAS,
Energy Audit,None,Completed,,,Office of Energy Management Headquarters,165 Cadman Plaza East,DCAS,42.87
Comprehensive,Retrofit,Design,,,Bronx Housing Court,1118 Grand Concourse,DCAS,
Energy Audit,None,Completed,14-Feb-11,24-May-11,Bronx Housing Court,1118 Grand Concourse,DCAS,
Comprehensive,Retrofit,Design,,,Bronx Concourse Plaza,198 East 161st Street,DCAS,314.72
Energy Audit,None,Completed,14-Feb-11,28-Jun-11,Bronx Concourse Plaza,198 East 161st Street,DCAS,314.72
Comprehensive,Retrofit,Design,,,Bronx Bergen Building,1932 Arthur Avenue Bronx NY,DCAS,153.01
Energy Audit,None,Completed,14-Feb-11,30-Jun-11,Bronx Bergen Building,1932 Arthur Avenue Bronx NY,DCAS,153.01
Comprehensive,Retrofit,Design,,,Mark A. Constantino Judicial Center,"130 Stuyvesant Pl, Staten Island",DCAS,627.89
Energy Audit,None,Completed,04-Feb-11,05-Jul-11,Mark A. Constantino Judicial Center,"130 Stuyvesant Pl, Staten Island",DCAS,627.89
Energy Audit,None,Completed,,,,,,
Energy Audit,None,Completed,,,Brooklyn Museum,200 Eastern Parkway,DCLA,0
Energy Audit,None,In Progress,30-Sep-11,15-Feb-12,Bellevue Men's Shelter,500 1st Avenue,DHS,0
Energy Audit,None,In Progress,,,Regent Hotel Shelter,2720 Broadway,DHS,0
Energy Audit,None,In Progress,26-Oct-11,15-Feb-12,Franklin Women's Shelter,1122 Franklin Avenue,DHS,0
Energy Audit,None,Completed,23-Dec-11,15-Aug-12,Atlantic Avenue Men's Shelter (Armory),1322 Bedford Avenue,DHS,121.72
Energy Audit,None,Completed,,, PATH Office,346 Powers Avenue,DHS,
Energy Audit,None,Completed,26-Sep-11,06-Feb-12,Fort Washington Armory Shelter,216 Fort Washington Avenue New York NY,DHS,342.94
Energy Audit,None,In Progress,15-Feb-12,15-May-12,Borden Avenue Shelter,21-10 Borden Avenue,DHS,84.54
Energy Audit,None,Completed,15-Feb-12,30-Jun-12,,,,220.79
Lighting System Upgrade,Retrofit,Design,,,Manhattan Detention Complex (Bernard B. Kerik Complex),125 White St,DOC,
Energy Audit,None,Completed,02-Feb-11,30-Jun-11,Manhattan Detention Complex (Bernard B. Kerik Complex),125 White St,DOC,
Comprehensive,Retrofit,Design,12-Apr-11,,George R. Vierno Center,09-09 Hazen St,DOC,
Energy Audit,None,Completed,09-Feb-11,30-Jun-11,George R. Vierno Center,09-09 Hazen St,DOC,0
Comprehensive,Retrofit,Design,,,Otis Bantun Correctional Facility,16-16 Hazen St.,DOC,2021.92
Energy Audit,None,Completed,09-Feb-11,30-Jun-11,Otis Bantun Correctional Facility,16-16 Hazen St.,DOC,2021.92
Energy Audit,None,Completed,,,,,,
Energy Audit,None,Completed,,,,,,
Energy Audit,None,Completed,,,,,,
Energy Audit,None,Completed,,,,,,
Comprehensive,Retrofit,Design,,,Queens 7 District Garage Annex,120-15 31st Ave. Queens NY,DSNY,526.73
Energy Audit,None,Completed,06-Feb-12,29-Jun-12,Queens 7 District Garage Annex,120-15 31st Ave. Queens NY,DSNY,526.73
Comprehensive,Retrofit,Design,,,Manhattan 3 Garage,South Street &Pier 36 New York NY 10002,DSNY,259.46
Energy Audit,None,Completed,06-Feb-12,15-Jun-12,Manhattan 3 District Garage,South Street &Pier 36 New York NY 10002,DSNY,259.46
Comprehensive,Retrofit,Design,,,Bronx 12 District Garage,1635 East 233rd St. Bronx NY,DSNY,60.8
Energy Audit,None,Completed,06-Feb-12,21-Jun-12,Bronx 12 District Garage,1635 East 233rd St. Bronx NY,DSNY,60.8
Energy Audit,None,Completed,,,Brooklyn  11,1824 Shore Parkway Brooklyn NY,DSNY,834.97
Energy Audit,None,Completed,24-Jan-11,10-May-11,Cioffe Borough Repair Shop,105-02 Avenue,DSNY,0
Comprehensive,Retrofit,Design,,,Staten Island 3 District,2 Muldoon Ave Staten Island,DSNY,264.6
Energy Audit,None,Completed,20-Jan-11,10-May-11,Fresh Kills Landfill - SI 3 DG; RBS,600 West Service Rd,DSNY,264.6
Lighting System Upgrade,Retrofit,Design,,,"Queens West 2, 3, 4, 6 District Garage",52-35 58th St,DSNY,
Energy Audit,None,Completed,10-Dec-10,30-Jun-11,"Queens West 2,3,4,6 District Garage",58-00 52nd Road,DSNY,0
Comprehensive,Retrofit,Design,,,Brooklyn North 1/4 District Garage,161 Varick Ave Brooklyn NY,,1351.01
Energy Audit,None,Completed,02-Feb-12,15-Jun-12,"Brooklyn 1,4 District Garages",161 Varick Ave. Brooklyn NY,DSNY,1351.01
Energy Audit,None,Completed,,,,58-50 57th Road,,
Energy Audit,None,Completed,21-Feb-12,,Ranaqua Garage And Shops - 1 Bronx River Pkwy,1 Bronx River Pkwy,DPR,102.23
Energy Audit,None,Completed,10-Nov-10,24-Feb-11,Roy Wilkins Recreation Center,Baisley Blvd & Merrick Blvd,DPR,132.41
Lighting System Upgrade,Retrofit,Design,,,Brownsville Recreation Center,598 Christopher Ave,DPR,
Energy Audit,None,Completed,16-Dec-10,30-Jun-11,Brownsville Recreation Center,598 Christopher Ave,DPR,
Comprehensive,Retrofit,Design,,,Chelsea Recreation Center,430 West 25th St,DPR,
Energy Audit,None,Completed,16-Dec-10,30-Jun-11,Chelsea Recreation Center,430-44 West 25th Street,DPR,0
Energy Audit,None,Completed,,,,,,
Energy Audit,None,Completed,06-Jun-12,02-Jul-12,Fort Totten,Fort Totten Bayside NY,FDNY,397.97
Energy Audit,None,Completed,15-Jun-12,02-Jul-12,Randals Island Fire Academy,Randals Island New York  10035,FDNY,
Comprehensive,Retrofit,Cancelled,,,East Harlem Multi-Service Ctr,413 East 120 Street,HRA,267.2
Energy Audit,None,Completed,10-Nov-10,30-Jun-11,East Harlem Multi-Service Ctr,413 East 120 Street,HRA,
Energy Audit,None,Completed,,,NYPD 67th Precinct & Eng Co 248,2820 Snyder Avenue,NYPD,
Comprehensive,Retrofit,Design,,,NYPD 72nd Precinct,830 4th Avenue Brooklyn NY 11232,NYPD,23.76
Energy Audit,None,Completed,04-Jan-12,14-May-12,NYPD 72nd Precinct,830 4th Avenue Brooklyn NY 11232,NYPD,23.76
Energy Audit,None,Completed,06-Feb-12,15-Jun-12,81st Precinct,30 Ralph Ave Brooklyn NY,NYPD,42.72
Energy Audit,None,Completed,,,,235 E 21TH ST,NYPD,
Energy Audit,None,Completed,18-Jan-11,30-Jun-11,NYPD CRS,53-15 58th Street,NYPD,0
Energy Audit,None,Completed,,,84th Precinct & Engine Company 207,301 Gold St,DCAS,137.5
Energy Audit,None,Completed,21-Jan-11,11-May-11,Brooklyn North Narcotics Division,245 Glenmore Ave,NYPD,113.17
Comprehensive,Retrofit,Design,,,48th Precinct,450 CROSS BRONX EXPWY BRONX NY,NYPD,22.92
Energy Audit,None,Completed,06-Feb-12,15-Jun-12,48th Precinct,450 CROSS BRONX EXPWY BRONX NY,NYPD,22.92
Comprehensive,Retrofit,Design,,,73rd Precinct,470 EAST NEW YORK AVENUE,NYPD,66.37
Energy Audit,None,Completed,09-Jan-12,03-Apr-12,73rd Precinct,470 EAST NEW YORK AVENUE,NYPD,66.37
Other,,Install,,,,,DEP1,
Other,,Undefined,,,Dep Centrifuge Upgrade - Hunts Point Waste Water Treatment Plant,,DEP1,
HVAC System Upgrade,,Undefined,,,Dep Engine Generator Conversion - Owls Head Waste Water Treatment Plant,Shore Pkwy & 66th St. Owl's Head WPCP,DEP1,
Other,Retrofit,Proposed,,,,,DEP1,
Other,Retrofit,Proposed,,,,,DEP1,
Lighting System Upgrade,Retrofit,Completed,20-Jan-11,21-Jul-11,Leonard Covello Senior Center,312 E. 109th Street,DFTA,23.32
Comprehensive,Retrofit,Design,,,Leonard Covello Senior Center,312 East 109th Street,DFTA,30.61
HVAC System Upgrade,Retrofit,Completed,30-Apr-10,30-Jun-10,Horizon Juvenile Center - 560 Brook Avenue,55 St. Anns Ave (560 Brook),ACS,105.27
Lighting System Upgrade,Retrofit,Completed,30-Apr-10,30-Jun-10,Crossroads Juvenile Center,17 Bristol Street,ACS,86.05
Other,Cogen,Completed,15-Jan-08,31-Jul-09,Rikers Island Co-Generation Plant 30% Design,,DOC,
HVAC System Upgrade,Retrofit,Completed,,01-Aug-12,Rikers Island Laundry Water Recycling System,8 hazen st east elmhurst,DOC,1834.84
Other,Cogen,Design,31-Jul-09,31-Mar-10,Rikers Island Co-Generation Plant 100% Design,,DOC,
HVAC System Upgrade,Cogen,Install,13-Sep-11,,Rikers Island Co-Generation Plant Construction,,DOC,37546.28
Lighting System Upgrade,Retrofit,Completed,27-Jun-08,05-May-09,H.S. Of Graphic Communication Arts,439 WEST 49TH ST,DOE,235.57
Lighting System Upgrade,Retrofit,Completed,13-May-08,25-Mar-09,Grace H. Dodge Vocational High School,"CROTONA AVE & E 187TH ST GRACE DODGE VHS, 2474 Crotona Avenue",DOE,123.87
Lighting System Upgrade,Retrofit,Completed,13-May-08,25-Mar-09,P.S. 226X Annex,"1900 SEDGWICK AVE, 1950 Sedgwick Avenue",DOE,50.16
Lighting System Upgrade,Retrofit,Completed,13-May-08,25-Mar-09,P.S. 396X / M.S. 390X,1930 ANDREWS AVE,DOE,148.75
Lighting System Upgrade,Retrofit,Completed,05-Sep-08,07-May-09,H.S. For Environmental Science,"448 WEST 56TH ST, 444 West 56th Street",DOE,53.4
Lighting System Upgrade,Retrofit,Completed,13-May-08,07-Oct-08,P.S. 205A/P.S. 205B (Fiorello Laguard)/P.S. 109X,2475 Southern Boulevard,DOE,64.17
Lighting System Upgrade,Retrofit,Completed,13-May-08,07-Oct-08,P.S. 205A/P.S. 205B (Fiorello Laguard)/P.S. 109X,2375 Southern Boulevard,DOE,21.3
Lighting System Upgrade,Retrofit,Completed,13-May-08,09-Mar-09,P.S. 15X(Inst For Enviro)/P.S. 91X Mini/I.S. 206B (Ann Merser),"61 West 183rd Street, 2280 Aqueduct Avenue",DOE,60.54
Lighting System Upgrade,Retrofit,Completed,13-May-08,09-Mar-09,P.S. 15X(Inst For Enviro)/P.S. 91X Mini/I.S. 206B (Ann Merser),2220 Aqueduct Avenue,DOE,74.78
Lighting System Upgrade,Retrofit,Completed,13-May-08,09-Mar-09,P.S. 15X(Inst For Enviro)/P.S. 91X Mini/I.S. 206B (Ann Merser),2195 Andrews Ave,DOE,90.41
Lighting System Upgrade,Retrofit,Completed,06-Jun-08,10-Aug-09,P.S. 246X (Poe Ctr)/P.S. 310X/Ms 118X,260 West Kingsbridge Road,DOE,54.8
Lighting System Upgrade,Retrofit,Completed,06-Jun-08,05-Feb-09,P.S. 246X (Poe Ctr)/P.S. 310X/Ms 118X,"579 E. 179th St., 577 E. 179th Street",DOE,68.1
Lighting System Upgrade,Retrofit,Completed,06-Jun-08,10-Jun-09,P.S. 246X (Poe Ctr)/P.S. 310X/Ms 118X,2641 Grand Concourse,DOE,66.7
Lighting System Upgrade,Retrofit,Completed,23-Apr-08,27-Feb-09,I.S. 207Q (Rockw Pk)/P.S. 232Q (Lindenw)/P.S. 63Q(Old South),159-15 88th Street,DOE,48.9
Lighting System Upgrade,Retrofit,Completed,23-Apr-08,27-Feb-09,I.S. 207Q (Rockw Pk)/P.S. 232Q (Lindenw)/P.S. 63Q(Old South),153-23 83rd Street,DOE,43.31
Lighting System Upgrade,Retrofit,Completed,23-Apr-08,27-Feb-09,I.S. 207Q (Rockw Pk)/P.S. 232Q (Lindenw)/P.S. 63Q(Old South),90-15 Sutter Ave,DOE,68.8
Lighting System Upgrade,Retrofit,Completed,,20-Mar-08,,,,314.26
HVAC System Upgrade,Retrofit,Completed,06-Mar-08,19-Sep-08,P.S. 123K / P.S. 377K / P.S. 106K,"1314 Putnam Avenue, 2120 Raymond Avenue",DOE,37.67
Lighting System Upgrade,Retrofit,Completed,06-Mar-08,19-Sep-08,P.S. 123K / P.S. 377K / P.S. 106K,"100 Irving Avenue, 1025 Morrison Avenue",DOE,68.8
HVAC System Upgrade,Retrofit,Completed,06-Mar-08,19-Sep-08,P.S. 123K / P.S. 377K / P.S. 106K,200 Woodbine St.,DOE,101.35
Lighting System Upgrade,Retrofit,Completed,05-Sep-08,15-May-09,P.S. 58M (The Man. Schl)/FK Onassis (Sch For Intl Careers),317 W. 52nd St.,DOE,63.66
Lighting System Upgrade,Retrofit,Completed,23-Jan-09,28-Jul-09,Port Richmond H.S.,"Address 1
INNIS ST & ST JOSEPHS AV PT RICHMOND H S, 85 St. Josephs Avenue",DOE,177.14
Lighting System Upgrade,Retrofit,Completed,05-Mar-09,18-Mar-10,Bureau Of Supplies,44-46 VERNON BOULEVARD,DOE,445.19
Lighting System Upgrade,Retrofit,Completed,05-Sep-08,13-Jan-10,Park West High School,525 WEST 50TH STREET,DOE,89.09
Lighting System Upgrade,Retrofit,Completed,01-May-09,30-Sep-09,Q440 - Forest Hills High School,67-01 110th Street,DOE,179.68
Lighting System Upgrade,Retrofit,Completed,29-Dec-09,22-Jun-10,P.S. 24Q,141-11 Holly Avenue,DOE,54.99
Lighting System Upgrade,Retrofit,Completed,29-Dec-09,08-Jul-10,P.S. 214Q,31-15 140th St.,DOE,53.86
Lighting System Upgrade,Retrofit,Completed,01-Jul-09,08-Oct-09,I.S. 27R,15 Clove Alke Place,DOE,0
Lighting System Upgrade,Retrofit,Completed,23-Jun-09,02-Feb-10,Totten Intermediate School (I.S. 34R),"Academy St. & Yetman Ave., 528 Academy Avenue",DOE,94.19
Lighting System Upgrade,Retrofit,Completed,23-Jun-09,02-Feb-10,I.S. 51R,20 Houston St.,DOE,92.93
Lighting System Upgrade,Retrofit,Completed,23-Jul-09,23-Dec-09,I.S. 61R,445 Castleton Ave.,DOE,0
Lighting System Upgrade,Retrofit,Completed,23-Jun-09,02-Feb-10,I.S. 49R,101 Warren St.,DOE,116.28
Lighting System Upgrade,Retrofit,Completed,15-Jun-11,08-Dec-11,R008,"112 Lindenwood Rd, 100 Lindenwood Rd",DOE,49.28
Other,Retro-commissioning,Proposed,,,,,,
Other,Retro-commissioning,Survey,,,P.S. 8R,"12 Lindenwood Rd, 100 Lindenwood Rd",DOE,
Comprehensive,Retrofit,Install,25-Jan-12,,Murry Bergtraum High School (M520),411 Pearl Street,DOE,1767.43
Other,Retro-commissioning,Survey,,,Murry Bergtraum High School (M520),411 Pearl Street,DOE,
Lighting System Upgrade,Retrofit,Completed,11-May-09,30-Jun-09,P.S. 109X (Sedgwick),1771 Popham Avenue,DOE,30.81
Lighting System Upgrade,Retrofit,Completed,10-Jan-11,21-Nov-11,X430 Walton H.S.,2780 Reservoir Ave @ East 196th Street,DOE,94.85
Lighting System Upgrade,Retrofit,Install,,,11X021 - 715 East 225th Street,715 East 225th Street,DOE,39.81
Lighting System Upgrade,Retrofit,Completed,31-Dec-10,01-Jul-11,Doe17 11X041 - 3352 Olinville Avenue,3352 Olinville Ave,DOE,59.12
Lighting System Upgrade,Retrofit,Substantially Completed,05-Jan-11,21-Nov-11,12X092 - 700 East 179th Street,700 East 179th Street,DOE,64.13
Lighting System Upgrade,Retrofit,Completed,11-Mar-11,31-Dec-11,Ko62 - 700 Cortelyou Road,700 Cortelyou Road,DOE,128.8
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,09X002 - 1365 Fulton Avenue,1365 Fulton Ave,DOE,52.42
Lighting System Upgrade,Retrofit,Completed,13-Dec-10,30-Jun-11,10X032 - 690 East 183rd Street,690 East 183rd Street,DOE,71.93
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,09X110 - 580 Crotona Park South,580 Crotona Pkwy South,DOE,85.76
Lighting System Upgrade,Retrofit,Install,,,08X152 - 1007 Evergreen Avenue,1007 Evergreen Avenue,DOE,106.34
Lighting System Upgrade,Retrofit,Install,21-Sep-12,,14K380 - 370 Marcy Avenue,370 Marcy Avenue,DOE,121.52
Lighting System Upgrade,Retrofit,Completed,04-Jan-11,15-Dec-11,14K147 - 325 Bushwick Avenue,325 Bushwick Avenue,DOE,93.57
Lighting System Upgrade,Retrofit,Completed,19-Jan-11,15-Dec-11,14K250 - 108 Montrose Avenue,108 Montrose Avenue,DOE,88.18
