DEVELOPMENT NAME,BUILDING NUMBER,STAIR HALL NUMBER,ADDRESS,BOROUGH_CODE,CITY,ZIP CODE,NEW TENANT DATA SYSTEM,FACILITY,COMMENTS,MONTH,YEAR
WILLIAMS PLAZA,1,1,321 ROEBLING STREET,3,BROOKLYN,11211,128,COMMUNITY CENTER/ DAY CARE CENTER,CO,December,2012
RIIS,1,1,152 AVENUE D,1,NEW YORK,10009,18,SOCIAL SERVICES/ COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
HOPE GARDENS,1,1,331 CENTRAL AVENUE,3,BROOKLYN,11221,247,HEAD START CENTER,CO,December,2012
GRANT,1,1,3170 BROADWAY,1,NEW YORK,10027,87,HEALTH CLINIC,CO,December,2012
RANGEL,1,1,159-04 HARLEM RIVER DRIVE,1,NEW YORK,10039,37,COMMERCIAL SPACE (STORE #1),FP,December,2012
WASHINGTON,1,1,1761 3RD AVENUE,1,NEW YORK,10029,62,COMMUNITY CENTER,CO,December,2012
GLENMORE PLAZA,1,1,1777 PITKIN AVENUE,3,BROOKLYN,11212,171,SENIOR CENTER,CO,December,2012
RANGEL,1,1,159-06 HARLEM RIVER DRIVE,1,NEW YORK,10039,37,COMMERCIAL SPACE (STORE #2),FP,December,2012
ADAMS,1,1,735 EAST 152ND STREET,2,BRONX,10455,118,SENIOR CENTER,CO,December,2012
FORT WASHINGTON AVENUE REHAB,1,1,99 FORT WASHINGTON AVENUE,1,NEW YORK,10032,309,"SENIOR CENTER / COMMERCIAL SPACE (STORES #1, 2) IS USED BY HEALTH CLINIC","CO, FP",December,2012
DYCKMAN,1,1,175 NAGLE AVENUE,1,NEW YORK,10034,41,CHILD HEALTH CLINIC,CO,December,2012
BOULEVARD,1,1,2150 LINDEN BOULEVARD,3,BROOKLYN,11207,46,DAY CARE CENTER,CO,December,2012
WALD,1,1,12 AVENUE D,1,NEW YORK,10009,23,COMMUNITY CENTER/ SENIOR CENTER,CO,December,2012
FOREST HILLS COOP (108TH STREET-62ND DRIVE),1,1,62-27 108TH STREET,4,FOREST HILLS,11375,200,COMMUNITY OPERATIONS STORAGE,CO,December,2012
FIRST HOUSES,1,1,31 AVENUE A,1,NEW YORK,10009,1,"COMMERCIAL SPACE (STORES #2, 3)",FP,December,2012
LINCOLN,1,1,60 EAST 135TH STREET,1,NEW YORK,10037,20,SENIOR CENTER,CO,December,2012
FIRST HOUSES,1,1,29 AVENUE A,1,NEW YORK,10009,1,COMMERCIAL SPACE (STORE #1),FP,December,2012
EAST RIVER,1,1,416 EAST 105TH STREET,1,NEW YORK,10029,9,DAY CARE CENTER,CO,December,2012
EAST RIVER,1,1,414 EAST 105TH STREET,1,NEW YORK,10029,9,DAY CARE CENTER,CO,December,2012
EAST 180TH STREET-MONTEREY AVENUE,1,1,2100 MONTEREY AVENUE,2,BRONX,10457,208,COMMUNITY CENTER,CO,December,2012
BUTLER,1,1,1320 WEBSTER AVENUE,2,BRONX,10456,113,SENIOR CENTER,CO,December,2012
RANGEL,1,1,159-08 HARLEM RIVER DRIVE,1,NEW YORK,10039,37,COMMERCIAL SPACE (STORE #3),FP,December,2012
STAPLETON,1,1,189 GORDON STREET,5,STATEN ISLAND,10304,114,COMMUNITY CENTER/ SENIOR CENTER,CO,December,2012
STAPLETON,1,1,195 GORDON STREET,5,STATEN ISLAND,10304,114,DAY CARE CENTER,CO,December,2012
SUMNER,1,1,47 MARCUS GARVEY BOULEVARD,3,BROOKLYN,11206,73,CHILD HEALTH CLINIC,CO,December,2012
TOMPKINS,1,1,736 PARK AVENUE,3,BROOKLYN,11206,131,COMMUNITY CENTER,CO,December,2012
TOMPKINS,1,1,730 PARK AVENUE,3,BROOKLYN,11206,131,DAY CARE CENTER,CO,December,2012
RANGEL,1,1,159-10 HARLEM RIVER DRIVE,1,NEW YORK,10039,37,COMMERCIAL SPACE (STORE #4),FP,December,2012
DREW-HAMILTON,2,2,2672 F DOUGLASS BOULEVARD,1,NEW YORK,10030,111,DAY CARE CENTER/ AFTER SCHOOL PROGRAM,CO,December,2012
FORT INDEPENDENCE STREET-HEATH AVENUE,1,2,3350 BAILEY AVENUE,2,BRONX,10463,197,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
FIRST HOUSES,2,2,33 AVENUE A,1,NEW YORK,10009,1,COMMERCIAL SPACE (STORE #4),FP,December,2012
DOUGLASS II,2,2,820 COLUMBUS AVENUE,1,NEW YORK,10025,582,DAY CARE CENTER,CO,December,2012
RIIS,1,2,154 AVENUE D,1,NEW YORK,10009,18,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
WALD,2,2,24 AVENUE D,1,NEW YORK,10009,23,COMMUNITY CENTER,CO,December,2012
COLLEGE AVENUE-EAST 165TH STREET,1,2,1020 COLLEGE AVENUE,2,BRONX,10456,236,SENIOR CENTER,CO,December,2012
SAINT MARY'S PARK,2,2,595 TRINITY AVENUE,2,BRONX,10455,93,COMMUNITY CENTER,CO,December,2012
SUMNER,1,2,860 PARK AVENUE,3,BROOKLYN,11206,73,DAY CARE CENTER,CO,December,2012
SAINT NICHOLAS,2,2,236 WEST 129TH STREET,1,NEW YORK,10027,38,DAY CARE CENTER/ HEAD START CENTER,CO,December,2012
CARVER,2,2,1445 MADISON AVENUE,1,NEW YORK,10029,58,RESIDENT EMPLOYMENT PROGRAM,CO,December,2012
SUMNER,1,2,862 PARK AVENUE,3,BROOKLYN,11206,73,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
MELROSE,2,2,731 COURTLANDT AVENUE,2,BRONX,10451,28,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
SARATOGA SQUARE,2,2,930 HALSEY STREET,3,BROOKLYN,11233,259,SENIOR CENTER,CO,December,2012
LEHMAN VILLAGE,2,2,80 EAST 110TH STREET,1,NEW YORK,10029,101,CHILD WELFARE PROGRAM,CO,December,2012
BERRY,1,2,1742 RICHMOND ROAD,5,STATEN ISLAND,10306,52,COMPUTER LAB,CO,December,2012
HABER,2,2,3024 WEST 24TH STREET,3,BROOKLYN,11224,142,SENIOR CENTER,CO,December,2012
GUN HILL,2,2,3450 WHITE PLAINS ROAD,2,BRONX,10467,40,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
GUN HILL,2,2,3440 WHITE PLAINS ROAD,2,BRONX,10467,40,DAY CARE CENTER,CO,December,2012
ADAMS,2,2,690 WESTCHESTER AVENUE,2,BRONX,10455,118,DAY CARE CENTER,CO,December,2012
WILLIAMSBURG,1,2,178 LEONARD STREET,3,BROOKLYN,11206,2,HEAD START CENTER/ COMMERCIAL SPACE  (STORES #48-50),"CO, FP",December,2012
WILLIAMSBURG,1,2,176 LEONARD STREET,3,BROOKLYN,11206,2,COMMERCIAL SPACE  (STORES #48-50),FP,December,2012
MELROSE,2,2,348 EAST 156TH STREET,2,BRONX,10451,28,CHILD HEALTH CLINIC,CO,December,2012
WALD,2,2,18 AVENUE D,1,NEW YORK,10009,23,HEAD START CENTER,CO,December,2012
ELLIOTT,1,2,459 WEST 26TH STREET,1,NEW YORK,10001,15,HEAD START CENTER / DAY CARE CENTER/ COMMUNITY OPERATIONS OFFICE SPACE,CO,December,2012
FARRAGUT,2,2,32 NAVY STREET,3,BROOKLYN,11201,29,DAY CARE CENTER,CO,December,2012
MANHATTANVILLE,2,2,3240 BROADWAY,1,NEW YORK,10027,81,DAY CARE CENTER,CO,December,2012
SMITH,2,2,10 CATHERINE SLIP,1,NEW YORK,10038,27,DAY CARE CENTER,CO,December,2012
PARKSIDE,2,2,2972 BRONX PARK EAST,2,BRONX,10467,47,COMMUNITY CENTER,CO,December,2012
BLAND,2,2,40-15 COLLEGE POINT BOULEVARD,4,FLUSHING,11354,54,SENIOR CENTER,CO,December,2012
RICHMOND TERRACE,2,2,476 RICHMOND TERRACE,5,STATEN ISLAND,10301,117,COMMUNITY CENTER,CO,December,2012
FIRST HOUSES,2,2,37 AVENUE A,1,NEW YORK,10009,1,"COMMERCIAL SPACE (STORES #6, 7)",FP,December,2012
FIRST HOUSES,2,2,35 AVENUE A,1,NEW YORK,10009,1,COMMERCIAL SPACE (STORE #5),FP,December,2012
LEHMAN VILLAGE,3,3,1589 MADISON AVENUE,1,NEW YORK,10029,101,COMMUNITY CENTER,CO,December,2012
MILL BROOK,3,3,161 SAINT ANNS AVENUE,2,BRONX,10454,84,DAY CARE CENTER,CO,December,2012
ALBANY,3,3,1185 PARK PLACE,3,BROOKLYN,11213,31,DAY CARE CENTER,CO,December,2012
AUDUBON,1,3,1909 AMSTERDAM AVENUE,1,NEW YORK,10032,125,FAMILY ASSISTANCE PROGRAM,CO,December,2012
BAISLEY PARK,3,3,116-80 GUY BREWER BOULEVARD,4,JAMAICA,11434,91,SENIOR CENTER,CO,December,2012
1162-1176 WASHINGTON AVENUE,1,3,1162 WASHINGTON AVENUE,2,BRONX,10456,233,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
WASHINGTON,3,3,1893 2ND AVENUE,1,NEW YORK,10029,62,DAY CARE CENTER/ HEAD START CENTER,CO,December,2012
WALD,3,3,36 AVENUE D,1,NEW YORK,10009,23,ADULT COUNSELING CENTER,CO,December,2012
BLAND,3,3,133-16 ROOSEVELT AVENUE,4,FLUSHING,11354,54,DAY CARE CENTER,CO,December,2012
WALD,3,3,34 AVENUE D,1,NEW YORK,10009,23,DAY CARE CENTER,CO,December,2012
BOSTON SECOR,3,3,3540 BIVONA STREET,2,BRONX,10475,138,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
VAN DYKE II,23,3,430 DUMONT AVENUE,3,BROOKLYN,11212,146,SENIOR CENTER,CO,December,2012
BRONX RIVER,3,3,1625 EAST 174TH STREET,2,BRONX,10472,32,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
BUTLER,3,3,1368 WEBSTER AVENUE,2,BRONX,10456,113,COMMUNITY CENTER,CO,December,2012
TAFT,3,3,1365 5TH AVENUE,1,NEW YORK,10029,97,SENIOR CENTER,CO,December,2012
COOPER PARK,3,3,76 KINGSLAND AVENUE,3,BROOKLYN,11211,69,COMMUNITY CENTER,CO,December,2012
STUYVESANT GARDENS I,2,3,214 STUYVESANT AVENUE,3,BROOKLYN,11221,221,COMMUNITY CENTER/ HEAD START CENTER,CO,December,2012
STAPLETON,2,3,210 BROAD STREET,5,STATEN ISLAND,10304,114,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
DREW-HAMILTON,3,3,2690 F DOUGLASS BOULEVARD,1,NEW YORK,10030,111,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
DREW-HAMILTON,3,3,2698 F DOUGLASS BOULEVARD,1,NEW YORK,10030,111,HEALTH CLINIC,CO,December,2012
FIRST HOUSES,3,3,39 AVENUE A,1,NEW YORK,10009,1,COMMERCIAL SPACE (STORE #8),FP,December,2012
FIRST HOUSES,3,3,41 AVENUE A,1,NEW YORK,10009,1,COMMERCIAL SPACE (STORE #9),FP,December,2012
FOREST HILLS COOP (108TH STREET-62ND DRIVE),3,3,110-01 62ND DRIVE,4,FOREST HILLS,11375,200,DAY CARE CENTER,CO,December,2012
WYCKOFF GARDENS,3,3,280 WYCKOFF STREET,3,BROOKLYN,11217,163,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
WYCKOFF GARDENS,3,3,272 WYCKOFF STREET,3,BROOKLYN,11217,163,COMMUNITY CENTER,CO,December,2012
45 ALLEN STREET,1,3,45 ALLEN STREET,1,NEW YORK,10002,265,MANHATTAN SOCIAL SERVICES BOROUGH OFFICE,BO,December,2012
SAINT NICHOLAS,3,3,281 WEST 127TH STREET,1,NEW YORK,10027,38,CHILD HEALTH CLINIC,CO,December,2012
SAINT NICHOLAS,3,3,2374 F DOUGLASS BOULEVARD,1,NEW YORK,10027,38,COMMUNITY CENTER,CO,December,2012
HOPE GARDENS,3,3,160 MENAHAN STREET,3,BROOKLYN,11221,247,BROOKLYN COMMUNITY OPERATIONS OFFICE,BO,December,2012
REDFERN,2,3,14-66 BEACH CHANNEL DRIVE,4,FAR ROCKAWAY,11691,55,DAY CARE CENTER,CO,December,2012
WYCKOFF GARDENS,3,3,266 WYCKOFF STREET,3,BROOKLYN,11217,163,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
LAFAYETTE,3,3,470 DEKALB AVENUE,3,BROOKLYN,11205,122,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
LATIMER GARDENS,3,3,34-30 137TH STREET,4,FLUSHING,11354,186,COMMUNITY CENTER/ SENIOR CENTER,CO,December,2012
LAVANBURG HOMES,1,3,130 BARUCH PLACE,1,NEW YORK,10002,310,URBAN FAMILY CENTER,CO,December,2012
POLO GROUNDS TOWERS,2,3,2967 F DOUGLASS BOULEVARD,1,NEW YORK,10039,149,DAY CARE CENTER,CO,December,2012
POLO GROUNDS TOWERS,2,3,2965 F DOUGLASS BOULEVARD,1,NEW YORK,10039,149,COMMUNITY CENTER / SENIOR CENTER/ COMPUTER LAB,CO,December,2012
MONROE,4,4,816 SOUNDVIEW AVENUE,2,BRONX,10473,88,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
CASTLE HILL,4,4,2165 RANDALL AVENUE,2,BRONX,10473,80,DAY CARE CENTER/ HEAD START CENTER,CO,December,2012
BAISLEY PARK,4,4,116-40 GUY BREWER BOULEVARD,4,JAMAICA,11434,91,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
VAN DYKE I,3,4,382 SUTTER AVENUE,3,BROOKLYN,11212,61,DAY CARE CENTER,CO,December,2012
SEDGWICK,4,4,1553 UNIVERSITY AVENUE,2,BRONX,10453,45,COMMUNITY CENTER/ SENIOR CENTER,CO,December,2012
WAGNER,4,4,435 EAST 120TH STREET,1,NEW YORK,10035,74,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
KING TOWERS,4,4,2 WEST 115TH STREET,1,NEW YORK,10026,30,COMMUNITY CENTER,CO,December,2012
MARCY,2,4,468 MARCY AVENUE,3,BROOKLYN,11206,21,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
JACKSON,4,4,325 EAST 156TH STREET,2,BRONX,10451,120,SENIOR CENTER,CO,December,2012
FIRST HOUSES,4,4,136 EAST 3RD STREET,1,NEW YORK,10009,1,"COMMERCIAL SPACE (STORES #12, 13)",FP,December,2012
FIRST HOUSES,4,4,138 EAST 3RD STREET,1,NEW YORK,10009,1,"COMMERCIAL SPACE  (STORES #10, 11)",FP,December,2012
GUN HILL,4,4,744 GUN HILL ROAD,2,BRONX,10467,40,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
INDEPENDENCE,4,4,114 TAYLOR STREET,3,BROOKLYN,11211,140,COMMUNITY CENTER/ SENIOR CENTER,CO,December,2012
RICHMOND TERRACE,4,4,71 JERSEY STREET,5,STATEN ISLAND,10301,117,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
WHITE,1,4,237 EAST 104TH STREET,1,NEW YORK,10029,124,DAY CARE CENTER / COMMUNITY CENTER,CO,December,2012
MILL BROOK,4,4,201 SAINT ANNS AVENUE,2,BRONX,10454,84,COMMUNITY CENTER / SENIOR CENTER / HEAD START CENTER,CO,December,2012
FOREST HILLS COOP (108TH STREET-62ND DRIVE),4,4,108-25 62ND DRIVE,4,FOREST HILLS,11375,200,COMMUNITY CENTER / SENIOR CENTER/ NORC,CO,December,2012
BORINQUEN PLAZA I,4,4,80 SEIGEL STREET,3,BROOKLYN,11206,243,SENIOR CENTER,CO,December,2012
BLAND,4,4,133-36 ROOSEVELT AVENUE,4,FLUSHING,11354,54,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
HOPE GARDENS,4,4,195 LINDEN STREET,3,BROOKLYN,11221,247,SENIOR CENTER,CO,December,2012
SHEEPSHEAD BAY,2,4,2953 AVENUE X,3,BROOKLYN,11235,36,DAY CARE CENTER,CO,December,2012
WHITE,1,4,2029 2ND AVENUE,1,NEW YORK,10029,124,SENIOR  CENTER,CO,December,2012
BETHUNE GARDENS,1,4,1949 AMSTERDAM AVENUE,1,NEW YORK,10032,160,CARE PROGRAM (CONGREGATE),CO,December,2012
HOLMES TOWERS,1,4,1794 1ST AVENUE,1,NEW YORK,10128,159,DAY CARE CENTER,CO,December,2012
HOLMES TOWERS,1,4,1792 1ST AVENUE,1,NEW YORK,10128,159,COMMUNITY CENTER,CO,December,2012
EAST RIVER,3,4,402 EAST 105TH STREET,1,NEW YORK,10029,9,SENIOR CENTER,CO,December,2012
CASTLE HILL,4,4,625 CASTLE HILL AVENUE,2,BRONX,10473,80,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
TAFT,4,4,1385 5TH AVENUE,1,NEW YORK,10029,97,NYCHA YOUTH CHORUS,CO,December,2012
SOUTH BEACH,2,4,126 LAMPORT BOULEVARD,5,STATEN ISLAND,10305,35,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
ROOSEVELT I,4,4,360 PULASKI STREET,3,BROOKLYN,11206,135,DAY CARE CENTER,CO,December,2012
ROOSEVELT I,4,4,971 DEKALB AVENUE,3,BROOKLYN,11221,135,HEAD START CENTER,CO,December,2012
MORRISANIA AIR RIGHTS,2,4,3135 PARK AVENUE,2,BRONX,10451,267,SENIOR CENTER,CO,December,2012
SOUNDVIEW,2,4,1700 SEWARD AVENUE,2,BRONX,10473,71,DAY CARE CENTER,CO,December,2012
BEACH 41ST STREET-BEACH CHANNEL DRIVE,3,4,426 BEACH 40TH STREET,4,FAR ROCKAWAY,11691,165,COMMUNITY CENTER,CO,December,2012
DYCKMAN,4,4,3732 10TH AVENUE,1,NEW YORK,10034,41,DAY CARE CENTER,CO,December,2012
MORRISANIA AIR RIGHTS,2,4,3131 PARK AVENUE,2,BRONX,10451,267,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
WISE TOWERS,2,4,136 WEST 91ST STREET,1,NEW YORK,10024,127,CASE MANAGEMENT,CO,December,2012
COOPER PARK,4,4,292 FROST STREET,3,BROOKLYN,11222,69,DAY CARE CENTER,CO,December,2012
COOPER PARK,4,4,288 FROST STREET,3,BROOKLYN,11222,69,SENIOR CENTER,CO,December,2012
KINGSBOROUGH,3,5,133 KINGSBOROUGH 1ST WALK,3,BROOKLYN,11233,10,HEAD START CENTER,CO,December,2012
RUTGERS,5,5,200 MADISON STREET,1,NEW YORK,10002,99,COMMUNITY CENTER,CO,December,2012
SACK WERN,5,5,710 NOBLE AVENUE,2,BRONX,10473,280,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
MORRISANIA AIR RIGHTS,3,5,3210 PARK AVENUE,2,BRONX,10451,267,COMMUNITY OPERATIONS STORAGE,CO,December,2012
GUN HILL,5,5,3445 HOLLAND AVENUE,2,BRONX,10467,40,SENIOR CENTER,CO,December,2012
DREW-HAMILTON,5,5,220 WEST 143RD STREET,1,NEW YORK,10030,111,COMMUNITY CENTER/ COMMUNITY OPERATIONS SPACE (VACANT)/ COMPUTER LAB,CO,December,2012
SEWARD PARK EXTENSION,3,5,56 ESSEX STREET,1,NEW YORK,10002,192,COMMUNITY CENTER,CO,December,2012
DREW-HAMILTON,5,5,2444 A C POWELL BOULEVARD,1,NEW YORK,10030,111,COMMERCIAL SPACE (STORE #1),FP,December,2012
DREW-HAMILTON,5,5,2446 A C POWELL BOULEVARD,1,NEW YORK,10030,111,COMMERCIAL SPACE (STORE #2),FP,December,2012
DREW-HAMILTON,5,5,2448 A C POWELL BOULEVARD,1,NEW YORK,10030,111,COMMERCIAL SPACE (STORE #3),FP,December,2012
DREW-HAMILTON,5,5,2450 A C POWELL BOULEVARD,1,NEW YORK,10030,111,COMMERCIAL SPACE (STORE #4),FP,December,2012
DREW-HAMILTON,5,5,2452 A C POWELL BOULEVARD,1,NEW YORK,10030,111,COMMERCIAL SPACE (STORE #5),FP,December,2012
DREW-HAMILTON,5,5,2454 A C POWELL BOULEVARD,1,NEW YORK,10030,111,COMMERCIAL SPACE (STORE #6),FP,December,2012
TAYLOR STREET-WYTHE AVENUE,5,5,80 CLYMER STREET,3,BROOKLYN,11211,234,COMMUNITY CENTER,CO,December,2012
PATTERSON,4,5,340 MORRIS AVENUE,2,BRONX,10451,24,COMMUNITY CENTER,CO,December,2012
MELTZER TOWER,1,5,94 EAST 1ST STREET,1,NEW YORK,10009,183,SENIOR CENTER/ COMMERCIAL SPACE (STORE #1),"CO, FP",December,2012
572 WARREN STREET,1,5,565 BALTIC STREET,3,BROOKLYN,11217,196,HEAD START CENTER,CO,December,2012
AMSTERDAM,3,5,206 WEST 64TH STREET,1,NEW YORK,10023,22,AFTER SCHOOL PROGRAM,CO,December,2012
EAST RIVER,3,5,404 EAST 105TH STREET,1,NEW YORK,10029,9,COMMUNITY CENTER,CO,December,2012
WSUR (SITE B) 74 WEST 92ND STREET,5,5,647 COLUMBUS AVENUE,1,NEW YORK,10025,173,COMMUNITY CENTER,CO,December,2012
LEAVITT STREET-34TH AVENUE,1,5,139-10 34TH AVENUE,4,FLUSHING,11354,201,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
ASTORIA,5,5,4-05 ASTORIA BOULEVARD,4,ASTORIA,11102,26,COMMUNITY CENTER/ SENIOR CENTER,CO,December,2012
CAREY GARDENS,4,5,2315 SURF AVENUE,3,BROOKLYN,11224,166,COMMUNITY CENTER/ COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
MANHATTANVILLE,5,5,1470 AMSTERDAM AVENUE,1,NEW YORK,10027,81,SENIOR CENTER,CO,December,2012
ROOSEVELT I,5,5,388 PULASKI STREET,3,BROOKLYN,11206,135,CHILD HEALTH CLINIC,CO,December,2012
INDEPENDENCE,5,5,110 TAYLOR STREET,3,BROOKLYN,11211,140,DAY CARE CENTER,CO,December,2012
CAMPOS PLAZA II,4,5,611 EAST 13TH STREET,1,NEW YORK,10009,286,COMMUNITY CENTER,CO,December,2012
MARSHALL PLAZA,1,5,1970 AMSTERDAM AVENUE,1,NEW YORK,10032,344,SENIOR CENTER,CO,December,2012
HIGHBRIDGE GARDENS,5,5,1165 UNIVERSITY AVENUE,2,BRONX,10452,78,DAY CARE CENTER,CO,December,2012
HIGHBRIDGE GARDENS,5,5,1155 UNIVERSITY AVENUE,2,BRONX,10452,78,COMMUNITY CENTER,CO,December,2012
HIGHBRIDGE GARDENS,5,5,1145 UNIVERSITY AVENUE,2,BRONX,10452,78,SENIOR CENTER,CO,December,2012
STAPLETON,3,6,31 WARREN STREET,5,STATEN ISLAND,10304,114,COMMUNITY OPERATIONS STORAGE - RUN BY COMMUNITY OPERATIONS DEPARTMENT,CO,December,2012
BUTLER,6,6,1458 WEBSTER AVENUE,2,BRONX,10456,113,HEAD START CENTER,CO,December,2012
BUTLER,6,6,1450 WEBSTER AVENUE,2,BRONX,10456,113,DAY CARE CENTER,CO,December,2012
DYCKMAN,6,6,3754 10TH AVENUE,1,NEW YORK,10034,41,SENIOR CENTER,CO,December,2012
SOUNDVIEW,3,6,1680 SEWARD AVENUE,2,BRONX,10473,71,COMMUNITY CENTER,CO,December,2012
ELLIOTT,3,6,447 WEST 25TH STREET,1,NEW YORK,10001,15,SCHOOL,CO,December,2012
UPACA (SITE 6),1,6,1940 LEXINGTON AVENUE,1,NEW YORK,10035,355,SENIOR CENTER,CO,December,2012
FARRAGUT,6,6,228 YORK STREET,3,BROOKLYN,11201,29,COMMUNITY CENTER / SENIOR CENTER/ COMPUTER LAB,CO,December,2012
O'DWYER GARDENS,6,6,2945 WEST 33RD STREET,3,BROOKLYN,11224,172,COMMUNITY CENTER,CO,December,2012
SHEEPSHEAD BAY,3,6,3679 NOSTRAND AVENUE,3,BROOKLYN,11229,36,COMMUNITY CENTER/ SENIOR CENTER,CO,December,2012
GUN HILL,6,6,745 MAGENTA STREET,2,BRONX,10467,40,COMMUNITY CENTER,CO,December,2012
HAMMEL,6,6,82-10 ROCKAWAY BEACH BOULEVARD,4,FAR ROCKAWAY,11693,75,DAY CARE CENTER,CO,December,2012
SHEEPSHEAD BAY,3,6,3677 NOSTRAND AVENUE,3,BROOKLYN,11229,36,NORC,CO,December,2012
SEWARD PARK EXTENSION,3,6,60 ESSEX STREET,1,NEW YORK,10002,192,DAY CARE CENTER,CO,December,2012
SEDGWICK,6,6,1531 UNIVERSITY AVENUE,2,BRONX,10453,45,DAY CARE CENTER,CO,December,2012
WEST BRIGHTON I,6,6,230 BROADWAY,5,STATEN ISLAND,10310,116,COMMUNITY CENTER/ SENIOR CENTER,CO,December,2012
SAINT MARY'S PARK,6,6,675 WESTCHESTER AVENUE,2,BRONX,10455,93,DAY CARE CENTER,CO,December,2012
ROBBINS PLAZA,1,6,343 EAST 70TH STREET,1,NEW YORK,10021,218,SENIOR CENTER,CO,December,2012
HERNANDEZ,1,6,189 ALLEN STREET,1,NEW YORK,10002,184,SENIOR CENTER,CO,December,2012
WHITMAN,3,6,149 NORTH OXFORD WALK,3,BROOKLYN,11205,514,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
MCKINLEY,6,6,751 EAST 161ST STREET,2,BRONX,10456,103,COMMUNITY CENTER,CO,December,2012
RANGEL,6,6,159-62 HARLEM RIVER DRIVE,1,NEW YORK,10039,37,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
KINGSBOROUGH,3,6,129 KINGSBOROUGH 1ST WALK,3,BROOKLYN,11233,10,COMMUNITY CENTER,CO,December,2012
ATLANTIC TERMINAL SITE 4B,1,6,501 CARLTON AVENUE,3,BROOKLYN,11238,256,COMMUNITY CENTER,CO,December,2012
MORRIS I,6,6,489 EAST 169TH STREET,2,BRONX,10456,102,COMMUNITY CENTER,CO,December,2012
