Business Organization,Business Type Other,Company Name,Company Description,Organization Location,Street Address,Apt Number,Borough,Zipcode,Business Phone,Contact Name,Contact Title,Contact Phone,Contact Fax,Location 1
Cultural Center,,Cool Culture,"Cool Culture connects low-income families and cultural institutions, empowering parents and guardians to take advantage of these unique educational resources. Our programs are specifically designed to help low-income families overcome the obstacles that prevent them from visiting arts and cultural institutions. Once these obstacles are removed, parents and guardians learn techniques and approaches to make their visits as beneficial for their children's learning as possible. And because we provide access to a range of cultural institutions, each with its own valuable resources, we offer year-round opportunities for families to support their children's education.",Cool Culture,80 Hanson Place,Suite 604,Brooklyn,11217,,Gail Velez,Co-founder,(718) 230-4186,,"80 Hanson Place
Brooklyn, NY 11217
(40.68548942065365, -73.97430272490843)"
Cultural Center,,DreamYard Drama Project,"DreamYard is committed to helping transform Bronx schools and communities through the power of innovative, project based arts education. Our schools and students are based in the nation's poorest urban county, with one-third of the Bronx's residents living below the poverty line. In response, DreamYard programs are designed to challenge the cyclical systems of inequality and poverty by empowering youth to discover and develop their best possible selves and to locate meaningful paths and ways to engage with their fellow students, schools, families, and communities. As the largest arts education provider in the Bronx, DreamYard critically impacts the social and intellectual growth of thousands of Bronx youth through safe, positive and creatively challenging programs. DreamYard's team of professional artists partner with classroom teachers and community educators to help students learn how to express, write and perform their own stories. Through yearlong programs offered during the school day, after school, on weekends and during the summer, DreamYard supports youth development, enhances life-long learning skills, and promotes creative thinking and expression.",DreamYard Drama Project,872 Gerard Ave.,#2,Bronx,10452,,Tim Lord,Co-Director,(718) 588-8807,,"872 Gerard Ave
Bronx, NY 10452
(40.82770835908759, -73.92478033093924)"
Museum/Gallery,,El Museo Del Barrio,"El Museo del Barrio was founded in 1969 by a group of Puerto Rican educators, artists, parents and community activists in East Harlem's Spanish-speaking El Barrio. Since then, El Museo del Barrio has evolved into New York’s leading Latino cultural institution, having expanded its mission to represent the diversity of art and culture in all of the Caribbean and Latin America. As the only museum in New York City that specializes in representing these cultures, El Museo del Barrio continues to have a significant impact on the cultural life of New York City and is now a major stop on Manhattan's Museum Mile on Fifth Avenue. El Museo del Barrio thrives on the sustained excellence of its collections, exhibitions and public programming.",El Museo del Barrio/ Heckscher Building,1230 Fifth Avenue,,Manhattan,10029,,Julian Zugazagoitia,Director,(212) 831-7272,,"1230 Fifth Avenue
Manhattan, NY 10029
(40.79327675974827, -73.95185048405926)"
Cultural Center,,El Puente ,"El Puente is a community human rights institution that promotes leadership for peace and justice through the engagement of members (youth and adult) in the arts, education, scientific research, wellness and environmental action. Founded in 1982 by Luis Garden Acosta, El Puente currently integrates the diverse activities and community campaigns of its Center for Arts and Culture and its Community Health and Environment Institute (CHE) within its three neighborhood Leadership Centers and its nationally recognized public high school, the El Puente Academy for Peace and Justice. Organizing in North Brooklyn and beyond, El Puente remains at the forefront of community/youth learning and development issues and as such, initiates and impacts social policy both locally and nationally.",El Puente,211 South 4th Street,,Brooklyn,11211,,Luis Garden Acosta,CEO,(718) 387-0404,,"211 4th Street
Brooklyn, NY 11211
(40.714638461899185, -73.95699753434813)"
Cultural Center,,El Taller Latino Americano,"El Taller is an arts and education organization, founded in 1979, to bridge the distance between Latin Americans and North Americans. El Taller offers a varied menu of Spanish, Portuguese and English classes, art, dance and music workshops, concerts and art exhibits that seek to gather together culturally and linguistically mixed audiences on the common ground of creativity.",El Taller Latino Americano,2710 Broadway,3rd Floor,Manhattan,10025,,Bernardo Palombo,Artistic Director,(212)665-9460,,"2710 Broadway
Manhattan, NY 10025
(40.799563020733046, -73.96818217211131)"
Other - Multi Arts,,"En Foco, Inc.","En Foco is a non-profit organization whose commitment to photography brings you outstanding work by photographers of African, Asian, Latino, Pacific Islander and Native American heritage.",En Foco,1738 Hone Avenue,,Bronx,10461,,Miriam Romais,Executive Director,(718) 409-6445,,"1738 Hone Avenue
Bronx, NY 10461
(40.84804863826081, -73.85401962535374)"
Dance Company,,Flamenco Latino,"Flamenco Latino combines flamenco dance with salsa music. The non-profit organization offers performing groups of 3 to 10 artists, has extensive experience presenting arts in education programs, offers adult classes in flamenco dance and guitar, and can provide flamenco guitarists and other musicians for background music engagements.",Flamenco Latino,250 West 54th Street,Suite 701,Manhattan,10019,,Basilio Georges,Executive Director,(212) 399-8519,,"250 54th Street
Manhattan, NY 10019
(40.76438459083905, -73.98341569590507)"
Dance Company,,Flamenco Vivo Carlota Santana,"Flamenco Vivo Carlota Santana's mission is to use the universal spirit of Flamenco to build bridges between cultures. The Company commissions new works for their annual New York Seasons at The Joyce Theater, conducts community and school programs throughout New York City and the tri-state area and tours nationally.",Flamenco Vivo Carlota Santana,481 Eighth Avenue,# 744,Manhattan,10001,,Carlota Santana,Artistic Director,(212) 736-4499,,"481 Eighth Avenue
Manhattan, NY 10001
(40.75253747182097, -73.99321929740705)"
Cultural Center,,"Fruta Extrana, Inc.","Fruta Extrana Inc., is a not-for-profit organization that produces Fruta Extrana TV. The organization was created to manage and host activities that are exclusively charitable and educational. Fruta Extrana Inc. provides the Latino and Black lesbian, gay, bisexual, two spirit and transgender (LGBTST) community in New York City with health, education and cultural support. Fruta Extrana Inc. brings several different services to this broad community, serving as a link connecting individuals with necessary resources while providing a forum for discussion and education.","Fruta Extrana, Inc.",841 Barretto Street,,Bronx,10474,,Eric Stephen Booth,CEO,(718) 842-5223,,"841 Barretto Street
Bronx, NY 10474
(40.81772239811187, -73.89043830565065)"
Cultural Center,,Harbor Conservatory for the Performing Arts,"Since 1970, the Harbor Conservatory for the Performing Arts, a division of Boys and Girls Harbor, Inc., has undertaken an important role in the preservation of AfroCaribbean Latin music. The Conservatory's efforts have revolved around three equally important activities: instruction and development of the next generation of Latin musicians; the amassing of materials which make up the unprecedented 16,000 piece Raices Latin Music Collection; and the production of historical concerts. The Harbor's world-renowned Latin Music program is complemented by equally strong Classical Music, Dance and Drama programs. With a curriculum that ranges from Contemporary Salsa and Latin Jazz to traditional Afro-Caribbean folkloric music, and a faculty of ""who's who in Latin music"" students study a variety of musical forms such as danzon, son, cha cha cha and mambo, as they learn music illustrating different periods and artists in Latin music history. At the Conservatory students enjoy the unique opportunity to learn while playing classic music made popular by artists such as Tito Puente, Celia Cruz, Johnny Pacheco and others. The Conservatory has been a recipient of both the Tito Puente Scholarship Fund and Celia Cruz Foundation.",Harbor Conservatory for the Performing Arts,1  East 104th Street,,Manhattan,10029,,Ramon Rodriguez,Director,"(212) 427-2244, ext. 572",,"1 104th Street
Manhattan, NY 10029
(40.79298338723134, -73.95200031741886)"
Cultural Center,,Harlem Arts Alliance,"The Harlem Arts Alliance is created to preserve, promote, sponsor and present the rich cultural programs that reflect the vast contributions of multi-ethnic and multi-cultural artists creating in the visual, performing and interpretive arts, literary, media, performance, and interdisciplinary arts. HAA will serve the needs of its members by creating marketing and promotional strategies, provide technical assistance, grant information, and using fund raising strategies in an effort to build new audiences and to expand cultural presentation and exhibition opportunities.",Harlem Arts Alliance,290 Lenox Avenue,,Manhattan,10027,,Linda Walton,Executive Director,(212) 410-0030 ext 279,,"290 Lenox Avenue
Manhattan, NY 10027
(40.80750403425179, -73.94557321629475)"
Cultural Center,,Henry Street Settlement,"Founded in 1893 by social work pioneer Lillian Wald and based on Manhattan's Lower East Side, the Henry Street Settlement delivers a wide range of social service and arts programming to more than 100,000 New Yorkers each year. Distinguished by a profound connection to its neighbors, a willingness to address new problems with swift and innovative solutions, and a strong record of accomplishment, Henry Street challenges the effects of urban poverty by helping families achieve better lives for themselves and their children. Henry Street's core divisions include a multidisciplinary arts center, shelter and supportive services, behavioral and health services, senior services, home care services, a workforce development center, day care centers, and after school and summer programs for neighborhood youth.",Henry Street Settlement,265 Henry Street,,Manhattan,10002,,,,(212) 766-9200,,"265 Henry Street
Manhattan, NY 10002
(40.713875617781355, -73.98434298897786)"
Cultural Center,,High 5 Tickets to the Arts,"High 5 Tickets to the Arts is a non-profit organization dedicated to making the arts affordable for teens. Through High 5, teens ages 13 to 18 can buy $5 tickets to the best of New York City dance, music, theater and visual arts events all year round.",High 5 Tickets to the Arts,1 East 53rd Street,,Manhattan,10022,,Ada Ciniglio,Executive Director,(212) 445-8587,,"1 53rd Street
Manhattan, NY 10022
(40.76041035300277, -73.97575121468601)"
Other (advocacy),,Hispanic Organization of Latin Actors (HOLA),"HOLA is an arts service organization founded in 1976 to expand the presence of Hispanic actors in both the Latino and mainstream entertainment and communications media by facilitating industry access to employing professional and emerging Hispanic actors. HOLA strives for an accurate, informed and non-stereotyped portrayal of Hispanic culture, people and heritage in theatre, film, television, radio and commercials. ",Hispanic Organization of Latin Actors (HOLA),107 Suffolk Street,#302,Manhattan,10002,,Manny Alfaro,Artistic Director,(212) 253-1015,,"107 Suffolk Street
Manhattan, NY 10002
(40.719521874540526, -73.98583731954874)"
Theater,,INTAR Theatre,"Through an integrated program of workshops, productions of works in progress, and mainstage productions, INTAR continues to raise standards of the theater arts.  INTAR brings to the public vital and energetic voices of both promising and accomplished Latino theater professionals, replacing stereotypes while giving expression to the diversity and depth of today's Latino-American community. 
 
 ",INTAR 53,508 West 53rd Street,,Manhattan,10019,,Editha Rosario,Executive Director,(212) 695-6134,,"508 53rd Street
Manhattan, NY 10019
(40.76699984116421, -73.99152109588786)"
Cultural Center,,InterSchool Orchestras of New York,"The goals of the InterSchool Orchestras of New York are: To provide a graded, systematic orchestral education program for children of all ages and ablilities, bringing together students from all economic, cultural and racial backgrounds to play orchestral and chamber music; To encourage and educate school children to pursue high standards in the performance of this music; to enjoy its pleasures both as performers and as listeners; to supply expertise and advice to parents and children seeking musical information and guidance; To stimulate and assist schools in developing instrumental programs; to support schools with continuing music programs; to supply expertise, staff and advice to achieve these ends. ",InterSchool Orchestras of New York,1556 Third Avenue,#601,Manhattan,10128,,Nora Stanton Gibson,Executive Director,(212) 410-0370,,"1556 Third Avenue
Manhattan, NY 10128
(40.779741092714346, -73.95333981557869)"
