BIN Number,Building,SqFt,Electric, 2006 Natural Gas Usage,2006 Fuel Oil #2- Delivery,2006 Fuel Oil #4 - Delivery,2006 Fuel Oil #6 - Delivery,2006 Steam usage,2011 Electric usage,2011 Natural Gas usage ,2011 Fuel Oil #2 B5 - Delivery,2011 Fuel Oil #2- Delivery,2011 Fuel Oil #4 - Delivery,2011 Fuel Oil #6 - Delivery,2011 Steam usage,Types
2002704,Bronx Family and Criminal Court,,,,,,,,,,N/A,5007,N/A,N/A,,Gas Primary/FO Secondary
3331865,Red Hook Community Court,,,,,,,,,,N/A,NA,NA,NA,,Leased Space for Which DCAS pays the energy bill
4438731,Queens Family Court,,,,,,,,,,N/A,464,N/A,N/A,,Gas Primary/FO Secondary
2101266,Bronx Housing Court,,,,,,,,,,N/A,263,N/A,N/A,,Gas Primary/FO Secondary
4000698,Long Island City Courthouse,,,,,,,,,,N/A,850,N/A,N/A,,Gas Primary/FO Secondary
4207071,Queens Supreme Court,,,,,,,,,,662,N/A,N/A,N/A,,Gas Primary/FO Secondary
1001842,Manhattan Family Court,,,,,,,,,,N/A,N/A,N/A,N/A,,ConEd Steam
5004530,Staten Island Civil Court,,,,,,,,,,N/A,NA,NA,NA,,Gas Only
1001833,Manhattan Civil Court,,,,,,,,,,N/A,NA,NA,NA,,ConEd Steam
4448759,Queens Civil Court,,,,,,,,,,N/A,1224,NA,NA,,Gas Primary/FO Secondary
3167212,Dyker School,,,,NA,NA,NA,,,,N/A,2000,NA,NA,,
3025510,John Jay High School,,,,NA,NA,261648,,,,N/A,2000,NA,232200,,
1001388,Murry Bergtraum High School,,,,NA,NA,NA,,,,N/A,NA,NA,NA,,
3378160,Emma L. Johnston School,,,,7302,NA,NA,,,,N/A,3500,NA,NA,,
3081032,Dr. Rose B. English,,,,NA,NA,57351,,,,N/A,NA,NA,NA,,
3177680,The Highlawn School,,,,NA,21503,NA,,,,N/A,NA,25004,NA,,
2003051,P.S.73X,,,,74015,NA,NA,,,,N/A,79500,NA,NA,,
1076751,George Washington High School,,,,43320,NA,59168,,,,N/A,NA,NA,225640,,
2027459,James Monroe High School,,,,NA,NA,187311,,,,N/A,NA,NA,153259,,
2082444,The City Island School,,,,NA,15505,NA,,,,N/A,NA,21504,NA,,
1052384,Roberto Clemente,,,,NA,NA,NA,,,,N/A,NA,NA,NA,,
4529898,P.S.208Q,,,,NA,NA,NA,,,,N/A,3000,NA,NA,,
1001037,High School of Economics & Finance,,,,NA,NA,NA,,,,N/A,NA,NA,NA,,
4195688,Richmond Hill High School,,,,NA,NA,134732,,,,N/A,NA,NA,128012,,
1001035,High School for Leadership in Public Services,,,,NA,NA,NA,,,,N/A,NA,NA,NA,,
3045047,George E. Wibecan School,,,,NA,NA,47830,,,,N/A,NA,NA,42342,,
1064871,Shorac Kappock School,,,,NA,NA,NA,,,,N/A,NA,NA,NA,,
3085070,Roberto Clemente School,,,,NA,NA,34161,,,,N/A,NA,NA,29191,,
3043248,Thaddeus Stevens School,,,,NA,NA,47891,,,,N/A,NA,NA,NA,,
4181565,Forest Park School,,,,2000,NA,NA,,,,N/A,2500,NA,NA,,
4085173,Seneca School,,,,6502,NA,NA,,,,N/A,NA,NA,NA,,
2013899,Middle School 399,,,,NA,NA,87524,,,,N/A,NA,NA,NA,,
4004170,Dutch Kills,,,,3001,NA,NA,,,,N/A,7700,NA,NA,,
3032886,Medger Evers Middle College,,,,NA,NA,NA,,,,N/A,NA,NA,NA,,
2011810,Theodore Roosevelt High School,,,,NA,NA,266589,,,,N/A,NA,NA,183350,,
2010604,MS / High School 270,,,,NA,NA,NA,,,,N/A,NA,NA,NA,,
4467711,P.S.43Q,,,,1978,NA,NA,,,,N/A,5400,NA,NA,,
3083660,William H. Maxwell High School,,,,NA,NA,NA,,,,N/A,NA,NA,NA,,
3154215,Brooklyn School District 20,,,,NA,NA,NA,,,,N/A,2001,NA,NA,,
4268900,Saint Albans School,,,,NA,22433,NA,,,,N/A,NA,19009,NA,,
2086851,George J. Werdan III School,,,,NA,NA,NA,,,,N/A,NA,NA,NA,,
2096013,Institute for Environmental Learning,,,,NA,NA,NA,,,,N/A,NA,NA,NA,,
5113169,The Michael J. Petrides School,,,,2283,NA,NA,,,,N/A,18665,NA,NA,,
3246519,Manhattan Beach School,,,,NA,NA,NA,,,,N/A,NA,NA,NA,,
2097990,The Multiple Intelligence School,,,,NA,NA,NA,,,,N/A,NA,NA,NA,,
1087537,Norman Thomas High School,,,,NA,NA,NA,,,,N/A,NA,NA,NA,,
