PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
Family Support,Fatherhood Initiative,Friends of the Island Academy ,New York ,Friends of Island Academy,212.760.0755,16 to 24,"330 38th Street
New York, NEW YORK 10018
(40.755442281975604, -73.99338117537229)"
Family Support,Fatherhood Initiative,Midtown Community Court,New York ,Fund for the City of New York/Center for Court Innovation,646.264.1329,16 to 24,"314 54 Street
New York, NEW YORK 10019
(40.76519093277318, -73.98524231100714)"
Family Support,Fatherhood Initiative,Neighborhood Defender Service of Harlem,New York ,Neighborhood Defender Service of Harlem,212.876.5500,16 to 24,"317 Lenox Avenue
New York, NEW YORK 10027
(40.8084771781372, -73.94510035450739)"
Family Support,Fatherhood Initiative,Oberia Dempsey Center ,New York ,The Northern Manhattan Perinatal Partnership Inc.,212.665.2600,16 to 24,"127 127th
New York, NEW YORK 10027
(40.80943881923591, -73.94534192638868)"
Family Support,Fatherhood Initiative,Washington Houses Community Center ,New York ,Union Settlement Association,212.828.6113,16 to 24,"237 104th Street
New York, NEW YORK 10029
(40.78992458809426, -73.94476913120286)"
Family Support,Fatherhood Initiative,"Strive/East Harlem Employment Service, Inc. ",New York ,"East Harlem Employment Services, Inc.",212.360.1100,16 to 24,"240 123rd Street
New York, NEW YORK 10035
(40.801631007365245, -73.9350355660456)"
Family Support,Fatherhood Initiative,The New York Society for the Prevention of Cruelty to Children,New York ,The New York Society for the Prevention of Cruelty to Children,212.233.5500,16 to 24,"161 William Street
New York, NEW YORK 10038
(40.70999953983505, -74.00601664988397)"
Family Support,Fatherhood Initiative,Parkside Houses,Bronx,Friends of Island Academy,718.653.5301,16 to 24,"2910 Bronx Park
Bronx, NEW YORK 10467
(40.86817216465264, -73.87044025446647)"
Family Support,Fatherhood Initiative,FRIENDS Program,Bronx,Visiting Nurse Service of New York,212.794.9200,16 to 24,"389 391 East 153rd Street
Bronx, NEW YORK 10455
(40.813535754971156, -73.9053552520432)"
Family Support,Fatherhood Initiative,"Claremont Neighborhood Centers, Inc. ",Bronx,"Claremont Neighborhood Centers, Inc.",718.588.1000,16 to 24,"489 169th Street
Bronx, NEW YORK 10456
(40.83300943887456, -73.90573521731622)"
Family Support,Fatherhood Initiative,Nursing Family Partnership ,Bronx,Visiting Nurse Service of New York,718.402.3900 ,16 to 24,"489 491 East 153 Street
Bronx, NEW YORK 10454
(40.805846930091775, -73.91628504651766)"
Family Support,Fatherhood Initiative,Family and Community Support Services,Brooklyn,Family and Community Support Services,347.879.3367,16 to 24,"124 Utica
Brooklyn, NEW YORK 11233
(40.67752593238575, -73.93033516817815)"
Family Support,Fatherhood Initiative,Ralph Lincoln Service Center ,Brooklyn,"Ralph Lincoln Service Center, Inc.",718.604.1358,16 to 24,"261 Buffalo Avenue
Brooklyn, NEW YORK 11213
(40.67003864096985, -73.92540014432034)"
Family Support,Fatherhood Initiative,Project Bridge ,Brooklyn,"Catholic Charities Neighborhood Services, Inc.",718.628.1905,16 to 24,"52 Wilson Avenue
Brooklyn, NEW YORK 11237
(40.70259055255882, -73.9290890577379)"
Family Support,Fatherhood Initiative,Coalition for Hispanic Family Services ,Brooklyn,Coalition for Hispanic Family Services,718.497.6090,16 to 24,"315 Wyckoff Avenue
Brooklyn, NEW YORK 11237
(40.700089964438455, -73.91203291222284)"
Family Support,Fatherhood Initiative,Forestdale at Forest Hills Campus,Queens,"Forestdale, Inc",718.263.0740,16 to 24,"67 35 112 Street
Queens, NEW YORK 11375
(40.720707263029794, -73.84628429608335)"
Family Support,Fatherhood Initiative,Allen AME Multi-Center (Annex),Queens,"Forestdale, Inc",718.263.0740,16 to 24,"1114 02
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
Family Support,Health Stat Initiative,The Children's Aid Society,Bronx,The Children's Aid Society,718.617.8595,All Ages,"1338 Southern Blvd&nbsp; Bx
Bronx, NEW YORK 10460
(40.84309034804119, -73.87860282506028)"
Family Support,Health Stat Initiative,"The East New York Learning Center, Inc",Brooklyn,"The East New York Learning Center, Inc",718.756.7200,All Ages,"1958 Fulton&nbsp; St
Brooklyn, NEW YORK 11233
(40.67813043816926, -73.91977647550391)"
Family Support,Health Stat Initiative,"The East New York Learning Center, Inc",Brooklyn,"The East New York Learning Center, Inc",718.756.7201,All Ages,"1959 Fulton&nbsp; St
Brooklyn, NEW YORK 11233
(40.67813043816926, -73.91977647550391)"
Family Support,Health Stat Initiative,"The East New York Learning Center, Inc",Brooklyn,"The East New York Learning Center, Inc",718.756.7202,All Ages,"1960 Fulton&nbsp; St
Brooklyn, NEW YORK 11233
(40.67813043816926, -73.91977647550391)"
Family Support,Health Stat Initiative,The Children's Aid Society,New York,The Children's Aid Society,212.503.6820,All Ages,"150 45th St
New York, NEW YORK 10017
(40.75294216673416, -73.9736410568292)"
Family Support,Health Stat Initiative,Northern Manhattan Improvement Corporation,New York,Northern Manhattan Improvement Corporation,212.822.8344,All Ages,"76 Wadsworth Ave
New York, NEW YORK 10033
(40.84705167605878, -73.93704472494271)"
Family Support,Health Stat Initiative,Asian Americans for Equality,Queens,Asian Americans for Equality,718.961.0888,All Ages,"133 04 39th Ave
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
Family Support,Health Stat Initiative,Asian Americans for Equality,Queens,Asian Americans for Equality,718.961.0888,All Ages,"93 03 Roosevelt Ave
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
Family Support,Health Stat Initiative,"Jewish Community Center of Staten Island, Inc.",Staten Island,"Jewish Community Center of Staten Island, Inc.",718. 981.1400,All Ages,"1859 Victory Blvd
Staten Island, NEW YORK 10314
(40.61290258996254, -74.12559801832025)"
Family Support,HIV/AIDS Support Services,East Harlem Neighborhood Based Alliance Corporation,New York,East Harlem Neighborhood Based Alliance Corporation,212.360.1100,,"240 123 Street
New York, NEW YORK 10035
(40.801631007365245, -73.9350355660456)"
Family Support,HIV/AIDS Support Services,"Davidson Community Center, Inc.",Bronx,"Davidson Community Center, Inc.",718.731.6360,,"2038 Davidson Avenue
Bronx, NEW YORK 10453
(40.85374837851653, -73.90853996733885)"
Family Support,HIV/AIDS Support Services,"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718.784.7447,,"10 25 41st Avenue
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
Family Support,HIV/AIDS Support Services,The Fathers Center ,Brooklyn,The Family Center,212 766-4522,MS/HS,"584 Nostrand Avenue
Brooklyn, NEW YORK 11215
(40.678763354677244, -73.94970120133162)"
Family Support,HIV/AIDS Support Services,SEP at Worldwide Evangelical Church,Queens,"AIDS Center of Queens County, Inc.",718.896.2500,,"113 02
Queens, NEW YORK 11405
(40.70466900007432, -73.79425899955316)"
Family Support,HIV/AIDS Support Services,ACQC Jamaica Service Center,Queens,"AIDS Center of Queens County, Inc.",718.896.2500,,"88 10 178th Street
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
Family Support,HIV/AIDS Support Services,"AIDS Center of Queens County, Inc.",Queens,"AIDS Center of Queens County, Inc.",718 896-2500,,
Family Support,HIV/AIDS Support Services,SEP at Bethseda Baptist Church ,Queens,"AIDS Center of Queens County, Inc.",718.896.2500,,"179 09 Jamaica Avenue
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
Family Support,HIV/AIDS Support Services,National Council for Negro Women of Greater New York,Queens,National Council for Negro Women of Greater New York,718.657.8585,MS/HS,"114 02 Guy R Brewer Boulevard
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
Family Support,Housing Assistance & Advocacy,AAFE Chinatown / Lower East Side,New York,Asian Americans for Equality,212.680.1374,Adults,"108 Norfolk Street
New York, NEW YORK 10002
(40.71897477368748, -73.98705894150635)"
Family Support,Housing Assistance & Advocacy,Cooper Square Community Development & Business Association,New York,Cooper Square Community Development & Business Association,212.228.8210,Adults,"61 4th Street
New York, NEW YORK 10003
(40.726940950792155, -73.99113355652129)"
Family Support,Housing Assistance & Advocacy,"Catholic Charities Community Service, Archdiocese of N Y",New York,"Catholic Charities Community Service, Archdiocese of N Y",212.371.1000,Adults,"1011 First Avenue
New York, NEW YORK 10022
(40.7572783324888, -73.96371387829234)"
Family Support,Housing Assistance & Advocacy,"Stryckers Bay Neighborhood Council, Inc.",New York,"Stryckers Bay Neighborhood Council, Inc.",212.874.7272,Adults,"63 87th Street
New York, NEW YORK 10024
(40.787026471644594, -73.97133879243415)"
Family Support,Housing Assistance & Advocacy,Catholic Charities Community Services-Washington Heights ,New York,"Catholic Charities Community Service, Archdiocese of N Y",212.371.1000,Adults,"4111 Broadway
New York, NEW YORK 10033
(40.845160338750205, -73.93878884162382)"
Family Support,Housing Assistance & Advocacy,Northern Manhattan Improvement Corporation,New York,Northern Manhattan Improvement Corporation,212.822.8300,Adults,"76 Wadsworth Avenue
New York, NEW YORK 10033
(40.84705167605878, -73.93704472494271)"
Family Support,Housing Assistance & Advocacy,"Washington Heights- Inwood Coalition, Inc",New York,"Washington Heights- Inwood Coalition, Inc",212.781.6722,Adults,"652 187th Street
New York, NEW YORK 10033
(40.85360240438229, -73.932345278359)"
Family Support,Housing Assistance & Advocacy,Audubon Partnership for Economic Development LDC,New York,Audubon Partnership for Economic Development LDC,212.544.2400,Adults,"513 207th Street
New York, NEW YORK 10034
(40.86497071192406, -73.91947489100443)"
Family Support,Housing Assistance & Advocacy,Townsend Office ,Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,Adults,"1477 Townsend Avenue
Bronx, NEW YORK 10452
(40.841513488175195, -73.9156620372896)"
Family Support,Housing Assistance & Advocacy,Neighborhood Association for Inter-Cultural Affairs,Bronx,Neighborhood Association for Inter-Cultural Affairs,718.538.3344,Adults,"1075 Grand
Bronx, NEW YORK 10452
(40.83772426336412, -73.9233322114124)"
Family Support,Housing Assistance & Advocacy,"Pueblo En Marcha, Inc.",Bronx,"Pueblo En Marcha, Inc.",718.665.7375,Adults,"401 145th Street
Bronx, NEW YORK 10454
(40.81355541300932, -73.91962186908926)"
Family Support,Housing Assistance & Advocacy,South Bronx Action Group,Bronx,South Bronx Action Group,718.993.5869,Adults,"384 149th Street
Bronx, NEW YORK 10455
(40.81619506491741, -73.91850118148372)"
Family Support,Housing Assistance & Advocacy,"Citizens Advice Bureau, Inc.",Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,Adults,"632 Southern Boulevard
Bronx, NEW YORK 10455
(40.812893537386145, -73.90133270321454)"
Family Support,Housing Assistance & Advocacy,"163rd Street Improvement Council, Inc.",Bronx,"163rd Street Improvement Council, Inc.",718.589.5080,Adults,"1345 Franklin Avenue
Bronx, NEW YORK 10456
(40.83287024298541, -73.9011071762243)"
Family Support,Housing Assistance & Advocacy,West Bronx Housing & Neighborhood Resource Center,Bronx,West Bronx Housing & Neighborhood Resource Center,718.798.0929,Adults,"3176 Bainbridge
Bronx, NEW YORK 10467
(40.87538599143666, -73.87947666045017)"
Family Support,Housing Assistance & Advocacy,Bedford Park ,Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,Adults,"2925 Grand
Bronx, NEW YORK 10468
(40.86785065240455, -73.89951166617763)"
Family Support,Housing Assistance & Advocacy,Agudath Israel of America /SBCO,Brooklyn,Agudath Israel of America /SBCO,718.435.1300,Adults,"4520 18th Avenue
Brooklyn, NEW YORK 11204
(40.63020611696117, -73.97835931750974)"
Family Support,Housing Assistance & Advocacy,Brooklyn Neighborhood Improvement Association,Brooklyn,Brooklyn Neighborhood Improvement Association,718.773.4116,Adults,"1482 St Johns Place
Brooklyn, NEW YORK 11213
(40.67047059360309, -73.92935613018749)"
Family Support,Housing Assistance & Advocacy,CAMBA's Park Slope Women's Shelter,Brooklyn,"Church Avenue Merchants Block Association, Inc.",718.287.2600,Adults,"1402 Eighth Avenue
Brooklyn, NEW YORK 11215
(40.66272539519599, -73.98177254331561)"
Family Support,Housing Assistance & Advocacy,"Brooklyn Housing and Family Services, Inc.",Brooklyn,"Brooklyn Housing and Family Services, Inc.",718.435.7585,Adults,"415 Albemarle Road
Brooklyn, NEW YORK 11218
(40.64548060202624, -73.97668803303637)"
Family Support,Housing Assistance & Advocacy,Boro Park Jewish Community Council,Brooklyn,Boro Park Jewish Community Council,718.972.6600,Adults,"4608 13th Avenue
Brooklyn, NEW YORK 11219
(40.63667021309369, -73.9904592808461)"
Family Support,Housing Assistance & Advocacy,Brooklyn Chinese American Association,Brooklyn,Brooklyn Chinese American Association,718.438.9312,Adults,"5002 8th Avenue
Brooklyn, NEW YORK 11220
(40.64109442766902, -74.00377165549868)"
Family Support,Housing Assistance & Advocacy,Brooklyn Chinese American Association,Brooklyn,Brooklyn Chinese American Association,718.438.9312,Adults,"5000 8th Avenue
Brooklyn, NEW YORK 11220
(40.641104606526014, -74.0037599239347)"
Family Support,Housing Assistance & Advocacy,Flatbush Development Corporation,Brooklyn,Flatbush Development Corporation,718.859.3800,Adults,"1616 Newkirk Avenue
Brooklyn, NEW YORK 11226
(40.6359962740795, -73.96230212887792)"
Family Support,Housing Assistance & Advocacy,Polonians Organized to Minister to Our Community,Brooklyn,Polonians Organized to Minister to Our Community,718.326.9098,Adults,"635 4th Avenue
Brooklyn, NEW YORK 11232
(40.6637887581987, -73.99440962736499)"
Family Support,Housing Assistance & Advocacy,AAFE Queens ,Queens,Asian Americans for Equality,212.680.1374,Adults,"133 04 39th Avenue
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
Family Support,Housing Assistance & Advocacy,Asian Americns for Equality,Manhattan,Asian Americans for Equality                                ,212.979.8381,Adults,"108 111 Norfolk Street
Manhattan, NEW YORK 10002
(40.71612146793143, -73.98583147024613)"
Family Support,Housing Assistance & Advocacy,Asian Americns for Equality,Queens,Asian Americans for Equality                                ,718.961.0888,Adults,"133 04-39th Avenue
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
Family Support,Housing Assistance & Advocacy,"Brooklyn Housing and Family Services, Inc.",Brooklyn,"Brooklyn Housing and Family Services, Inc.                  ",718.435.7585,Adults,
Family Support,Housing Assistance & Advocacy,Brooklyn Housing and Family,Brooklyn,"Brooklyn Housing and Family Services, Inc.                  ",718.435.7585,Adults,"415 Albermarle Road
Brooklyn, NEW YORK 11218
(40.64322700851966, -73.9764486221062)"
Family Support,Housing Assistance & Advocacy,Brooklyn Housing and Family,Brooklyn,"Brooklyn Housing and Family Services, Inc.                  ",718.435.7585,Adults,"415 Albermarle Road
Brooklyn, NEW YORK 11218
(40.64322700851966, -73.9764486221062)"
Family Support,Housing Assistance & Advocacy,Flatbush Development Corporation,Brooklyn,Flatbush Development Corporation                            ,718.859.4763,Adults,
Family Support,Housing Assistance & Advocacy,Northern Manhattan Improvement Corporation,New York,Northern Manhattan Improvement Corporation                  ,212.822.8336,18 and up,"76 Wadswortth Avenue
New York, NEW YORK 10033
(40.84705167605878, -73.93704472494271)"
Family Support,Older Adult Program,Asian Americans for Equality,Flushing,Asian Americans for Equality                                ,718.961.0888,Seniors,"133 04 39th Avenue
Flushing, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
Family Support,Older Adult Program,COJO of Flatbush,Flatbush,Council of Jewish Organizations of Flatbush                 ,718.627.5602,Seniors,"1658 Coney Island Ave
Flatbush, NEW YORK 11230
(40.616970915722995, -73.96378533350548)"
Family Support,Older Adult Program,COJO of Flatbush,Flatbush,Council of Jewish Organizations of Flatbush                 ,718.627.5602,Seniors,"1658 Coney Island Ave
Flatbush, NEW YORK 11230
(40.616970915722995, -73.96378533350548)"
Family Support,Older Adult Program,COJO of Flatbush,Flatbush,Council of Jewish Organizations of Flatbush                 ,718.627.5602,Seniors,"1658 Coney Island Ave
Flatbush, NEW YORK 11230
(40.616970915722995, -73.96378533350548)"
Family Support,Older Adult Program,Greater Chinatown Comm. Assoc,Chinatown,Greater Chinatown Community Association                     ,212.374.1311,Seniors,"105 Mosco Street
Chinatown, NEW YORK 10013
(40.714478163541, -73.99923576178304)"
Family Support,Older Adult Program,U.J. C. of the East Side,Lower East Side,"United Jewish Council of the East Side, Inc.                ",212.233.6037,Seniors,"235 Broadway
Lower East Side, NEW YORK 10002
(40.714321356871665, -73.98661094444209)"
Family Support,Older Adult Program,The Baruch Elder Services Team (BEST) Program ,New York,"Grand Street Settlement, Inc.",212.982.4171,Seniors,"72 Columbia Street
New York, NEW YORK 10002
(40.717388686577515, -73.98001783276366)"
Family Support,Older Adult Program,Henry Street Settlement Senior Services Center ,New York,Henry Street Settlement,212.766.9200,Seniors,"334 Madison Street
New York, NEW YORK 10002
(40.71329016943547, -73.9830168780469)"
Family Support,Older Adult Program,Vladeck Cares N.O.R.C. ,New York,Henry Street Settlement,212.766.9200,Seniors,"351 Madison Street
New York, NEW YORK 10002
(40.713407305684896, -73.9824873659316)"
Family Support,Older Adult Program,"United Jewish Council of the East Side, Inc.",New York,"United Jewish Council of the East Side, Inc.",212.233.6037,Seniors,"235 Broadway
New York, NEW YORK 10002
(40.71436125167719, -73.98646538896702)"
Family Support,Older Adult Program,Greater Chinatown Community Association,New York,Greater Chinatown Community Association,212.374.1311,Seniors,"105 Mosco Street
New York, NEW YORK 10013
(40.714478163541, -73.99923576178304)"
Family Support,Older Adult Program,"St Matthews & St. Timonthys Neighborhood Center, Inc.",New York,"St. Matthews & St. Timothys Neighborhood Center, Inc.",212.362.6750,Seniors,"263 86th Street
New York, NEW YORK 10024
(40.7887128410752, -73.97736302500698)"
Family Support,Older Adult Program,"Fort Washington Houses Services for the Elderly, Inc.",New York,"Fort Washington Houses Services for the Elderly, Inc.",212.927.5600,Seniors,"99 Fort Washington Avenue
New York, NEW YORK 10032
(40.8390432578193, -73.94352276206791)"
Family Support,Older Adult Program,Seniors Helping Seniors,New York,Seniors Helping Seniors,212.543.9383,Seniors,"600 168 Street
New York, NEW YORK 10032
(40.8411278753413, -73.9399616966274)"
Family Support,Older Adult Program,ARC XVI FT. WASHINGTON INC.,New York,ARC XVI FT. WASHINGTON INC.,212.781.5700,Seniors,"4111 Broadway
New York, NEW YORK 10033
(40.845160338750205, -73.93878884162382)"
Family Support,Older Adult Program,RAIN Inwood Senior Center ,New York,"Regional Aid For Interim Needs, Inc. (R.A.I.N.)",718.892.5520,Seniors,"84 Vermilyea Ave
New York, NEW YORK 10034
(40.86598620242693, -73.92278693146737)"
Family Support,Older Adult Program,YM-YWHA of Washington Heights Inwood,New York,"Institute For Puerto Rican Hispanic Elderly, Inc.",212.677.4181,Seniors,"54 Nagle Avenue
New York, NEW YORK 10040
(40.86003561997804, -73.92907209539446)"
Family Support,Older Adult Program,"Aging In America Community Services, Inc",Bronx,"Aging In America Community Services, Inc",718.409.7979,Seniors,"1500 Pelham Parkway
Bronx, NEW YORK 10461
(40.85710649548991, -73.84367515955307)"
Family Support,Older Adult Program,Parkchester Enhancement Program for Seniors,Bronx,Beth Abraham Health Services,718.409.1619,Seniors,"1525 Unionport Road
Bronx, NEW YORK 10462
(40.83691390411333, -73.85758628828341)"
Family Support,Older Adult Program,RAIN Multi Services for Seniors,Bronx,"Regional Aid For Interim Needs, Inc.(R.A.I.N.)",718.892.5520,Seniors,"2368 Westchester
Bronx, NEW YORK 10462
(40.836448853178055, -73.84704226766401)"
Family Support,Older Adult Program,Baychester Community Center ,Bronx,"Aging In America Community Services, Inc",718 409-7979,Seniors,"1220 229th Street
Bronx, NEW YORK 10466
(40.88459636702252, -73.84273298546154)"
Family Support,Older Adult Program,Filomena Gardens,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"641 225 Street
Bronx, NEW YORK 10466
(40.888362327283964, -73.86213681347961)"
Family Support,Older Adult Program,Mercy Houses,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"644 232 Street
Bronx, NEW YORK 10466
(40.89323716441264, -73.8593315590994)"
Family Support,Older Adult Program,Mercy Manor ,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"4170 Carpenter Avenue
Bronx, NEW YORK 10466
(40.89360386428615, -73.86061453248679)"
Family Support,Older Adult Program,St. Lukes,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"3911 Barnes Avenue
Bronx, NEW YORK 10466
(40.885144265015896, -73.85860615419493)"
Family Support,Older Adult Program,Pelham Parkway Senior Center,Bronx,Conscientious Musical Revues,800.624.8474,Seniors,
Family Support,Older Adult Program,Riverdale YM-YWHA,Bronx,Riverdale YM-YWHA,718.548.8200,Seniors,"5625 Arlington Avenue
Bronx, NEW YORK 10471
(40.90505439236596, -73.90714580467755)"
Family Support,Older Adult Program,Soundview Houses Senior Center ,Bronx,Conscientious Musical Revues,800.624.8474,Seniors,"1674 Seward Avenue
Bronx, NEW YORK 10473
(40.81833626051053, -73.8690767014725)"
Family Support,Older Adult Program,Carol Gardens,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"880 Thieriot Avenue
Bronx, NEW YORK 10473
(40.82327888267286, -73.86241277558031)"
Family Support,Older Adult Program,San Andres Church,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"351 Soundview Avenue
Bronx, NEW YORK 10473
(40.8130069544523, -73.85738998185833)"
Family Support,Older Adult Program,Jaime Towers,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"2050 Seward Avenue
Bronx, NEW YORK 10473
(40.82049015838661, -73.85308993692624)"
Family Support,Older Adult Program,St. Andrews House ,Bronx,"Neighborhood Self-Help by Older Persons Projects, Inc.",718.542.0006,Seniors,"2155 Virgil Place
Bronx, NEW YORK 10473
(40.8223487885949, -73.85023957560342)"
Family Support,Older Adult Program,RAIN Boston Secor S.C.,Bronx,"Regional Aid For Interim Needs, Inc. (R.A.I.N.)",718.892.5520,Seniors,"3540 Bivona Street
Bronx, NEW YORK 10475
(40.8834397447261, -73.8333333132606)"
Family Support,Older Adult Program,Agudath Israel of America / SBCO,Brooklyn,Agudath Israel of America / SBCO,718.435.1300,Seniors,"4520 18th Avenue
Brooklyn, NEW YORK 11204
(40.63020611696117, -73.97835931750974)"
Family Support,Older Adult Program,Yolanda Senior Center,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,Seniors,"78 Troutman
Brooklyn, NEW YORK 11206
(40.69880327788773, -73.93095466026926)"
Family Support,Older Adult Program,"Wayside Out Reach Development, Inc",Brooklyn,"Wayside Out Reach Development, Inc",718.453.2700,Seniors,"1746 60
Brooklyn, NEW YORK 11207
(40.670802431187326, -73.89384115004901)"
Family Support,Older Adult Program,"American Italian Coalition of Organizations, Inc.",Brooklyn,"American Italian Coalition of Organizations, Inc.",718.256.3445,Seniors,"138 Bay 20th Street
Brooklyn, NEW YORK 11214
(40.603729360660516, -74.00400341659432)"
Family Support,Older Adult Program,Restoration Plaza ,Brooklyn,"Institute For Puerto Rican Hispanic Elderly, Inc.",212.677.4181,Seniors,"1368 Fulton Street
Brooklyn, NEW YORK 11216
(40.68016709769277, -73.94592248315027)"
Family Support,Older Adult Program,"Council of Neighborhood Organizations, Inc.",Brooklyn,"Council of Neighborhood Organizations, Inc.",718.853.0100,Seniors,"3911 Fort Hamilton Parkway
Brooklyn, NEW YORK 11218
(40.64308126028002, -73.99056118499203)"
Family Support,Older Adult Program,"Guardians of the Sick, Inc.",Brooklyn,"Guardians of the Sick, Inc.",718.438.2020,Seniors,"5216 11th Avenue
Brooklyn, NEW YORK 11219
(40.635910755077674, -73.9983983514248)"
Family Support,Older Adult Program,BCA Senior Center ,Brooklyn,Brooklyn Chinese American Association,718.438.9312,Seniors,"6809 20th Avenue
Brooklyn, NEW YORK 11204
(40.614704025531445, -73.98771039717887)"
Family Support,Older Adult Program,Brooklyn Chinese American Association,Brooklyn,Brooklyn Chinese American Association,718.438.9312,Seniors,"5010 8th Avenue
Brooklyn, NEW YORK 11220
(40.64105371224104, -74.00381858175466)"
Family Support,Older Adult Program,Community Service Center Area IV,Brooklyn,Community Service Center Area IV,718.574.0873,Seniors,"518 Van Buren Street
Brooklyn, NEW YORK 11221
(40.69179092994217, -73.92796711904296)"
Family Support,Older Adult Program,Gates Senior Center ,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,Seniors,"1349 Gates Avenue
Brooklyn, NEW YORK 11221
(40.695282660522736, -73.91642982596275)"
