Affiliated Base License Number,License Number,Name of Licensee,License Type,DMV License Plate,VIN,Model Year,License Expiration Date
B90034,5103420,AMBULETTE PRN INC_ D/B/A/ NEW YORK CITY AMBULETTE,Paratransit Vehicle,T449813C,1FTSS34L56DB00248,2006,02/22/2012 08:00:00 AM +0000
B90034,5103425,AMBULETTE PRN INC_ D/B/A/ NEW YORK CITY AMBULETTE,Paratransit Vehicle,T416292C,1FTSS34L76DB00249,2006,02/22/2012 08:00:00 AM +0000
B90034,5243821,AMBULETTE PRN INC_ D/B/A/ NEW YORK CITY AMBULETTE,Paratransit Vehicle,T489772C,1FTNE24W78DB29939,2008,11/08/2012 08:00:00 AM +0000
B90034,5286790,AMBULETTE PRN INC_ D/B/A/ NEW YORK CITY AMBULETTE,Paratransit Vehicle,T505621C,1FTNE24W68DA16158,2008,02/04/2012 08:00:00 AM +0000
B90034,5286793,AMBULETTE PRN INC_ D/B/A/ NEW YORK CITY AMBULETTE,Paratransit Vehicle,T505620C,1FTNE24W88DA16159,2008,02/04/2012 08:00:00 AM +0000
B90034,5380096,NEW YORK CITY AMBULETTE LLC,Paratransit Vehicle,T605279C,1FTNE2EWXADB01976,2010,11/09/2012 08:00:00 AM +0000
B90034,5388206,NEW YORK CITY AMBULETTE LLC,Paratransit Vehicle,T607888C,1FTNE24W89DA14123,2009,02/14/2013 08:00:00 AM +0000
B90034,5401173,NEW YORK CITY AMBULETTE LLC,Paratransit Vehicle,T612655C,1FTNE24W86DA93725,2006,05/31/2013 07:00:00 AM +0000
B90038,,ALERT AMBULETTE SERVICE CORP,Paratransit Vehicle,T434508C,1FTNS1EW6ADA33937,2010,06/30/2012 07:00:00 AM +0000
B90038,,ALERT AMBULETTE SERVICE CORP,Paratransit Vehicle,T499386C,1FTNS24WX6HA96658,2006,05/27/2013 07:00:00 AM +0000
B90038,,ALERT AMBULETTE SERVICE CORP,Paratransit Vehicle,T434233C,1FTNS24WX6DB33795,2006,05/12/2012 07:00:00 AM +0000
B90038,,ALERT AMBULETTE SERVICE CORP,Paratransit Vehicle,T434240C,1FMRE11W03HA79835,2003,11/12/2011 08:00:00 AM +0000
B90038,,ALERT AMBULETTE SERVICE CORP,Paratransit Vehicle,T434235C,1FTNS1EW0ADB02668,2010,11/12/2012 08:00:00 AM +0000
B90038,5094455,ALERT AMBULETTE SERVICE CORP,Paratransit Vehicle,T404691C,1FTNS24W46DB33792,2006,09/27/2013 07:00:00 AM +0000
B90038,5094459,ALERT AMBULETTE SERVICE CORP,Paratransit Vehicle,T499385C,1FTNS24W46DA97019,2006,09/27/2013 07:00:00 AM +0000
B90038,5094461,ALERT AMBULETTE SERVICE CORP,Paratransit Vehicle,T482480C,1FTSS3EL8BDA81932,2011,09/27/2013 07:00:00 AM +0000
B90038,5249297,ALERT AMBULETTE SERVICE CORP,Paratransit Vehicle,T486184C,1FTNS2EW5ADB02686,2010,01/17/2013 08:00:00 AM +0000
B90038,5249300,ALERT AMBULETTE SERVICE CORP,Paratransit Vehicle,T491320C,1FTNS1EW9ADB02667,2010,01/17/2013 08:00:00 AM +0000
B90038,5250631,ALERT AMBULETTE SERVICE CORP,Paratransit Vehicle,T486188C,1FTNS24W56DA97014,2006,01/31/2013 08:00:00 AM +0000
B90038,5363706,ALERT AMBULETTE SERVICE CORP,Paratransit Vehicle,T529615C,1FTNS1EW9ADA33933,2010,05/14/2012 07:00:00 AM +0000
B90038,5363707,ALERT AMBULETTE SERVICE CORP,Paratransit Vehicle,T610831C,1FTNS1EW2ADA33935,2010,05/14/2012 07:00:00 AM +0000
B90038,5363709,ALERT AMBULETTE SERVICE CORP,Paratransit Vehicle,T529612C,1FTNS1EW0ADA33934,2010,05/14/2012 07:00:00 AM +0000
B90042,5383986,LIFECARE AMBULETTE INC,Paratransit Vehicle,T607687C,1FTNS2EW5ADB02672,2010,01/26/2013 08:00:00 AM +0000
B90049,,L-AL LIMOUSINE CORP,Paratransit Vehicle,T463727C,1FTNE24W59DA91435,2009,04/24/2012 07:00:00 AM +0000
B90049,,L-AL LIMOUSINE CORP,Paratransit Vehicle,T428214C,1GNDM19X73B135763,2003,03/23/2012 07:00:00 AM +0000
B90049,,L-AL LIMOUSINE CORP,Paratransit Vehicle,T427673C,1FTNE24W09DA49142,2009,04/09/2013 07:00:00 AM +0000
B90049,,L-AL LIMOUSINE CORP,Paratransit Vehicle,T427672C,2FMZA5145YBC33235,2006,10/22/2011 07:00:00 AM +0000
B90049,,L-AL LIMOUSINE CORP,Paratransit Vehicle,T427676C,1FTNE24W89DA65718,2009,11/25/2011 08:00:00 AM +0000
B90049,5154844,L-AL LIMOUSINE CORP,Paratransit Vehicle,T450364C,1FBNE31L26HA98562,2006,10/06/2011 07:00:00 AM +0000
B90049,5305108,L-AL LIMOUSINE CORP,Paratransit Vehicle,T504659C,2D4GP44L85R285312,2005,08/01/2012 07:00:00 AM +0000
B90056,5293069,EVERY BORO AMBULETTE SERVICE INC,Paratransit Vehicle,T501853C,1FTNE24W88DA59710,2008,04/07/2012 07:00:00 AM +0000
B90056,5293878,EVERY BORO AMBULETTE SERVICE INC,Paratransit Vehicle,T501858C,1FTNE24W18DA59709,2008,04/14/2012 07:00:00 AM +0000
B90056,5296994,EVERY BORO AMBULETTE SERVICE INC,Paratransit Vehicle,T475172C,1FTNS24W28DA74440,2008,05/16/2012 07:00:00 AM +0000
B90056,5297001,EVERY BORO AMBULETTE SERVICE INC,Paratransit Vehicle,T529623C,1FTNE24W58DA57042,2008,05/16/2012 07:00:00 AM +0000
B90056,5297811,EVERY BORO AMBULETTE SERVICE INC,Paratransit Vehicle,T610594C,1FTNE24W28DA70623,2008,05/23/2012 07:00:00 AM +0000
B90056,5298303,EVERY BORO AMBULETTE SERVICE INC,Paratransit Vehicle,T475196C,1FTNS24W18DB06701,2008,06/23/2012 07:00:00 AM +0000
B90056,5298307,EVERY BORO AMBULETTE SERVICE INC,Paratransit Vehicle,T475197C,1FTNS24WX8DB06700,2008,06/23/2012 07:00:00 AM +0000
B90056,5312827,EVERY BORO AMBULETTE SERVICE INC,Paratransit Vehicle,T512407C,1FTNE24W28DA59718,2008,12/12/2012 08:00:00 AM +0000
B90056,5316152,EVERY BORO AMBULETTE SERVICE INC,Paratransit Vehicle,T512418C,1FTNE24W58DA70616,2008,12/09/2012 08:00:00 AM +0000
B90058,5181960,AHAVA ACCESS INC,Paratransit Vehicle,45368LA,1FBNE31L75HA61568,2005,10/12/2012 07:00:00 AM +0000
B90058,5181969,AHAVA ACCESS INC,Paratransit Vehicle,45397LA,1FTNE24W56DA40531,2006,10/12/2012 07:00:00 AM +0000
B90058,5181981,AHAVA ACCESS INC,Paratransit Vehicle,45396LA,1FTNE2EW5BDA02161,2011,10/12/2012 07:00:00 AM +0000
B90058,5182028,AHAVA ACCESS INC,Paratransit Vehicle,33745LA,1FTNE24W36HB07619,2006,10/12/2012 07:00:00 AM +0000
B90058,5182030,AHAVA ACCESS INC,Paratransit Vehicle,33741LA,1FTNS24W48DA45747,2008,10/12/2012 07:00:00 AM +0000
B90058,5182032,AHAVA ACCESS INC,Paratransit Vehicle,33473LA,1FTSS3EL2BDA04375,2011,10/12/2012 07:00:00 AM +0000
B90058,5234686,AHAVA ACCESS INC,Paratransit Vehicle,63389LA,1FTNS24W68DA45748,2008,07/20/2012 07:00:00 AM +0000
B90058,5251020,AHAVA ACCESS INC,Paratransit Vehicle,63437LA,1FTSE34L06DB21967,2006,02/05/2013 08:00:00 AM +0000
B90058,5275461,AHAVA ACCESS INC,Paratransit Vehicle,63559LA,1FTNS24L67DA73456,2007,10/03/2013 07:00:00 AM +0000
B90058,5275464,AHAVA ACCESS INC,Paratransit Vehicle,63450LA,1GKDM19X04B500119,2004,10/03/2011 07:00:00 AM +0000
B90058,5275467,AHAVA ACCESS INC,Paratransit Vehicle,63517LA,1FTNE24W57DB21529,2007,10/03/2013 07:00:00 AM +0000
B90058,5285783,AHAVA ACCESS INC,Paratransit Vehicle,60625LA,1FBNE31L15HA35080,2005,01/24/2012 08:00:00 AM +0000
B90058,5338438,AHAVA ACCESS INC,Paratransit Vehicle,74395LA,1FBNE31L78DB31646,2008,07/10/2013 07:00:00 AM +0000
B90058,5344662,AHAVA ACCESS INC,Paratransit Vehicle,74357LA,1FBNE31L48DA95656,2008,09/24/2013 07:00:00 AM +0000
B90058,5344773,AHAVA ACCESS INC,Paratransit Vehicle,74387LA,1FTNE24W99DA37880,2009,09/25/2013 07:00:00 AM +0000
B90058,5355937,AHAVA ACCESS INC,Paratransit Vehicle,63625LA,1FBNE31L39DA77084,2009,02/10/2012 08:00:00 AM +0000
B90058,5358877,AHAVA ACCESS INC,Paratransit Vehicle,74382LA,1FBNE31L09DA79049,2009,03/12/2012 07:00:00 AM +0000
B90058,5361727,AHAVA ACCESS INC,Paratransit Vehicle,75019LA,1FTNS2EW7ADA30549,2010,04/09/2012 07:00:00 AM +0000
B90058,5364687,AHAVA ACCESS INC,Paratransit Vehicle,75008LA,1FBNE31LX9DA46687,2009,05/12/2012 07:00:00 AM +0000
B90058,5371939,AHAVA ACCESS INC,Paratransit Vehicle,74371LA,1FBNE31L16HA16899,2006,08/05/2012 07:00:00 AM +0000
B90058,5371943,AHAVA ACCESS INC,Paratransit Vehicle,75021LA,1FBNE31L06DA02354,2006,08/05/2012 07:00:00 AM +0000
B90058,5372023,AHAVA ACCESS INC,Paratransit Vehicle,75860LA,1FTNE2EW9ADA85558,2010,08/06/2012 07:00:00 AM +0000
B90058,5375295,AHAVA ACCESS INC,Paratransit Vehicle,75036LA,1FBNE3BL1BDA01903,2011,09/14/2012 07:00:00 AM +0000
B90058,5375445,AHAVA ACCESS INC,Paratransit Vehicle,69285LA,1FBNE31L07DA26588,2007,09/15/2012 07:00:00 AM +0000
B90058,5387015,AHAVA ACCESS INC,Paratransit Vehicle,13984LV,1FBSS3BL6BDA28901,2011,01/20/2013 08:00:00 AM +0000
B90058,5389692,AHAVA ACCESS INC,Paratransit Vehicle,13979LV,1FBSS3BLXBDA28898,2011,02/16/2013 08:00:00 AM +0000
B90058,5399305,AHAVA ACCESS INC,Paratransit Vehicle,14905LV,1FTNE2EW2BDA61233,2011,05/05/2013 07:00:00 AM +0000
B90065,,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T453190C,1FTNE24W55HB09001,2005,02/02/2013 08:00:00 AM +0000
B90065,5194592,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T470336C,1FTNE24W75HB09002,2005,03/23/2013 07:00:00 AM +0000
B90065,5209259,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T478257C,1FTNE24W06HA26660,2006,09/19/2011 07:00:00 AM +0000
B90065,5209260,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T478258C,1FTNE24W46HA26659,2006,08/19/2013 07:00:00 AM +0000
B90065,5263240,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T496912C,1FTNE24W17DA79019,2007,05/21/2013 07:00:00 AM +0000
B90065,5263249,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T492036C,1FTNE24WX7DA79018,2007,05/21/2013 07:00:00 AM +0000
B90065,5266324,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T496964C,1FTNE24W87DA79020,2007,06/22/2013 07:00:00 AM +0000
B90065,5266328,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T496965C,1FTNE24WX7DA79021,2007,06/22/2013 07:00:00 AM +0000
B90065,5323724,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T509168C,1FTSS34L19DA34821,2009,02/27/2013 08:00:00 AM +0000
B90065,5326300,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T509167C,1FTSS34LX9DA34820,2009,03/12/2013 07:00:00 AM +0000
B90065,5337432,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T518774C,1FTNE24W89DA37434,2009,07/14/2013 07:00:00 AM +0000
B90065,5337448,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T518773C,1FTNE24WX9DA37435,2009,07/14/2013 07:00:00 AM +0000
B90065,5356874,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T521039C,1FTNE2EW0ADA33171,2010,03/04/2012 08:00:00 AM +0000
B90065,5357177,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T521038C,1FTNE2EW9ADA33170,2010,03/04/2012 08:00:00 AM +0000
B90065,5367257,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T528347C,1FTNE2EW0ADA64078,2010,06/29/2012 07:00:00 AM +0000
B90065,5370419,FIRST ALERT AMBULETTE CORP.,Paratransit Vehicle,T529525C,1FTNE2EW9ADA64077,2010,07/23/2012 07:00:00 AM +0000
B90065,5370421,FIRST ALERT AMBULETTE CORP,Paratransit Vehicle,T529526C,1FTNE2EW3ADA67072,2010,07/23/2012 07:00:00 AM +0000
B90073,5348208,RITE CHOICE TRANSPORTATION INC,Paratransit Vehicle,T525850C,1FTNE24292HA23053,2002,12/10/2011 08:00:00 AM +0000
B90073,5393358,RITE CHOICE TRANSPORTATION INC,Paratransit Vehicle,T607957C,1FTNE2EW7BDA48736,2011,04/04/2013 07:00:00 AM +0000
B90075,,ROBIN BUS COMPANY INC,Paratransit Vehicle,T437332C,1FTSS34L27DB13766,2007,06/13/2012 07:00:00 AM +0000
B90075,,ROBIN BUS COMPANY INC,Paratransit Vehicle,T444017C,1FTSS34L67DB13768,2007,06/14/2012 07:00:00 AM +0000
B90075,,ROBIN BUS COMPANY INC,Paratransit Vehicle,T437347C,1FTNS24W18DA92671,2008,06/16/2012 07:00:00 AM +0000
B90075,,ROBIN BUS COMPANY INC,Paratransit Vehicle,T437341C,1FTSS34L47DB13767,2007,04/28/2012 07:00:00 AM +0000
B90075,5054528,ROBIN BUS COMPANY INC,Paratransit Vehicle,T444018C,1FTNS24WX8DA96895,2008,08/21/2012 07:00:00 AM +0000
B90075,5054531,ROBIN BUS COMPANY INC,Paratransit Vehicle,T437270C,1FTNS24WX8DA41864,2008,08/21/2012 07:00:00 AM +0000
B90075,5312749,ROBIN BUS COMPANY INC,Paratransit Vehicle,T504697C,1FTNE24W48DB41112,2008,11/12/2012 08:00:00 AM +0000
B90075,5328083,ROBIN BUS COMPANY INC,Paratransit Vehicle,T511196C,1FTNS24W19DA53547,2009,04/03/2013 07:00:00 AM +0000
B90075,5328084,ROBIN BUS COMPANY INC,Paratransit Vehicle,T511197C,1FTNS24WX9DA53546,2009,04/03/2013 07:00:00 AM +0000
B90075,5330920,ROBIN BUS CO INC,Paratransit Vehicle,T521115C,1FTNS24W39DA53548,2009,05/05/2013 07:00:00 AM +0000
B90075,5334145,ROBIN BUS COMPANY INC,Paratransit Vehicle,T520070C,1FTNS24W69DA25520,2009,06/15/2013 07:00:00 AM +0000
B90075,5342545,ROBIN BUS COMPANY INC,Paratransit Vehicle,T520108C,1FTNS24W39DA28701,2009,09/01/2013 07:00:00 AM +0000
B90075,5349933,ROBIN BUS COMPANY INC,Paratransit Vehicle,T525865C,1FTNS2EW7ADA00354,2010,12/02/2011 08:00:00 AM +0000
B90075,5351175,ROBIN BUS COMPANY INC,Paratransit Vehicle,T525847C,1FTNS2EW5ADA14902,2010,12/15/2011 08:00:00 AM +0000
B90075,5351177,ROBIN BUS COMPANY INC,Paratransit Vehicle,T525846C,1FTNS2EW7ADA14903,2010,12/15/2011 08:00:00 AM +0000
B90075,5401006,ROBIN BUS COMPANY INC,Paratransit Vehicle,T605727C,1FTSS3EL3BDA70451,2011,05/31/2013 07:00:00 AM +0000
B90075,5404227,ROBIN BUS COMPANY INC,Paratransit Vehicle,T610758C,1FTSS3EL3BDA25588,2011,07/06/2013 07:00:00 AM +0000
B90083,5265325,ACCESS AMBULETTE SERVICE INC,Paratransit Vehicle,T496951C,1FTNE24W49DA65716,2009,06/12/2013 07:00:00 AM +0000
B90083,5363592,ACCESS AMBULETTE SERVICE INC,Paratransit Vehicle,T522705C,1FTNE2EW1ADA30554,2010,05/05/2012 07:00:00 AM +0000
B90090,5154088,DTS INC,Paratransit Vehicle,75400LA,1FTSS3EL6ADA89512,2010,09/26/2011 07:00:00 AM +0000
B90090,5157887,DTS INC,Paratransit Vehicle,62897LA,1FTNS24203HB66483,2003,11/18/2011 08:00:00 AM +0000
B90090,5157922,DTS INC,Paratransit Vehicle,77315LA,1FTSS3EL4ADA00360,2010,11/18/2011 08:00:00 AM +0000
B90090,5157924,DTS INC,Paratransit Vehicle,14875LV,1FTSS3EL3BDA85967,2011,11/18/2011 08:00:00 AM +0000
B90090,5231392,DTS INC,Paratransit Vehicle,56816LA,1FTSS34L94HA09053,2004,06/07/2012 07:00:00 AM +0000
B90090,5257160,DTS INC,Paratransit Vehicle,77335LA,1FTSS3EL2ADA33924,2010,03/26/2013 07:00:00 AM +0000
B90090,5267678,DTS INC,Paratransit Vehicle,74787LA,1FTSS3EL9ADA43916,2010,07/09/2013 07:00:00 AM +0000
B90090,5299912,DTS INC,Paratransit Vehicle,77310LA,1FTSS3EL0ADA00355,2010,06/02/2012 07:00:00 AM +0000
B90090,5304044,DTS INC,Paratransit Vehicle,63582LA,1FTNE24W58DB17904,2008,07/17/2012 07:00:00 AM +0000
B90090,5304046,DTS INC,Paratransit Vehicle,73143LA,1FTNE24W78DB17905,2008,07/17/2012 07:00:00 AM +0000
B90090,5304857,DTS INC,Paratransit Vehicle,73080LA,1FTNE24W18DB17897,2008,07/28/2012 07:00:00 AM +0000
B90090,5304860,DTS INC,Paratransit Vehicle,73148LA,1FTNE24W78DB10081,2008,07/28/2012 07:00:00 AM +0000
B90090,5305473,DTS INC,Paratransit Vehicle,75006LA,1FTNE2EW8ADA43897,2010,08/04/2012 07:00:00 AM +0000
B90090,5307121,DTS INC,Paratransit Vehicle,77355LA,5FNRL3H25AB105481,2010,08/21/2012 07:00:00 AM +0000
B90090,5312049,DTS INC,Paratransit Vehicle,73110LA,1FTNE24W18DB48017,2008,10/16/2012 07:00:00 AM +0000
B90090,5316633,DTS INC,Paratransit Vehicle,63361LA,1FTNS24W69DA04604,2009,12/04/2012 08:00:00 AM +0000
B90090,5317160,DTS INC,Paratransit Vehicle,63622LA,1FTSS34L59DA25524,2009,12/10/2012 08:00:00 AM +0000
B90090,5318401,DTS INC,Paratransit Vehicle,71090LA,1FTSS34L09DA25527,2009,12/24/2012 08:00:00 AM +0000
B90090,5319208,DTS INC,Paratransit Vehicle,71094LA,1FTSS34L29DA25528,2009,01/06/2013 08:00:00 AM +0000
B90090,5319213,DTS INC,Paratransit Vehicle,71095LA,1FTSS34L79DA28702,2009,01/06/2013 08:00:00 AM +0000
B90090,5324394,DTS INC,Paratransit Vehicle,77309LA,1FTNE2EW6ADA00336,2010,02/26/2013 08:00:00 AM +0000
B90090,5333877,DTS INC,Paratransit Vehicle,71044LA,1FTSS34LX9DA39810,2009,05/22/2013 07:00:00 AM +0000
B90090,5340652,DTS INC,Paratransit Vehicle,71119LA,1FTSS34LX9DA73827,2009,08/06/2013 07:00:00 AM +0000
B90090,5341678,DTS INC,Paratransit Vehicle,71125LA,1FTSS34L29DA79623,2009,08/18/2013 07:00:00 AM +0000
B90090,5348465,DTS INC,Paratransit Vehicle,71146LA,1FTSS3EL6ADA00361,2010,11/06/2011 07:00:00 AM +0000
B90090,5348469,DTS INC,Paratransit Vehicle,71145LA,1FTSS3EL6ADA00375,2010,11/06/2011 07:00:00 AM +0000
B90090,5373110,DTS INC,Paratransit Vehicle,75015LA,1FTSS3EL9ADA96213,2010,08/18/2012 07:00:00 AM +0000
B90090,5394457,DTS INC,Paratransit Vehicle,14224LV,1FTSS3EL7BDA62093,2011,03/25/2013 07:00:00 AM +0000
B90096,5349483,PAPI'S TRANSPORT CORP,Paratransit Vehicle,T525338C,1FBSS31L57DA93716,2007,12/10/2011 08:00:00 AM +0000
B90096,5383636,PAPI'S TRANSPORT CORP,Paratransit Vehicle,T607751C,1FBSS31L89DA70885,2009,12/20/2012 08:00:00 AM +0000
