Company Name,Address,Address2,City,Category Name,URL,Hiring,Jobs URL,Why NYC
Efficiency 2.0,165 William Street,Floor 10,New York,HQ'd in NY,http://www.efficiency20.com,true,http://jobs.efficiency20.com/jobs/,
Enterproid,56 West 22nd Street,10th Floor,New York,HQ'd in NY,http://www.divide.com/,true,http://www.divide.com/jobs.php,
Etsy,55 Washington Street,,Brooklyn,HQ'd in NY,http://www.etsy.com,true,http://www.etsy.com/careers,
Exfm,199 Lafayette Street,,New York,HQ'd in NY,http://ex.fm/,true,http://ex.fm/jobs,
Examville,42 Broadway,Suite 1836,New York,HQ'd in NY,http://www.examville.com,true,http://www.examville.com/examville/careers.jsp,
Ez Texting,244 5th Avenue,Suite A224,New York,HQ'd in NY,http://www.eztexting.com/,true,http://www.eztexting.com/careers/,
Fab,95 Morton Street,,New York,HQ'd in NY,http://fab.com/,true,http://www.linkedin.com/jsearch?company=fab%2Ecom&searchLocationType=I&countryCode=us&page_num=1&pplSearchOrigin=MDYS&sortCriteria=R,
Facebook,335 Madison Avenue,,New York,HQ'd in NY,http://www.facebook.com,true,https://www.facebook.com/careers,
FanBridge,150 West 25th Street,,New York,HQ'd in NY,http://www.fanbridge.com/,true,http://www.fanbridge.com/careers,
Fashism,902 Broadway,4th Floor,New York,HQ'd in NY,http://fashism.com/,false,,
Fitocracy,175 Varick Street,,New York,HQ'd in NY,http://www.fitocracy.com/,true,http://www.fitocracy.com/jobs/,
Flavorpill,594 Broadway,,New York,HQ'd in NY,http://flavorpill.com,true,http://flavorpill.com/careers?publication=newyork,
Fog Creek,55 Broadway,25th Floor,New York,HQ'd in NY,http://www.fogcreek.com,true,http://www.fogcreek.com/careers.html,
Food52,902 Broadway,4th Floor,New York,HQ'd in NY,http://food52.com,true,http://food52.com/jobs,
Foodspotting,95 5th Avenue,,New York,HQ'd in NY,http://www.foodspotting.com/,true,http://www.foodspotting.com/about/jobs,
Forrst,12 Desbrosses Street,,New York,HQ'd in NY,http://forrst.com/,true,http://forrst.com/jobs,
Foursquare,568 Broadway,,New York,HQ'd in NY,http://www.foursquare.com,true,https://foursquare.com/jobs/,
GameChanger,13 East 16th Street,Floor 6,New York,HQ'd in NY,http://www.gamechanger.io/,true,http://www.gamechanger.io/careers,
Games For Change,78 Fifth Avenue,5th Floor,New York,HQ'd in NY,http://www.gamesforchange.org/,false,,
General Assembly,902 Broadway,4th Floor,New York,Coworking / Incubators,http://www.generalassemb.ly/,true,http://generalassemb.ly/jobs,
Getglue,131 Varick Street,,New York,HQ'd in NY,http://www.getglue.com/,true,http://getglue.com/about,
Gilt Groupe,2 Park Avenue,,New York,HQ'd in NY,http://www.gilt.com,true,http://www.gilt.com/company/careers,
Google,76 9th Avenue,#6,New York,HQ'd in NY,http://www.google.com,true,http://www.google.com/about/jobs/,
GoTryItOn,20 West 20th Street,Suite 402,New York,HQ'd in NY,http://gotryiton.com/,true,http://gotryiton.com/jobs,"Fashion capital of the world, combined with great tech talent!"
GramercyOne,22 Cortlandt Street,Floor 18,New York,HQ'd in NY,http://www.gramercyone.com/,true,http://www.gramercyone.com/about-us/careers/,
H.Bloom,20 West 22nd Street,,New York,HQ'd in NY,http://www.hbloom.com/,true,http://www.hbloom.com/jobs,
Harvest,16 West 22nd Street,8th Floor,New York,HQ'd in NY,http://www.getharvest.com,true,http://www.getharvest.com/careers,
Hashable,134 Fifth Avenue,3rd Floor,New York,HQ'd in NY,http://hashable.com/,true,http://hashable.com/jobs,
HowAboutWe,20 Jay Street,,Brooklyn,HQ'd in NY,http://www.howaboutwe.com/,true,http://www.howaboutwe.com/jobs,
Hunch,54 West 21st Street,,New York,HQ'd in NY,http://www.hunch.com,true,http://hunch.com/info/jobs/,
IceHook Systems,154 Grand Street,,New York,HQ'd in NY,http://www.icehook.com,true,http://icehook.com/icehook/jobs,
Ideeli,148 Lafayette Street,10th Floor,New York,HQ'd in NY,http://www.ideeli.com,true,https://www7.ultirecruit.com/IDE1003/jobboard/listjobs.aspx?Page=List,
IgoUgo,325 Hudson Street,10th Floor,New York,HQ'd in NY,http://www.igougo.com/,false,,
Indaba Music,568 Broadway,11th Floor,New York,HQ'd in NY,http://www.indabamusic.com,true,http://www.indabamusic.com/about/jobs,
JOOR,36 East 23rd Street,Suite 3F,New York,HQ'd in NY,http://www.jooraccess.com,true,http://joor.theresumator.com/,
Kickstarter,155 Rivington Street,,New York,HQ'd in NY,http://www.kickstarter.com,true,http://www.kickstarter.com/jobs,
kikin,132 Crosby Street,4th Floor,New York,HQ'd in NY,http://www.kikin.com,true,http://www.kikin.com/jobs,"kikin is home to the most curious people in the world. We're located at the center of curiosity, New York City. We're improving everyone's access to information and we invite you to join us!"
Kiwi Interactive,555 West 59th Street,,New York,HQ'd in NY,http://www.kiwiinteractive.com/,false,,
Knewton,100 5th Avenue,,New York,HQ'd in NY,http://www.knewton.com/,true,http://www.knewton.com/jobs/,
Know Your Meme,122 West 26th Street,8th Floor,New York,HQ'd in NY,http://knowyourmeme.com/,true,http://jobs.cheezburger.com/,
Kognito Interactive,150 West 28th Street,Suite 902-B,New York,HQ'd in NY,http://www.kognito.com/,true,http://www.kognito.com/jobs/,
Krossover,100 Riverside Boulevard,Unit 5J,New York,HQ'd in NY,http://www.krossover.com/,true,http://www.startuply.com/Companies/Krossover_3764.aspx,
Lifebooker,45 Main Street,,Brooklyn,HQ'd in NY,http://nyc.lifebooker.com/welcome,true,http://nyc.lifebooker.com/lb_jobs/categories,
LiveIntent,291 Broadway,,New York,HQ'd in NY,http://www.liveintent.com/,true,http://www.liveintent.com/about/#jobs,
Livestream,111 8th Avenue,#1509,New York,HQ'd in NY,http://www.livestream.com,true,http://www.livestream.com/info/jobs,
Local Bigwig,137 Varick Street,2nd Floor,New York,HQ'd in NY,http://www.localbigwig.com,false,,
Local Projects,315 West 39th Street,Suite 908,New York,HQ'd in NY,http://www.localprojects.net,false,,
Local Response,37 West 28th Street,,New York,HQ'd in NY,http://localresponse.com/,true,http://localresponsejobs.tumblr.com/,
Longtail Studios,180 Varick Street,Suite 1614,New York,HQ'd in NY,http://www.longtailstudios.com/,true,http://www.longtailstudios.com/en/careers,
LookThink,902 Broadway,4th Floor,New York,HQ'd in NY,http://lookthink.com/,true,http://lookthink.mytribehr.com/careers,
Lot18,6 East 32nd Street,6th Floor,New York,HQ'd in NY,http://www.lot18.com,true,http://www.lot18.com/careers,
Marketsharing,37 West 28th Street,,New York,HQ'd in NY,http://www.marketsharing.com,false,,
Marquee Media,41 Madison Avenue,31st Floor,New York,HQ'd in NY,http://www.marqueemedia.com/,true,http://www.marqueemedia.com/about/careers,
Mashable,304 Park Avenue South,,New York,HQ'd in NY,http://www.mashable.com,true,http://mashable.theresumator.com/apply,
Media6Degrees,37 East 18th Street,9th Floor,New York,HQ'd in NY,http://media6degrees.com/,true,http://m6d.com/careers/join-us/,
Mediabistro.com,475 Park Avenue South,4th Floor,New York,HQ'd in NY,http://www.mediabistro.com/,true,http://www.mediabistro.com/WebMediaBrands-jobs-e10179.html,
Meetup,632 Broadway,10th Floor,New York,HQ'd in NY,http://www.meetup.com,true,http://www.meetup.com/jobs/,
Memrise,325 East 92nd Street,,New York,HQ'd in NY,http://www.memrise.com,true,http://www.memrise.com/about/jobs/,
Mimeo.com,460 Park Ave South,,New York,HQ'd in NY,http://www.mimeo.com,true,http://www.mimeo.com/careers/,
"MoovAtom, Inc.",560 W 43rd Street,#34L,New York,HQ'd in NY,http://www.moovatom.com/,false,,
Movable Ink,5 West 19th Street,6th Floor,New York,HQ'd in NY,http://movableink.com/,true,http://movableink.com/careers,
Muck Rack,636 Broadway,3rd Floor,New York,HQ'd in NY,http://muckrack.com/,false,,
MyBankTracker,68 Jay Street,Unit 616,Brooklyn,HQ'd in NY,http://www.mybanktracker.com/,false,,
Next Jump,261 5th Avenue,#8,New York,HQ'd in NY,http://www.nextjump.com/,true,http://www.nextjump.com/about/careers,
OnSwipe,39 West 14th Street,,New York,HQ'd in NY,http://www.onswipe.com,true,http://www.onswipe.com/jobs/,
Oyster,155 Avenue of the Americas,10th Floor,New York,HQ'd in NY,http://oyster.com,true,http://www.oyster.com/about/jobs/,
Panelfly,1 Little West 12th Street,3rd Floor,New York,HQ'd in NY,http://panelfly.com,false,,
Paperless Post,151 West 25th Street,,New York,HQ'd in NY,http://www.paperlesspost.com,true,http://www.paperlesspost.com/info/about/jobs/jobs,
Perpetually,80 Chambers Street,,New York,HQ'd in NY,http://www.perpetually.com/,false,,
Personal Democracy Forum,220 Lafayette Street,,New York,HQ'd in NY,http://personaldemocracy.com/,false,,
Pixable,137 Varick Street,603,New York,HQ'd in NY,http://www.pixable.com,true,http://www.pixable.com/about_us/jobs.php,
Producteev,242 West 30th Street,Suite 501,New York,HQ'd in NY,http://www.producteev.com,true,http://jobs.producteev.com/,
Quirky,606 West 28th Street,7th Floor,New York,HQ'd in NY,http://www.quirky.com/about,true,http://www.quirky.com/about,
RecordSetter,167 Canal Street,,New York,HQ'd in NY,http://www.recordsetter.com,false,,
Refinery29,30 Cooper Square,4th Floor,New York,HQ'd in NY,http://www.refinery29.com/,true,http://www.refinery29.com/careers,
RightsFlow,29 West 17th Street,10th Floor,New York,HQ'd in NY,http://www.rightsflow.com,false,,
Sailthru,160 Varick Street,12th Floor,New York,HQ'd in NY,http://www.sailthru.com,true,https://www.sailthru.com/careers,
Savored,37 West 17th Street,,New York,HQ'd in NY,http://www.savored.com,true,http://savored.com/jobs/,
Seamless,1065 Avenue of the Americas,15th Floor,New York,HQ'd in NY,http://www.seamless.com,true,http://hire.jobvite.com/CompanyJobs/Careers.aspx?c=q2e9Vfw4&cs=9sXaVfw,
Seamless Receipts,349 5th Avenue,,New York,HQ'd in NY,http://www.seamlessreceipts.com/,true,http://www.seamlessreceipts.com/careers,
SeatGeek,57 East 11th Street,#8a,New York,HQ'd in NY,http://www.seatgeek.com,true,http://seatgeek.com/jobs,
SecondMarket,"26 Broadway,",,New York,HQ'd in NY,http://www.secondmarket.com,true,http://www.secondmarket.com/careers,
Send Word Now,224 West 30th Street,#500,New York,HQ'd in NY,http://www.sendwordnow.com,false,,
Shapeways,419 Park Avenue South,,New York,HQ'd in NY,http://www.shapeways.com/,true,http://www.shapeways.com/jobs/,
ShopKeep POS,55 Broad Street,9th Floor,New York,HQ'd in NY,http://www.shopkeep.com/,true,http://shopkeep.jobscore.com/list,
ShowMe,902 Broadway,4th Floor,New York,HQ'd in NY,http://www.showme.com,true,http://www.showme.com/careers,
Sidera Networks,55 Broad Street,2nd Floor,New York,HQ'd in NY,http://www.sidera.net/,true,http://www.sidera.net/company/careers,
Sidetour,122 West 26th Street,,New York,HQ'd in NY,http://www.sidetour.com/,true,http://www.sidetour.com/jobs,
Skillshare,407 Broome Street,,New York,HQ'd in NY,http://www.skillshare.com,true,http://www.skillshare.com/careers,
Smartling,475 Park Ave South,23rd Floor,New York,HQ'd in NY,http://www.smartling.com,true,http://www.smartling.com/careers,
SnapGoods,155 Water Street,,Brooklyn,HQ'd in NY,http://www.snapgoods.com,false,,
Socialflow,416 West 13th Street,,New York,HQ'd in NY,http://www.socialflow.com/,true,http://www.socialflow.com/careers,
Songtrust,485 Broadway,3rd Floor,New York,HQ'd in NY,https://www.songtrust.com/,true,http://blog.songtrust.com/jobs/,
Songza,526 46th Ave,2nd Floor,Queens,HQ'd in NY,http://www.songza.com,true,,
Sortprice.com,222 West 37th Street,,New York,HQ'd in NY,http://www.sortprice.com/,false,,
SponsoredAds,1100 Coney Island Avenue,Suite 402,Brooklyn,HQ'd in NY,http://www.sponsoredads.com,false,,
Squarespace,459 Broadway,5th Floor,New York,HQ'd in NY,http://www.squarespace.com/,true,http://careers.squarespace.com/,
Stamped,126 Fifth Avenue,,New York,HQ'd in NY,http://www.stamped.com/,true,,
Storyville,2001 Story Avenue,,Bronx,HQ'd in NY,http://www.storyvilleapp.com/,false,,
StyleCaster,49 West 27th Street,Studio A,New York,HQ'd in NY,http://www.stylecaster.com/,false,,
Sulia,10 West 18th Street,,New York,HQ'd in NY,http://www.sulia.com/,true,http://sulia.com/jobs,
Svpply,407 Broome Street,5th Floor,New York,HQ'd in NY,http://www.svpply.com,true,https://svpply.com/jobs,
The Webby Awards,22 West 21st Street,7th Floor,New York,HQ'd in NY,http://www.webbyawards.com/,false,,
Thrillist,568 Broadway,,New York,HQ'd in NY,http://www.thrillist.com,true,http://www.thrillist.com/jobs,
Totsy,27 West 20th Street,Suite 400,New York,HQ'd in NY,http://www.totsy.com,true,http://www.totsy.com/pages/careers,
Toura,594 Broadway,Suite 907,New York,HQ'd in NY,http://www.toura.com,true,http://toura.com/jobs,
Tumblr,35 East 21st Street,Suite 6E,New York,HQ'd in NY,http://www.tumblr.com,true,http://www.tumblr.com/jobs,"NYC is the best city in the world, filled with the most talented, creative, passionate and smartest people who want to build amazing things."
Turntable.fm,532 Broadway,3rd Floor,New York,HQ'd in NY,http://www.turntable.fm,true,http://turntable.fm/jobs,
Tutorspree,305 Church Street,,New York,HQ'd in NY,http://www.tutorspree.com,true,http://www.tutorspree.com/jobs,
UncommonGoods,140 58th Street,"Building B, Suite 5A-B",Brooklyn,HQ'd in NY,http://www.uncommongoods.com,true,https://www.uncommongoods.com/static/jobs.jsp,
Under30CEO,350 6th Avenue,60th Floor,New York,HQ'd in NY,http://under30ceo.com/,false,,
Unigo,386 Park Avenue South,,New York,HQ'd in NY,http://www.unigo.com/,false,,
Voxel,29 Broadway,30th Floor,New York,HQ'd in NY,http://www.voxel.com,true,http://www.voxel.net/careers,
VYou,560 Broadway,#402,New York,HQ'd in NY,http://www.vyou.com,false,,
Wanderfly,447 Broadway,2nd Floor,New York,HQ'd in NY,http://www.wanderfly.com,true,http://blog.wanderfly.com/jobs,
Warby Parker,295 Lafayette Street,Suite 501,New York,HQ'd in NY,http://www.warbyparker.com,true,http://www.warbyparker.com/jobs,
Winito Athletics,180 West 93rd Street,Suite 4F,New York,HQ'd in NY,http://www.winitoathletics.com/,true,http://www.winitoathletics.com/jobs.aspx,We love NYC!
xCubicle,25 Essex St,,New York,HQ'd in NY,http://www.xcubicle.com/,false,,
Yext,1 Madison Ave,5th Floor,New York,HQ'd in NY,http://www.yext.com,true,http://www.yext.com/company-careers.html,
Yodle,50 West 23rd Street,4th Floor,New York,HQ'd in NY,http://www.yodle.com/,true,http://www.yodlecareers.com/jobs/,
Zeel,41 East 11th Street,3rd Floor,New York,HQ'd in NY,http://www.zeel.com/,false,,
ZocDoc,568 Broadway,Suite 901,New York,HQ'd in NY,http://www.zocdoc.com,true,http://www.zocdoc.com/careers,
Wix Lounge,10 West 18th Street,2nd Fl,New York,Coworking / Incubators,http://www.wixlounge.com/,false,,
WeWork,One Little West 12th,,New York,Coworking / Incubators,http://wework.com/,false,,
WeWork,349 Fifth Ave,,New York,Coworking / Incubators,http://wework.com/,false,,
WeWork Labs,175 Varick Street,3rd Floor,New York,Coworking / Incubators,http://wework.com/,false,,
WeCreateNYC,58 East 11th Street,,New York,Coworking / Incubators,http://www.wecreatenyc.com/,false,,
The Entrepreneur's Space,370 E. 76th Street,Suite A2004,New York,HQ'd in NY,http://www.queensny.org/qedc/entrepreneur_space/,false,,
Sunshine Suites Tribeca,12 Descrossess Street,,New York,Coworking / Incubators,http://sunshineny.com/,false,,
Sunshine Bronx Business Incubator,890 Garrison Ave,2nd Floor,Bronx,Coworking / Incubators,http://bronx.sunshineny.com/,false,,"The Sunshine Bronx Business Incubator is the first City-sponsored, privately operated incubator, created to bring entrepreneurs to the south Bronx. It offers world-class technology, security and a wide array of business services designed to nurture startups and give them the tools they need to succeed . It is a joint venture between the New York City Economic Development Corp., Sunshine Suites and SunshineÛªs strategic partners from government, business and academic institutions.

Sunshine offers entrepreneurs all of the elements they need to succeed. Both the tangibles and the intangibles. A dynamic work environment , month-to-month terms, amenities and support services, mentoring and networking opportunities.
The facility features modular, ergonomically designed furnishings and flexible workspaces that support collaboration or provide privacy when needed. The latest technology and multi-media equipment facilitate document sharing, video production and presentations. Our office solutions provide the flexibility and affordability necessary to keep costs down, along with business resources to help first-time entrepreneurs avoid mistakes and maximize productivity.There are a variety of options and tiers of service to suit every entrepreneurial need and budget."
State University of NY Downstate Medical Center Incubator,760 Parkside Avenue,,Brooklyn,HQ'd in NY,http://research.downstate.edu/biotech/abi.htm,false,,
Projective Space,72 Allen Street,3rd Floor,New York,Coworking / Incubators,http://www.projective.co/,false,,
NYU Polytech Incubator - Varick Street,137 Varick Street,2nd Floor,New York,Coworking / Incubators,http://www.poly.edu/business/incubators,false,,
NYU Polytech Incubator - DUMBO,20 Jay Street,Suite 312,Brooklyn,Coworking / Incubators,http://www.poly.edu/business/incubators/dumbo,false,,
Hubitat,31 West 26th Street,,New York,Coworking / Incubators,http://www.hubitat.co/,false,,
HIVE at 55,55 Broad Street,13th Floor,New York,Coworking / Incubators,http://hiveat55.com/,false,,
Grind Spaces,419 Park Ave South,2nd Floor,New York,Coworking / Incubators,http://grindspaces.com/,false,,
Greenpoint Coworking,240 N. Henry Street,#1,Brooklyn,Coworking / Incubators,http://greenpointcoworking.com/,false,,
Green Spaces,394 Broadway,5th Floor,New York,Coworking / Incubators,http://www.greenspaceshome.com,false,,
Green Desk DUMBO,155 Water Street,,Brooklyn,Coworking / Incubators,http://green-desk.com,false,,
CFDA Fashion Incubator,209 W. 38th Street,,New York,Coworking / Incubators,http://www.cfda.com/cfda-fashion-incubator-2/,false,,
Brooklyn Creative League,540 President Street,3rd Floor,Brooklyn,Coworking / Incubators,http://www.brooklyncreativeleague.com,false,,
BitMapNYC,300 Graham Avenue,,Brooklyn,Coworking / Incubators,http://www.bitmapnyc.com,false,,
BIOBAT at Brooklyn Army Terminal,140 58th Street,,Brooklyn,Coworking / Incubators,http://research.downstate.edu/biotech/biobat.htm,false,,
AUDUBON Biomedical & Technology Center,3960 Broadway,,New York,Coworking / Incubators,http://www.auduboncenter.org/profile/background.html,false,,
3rd Ward,195 Morgan Ave,,Brooklyn,Coworking / Incubators,http://www.3rdward.com,true,http://www.3rdward.com/jobopenings/,
Alexandria Center for Science & Technology at East River Science Park,450 East 29th Street,,New York,Coworking / Incubators,http://www.alexandrianyc.com/ersp.html,false,,
Spotify,76 Ninth Avenue,11th Floor,New York,HQ'd in NY,http://www.spotify.com,false,http://www.spotify.com/us/jobs/vacancies/,
Yelp NY,101-104 5th Avenue,,New York,HQ'd in NY,http://www.yelp.com,true,http://www.yelp.com/careers,
Accel Partners,111 Eighth Avenue,16th Floor,New York,Investors,http://www.accel.com,true,http://careers.accel.com/,
BHV,47 Murray Street,,New York,Investors,http://www.bhv.vc,false,,
Consigliere Brand Capital,111 Eighth Avenue,15th Floor,New York,Investors,http://theconsig.com/,false,,
Elevation Partners,70 E. 55th Street,#12,New York,Investors,http://www.elevation.com,false,,
FirstMark Capital,100 5th Ave,3rd Floor,New York,Investors,http://firstmarkcap.com,false,,
Founder Collective,54 W. 21st Street,#1001,New York,Investors,http://foundercollective.com,false,,
Warburg Pincus,335 Madison Avenue,,New York,Investors,http://www.warburgpincus.com,false,,
Insight Venture Partners,680 Fifth Avenue,8th Floor,New York,Investors,http://www.insightpartners.com,false,,
KBS+P Ventures,160 Varick Street,,New York,Investors,http://kbsp.vc,false,,
Lerer Media Ventures,416 W 13th Street,,New York,Investors,http://www.lererventures.com,false,,
Lux Capital,295 Madison Avenue,24th floor,New York,Investors,http://www.luxcapital.com,false,,
Matrix Partners,2 Park Ave,4th Floor,New York,Investors,http://www.matrixpartners.com/,false,,
Rho Ventures,152 West 57th Street,#23,New York,Investors,http://www.rhoventures.com,false,,
RRE Ventures,130 E. 59th Street,#17,New York,Investors,http://www.rre.com,false,,
Tribeca Venture Partners,300 Park Ave,,New York,Investors,http://tribecavp.com,false,,
Union Square Ventures,915 Broadway,#1408,New York,Investors,http://www.usv.com,false,,
Venrock,530 5th Avenue,#22,New York,Investors,http://www.venrock.com,false,,
BrandShare,263 West 38th Street,8th Floor,New York,HQ'd in NY,http://brandshare.us,false,,
ChallengePost,425 West 13th St,Suite 504,New York,HQ'd in NY,http://challengepost.com/,true,http://challengepost.com/jobs,
Dynamic Oxygen,646 Maple Street,Suite #2B,Brooklyn,HQ'd in NY,http://www.dynamicoxygen.com,false,,
Intent Media,180 Varick Street,Suite 936,New York,HQ'd in NY,http://www.intentmedia.com/,true,http://www.intentmedia.com/jobs,
WeWork,154 Grand Street,,New York,Coworking / Incubators,http://wework.com/,false,,
Jibe,26 West 17th Street,Suite 503,New York,HQ'd in NY,http://www.jibe.com,true,http://www.jibe.com/jobs,
Atari,417 Fifth Avenue,,New York,HQ'd in NY,http://www.atari.com,true,http://www.atari.com/corporate/careers,
Spark Rebel,86 Chambers St.,Suite 704,New York,HQ'd in NY,http://www.sparkrebel.com,true,,SparkRebel is a new collaborative fashion and beauty destination. New York is the heart of the fashion industry and as such is a natural fit for our headquarters.
Netted,22 W. 21st Street,7th Floor,New York,HQ'd in NY,http://www.netted.net,false,,
AdKeeper,"381 Park Avenue South New York,",,New York,HQ'd in NY,http://www.adkeeper.com/,true,http://about.adkeeper.com/team/jobs/,
Adstruc,241 Centre Street,7th Floor,New York,HQ'd in NY,http://adstruc.com/,true,http://adstruc.com/jobs,
Altruik,341 West 38th Street,8th Floor,New York,HQ'd in NY,http://www.altruik.com/,false,http://www.altruik.com/about/careers,
Amicus,902 Broadway,4th Floor,New York,HQ'd in NY,http://www.amicushq.com/,true,http://jobs.amicushq.com/,
AppFirst,6 West 14th Street,Suite 4E,New York,HQ'd in NY,http://www.appfirst.com/,true,http://www.appfirst.com/about/careers/,
Apple,101-104 Fifth Avenue,,New York,HQ'd in NY,http://www.apple.com,true,http://jobs.apple.com/,
Arkadium,920 Broadway,#2,New York,HQ'd in NY,http://www.arkadium.com,true,http://www.arkadium.com/about_us/careers.aspx,
ArtSpace,210 Eleventh Avenue,,New York,HQ'd in NY,http://www.artspace.com/,true,http://www.artspace.com/jobs,
Assured Labor,36 East 12th Street,,New York,HQ'd in NY,http://www.assuredlabor.com/,true,http://www.assuredlabor.com/about/jobs/,
Audiobrain,20 West 22nd Street,Suite 712,New York,HQ'd in NY,http://www.audiobrain.com/,false,,
AutoSlash,405 Main Street,Suite 9R,New York,HQ'd in NY,http://www.autoslash.com,false,,
AvidTrips,902 Broadway,4th Floor,New York,HQ'd in NY,http://www.avidtrips.com/,false,http://www.avidtrips.com/careers,
