GRADE LEVEL,PROGRAM TYPE,CORE SUBJECT,SERVICE CATEGORY,CLASS SIZE,NUMBER OF CLASSES,NUMBER OF STUDENTS,PERCENT OF STUDENTS IN PROGRAM / GRADE / SUBJECT
02,GEN ED / CTT / G&T,-,-,30,57,1710,2%
02,GEN ED / CTT / G&T,-,-,31,29,899,1%
02,GEN ED / CTT / G&T,-,-,32,23,736,1%
02,GEN ED / CTT / G&T,-,-,33,1,33,0%
02,GEN ED / CTT / G&T,-,-,34,1,34,0%
03,GEN ED / CTT / G&T,-,-,<15,54,665,1%
03,GEN ED / CTT / G&T,-,-,15,29,435,1%
03,GEN ED / CTT / G&T,-,-,16,40,640,1%
03,GEN ED / CTT / G&T,-,-,17,65,1105,2%
03,GEN ED / CTT / G&T,-,-,18,91,1638,2%
03,GEN ED / CTT / G&T,-,-,19,136,2584,4%
03,GEN ED / CTT / G&T,-,-,20,168,3360,5%
03,GEN ED / CTT / G&T,-,-,21,194,4074,6%
03,GEN ED / CTT / G&T,-,-,22,226,4972,7%
03,GEN ED / CTT / G&T,-,-,23,260,5980,9%
03,GEN ED / CTT / G&T,-,-,24,286,6864,10%
03,GEN ED / CTT / G&T,-,-,25,291,7275,11%
03,GEN ED / CTT / G&T,-,-,26,255,6630,10%
03,GEN ED / CTT / G&T,-,-,27,247,6669,10%
03,GEN ED / CTT / G&T,-,-,28,211,5908,9%
03,GEN ED / CTT / G&T,-,-,29,123,3567,5%
03,GEN ED / CTT / G&T,-,-,30,75,2250,3%
03,GEN ED / CTT / G&T,-,-,31,46,1426,2%
03,GEN ED / CTT / G&T,-,-,32,37,1184,2%
03,GEN ED / CTT / G&T,-,-,33,3,99,0%
03,GEN ED / CTT / G&T,-,-,>34,1,35,0%
04,GEN ED / CTT / G&T,-,-,<15,42,500,1%
04,GEN ED / CTT / G&T,-,-,15,11,165,0%
04,GEN ED / CTT / G&T,-,-,16,24,384,1%
04,GEN ED / CTT / G&T,-,-,17,35,595,1%
04,GEN ED / CTT / G&T,-,-,18,68,1224,2%
04,GEN ED / CTT / G&T,-,-,19,90,1710,3%
04,GEN ED / CTT / G&T,-,-,20,106,2120,3%
04,GEN ED / CTT / G&T,-,-,21,133,2793,4%
04,GEN ED / CTT / G&T,-,-,22,184,4048,6%
04,GEN ED / CTT / G&T,-,-,23,235,5405,8%
04,GEN ED / CTT / G&T,-,-,24,259,6216,9%
04,GEN ED / CTT / G&T,-,-,25,226,5650,9%
04,GEN ED / CTT / G&T,-,-,26,222,5772,9%
04,GEN ED / CTT / G&T,-,-,27,239,6453,10%
04,GEN ED / CTT / G&T,-,-,28,238,6664,10%
04,GEN ED / CTT / G&T,-,-,29,163,4727,7%
04,GEN ED / CTT / G&T,-,-,30,133,3990,6%
04,GEN ED / CTT / G&T,-,-,31,100,3100,5%
04,GEN ED / CTT / G&T,-,-,32,112,3584,5%
04,GEN ED / CTT / G&T,-,-,33,22,726,1%
04,GEN ED / CTT / G&T,-,-,34,9,306,0%
04,GEN ED / CTT / G&T,-,-,>34,2,70,0%
05,GEN ED / CTT / G&T,-,-,<15,35,437,1%
05,GEN ED / CTT / G&T,-,-,15,22,330,1%
05,GEN ED / CTT / G&T,-,-,16,30,480,1%
05,GEN ED / CTT / G&T,-,-,17,39,663,1%
05,GEN ED / CTT / G&T,-,-,18,54,972,1%
05,GEN ED / CTT / G&T,-,-,19,84,1596,2%
05,GEN ED / CTT / G&T,-,-,20,88,1760,3%
05,GEN ED / CTT / G&T,-,-,21,127,2667,4%
05,GEN ED / CTT / G&T,-,-,22,158,3476,5%
05,GEN ED / CTT / G&T,-,-,23,177,4071,6%
05,GEN ED / CTT / G&T,-,-,24,203,4872,7%
05,GEN ED / CTT / G&T,-,-,25,231,5775,9%
05,GEN ED / CTT / G&T,-,-,26,226,5876,9%
05,GEN ED / CTT / G&T,-,-,27,209,5643,9%
05,GEN ED / CTT / G&T,-,-,28,215,6020,9%
05,GEN ED / CTT / G&T,-,-,29,185,5365,8%
05,GEN ED / CTT / G&T,-,-,30,154,4620,7%
05,GEN ED / CTT / G&T,-,-,31,135,4185,6%
05,GEN ED / CTT / G&T,-,-,32,137,4384,7%
05,GEN ED / CTT / G&T,-,-,33,23,759,1%
05,GEN ED / CTT / G&T,-,-,34,24,816,1%
05,GEN ED / CTT / G&T,-,-,>34,14,492,1%
06,GEN ED / CTT / G&T,-,-,<15,70,799,1%
06,GEN ED / CTT / G&T,-,-,15,20,300,0%
06,GEN ED / CTT / G&T,-,-,16,25,400,1%
06,GEN ED / CTT / G&T,-,-,17,33,561,1%
06,GEN ED / CTT / G&T,-,-,18,30,540,1%
06,GEN ED / CTT / G&T,-,-,19,41,779,1%
06,GEN ED / CTT / G&T,-,-,20,65,1300,2%
06,GEN ED / CTT / G&T,-,-,21,60,1260,2%
06,GEN ED / CTT / G&T,-,-,22,101,2222,3%
06,GEN ED / CTT / G&T,-,-,23,112,2576,4%
06,GEN ED / CTT / G&T,-,-,24,148,3552,6%
06,GEN ED / CTT / G&T,-,-,25,153,3825,6%
06,GEN ED / CTT / G&T,-,-,26,179,4654,7%
06,GEN ED / CTT / G&T,-,-,27,208,5616,9%
06,GEN ED / CTT / G&T,-,-,28,227,6356,10%
06,GEN ED / CTT / G&T,-,-,29,251,7279,11%
06,GEN ED / CTT / G&T,-,-,30,322,9660,15%
06,GEN ED / CTT / G&T,-,-,31,158,4898,8%
06,GEN ED / CTT / G&T,-,-,32,128,4096,6%
06,GEN ED / CTT / G&T,-,-,33,60,1980,3%
06,GEN ED / CTT / G&T,-,-,34,10,340,1%
06,GEN ED / CTT / G&T,-,-,>34,25,927,1%
07,GEN ED / CTT / G&T,-,-,<15,57,666,1%
07,GEN ED / CTT / G&T,-,-,15,12,180,0%
07,GEN ED / CTT / G&T,-,-,16,13,208,0%
07,GEN ED / CTT / G&T,-,-,17,16,272,0%
07,GEN ED / CTT / G&T,-,-,18,32,576,1%
07,GEN ED / CTT / G&T,-,-,19,48,912,1%
07,GEN ED / CTT / G&T,-,-,20,39,780,1%
07,GEN ED / CTT / G&T,-,-,21,55,1155,2%
07,GEN ED / CTT / G&T,-,-,22,78,1716,3%
07,GEN ED / CTT / G&T,-,-,23,95,2185,3%
07,GEN ED / CTT / G&T,-,-,24,102,2448,4%
07,GEN ED / CTT / G&T,-,-,25,140,3500,5%
07,GEN ED / CTT / G&T,-,-,26,138,3588,6%
07,GEN ED / CTT / G&T,-,-,27,181,4887,8%
07,GEN ED / CTT / G&T,-,-,28,228,6384,10%
07,GEN ED / CTT / G&T,-,-,29,278,8062,12%
07,GEN ED / CTT / G&T,-,-,30,335,10050,16%
07,GEN ED / CTT / G&T,-,-,31,230,7130,11%
07,GEN ED / CTT / G&T,-,-,32,140,4480,7%
07,GEN ED / CTT / G&T,-,-,33,97,3201,5%
07,GEN ED / CTT / G&T,-,-,34,33,1122,2%
07,GEN ED / CTT / G&T,-,-,>34,35,1268,2%
08,GEN ED / CTT / G&T,-,-,<15,59,654,1%
08,GEN ED / CTT / G&T,-,-,15,7,105,0%
08,GEN ED / CTT / G&T,-,-,16,13,208,0%
08,GEN ED / CTT / G&T,-,-,17,17,289,0%
08,GEN ED / CTT / G&T,-,-,18,28,504,1%
08,GEN ED / CTT / G&T,-,-,19,35,665,1%
08,GEN ED / CTT / G&T,-,-,20,36,720,1%
08,GEN ED / CTT / G&T,-,-,21,60,1260,2%
08,GEN ED / CTT / G&T,-,-,22,71,1562,2%
08,GEN ED / CTT / G&T,-,-,23,63,1449,2%
08,GEN ED / CTT / G&T,-,-,24,108,2592,4%
08,GEN ED / CTT / G&T,-,-,25,136,3400,5%
08,GEN ED / CTT / G&T,-,-,26,164,4264,6%
08,GEN ED / CTT / G&T,-,-,27,166,4482,7%
08,GEN ED / CTT / G&T,-,-,28,239,6692,10%
08,GEN ED / CTT / G&T,-,-,29,265,7685,12%
08,GEN ED / CTT / G&T,-,-,30,380,11400,17%
08,GEN ED / CTT / G&T,-,-,31,217,6727,10%
08,GEN ED / CTT / G&T,-,-,32,157,5024,8%
08,GEN ED / CTT / G&T,-,-,33,120,3960,6%
08,GEN ED / CTT / G&T,-,-,34,41,1394,2%
08,GEN ED / CTT / G&T,-,-,>34,31,1121,2%
09,GEN ED / CTT / G&T,-,-,<15,24,212,10%
09,GEN ED / CTT / G&T,-,-,15,1,15,1%
09,GEN ED / CTT / G&T,-,-,16,3,48,2%
09,GEN ED / CTT / G&T,-,-,17,3,51,2%
09,GEN ED / CTT / G&T,-,-,18,5,90,4%
09,GEN ED / CTT / G&T,-,-,20,2,40,2%
09,GEN ED / CTT / G&T,-,-,21,4,84,4%
09,GEN ED / CTT / G&T,-,-,22,4,88,4%
09,GEN ED / CTT / G&T,-,-,23,3,69,3%
09,GEN ED / CTT / G&T,-,-,24,7,168,8%
09,GEN ED / CTT / G&T,-,-,25,2,50,2%
09,GEN ED / CTT / G&T,-,-,26,6,156,7%
09,GEN ED / CTT / G&T,-,-,27,8,216,10%
09,GEN ED / CTT / G&T,-,-,28,4,112,5%
09,GEN ED / CTT / G&T,-,-,29,1,29,1%
09,GEN ED / CTT / G&T,-,-,30,1,30,1%
09,GEN ED / CTT / G&T,-,-,31,1,31,1%
09,GEN ED / CTT / G&T,-,-,32,5,160,8%
09,GEN ED / CTT / G&T,-,-,33,2,66,3%
09,GEN ED / CTT / G&T,-,-,34,2,68,3%
09,GEN ED / CTT / G&T,-,-,>34,5,347,16%
0K-09,SPEC ED,-,12:1,<6,55,212,2%
0K-09,SPEC ED,-,12:1,6,32,192,2%
0K-09,SPEC ED,-,12:1,7,55,385,3%
0K-09,SPEC ED,-,12:1,8,64,512,5%
0K-09,SPEC ED,-,12:1,9,106,954,9%
0K-09,SPEC ED,-,12:1,10,160,1600,15%
0K-09,SPEC ED,-,12:1,11,210,2310,21%
0K-09,SPEC ED,-,12:1,12,338,4056,37%
0K-09,SPEC ED,-,12:1,13,57,741,7%
0K-09,SPEC ED,-,12:1,14,3,42,0%
0K-09,SPEC ED,-,12:1,15,2,30,0%
0K-09,SPEC ED,-,12:1:1,<6,132,513,2%
0K-09,SPEC ED,-,12:1:1,6,103,618,2%
0K-09,SPEC ED,-,12:1:1,7,164,1148,5%
0K-09,SPEC ED,-,12:1:1,8,176,1408,6%
0K-09,SPEC ED,-,12:1:1,9,267,2403,10%
0K-09,SPEC ED,-,12:1:1,10,376,3760,15%
0K-09,SPEC ED,-,12:1:1,11,486,5346,22%
0K-09,SPEC ED,-,12:1:1,12,709,8508,34%
0K-09,SPEC ED,-,12:1:1,13,74,962,4%
0K-09,SPEC ED,-,12:1:1,14,5,70,0%
0K-09,SPEC ED,-,12:1:1,15,1,15,0%
0K-09,SPEC ED,-,12:1:1,>15,3,48,0%
0K-09,SPEC ED,-,15:1,<6,1,4,25%
0K-09,SPEC ED,-,15:1,12,1,12,75%
0K-09,SPEC ED,-,6:1:1,<6,2,7,28%
0K-09,SPEC ED,-,6:1:1,6,3,18,72%
0K-09,SPEC ED,-,8:1:1,6,1,6,11%
0K-09,SPEC ED,-,8:1:1,7,2,14,25%
0K-09,SPEC ED,-,8:1:1,8,3,24,43%
0K-09,SPEC ED,-,8:1:1,12,1,12,21%
MS Core,GEN ED / CTT,ENGLISH,-,<15,255,3148,2%
MS Core,GEN ED / CTT,ENGLISH,-,15,87,1305,1%
MS Core,GEN ED / CTT,ENGLISH,-,16,85,1360,1%
MS Core,GEN ED / CTT,ENGLISH,-,17,93,1581,1%
MS Core,GEN ED / CTT,ENGLISH,-,18,140,2520,1%
MS Core,GEN ED / CTT,ENGLISH,-,19,153,2907,2%
MS Core,GEN ED / CTT,ENGLISH,-,20,194,3880,2%
MS Core,GEN ED / CTT,ENGLISH,-,21,245,5145,3%
MS Core,GEN ED / CTT,ENGLISH,-,22,261,5742,3%
MS Core,GEN ED / CTT,ENGLISH,-,23,294,6762,3%
MS Core,GEN ED / CTT,ENGLISH,-,24,373,8952,5%
MS Core,GEN ED / CTT,ENGLISH,-,25,412,10300,5%
MS Core,GEN ED / CTT,ENGLISH,-,26,456,11856,6%
MS Core,GEN ED / CTT,ENGLISH,-,27,577,15579,8%
MS Core,GEN ED / CTT,ENGLISH,-,28,700,19600,10%
MS Core,GEN ED / CTT,ENGLISH,-,29,748,21692,11%
MS Core,GEN ED / CTT,ENGLISH,-,30,848,25440,13%
MS Core,GEN ED / CTT,ENGLISH,-,31,612,18972,10%
MS Core,GEN ED / CTT,ENGLISH,-,32,392,12544,6%
MS Core,GEN ED / CTT,ENGLISH,-,33,212,6996,4%
MS Core,GEN ED / CTT,ENGLISH,-,34,86,2924,2%
MS Core,GEN ED / CTT,ENGLISH,-,>34,109,4382,2%
MS Core,GEN ED / CTT,MATH,-,<15,144,1808,1%
MS Core,GEN ED / CTT,MATH,-,15,72,1080,1%
MS Core,GEN ED / CTT,MATH,-,16,80,1280,1%
MS Core,GEN ED / CTT,MATH,-,17,82,1394,1%
MS Core,GEN ED / CTT,MATH,-,18,126,2268,1%
MS Core,GEN ED / CTT,MATH,-,19,149,2831,2%
MS Core,GEN ED / CTT,MATH,-,20,168,3360,2%
MS Core,GEN ED / CTT,MATH,-,21,225,4725,3%
MS Core,GEN ED / CTT,MATH,-,22,246,5412,3%
MS Core,GEN ED / CTT,MATH,-,23,270,6210,3%
MS Core,GEN ED / CTT,MATH,-,24,352,8448,5%
MS Core,GEN ED / CTT,MATH,-,25,379,9475,5%
MS Core,GEN ED / CTT,MATH,-,26,411,10686,6%
MS Core,GEN ED / CTT,MATH,-,27,505,13635,8%
MS Core,GEN ED / CTT,MATH,-,28,637,17836,10%
MS Core,GEN ED / CTT,MATH,-,29,692,20068,11%
MS Core,GEN ED / CTT,MATH,-,30,847,25410,14%
MS Core,GEN ED / CTT,MATH,-,31,611,18941,10%
MS Core,GEN ED / CTT,MATH,-,32,368,11776,7%
MS Core,GEN ED / CTT,MATH,-,33,210,6930,4%
MS Core,GEN ED / CTT,MATH,-,34,84,2856,2%
MS Core,GEN ED / CTT,MATH,-,>34,108,4264,2%
MS Core,GEN ED / CTT,SCIENCE,-,<15,114,1426,1%
MS Core,GEN ED / CTT,SCIENCE,-,15,53,795,0%
MS Core,GEN ED / CTT,SCIENCE,-,16,65,1040,1%
MS Core,GEN ED / CTT,SCIENCE,-,17,83,1411,1%
MS Core,GEN ED / CTT,SCIENCE,-,18,124,2232,1%
MS Core,GEN ED / CTT,SCIENCE,-,19,149,2831,2%
MS Core,GEN ED / CTT,SCIENCE,-,20,165,3300,2%
MS Core,GEN ED / CTT,SCIENCE,-,21,211,4431,2%
MS Core,GEN ED / CTT,SCIENCE,-,22,253,5566,3%
MS Core,GEN ED / CTT,SCIENCE,-,23,270,6210,3%
MS Core,GEN ED / CTT,SCIENCE,-,24,361,8664,5%
MS Core,GEN ED / CTT,SCIENCE,-,25,396,9900,5%
MS Core,GEN ED / CTT,SCIENCE,-,26,438,11388,6%
MS Core,GEN ED / CTT,SCIENCE,-,27,538,14526,8%
MS Core,GEN ED / CTT,SCIENCE,-,28,680,19040,10%
MS Core,GEN ED / CTT,SCIENCE,-,29,753,21837,12%
MS Core,GEN ED / CTT,SCIENCE,-,30,865,25950,14%
MS Core,GEN ED / CTT,SCIENCE,-,31,622,19282,10%
MS Core,GEN ED / CTT,SCIENCE,-,32,391,12512,7%
MS Core,GEN ED / CTT,SCIENCE,-,33,226,7458,4%
MS Core,GEN ED / CTT,SCIENCE,-,34,87,2958,2%
MS Core,GEN ED / CTT,SCIENCE,-,>34,105,4133,2%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,<15,111,1381,1%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,15,58,870,0%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,16,75,1200,1%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,17,71,1207,1%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,18,107,1926,1%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,19,146,2774,2%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,20,166,3320,2%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,21,208,4368,2%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,22,254,5588,3%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,23,263,6049,3%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,24,340,8160,4%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,25,392,9800,5%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,26,436,11336,6%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,27,526,14202,8%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,28,665,18620,10%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,29,729,21141,12%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,30,864,25920,14%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,31,606,18786,10%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,32,364,11648,6%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,33,215,7095,4%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,34,78,2652,1%
MS Core,GEN ED / CTT,SOCIAL STUDIES,-,>34,95,3741,2%
MS Core,SPEC ED,ENGLISH,-,<6,19,95,1%
MS Core,SPEC ED,ENGLISH,-,6,10,60,1%
MS Core,SPEC ED,ENGLISH,-,7,40,280,3%
MS Core,SPEC ED,ENGLISH,-,8,21,168,2%
MS Core,SPEC ED,ENGLISH,-,9,60,540,6%
MS Core,SPEC ED,ENGLISH,-,10,172,1720,19%
MS Core,SPEC ED,ENGLISH,-,11,211,2321,26%
MS Core,SPEC ED,ENGLISH,-,12,258,3096,35%
MS Core,SPEC ED,ENGLISH,-,13,35,455,5%
MS Core,SPEC ED,ENGLISH,-,14,2,28,0%
MS Core,SPEC ED,ENGLISH,-,>15,6,146,2%
MS Core,SPEC ED,MATH,-,<6,21,105,1%
MS Core,SPEC ED,MATH,-,6,12,72,1%
MS Core,SPEC ED,MATH,-,7,34,238,3%
MS Core,SPEC ED,MATH,-,8,23,184,2%
MS Core,SPEC ED,MATH,-,9,62,558,7%
MS Core,SPEC ED,MATH,-,10,169,1690,20%
MS Core,SPEC ED,MATH,-,11,192,2112,25%
MS Core,SPEC ED,MATH,-,12,235,2820,34%
MS Core,SPEC ED,MATH,-,13,31,403,5%
MS Core,SPEC ED,MATH,-,14,5,70,1%
MS Core,SPEC ED,MATH,-,>15,4,94,1%
MS Core,SPEC ED,SCIENCE,-,<6,19,95,1%
MS Core,SPEC ED,SCIENCE,-,6,14,84,1%
MS Core,SPEC ED,SCIENCE,-,7,35,245,3%
MS Core,SPEC ED,SCIENCE,-,8,22,176,2%
MS Core,SPEC ED,SCIENCE,-,9,53,477,6%
MS Core,SPEC ED,SCIENCE,-,10,171,1710,20%
MS Core,SPEC ED,SCIENCE,-,11,194,2134,25%
MS Core,SPEC ED,SCIENCE,-,12,245,2940,35%
MS Core,SPEC ED,SCIENCE,-,13,28,364,4%
MS Core,SPEC ED,SCIENCE,-,14,6,84,1%
MS Core,SPEC ED,SCIENCE,-,>15,4,82,1%
MS Core,SPEC ED,SOCIAL STUDIES,-,<6,26,130,2%
MS Core,SPEC ED,SOCIAL STUDIES,-,6,13,78,1%
MS Core,SPEC ED,SOCIAL STUDIES,-,7,36,252,3%
MS Core,SPEC ED,SOCIAL STUDIES,-,8,23,184,2%
MS Core,SPEC ED,SOCIAL STUDIES,-,9,53,477,6%
MS Core,SPEC ED,SOCIAL STUDIES,-,10,170,1700,20%
MS Core,SPEC ED,SOCIAL STUDIES,-,11,198,2178,26%
MS Core,SPEC ED,SOCIAL STUDIES,-,12,247,2964,35%
MS Core,SPEC ED,SOCIAL STUDIES,-,13,28,364,4%
MS Core,SPEC ED,SOCIAL STUDIES,-,14,4,56,1%
MS Core,SPEC ED,SOCIAL STUDIES,-,15,1,15,0%
MS Core,SPEC ED,SOCIAL STUDIES,-,>15,4,94,1%
09-12,GEN ED / CTT,ENGLISH,-,<15,1001,12101,4%
09-12,GEN ED / CTT,ENGLISH,-,15,238,3570,1%
09-12,GEN ED / CTT,ENGLISH,-,16,260,4160,1%
09-12,GEN ED / CTT,ENGLISH,-,17,315,5355,2%
09-12,GEN ED / CTT,ENGLISH,-,18,329,5922,2%
09-12,GEN ED / CTT,ENGLISH,-,19,334,6346,2%
09-12,GEN ED / CTT,ENGLISH,-,20,393,7860,2%
09-12,GEN ED / CTT,ENGLISH,-,21,498,10458,3%
09-12,GEN ED / CTT,ENGLISH,-,22,525,11550,3%
09-12,GEN ED / CTT,ENGLISH,-,23,515,11845,3%
09-12,GEN ED / CTT,ENGLISH,-,24,574,13776,4%
09-12,GEN ED / CTT,ENGLISH,-,25,672,16800,5%
09-12,GEN ED / CTT,ENGLISH,-,26,670,17420,5%
09-12,GEN ED / CTT,ENGLISH,-,27,634,17118,5%
09-12,GEN ED / CTT,ENGLISH,-,28,673,18844,6%
09-12,GEN ED / CTT,ENGLISH,-,29,700,20300,6%
09-12,GEN ED / CTT,ENGLISH,-,30,663,19890,6%
09-12,GEN ED / CTT,ENGLISH,-,31,716,22196,7%
09-12,GEN ED / CTT,ENGLISH,-,32,823,26336,8%
09-12,GEN ED / CTT,ENGLISH,-,33,997,32901,10%
09-12,GEN ED / CTT,ENGLISH,-,34,1332,45288,13%
09-12,GEN ED / CTT,ENGLISH,-,>34,282,10623,3%
09-12,GEN ED / CTT,MATH,-,<15,729,8903,3%
09-12,GEN ED / CTT,MATH,-,15,201,3015,1%
09-12,GEN ED / CTT,MATH,-,16,200,3200,1%
09-12,GEN ED / CTT,MATH,-,17,226,3842,1%
09-12,GEN ED / CTT,MATH,-,18,272,4896,2%
09-12,GEN ED / CTT,MATH,-,19,288,5472,2%
09-12,GEN ED / CTT,MATH,-,20,332,6640,3%
09-12,GEN ED / CTT,MATH,-,21,349,7329,3%
09-12,GEN ED / CTT,MATH,-,22,370,8140,3%
09-12,GEN ED / CTT,MATH,-,23,398,9154,4%
09-12,GEN ED / CTT,MATH,-,24,387,9288,4%
09-12,GEN ED / CTT,MATH,-,25,477,11925,5%
09-12,GEN ED / CTT,MATH,-,26,435,11310,4%
09-12,GEN ED / CTT,MATH,-,27,466,12582,5%
09-12,GEN ED / CTT,MATH,-,28,477,13356,5%
09-12,GEN ED / CTT,MATH,-,29,515,14935,6%
09-12,GEN ED / CTT,MATH,-,30,524,15720,6%
09-12,GEN ED / CTT,MATH,-,31,502,15562,6%
09-12,GEN ED / CTT,MATH,-,32,662,21184,8%
09-12,GEN ED / CTT,MATH,-,33,787,25971,10%
09-12,GEN ED / CTT,MATH,-,34,1110,37740,15%
09-12,GEN ED / CTT,MATH,-,>34,223,8123,3%
09-12,GEN ED / CTT,SCIENCE,-,<15,817,10042,3%
09-12,GEN ED / CTT,SCIENCE,-,15,224,3360,1%
09-12,GEN ED / CTT,SCIENCE,-,16,261,4176,1%
09-12,GEN ED / CTT,SCIENCE,-,17,271,4607,1%
09-12,GEN ED / CTT,SCIENCE,-,18,311,5598,1%
09-12,GEN ED / CTT,SCIENCE,-,19,348,6612,2%
09-12,GEN ED / CTT,SCIENCE,-,20,389,7780,2%
09-12,GEN ED / CTT,SCIENCE,-,21,448,9408,2%
09-12,GEN ED / CTT,SCIENCE,-,22,495,10890,3%
09-12,GEN ED / CTT,SCIENCE,-,23,592,13616,3%
09-12,GEN ED / CTT,SCIENCE,-,24,554,13296,3%
09-12,GEN ED / CTT,SCIENCE,-,25,621,15525,4%
09-12,GEN ED / CTT,SCIENCE,-,26,588,15288,4%
09-12,GEN ED / CTT,SCIENCE,-,27,676,18252,5%
09-12,GEN ED / CTT,SCIENCE,-,28,746,20888,5%
09-12,GEN ED / CTT,SCIENCE,-,29,722,20938,5%
09-12,GEN ED / CTT,SCIENCE,-,30,841,25230,6%
09-12,GEN ED / CTT,SCIENCE,-,31,937,29047,7%
09-12,GEN ED / CTT,SCIENCE,-,32,1082,34624,9%
09-12,GEN ED / CTT,SCIENCE,-,33,1467,48411,12%
09-12,GEN ED / CTT,SCIENCE,-,34,1783,60622,15%
