CSD,BOROUGH,GRADE LEVEL,PROGRAM TYPE,CORE SUBJECT,SERVICE CATEGORY,CLASS SIZE,NUMBER OF CLASSES,NUMBER OF STUDENTS,PERCENT OF STUDENTS IN DISTRICT / BOROUGH / GRADE / PROGRAM / SUBJECT
01,M,05,GEN ED / CTT / G&T,-,-,23,1,23,3%
01,M,05,GEN ED / CTT / G&T,-,-,24,1,24,3%
01,M,05,GEN ED / CTT / G&T,-,-,25,5,125,16%
01,M,05,GEN ED / CTT / G&T,-,-,26,3,78,10%
01,M,05,GEN ED / CTT / G&T,-,-,27,2,54,7%
01,M,05,GEN ED / CTT / G&T,-,-,28,2,56,7%
01,M,05,GEN ED / CTT / G&T,-,-,29,2,58,7%
01,M,05,GEN ED / CTT / G&T,-,-,30,1,30,4%
01,M,05,GEN ED / CTT / G&T,-,-,31,1,31,4%
01,M,05,GEN ED / CTT / G&T,-,-,34,3,102,13%
01,M,06,GEN ED / CTT / G&T,-,-,<15,14,152,19%
01,M,06,GEN ED / CTT / G&T,-,-,15,2,30,4%
01,M,06,GEN ED / CTT / G&T,-,-,16,1,16,2%
01,M,06,GEN ED / CTT / G&T,-,-,21,1,21,3%
01,M,06,GEN ED / CTT / G&T,-,-,22,1,22,3%
01,M,06,GEN ED / CTT / G&T,-,-,23,2,46,6%
01,M,06,GEN ED / CTT / G&T,-,-,24,3,72,9%
01,M,06,GEN ED / CTT / G&T,-,-,25,2,50,6%
01,M,06,GEN ED / CTT / G&T,-,-,26,3,78,10%
01,M,06,GEN ED / CTT / G&T,-,-,27,1,27,3%
01,M,06,GEN ED / CTT / G&T,-,-,28,3,84,10%
01,M,06,GEN ED / CTT / G&T,-,-,29,1,29,4%
01,M,06,GEN ED / CTT / G&T,-,-,30,1,30,4%
01,M,06,GEN ED / CTT / G&T,-,-,31,3,93,11%
01,M,06,GEN ED / CTT / G&T,-,-,32,2,64,8%
01,M,07,GEN ED / CTT / G&T,-,-,<15,11,113,15%
01,M,07,GEN ED / CTT / G&T,-,-,16,2,32,4%
01,M,07,GEN ED / CTT / G&T,-,-,17,3,51,7%
01,M,07,GEN ED / CTT / G&T,-,-,18,1,18,2%
01,M,07,GEN ED / CTT / G&T,-,-,19,2,38,5%
01,M,07,GEN ED / CTT / G&T,-,-,20,1,20,3%
01,M,07,GEN ED / CTT / G&T,-,-,21,1,21,3%
01,M,07,GEN ED / CTT / G&T,-,-,23,4,92,12%
01,M,07,GEN ED / CTT / G&T,-,-,24,1,24,3%
01,M,07,GEN ED / CTT / G&T,-,-,25,1,25,3%
01,M,07,GEN ED / CTT / G&T,-,-,26,3,78,10%
01,M,07,GEN ED / CTT / G&T,-,-,27,3,81,11%
01,M,07,GEN ED / CTT / G&T,-,-,28,1,28,4%
01,M,07,GEN ED / CTT / G&T,-,-,30,3,90,12%
01,M,07,GEN ED / CTT / G&T,-,-,32,1,32,4%
01,M,08,GEN ED / CTT / G&T,-,-,<15,14,150,17%
01,M,08,GEN ED / CTT / G&T,-,-,17,1,17,2%
01,M,08,GEN ED / CTT / G&T,-,-,18,1,18,2%
01,M,08,GEN ED / CTT / G&T,-,-,19,2,38,4%
01,M,08,GEN ED / CTT / G&T,-,-,23,4,92,11%
01,M,08,GEN ED / CTT / G&T,-,-,24,3,72,8%
01,M,08,GEN ED / CTT / G&T,-,-,25,1,25,3%
01,M,08,GEN ED / CTT / G&T,-,-,26,4,104,12%
01,M,08,GEN ED / CTT / G&T,-,-,27,1,27,3%
01,M,08,GEN ED / CTT / G&T,-,-,28,2,56,6%
01,M,08,GEN ED / CTT / G&T,-,-,29,3,87,10%
01,M,08,GEN ED / CTT / G&T,-,-,30,5,150,17%
01,M,08,GEN ED / CTT / G&T,-,-,32,1,32,4%
01,M,0K-09,SPEC ED,-,12:1,<6,1,2,1%
01,M,0K-09,SPEC ED,-,12:1,6,2,12,7%
01,M,0K-09,SPEC ED,-,12:1,7,3,21,12%
01,M,0K-09,SPEC ED,-,12:1,8,2,16,9%
01,M,0K-09,SPEC ED,-,12:1,9,3,27,15%
01,M,0K-09,SPEC ED,-,12:1,10,3,30,17%
01,M,0K-09,SPEC ED,-,12:1,11,2,22,12%
01,M,0K-09,SPEC ED,-,12:1,12,3,36,20%
01,M,0K-09,SPEC ED,-,12:1,13,1,13,7%
01,M,0K-09,SPEC ED,-,12:1:1,<6,3,12,4%
01,M,0K-09,SPEC ED,-,12:1:1,6,1,6,2%
01,M,0K-09,SPEC ED,-,12:1:1,7,3,21,8%
01,M,0K-09,SPEC ED,-,12:1:1,8,5,40,15%
01,M,0K-09,SPEC ED,-,12:1:1,9,3,27,10%
01,M,0K-09,SPEC ED,-,12:1:1,10,6,60,22%
01,M,0K-09,SPEC ED,-,12:1:1,11,6,66,25%
01,M,0K-09,SPEC ED,-,12:1:1,12,3,36,13%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,15,1,15,1%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,17,1,17,2%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,19,1,19,2%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,20,1,20,2%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,21,4,84,7%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,22,5,110,10%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,24,3,72,6%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,25,4,100,9%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,26,5,130,11%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,27,8,216,19%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,28,6,168,15%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,29,2,58,5%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,30,2,60,5%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,31,1,31,3%
01,M,MS Core,GEN ED / CTT,ENGLISH,-,32,1,32,3%
01,M,MS Core,GEN ED / CTT,MATH,-,<15,1,11,1%
01,M,MS Core,GEN ED / CTT,MATH,-,15,4,60,4%
01,M,MS Core,GEN ED / CTT,MATH,-,16,2,32,2%
01,M,MS Core,GEN ED / CTT,MATH,-,17,5,85,6%
01,M,MS Core,GEN ED / CTT,MATH,-,18,3,54,4%
01,M,MS Core,GEN ED / CTT,MATH,-,19,2,38,3%
01,M,MS Core,GEN ED / CTT,MATH,-,20,1,20,1%
01,M,MS Core,GEN ED / CTT,MATH,-,21,6,126,9%
01,M,MS Core,GEN ED / CTT,MATH,-,22,6,132,9%
01,M,MS Core,GEN ED / CTT,MATH,-,23,1,23,2%
01,M,MS Core,GEN ED / CTT,MATH,-,24,3,72,5%
01,M,MS Core,GEN ED / CTT,MATH,-,25,4,100,7%
01,M,MS Core,GEN ED / CTT,MATH,-,26,4,104,7%
01,M,MS Core,GEN ED / CTT,MATH,-,27,9,243,17%
01,M,MS Core,GEN ED / CTT,MATH,-,28,5,140,10%
01,M,MS Core,GEN ED / CTT,MATH,-,29,2,58,4%
01,M,MS Core,GEN ED / CTT,MATH,-,30,2,60,4%
01,M,MS Core,GEN ED / CTT,MATH,-,31,1,31,2%
01,M,MS Core,GEN ED / CTT,MATH,-,32,1,32,2%
01,M,MS Core,GEN ED / CTT,MATH,-,33,1,33,2%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,<15,2,26,2%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,15,2,30,2%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,16,1,16,1%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,17,5,85,6%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,18,3,54,4%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,19,1,19,1%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,20,2,40,3%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,21,4,84,6%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,22,7,154,11%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,23,1,23,2%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,24,3,72,5%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,25,4,100,7%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,26,5,130,9%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,27,9,243,17%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,28,6,168,12%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,29,2,58,4%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,30,2,60,4%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,31,1,31,2%
01,M,MS Core,GEN ED / CTT,SCIENCE,-,32,1,32,2%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,<15,1,12,1%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,15,3,45,4%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,16,4,64,5%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,17,3,51,4%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,19,1,19,1%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,20,1,20,2%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,21,4,84,7%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,22,5,110,9%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,24,3,72,6%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,25,4,100,8%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,26,5,130,10%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,27,8,216,17%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,28,6,168,13%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,29,2,58,5%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,30,2,60,5%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,31,1,31,2%
01,M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,32,1,32,3%
01,M,MS Core,SPEC ED,ENGLISH,-,7,1,7,13%
01,M,MS Core,SPEC ED,ENGLISH,-,9,1,9,17%
01,M,MS Core,SPEC ED,ENGLISH,-,11,1,11,21%
01,M,MS Core,SPEC ED,ENGLISH,-,12,1,12,23%
01,M,MS Core,SPEC ED,ENGLISH,-,13,1,13,25%
01,M,MS Core,SPEC ED,MATH,-,9,1,9,13%
01,M,MS Core,SPEC ED,MATH,-,10,1,10,15%
01,M,MS Core,SPEC ED,MATH,-,11,1,11,16%
01,M,MS Core,SPEC ED,MATH,-,12,2,24,36%
01,M,MS Core,SPEC ED,MATH,-,13,1,13,19%
01,M,MS Core,SPEC ED,SCIENCE,-,9,1,9,13%
01,M,MS Core,SPEC ED,SCIENCE,-,10,1,10,15%
01,M,MS Core,SPEC ED,SCIENCE,-,11,1,11,16%
01,M,MS Core,SPEC ED,SCIENCE,-,12,2,24,36%
01,M,MS Core,SPEC ED,SCIENCE,-,13,1,13,19%
01,M,MS Core,SPEC ED,SOCIAL STUDIES,-,9,1,9,20%
01,M,MS Core,SPEC ED,SOCIAL STUDIES,-,11,1,11,24%
01,M,MS Core,SPEC ED,SOCIAL STUDIES,-,12,1,12,27%
01,M,MS Core,SPEC ED,SOCIAL STUDIES,-,13,1,13,29%
01,M,09-12,GEN ED / CTT,ENGLISH,-,<15,14,169,4%
01,M,09-12,GEN ED / CTT,ENGLISH,-,15,1,15,0%
01,M,09-12,GEN ED / CTT,ENGLISH,-,16,6,96,2%
01,M,09-12,GEN ED / CTT,ENGLISH,-,17,12,204,5%
01,M,09-12,GEN ED / CTT,ENGLISH,-,18,6,108,3%
01,M,09-12,GEN ED / CTT,ENGLISH,-,19,12,228,6%
01,M,09-12,GEN ED / CTT,ENGLISH,-,20,13,260,7%
01,M,09-12,GEN ED / CTT,ENGLISH,-,21,12,252,7%
01,M,09-12,GEN ED / CTT,ENGLISH,-,22,18,396,10%
01,M,09-12,GEN ED / CTT,ENGLISH,-,23,13,299,8%
01,M,09-12,GEN ED / CTT,ENGLISH,-,24,11,264,7%
01,M,09-12,GEN ED / CTT,ENGLISH,-,25,11,275,7%
01,M,09-12,GEN ED / CTT,ENGLISH,-,26,10,260,7%
01,M,09-12,GEN ED / CTT,ENGLISH,-,27,8,216,6%
01,M,09-12,GEN ED / CTT,ENGLISH,-,28,7,196,5%
01,M,09-12,GEN ED / CTT,ENGLISH,-,29,2,58,1%
01,M,09-12,GEN ED / CTT,ENGLISH,-,30,5,150,4%
01,M,09-12,GEN ED / CTT,ENGLISH,-,31,4,124,3%
01,M,09-12,GEN ED / CTT,ENGLISH,-,32,3,96,2%
01,M,09-12,GEN ED / CTT,ENGLISH,-,33,1,33,1%
01,M,09-12,GEN ED / CTT,ENGLISH,-,34,5,170,4%
01,M,09-12,GEN ED / CTT,MATH,-,<15,5,64,2%
01,M,09-12,GEN ED / CTT,MATH,-,15,4,60,2%
01,M,09-12,GEN ED / CTT,MATH,-,16,6,96,3%
01,M,09-12,GEN ED / CTT,MATH,-,17,3,51,2%
01,M,09-12,GEN ED / CTT,MATH,-,18,7,126,4%
01,M,09-12,GEN ED / CTT,MATH,-,19,6,114,4%
01,M,09-12,GEN ED / CTT,MATH,-,20,9,180,6%
01,M,09-12,GEN ED / CTT,MATH,-,21,8,168,5%
01,M,09-12,GEN ED / CTT,MATH,-,22,3,66,2%
01,M,09-12,GEN ED / CTT,MATH,-,23,10,230,7%
01,M,09-12,GEN ED / CTT,MATH,-,24,13,312,10%
01,M,09-12,GEN ED / CTT,MATH,-,25,13,325,10%
01,M,09-12,GEN ED / CTT,MATH,-,26,9,234,7%
01,M,09-12,GEN ED / CTT,MATH,-,27,6,162,5%
01,M,09-12,GEN ED / CTT,MATH,-,28,9,252,8%
01,M,09-12,GEN ED / CTT,MATH,-,29,3,87,3%
01,M,09-12,GEN ED / CTT,MATH,-,30,3,90,3%
01,M,09-12,GEN ED / CTT,MATH,-,31,7,217,7%
01,M,09-12,GEN ED / CTT,MATH,-,32,5,160,5%
01,M,09-12,GEN ED / CTT,MATH,-,33,4,132,4%
01,M,09-12,GEN ED / CTT,MATH,-,34,2,68,2%
01,M,09-12,GEN ED / CTT,SCIENCE,-,<15,12,151,3%
01,M,09-12,GEN ED / CTT,SCIENCE,-,15,7,105,2%
01,M,09-12,GEN ED / CTT,SCIENCE,-,16,8,128,3%
01,M,09-12,GEN ED / CTT,SCIENCE,-,17,6,102,2%
01,M,09-12,GEN ED / CTT,SCIENCE,-,18,8,144,3%
01,M,09-12,GEN ED / CTT,SCIENCE,-,19,11,209,4%
01,M,09-12,GEN ED / CTT,SCIENCE,-,20,9,180,4%
01,M,09-12,GEN ED / CTT,SCIENCE,-,21,10,210,4%
01,M,09-12,GEN ED / CTT,SCIENCE,-,22,12,264,5%
01,M,09-12,GEN ED / CTT,SCIENCE,-,23,31,713,14%
01,M,09-12,GEN ED / CTT,SCIENCE,-,24,26,624,12%
01,M,09-12,GEN ED / CTT,SCIENCE,-,25,10,250,5%
01,M,09-12,GEN ED / CTT,SCIENCE,-,26,8,208,4%
01,M,09-12,GEN ED / CTT,SCIENCE,-,27,6,162,3%
01,M,09-12,GEN ED / CTT,SCIENCE,-,28,10,280,6%
01,M,09-12,GEN ED / CTT,SCIENCE,-,29,13,377,7%
01,M,09-12,GEN ED / CTT,SCIENCE,-,30,5,150,3%
01,M,09-12,GEN ED / CTT,SCIENCE,-,31,8,248,5%
01,M,09-12,GEN ED / CTT,SCIENCE,-,32,4,128,3%
01,M,09-12,GEN ED / CTT,SCIENCE,-,33,8,264,5%
01,M,09-12,GEN ED / CTT,SCIENCE,-,34,4,136,3%
01,M,09-12,GEN ED / CTT,SCIENCE,-,>34,1,35,1%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,<15,11,136,3%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,15,6,90,2%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,16,4,64,2%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,17,9,153,4%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,18,8,144,4%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,19,6,114,3%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,20,13,260,6%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,21,15,315,8%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,22,13,286,7%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,23,10,230,6%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,24,8,192,5%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,25,11,275,7%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,26,7,182,4%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,27,6,162,4%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,28,10,280,7%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,29,9,261,6%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,30,5,150,4%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,31,3,93,2%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,32,8,256,6%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,33,8,264,6%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,34,4,136,3%
01,M,09-12,GEN ED / CTT,SOCIAL STUDIES,-,>34,1,35,1%
01,M,09-12,SPEC ED,ENGLISH,-,6,1,6,8%
01,M,09-12,SPEC ED,ENGLISH,-,8,1,8,11%
01,M,09-12,SPEC ED,ENGLISH,-,10,2,20,28%
01,M,09-12,SPEC ED,ENGLISH,-,11,1,11,15%
01,M,09-12,SPEC ED,ENGLISH,-,12,1,12,17%
01,M,09-12,SPEC ED,ENGLISH,-,15,1,15,21%
01,M,09-12,SPEC ED,MATH,-,<6,1,5,14%
01,M,09-12,SPEC ED,MATH,-,6,1,6,17%
01,M,09-12,SPEC ED,MATH,-,9,1,9,26%
01,M,09-12,SPEC ED,MATH,-,15,1,15,43%
01,M,09-12,SPEC ED,SCIENCE,-,8,3,24,44%
01,M,09-12,SPEC ED,SCIENCE,-,15,2,30,56%
01,M,09-12,SPEC ED,SOCIAL STUDIES,-,6,1,6,21%
01,M,09-12,SPEC ED,SOCIAL STUDIES,-,8,1,8,29%
01,M,09-12,SPEC ED,SOCIAL STUDIES,-,14,1,14,50%
02,M,0K,GEN ED / CTT / G&T,-,-,<15,4,52,2%
02,M,0K,GEN ED / CTT / G&T,-,-,15,1,15,1%
02,M,0K,GEN ED / CTT / G&T,-,-,16,4,64,2%
02,M,0K,GEN ED / CTT / G&T,-,-,18,2,36,1%
02,M,0K,GEN ED / CTT / G&T,-,-,19,7,133,5%
02,M,0K,GEN ED / CTT / G&T,-,-,20,11,220,8%
02,M,0K,GEN ED / CTT / G&T,-,-,21,16,336,12%
02,M,0K,GEN ED / CTT / G&T,-,-,22,15,330,12%
02,M,0K,GEN ED / CTT / G&T,-,-,23,17,391,14%
02,M,0K,GEN ED / CTT / G&T,-,-,24,15,360,13%
02,M,0K,GEN ED / CTT / G&T,-,-,25,23,575,20%
02,M,0K,GEN ED / CTT / G&T,-,-,26,3,78,3%
02,M,0K,GEN ED / CTT / G&T,-,-,27,6,162,6%
02,M,0K,GEN ED / CTT / G&T,-,-,28,2,56,2%
02,M,01,GEN ED / CTT / G&T,-,-,<15,4,52,2%
02,M,01,GEN ED / CTT / G&T,-,-,15,2,30,1%
02,M,01,GEN ED / CTT / G&T,-,-,16,1,16,1%
02,M,01,GEN ED / CTT / G&T,-,-,17,2,34,1%
02,M,01,GEN ED / CTT / G&T,-,-,18,1,18,1%
02,M,01,GEN ED / CTT / G&T,-,-,19,4,76,3%
02,M,01,GEN ED / CTT / G&T,-,-,20,18,360,14%
02,M,01,GEN ED / CTT / G&T,-,-,21,9,189,7%
02,M,01,GEN ED / CTT / G&T,-,-,22,8,176,7%
02,M,01,GEN ED / CTT / G&T,-,-,23,3,69,3%
02,M,01,GEN ED / CTT / G&T,-,-,24,23,552,21%
02,M,01,GEN ED / CTT / G&T,-,-,25,17,425,16%
02,M,01,GEN ED / CTT / G&T,-,-,26,15,390,15%
02,M,01,GEN ED / CTT / G&T,-,-,27,4,108,4%
02,M,01,GEN ED / CTT / G&T,-,-,28,4,112,4%
02,M,01,GEN ED / CTT / G&T,-,-,29,2,58,2%
02,M,02,GEN ED / CTT / G&T,-,-,<15,6,66,3%
02,M,02,GEN ED / CTT / G&T,-,-,15,1,15,1%
02,M,02,GEN ED / CTT / G&T,-,-,16,3,48,2%
02,M,02,GEN ED / CTT / G&T,-,-,17,3,51,2%
02,M,02,GEN ED / CTT / G&T,-,-,18,3,54,2%
02,M,02,GEN ED / CTT / G&T,-,-,19,1,19,1%
02,M,02,GEN ED / CTT / G&T,-,-,20,7,140,6%
02,M,02,GEN ED / CTT / G&T,-,-,21,1,21,1%
02,M,02,GEN ED / CTT / G&T,-,-,22,10,220,9%
02,M,02,GEN ED / CTT / G&T,-,-,23,9,207,8%
02,M,02,GEN ED / CTT / G&T,-,-,24,15,360,14%
02,M,02,GEN ED / CTT / G&T,-,-,25,14,350,14%
02,M,02,GEN ED / CTT / G&T,-,-,26,11,286,11%
02,M,02,GEN ED / CTT / G&T,-,-,27,8,216,9%
02,M,02,GEN ED / CTT / G&T,-,-,28,11,308,12%
02,M,02,GEN ED / CTT / G&T,-,-,29,2,58,2%
02,M,02,GEN ED / CTT / G&T,-,-,30,2,60,2%
02,M,02,GEN ED / CTT / G&T,-,-,31,1,31,1%
02,M,03,GEN ED / CTT / G&T,-,-,<15,4,46,2%
02,M,03,GEN ED / CTT / G&T,-,-,15,1,15,1%
02,M,03,GEN ED / CTT / G&T,-,-,18,2,36,2%
02,M,03,GEN ED / CTT / G&T,-,-,19,5,95,4%
02,M,03,GEN ED / CTT / G&T,-,-,20,4,80,3%
02,M,03,GEN ED / CTT / G&T,-,-,21,7,147,6%
02,M,03,GEN ED / CTT / G&T,-,-,22,7,154,7%
02,M,03,GEN ED / CTT / G&T,-,-,23,8,184,8%
02,M,03,GEN ED / CTT / G&T,-,-,24,11,264,11%
02,M,03,GEN ED / CTT / G&T,-,-,25,11,275,12%
02,M,03,GEN ED / CTT / G&T,-,-,26,4,104,4%
02,M,03,GEN ED / CTT / G&T,-,-,27,7,189,8%
02,M,03,GEN ED / CTT / G&T,-,-,28,14,392,17%
02,M,03,GEN ED / CTT / G&T,-,-,29,10,290,12%
02,M,03,GEN ED / CTT / G&T,-,-,30,2,60,3%
02,M,04,GEN ED / CTT / G&T,-,-,<15,4,46,2%
02,M,04,GEN ED / CTT / G&T,-,-,16,1,16,1%
02,M,04,GEN ED / CTT / G&T,-,-,18,3,54,2%
02,M,04,GEN ED / CTT / G&T,-,-,19,5,95,4%
02,M,04,GEN ED / CTT / G&T,-,-,20,2,40,2%
