Borough,Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort,Total Regents Num,Total Regents Pct of cohort,Total Regents Pct of grads,Advanced Regents Num,Advanced Regents Pct of cohort,Advanced Regents Pct of grads,Regents w/o Advanced Num,Regents w/o Advanced Pct of cohort,Regents w/o Advanced Pct of grads,Local Num,Local Pct of cohort,Local Pct of grads,Still Enrolled Num,Still Enrolled Pct of cohort,Dropped Out Num,Dropped Out Pct of cohort
Brooklyn,2004,6 Year,English Language Learner,"1,959","1,034",52.80%,464,23.70%,44.90%,157,8.00%,15.20%,307,15.70%,29.70%,570,29.10%,55.10%,130,6.60%,665,33.90%
Brooklyn,2005,4 Year  June,English Language Learner,"2,220",864,38.90%,474,21.40%,54.90%,177,8.00%,20.50%,297,13.40%,34.40%,390,17.60%,45.10%,851,38.30%,409,18.40%
Brooklyn,2005,4 Year August,English Language Learner,"2,220",966,43.50%,514,23.20%,53.20%,182,8.20%,18.80%,332,15.00%,34.40%,452,20.40%,46.80%,749,33.70%,409,18.40%
Brooklyn,2005,5 Year,English Language Learner,"2,201","1,158",52.60%,582,26.40%,50.30%,199,9.00%,17.20%,383,17.40%,33.10%,576,26.20%,49.70%,261,11.90%,654,29.70%
Brooklyn,2005,6 Year,English Language Learner,"2,174","1,231",56.60%,604,27.80%,49.10%,199,9.20%,16.20%,405,18.60%,32.90%,627,28.80%,50.90%,100,4.60%,710,32.70%
Brooklyn,2006,4 Year  June,English Language Learner,"2,181",905,41.50%,641,29.40%,70.80%,186,8.50%,20.60%,455,20.90%,50.30%,264,12.10%,29.20%,764,35.00%,433,19.90%
Brooklyn,2006,4 Year August,English Language Learner,"2,181",988,45.30%,674,30.90%,68.20%,188,8.60%,19.00%,486,22.30%,49.20%,314,14.40%,31.80%,681,31.20%,433,19.90%
Brooklyn,2006,5 Year  June,English Language Learner,"2,176","1,139",52.30%,724,33.30%,63.60%,194,8.90%,17.00%,530,24.40%,46.50%,415,19.10%,36.40%,268,12.30%,632,29.00%
Brooklyn,2006,5 Year August,English Language Learner,"2,176","1,169",53.70%,732,33.60%,62.60%,194,8.90%,16.60%,538,24.70%,46.00%,437,20.10%,37.40%,239,11.00%,631,29.00%
Brooklyn,2007,4 Year  June,English Language Learner,"2,388","1,024",42.90%,780,32.70%,76.20%,166,7.00%,16.20%,614,25.70%,60.00%,244,10.20%,23.80%,853,35.70%,442,18.50%
Brooklyn,2007,4 Year August,English Language Learner,"2,388","1,155",48.40%,845,35.40%,73.20%,167,7.00%,14.50%,678,28.40%,58.70%,310,13.00%,26.80%,726,30.40%,440,18.40%
Brooklyn,2001,4 Year  June,English Language Proficient,"17,418","9,067",52.10%,"5,909",33.90%,65.20%,"2,713",15.60%,29.90%,"3,196",18.30%,35.20%,"3,167",18.20%,34.90%,"5,031",28.90%,"2,889",16.60%
Brooklyn,2001,5 Year,English Language Proficient,"17,418","10,719",61.50%,"6,341",36.40%,59.20%,"2,771",15.90%,25.90%,"3,570",20.50%,33.30%,"4,394",25.20%,41.00%,"1,781",10.20%,"4,287",24.60%
Brooklyn,2001,6 Year,English Language Proficient,"17,418","11,187",64.20%,"6,435",36.90%,57.50%,"2,779",16.00%,24.80%,"3,656",21.00%,32.70%,"4,785",27.50%,42.80%,759,4.40%,"4,787",27.50%
Brooklyn,2002,4 Year  June,English Language Proficient,"18,906","9,909",52.40%,"6,905",36.50%,69.70%,"2,819",14.90%,28.40%,"4,086",21.60%,41.20%,"3,011",15.90%,30.40%,"5,603",29.60%,"2,747",14.50%
Brooklyn,2002,5 Year,English Language Proficient,"18,906","11,792",62.40%,"7,481",39.60%,63.40%,"2,906",15.40%,24.60%,"4,575",24.20%,38.80%,"4,372",23.10%,37.10%,"2,350",12.40%,"3,914",20.70%
Brooklyn,2002,6 Year,English Language Proficient,"18,906","12,417",65.70%,"7,598",40.20%,61.20%,"2,909",15.40%,23.40%,"4,689",24.80%,37.80%,"4,880",25.80%,39.30%,"1,090",5.80%,"4,468",23.60%
Brooklyn,2003,4 Year  June,English Language Proficient,"19,435","10,616",54.60%,"7,494",38.60%,70.60%,"3,157",16.20%,29.70%,"4,337",22.30%,40.90%,"3,122",16.10%,29.40%,"5,722",29.40%,"2,656",13.70%
Brooklyn,2003,5 Year,English Language Proficient,"19,435","12,502",64.30%,"8,160",42.00%,65.30%,"3,212",16.50%,25.70%,"4,948",25.50%,39.60%,"4,342",22.30%,34.70%,"2,226",11.50%,"3,967",20.40%
Brooklyn,2003,6 Year,English Language Proficient,"19,476","13,136",67.40%,"8,319",42.70%,63.30%,"3,214",16.50%,24.50%,"5,105",26.20%,38.90%,"4,817",24.70%,36.70%,"1,020",5.20%,"4,364",22.40%
Brooklyn,2004,4 Year  June,English Language Proficient,"20,298","11,573",57.00%,"8,491",41.80%,73.40%,"3,599",17.70%,31.10%,"4,892",24.10%,42.30%,"3,082",15.20%,26.60%,"5,688",28.00%,"2,526",12.40%
Brooklyn,2004,5 Year,English Language Proficient,"20,440","13,518",66.10%,"9,183",44.90%,67.90%,"3,644",17.80%,27.00%,"5,539",27.10%,41.00%,"4,335",21.20%,32.10%,"2,149",10.50%,"3,548",17.40%
Brooklyn,2004,6 Year,English Language Proficient,"20,438","14,237",69.70%,"9,372",45.90%,65.80%,"3,644",17.80%,25.60%,"5,728",28.00%,40.20%,"4,865",23.80%,34.20%,"1,188",5.80%,"4,057",19.90%
Brooklyn,2005,4 Year  June,English Language Proficient,"20,111","11,739",58.40%,"9,014",44.80%,76.80%,"3,441",17.10%,29.30%,"5,573",27.70%,47.50%,"2,725",13.50%,23.20%,"5,469",27.20%,"2,169",10.80%
Brooklyn,2005,4 Year August,English Language Proficient,"20,111","12,542",62.40%,"9,392",46.70%,74.90%,"3,485",17.30%,27.80%,"5,907",29.40%,47.10%,"3,150",15.70%,25.10%,"4,668",23.20%,"2,168",10.80%
Brooklyn,2005,5 Year,English Language Proficient,"20,172","13,740",68.10%,"9,895",49.10%,72.00%,"3,525",17.50%,25.70%,"6,370",31.60%,46.40%,"3,845",19.10%,28.00%,"1,763",8.70%,"3,620",17.90%
Brooklyn,2005,6 Year,English Language Proficient,"20,141","14,377",71.40%,"10,073",50.00%,70.10%,"3,526",17.50%,24.50%,"6,547",32.50%,45.50%,"4,304",21.40%,29.90%,874,4.30%,"3,853",19.10%
Brooklyn,2006,4 Year  June,English Language Proficient,"19,996","12,135",60.70%,"9,799",49.00%,80.70%,"3,531",17.70%,29.10%,"6,268",31.30%,51.70%,"2,336",11.70%,19.30%,"4,872",24.40%,"2,298",11.50%
Brooklyn,2006,4 Year August,English Language Proficient,"19,996","13,055",65.30%,"10,271",51.40%,78.70%,"3,575",17.90%,27.40%,"6,696",33.50%,51.30%,"2,784",13.90%,21.30%,"3,967",19.80%,"2,283",11.40%
Brooklyn,2006,5 Year  June,English Language Proficient,"20,163","14,134",70.10%,"10,732",53.20%,75.90%,"3,594",17.80%,25.40%,"7,138",35.40%,50.50%,"3,402",16.90%,24.10%,"1,632",8.10%,"3,518",17.40%
Brooklyn,2006,5 Year August,English Language Proficient,"20,163","14,349",71.20%,"10,794",53.50%,75.20%,"3,594",17.80%,25.00%,"7,200",35.70%,50.20%,"3,555",17.60%,24.80%,"1,455",7.20%,"3,471",17.20%
Brooklyn,2007,4 Year  June,English Language Proficient,"20,207","12,421",61.50%,"10,904",54.00%,87.80%,"3,373",16.70%,27.20%,"7,531",37.30%,60.60%,"1,517",7.50%,12.20%,"4,816",23.80%,"2,403",11.90%
Brooklyn,2007,4 Year August,English Language Proficient,"20,207","13,353",66.10%,"11,472",56.80%,85.90%,"3,416",16.90%,25.60%,"8,056",39.90%,60.30%,"1,881",9.30%,14.10%,"3,927",19.40%,"2,368",11.70%
Manhattan,2001,4 Year  June,English Language Learner,"1,956",691,35.30%,237,12.10%,34.30%,49,2.50%,7.10%,188,9.60%,27.20%,454,23.20%,65.70%,592,30.30%,527,26.90%
Manhattan,2001,5 Year,English Language Learner,"1,956",866,44.30%,274,14.00%,31.60%,53,2.70%,6.10%,221,11.30%,25.50%,597,30.50%,68.90%,200,10.20%,685,35.00%
Manhattan,2001,6 Year,English Language Learner,"1,956",907,46.40%,281,14.40%,31.00%,54,2.80%,6.00%,227,11.60%,25.00%,633,32.40%,69.80%,81,4.10%,750,38.30%
Manhattan,2002,4 Year  June,English Language Learner,"1,397",331,23.70%,133,9.50%,40.20%,17,1.20%,5.10%,116,8.30%,35.00%,202,14.50%,61.00%,610,43.70%,392,28.10%
Manhattan,2002,5 Year,English Language Learner,"1,397",436,31.20%,156,11.20%,35.80%,19,1.40%,4.40%,137,9.80%,31.40%,286,20.50%,65.60%,325,23.30%,524,37.50%
Manhattan,2002,6 Year,English Language Learner,"1,397",520,37.20%,171,12.20%,32.90%,21,1.50%,4.00%,150,10.70%,28.80%,355,25.40%,68.30%,150,10.70%,600,42.90%
Manhattan,2003,4 Year  June,English Language Learner,"1,761",489,27.80%,195,11.10%,39.90%,51,2.90%,10.40%,144,8.20%,29.40%,294,16.70%,60.10%,751,42.60%,453,25.70%
Manhattan,2003,5 Year,English Language Learner,"1,761",726,41.20%,251,14.30%,34.60%,68,3.90%,9.40%,183,10.40%,25.20%,475,27.00%,65.40%,303,17.20%,623,35.40%
Manhattan,2003,6 Year,English Language Learner,"1,731",804,46.40%,269,15.50%,33.50%,71,4.10%,8.80%,198,11.40%,24.60%,535,30.90%,66.50%,121,7.00%,678,39.20%
Manhattan,2004,4 Year  June,English Language Learner,"1,854",698,37.60%,344,18.60%,49.30%,124,6.70%,17.80%,220,11.90%,31.50%,354,19.10%,50.70%,737,39.80%,351,18.90%
Manhattan,2004,5 Year,English Language Learner,"1,828",937,51.30%,420,23.00%,44.80%,148,8.10%,15.80%,272,14.90%,29.00%,517,28.30%,55.20%,272,14.90%,480,26.30%
Manhattan,2004,6 Year,English Language Learner,"1,839","1,026",55.80%,439,23.90%,42.80%,150,8.20%,14.60%,289,15.70%,28.20%,587,31.90%,57.20%,120,6.50%,550,29.90%
Manhattan,2005,4 Year  June,English Language Learner,"1,909",815,42.70%,462,24.20%,56.70%,148,7.80%,18.20%,314,16.40%,38.50%,352,18.40%,43.20%,637,33.40%,365,19.10%
Manhattan,2005,4 Year August,English Language Learner,"1,909",905,47.40%,483,25.30%,53.40%,151,7.90%,16.70%,332,17.40%,36.70%,421,22.10%,46.50%,547,28.70%,365,19.10%
Manhattan,2005,5 Year,English Language Learner,"1,913","1,038",54.30%,542,28.30%,52.20%,172,9.00%,16.60%,370,19.30%,35.60%,496,25.90%,47.80%,189,9.90%,560,29.30%
Manhattan,2005,6 Year,English Language Learner,"1,913","1,122",58.70%,562,29.40%,50.10%,174,9.10%,15.50%,388,20.30%,34.60%,560,29.30%,49.90%,79,4.10%,582,30.40%
Manhattan,2006,4 Year  June,English Language Learner,"1,977",817,41.30%,563,28.50%,68.90%,169,8.50%,20.70%,394,19.90%,48.20%,254,12.80%,31.10%,643,32.50%,411,20.80%
Manhattan,2006,4 Year August,English Language Learner,"1,977",881,44.60%,576,29.10%,65.40%,169,8.50%,19.20%,407,20.60%,46.20%,305,15.40%,34.60%,580,29.30%,410,20.70%
Manhattan,2006,5 Year  June,English Language Learner,"2,019","1,077",53.30%,664,32.90%,61.70%,185,9.20%,17.20%,479,23.70%,44.50%,413,20.50%,38.30%,211,10.50%,585,29.00%
Manhattan,2006,5 Year August,English Language Learner,"2,019","1,096",54.30%,673,33.30%,61.40%,185,9.20%,16.90%,488,24.20%,44.50%,423,21.00%,38.60%,195,9.70%,581,28.80%
Manhattan,2007,4 Year  June,English Language Learner,"1,954",712,36.40%,555,28.40%,77.90%,148,7.60%,20.80%,407,20.80%,57.20%,157,8.00%,22.10%,709,36.30%,419,21.40%
Manhattan,2007,4 Year August,English Language Learner,"1,954",821,42.00%,610,31.20%,74.30%,154,7.90%,18.80%,456,23.30%,55.50%,211,10.80%,25.70%,604,30.90%,416,21.30%
Manhattan,2001,4 Year  June,English Language Proficient,"10,714","6,789",63.40%,"4,726",44.10%,69.60%,"1,802",16.80%,26.50%,"2,924",27.30%,43.10%,"2,065",19.30%,30.40%,"2,237",20.90%,"1,435",13.40%
Manhattan,2001,5 Year,English Language Proficient,"10,714","7,671",71.60%,"5,035",47.00%,65.60%,"1,832",17.10%,23.90%,"3,203",29.90%,41.80%,"2,645",24.70%,34.50%,717,6.70%,"1,983",18.50%
Manhattan,2001,6 Year,English Language Proficient,"10,714","7,861",73.40%,"5,073",47.30%,64.50%,"1,835",17.10%,23.30%,"3,238",30.20%,41.20%,"2,813",26.30%,35.80%,292,2.70%,"2,186",20.40%
Manhattan,2002,4 Year  June,English Language Proficient,"12,066","7,415",61.50%,"5,364",44.50%,72.30%,"1,855",15.40%,25.00%,"3,509",29.10%,47.30%,"2,057",17.00%,27.70%,"2,951",24.50%,"1,351",11.20%
Manhattan,2002,5 Year,English Language Proficient,"12,066","8,329",69.00%,"5,718",47.40%,68.70%,"1,921",15.90%,23.10%,"3,797",31.50%,45.60%,"2,675",22.20%,32.10%,"1,408",11.70%,"1,886",15.60%
Manhattan,2002,6 Year,English Language Proficient,"12,066","8,765",72.60%,"5,815",48.20%,66.30%,"1,927",16.00%,22.00%,"3,888",32.20%,44.40%,"3,014",25.00%,34.40%,660,5.50%,"2,167",18.00%
Manhattan,2003,4 Year  June,English Language Proficient,"12,118","7,124",58.80%,"5,304",43.80%,74.50%,"2,476",20.40%,34.80%,"2,828",23.30%,39.70%,"1,820",15.00%,25.50%,"3,489",28.80%,"1,276",10.50%
Manhattan,2003,5 Year,English Language Proficient,"12,118","8,437",69.60%,"5,743",47.40%,68.10%,"2,511",20.70%,29.80%,"3,232",26.70%,38.30%,"2,694",22.20%,31.90%,"1,303",10.80%,"2,016",16.60%
Manhattan,2003,6 Year,English Language Proficient,"12,171","8,900",73.10%,"5,887",48.40%,66.10%,"2,512",20.60%,28.20%,"3,375",27.70%,37.90%,"3,013",24.80%,33.90%,540,4.40%,"2,268",18.60%
Manhattan,2004,4 Year  June,English Language Proficient,"13,273","8,082",60.90%,"6,105",46.00%,75.50%,"2,687",20.20%,33.20%,"3,418",25.80%,42.30%,"1,977",14.90%,24.50%,"3,506",26.40%,"1,491",11.20%
Manhattan,2004,5 Year,English Language Proficient,"13,494","9,539",70.70%,"6,754",50.10%,70.80%,"2,737",20.30%,28.70%,"4,017",29.80%,42.10%,"2,785",20.60%,29.20%,"1,250",9.30%,"2,110",15.60%
Manhattan,2004,6 Year,English Language Proficient,"13,500","9,972",73.90%,"6,901",51.10%,69.20%,"2,736",20.30%,27.40%,"4,165",30.90%,41.80%,"3,071",22.70%,30.80%,569,4.20%,"2,331",17.30%
Manhattan,2005,4 Year  June,English Language Proficient,"13,934","9,001",64.60%,"7,161",51.40%,79.60%,"2,525",18.10%,28.10%,"4,636",33.30%,51.50%,"1,840",13.20%,20.40%,"3,237",23.20%,"1,232",8.80%
Manhattan,2005,4 Year August,English Language Proficient,"13,934","9,468",67.90%,"7,385",53.00%,78.00%,"2,554",18.30%,27.00%,"4,831",34.70%,51.00%,"2,083",14.90%,22.00%,"2,771",19.90%,"1,232",8.80%
Manhattan,2005,5 Year,English Language Proficient,"14,152","10,300",72.80%,"7,798",55.10%,75.70%,"2,585",18.30%,25.10%,"5,213",36.80%,50.60%,"2,502",17.70%,24.30%,"1,102",7.80%,"2,050",14.50%
Manhattan,2005,6 Year,English Language Proficient,"14,102","10,721",76.00%,"7,980",56.60%,74.40%,"2,585",18.30%,24.10%,"5,395",38.30%,50.30%,"2,741",19.40%,25.60%,477,3.40%,"2,200",15.60%
Manhattan,2006,4 Year  June,English Language Proficient,"14,439","9,594",66.40%,"8,152",56.50%,85.00%,"2,612",18.10%,27.20%,"5,540",38.40%,57.70%,"1,442",10.00%,15.00%,"3,076",21.30%,"1,273",8.80%
