PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
After-School Programs,Out of School Time,P.S. 85 P.S. 85,Bronx,New York City Mission Society,(718) 583-7200,Elementary,"2400 Marion Avenue
10458
(40.859331900138066, -73.89472052099663)"
After-School Programs,Out of School Time,IS 337 (x337),Bronx,New York Junior Tennis League,(718) 860-4181,Middle School,"1025 Morrison Avenue
10472
(40.82496190732625, -73.87358828819188)"
After-School Programs,Out of School Time,P.S. 100 ISAAC CLASON SCHOOL,Bronx,New York Junior Tennis League,(718) 542-7420,Elementary,"800 TAYLOR AVENUE
10473
(40.8214048199328, -73.86295740297078)"
After-School Programs,Out of School Time,P.S. 121 THE THROOP SCHOOL,Bronx,New York Junior Tennis League,(718) 231-3239,Elementary,"2750 THROOP AVENUE
10469
(40.86647902999003, -73.85094159120696)"
After-School Programs,Out of School Time,P.S. 146 EDWARD,Bronx,New York Junior Tennis League,(718) 842-2685,Elementary,"968 CAULDWELL AVENUE
10456
(40.82484642737253, -73.90620228944212)"
After-School Programs,Out of School Time,H.S. 305 PABLO NERUDA ACADEMY,Bronx,OPUS Dance Theatre and Community Services Inc.,(646) 670-0516,High School,"1980 Lafayette Avenue
10473
(40.82225901265785, -73.85628678256198)"
After-School Programs,Out of School Time,"I.S.  318 I.S. 318 - MATH, SCI",Bronx,Phipps Community Development,(718) 294-8504,Middle School,"1919 Prospect Avenue
10457
(40.84359404962676, -73.88973979569231)"
After-School Programs,Out of School Time,Melrose Community Center,Bronx,Phipps Community Development,(718) 665-7093,Elementary,"286 156 St
10451
(40.82187173099877, -73.91985340007419)"
After-School Programs,Out of School Time,P.S. 112 BRONXWOOD SCHOOL,Bronx,Phipps Community Development,(718) 654-6377,Elementary,"1925 Schieffelin Ave
10466
(40.88446894320127, -73.84398667949243)"
After-School Programs,Out of School Time,P.S. 48 JOSEPH R. DRAKE SCHOOL,Bronx,"Police Athletic League, Inc.",(718) 589-0239,Elementary,"1290 SPOFFORD AVENUE
10474
(40.81436840508654, -73.88686854859237)"
After-School Programs,Out of School Time,PAL New South Bronx Center,Bronx,"Police Athletic League, Inc.",(718) 991-2447,Elementary,"991 Longwood Ave
10459
(40.817260540416946, -73.89773839589843)"
After-School Programs,Out of School Time,PAL Webster Center,Bronx,"Police Athletic League, Inc.",(718) 733-6748,Elementary,"2255 Webster Avenue
10457
(40.85563091671904, -73.89602321003798)"
After-School Programs,Out of School Time,M.S./H.S. 141 DAVID A. STEIN R,Bronx,"Riverdale Community Center, Inc.",(718) 796-4724,High School,"660 237th Street
10463
(40.88826732332943, -73.9131873185513)"
After-School Programs,Out of School Time,M.S./H.S. 141 DAVID A. STEIN R,Bronx,"Riverdale Community Center, Inc.",(718) 796-4724,Middle School,"660 237th Street
10463
(40.88826732332943, -73.9131873185513)"
After-School Programs,Out of School Time,Riverdale House,Bronx,"Riverdale Neighborhood House, Inc.",(718) 549-8100,High School,"5521 Mosholu Avenue
10471
(40.90296572432813, -73.90384240450045)"
After-School Programs,Out of School Time,I.S. 217 SCHOOL OF PERFORMING,Bronx,"Simpson Street Development Association, Inc.",(718) 589-1510,Elementary,"977 Fox Street
10459
(40.822428225918, -73.89392410102988)"
After-School Programs,Out of School Time,I.S. 217 MS,Bronx,"Simpson Street Development Association, Inc.",(718) 589-1510,Middle School,"977 Fox Street
10459
(40.822428225918, -73.89392410102988)"
After-School Programs,Out of School Time,Bronx River Center,Bronx,South Bronx Overall Economic Development Corp.,(718) 732-7532,Middle School,"1619 174th Street
10472
(40.83401842171687, -73.87578118908756)"
After-School Programs,Out of School Time,SOBRO-Evander,Bronx,South Bronx Overall Economic Development Corp.,(718) 732-7561,High School,"800 Gun Hill Road
10467
(40.875978648353474, -73.8621066953495)"
After-School Programs,Out of School Time,McKinley Center,Bronx,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",(718) 993-8259,Middle School,"751 161st Street
10456
(40.82138045442881, -73.90482671096233)"
After-School Programs,Out of School Time,SEBNC Center,Bronx,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",(718) 542-2727,High School,"955 Tinton Avenue
10456
(40.82309725417601, -73.90303414045628)"
After-School Programs,Out of School Time,C.S. 134 GEORGE F. BRISTOW SCHOOL,Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 825-5626,Elementary,"1330 Bristow Street
10459
(40.83133301895746, -73.8947540890075)"
After-School Programs,Out of School Time,Cornerstone Academy for Social,Bronx,"Sports and Arts In Schools Foundation, Inc.",(347) 417-8159,Elementary,"3441 Steenwick Avenue
10475
(40.882605669330665, -73.83006712669967)"
After-School Programs,Out of School Time,Harry S. Truman HS (X455),Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 904-5457,High School,"750 Baychester Avenue
10475
(40.874529243621495, -73.8337978881092)"
After-School Programs,Out of School Time,I.S. 151 HENRY LOU GEHRIG SCHOOL,Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 401-4852,Middle School,"250 156 Street
10451
(40.82298359886116, -73.9211309650046)"
After-School Programs,Out of School Time,I.S. 162 IS 162 LOLA RODRIGUEZ,Bronx,"Sports and Arts In Schools Foundation, Inc.",(917) 593-2661,Middle School,"600 St Ann's Avenue
10455
(40.814953970991745, -73.91253402987947)"
After-School Programs,Out of School Time,M.S. 127 CASTLE HILL SCHOOL,Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 892-8600,Middle School,"1560 Purdy Street
10462
(40.8380147405672, -73.85351983364767)"
After-School Programs,Out of School Time,M.S. 135 FRANK D. WHALEN SCHOO,Bronx,"Sports and Arts In Schools Foundation, Inc.",(212) 945-8373,Middle School,"2441 Wallace Avenue
10467
(40.86208256356063, -73.86461178363403)"
After-School Programs,Out of School Time,M.S. 144 MICHELANGELO SCHOOL,Bronx,"Sports and Arts In Schools Foundation, Inc.",(646) 643-3057,Middle School,"2545 Gunther Avenue
10469
(40.863858665108886, -73.83609949442072)"
After-School Programs,Out of School Time,P.S./I.S. 175 CITY ISLAND SCHOOL,Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 885-9607,Middle School,"200 City Island Avenue
10464
(40.84381012246547, -73.78516944174876)"
After-School Programs,Out of School Time,P.S./I.S. 83 DONALD HERTZ SCHOOL,Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 319-0769,Elementary,"950 Rhinelander Avenue
10462
(40.849332468676785, -73.85933122663833)"
After-School Programs,Out of School Time,Wildcat Academy HS,Bronx,"Sports and Arts In Schools Foundation, Inc.",(347) 226-2511,High School,"1239 Lafayette Avenue
10474
(40.81657523975966, -73.8899319632522)"
After-School Programs,Out of School Time,C.E.S. 230 PS 230 DR ROLAND N,Bronx,Supportive Childrens Advocacy Network (SCAN),(718) 583-6116,Elementary,"275 Harlem River Park Bridge
10453
(40.85261854069672, -73.92150462714196)"
After-School Programs,Out of School Time,C.E.S. 42 CLAREMONT SCHOOL,Bronx,Supportive Childrens Advocacy Network (SCAN),(718) 583-7366,Elementary,"1537 Washington Avenue
10457
(40.83829953246283, -73.90302333146367)"
After-School Programs,Out of School Time,C.E.S. 55 BENJAMIN FRANKLIN SC,Bronx,Supportive Childrens Advocacy Network (SCAN),(718) 681-6227,Elementary,"450 SAINT PAULS PLACE
10456
(40.836276563944345, -73.90461113077222)"
After-School Programs,Out of School Time,C.E.S. 58 P.S. 58,Bronx,Supportive Childrens Advocacy Network (SCAN),(718) 583-6866,Elementary,"459 176th Street
10457
(40.846155591159025, -73.8992063692844)"
After-School Programs,Out of School Time,SCAN/Mullaly Park,Bronx,Supportive Childrens Advocacy Network (SCAN),(718) 590-5743,Middle School,"40 164th Street
10452
(40.830483836307955, -73.92378892578503)"
After-School Programs,Out of School Time,C.I.S. 166 ROBERTO CLEMENTE SC,Bronx,The Childrens Aid Society,(718) 293-3144,Middle School,"250 164th Street
10456
(40.82872889992432, -73.91779283496383)"
After-School Programs,Out of School Time,Fannie Lou,Bronx,The Childrens Aid Society,(718) 861-7893,High School,"1021 Jennings Street
10460
(40.83092140206968, -73.88633338378911)"
After-School Programs,Out of School Time,M.S. 98 J.H.S. 98 - HERMAN RID,Bronx,The Childrens Aid Society,(718) 842-2760,Middle School,"1619 Boston Road
10460
(40.83591680891802, -73.89054065425974)"
After-School Programs,Out of School Time,P.S. 61 FRANCISCO OLLER SCHOOL,Bronx,The Childrens Aid Society,(718) 991-2719,Elementary,"1550 Crotona Park
10460
(40.836569959473785, -73.89295310872916)"
After-School Programs,Out of School Time,East Bronx NAACP,Bronx,"Tremont Crotona Day Care Center, Inc",(718) 617-2900,Elementary,"1113 Colgate Avenue
10472
(40.82604673996938, -73.88147964575515)"
After-School Programs,Out of School Time,Tremont Crotona Center,Bronx,"Tremont Crotona Day Care Center, Inc",(718) 378-5600,Elementary,"1600 Crotona Park
10460
(40.836686602373135, -73.89130701173815)"
After-School Programs,Out of School Time,C.E.S. 2 MORRISANIA SCHOOL,Bronx,Women's Housing and Economic Development Corporation (WHEDCO,(718) 839-1122,Elementary,"1260 Franklin Avenue
10456
(40.83107012406166, -73.90259487313867)"
After-School Programs,Out of School Time,C.E.S./C.I.S. 218 RAFAEL HERNA,Bronx,Women's Housing and Economic Development Corporation (WHEDCO,(718) 839-1184,Elementary,"1220 Gerard Avenue
10452
(40.83575171597219, -73.92005093486102)"
After-School Programs,Out of School Time,C.E.S. 126 THE DR. MARJORIE DU,Bronx,Woodycrest Center For Human Development,(718) 538-4708,Elementary,"175 166th Street
10452
(40.83581122271332, -73.9283372125368)"
After-School Programs,Out of School Time,C.E.S. 73 P.S. 73,Bronx,Woodycrest Center For Human Development,(718) 293-3198,Elementary,"1020 ANDERSON AVENUE
10452
(40.832779162508096, -73.92673351173502)"
After-School Programs,Out of School Time,I.S. 174 EUGENE T. MALESKA SCHOOL,Bronx,YMCA of Greater New York/Bronx,(718) 822-5341,Middle School,"456 White Plains Road
10473
(40.81476506638436, -73.85653710642053)"
After-School Programs,Out of School Time,P.S. 14 JOHN D. CALANDRA SCHOOL,Bronx,YMCA of Greater New York/Bronx,(718) 822-5341,Elementary,"3041 Bruckner Boulevard
10461
(40.83555436517625, -73.82543304372646)"
After-School Programs,Out of School Time,P.S. 154 JONATHAN D. HYATT SCHOOL,Bronx,YMCA of Greater New York/Bronx,(646) 404-1333,Elementary,"333 135th Street
10454
(40.80730561347431, -73.9244607731169)"
After-School Programs,Out of School Time,P.S./I.S. 194 P.S./I.S. 194,Bronx,YMCA of Greater New York/Bronx,(347) 934-8146,Elementary,"1301 Zerega Avenue
10462
(40.83495055064038, -73.84547437795577)"
After-School Programs,Out of School Time,YMCA-Branch,Bronx,YMCA of Greater New York/Bronx,(718) 792-9736,Elementary,"2 Castle Hill Avenue
10473
(40.81182713086036, -73.8463462339284)"
After-School Programs,Out of School Time,M.S. 223 M.S. 223 - THE LABORATORY,Bronx,"Young Athletes, Inc.",(718) 401-9300,Middle School,"360 145th Street
10454
(40.814006958025736, -73.92087771305378)"
After-School Programs,Out of School Time,Bridges Center I,Bronx,"Bronx Council On The Arts, Inc.",(718) 409-1265,High School,"1221 Spofford Avenue
10474
(40.81394468134922, -73.89064037308685)"
After-School Programs,Out of School Time,Bridges Center II,Bronx,"Bronx Council On The Arts, Inc.",(718) 409-1265,High School,"1221 Spofford Avenue
10474
(40.81394468134922, -73.89064037308685)"
After-School Programs,Out of School Time,Horizon Center,Bronx,"Bronx Council On The Arts, Inc.",(718) 409-1265,High School,"560 Brook Avenue
10455
(40.815873467697145, -73.91438944344067)"
After-School Programs,Out of School Time,Jackson Ave Residence,Bronx,"Bronx Council On The Arts, Inc.",(718) 409-1265,MS/HS,"691 138th Street
10454
(40.80520154135701, -73.9135590575039)"
After-School Programs,Out of School Time,Nelson Ave Residence,Bronx,"Bronx Council On The Arts, Inc.",(718) 409-1265,MS/HS,"1605 Nelson Avenue
10453
(40.84613657183203, -73.91970888746091)"
After-School Programs,Out of School Time,Willow Ave Residence,Bronx,"Bronx Council On The Arts, Inc.",(718) 409-1265,MS/HS,"190 Willow Avenue
10454
(40.80294051181891, -73.91224382415757)"
After-School Programs,Out of School Time,St. James Rec,Bronx,"Childrens Arts & Science Workshops, Inc.",(212) 542-0578,Elem/MS/HS,"2530 Jerome Avenue
10468
(40.86435628802391, -73.89978251497621)"
After-School Programs,Out of School Time,Dreamyard A.C.T.I.O.N.,Bronx,"Dream Yard Project, Inc.",(718) 588-8007,High School,"940 Garrison Avenue
10474
(40.818136215724465, -73.89095446778778)"
After-School Programs,Out of School Time,Mitchell Center,Bronx,"East Side House Settlement, Inc.",(718) 993-9355,High School,"205 Willis Avenue
10454
(40.80812001171208, -73.92366445647882)"
After-School Programs,Out of School Time,Kips Bay 1,Bronx,Kips Bay Boys & Girls Club,(718) 893-8254,Elem/MS/HS,"1930 Randall Avenue
10473
(40.81782677019028, -73.85668537336207)"
After-School Programs,Out of School Time,Kips Bay 2,Bronx,Kips Bay Boys & Girls Club,(718) 824-9090,Elem/MS/HS,"550 Balcom Avenue
10465
(40.821073448267626, -73.82596372212717)"
After-School Programs,Out of School Time,Columbus Clubhouse 3,Bronx,Madison Square Boys & Girls Club,(718) 733-5500,Elem/MS/HS,"543 189 Street
10458
(40.858390156400105, -73.88786591803597)"
After-School Programs,Out of School Time,MARIE CURIE HIGH SCHOOL,Bronx,"Mosholu Montefiore Community Center, Inc.",(212) 729-6384,MS/HS,"120 231 Street
10463
(40.87589772067004, -73.9011241543722)"
After-School Programs,Out of School Time,Tracey Towers,Bronx,"Mosholu Montefiore Community Center, Inc.",(718) 733-4000,Elem/MS/HS,"40 Mosholu Parkway
10468
(40.869693003729196, -73.89892699248668)"
After-School Programs,Out of School Time,PS 214-Lorraine Hansberry,Bronx,New York Junior Tennis League,(347) 417-8182,Elem/MS/HS,"1970 Farms Road
10460
(40.83840581198824, -73.88124818068118)"
After-School Programs,Out of School Time,PPNYC: Bronx Center,Bronx,Planned Parenthood of NYC,(212) 965-4837,High School,"349 149th Street
10451
(40.81667954995552, -73.91966489573737)"
After-School Programs,Out of School Time,PAL-South Bronx Center,Bronx,"Police Athletic League, Inc.",(718) 991-2447,High School,"991 Longwood Avenue
10459
(40.817260540416946, -73.89773839589843)"
After-School Programs,Out of School Time,Rocking the Boat,Bronx,"Rocking the Boat, Inc.",(718) 466-5799,High School,"60 174th Street
10452
(40.84492475277494, -73.91283748133719)"
After-School Programs,Out of School Time,So. Bronx Overall (opt. 2),Bronx,South Bronx Overall Economic Devlpmt Corp.Opt 2HS ,(718) 732-7643,High School,"1300 Boynton Ave
10460
(40.84309034804119, -73.87860282506028)"
After-School Programs,Out of School Time,C.S. 50 CLARA BARTON SCHOOL,Bronx,"Sports and Arts In Schools Foundation, Inc.",(718) 589-7284,Elementary,"1550 Vyse Avenue
10460
(40.83380386816254, -73.88769223705626)"
After-School Programs,Out of School Time,I.S. 131 ALBERT EINSTEIN SCHOOL,Bronx,YMCA of Greater New York/Bronx,(718) 991-7490,Elem/MS/HS,"885 Bolton Avenue
10473
(40.82386302071817, -73.85977399112697)"
After-School Programs,Out of School Time,Ben Vitale,Brooklyn,"68th Precinct Youth Council, Inc.",(718) 680-2077,High School,"Bay 8th Street
11209
(40.62338709723679, -74.03065295347096)"
After-School Programs,Out of School Time,Amico Court Street Children,Brooklyn,"American Italian Coalition of Organizations, Inc.",(718) 855-1778,Elementary,"292 Court Street
11231
(40.68416005317658, -73.99507008898965)"
After-School Programs,Out of School Time,Assoc. Beth Rivkah,Brooklyn,"Associated Beth Rivkah Schools, Inc",(718) 735-0400,High School,"310 Crown Street
11225
(40.66619479777208, -73.94965870180879)"
After-School Programs,Out of School Time,Be er Hagolah (Elementary),Brooklyn,Be'er Hagolah Institutes,(718) 642-6800,Elementary,"671 Louisiana Avenue
11239
(40.645630097381996, -73.88362185638313)"
After-School Programs,Out of School Time,Be'er Hagolah,Brooklyn,Be'er Hagolah Institutes,(718) 642-6800,High School,"671 Louisiana Avenue
11239
(40.645630097381996, -73.88362185638313)"
After-School Programs,Out of School Time,PS 272 Temporary,Brooklyn,Bergen Basin Community Development Corp.,(917) 968-2254,Elementary,"101 24 Seaview Ave
Temporary 11236
(40.64002149379695, -73.90112193992553)"
After-School Programs,Out of School Time,I.S. 78 ROY H. MANN SCHOOL,Brooklyn,Bergen Basin Community Development Corp.,(917) 952-4893,Middle School,"1420 68th Street
11234
(40.62118169409423, -73.91286070496677)"
After-School Programs,Out of School Time,P.S. 115 THE DANIEL MUCATEL SC,Brooklyn,Bergen Basin Community Development Corp.,(917) 968-0193,Elementary,"1500 92 STREET
11236
(40.63477746307819, -73.89697682968284)"
After-School Programs,Out of School Time,P.S. 236 MILL BASIN SCHOOL,Brooklyn,Bergen Basin Community Development Corp.,(917) 952-0213,Elementary,"6302 AVENUE
U 11234
(40.61636866748006, -73.92773224974349)"
After-School Programs,Out of School Time,P.S. 255 BARBARA REING SCHOOL,Brooklyn,Bergen Basin Community Development Corp.,(917) 842-5421,Elementary,"1866 17 STREET
11229
(40.60455723501068, -73.95558774269671)"
After-School Programs,Out of School Time,P.S. 119 THE AMERSFORT SCHOOL,Brooklyn,Bergen Beach Youth Organization,(718) 986-9837,Elementary,"3829 AVENUE
K 11210
(40.62772226387142, -73.946537919989)"
After-School Programs,Out of School Time,P.S. 203 FLOYD BENNETT SCHOOL,Brooklyn,Bergen Beach Youth Organization,(917) 538-3776,Elementary,"5101 Avenue
M 11234
(40.61636866748006, -73.92773224974349)"
