BN,SCHOOL NAME,PROGRESS REPORT TYPE,2009-10 PROGRESS REPORT GRADE,2008-09 PROGRESS REPORT GRADE,2007-08 PROGRESS REPORT GRADE,2006-07 PROGRESS REPORT GRADE
Q021,P.S. 021 Edward Hart,EMS,B,A,A,A
Q022,P.S. 022 Thomas Jefferson,EMS,A,A,B,A
Q023,P.S. Q023 @ Queens Children Center,D75,B,None,None,None
Q024,P.S. 024 Andrew Jackson,EMS,A,A,A,A
Q025,I.S. 025 Adrien Block,EMS,B,A,C,C
Q026,P.S. 026 Rufus King,EMS,A,A,B,A
Q028,P.S. 28 - The Thomas Emanuel Early Childhood Cente,EC,A,None,None,None
Q029,P.S. 029 Queens,EMS,B,A,D,B
Q030,P.S. 030 Queens,EMS,D,B,C,D
Q031,P.S. 031 Bayside,EMS,A,A,A,A
Q032,P.S. 032 State Street,EMS,A,A,B,A
Q033,P.S. 033 Edward M. Funk,EMS,C,A,B,B
Q034,P.S. 034 John Harvard,EMS,B,A,A,B
Q035,P.S. 035 Nathaniel Woodhull,EMS,D,B,B,C
Q036,P.S. 036 Saint Albans School,EMS,D,B,A,C
Q037,Cynthia Jenkins School,EMS,C,A,C,B
Q038,P.S. 038 Rosedale,EMS,B,B,A,B
Q040,P.S. 040 Samuel Huntington,EMS,D,B,C,B
Q041,P.S. 041 Crocheron,EMS,A,A,A,B
Q042,P.S. 042 R. Vernam,EMS,C,A,D,B
Q043,P.S. 043,EMS,C,A,C,C
Q045,P.S. 045 Clarence Witherspoon,EMS,B,A,A,B
Q046,P.S. 046 Alley Pond,EMS,A,A,A,A
Q047,P.S. 047 Chris Galas,EMS,A,B,B,A
Q048,P.S. 048 William Wordsworth,EMS,C,A,B,C
Q049,P.S. 049 Dorothy Bonawit Kole,EMS,C,A,B,B
Q050,P.S. 050 Talfourd Lawn Elementary School,EMS,B,A,A,B
Q052,P.S. 052 Queens,EMS,A,A,A,B
Q053,M.S. 053 Brian Piccolo,EMS,C,A,B,C
Q054,P.S. 054 Hillside,EMS,C,B,A,C
Q055,P.S. 055 Maure,EMS,C,A,A,A
Q056,P.S. 056 Harry Eichler,EMS,B,A,B,B
Q058,P.S. 58 - School of Heroes,EMS,A,A,B,C
Q059,I.S. 059 Springfield Gardens,EMS,C,A,B,B
Q060,P.S. 060 Woodhaven,EMS,A,A,A,B
Q061,I.S. 061 Leonardo Da Vinci,EMS,B,A,B,B
Q062,P.S. 062 Chester Park,EMS,C,A,A,A
Q063,P.S. 063 Old South,EMS,A,A,A,B
Q064,P.S. 064 Joseph P. Addabbo,EMS,C,A,A,C
Q065,P.S. 65 - The Raymond York Elementary School,EMS,C,A,B,C
Q066,P.S. 066 Jacqueline Kennedy Onassis,EMS,A,A,A,B
Q067,J.H.S. 067 Louis Pasteur,EMS,B,A,B,A
Q068,P.S. 068 Cambridge,EMS,B,A,A,B
Q069,P.S. 069 Jackson Heights,EMS,A,A,B,B
Q070,P.S. 070 Queens,EMS,C,A,B,B
Q071,P.S. 071 Forest,EMS,C,A,B,C
Q072,Catherine & Count Basie Middle School 72,EMS,C,B,C,B
Q073,I.S. 73 - The Frank Sansivieri Intermediate School,EMS,A,A,B,B
Q074,J.H.S. 074 Nathaniel Hawthorne,EMS,A,A,B,A
Q075,Robert E. Peary School,D75,C,None,None,None
Q076,P.S. 076 William Hallet,EMS,A,A,B,A
Q077,I.S. 077,EMS,B,A,A,B
Q078,P.S. 078,EMS,B,A,B,A
Q079,P.S. 079 Francis Lewis,EMS,C,A,B,B
Q080,P.S. 080 Thurgood Marshall Magnet,EMS,C,B,A,B
Q081,P.S. 81Q Jean Paul Richter,EMS,A,A,A,B
Q082,P.S. 082 Hammond,EMS,B,A,A,B
Q084,P.S. 084 Steinway,EMS,C,A,B,C
Q085,P.S. 085 Judge Charles Vallone,EMS,C,A,A,C
Q086,P.S. Q086,EMS,B,A,B,A
Q087,P.S. 087 Middle Village,EMS,A,A,B,C
Q088,P.S. 088 Seneca,EMS,C,A,B,B
Q089,P.S. 089 Elmhurst,EMS,A,A,A,A
Q090,P.S. 090 Horace Mann,EMS,B,A,A,C
Q091,P.S. 091 Richard Arkwright,EMS,B,A,A,C
Q092,P.S. 092 Harry T. Stewart Sr.,EMS,A,A,A,C
Q093,I.S. 093 Ridgewood,EMS,B,A,B,A
Q094,P.S. 094 David D. Porter,EMS,B,A,B,A
Q095,P.S. 095 Eastwood,EMS,B,A,B,B
Q096,P.S. 096,EMS,B,A,B,B
Q097,P.S. 097 Forest Park,EMS,A,A,A,B
Q098,P.S. 098 The Douglaston School,EMS,B,B,A,B
Q099,P.S. 099 Kew Gardens,EMS,A,A,A,B
Q100,P.S. 100 Glen Morris,EMS,B,A,A,A
Q101,P.S. 101 School in the Gardens,EMS,B,A,B,A
Q102,P.S. 102 Bayview,EMS,A,A,A,B
Q104,P.S. 104 The Bays Water,EMS,C,A,C,C
Q105,P.S. 105 The Bay School,EMS,C,A,C,D
Q106,P.S. 106,EMS,B,A,C,C
Q107,P.S. 107 Thomas A Dooley,EMS,B,A,A,B
Q108,P.S. 108 Captain Vincent G. Fowler,EMS,A,A,A,A
Q109,Jean Nuzzi Intermediate School,EMS,C,B,C,B
Q111,P.S. 111 Jacob Blackwell,EMS,C,A,A,B
Q112,P.S. 112 Dutch Kills,EMS,B,A,A,D
Q113,P.S. 113 Isaac Chauncey,EMS,A,A,A,B
Q114,P.S. / M.S. 114 Belle Harbor,EMS,B,A,C,B
Q115,P.S. 115 Glen Oaks,EMS,B,A,A,B
Q116,PS/IS 116 William C. Hughley,EMS,C,A,B,B
Q117,P.S. 117 J. Keld / Briarwood School,EMS,B,A,A,A
Q118,P.S. 118 Lorraine Hansberry,EMS,C,A,A,B
Q119,I.S. 119 The Glendale,EMS,C,A,C,D
Q120,P.S. 120 Queens,EMS,A,A,A,A
Q121,P.S. 121 Queens,EMS,A,A,A,A
Q122,P.S. 122 Mamie Fay,EMS,A,A,B,B
Q123,P.S. 123,EMS,B,A,B,D
Q124,P.S. 124 Osmond A Church,EMS,C,A,B,C
Q125,I.S. 125 Thom J. McCann Woodside,EMS,B,A,A,B
Q126,Albert Shanker School for Visual and Performing Ar,EMS,C,A,B,C
Q127,P.S. 127 Aerospace Science Magne,EMS,B,A,C,B
Q128,P.S. 128 Juniper Valley,EMS,A,A,C,C
Q129,P.S. 129 Patricia Larkin,EMS,B,A,A,A
Q130,P.S. 130,EC,A,None,None,None
Q131,P.S. 131 Abigail Adams,EMS,B,B,A,A
Q132,P.S. 132 Ralph Bunche,EMS,C,A,A,A
Q133,P.S. 133 Queens,EMS,A,A,A,A
Q134,P.S. 134 Hollis,EMS,B,A,C,A
Q135,The Bellaire School,EMS,C,A,A,B
Q136,P.S. 136 Roy Wilkins,EMS,B,A,B,D
Q137,M.S. 137 America's School of Heroes,EMS,B,A,B,B
Q138,P.S. 138 Sunrise,EMS,C,A,C,B
Q139,P.S. 139 Rego Park,EMS,C,A,B,A
Q140,P.S. 140 Edward K Ellington,EMS,C,B,A,B
Q141,I.S. 141 The Steinway,EMS,A,A,A,A
Q143,P.S. 143 Louis Armstrong,EMS,C,A,A,A
Q144,P.S. 144 Col Jeromus Remsen,EMS,B,A,B,C
Q145,I.S. 145 Joseph Pulitzer,EMS,B,A,C,B
Q146,P.S. 146 Howard Beach,EMS,B,A,B,B
Q147,PS/MS 147 Ronald McNair,EMS,D,B,B,A
Q148,P.S. 148 Queens,EMS,B,A,B,B
Q149,P.S. 149 Christa Mcauliffe,EMS,B,A,A,B
Q150,P.S. 150 Queens,EMS,B,A,A,A
Q151,P.S. 151 Mary D. Carter,EMS,C,A,A,F
Q152,P.S. 152 Gwendolyn Alleyne,EMS,A,A,A,B
Q153,P.S. 153 Maspeth Elem,EMS,A,A,A,A
Q154,P.S. 154 Queens,EMS,C,A,B,B
Q155,P.S. 155,EMS,C,A,B,F
Q156,P.S. 156 Laurelton,EMS,C,B,B,B
Q157,J.H.S. 157 Stephen A. Halsey,EMS,A,A,B,B
Q157,J.H.S. 157 Stephen A. Halsey,HS,None,None,None,None
Q158,M.S. 158 Marie Curie,EMS,B,A,A,A
Q159,P.S. 159,EMS,A,A,A,C
Q160,P.S. 160 Walter Francis Bishop,EMS,B,A,B,A
Q161,P.S. 161 Arthur Ashe School,EMS,A,A,A,A
Q162,P.S. 162 John Golden,EMS,B,A,A,A
Q163,P.S. 163 Flushing Heights,EMS,B,A,B,A
Q164,P.S. 164 Queens Valley,EMS,A,A,B,B
Q165,P.S. 165 Edith K. Bergtraum,EMS,B,A,A,A
Q166,P.S. 166 Henry Gradstein,EMS,B,A,A,D
Q169,P.S. 169 Bay Terrace,EMS,C,A,B,C
Q170,Peninsula Preparatory Academy Charter School,EMS,C,C,C,F
Q171,P.S. 171 Peter G. Van Alst,EMS,C,A,B,C
Q172,Irwin Altman Middle School 172,EMS,B,A,B,A
Q173,P.S. 173 Fresh Meadows,EMS,A,A,A,C
Q174,P.S. 174 William Sidney Mount,EMS,B,A,B,C
Q175,P.S. 175 The Lynn Gross Discovery School,EMS,A,A,A,A
Q176,P.S. 176 Cambria Heights,EMS,C,A,A,A
Q178,P.S./ IS 178 Holliswood,EMS,B,A,B,A
Q181,P.S. 181 Brookfield,EMS,C,A,A,B
Q182,P.S. 182 Samantha Smith,EC,D,None,None,None
Q183,P.S. 183 Dr. Richard R. Green,EMS,B,A,C,C
Q184,P.S. 184 Flushing Manor,EMS,A,A,B,A
Q185,J.H.S. 185 Edward Bleeker,EMS,A,A,B,B
Q186,P.S. 186 Castlewood,EMS,B,A,A,C
Q188,P.S. 188 Kingsbury,EMS,A,A,A,B
Q189,J.H.S. 189 Daniel Carter Beard,EMS,B,A,B,B
Q190,J.H.S. 190 Russell Sage,EMS,C,B,A,C
Q190,J.H.S. 190 Russell Sage,HS,None,None,None,None
Q191,P.S. 191 Mayflower,EMS,A,A,A,A
Q192,I.S. 192 The Linden,EMS,B,A,B,B
Q193,P.S. 193 Alfred J. Kennedy,EMS,C,A,C,B
Q194,J.H.S. 194 William Carr,EMS,A,A,B,A
Q195,P.S. 195 William Haberle,EMS,D,B,B,B
Q196,P.S. 196 Grand Central Parkway,EMS,A,A,A,A
Q197,P.S. 197 The Ocean School,EMS,A,A,B,B
Q199,P.S. 199 Maurice A. Fitzgerald,EMS,B,A,C,A
Q200,PS/MS 200 - The Pomonok School & STAR Academy,EMS,B,A,C,B
Q201,P.S. 201 The Discovery School for Inquiry and Rese,EMS,A,A,A,B
Q202,J.H.S. 202 Robert H. Goddard,EMS,B,A,B,B
Q203,P.S. 203 Oakland Gardens,EMS,A,A,A,B
Q204,I.S. 204 Oliver W. Holmes,EMS,A,A,B,B
Q205,P.S. 205 Alexander Graham Bell,EMS,A,A,B,A
Q206,P.S. 206 The Horace Harding School,EMS,C,A,B,C
Q207,P.S. 207 Rockwood Park,EMS,A,A,B,B
Q208,P.S. / I.S. 208,EMS,B,A,B,A
Q209,P.S. 209 Clearview Gardens,EMS,A,A,B,A
Q210,J.H.S. 210 Elizabeth Blackwell,EMS,C,A,B,C
Q212,P.S. 212,EMS,B,A,B,A
Q213,P.S. 213 The Carl Ullman School,EMS,A,A,A,A
Q214,P.S. 214 Cadwallader Colden,EMS,A,A,A,A
Q215,P.S. 215 Lucretia Mott,EMS,D,C,A,B
Q216,J.H.S. 216 George J. Ryan,EMS,A,A,A,B
Q217,J.H.S. 217 Robert A. Van Wyck,EMS,B,B,B,B
Q219,P.S. 219 Paul Klapper,EMS,A,A,A,B
Q220,P.S. 220 Edward Mandel,EMS,A,A,B,C
Q221,P.S. 221 North Hills,EMS,A,A,A,A
Q222,P.S. Q222 - Fire Fighter Christopher A. Santora Sc,EC,A,None,None,None
Q223,P.S. 223 Lyndon B. Johnson,EMS,B,A,A,C
Q224,P.S. Q224,D75,B,None,None,None
Q225,P.S. 225 Seaside,EMS,None,None,D,D
Q226,J.H.S. 226 Virgil I. Grissom,EMS,C,B,C,D
Q227,I.S. 227 Louis Armstrong,EMS,A,A,A,A
Q228,P.S. 228 Early Childhood Magnet School of the Arts,EC,A,None,None,None
Q229,P.S. 229 Emanuel Kaplan,EMS,A,A,A,B
Q230,I.S. 230,EMS,A,A,B,B
Q231,I.S. 231 Magnetech 2000,EMS,D,C,D,C
Q232,P.S. 232 Lindenwood,EMS,A,A,B,B
Q234,P.S. 234,EMS,A,A,B,B
Q235,Academy for New Americans,EMS,A,A,A,None
Q237,I.S. 237,EMS,A,A,B,B
Q238,I.S. 238 Susan B Anthony,EMS,C,A,C,B
Q239,P.S. 239,EMS,B,A,B,B
Q242,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,EC,A,None,None,None
Q248,Queens Preparatory Academy,HS,A,A,None,None
Q250,I.S. 250 The Robert F. Kennedy Community Middle Sc,EMS,C,A,C,A
Q251,P.S. 251 Queens,EC,C,None,None,None
Q252,"Queens School of Inquiry, The",EMS,A,A,B,B
Q252,"Queens School of Inquiry, The",HS,None,None,None,None
Q253,P.S. 253,EMS,C,A,B,B
Q254,P.S. 254,EMS,A,A,A,C
Q256,P.S. Q256,D75,A,None,None,None
Q259,Pathways College Preparatory School: A College Boa,EMS,C,A,B,B
Q259,Pathways College Preparatory School: A College Boa,HS,A,A,None,None
Q260,Frederick Douglass Academy VI High School,HS,C,B,B,None
Q262,Channel View School for Research,EMS,B,A,C,C
Q262,Channel View School for Research,HS,A,A,A,None
Q263,Flushing International High School,HS,B,A,A,None
Q264,Academy of Finance and Enterprise,HS,A,A,None,None
Q265,Excelsior Preparatory High School,HS,A,A,A,None
Q266,P.S. / I.S. 266,EMS,B,A,A,A
Q267,High School of Applied Communication,HS,A,A,None,None
Q268,PS/IS 268,EMS,B,A,C,B
Q270,The Gordon Parks School,EMS,C,A,B,A
Q272,George Washington Carver High School for the Scien,HS,A,A,A,B
Q281,East-West School of International Studies,EMS,A,A,B,None
Q281,East-West School of International Studies,HS,A,None,None,None
Q282,Knowledge and Power Preparatory Academy VI,EMS,C,A,B,None
Q283,Preparatory Academy for Writers: A College Board S,EMS,C,A,F,None
Q283,Preparatory Academy for Writers: A College Board S,HS,B,None,None,None
Q284,York Early College Academy,EMS,B,A,A,None
Q284,York Early College Academy,HS,None,None,None,None
Q285,World Journalism Preparatory: A College Board Scho,EMS,C,A,C,None
Q285,World Journalism Preparatory: A College Board Scho,HS,A,None,None,None
Q286,"Young Women's Leadership School, Astoria",EMS,A,A,A,None
Q286,"Young Women's Leadership School, Astoria",HS,None,None,None,None
Q293,Civic Leadership Academy,HS,None,None,None,None
Q294,BELL Academy,EMS,A,A,None,None
Q295,P.S./I.S. 295,EMS,B,A,None,None
Q296,Pan American International High School,HS,None,None,None,None
Q299,Bard High School Early College II,HS,A,None,None,None
Q301,Academy for Careers in Television and Film,HS,None,None,None,None
Q302,"Queens High School for Information, Research, and ",HS,None,None,None,None
Q308,Robert H. Goddard High School of Communication Art,HS,None,None,None,None
Q309,Academy of Medical Technology: A College Board Sch,EMS,D,None,None,None
Q309,Academy of Medical Technology: A College Board Sch,HS,None,None,None,None
Q310,Queens Collegiate: A College Board School,HS,None,None,None,None
Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,EC,None,None,None,None
Q318,WATERSIDE SCHOOL FOR LEADERSHIP,EMS,None,None,None,None
Q319,VILLAGE ACADEMY,EMS,None,None,None,None
Q323,Scholars' Academy,EMS,A,A,B,B
Q323,Scholars' Academy,HS,None,None,None,None
Q333,Goldie Maple Academy,EMS,C,A,A,None
Q400,August Martin High School,HS,C,C,B,D
Q410,Beach Channel High School,HS,F,D,C,C
Q415,Benjamin N. Cardozo High School,HS,B,B,B,B
Q425,John Bowne High School,HS,B,C,B,C
Q430,Francis Lewis High School,HS,B,A,A,B
Q435,Martin Van Buren High School,HS,C,C,B,B
Q440,Forest Hills High School,HS,A,A,B,B
Q445,William Cullen Bryant High School,HS,C,B,B,B
Q450,Long Island City High School,HS,C,B,B,B
Q455,Newtown High School,HS,C,C,B,C
Q457,HS Arts & Business YABC,YABC,D,None,None,None
Q460,Flushing High School,HS,C,B,B,C
Q465,Far Rockaway High School,HS,None,None,None,D
Q467,Flushing YABC,YABC,A,None,None,None
Q470,Jamaica High School,HS,D,D,C,C
Q475,Richmond Hill High School,HS,C,C,F,C
Q480,John Adams High School,HS,B,C,D,C
Q485,Grover Cleveland High School,HS,B,C,C,C
Q487,John Adams YABC,YABC,A,None,None,None
Q492,"Mathematics, Science Research and Technology Magne",HS,C,C,B,C
Q494,"Law, Government and Community Service High School",HS,D,B,C,C
Q495,Bayside High School,HS,B,B,B,B
Q496,"Business, Computer Applications & Entrepreneurship",HS,D,D,C,B
Q498,Humanities & Arts Magnet High School,HS,C,B,B,B
Q499,"The Queens College School for Math, Science and Te",EMS,A,A,C,A
Q501,Frank Sinatra School of the Arts High School,HS,A,A,A,B
Q502,Information Technology High School,HS,A,B,B,B
Q505,Hillcrest High School,HS,C,B,B,C
Q520,Middle College High School at LaGuardia Community ,HS,B,B,B,C
Q525,Townsend Harris High School,HS,A,A,A,A
Q530,International High School at LaGuardia Community C,HS,A,A,A,B
Q540,Queens Academy High School,HS,None,None,None,C
Q540,Queens Academy High School,HST,C,B,B,None
Q550,High School for Arts and Business,HS,A,A,B,A
Q555,Newcomers High School,HS,A,A,A,A
Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",EMS,A,B,A,B
Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",HS,C,B,B,B
Q566,"Queens High School of Teaching, Liberal Arts and t",HS,B,B,A,B
Q575,Academy of American Studies,HS,A,B,B,B
Q580,Baccalaureate School for Global Education,EMS,B,B,B,C
Q580,Baccalaureate School for Global Education,HS,A,A,A,A
Q600,Queens Vocational and Technical High School,HS,A,B,B,C
Q610,Aviation Career & Technical Education High School,HS,A,A,A,A
Q620,Thomas A. Edison Career and Technical Education Hi,HS,A,B,B,B
Q650,"High School for Construction Trades, Engineering a",HS,A,None,None,None
Q670,Robert F. Kennedy Community High School,HS,D,B,B,B
Q680,Queens Gateway to Health Sciences Secondary School,EMS,B,B,B,B
Q680,Queens Gateway to Health Sciences Secondary School,HS,B,A,A,B
Q687,Queens High School for the Sciences at York Colleg,HS,A,A,A,A
Q690,High School for Law Enforcement and Public Safety,HS,B,C,C,C
Q704,Merrick Academy Charter School,EMS,C,A,A,None
Q705,"Renaissance Charter School, The",EMS,B,A,A,C
Q705,"Renaissance Charter School, The",HS,B,A,A,None
Q706,Our World Neighborhood Charter,EMS,C,A,B,None
Q744,VOYAGES Preparatory,HST,B,None,None,None
Q792,North Queens Community High School,HST,B,B,None,None
Q877,51 Avenue Academy (The Path To Academic Excellence,EMS,A,A,A,C
Q896,"Young Women's Leadership School, Queens",EMS,C,A,C,A
Q896,"Young Women's Leadership School, Queens",HS,None,None,None,None
R001,P.S. 001 Tottenville,EMS,B,A,A,C
R002,I.S. R002 George L. Egbert,EMS,C,B,D,C
R003,P.S. 003 The Margaret Gioiosa School,EMS,C,B,B,B
R004,P.S. 004 Maurice Wollin,EMS,C,A,C,C
R005,P.S. 005 Huguenot,EMS,C,A,C,C
R006,P.S. 6 Corporal Allan F. Kivlehan School,EMS,C,A,A,B
R007,I.S. 007 Elias Bernstein,EMS,B,A,A,B
R008,P.S. 8 Shirlee Solomon,EMS,A,A,A,D
R011,P.S. 11 Thomas Dongan School,EMS,B,A,B,F
R013,P.S. 013 M. L. Lindemeyer,EMS,C,A,B,B
R014,P.S. 014 Cornelius Vanderbilt,EMS,C,A,C,D
R016,P.S. 016 John J. Driscoll,EMS,C,A,C,C
R018,P.S. 018 John G. Whittier,EMS,B,A,A,B
R019,P.S. 019 The Curtis School,EMS,B,A,A,B
R020,P.S. 020 Port Richmond,EMS,C,A,A,B
R021,P.S. 21 Margaret Emery-Elm Park,EMS,A,A,B,B
R022,P.S. 022 Graniteville,EMS,B,A,B,B
R023,P.S. 023 Richmondtown,EMS,B,A,A,C
R024,I.S. 024 Myra S. Barnes,EMS,C,A,B,C
R025,South Richmond High School I.S./P.S. 25,D75,B,None,None,None
R026,P.S. 026 The Carteret School,EMS,C,A,B,C
R027,I.S. 027 Anning S. Prall,EMS,C,A,C,C
R029,P.S. 029 Bardwell,EMS,C,A,A,A
R030,P.S. 030 Westerleigh,EMS,C,B,C,C
R031,P.S. 031 William T. Davis,EMS,B,A,A,D
R032,P.S. 032 The Gifford School,EMS,B,B,C,B
R034,I.S. 034 Tottenville,EMS,A,A,B,D
R035,P.S. 35 The Clove Valley School,EMS,C,B,C,F
R036,P.S. 036 J. C. Drumgoole,EMS,C,B,C,F
R038,P.S. 038 George Cromwell,EMS,B,A,B,C
R039,P.S. 39 Francis J. Murphy Jr.,EMS,C,A,B,B
R041,P.S. 041 New Dorp,EMS,C,A,B,D
R042,P.S. 042 Eltingville,EMS,C,A,A,C
R044,P.S. 044 Thomas C. Brown,EMS,C,A,B,D
R045,P.S. 045 John Tyler,EMS,C,A,C,C
R046,P.S. 046 Albert V. Maniscalco,EMS,D,B,B,F
R047,CSI High School for International Studies,HS,A,A,None,None
R048,P.S. 048 William C. Wilcox,EMS,B,A,A,B
R049,I.S. 49 Berta A. Dreyfus,EMS,B,A,B,C
R050,P.S. 050 Frank Hankinson,EMS,B,A,A,F
R051,I.S. 051 Edwin Markham,EMS,B,B,B,C
R052,P.S. 052 John C. Thompson,EMS,C,A,F,C
R053,P.S. 053 Bay Terrace,EMS,B,A,B,C
R054,P.S. 054 Charles W. Leng,EMS,C,B,B,B
R055,P.S. 055 Henry M. Boehm,EMS,C,B,B,D
R056,P.S. 56 The Louis Desario School,EMS,C,A,C,C
R057,P.S. 057 Hubert H. Humphrey,EMS,A,A,B,B
R058,Space Shuttle Columbia School,EMS,C,A,A,B
R060,P.S. 060 Alice Austen,EMS,C,A,B,C
R061,I.S. 061 William A Morris,EMS,C,B,B,C
R063,Marsh Avenue School for Expeditionary Learning,EMS,B,None,None,None
R064,Gaynor McCown Expeditionary Learning School,HS,None,None,None,None
R067,John W. Lavelle Preparatory Charter School,EMS,None,None,None,None
R069,P.S. 069 Daniel D. Tompkins,EMS,C,A,B,C
R072,I.S. 072 Rocco Laurie,EMS,B,A,B,C
R075,I.S. 075 Frank D. Paulo,EMS,B,B,B,B
R080,The Michael J. Petrides School,EMS,C,B,B,C
R080,The Michael J. Petrides School,HS,A,A,A,A
R373,P.S. R373,D75,B,None,None,None
R440,New Dorp High School,HS,A,A,B,B
R445,Port Richmond High School,HS,B,B,B,B
R450,Curtis High School,HS,B,B,B,B
R455,Tottenville High School,HS,B,A,A,B
R460,Susan E. Wagner High School,HS,A,B,A,B
R470,Concord High School,HS,None,None,None,B
R470,Concord High School,HST,A,A,A,None
R600,Ralph R. McKee Career and Technical Education High,HS,A,A,A,B
R605,Staten Island Technical High School,HS,A,A,A,A
R607,Staten Island YABC,YABC,C,None,None,None
R861,Staten Island School of Civic Leadership,EMS,None,None,None,None
X001,P.S. 001 Courtlandt School,EMS,C,A,C,D
X002,P.S. 002 Morrisania,EMS,None,None,D,D
X003,P.S. 3 Raul Julia Micro Society,EMS,A,A,B,A
X004,P.S./M.S. 004 Crotona Park West,EMS,B,A,A,C
X005,P.S. 005 Port Morris,EMS,C,A,B,B
X006,P.S. 006 West Farms,EMS,C,A,B,B
X007,P.S. 007 Kingsbridge,EMS,C,A,C,A
X008,P.S. 008 Issac Varian,EMS,B,A,B,B
X009,P.S. 9 Ryer Avenue Elementary School,EMS,C,A,A,B
X010,P.S. X010,D75,A,None,None,None
X011,P.S. 011 Highbridge,EMS,B,A,C,D
X014,P.S. X014 Senator John Calandra,EMS,C,A,B,D
X015,P.S. X015 Institute for Environmental Learning,EMS,A,A,A,A
X016,P.S. 016 Wakefield,EMS,C,A,A,D
X017,P.S. X017,D75,A,None,None,None
X018,P.S. 018 John Peter Zenger,EMS,C,A,B,D
X019,P.S. 019 Judith K. Weiss,EMS,C,A,C,B
X020,P.S. 20 P.O.George J. Werdan III,EMS,B,A,B,C
X021,P.S. 021 Philip H. Sheridan,EMS,C,B,B,B
X022,J.H.S. 022 Jordan L. Mott,EMS,C,A,C,A
X023,P.S. 023 The New Children's School,EC,C,None,None,None
X024,P.S. 024 Spuyten Duyvil,EMS,C,A,A,B
X025,P.S. 025 Bilingual School,EMS,A,A,D,C
X028,P.S. 028 Mount Hope,EMS,B,A,B,B
X029,P.S./M.S. 029 Melrose School,EMS,C,B,B,D
X030,P.S. 030 Wilton,EMS,A,A,C,C
X031,P.S./M.S. 031 The William Lloyd Garrison,EMS,C,A,C,C
X032,P.S. 032 Belmont,EMS,A,A,B,A
X033,P.S. 033 Timothy Dwight,EMS,A,A,B,D
X035,P.S. 035 Franz Siegel,EMS,C,A,B,C
X036,P.S. 036 Unionport,EMS,B,A,A,A
X037,P.S. X037 - Multiple Intelligence School,EMS,B,A,C,A
X041,P.S. 041 Gun Hill Road,EMS,A,A,A,C
X042,P.S. 042 Claremont,EMS,A,A,A,B
X043,P.S. 043 Jonas Bronck,EMS,A,A,A,C
X044,P.S. 044 David C. Farragut,EMS,B,A,B,D
X045,Thomas C. Giordano Middle School 45,EMS,C,A,D,B
X046,P.S. 046 Edgar Allan Poe,EMS,C,A,B,A
X047,P.S. 047 John Randolph,EMS,C,A,B,D
X048,P.S. 048 Joseph R. Drake,EMS,B,A,A,C
X049,P.S. 049 Willis Avenue,EMS,C,A,A,B
X050,P.S. 050 Clara Barton,EMS,D,B,B,F
X051,P.S. 051 Bronx New School,EMS,B,A,B,C
X053,P.S. 053 Basheer Quisim,EMS,C,A,C,B
X054,P.S. / I.S. 54,EMS,C,A,C,B
X055,P.S. 055 Benjamin Franklin,EMS,C,A,B,C
X056,P.S. 056 Norwood Heights,EMS,A,A,C,B
X057,P.S. 057 Crescent,EMS,B,A,B,C
X058,P.S. 058,EMS,C,C,B,B
X059,P.S. 059 The Community School of Technology,EMS,B,A,C,B
X061,P.S. 061 Francisco Oller,EMS,C,A,A,B
X062,P.S. 062 Inocensio Casanova,EMS,B,A,A,B
X063,P.S. 063 Author's Academy,EMS,B,A,A,B
X064,P.S. 064 Pura Belpre,EMS,C,A,C,D
X065,P.S. 065 Mother Hale Academy,EMS,C,B,D,C
X066,P.S. 066 School of Higher Expectations,EMS,B,A,B,D
X067,P.S. 067 Mohegan School,EMS,C,A,C,C
X068,P.S. 068 Bronx,EMS,B,A,A,C
X069,P.S. 069 The New Vision School,EMS,A,A,A,A
X070,P.S. 070 Max Schoenfeld,EMS,C,A,B,C
X071,P.S. 071 Rose E. Scala,EMS,C,A,B,B
X072,P.S. 072 Dr. William Dorney,EMS,C,A,B,B
X073,P.S. 073 Bronx,EMS,B,A,C,B
X075,P.S. 075,EMS,B,A,A,B
X076,P.S. 076 The Bennington School,EMS,A,A,A,A
X078,P.S. 078 Anne Hutchinson,EMS,C,A,C,D
X079,P.S. 079 Creston,EMS,None,None,None,F
X080,J.H.S. 080 The Mosholu Parkway,EMS,B,A,B,A
X081,P.S. 081 Robert J. Christen,EMS,C,A,C,B
X083,P.S. 083 Donald Hertz,EMS,C,A,B,B
X085,P.S. 085 Great Expectations,EMS,C,A,D,B
X086,P.S. 086 Kingsbridge Heights,EMS,A,A,A,A
X087,P.S. 087 Bronx,EMS,C,A,C,B
X088,P.S. X088 - S. Silverstein Little Sparrow School,EC,B,None,None,None
X089,P.S. 089 Bronx,EMS,C,A,C,B
X090,P.S. 090 George Meany,EMS,None,None,F,D
X091,P.S. 091 Bronx,EMS,B,A,C,B
X092,P.S. 092 Bronx,EMS,B,A,F,A
X093,P.S. 093 Albert G. Oliver,EMS,B,A,A,C
X094,P.S. 094 Kings College School,EMS,C,A,C,C
X095,P.S. 095 Sheila Mencher,EMS,B,A,B,B
