BRONX – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Address,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
2-02290-0001,"401 145 STREET
Bronx, NY
(40.82557699997852, -73.91844899972153)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,13,1910,10789,0,0,235000,21.78,2-02285-0001,"401 140 STREET
Bronx, NY
(40.810411837191104, -73.92189788277214)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,14,1910,11510,110743,9.62,235000,20.42,0.25,2-02550-0007,"218 ST ANNS AVENUE
Bronx, NY
(40.80635278553079, -73.91777134483357)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,16,1910,13440,125342,9.33,266000,19.79,0.5
2-02293-0041,"426 149 STREET
Bronx, NY
(40.815586003474664, -73.91658913224703)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,11,1905,10845,0,0,295000,27.2,2-02551-0064,"605 138 STREET
Bronx, NY
(40.80633208693502, -73.91624647804682)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,26,1905,16020,139611,8.71,296000,18.48,0.6,2-02285-0070,"441 140 STREET
Bronx, NY
(40.81007369210936, -73.92108286642132)",MOTT HAVEN/PORT MORRIS,C1-WALK-UP,11,1905,13235,94760,7.16,201000,15.19,0.4
2-02301-0004,"330 139 STREET
Bronx, NY
(40.81069298762525, -73.92462634274597)",MOTT HAVEN/PORT MORRIS,C6-WALK-UP,11,1931,9415,0,0,280000,29.7,2-02285-0003,"306 WILLIS AVENUE
Bronx, NY
(40.81054332618791, -73.92182611052176)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,11,1931,8870,102257,11.53,265000,29.9,0.2,2-02550-0003,"214 ST ANNS AVENUE
Bronx, NY
(40.806244297320795, -73.91784883641213)",MOTT HAVEN/PORT MORRIS,C7-WALK-UP,12,1931,9180,119960,13.07,374000,40.7,0.5
2-02360-0070,"530 159 STREET
Bronx, NY
(40.82138198884924, -73.91077726081927)",MORRISANIA/LONGWOOD,C6-WALK-UP,46,1928,46210,0,0,974000,21.08,2-02748-0060,"1001 BRYANT AVENUE
Bronx, NY
(40.823290282837036, -73.8885882162631)",MORRISANIA/LONGWOOD,D3-ELEVATOR,26,1928,22075,240221,10.88,509000,23.06,1.15,2-02612-0058,"1229 FRANKLIN AVENUE
Bronx, NY
(40.83051205520179, -73.90338176338274)",MORRISANIA/LONGWOOD,D7-ELEVATOR,62,1928,68722,466897,6.79,990000,14.41,0.85
2-02373-0043,"3531 3 AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,C6-WALK-UP,15,1920,12651,0,0,296000,23.4,2-02603-0067,"576 TIMPSON PLACE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,D1-ELEVATOR,50,1920,51384,561680,10.93,1190000,23.16,1.4,2-02665-0061,"721 UNION AVENUE
Bronx, NY
(40.817112732397234, -73.90379396408963)",MORRISANIA/LONGWOOD,C7-WALK-UP,49,1920,43750,425889,9.73,903000,20.64,1.05
2-02375-0029,"425 153 STREET
Bronx, NY
(40.818768553987205, -73.91596089641712)",MORRISANIA/LONGWOOD,C6-WALK-UP,25,1912,17220,200425,11.64,425000,24.68,2-02615-0050,"1239 BOSTON ROAD
Bronx, NY
(40.830081087930616, -73.90172135574859)",MORRISANIA/LONGWOOD,C1-WALK-UP,21,1912,15765,193333,12.26,543000,34.4,1.05,2-02674-0027,"592 UNION AVENUE
Bronx, NY
(40.81365223753357, -73.90495325584675)",MORRISANIA/LONGWOOD,C1-WALK-UP,43,1926,33890,534664,15.78,1810000,53,0.7
2-02410-0031,"318 151 STREET
Bronx, NY
(40.81830039334598, -73.9203135874597)",MELROSE/CONCOURSE,C6-WALK-UP,12,1918,6948,93748,13.49,199000,28.6,2-02430-0033,"1191 CLAY AVENUE
Bronx, NY
(40.83192503007201, -73.91091398535674)",MELROSE/CONCOURSE,C1-WALK-UP,12,1929,11500,140601,12.23,395000,34.3,1.05,2-02427-0018,"1268 CLAY AVENUE
Bronx, NY
(40.833666143802176, -73.90985166470924)",MELROSE/CONCOURSE,C1-WALK-UP,12,1909,11345,102734,9.06,218000,19.22,1.2
2-02410-0032,"320 151 STREET
Bronx, NY
(40.81828155380546, -73.92024088615592)",MELROSE/CONCOURSE,C6-WALK-UP,12,1918,7560,102000,13.49,216000,28.6,2-02430-0033,"1191 CLAY AVENUE
Bronx, NY
(40.83192503007201, -73.91091398535674)",MELROSE/CONCOURSE,C1-WALK-UP,12,1929,11500,140601,12.23,395000,34.3,1.05,2-02674-0027,"592 UNION AVENUE
Bronx, NY
(40.81365223753357, -73.90495325584675)",MORRISANIA/LONGWOOD,C1-WALK-UP,43,1926,33890,534664,15.78,1810000,53,0.9
2-02421-0013,"270 162 STREET
Bronx, NY
(40.8264570018299, -73.91782103862984)",MELROSE/CONCOURSE,C6-WALK-UP,11,1931,10675,120950,11.33,256000,23.98,2-02430-0033,"1191 CLAY AVENUE
Bronx, NY
(40.83192503007201, -73.91091398535674)",MELROSE/CONCOURSE,C1-WALK-UP,12,1929,11500,140601,12.23,395000,34.3,0.5,2-02427-0018,"1268 CLAY AVENUE
Bronx, NY
(40.833666143802176, -73.90985166470924)",MELROSE/CONCOURSE,C1-WALK-UP,12,1909,11345,102734,9.06,218000,19.22,0.65
2-02422-0030,"943 TELLER AVENUE
Bronx, NY
(40.82615911625451, -73.91557814166602)",MELROSE/CONCOURSE,C6-WALK-UP,37,1920,33055,357489,10.81,758000,22.93,2-02427-0018,"1268 CLAY AVENUE
Bronx, NY
(40.833666143802176, -73.90985166470924)",MELROSE/CONCOURSE,C1-WALK-UP,12,1909,11345,102734,9.06,218000,19.22,0.6,2-02430-0033,"1191 CLAY AVENUE
Bronx, NY
(40.83192503007201, -73.91091398535674)",MELROSE/CONCOURSE,C1-WALK-UP,12,1929,11500,140601,12.23,395000,34.3,0.45
2-02430-0035,"1187 CLAY AVENUE
Bronx, NY
(40.83184294217393, -73.91096005509546)",MELROSE/CONCOURSE,C6-WALK-UP,12,1913,11500,106605,9.27,226000,19.65,2-02430-0033,"1191 CLAY AVENUE
Bronx, NY
(40.83192503007201, -73.91091398535674)",MELROSE/CONCOURSE,C1-WALK-UP,12,1929,11500,140601,12.23,395000,34.3,0,2-02427-0018,"1268 CLAY AVENUE
Bronx, NY
(40.833666143802176, -73.90985166470924)",MELROSE/CONCOURSE,C1-WALK-UP,12,1909,11345,102734,9.06,218000,19.22,0.15
2-02443-0170,"773 CONCOURSE VILLAGE
Bronx, NY
(40.82292362586588, -73.91996566836853)",MELROSE/CONCOURSE,D4-ELEVATOR,1248,1964,876500,10598813,12.09,22500000,25.7,2-02282-0018,"430 138 STREET
Bronx, NY
(40.80864958471954, -73.9218896337259)",MOTT HAVEN/PORT MORRIS,D7-ELEVATOR,155,1932,145936,1779558,12.19,5000000,34.3,0.95,2-02338-0003,"2862 PARK AVENUE
Bronx, NY
(40.81837883985474, -73.92482002691514)",MELROSE/CONCOURSE,D7-ELEVATOR,520,1974,547382,7114310,13,15100000,27.6,0.3
2-02443-9080,"780 CONCOURSE VILLAGE
Bronx, NY
(40.823141442756324, -73.91976752500315)",MELROSE/CONCOURSE,D4-ELEVATOR,936,1963,862500,10385103,12.04,29200000,33.9,2-02282-0018,"430 138 STREET
Bronx, NY
(40.80864958471954, -73.9218896337259)",MOTT HAVEN/PORT MORRIS,D7-ELEVATOR,155,1932,145936,1779558,12.19,5000000,34.3,0.95,2-02338-0003,"2862 PARK AVENUE
Bronx, NY
(40.81837883985474, -73.92482002691514)",MELROSE/CONCOURSE,D7-ELEVATOR,520,1974,547382,7114310,13,15100000,27.6,0.3
2-02447-0001,"1010 SHERMAN AVENUE
Bronx, NY
(40.829403500934774, -73.91841727035265)",MELROSE/CONCOURSE,D4-ELEVATOR,67,1958,80009,698340,8.73,1480000,18.5,2-03250-0065,"2850 WEBB AVENUE
Bronx, NY
(40.873148990577995, -73.90066446129676)",KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,57,1957,54256,553808,10.21,1320000,24.33,3.15,2-04344-0042,"2225 HOLLAND AVENUE
Bronx, NY
(40.85834458053123, -73.86567875956378)",PELHAM PARKWAY NORTH,D1-ELEVATOR,61,1957,73500,714500,9.72,1700000,23.13,3.35
2-02452-0029,"1113 GRANT AVENUE
Bronx, NY
(40.83143682651718, -73.91626611771085)",MELROSE/CONCOURSE,C6-WALK-UP,70,1926,57080,529130,9.27,1120000,19.62,2-02427-0018,"1268 CLAY AVENUE
Bronx, NY
(40.833666143802176, -73.90985166470924)",MELROSE/CONCOURSE,C1-WALK-UP,12,1909,11345,102734,9.06,218000,19.22,0.4,2-02481-0028,"1265 WALTON AVENUE
Bronx, NY
(40.83646212936341, -73.91843701059139)",MELROSE/CONCOURSE,C1-WALK-UP,68,1926,71850,550395,7.66,1170000,16.28,0.4
2-02456-0030,"201 165 STREET
Bronx, NY
(40.83036073864291, -73.91891085194115)",MELROSE/CONCOURSE,C6-WALK-UP,31,1918,19955,240964,12.08,511000,25.6,2-02457-0021,"214 168 STREET
Bronx, NY
(40.835430271825096, -73.91552567986628)",MELROSE/CONCOURSE,C1-WALK-UP,49,1917,44880,370693,8.26,786000,17.51,0.3,2-02422-0026,"312 163 STREET
Bronx, NY
(40.826769471114886, -73.91610123775128)",MELROSE/CONCOURSE,C1-WALK-UP,34,1918,33535,350858,10.46,909000,27.1,0.3
2-02458-0090,"800 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,260,1954,252105,3432000,13.61,7280000,28.9,2-02432-0005,"986 MORRIS AVENUE
Bronx, NY
(40.828527009337286, -73.91680013638236)",MELROSE/CONCOURSE,D1-ELEVATOR,30,1929,34125,453026,13.28,960000,28.1,0.5,2-02555-0013,"592 OAK TERRACE
Bronx, NY
(40.8088700304608, -73.91441649985781)",MOTT HAVEN/PORT MORRIS,D1-ELEVATOR,32,1925,23635,384033,16.25,1300000,55,1.15
2-02459-0030,"860 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,120,1941,115140,1108855,9.63,2640000,22.93,2-02282-0018,"430 138 STREET
Bronx, NY
(40.80864958471954, -73.9218896337259)",MOTT HAVEN/PORT MORRIS,D7-ELEVATOR,155,1932,145936,1779558,12.19,5000000,34.3,1.25,2-02338-0003,"2862 PARK AVENUE
Bronx, NY
(40.81837883985474, -73.92482002691514)",MELROSE/CONCOURSE,D7-ELEVATOR,520,1974,547382,7114310,13,15100000,27.6,0.55
2-02461-0045,"940 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,108,1929,145728,1196295,8.21,2840000,19.49,2-02282-0018,"430 138 STREET
Bronx, NY
(40.80864958471954, -73.9218896337259)",MOTT HAVEN/PORT MORRIS,D7-ELEVATOR,155,1932,145936,1779558,12.19,5000000,34.3,1.4,2-02338-0003,"2862 PARK AVENUE
Bronx, NY
(40.81837883985474, -73.92482002691514)",MELROSE/CONCOURSE,D7-ELEVATOR,520,1974,547382,7114310,13,15100000,27.6,0.75
2-02461-0083,"185 163 STREET
Bronx, NY
(40.82827728271543, -73.92069827055893)",MELROSE/CONCOURSE,D4-ELEVATOR,42,1927,45483,376653,8.28,799000,17.57,2-02508-0014,"1030 WOODYCREST AVENUE
Bronx, NY
(40.833229392045304, -73.92751052082231)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,36,1927,23508,224845,9.56,535000,22.76,0.45,2-02806-0001,"105 177 STREET
Bronx, NY
(40.84968139327063, -73.90791375045586)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,46,1927,45060,466703,10.36,1210000,26.9,1.65
2-02461-0094,"1020 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,466,1963,428360,7325214,17.1,15500000,36.2,2-02450-0001,"1212 GRANT AVENUE
Bronx, NY
(40.83383403089054, -73.91479970892078)",MELROSE/CONCOURSE,D7-ELEVATOR,58,1936,67700,690493,10.2,1640000,24.22,0.45,2-02338-0003,"2862 PARK AVENUE
Bronx, NY
(40.81837883985474, -73.92482002691514)",MELROSE/CONCOURSE,D7-ELEVATOR,520,1974,547382,7114310,13,15100000,27.6,0.85
2-02462-0033,"1100 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,74,1928,107841,946370,8.78,2010000,18.64,2-02486-0025,"1025 GERARD AVENUE
Bronx, NY
(40.830996510889655, -73.92293888297417)",MELROSE/CONCOURSE,D1-ELEVATOR,54,1928,59446,501895,8.44,1060000,17.83,0.25,2-02432-0005,"986 MORRIS AVENUE
Bronx, NY
(40.828527009337286, -73.91680013638236)",MELROSE/CONCOURSE,D1-ELEVATOR,30,1929,34125,453026,13.28,960000,28.1,0.3
2-02464-0023,"1235 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,131,1929,181700,1512180,8.32,3210000,17.67,2-02510-0040,"1187 ANDERSON AVENUE
Bronx, NY
(40.836833850831844, -73.92370633065059)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,129,1929,137282,1486387,10.83,3850000,28,0.35,2-02832-0060,"1455 SHERIDAN AVENUE
Bronx, NY
(40.839674708687895, -73.9119928607031)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,88,1929,86442,643441,7.44,1360000,15.73,0.45
2-02471-0036,"1015 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,62,1941,75000,650830,8.68,1380000,18.4,2-02846-0041,"1565 TOWNSEND AVENUE
Bronx, NY
(40.843589652406656, -73.9141827439327)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,61,1941,68400,541565,7.92,1150000,16.81,0.95,2-02799-0035,"1775 CLAY AVENUE
Bronx, NY
(40.84608498488757, -73.90477007043248)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,49,1941,39930,447141,11.2,1160000,29.1,1.35
2-02471-0050,"1001 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,81,1941,92417,802613,8.68,1910000,20.67,2-02846-0041,"1565 TOWNSEND AVENUE
Bronx, NY
(40.843589652406656, -73.9141827439327)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,61,1941,68400,541565,7.92,1150000,16.81,0.95,2-02435-0007,"1200 COLLEGE AVENUE
Bronx, NY
(40.832917235403116, -73.91323277979025)",MELROSE/CONCOURSE,D1-ELEVATOR,72,1941,82600,666400,8.07,1410000,17.07,0.45
2-02472-0011,"1075 GRAND
Bronx, NY
(40.82557699997852, -73.91844899972153)",MELROSE/CONCOURSE,D4-ELEVATOR,109,1928,118218,999685,8.46,2120000,17.93,2-02832-0060,"1455 SHERIDAN AVENUE
Bronx, NY
(40.839674708687895, -73.9119928607031)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,88,1929,86442,643441,7.44,1360000,15.73,0.75,2-02473-0048,"721 WALTON AVENUE
Bronx, NY
(40.82352940996549, -73.92634373608547)",MELROSE/CONCOURSE,D1-ELEVATOR,120,1928,112854,1280224,11.34,3320000,29.4,0.6
2-02473-0067,"660 WALTON AVENUE
Bronx, NY
(40.8219073858037, -73.92711756842417)",MELROSE/CONCOURSE,D4-ELEVATOR,83,1936,119500,996990,8.34,2110000,17.66,2-02456-0175,"1181 SHERIDAN AVENUE
Bronx, NY
(40.8334812062784, -73.91710652155521)",MELROSE/CONCOURSE,D1-ELEVATOR,68,1936,72276,606956,8.4,1290000,17.85,0.8,2-02449-0064,"1185 MORRIS AVENUE
Bronx, NY
(40.83284295889773, -73.9143806746298)",MELROSE/CONCOURSE,D1-ELEVATOR,53,1936,45416,487491,10.73,1160000,25.5,0.85
2-02474-0001,"811 WALTON AVENUE
Bronx, NY
(40.825435094622065, -73.92526536182996)",MELROSE/CONCOURSE,D4-ELEVATOR,150,1927,150640,1208068,8.02,2560000,16.99,2-03225-0148,"2300 SEDGWICK AVENUE
Bronx, NY
(40.862500266632196, -73.9089930204407)",KINGSBRIDGE HTS/UNIV HTS,D1-ELEVATOR,80,1927,92748,776153,8.37,1650000,17.79,2.65,2-02844-0065,"1453 WALTON AVENUE
Bronx, NY
(40.840706256761955, -73.91516012546757)",MOUNT HOPE/MOUNT EDEN,D1-ELEVATOR,73,1927,76650,789380,10.3,2050000,26.7,1.2
2-02474-0010,"828 GERARD AVENUE
Bronx, NY
(40.82624354645569, -73.92564501225654)",MELROSE/CONCOURSE,D4-ELEVATOR,54,1924,42660,505310,11.85,1310000,30.7,2-02487-0010,"1065 GERARD AVENUE
Bronx, NY
(40.832045940709975, -73.92231880218833)",MELROSE/CONCOURSE,D1-ELEVATOR,126,1999,96774,1054293,10.89,2730000,28.2,0.5,2-02432-0005,"986 MORRIS AVENUE
Bronx, NY
(40.828527009337286, -73.91680013638236)",MELROSE/CONCOURSE,D1-ELEVATOR,30,1929,34125,453026,13.28,960000,28.1,0.55
2-02474-0015,"825 WALTON AVENUE
Bronx, NY
(40.825799600355154, -73.9250291940732)",MELROSE/CONCOURSE,D4-ELEVATOR,54,1924,44304,524780,11.84,1470000,33.2,2-02436-0033,"1245 FINDLAY AVENUE
Bronx, NY
(40.83367475712842, -73.91186606321703)",MELROSE/CONCOURSE,D1-ELEVATOR,67,1924,48870,487880,9.98,1160000,23.74,0.9,2-02432-0005,"986 MORRIS AVENUE
Bronx, NY
(40.828527009337286, -73.91680013638236)",MELROSE/CONCOURSE,D1-ELEVATOR,30,1929,34125,453026,13.28,960000,28.1,0.55
2-02477-0015,"1040 GERARD AVENUE
Bronx, NY
(40.83142403394375, -73.92260717197533)",MELROSE/CONCOURSE,D4-ELEVATOR,52,1959,45786,422080,9.22,1000000,21.84,2-02432-0005,"986 MORRIS AVENUE
Bronx, NY
(40.828527009337286, -73.91680013638236)",MELROSE/CONCOURSE,D1-ELEVATOR,30,1929,34125,453026,13.28,960000,28.1,0.35,2-02456-0175,"1181 SHERIDAN AVENUE
Bronx, NY
(40.8334812062784, -73.91710652155521)",MELROSE/CONCOURSE,D1-ELEVATOR,68,1936,72276,606956,8.4,1290000,17.85,0.3
2-02479-0001,"85 MC CLELLAN STREET
Bronx, NY
(40.83379855541416, -73.92104381076231)",MELROSE/CONCOURSE,D4-ELEVATOR,59,1940,56400,566400,10.04,1350000,23.94,2-02432-0005,"986 MORRIS AVENUE
Bronx, NY
(40.828527009337286, -73.91680013638236)",MELROSE/CONCOURSE,D1-ELEVATOR,30,1929,34125,453026,13.28,960000,28.1,0.45,2-02456-0175,"1181 SHERIDAN AVENUE
Bronx, NY
(40.8334812062784, -73.91710652155521)",MELROSE/CONCOURSE,D1-ELEVATOR,68,1936,72276,606956,8.4,1290000,17.85,0.15
2-02488-0036,"1175 GERARD AVENUE
Bronx, NY
(40.83474386296722, -73.9207283767821)",MELROSE/CONCOURSE,C6-WALK-UP,44,1924,51000,472770,9.27,1000000,19.61,2-02427-0018,"1268 CLAY AVENUE
Bronx, NY
(40.833666143802176, -73.90985166470924)",MELROSE/CONCOURSE,C1-WALK-UP,12,1909,11345,102734,9.06,218000,19.22,0.65,2-02430-0033,"1191 CLAY AVENUE
Bronx, NY
(40.83192503007201, -73.91091398535674)",MELROSE/CONCOURSE,C1-WALK-UP,12,1929,11500,140601,12.23,395000,34.3,0.55
2-02504-0036,"941 JEROME AVENUE
Bronx, NY
(40.83024922701045, -73.92849851515201)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,86,1927,114941,1160900,10.1,2460000,21.4,2-02456-0175,"1181 SHERIDAN AVENUE
Bronx, NY
(40.8334812062784, -73.91710652155521)",MELROSE/CONCOURSE,D1-ELEVATOR,68,1936,72276,606956,8.4,1290000,17.85,0.5,2-02555-0013,"592 OAK TERRACE
Bronx, NY
(40.8088700304608, -73.91441649985781)",MOTT HAVEN/PORT MORRIS,D1-ELEVATOR,32,1925,23635,384033,16.25,1300000,55,1.75
2-02508-0026,"1045 ANDERSON AVENUE
Bronx, NY
(40.83333110741414, -73.92638485893377)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,50,1931,54180,641760,11.84,1360000,25.1,2-02506-0134,"1337 EDWARD
Bronx, NY
(40.83710012663136, -73.83526820760558)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,28,1931,25800,258760,10.03,615000,23.84,0.55,2-02514-0025,"1085 NELSON AVENUE
Bronx, NY
(40.834921487097496, -73.92732420645648)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,48,1931,42000,510531,12.16,1430000,34,0.15
2-02508-0041,"1015 ANDERSON AVENUE
Bronx, NY
(40.83254671358371, -73.92698821213061)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,22,1922,23802,220645,9.27,468000,19.66,2-02674-0027,"592 UNION AVENUE
Bronx, NY
(40.81365223753357, -73.90495325584675)",MORRISANIA/LONGWOOD,C1-WALK-UP,43,1926,33890,534664,15.78,1810000,53,1.8,2-02427-0018,"1268 CLAY AVENUE
Bronx, NY
(40.833666143802176, -73.90985166470924)",MELROSE/CONCOURSE,C1-WALK-UP,12,1909,11345,102734,9.06,218000,19.22,0.95
2-02508-0043,"1001 ANDERSON AVENUE
Bronx, NY
(40.832177322948766, -73.92726105748596)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,22,1922,20057,194810,9.71,413000,20.59,2-02427-0018,"1268 CLAY AVENUE
Bronx, NY
(40.833666143802176, -73.90985166470924)",MELROSE/CONCOURSE,C1-WALK-UP,12,1909,11345,102734,9.06,218000,19.22,0.95,2-02430-0033,"1191 CLAY AVENUE
Bronx, NY
(40.83192503007201, -73.91091398535674)",MELROSE/CONCOURSE,C1-WALK-UP,12,1929,11500,140601,12.23,395000,34.3,0.85
2-02510-0050,"1177 ANDERSON AVENUE
Bronx, NY
(40.836513502873125, -73.92394881625822)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,116,1929,106386,1128650,10.61,2920000,27.4,2-02510-0040,"1187 ANDERSON AVENUE
Bronx, NY
(40.836833850831844, -73.92370633065059)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,129,1929,137282,1486387,10.83,3850000,28,0,2-02554-0049,"345 CYPRESS AVENUE
Bronx, NY
(40.808156355921405, -73.91314596103956)",MOTT HAVEN/PORT MORRIS,D1-ELEVATOR,40,1924,39810,475694,11.95,1340000,33.7,2.05
2-02510-0074,"1201 SHAKESPEARE AVENUE
Bronx, NY
(40.83689590750318, -73.92336013928463)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,61,1930,57230,580920,10.15,1230000,21.49,2-02529-0063,"1261 MERRIAM AVENUE
Bronx, NY
(40.8398105996238, -73.92643667645447)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,78,1930,72727,676710,9.3,1610000,22.14,0.25,2-02555-0013,"592 OAK TERRACE
Bronx, NY
(40.8088700304608, -73.91441649985781)",MOTT HAVEN/PORT MORRIS,D1-ELEVATOR,32,1925,23635,384033,16.25,1300000,55,1.95
2-02511-0027,"100 162 STREET
Bronx, NY
(40.828982618893406, -73.9247944212278)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,16,1907,13425,147290,10.97,312000,23.24,2-02427-0018,"1268 CLAY AVENUE
Bronx, NY
(40.833666143802176, -73.90985166470924)",MELROSE/CONCOURSE,C1-WALK-UP,12,1909,11345,102734,9.06,218000,19.22,1.1,2-02487-0010,"1065 GERARD AVENUE
Bronx, NY
(40.832045940709975, -73.92231880218833)",MELROSE/CONCOURSE,D1-ELEVATOR,126,1999,96774,1054293,10.89,2730000,28.2,0.45
2-02516-0026,"136 168 STREET
Bronx, NY
(40.836087065433276, -73.91748632608989)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,36,1926,30800,336275,10.92,713000,23.15,2-02514-0036,"1065 NELSON AVENUE
Bronx, NY
(40.83435201569101, -73.9277073701398)",HIGHBRIDGE/MORRIS HEIGHTS,C7-WALK-UP,30,1926,31875,358740,11.25,930000,29.2,0.2,2-02374-0073,"650 MELROSE AVENUE
Bronx, NY
(40.81861429858947, -73.91658369463282)",MORRISANIA/LONGWOOD,C7-WALK-UP,21,1913,9342,139360,14.92,471000,50,1.4
2-02518-0028,"132 169 STREET
Bronx, NY
(40.836905947198936, -73.91726960581475)",HIGHBRIDGE/MORRIS HEIGHTS,D4-ELEVATOR,25,1931,27018,250735,9.28,532000,19.69,2-02504-0126,"1005 JEROME AVENUE
Bronx, NY
(40.83146690107192, -73.92645895411279)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,211,1931,205008,1573234,7.67,3340000,16.29,0.5,2-02514-0032,"1075 NELSON AVENUE
Bronx, NY
(40.834638249341914, -73.92751775225614)",HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,37,1931,36900,381979,10.35,990000,26.8,0.35
2-02521-0001,"127 170 STREET
Bronx, NY
(40.83948652066683, -73.91564712016492)",HIGHBRIDGE/MORRIS HEIGHTS,C6-WALK-UP,40,1925,39432,450825,11.43,956000,24.24,2-02397-0006,"582 COURTLANDT AVENUE
Bronx, NY
(40.81740186226847, -73.91911205706272)",MELROSE/CONCOURSE,C1-WALK-UP,11,1920,9635,64384,6.68,151000,15.67,1.7,2-02376-0053,"2997 3 AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",MORRISANIA/LONGWOOD,C7-WALK-UP,19,1920,14670,167505,11.42,471000,32.1,1.6
