Business Name,Business Category,Street Address,Phone,Website,Hours Mon - Fri,Hours Sat,Hours Sun,Location 1
Carver Federal Savings,Banking,111 Livingston Street,718-230-2900,www.carverbank.com,,,,"111 Livingston Street
Brooklyn, NY 11201
(40.69109687573092, -73.98955322065659)"
Chase Bank,Banking,101 Court Street,718-643-0048,www.chase.com,F 8am - 10:30pm; 8am - 9:30pm,10am - 10:30pm,12pm - 8pm,"101 Court Street
Brooklyn, NY 11201
(40.690966023179186, -73.99171627562784)"
Chase Bank,Banking,20 Flatbush Avenue,718-858-5305,www.chase.com,,,,"20 Flatbush Avenue
Brooklyn, NY 11217
(40.68843613755975, -73.98074588731704)"
Chase-ATM,Banking,86 Court Street,,www.chase.com,24 hours,24 hours,24 hours,"86 Court Street
Brooklyn, NY 11201
(40.691231150791715, -73.99166428201663)"
Check Cashing,Banking,44 Hoyt Street,718-522-0774,,,,,"44 Hoyt Street
Brooklyn, NY 11201
(40.68923788862916, -73.9860406589291)"
Esquire Bank,Banking,64 Court Street,718-222-5066,www.esquirebank.com,8:30am - 4:00pm,closed,Closed,"64 Court Street
Brooklyn, NY 11201
(40.691947851708925, -73.9913175934472)"
Sovereign Bank,Banking,215 Atlantic Avenue,718-637-2205,www.soverignbank.com,"M 9am - 6pm, 9am - 5pm",9am - 1pm,Closed,"215 Atlantic Avenue
Brooklyn, NY 11201
(40.68965435116201, -73.99217031538377)"
Afrik Elegance,Beauty Services,310 Livingston Street,718-260-8050,,,,,"310 Livingston Street
Brooklyn, NY 11217
(40.68823937106766, -73.98223600498265)"
Amy Nail & Salon,Beauty Services,303 Livingston Street,718-222-1848,no website ,,,,"303 Livingston Street
Brooklyn, NY 11217
(40.68804560227132, -73.98156796631427)"
Black Elegance,Beauty Services,46 Hoyt Street,347-471-8805,,,,,"46 Hoyt Street
Brooklyn, NY 11201
(40.68917495605284, -73.98608386636957)"
C's Beauty World Salon,Beauty Services,305 Livingston Street,718-624-7739,,,,,"305 Livingston Street
Brooklyn, NY 11217
(40.68801654292825, -73.9814918836706)"
Designer Nail Salon,Beauty Services,344 Livingston Street,718-243-1864,no website ,M-Th 9am - 7:30pm; F 9am - 8pm,9am - 8pm,11am - 6pm,"344 Livingston Street
Brooklyn, NY 11217
(40.68772159494492, -73.98090651780353)"
Diallo Hair Braiding,Beauty Services,"301 Livingston Street, 2nd Floor",347-247-2627,no website ,,,,"301 Livingston Street
Brooklyn, NY 11217
(40.688074661614394, -73.98164404895796)"
Foye Princess Braiding,Beauty Services,"322 Livingston Street, 2nd Floor",718-858-2738,,,,,"322 Livingston Street
Brooklyn, NY 11217
(40.688075271251094, -73.98180636182654)"
Fulton (Viva) Beauty Supply,Beauty Services,8 Nevins Street,718-522-7475 ,,9:30am-7:30pm,9:30am-7:30pm,closed,"8 Nevins Street
Brooklyn, NY 11217
(40.68849730515488, -73.98103511967234)"
Hair Heaven,Beauty Services,308 Livingston Street,718-875-3576,www.hairheavennyc.com,M-W 10am - 7pm; Th 10am - 7:30pm; F 10am - 8pm,10am - 7pm,Closed,"308 Livingston Street
Brooklyn, NY 11217
(40.68826672103708, -73.98230761217535)"
Heads Up Barber Shop,Beauty Services,18 Nevins Street,718-246-2550,,,,,"18 Nevins Street
Brooklyn, NY 11217
(40.6882400272718, -73.98122223086004)"
Honey Cosmetics,Beauty Services,310 Livingston Street,718-855-7287,,M-Th 10am - 7:30pm; F 10am - 8pm,10am - 8pm,11am - 6pm,"310 Livingston Street
Brooklyn, NY 11217
(40.68823937106766, -73.98223600498265)"
J & J Sunshine (Lans Hair &) Nail Salon,Beauty Services,368 Livingston Street,718-875-6571,,10am - 7pm,10am - 7pm,Closed,"368 Livingston Street
Brooklyn, NY 11217
(40.687492633719124, -73.98031963190682)"
Mama Senalgese Braiding,Beauty Services,255 Livingston Street,,,,,,"255 Livingston Street
Brooklyn, NY 11217
(40.68879868636235, -73.98352667294718)"
Nu Expressions Hair salon,Beauty Services,314 Livingston Street,718-237-9991,,10am - 6:30pm,10am - 6:30pm,Closed,"314 Livingston Street
Brooklyn, NY 11217
(40.6881846711288, -73.98209279059729)"
Park Nail Spa,Beauty Services,210 State Street,718-935-1119,,10am - 8pm,10am - 8pm,11am - 7:30pm,"210 State Street
Brooklyn, NY 11201
(40.690224456499365, -73.99176187669438)"
Tatyana's Nail Salon,Beauty Services,85 Livingston Street,718-855-1522,,9am-8pm,9am-8pm,9am-8pm,"85 Livingston Street
Brooklyn, NY 11201
(40.691487621155595, -73.99094525123202)"
Top Nail,Beauty Services,312 Livingston Street,718-246-9063,,9:30am - 8pm,9:30am - 8pm,Closed,"312 Livingston Street
Brooklyn, NY 11217
(40.68821202108936, -73.98216439776675)"
Ynobee Studio 05,Beauty Services,346 Livingston Street,718-522-3901,,10am - 7pm,10am - 7pm,Closed,"346 Livingston Street
Brooklyn, NY 11217
(40.68768355362308, -73.98081183718028)"
Barclay School Supply,Book Stores,166 Livingston Street,718-875-2424,www.barclayschoolsupplies.com,,,,"166 Livingston Street
Brooklyn, NY 11201
(40.69028438349771, -73.9874978348599)"
Barnes and Noble,Book Stores,106 Court Street,718-246-4996,www.barnesandnoble.com,9am - 11pm,9am - 11pm,10am - 10pm,"106 Court Street
Brooklyn, NY 11201
(40.69056843299655, -73.99197930108195)"
Bell Tower Christian Gift & Bookstore,Book Stores,163 Livingston Street,718-290-2100,www.belltoweronline.com,,,,"163 Livingston Street
Brooklyn, NY 11201
(40.69029639989092, -73.98736819414891)"
"Official Connection, Inc.",Book Stores,316 Livingston Street,718-488-0006,,10am - 7pm,10am - 7 pm,Closed,"316 Livingston Street
Brooklyn, NY 11217
(40.688157321150506, -73.98202118338138)"
Hanover  Place Learning Center,Child Care,15 Hanover Place,718-246-1479,www.hanoverchildcare.com,,,,"15 Hanover Place
Brooklyn, NY 11201
(40.688840530386095, -73.98238547826749)"
NYC Explorers,Child Care,110 Schermerhorn Street,,,,,,"110 Schermerhorn Street
Brooklyn, NY 11201
(40.6901764883832, -73.98923820966998)"
.99 Store,Discount,328 Livingston Street,,,9am - 8pm,9am - 8pm,Closed,"328 Livingston Street
Brooklyn, NY 11217
(40.68799322135168, -73.98159154027171)"
Goodwill Store & Donation Center,Discount,258 Livingston Street,718-330-0218,www.goodwill.org,10am - 8pm,10am - 7pm,Closed,"258 Livingston Street
Brooklyn, NY 11201
(40.68893087041469, -73.9840271165258)"
Webers Closeout Center,Discount,39 Bond Street,718-292-3605,,,,,"39 Bond Street
Brooklyn, NY 11201
(40.688497975088374, -73.983726820184)"
200 Dry Cleaners ,Dry Cleaners / Tailors,193 Schermerhorn Street,718-855-1116,,"M-Th 8am-10pm, F 8am - 9pm",8am - 9pm,8am-9pm,"193 Schermerhorn Street
Brooklyn, NY 11201
(40.68909462227068, -73.9862692750753)"
200 Dry Cleaners ,Dry Cleaners / Tailors,200-4 Schermerhorn Street,718-855-1122,,"M-Th 8am-10pm, F 8am - 9pm",8am - 9pm,8am-9pm,"200 4 Schermerhorn Street
Brooklyn, NY 11217
(40.68231210132245, -73.97956718857483)"
Bridge Cleaners & Tailors,Dry Cleaners / Tailors,204 Livingston Street,718-625-1446,www.bridgecleaners.com,,,,"204 Livingston Street
Brooklyn, NY 11201
(40.68967848132722, -73.98596077156681)"
Downtown Cleaners,Dry Cleaners / Tailors,84 Livingston Street,718-403-9300,,,,,"84 Livingston Street
Brooklyn, NY 11201
(40.69147528293147, -73.99110955639823)"
Mr. Rafaels Dry Cleaners & Tailoring,Dry Cleaners / Tailors,105 Court Street,718-858-5833,www.drycleanny.com,,,,"105 Court Street
Brooklyn, NY 11201
(40.69083358302672, -73.9917782688907)"
Paramount Tailors,Dry Cleaners / Tailors,312 Livingston Street,718-852-4489,,9am - 7pm,9am - 7pm,Closed,"312 Livingston Street
Brooklyn, NY 11217
(40.68821202108936, -73.98216439776675)"
Game Champ,Electronics,6 Nevins Street,,,,,,"6 Nevins Street
Brooklyn, NY 11217
(40.68854876073915, -73.98099769742923)"
Gamestop,Electronics,116A Court Street,718-488-0641,www.gamestop.com,10am - 8pm,10am - 8pm,11am - 6pm,"116A Court Street
Brooklyn, NY 11201
(40.69015967281151, -73.99217561135023)"
One Stop Mobile,Electronics,255 Livingston Street,718-624-4700,www.t-mobile.com,,,,"255 Livingston Street
Brooklyn, NY 11217
(40.68879868636235, -73.98352667294718)"
Radio Shack,Electronics,118 Court Street,718-855-5057,www.radioshack.com,9am - 8pm,9am - 8pm,11am - 7pm,"118 Court Street
Brooklyn, NY 11201
(40.690070305891595, -73.99221667182695)"
T-Mobile,Electronics,76 Court Street,718-488-5500,www.t-mobile.com,,,,"76 Court Street
Brooklyn, NY 11201
(40.69159044813241, -73.99149043398637)"
Verizon Wireless,Electronics,105 Court Street,718-625-7772,www.verizonwireless.com,,,,"105 Court Street
Brooklyn, NY 11201
(40.69083358302672, -73.9917782688907)"
Angelica Pizza & Restaurant,Food Service,30 Nevins Street,718-852-2728,,,,,"30 Nevins Street
Brooklyn, NY 11217
(40.687941266684575, -73.98143780845336)"
B Lunch Bar,Food Service,129 Livingston Street,718-522-4500,,,,,"129 Livingston Street
Brooklyn, NY 11201
(40.69080655800933, -73.98868481259358)"
Bella Pizza,Food Service,208 Livingston Street,718-624-3996,,,,,"208 Livingston Street
Brooklyn, NY 11201
(40.68961241133852, -73.98579365336009)"
Brooklyn Fare,Food Service,200-1 Schermerhorn Street,718-243-0050,www.brooklynfare.com,7am - 10pm,7am - 10pm,8am - 9pm,"200 1 Schermerhorn Street
Brooklyn, NY 11201
(40.69467825879468, -73.98992086835335)"
Brooklyn Fare Kitchen,Food Service,200-3 Schermerhorn Street,,,,,,"200 3 Schermerhorn Street
Brooklyn, NY 11201
(40.69467825879468, -73.98992086835335)"
Checkers,Food Service,111 Court Street,718-797-5333,www.checkers.com,F 11am - 2am; 11am - 12am,11m - 2am,11am - 12am,"111 Court Street
Brooklyn, NY 11201
(40.690634922775295, -73.99187125879563)"
Chunah Hing Chinese,Food Service,48 Hoyt Street,718-797-3188,,,,,"48 Hoyt Street
Brooklyn, NY 11201
(40.689112023519726, -73.98612707378035)"
Chu's Gourmet,Food Service,82 Livingston Street,718-260-8870,,,,,"82 Livingston Street
Brooklyn, NY 11201
(40.691502334538114, -73.99120592774689)"
Court Order,Food Service,52 Court Street,718-935-9300,www.courtorderdeli.com,,,,"52 Court Street
Brooklyn, NY 11201
(40.692320620898926, -73.99113547975875)"
Dallas BBQ,Food Service,180 Livingston Street,718-643-5700,www.dallasbbq.com,,,,"180 Livingston Street
Brooklyn, NY 11201
(40.690077690615844, -73.9869618756961)"
Downtown Ale House,Food Service,121 Livingston Street,347-457-5404,www.downtownalehouse.com,,,,"121 Livingston Street
Brooklyn, NY 11201
(40.690915792944786, -73.98896336167901)"
Dunkin Donuts,Food Service,56 Court Street,718-625-2068,www.dunkindonuts.com,"M 12am - 5pm, 6:30am - 7:30pm",6:30am - 7:30pm,closed,"56 Court Street
Brooklyn, NY 11201
(40.692196389982534, -73.99119596833461)"
Dunkin Donuts,Food Service,322 Livingston Street,718-788-7888,www.dunkindonuts.com,6am - 7:30pm,7am - 7:30pm,7:30am - 7pm,"322 Livingston Street
Brooklyn, NY 11217
(40.688075271251094, -73.98180636182654)"
Fresco Tortilla Plus,Food Service,113 Court Street,718-237-3898,,,,,"113 Court Street
Brooklyn, NY 11201
(40.69056870270664, -73.99190225542351)"
Govinda's Luncheon,Food Service,305 Schermerhorn Street,718-875-6127,www.radhagovinda108.com,12pm - 3:30pm,closed,closed,"305 Schermerhorn Street
Brooklyn, NY 11217
(40.68750362425947, -73.98219907143293)"
Hero Shop,Food Service,119 Livingston Street,718-834-8572,,,,,"119 Livingston Street
Brooklyn, NY 11201
(40.69094238222645, -73.9890359810318)"
IHOP,Food Service,276 Livingston Street,718-222-4467,www.ihop.com,M-Th 7am - Midnight; F 24hrs,24 Hr.,Midnight - Midnight,"276 Livingston Street
Brooklyn, NY 11217
(40.68872067198442, -73.9834842768514)"
Jado's Pizza,Food Service,90 Livingston Street,718-855-0110,,,,,"90 Livingston Street
Brooklyn, NY 11201
(40.691394128111554, -73.99082044235224)"
Jake's Wayback Burger,Food Service,125 Livingston Street,718-935-9888,,,,,"125 Livingston Street
Brooklyn, NY 11201
(40.690861175472364, -73.98882408712434)"
Jung's Fish & Vegetable,Food Service,297 Livingston Street,718-596-3578,,,,,"297 Livingston Street
Brooklyn, NY 11217
(40.688132780300535, -73.98179621424532)"
La Bagel Delight,Food Service,90 Court Street,718-522-0520,www.labageldelight.com,6am - 6pm,6am - 5pm,6am - 4pm,"90 Court Street
Brooklyn, NY 11201
(40.69108752763824, -73.99173434209148)"
Livingston Diner,Food Service,372 Livingston Street,718-522-6941,,5am - 6pm,5am-6pm,closed,"372 Livingston Street
Brooklyn, NY 11217
(40.68748474366794, -73.9802948346031)"
McDonalds,Food Service,82 Court Street,718-852-2626,www.mcdonalds.com,,,,"82 Court Street
Brooklyn, NY 11201
(40.69137467872999, -73.99159432295792)"
Metro King Café,Food Service,16 Nevins Street,718-797-2178,,6:30am - 6:30pm,8am - 6pm,closed,"16 Nevins Street
Brooklyn, NY 11217
(40.68829148284332, -73.98118480862622)"
My Little Pizzeria,Food Service,114 Court Street,718-643-6120,,,,,"114 Court Street
Brooklyn, NY 11201
(40.69024903972546, -73.99213455087626)"
New Apollo Diner,Food Service,155 Livingston Street,718-858-5600,www.apollo-diner.com,,,,"155 Livingston Street
Brooklyn, NY 11201
(40.69044433836474, -73.98775706099438)"
O'Keefe's Bar & Grill,Food Service,62 Court Street,718-855-8751,,,,,"62 Court Street
Brooklyn, NY 11201
(40.69200998627733, -73.99128718716906)"
Papa Johns,Food Service,290 Livingston Street,718-596-7272,www.papajohns.com,M-Th 11am - Midnight; F 11am-1am,11am - 1am,11am - Midnight,"290 Livingston Street
Brooklyn, NY 11217
(40.68851624791346, -73.98295707793154)"
Patty Plus,Food Service,324 Livingston Street,718-522-7565,,8am - 8pm,8am - 8pm,Closed,"324 Livingston Street
Brooklyn, NY 11217
(40.6880479212728, -73.98173475461064)"
Popeyes,Food Service,80 Court Street,718-422-0835,www.popeyes.com,,,,"80 Court Street
Brooklyn, NY 11201
(40.69144660186413, -73.99155969330073)"
Popeyes,Food Service,290 Livingston Street,718-243-9434,www.popeyes.com,,,,"290 Livingston Street
Brooklyn, NY 11217
(40.68851624791346, -73.98295707793154)"
Queen Restaurant,Food Service,84 Court Street,718-596-5954,www.queenrestaurant.com,"M, T - 11:30am - 10pm; W, Th - 11:30am - 10:30pm; F 11:30am - 11pm",4pm - 11pm,2:30pm - 10pm,"84 Court Street
Brooklyn, NY 11201
(40.691302962368454, -73.9916292519792)"
Red Mango,Food Service,125 Court Street,718-797-2133,www.redmangousa.com,,,,"125 Court Street
Brooklyn, NY 11201
(40.690141636624325, -73.992107334253)"
Renaissance Java Café,Food Service,200-2 Schermerhorn Street,718-222-8868,www.renaissancejavacafe.com,7am - 6pm,9am - 5pm,closed,"200 2 Schermerhorn Street
Brooklyn, NY 11201
(40.69467825879468, -73.98992086835335)"
Saporita Pizza,Food Service,27 Smith Street,718-643-7777,www.saporitapizza.com,11am - 8pm,closed,11am - 6pm,"27 Smith Street
Brooklyn, NY 11201
(40.69070306373426, -73.98771853283972)"
Subway,Food Service,288 Livingston Street,718-596-2530,www.subway.com,7am - 10pm,8am - 10pm,9am - 9pm,"288 Livingston Street
Brooklyn, NY 11217
(40.68854545134911, -73.98303239205505)"
Tio Pio,Food Service,119 Court Street,718-403-0044,,,,,"119 Court Street
Brooklyn, NY 11201
(40.69034611128023, -73.99201313781245)"
Wendy's,Food Service,291 Livingston Street,,www.wendys.com,,,,"291 Livingston Street
Brooklyn, NY 11217
(40.688219958329746, -73.98202446217635)"
Z-7 Diner,Food Service,115 Court Street,718-596-6237,,,,,"115 Court Street
Brooklyn, NY 11201
(40.69054899833005, -73.99191169428752)"
Gothic Cabinet Furniture,Furniture,31 Smith Street,718-625-2333,www.gothiccabinetcraft.com,10am - 7pm,10am - 7pm,11am - 6pm,"31 Smith Street
Brooklyn, NY 11201
(40.69059338069688, -73.98777946786052)"
Sleepy's ,Furniture,268 Livingston Street,718-246-7957,www.sleepys.com,10am - 8pm,10am - 8pm,10am - 7pm,"268 Livingston Street
Brooklyn, NY 11217
(40.68856668126645, -73.98292834401565)"
Value Furniture Warehouse,Furniture,254 Livingston Street,718-243-2600,,10am - 6pm,10am - 6pm,Closed,"254 Livingston Street
Brooklyn, NY 11201
(40.68897595642404, -73.9841435887166)"
Mikey's Smoke Shop,Gifts,60 Schermerhorn Street,718-875-1139,,9:30am - 6pm,9am- 5pm,closed,"60 Schermerhorn Street
Brooklyn, NY 11201
(40.690870316275465, -73.99142528260668)"
Trophy World,Gifts,123 Livingston Street,718-797-1200,www.trophyworld.com,,,,"123 Livingston Street
Brooklyn, NY 11201
(40.69088848421326, -73.98889372441363)"
True Value American Hardware,Hardware,85 Court Street,718-243-0844,www.truevalue.com,,,,"85 Court Street
Brooklyn, NY 11201
(40.69144378404727, -73.99148407909414)"
True Value Brunos Home Center,Hardware,95 Court Street,718-858-5250,,8:30am - 6pm,9am - 3pm,closed,"95 Court Street
Brooklyn, NY 11201
(40.69112436297162, -73.99163928313062)"
Brooklyn Martial Arts,Health & Fitness,289 Livingston Street,718-403-9026,,,,,"289 Livingston Street
Brooklyn, NY
(40.68824901767282, -73.98210054482003)"
Curves for Women,Health & Fitness,52 Court Street,718-237-9394,www.curves.com,7am - 8pm,8am - 1pm,8am - 1pm,"52 Court Street
Brooklyn, NY 11201
(40.692320620898926, -73.99113547975875)"
GNC,Health & Fitness,58 Court Street,718-852-7625,www.gnc.com,,,,"58 Court Street
Brooklyn, NY 11201
(40.69213425541413, -73.99122637461275)"
Gold's Gym,Health & Fitness,85 Livingston Street,718-845-4653,www.goldsgym.com,,,,"85 Livingston Street
Brooklyn, NY 11201
(40.691487621155595, -73.99094525123202)"
Lean On Me BodyWorks,Health & Fitness,85 Livingston Street,718-222-8713,www.leanonmebodyworks.com,,,,"85 Livingston Street
Brooklyn, NY 11201
(40.691487621155595, -73.99094525123202)"
Little Gym of Brooklyn Heights,Health & Fitness,221 Atlantic Avenue,718-488-7744,www.thelittlegym.com,9am -6pm,9am - 12pm,9am - 12pm ,"221 Atlantic Avenue
Brooklyn, NY 11201
(40.68957826851833, -73.99193192310025)"
Streamline Pilates Studio,Health & Fitness,196 State Street,718-488-8688,www.streamlinepilates.com,by appointment,by appointment,by appointment,"196 State Street
Brooklyn, NY 11201
(40.69039858259302, -73.99233922260112)"
Stur-Dee Health Foods,Health & Fitness,222 Livingston Street,718-852-7600,,,,,"222 Livingston Street
Brooklyn, NY 11201
(40.68939410888421, -73.98522718819748)"
YMCA,Health & Fitness,225 Atlantic Avenue,718-625-3136,www.ymcanyc.org,5:30am - 11pm,7am - 8pm,7am - 8pm,"225 Atlantic Avenue
Brooklyn, NY 11201
(40.68954213577108, -73.99183203254687)"
Satnick's Fine Jewelry and Watches,Jewelery & Accessories,187 State Street,718-852-1421,,,,,"187 State Street
Brooklyn, NY 11201
(40.69031219016463, -73.99184671157933)"
The Court Street Jewelers,Jewelery & Accessories,60 Court Street,718-834-8940,,,,,"60 Court Street
Brooklyn, NY 11201
(40.69207212084573, -73.99125678089091)"
Arimed,Medical/Dental/Optical,302 Livingston Street,(718) 875-8754,www.arimed.com,8am - 5pm,Closed,Closed,"302 Livingston Street
Brooklyn, NY 11217
(40.68834877094537, -73.9825224337534)"
Cosmetic & General Dentistry,Medical/Dental/Optical,226 Livingston Street,718-596-0066,no website ,,,,"226 Livingston Street
Brooklyn, NY 11201
(40.68933070669082, -73.98506234249467)"
Dello Russo Laser Vision,Medical/Dental/Optical,100 Livingston Street,718-254-9263,www.dellorussolaservision.com,,,,"100 Livingston Street
Brooklyn, NY 11201
(40.69125887007834, -73.99033858560894)"
Exclusive Eyewear,Medical/Dental/Optical,362 Livingston Street,718-596-9393,www.exclusiveeyewear.com,M-Th 10am -7pm; F 10am - 8pm,11am - 9pm,Closed,"362 Livingston Street
Brooklyn, NY 11217
(40.68750446879703, -73.98035682786595)"
Eyes and Optics,Medical/Dental/Optical,314 Livingston Street,718-875-3351,,M-Th 10am - 6pm; F 9am - 5pm,Closed,Closed,"314 Livingston Street
Brooklyn, NY 11217
(40.6881846711288, -73.98209279059729)"
GVS General Vision,Medical/Dental/Optical,66 Court Street,718-625-0025,www.generalvision.com,,,,"66 Court Street
Brooklyn, NY 11201
(40.69188571710734, -73.9913479997416)"
Lenscrafters Optique,Medical/Dental/Optical,121 Court Street,718-858-7036,www.lenscrafters.com,,,,"121 Court Street
Brooklyn, NY 11201
(40.69032037045222, -73.99202521330506)"
Livingston Dental Care,Medical/Dental/Optical,366 Livingston Street,718-722-7700,,10am - 7pm,10am - 4pm,Closed,"366 Livingston Street
Brooklyn, NY 11217
(40.687496578745844, -73.98033203056222)"
Optometrist: Dr. Aaron Mandel,Medical/Dental/Optical,228 Livingston Street,,,,,,"228 Livingston Street
Brooklyn, NY
(40.689299005579606, -73.98497991960554)"
Zolotar Dental Care,Medical/Dental/Optical,304 Livingston Street,718-797-2880,,9am - 6pm,9am - 6pm,Closed,"304 Livingston Street
Brooklyn, NY 11217
(40.68832142097594, -73.98245082656072)"
United Artists,Movie Theatres,108 Court Street,718-246-8170,www.regmovies.com,11am - 2am,11am - 2am,11am - 2am,"108 Court Street
Brooklyn, NY 11201
(40.69046698947164, -73.99203002284442)"
24 Hour Lotto,Newsstands & Delis,33 Smith Street,,,,,,"33 Smith Street
Brooklyn, NY
(40.6905384690739, -73.98781227192659)"
3 In 1 Deli,Newsstands & Delis,50 Hoyt Street,,,,,,"50 Hoyt Street
Brooklyn, NY 11201
(40.6890490909434, -73.98617028122082)"
Danny & Andy Deli,Newsstands & Delis,229 Schermerhorn Street,718-797-4188,,6am - 5pm,closed,closed,"229 Schermerhorn Street
Brooklyn, NY 11201
(40.688563269814445, -73.9849099302982)"
Diacks Variety,Newsstands & Delis,40 Hoyt Street,,,,,,"40 Hoyt Street
Brooklyn, NY 11201
(40.6893637537386, -73.98595424407785)"
D-town Deli and Grill,Newsstands & Delis,26 Nevins Street,(718) 643-1770,,24 hours,24 hours,24 hours,"26 Nevins Street
Brooklyn, NY 11217
(40.688034204934716, -73.98137191983248)"
Greenline Newsstand,Newsstands & Delis,245 Schermerhorn Street,,,8am - 8pm,9am - 6pm,9am - 6pm,"245 Schermerhorn Street
Brooklyn, NY 11201
(40.68833622953143, -73.98433025297984)"
Livingston Newsstand,Newsstands & Delis,255 Livingston Street,,,,,,"255 Livingston Street
Brooklyn, NY 11217
(40.68879868636235, -73.98352667294718)"
Lucy Hot Dog and Donuts ,Newsstands & Delis,330 Livingston Street,347-221-9471,,8am - 7:30pm,8am - 7:30pm,Closed,"330 Livingston Street
Brooklyn, NY 11217
(40.687965871373386, -73.98151993305581)"
MS Store,Newsstands & Delis,24 Nevins Street,,,10am - 6pm,10am-6pm,closed,"24 Nevins Street
Brooklyn, NY 11217
(40.68808566050623, -73.98133449759865)"
Nevins Optimo Shop,Newsstands & Delis,24 Nevins Street,,,,,,"24 Nevins Street
Brooklyn, NY 11217
(40.68808566050623, -73.98133449759865)"
New Way Newstand & Candy,Newsstands & Delis,208 Livingston Street,973-767-5589,,,,,"208 Livingston Street
Brooklyn, NY 11201
(40.68961241133852, -73.98579365336009)"
Official Lotto Newsstand,Newsstands & Delis,155 Livingston Street,,,,,,"155 Livingston Street
Brooklyn, NY 11201
(40.69044433836474, -73.98775706099438)"
Side Street Deli,Newsstands & Delis,187 State Street,718-802-1100,,6am - 6pm,6:30am - 3pm,closed,"187 State Street
Brooklyn, NY 11201
(40.69031219016463, -73.99184671157933)"
Sikder & Sons,Newsstands & Delis,40 Hoyt Street,646-691-5893,,,,,"40 Hoyt Street
Brooklyn, NY 11201
(40.6893637537386, -73.98595424407785)"
Smith Food Express,Newsstands & Delis,21 Smith Street,,,,,,"21 Smith Street
Brooklyn, NY 11201
(40.69086806738895, -73.98762803166429)"
