Application #,Organization,Total Final Award
FY12-AN-007305,Astoria Performing Arts Center,"52,600"
FY12-RN-009867,Atlantic Theater Company,"53,250"
FY12-AN-007581,"Avant Media Performance, Inc.","5,325"
FY12-AN-007557,Azure Ensemble,"5,325"
FY12-AN-007976,"Ballet Ambassadors, Inc.","10,650"
FY12-RN-009751,"Ballet Hispanico of New York, Inc.","72,725"
FY12-RN-009726,"Ballet Tech Foundation, Inc.","69,225"
FY12-MY-007845,"Ballet Theatre Foundation, Inc.","134,500"
FY12-RN-009712,"Bang on a Can, Inc.","37,275"
FY12-RN-009841,"Bargemusic, Ltd.","69,225"
FY12-RN-009773,Bartow-Pell Landmark Fund,"26,625"
FY12-MY-007205,"Baryshnikov Dance Foundation, Inc.","53,250"
FY12-AN-007776,"Batoto Yetu, Inc.","15,975"
FY12-RN-009752,Battery Dance Corporation,"15,975"
FY12-RN-009855,Bayside Historical Society,"35,975"
FY12-RN-009825,Bedford Stuyvesant Restoration Corporation,"94,225"
FY12-AN-007877,"Behind the Book, Inc.","10,650"
FY12-AN-009078,Best of Brooklyn,"7,990"
FY12-AN-009098,Beth Morrison Projects,"7,990"
FY12-MY-006576,"Big Apple Circus, Ltd.","228,000"
FY12-RN-009613,"Big Apple Performing Arts, Inc.","15,975"
FY12-MY-008856,"Billie Holiday Theatre, Inc.","106,625"
FY12-AN-007281,"Bindlestiff Family Variety Arts, Inc.","7,990"
FY12-AN-007716,"Black Moon Theatre Company, Inc.","5,325"
FY12-MY-006537,"Black Spectrum Theatre Company, Inc.","164,625"
FY12-AN-009317,Black Women's Blueprint,"5,325"
FY12-MY-009502,"Bloomingdale School of Music, Inc.","15,975"
FY12-AN-007867,"Bond Street Theatre Coalition, Ltd.","5,325"
FY12-MY-006404,"Borough of Manhattan Community College Performing Arts Center, Inc.","26,625"
FY12-RN-009801,Bowery Arts and Science,"26,625"
FY12-RN-009611,"Boys & Girls Harbor, Inc.","42,275"
FY12-AN-008039,"Brave New World Repertory Theatre, Inc.","15,975"
FY12-RN-009884,Brecht Forum,"15,975"
FY12-MY-006959,BRIC Arts Media Bklyn,"276,125"
FY12-AN-006496,"Brick Theater, Inc.","23,640"
FY12-RN-009717,"Brighton Ballet Theater Company, Inc.","15,975"
FY12-RN-009709,Bronx Arts Ensemble,"236,625"
FY12-AN-006556,"Bronx Community College Association, Inc.","7,990"
FY12-RN-009661,Bronx Council on the Arts,"543,175"
FY12-MY-007870,"Bronx Dance Theatre, Inc.","131,275"
FY12-MY-007107,"Bronx House, Inc.","37,275"
FY12-MY-006572,Bronx Opera Company,"28,000"
FY12-RN-009824,"Bronx River Art Center, Inc.","99,225"
FY12-AN-008076,"Bronx Symphony Orchestra, Inc.","6,375"
FY12-RN-009755,"Brooklyn Arts Council, Inc.","745,350"
FY12-RN-009668,Brooklyn Arts Exchange,"37,275"
FY12-AN-008163,"Brooklyn Ballet, Inc.","52,125"
FY12-MY-009097,"Brooklyn Bridge Park Conservancy, Inc.","15,975"
FY12-RN-009710,Brooklyn Conservatory of Music,"79,725"
FY12-AN-007201,"Brooklyn Four Plus One, Inc.","5,325"
FY12-AN-008165,Brooklyn Heights Music Society,"13,315"
FY12-MY-007200,Brooklyn Historical Society,"168,000"
FY12-RN-009861,Brooklyn Navy Yard Development Corporation,"15,975"
FY12-MY-009076,"Brooklyn Philharmonic Symphony Orchestra, Inc.","304,625"
FY12-AN-006386,Brooklyn Steppers,"17,990"
FY12-AN-008536,Brooklyn Waterfront Artist Coalition,"5,325"
FY12-AN-008616,"Brooklyn Young Filmmakers Center, Inc.","5,325"
FY12-RN-009729,"Brooklyn Youth Chorus Academy, Inc.","106,500"
FY12-RN-009620,"Builders Association, Inc.","15,975"
FY12-AN-007660,"Bushwick Institute of the Performing Arts, Inc.","21,000"
FY12-AN-008876,"Bushwick Starr, Inc.","7,990"
FY12-AN-008877,"Calpulli Mexican Dance Company, Inc.","21,300"
FY12-RN-009885,"Camera Club of New York, Inc.","15,975"
FY12-RN-009891,"Camera News, Inc.","15,975"
FY12-AN-007206,"Canopy Canopy Canopy, Inc.","5,325"
FY12-MY-008861,"Capoeira Foundation, Inc.","15,975"
FY12-RN-009714,"Career Transition for Dancers, Inc.","15,975"
FY12-AN-006980,"Caribbean American Repertory Theatre, Inc.","5,000"
FY12-AN-008200,"Casa Belvedere, The Italian Cultural Foundation","5,000"
FY12-RN-009797,"Casita Maria, Inc.","15,975"
FY12-RN-009723,"Cave Canem Foundation, Inc.","15,975"
FY12-RN-009779,"CEC Stuyvesant Cove, Inc.","20,975"
FY12-MY-006497,"Center for Arts Education, Inc.","117,500"
FY12-RN-009656,"Center for Book Arts, Inc.","37,275"
FY12-RN-009769,Center for Jewish History,"15,975"
FY12-AN-007038,"Center for Performance Research, Inc.","5,325"
FY12-RN-009655,Center for the Study of Classical Architecture,"15,975"
FY12-RN-009870,Center for Traditional Music and Dance,"58,250"
FY12-MY-006473,"Center for Urban Pedagogy, Inc.","26,625"
FY12-AN-007758,"Center Stage Community Playhouse, Inc.","14,325"
FY12-AN-007737,"Central Astoria Local Development Coalition, Inc.","53,125"
FY12-AN-009100,"Central Brooklyn Jazz Consortium, Inc.","9,000"
FY12-AN-009279,"Centro Civico Cultural Dominicano, Inc.","5,325"
FY12-AN-007583,"Centro Cultural Cubano, Inc.","5,325"
FY12-MY-007861,"Chamber Music America, Inc.","15,975"
FY12-RN-009677,"Chamber Music Society of Lincoln Center, Inc.","15,975"
FY12-AN-009138,Change for Kids Inc,"10,650"
FY12-RN-009817,"Chashama, Inc.","40,475"
FY12-AN-006578,"Chelsea Opera, Inc.","7,990"
FY12-RN-009886,"Cherry Lane Alternative, Inc.","42,275"
FY12-RN-009881,"Chez Bushwick, Inc.","15,975"
FY12-RN-009740,Children's Aid Society,"15,975"
FY12-RN-009840,Children's Art Carnival,"24,975"
FY12-AN-008944,"Children's Arts & Science Workshops, Inc.","5,325"
FY12-RN-009687,Children's Museum of Manhattan,"216,000"
FY12-RN-009670,Children's Museum of the Arts,"37,275"
FY12-MY-006641,China Institute of America,"15,975"
FY12-AN-008959,"Chinese American Arts Council, Inc.","7,990"
FY12-AN-009016,"Chinese Theatre Works, Inc.","26,625"
FY12-RN-009650,"Circle in the Square Theatre School, Inc.","15,975"
FY12-AN-006456,"Circuit Productions, Inc.","13,315"
FY12-AN-008976,"Circus Amok, Inc.","5,325"
FY12-RN-009673,"Cities at Peace, Inc.","15,975"
FY12-AN-007500,"City Grand Opera Society, Inc.","5,325"
FY12-AN-007376,City Island Historical Society,"10,325"
FY12-AN-007668,City Island Theater Group,"5,000"
FY12-RN-009822,"City Lore, Inc.","53,250"
FY12-RN-009860,City Parks Foundation,"138,125"
FY12-RN-009772,"CityArts, Inc.","15,975"
FY12-MY-008260,"CityKids Foundation, Inc.","15,975"
FY12-MY-006463,"Civilians, Inc.","18,975"
FY12-AN-008159,"Clarion Music Society, Inc.","5,325"
FY12-MY-008481,"Classical Theatre of Harlem, Inc.","8,000"
FY12-RN-009826,"Clemente Soto Velez Cultural and Educational Center, Inc.","15,975"
FY12-RN-009739,"Clubbed Thumb, Inc.","15,975"
FY12-MY-008296,Coalition for Hispanic Family Services,"15,975"
FY12-AN-007863,"Collapsable Giraffe, Inc.","5,325"
FY12-MY-007044,"College Community Services, Inc.","53,250"
FY12-RN-009854,Collegiate Chorale,"15,975"
FY12-RN-009782,Colonial Dames of America/Mount Vernon Hotel Museum & Garden,"20,975"
FY12-MY-008158,"Colonial Farmhouse Restoration Society of Bellerose, Inc.","272,482"
FY12-RN-009721,"Community Works, Inc.","34,125"
FY12-MY-007021,"Community-Word Project, Inc.","33,125"
FY12-MY-008716,Complexions - A Concept in Dance,"15,975"
FY12-AN-009356,"Composers Collaborative, Inc.","7,990"
FY12-RN-009796,"Concert Artists Guild, Inc.","15,975"
FY12-AN-008480,Concerts in the Heights,"5,325"
FY12-AN-009197,"Coney Island History Project, Inc.","10,650"
FY12-RN-009875,"Coney Island, USA","26,625"
FY12-AN-006384,"Conference House Association, Inc.","26,625"
FY12-AN-009437,"Congress for Jewish Culture, Inc.","7,990"
FY12-AN-006937,Conrad Poppenhusen Association,"52,275"
FY12-AN-009217,Conscientious Musical Revues,"7,990"
FY12-MY-009061,Cool Culture,"79,750"
FY12-AN-009296,Cora Incorporated,"5,325"
FY12-AN-009205,"CorbinDances, Inc.","5,325"
FY12-RN-009798,Council of Literary Magazines and Presses,"26,625"
FY12-RN-009640,Council on the Arts and Humanities for Staten Island,"233,520"
FY12-MY-006717,"Covenant Ballet Theatre of Brooklyn, Inc.","15,975"
FY12-AN-007199,"Creative Ammo, Inc.","5,325"
FY12-MY-007858,Creative Arts Team,"15,975"
FY12-MY-006486,Creative Arts Workshop for Kids,"15,975"
FY12-MY-007857,"Creative Time, Inc.","138,125"
FY12-MY-006461,"CSC Repertory, Ltd.","37,275"
FY12-RN-009627,CUE Art Foundation,"15,975"
FY12-AN-008761,"Cultural Center for Soviet Refugees, Inc.","5,325"
FY12-AN-008999,"Cultural Collaborative Jamaica, Inc.","20,000"
FY12-MY-008157,"Culture Project, Inc.","15,975"
FY12-RN-009792,"Cunningham Dance Foundation, Inc.","37,275"
FY12-AN-006657,"CYPRECO of America, Inc.","7,990"
FY12-MY-006417,"D.U.M.B.O. Arts Center, Inc.","15,975"
FY12-AN-009136,"Da Capo Chamber Players, Inc.","7,990"
FY12-AN-007501,"Dance Entropy, Inc.","24,475"
FY12-AN-007658,"Dance Films Association, Inc.","15,975"
FY12-MY-007057,"Dance New Amsterdam, Inc.","85,200"
FY12-AN-006597,"Dance Parade, Inc.","7,990"
FY12-AN-008517,"Dance Project Sequence, Inc.","5,325"
FY12-RN-009584,"Dance Ring, Inc.","37,275"
FY12-AN-006377,"Dance Theatre Etcetera, Inc.","30,625"
FY12-MY-007657,"Dance Theatre of Harlem, Inc.","174,250"
FY12-MY-006638,Dance/USA,"25,975"
FY12-AN-006469,Dancenow/NYC,"15,975"
FY12-AN-008217,Dances For A Variable Population,"8,825"
FY12-MY-009101,"Dancewave, Inc.","30,125"
FY12-RN-009663,"DanceWorks, Inc.","37,275"
FY12-AN-008943,"Dancing in the Streets, Inc.","26,625"
FY12-AN-007669,"Dansology, Inc.","5,325"
FY12-MY-007202,"Danspace Project, Inc.","72,225"
FY12-RN-009791,"Design Trust for Public Space, Inc.","26,625"
FY12-AN-009285,"Desipina Productions, Inc.","5,325"
FY12-AN-006698,"Dessoff Choirs, Inc.","5,325"
FY12-MY-008821,Dia Center for the Arts,"40,275"
FY12-RN-009853,Dicapo Opera Theatre Corp.,"15,975"
FY12-MY-007097,"Dieu Donne Paper Mill, Inc.","15,975"
FY12-MY-007659,"Diller-Quaile School of Music, Inc.","15,975"
FY12-RN-009594,"Discalced, Inc.","85,200"
FY12-AN-009358,DIVAS for Social Justice,"5,325"
FY12-AN-006898,"Diversity in Arts and Nations for Cultural Education, Inc.","5,325"
FY12-RN-009597,"Doing Art Together, Inc.","18,975"
FY12-MY-008576,Dorsky Gallery Curatorial Programs,"26,625"
FY12-MY-006507,"Dova, Inc.","15,975"
FY12-AN-007579,"Downtown Art Company, Inc.","10,650"
FY12-RN-009657,Downtown Community Television Center,"26,625"
FY12-AN-006421,"Downtown Music Productions, Inc.","5,325"
FY12-RN-009587,"Drama League of New York, Inc.","15,975"
FY12-MY-006621,"Drawing Center, Inc.","26,625"
FY12-RN-009747,"Dream Yard Drama Project, Inc.","69,225"
FY12-AN-009441,"Dusan Tynek Dance Theatre Foundation, Inc.","5,325"
FY12-AN-006385,"Dynamic Forms, Inc.","37,275"
FY12-RN-009647,"E. Monte Motion, Inc.","15,975"
FY12-RN-009609,"Early Music Foundation, Inc.","15,975"
FY12-RN-009577,"Early Stages Program, Inc.","15,975"
FY12-AN-008237,"EarSay, Inc.","14,150"
FY12-AN-008596,"East River Ensemble, Inc.","5,325"
FY12-AN-006482,"East Winds, Inc.","5,325"
FY12-RN-009643,"Education Through Music, Inc.","74,750"
FY12-MY-006410,"Educational Alliance, Inc.","15,975"
FY12-AN-007499,"Educational Theater of New York, Inc.","7,990"
FY12-AN-006564,"Either/Or, Inc.","5,325"
FY12-MY-007837,"EL PUENTE DE WILLIAMSBURG, INC.","53,250"
FY12-MY-007019,El Taller Latino Americano,"20,975"
FY12-MY-008948,Elaine Kaufman Cultural Center/Lucy Moses School for Music and Dance,"213,000"
FY12-RN-009662,Elders Share the Arts,"15,975"
FY12-RN-009778,"Eldridge Street Project, Inc.","37,275"
FY12-RN-009763,Electronic Arts Intermix,"26,625"
FY12-RN-009865,"Electronic Music Foundation, Inc.","15,975"
FY12-RN-009685,"Elevator Repair Service Theater, Inc.","15,975"
FY12-MY-007316,Elizabeth Foundation for the Arts,"15,975"
FY12-AN-008747,Emerging Artists Theatre Company,"11,990"
FY12-AN-009319,"En Foco, Inc.","37,275"
FY12-MY-007868,"Enact, Inc.","3,500"
FY12-AN-009001,Ensemble for the Romantic Century,"5,325"
FY12-RN-009642,"Ensemble Studio Theatre, Inc.","37,275"
FY12-RN-009744,"Epic Theatre Center, Inc.","15,975"
FY12-MY-008140,Esopus Foundation Ltd.,"15,975"
FY12-RN-009771,Ethel's Foundation for the Arts,"15,975"
FY12-MY-007756,"Eugenio Maria de Hostos Community College Foundation, Inc.","133,125"
FY12-AN-008489,"Eva Dean Dance Company, Inc.","5,325"
FY12-RN-009734,"Evidence, Inc.","53,250"
FY12-MY-006420,"Exit Art/The First World, Inc.","56,750"
FY12-AN-006716,"Exploring the Metropolis, Inc.","7,990"
FY12-RN-009695,"Eyebeam Atelier, Inc.","37,275"
FY12-AN-008578,Falconworks Artists Group,"21,300"
FY12-RN-009718,"Federation Employment & Guidance Service, Inc.","15,975"
FY12-RN-009754,"Feminist Press, Inc.","15,975"
FY12-AN-009376,"Figment Project, Inc.","5,325"
FY12-RN-009585,Fiji Theatre Company,"26,625"
FY12-MY-007841,"Film Forum, Inc.","58,250"
FY12-AN-007918,"Five Boroughs Music Festival, Inc.","5,325"
FY12-AN-008119,"Five Myles, Inc.","7,990"
FY12-RN-009664,"Flea Theater, Inc.","37,275"
FY12-AN-008257,Fleadh Foundation,"40,325"
FY12-AN-007956,Flux Factory,"31,950"
FY12-RN-009746,Folksbiene Yiddish Theatre,"31,975"
FY12-AN-006620,"Fort Greene Park Conservancy, Inc.","5,325"
FY12-MY-006439,"Foundation for Contemporary Arts, Inc.","29,625"
FY12-RN-009809,"Foundry Theatre, Inc.","26,625"
FY12-RN-009623,"Fountain House, Inc.","15,975"
FY12-MY-007666,"Fourth Arts Block, Inc.","18,975"
FY12-MY-007871,"Fractured Atlas Productions, Inc.","92,250"
FY12-RN-009802,"Franklin Furnace Archive, Inc.","15,975"
FY12-RN-009785,"Free Arts for Abused Children of New York City, Inc.","26,625"
FY12-AN-007077,Freestyle Repertory Theatre,"5,325"
FY12-RN-009681,French Institute-Alliance Francaise,"15,975"
FY12-AN-008199,"Fresh Art, Inc.","5,325"
FY12-RN-009838,"Friends of Alice Austen House, Inc.","42,275"
FY12-AN-006858,Friends of Historic New Utrecht,"5,325"
FY12-AN-008377,"Friends of The Choral Society, Inc.","5,325"
FY12-RN-009856,Friends of the High Line,"26,625"
FY12-RN-009790,Friends of the New York Transit Museum,"110,000"
FY12-AN-006562,Friends of the Upper East Side Historic Districts,"15,325"
FY12-AN-007502,Friends of the Woodlawn Cemetery,"7,990"
FY12-AN-007476,FRIGID New York Inc.,"5,325"
FY12-AN-008300,"Frog & Peach Theatre Company, Inc.","11,325"
FY12-AN-006616,Garibaldi-Meucci Museum,"15,325"
FY12-AN-006936,General Society of Mechanics and Tradesmen of the City,"7,990"
FY12-MY-007045,"Ghetto Film School, Inc.","62,275"
FY12-AN-008678,"Gilgamesh Theatre Group, Inc.","5,325"
FY12-RN-009880,Gina Gibney Dance Inc.,"20,975"
FY12-MY-006438,Girls Write Now Inc.,"26,625"
FY12-RN-009879,"Global Action Project, Inc.","15,975"
FY12-RN-009713,Godwin Ternbach Museum,"15,975"
FY12-AN-009280,"Goliard Concerts, Inc.","3,500"
FY12-MY-009476,"Gotham Arts Exchange, Inc.","15,975"
FY12-MY-007596,"Gotham Chamber Opera, Inc.","26,625"
FY12-RN-009799,"Gotham Early Music Scene, Inc.","15,975"
FY12-AN-008497,Grace & Spiritus Chorale of Brooklyn,"5,325"
FY12-AN-008937,"Great Small Works, Inc.","5,325"
FY12-AN-009216,Greater Astoria Historical Society,"22,140"
FY12-AN-008017,Greater Ridgewood Historical Society,"28,315"
FY12-MY-007196,"Greenwich House, Inc.","15,975"
FY12-RN-009811,Greenwich Village Society for Historic Preservation,"24,475"
FY12-MY-008156,"Groove With Me, Inc.","15,975"
FY12-RN-009872,Groundswell Community Mural Project,"20,975"
FY12-RN-009882,"Group 1 Acting Company, Inc.","15,975"
FY12-RN-009690,"H.T. Dance Company, Inc.","26,625"
FY12-RN-009582,"Haleakala, Inc.","138,125"
FY12-AN-009079,"Hands On Sign Interpreted Performances, Inc.","7,990"
FY12-AN-009419,Harlem Artists' Development League Especially For You,"50,000"
FY12-MY-006640,Harlem Arts Alliance,"35,125"
FY12-MY-008458,"Harlem School of the Arts, Inc.","116,500"
FY12-AN-008298,"Harlem Textile Works, Inc.","5,325"
FY12-AN-009278,"Harmonia Opera Company, Inc.","5,325"
FY12-AN-007697,"Harmonie Ensemble, Inc.","5,325"
FY12-AN-006579,"Harmony Program, Inc.","21,300"
FY12-AN-007104,Harpsichord Unlimited,"5,325"
FY12-RN-009894,"Harvestworks, Inc.","37,275"
FY12-MY-007176,Heart of Brooklyn Cultural Institutions,"15,975"
FY12-RN-009694,Hebrew Home for the Aged at Riverdale,"15,975"
FY12-RN-009810,Henry Street Settlement,"111,500"
FY12-MY-008822,Hester Street Collaborative,"15,975"
FY12-AN-009179,"High Tide Dance, Inc.","7,990"
FY12-RN-009716,Highbridge Voices Corporation,"15,975"
FY12-AN-007040,Hispanic Organization of Latin Actors,"5,325"
FY12-MY-006457,"Historic Districts Council, Inc.","44,975"
FY12-RN-009684,"Home for Contemporary Theatre & Art, Ltd.","85,200"
FY12-MY-008399,Horticultural Society of New York,"26,625"
FY12-MY-006623,"Hospital Audiences, Inc.","220,000"
FY12-AN-008938,"Hotel Savant Theatre Company, Inc.","5,325"
FY12-MY-008859,"House Foundation for the Arts, Inc.","15,975"
FY12-AN-007536,"House of the Roses Volunteer Dance Company, Inc.","7,990"
FY12-AN-008043,Houses on the Moon Theater Company,"10,650"
FY12-MY-006466,"Housing Works Used Book Caf, Inc.","15,975"
FY12-AN-008940,"Hudson Guild, Inc.","5,325"
FY12-AN-007156,I Cantori di New York,"7,990"
FY12-MY-006442,"Ice Theatre of New York, Inc.","15,975"
FY12-AN-006509,ID Studio Theater Performance and Research Center,"7,990"
FY12-RN-009777,"Ifetayo Cultural Arts Facility, Inc.","55,750"
FY12-MY-007696,"Il Piccolo Teatro Dell'Opera, Inc.","15,975"
FY12-MY-008485,Immaterial Incorporated,"15,975"
FY12-AN-007672,Immediate Medium,"5,325"
FY12-MY-007897,"Independent Feature Project, Inc.","15,975"
FY12-RN-009897,"Indo-American Arts Council, Inc.","15,975"
FY12-AN-009457,"Infinity Dance Theater Company, Ltd.","7,990"
FY12-AN-008317,"Instituto Arte Teatral Internacional, Inc.","13,315"
FY12-RN-009901,"Inta, Inc.","15,975"
FY12-AN-006940,"Interactive Drama for Education and Awareness in Schools, Inc.","13,315"
FY12-AN-009219,International African Arts Festival,"10,990"
FY12-RN-009849,"International Arts Relations, Inc.","96,625"
FY12-RN-009731,International Center of Photography,"88,700"
FY12-RN-009851,"International Contemporary Ensemble Foundation, Inc.","15,975"
FY12-MY-008488,"International Film Seminars, Inc.","10,000"
FY12-RN-009858,International Print Center New York,"15,975"
FY12-RN-009750,International Studio and Curatorial Program,"25,975"
FY12-RN-009683,"InterSchool Orchestras of New York, Inc.","53,250"
FY12-MY-006567,"Intrepid Museum Foundation, Inc.","133,125"
FY12-MY-007680,"Irish Repertory Theatre Company, Inc.","19,475"
FY12-MY-007102,"Irondale Productions, Inc.","45,275"
FY12-AN-008282,"IRT Theater, Inc.","5,325"
FY12-RN-009883,Isadora Duncan Dance Foundation,"15,975"
FY12-RN-009680,Isamu Noguchi Foundation and Garden Museum,"216,500"
FY12-AN-007301,"Issue Project Room, Inc.","28,800"
FY12-AN-006856,"Jacques Marchais Center of Tibetan Arts, Inc.","53,100"
FY12-MY-006437,"Japan Society, Inc.","53,250"
FY12-AN-008824,"Japanese Folk Dance Institute of New York, Inc.","5,325"
FY12-RN-009679,"Jazz at Lincoln Center, Inc.","167,750"
FY12-MY-009501,Jazz Gallery,"53,250"
FY12-MY-006479,"Jazzmobile, Inc.","94,700"
FY12-AN-008719,JazzReach Performing Arts and Education Association,"5,325"
FY12-MY-007303,"Jewish Community Center in Manhattan, Inc.","26,625"
FY12-MY-006545,Jewish Museum,"133,125"
FY12-AN-008203,"Jody Sperling Time Lapse Dance, Inc.","5,325"
FY12-MY-006639,"Jose Limon Dance Foundation, Inc.","37,275"
FY12-RN-009590,"Joyce Theater Foundation, Inc.","174,750"
FY12-RN-009784,Judd Foundation,"15,975"
FY12-AN-008357,"Juneteenth Festival, Inc.","13,650"
FY12-RN-009697,"Jupiter Symphony of New York, Inc.","15,975"
FY12-AN-006961,Kalavant Center for Music and Dance,"5,325"
FY12-AN-008142,"Kathak Ensemble & Friends Caravan, Inc.","5,325"
FY12-AN-007020,KDNY Incorporated,"5,325"
FY12-RN-009682,"Keen Theater Company, Inc.","15,975"
FY12-RN-009636,"Keigwin and Company, Inc.","15,975"
FY12-MY-007959,"Kenkeleba House, New York","26,625"
FY12-AN-007358,"Kentler International Drawing Space, Inc.","13,315"
FY12-AN-007598,"Keys to the Future Festival, Inc.","5,325"
FY12-AN-006958,Kinding Sindaw Melayu Heritage,"5,325"
FY12-RN-009671,"King Manor Association of Long Island, Inc.","83,750"
FY12-RN-009720,Kings Majestic Corporation,"72,225"
FY12-MY-007663,Kingsborough Community College Auxiliary Enterprises Corp.,"26,625"
FY12-AN-009077,Knickerbocker Chamber Orchestra,"4,000"
FY12-AN-008682,KowTeff School of African Dance,"5,325"
FY12-AN-009237,"Kundiman, Inc.","5,325"
FY12-AN-008041,"Kunqu Society, Inc.","5,325"
FY12-MY-006459,Kupferberg Center Performances,"72,725"
FY12-RN-009852,"La Mama Experimental Theater Club, Inc.","133,125"
FY12-AN-006736,"La Troupe Makandal, Inc.","5,325"
FY12-RN-009781,"LAByrinth, Inc.","42,275"
FY12-MY-007477,LaGuardia Performing Arts Center,"26,625"
FY12-AN-007318,"LaMicro Theater, Inc.","5,325"
FY12-RN-009762,"Landmark West, Inc.","15,975"
FY12-RN-009776,Lark Theatre Company,"43,439"
FY12-AN-007670,"Latin American Cultural Center of Queens, Inc.","5,325"
