ID,Business Name,Trade Name,Sidewalk Cafe Type,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number,Lic Area Sq Ft
24,"135 WEST B FOOD & DRINK, LLC",TINY'S AND THE BAR UPSTAIRS,Unenclosed Sidewalk Cafe,1421014,"135 W BROADWAY, NEW YORK, NY 10013",135,W BROADWAY,NEW YORK,NY,10013,Manhattan,,(212) 300-7942,112
25,136 WEST BROADWAY INC.,EDWARD'S,Unenclosed Sidewalk Cafe,945762,"136 WEST BROADWAY, NEW YORK, NY 10013",136,WEST BROADWAY,NEW YORK,NY,10013,Manhattan,,(212) 233-6436,96
26,13TH STREET ENTERTAINMENT LLC,BRASSERIE BEAUMARCHAIS,Unenclosed Sidewalk Cafe,1324561,"409 WEST   13 STREET, NEW YORK, NY 10014",409,WEST   13 STREET,NEW YORK,NY,10014,Manhattan,,(212) 255-1933,204
27,1431 FIRST AVENUE CORP,NUMERO 28,Unenclosed Sidewalk Cafe,1420358,"1431 1ST AVE, NEW YORK, NY 10021",1431,   1ST AVE,NEW YORK,NY,10021,Manhattan,,(917) 865-9278,180
28,"1431 RESTAURANT, INC.",ZUCCHERO E POMODON,Unenclosed Sidewalk Cafe,1232028,"1435 SECOND AVENUE, NEW YORK, NY 10021",1435,SECOND AVENUE,NEW YORK,NY,10021,Manhattan,,(212) 585-2100,114
29,1465 3RD AVE. REST. CORP.,GAEL PUB,Unenclosed Sidewalk Cafe,1223078,"1465 3RD AVE, NEW YORK, NY 10028",1465,3RD AVE,NEW YORK,NY,10028,Manhattan,,(914) 632-6036,87
30,"1475 SECOND AVENUE BAGEL, LLC",,Unenclosed Sidewalk Cafe,1381059,"1475 2 AVENUE, NEW YORK, NY 10075",1475,   2 AVENUE,NEW YORK,NY,10075,Manhattan,,(212) 717-4668,164
31,1483 FIRST AVENUE RESTAURANT INC.,MARUZZELLA,Unenclosed Sidewalk Cafe,1002419,"1483 1ST AVE, NEW YORK, NY 10075",1483,1ST AVE,NEW YORK,NY,10075,Manhattan,,(212) 988-8877,84
32,149 BROADWAY RESTAURANT LLC,DRESSLER,Unenclosed Sidewalk Cafe,1282383,"149 BROADWAY, BROOKLYN, NY 11211",149,BROADWAY,BROOKLYN,NY,11211,Brooklyn,,(718) 384-6343,135
33,149 SECOND AVE. REST. INC,THE 13TH STEP,Unenclosed Sidewalk Cafe,1355808,"149 2ND AVE, NEW YORK, NY 10003",149, 2ND AVE,NEW YORK,NY,10003,Manhattan,,(212) 228-8020,215
34,1490 REST. INC.,WATSON'S,Unenclosed Sidewalk Cafe,952606,"1490 SECOND AVENUE, NEW YORK, NY 10075",1490,SECOND AVENUE,NEW YORK,NY,10075,Manhattan,,(212) 676-4817,113
35,151 BLEECKER LLC,RED LION,Unenclosed Sidewalk Cafe,1348223,"151 BLEECKER STREET, NEW YORK, NY 10012",151,BLEECKER STREET,NEW YORK,NY,10012,Manhattan,,(212) 260-9797,242
36,151 BLEECKER LLC,THE RED LION,Enclosed Sidewalk Cafe,1348216,"151 BLEECKER ST, NEW YORK, NY 10012",151,BLEECKER ST,NEW YORK,NY,10012,Manhattan,,(212) 260-9797,172
37,151 MULBERRY ST CORP,IL PALAZZO,Unenclosed Sidewalk Cafe,1343752,"151 MULBERRY ST, NEW YORK, NY 10013",151,MULBERRY ST,NEW YORK,NY,10013,Manhattan,,(212) 343-7000,82
38,151 SECOND AVE. REST. INC.,RYAN'S IRISH PUB,Unenclosed Sidewalk Cafe,895599,"151 2 AVENUE, NEW YORK, NY 10003",151,   2 AVENUE,NEW YORK,NY,10003,Manhattan,,(212) 979-9511,260
39,156 SEVENTH AVE GROUP LLC,ELMO,Unenclosed Sidewalk Cafe,1127935,"156 7TH AVE, NEW YORK, NY 10011",156,7TH AVE,NEW YORK,NY,10011,Manhattan,,(212) 337-8000,270
40,156 TENTH AVENUE RESTAURANT LLC,10TH AVENUE COOKSHOP,Unenclosed Sidewalk Cafe,1224204,"156 10TH AVE, NEW YORK, NY 10011",156,10TH AVE,NEW YORK,NY,10011,Manhattan,AKA 460 WEST 20TH STREET,(212) 924-4440,506
41,157 BRICK OVEN LLC,,Unenclosed Sidewalk Cafe,1382523,"157 2 AVENUE, NEW YORK, NY 10003",157,   2 AVENUE,NEW YORK,NY,10003,Manhattan,,(212) 375-9555,173
42,"160 BISTRO, INC.",LE SINGE VERT,Unenclosed Sidewalk Cafe,1104424,"160 7 AVENUE, NY, NY 10011",160,   7 AVENUE,NY,NY,10011,Manhattan,,(212) 366-4100,249
43,1616 SECOND AVENUE RESTAURANT INC,DORRIAN'S RED HAND  E/S/C #217,Enclosed Sidewalk Cafe,571720,"1616 2 AVENUE, NEW YORK, NY 10028",1616,   2 AVENUE,NEW YORK,NY,10028,Manhattan,,(212) 772-6660,435
44,164 MULBERRY ST. CORP,DA NICO RESTAURANT,Unenclosed Sidewalk Cafe,949447,"164 MULBERRY STREET, NEW YORK, NY 10013",164,MULBERRY STREET,NEW YORK,NY,10013,Manhattan,,(212) 343-1212,113
45,1650 BROADWAY ASSOCIATES INC.,ELLEN'S STARBUST DINER,Unenclosed Sidewalk Cafe,1257707,"1650 BROADWAY, NEW YORK, NY 10019",1650,BROADWAY,NEW YORK,NY,10019,Manhattan,,(212) 582-0161,110
46,"168 ORCHARD ST PARTNERS, INC.",HAIR OF THE DOG,Unenclosed Sidewalk Cafe,1414794,"168 ORCHARD STREET, NEW YORK, NY 10002",168,ORCHARD STREET,NEW YORK,NY,10002,Manhattan,,(212) 477-7771,366
47,16TH STREET BBQ LLC,BROTHER JIMMYS BBQ,Unenclosed Sidewalk Cafe,1349442,"114-116 E 16TH ST, NEW YORK, NY 10003",114-116,E 16TH ST,NEW YORK,NY,10003,Manhattan,,(212) 244-3502,122
48,170 BEDFORD RESTAURANT LLC,THE MEATBALL SHOP,Unenclosed Sidewalk Cafe,1385278,"170 BEDFORD AVENUE, BROOKLYN, NY 11211",170,BEDFORD AVENUE,BROOKLYN,NY,11211,Brooklyn,,(917) 640-8008,52
49,1702 RATHBONES INC.,RATHBONES,Unenclosed Sidewalk Cafe,1310255,"1702 2 AVENUE, NEW YORK, NY 10128",1702,   2 AVENUE,NEW YORK,NY,10128,Manhattan,,(212) 208-7272,224
50,1710 RESTAURANT CORP.,CARINO RISTORANTE & CAFE,Unenclosed Sidewalk Cafe,1389825,"1710 2 AVENUE, NEW YORK, NY 10128",1710,   2 AVENUE,NEW YORK,NY,10128,Manhattan,,(917) 864-6683,70
51,"172 BLEEKER ST. REST., INC",CAFE ESPANOL,Unenclosed Sidewalk Cafe,920629,"172 BLEECKER STREET, NEW YORK, NY 10012",172,BLEECKER STREET,NEW YORK,NY,10012,Manhattan,,(212) 505-0657,84
52,"172 BLEEKER ST. REST., INC",CAFE ESPANOL,Unenclosed Sidewalk Cafe,1080119,"190 SULLIVAN STREET, NEW YORK, NY 10012",190,SULLIVAN STREET,NEW YORK,NY,10012,Manhattan,,(212) 505-0657,89
53,174 BEDFORD AVENUE BAR LLC,CHARLESTON,Unenclosed Sidewalk Cafe,1259219,"174 BEDFORD AVENUE, BROOKLYN, NY 11211",174,BEDFORD AVENUE,BROOKLYN,NY,11211,Brooklyn,,(718) 599-9199,177
54,174 GRAND STREET CORP.,ONIEAL'S,Unenclosed Sidewalk Cafe,1218544,"174 GRAND ST, NEW YORK, NY 10013",174,GRAND ST,NEW YORK,NY,10013,Manhattan,,(212) 941-9119,126
55,177 CHRYSTIE INC,ESPERANTO,Unenclosed Sidewalk Cafe,1034831,"145 AVENUE C, NEW YORK, NY 10009",145,AVENUE C,NEW YORK,NY,10009,Manhattan,,(212) 505-6559,501
56,179 THIRD AVENUE REST. INC,MUMBLES,Unenclosed Sidewalk Cafe,1299328,"179 3RD AVE, NEW YORK, NY 10003",179,3RD AVE,NEW YORK,NY,10003,Manhattan,200 EAST 17 STREET,(212) 477-6066,363
57,18 BEDFORD AVE LLC,FIVE LEAVES,Unenclosed Sidewalk Cafe,1309076,"18 BEDFORD AVENUE, BROOKLYN, NY 11222",18,BEDFORD AVENUE,BROOKLYN,NY,11222,Brooklyn,,(646) 510-6467,319
58,"183 CONDECHI ASSOCIATES, LLC",CAFE CONDESA,Unenclosed Sidewalk Cafe,1390265,"183 W 10TH ST, NEW YORK, NY 10014",183,W 10TH ST,NEW YORK,NY,10014,Manhattan,,(212) 352-0050,75
59,184 3RD AVENUE RESTAURANT CORP.,GRAMERCY CAFE,Enclosed Sidewalk Cafe,928548,"184 3RD AVE, NEW YORK, NY 10003",184,  3RD AVE,NEW YORK,NY,10003,Manhattan,,(718) 567-2990,418
60,187 RESTAURANT CORP,REFRIED BEANS MEXICAN GRILL,Unenclosed Sidewalk Cafe,1387916,"591 FORT WASHINGTON AVE, NEW YORK, NY 10033",591,FORT WASHINGTON AVE,NEW YORK,NY,10033,Manhattan,,(212) 568-2299,181
61,188 AVE A TAKE OUT FOOD CORP.,,Unenclosed Sidewalk Cafe,1343042,"188 AVE A, NEW YORK, NY 10009",188,AVE A,NEW YORK,NY,10009,Manhattan,,(917) 690-4720,286
62,191 GRAND RESTAURANT CORP.,NOVELLA,Unenclosed Sidewalk Cafe,1213603,"191 GRAND ST, NEW YORK, NY 10013",191,GRAND ST,NEW YORK,NY,10013,Manhattan,,(212) 343-1212,371
63,200 EAST 81ST RESTAURANT CORP.,BEYOGLU,Unenclosed Sidewalk Cafe,890521,"1431 THIRD AVENUE, NEW YORK, NY 10028",1431,THIRD AVENUE,NEW YORK,NY,10028,Manhattan,A/K/A 200 EAST 81 STREET,(212) 650-0850,253
64,2005 MAMBO SUSHI CORP,,Unenclosed Sidewalk Cafe,1309505,"2005 EMMONS AVENUE, BROOKLYN, NY 11235",2005,EMMONS AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 646-3100,199
65,201 REST. 95TH ST. CORP,BUCEO 95,Unenclosed Sidewalk Cafe,1282774,"201 W 95TH ST, NEW YORK, NY 10025",201,W 95TH ST,NEW YORK,NY,10025,Manhattan,,(646) 249-6822,146
66,201 WEST 103 CORP,BUCA,Unenclosed Sidewalk Cafe,1380748,"203 W 103RD ST, NEW YORK, NY 10025",203,W 103RD ST,NEW YORK,NY,10025,Manhattan,,(917) 225-3271,90
67,205 EAST 75TH STREET LLC,FULTON,Unenclosed Sidewalk Cafe,1227438,"205 E 75TH ST, NEW YORK, NY 10021",205,E 75TH ST,NEW YORK,NY,10021,Manhattan,,(212) 227-1700,310
68,206 7TH AVE CORP,SALSA Y SALSA MEXICAN KITCHEN,Unenclosed Sidewalk Cafe,1135504,"206 7 AVENUE, NEW YORK, NY 10011",206,   7 AVENUE,NEW YORK,NY,10011,Manhattan,,(212) 929-2678,91
69,207 WEST RESTAURANT CORP,YUMMY THAI,Unenclosed Sidewalk Cafe,1418705,"4959 BROADWAY, NEW YORK, NY 10034",4959,BROADWAY,NEW YORK,NY,10034,Manhattan,,(917) 529-0811,200
70,210 SMITH STREET CORP.,CLOVER CLUB,Unenclosed Sidewalk Cafe,1357820,"210 SMITH STREET, BROOKLYN, NY 11201",210,SMITH STREET,BROOKLYN,NY,11201,Brooklyn,,(718) 855-7939,57
71,211 AVE A RESTAURANT INC.,SHOOLBRED'S,Unenclosed Sidewalk Cafe,1278271,"197 2 AVENUE, NEW YORK, NY 10003",197,   2 AVENUE,NEW YORK,NY,10003,Manhattan,,(917) 969-3440,136
72,"212 LAFAYETTE ASSOCIATES,LLC",CAFE SELECT,Unenclosed Sidewalk Cafe,1349707,"212 LAFAYETTE STREET, NEW YORK, NY 10012",212,LAFAYETTE STREET,NEW YORK,NY,10012,Manhattan,,(212) 925-9322,84
73,22 EAST 54TH STREET RESTAURANT CORP.,PAPILLON,Unenclosed Sidewalk Cafe,1248652,"22 EAST   54 STREET, NEW YORK, NY 10022",22,EAST   54 STREET,NEW YORK,NY,10022,Manhattan,,(212) 754-9006,140
74,"225 PAS 18TH, LLC",KIBO,Enclosed Sidewalk Cafe,1408187,"225 PARK AVENUE SOUTH, NEW YORK, NY 10003",225,PARK AVENUE SOUTH,NEW YORK,NY,10003,Manhattan,AKA 111 EAST 18TH STREET,(212) 824-2770,370
75,237 BEDFORD AVENUE RESTAURANT CORP.,LA NONNA PIZZERIA/TRATTORIA,Unenclosed Sidewalk Cafe,1283821,"237 BEDFORD AVE, BROOKLYN, NY 11211",237,BEDFORD AVE,BROOKLYN,NY,11211,Brooklyn,,(718) 302-5353,63
76,23RD & 9TH RESTAURANT CORP,,Enclosed Sidewalk Cafe,1141700,"368 WEST   23 STREET, NEW YORK, NY 10011",368,WEST   23 STREET,NEW YORK,NY,10011,Manhattan,,(212) 691-5400,692
77,241 BOWERY CORP,THE BOWERY DINER,Unenclosed Sidewalk Cafe,1429312,"241 BOWERY, NEW YORK, NY 10002",241,BOWERY,NEW YORK,NY,10002,Manhattan,,(212) 388-052,112
78,241 W B WAY CAFE INC,CERCLE ROUGE,Unenclosed Sidewalk Cafe,1194473,"241 WEST BROADWAY, NEW YORK, NY 10013",241,WEST BROADWAY,NEW YORK,NY,10013,Manhattan,,(212) 226-6156,209
79,243 DEKALB AVE. REST. CORP.,,Unenclosed Sidewalk Cafe,1247610,"243 DEKALB AVENUE, BROOKLYN, NY 11205",243,DEKALB AVENUE,BROOKLYN,NY,11205,Brooklyn,,(718) 622-5300,112
80,247 CAFE INC.,BROOKLYN PUBLIC HOUSE,Unenclosed Sidewalk Cafe,1308287,"247 DEKALB AVENUE, BROOKLYN, NY 11205",247,DEKALB AVENUE,BROOKLYN,NY,11205,Brooklyn,,(631) 424-8480,99
81,247 DELI LLC,DELICATESSEN,Unenclosed Sidewalk Cafe,1248648,"265 LAFAYETTE STREET, NEW YORK, NY 10012",265,LAFAYETTE STREET,NEW YORK,NY,10012,Manhattan,A/K/A 54 PRINCE STREET,(212) 226-0211,380
82,"26TH STREET HOSPITALITY GROUP, LLC",BREAD & TULIPS,Unenclosed Sidewalk Cafe,1419312,"365 PARK AVE S, NEW YORK, NY 10016",365,PARK AVE S,NEW YORK,NY,10016,Manhattan,,(212) 532-9100,201
83,27-39 EAST 30 REST. CORP,THE CROOKED KNIFE,Unenclosed Sidewalk Cafe,1249286,"27-29 EAST   30 STREET, NEW YORK, NY 10016",27-29,EAST   30 STREET,NEW YORK,NY,10016,Manhattan,,(646) 359-7372,176
84,276 COLUMBUS INC.,ARTE AROUND THE CORNER,Unenclosed Sidewalk Cafe,1260284,"270-276 COLUMBUS AVE, NEW YORK, NY 10023",270-276,COLUMBUS AVE,NEW YORK,NY,10023,Manhattan,,(212) 875-2195,190
85,2799 BROADWAY GROCERY LLC,CASCABEL TAQUERIA,Unenclosed Sidewalk Cafe,1394145,"2799 BROADWAY, NEW YORK, NY 10025",2799,BROADWAY,NEW YORK,NY,10025,Manhattan,,(212) 665-1500,392
86,283 SMITH STREET FOOD CORP,ZAYTOONS,Unenclosed Sidewalk Cafe,1036208,"283 SMITH ST, BROOKLYN, NY 11231",283,SMITH ST,BROOKLYN,NY,11231,Brooklyn,,(718) 875-1880,212
87,2850 BROADWAY REST ASSOCIATES LLC,,Unenclosed Sidewalk Cafe,1348335,"2850 BROADWAY, NEW YORK, NY 10025",2850,BROADWAY,NEW YORK,NY,10025,Manhattan,,(917) 882-6525,168
88,2888 BROADWAY LLC,IL EIBREO,Unenclosed Sidewalk Cafe,1280168,"2888 BROADWAY, NEW YORK, NY 10025",2888,BROADWAY,NEW YORK,NY,10025,Manhattan,,(212) 864-1143,212
89,2896 BROADWAY FOOD SERVICE INC.,COMMUNITY FOOD AND JUICE,Unenclosed Sidewalk Cafe,1314421,"2893 BROADWAY, NEW YORK, NY 10025",2893,BROADWAY,NEW YORK,NY,10025,Manhattan,,(212) 665-2800,500
90,2898 BAGEL & BAKERY CORP,NUSBAUM & WU BAKERY,Unenclosed Sidewalk Cafe,991109,"2897 BROADWAY, NY, NY 10025",2897,BROADWAY,NY,NY,10025,Manhattan,,(212) 280-5344,381
91,3 IN 1 KITCHEN CORP.,,Enclosed Sidewalk Cafe,1361524,"4902 FORT HAMILTON PKWY, BROOKLYN, NY 11219",4902,FORT HAMILTON PKWY,BROOKLYN,NY,11219,Brooklyn,,(718) 437-7744,191
92,3 VASILOPOULOS INC,MEGA BITES DINER,Unenclosed Sidewalk Cafe,1381800,"245 DEKALB AVENUE, BROOKLYN, NY 11205",245,DEKALB AVENUE,BROOKLYN,NY,11205,Brooklyn,,(718) 398-8112,101
93,30 E 30 ZANA INC,,Unenclosed Sidewalk Cafe,1161546,"30 EAST   30 STREET, NEW YORK, NY 10016",30,EAST   30 STREET,NEW YORK,NY,10016,Manhattan,,(212) 481-3717,127
94,"300 WEST 46TH STREET, CORP",BRASSERIE ATHENEE,Unenclosed Sidewalk Cafe,1346488,"300 W 46TH ST, NEW YORK, NY 10036",300,W 46TH ST,NEW YORK,NY,10036,Manhattan,,(212) 399-1100,105
95,301 E. 47TH ST. REST. CORP.,NINO'S POSITANO,Unenclosed Sidewalk Cafe,1242405,"888-890 SECOND AVENUE, NEW YORK, NY 10017",888-890,SECOND AVENUE,NEW YORK,NY,10017,Manhattan,,(212) 355-5540,373
96,301 EAST 80TH GROCERY LLC,,Unenclosed Sidewalk Cafe,1380690,"1538 2 AVENUE, NEW YORK, NY 10028",1538,   2 AVENUE,NEW YORK,NY,10028,Manhattan,,(212) 717-8226,340
97,307 THIRD AVENUE EAST VENTURE LLC,TAPROOM 307,Unenclosed Sidewalk Cafe,1417471,"307 3RD AVE, NEW YORK, NY 10010",307, 3RD AVE,NEW YORK,NY,10010,Manhattan,,(212) 725-4766,97
98,31 GREAT JONES RESTAURANT CORP.,FIVE POINTS,Unenclosed Sidewalk Cafe,1034252,"31 GREAT JONES ST, NEW YORK, NY 10012",31,GREAT JONES ST,NEW YORK,NY,10012,Manhattan,,(212) 253-5700,225
99,316 BOWERY LLC,,Unenclosed Sidewalk Cafe,1281748,"316 BOWERY, NEW YORK, NY 10012",316,BOWERY,NEW YORK,NY,10012,Manhattan,,(212) 343-7017,400
100,317 AMSTERDAM CORP,TOLANI,Unenclosed Sidewalk Cafe,1165276,"410 AMSTERDAM AVE, NEW YORK, NY 10024",410,AMSTERDAM AVE,NEW YORK,NY,10024,Manhattan,,(212) 873-6252,178
101,31ST STREET PIZZA PALACE INC,PIZZA PALACE,Enclosed Sidewalk Cafe,1103894,"29-29 DITMARS BOULEVARD, ASTORIA, NY 11105",29-29,DITMARS BOULEVARD,ASTORIA,NY,11105,Queens,,(718) 728-1060,341
102,"320 COLUMBUS AVE.,INC",MUGHLAI INDIAN CUISINE,Enclosed Sidewalk Cafe,738544,"320 COLUMBUS AVE, NEW YORK, NY 10023",320,COLUMBUS AVE,NEW YORK,NY,10023,Manhattan,,(212) 724-0419,298
103,325 BOWERY RESTAURANT LLC,PEELS RESTAURANT,Unenclosed Sidewalk Cafe,1385809,"325 BOWERY, NEW YORK, NY 10003",325,BOWERY,NEW YORK,NY,10003,Manhattan,,(212) 932-7566,573
104,325 CHURCH ST. COMPANY LLC,SALUGGI'S,Unenclosed Sidewalk Cafe,1349597,"325 CHURCH ST, NEW YORK, NY 10013",325,CHURCH ST,NEW YORK,NY,10013,Manhattan,,(212) 238-0015,56
105,33-01 BROADWAY CORP.,TIERRAS COLOMBIANAS II,Enclosed Sidewalk Cafe,916981,"33-01 BROADWAY, ASTORIA, NY 11106",33-01,BROADWAY,ASTORIA,NY,11106,Queens,,(718) 956-3012,720
106,3321 ASTORIA INC,BARE BURGER,Unenclosed Sidewalk Cafe,1327665,"33-21 31 AVENUE, ASTORIA, NY 11106",33-21,  31 AVENUE,ASTORIA,NY,11106,Queens,,(212) 566-6002,363
107,333 LAFAYETTE LLC,PINCHE TAQUERIA,Unenclosed Sidewalk Cafe,1347971,"333 LAFAYETTE STREET, NEW YORK, NY 10012",333,LAFAYETTE STREET,NEW YORK,NY,10012,Manhattan,,(212) 343-9977,334
108,343 BROOME STREET RESTAURANT INC,RANDOLPH BEER,Unenclosed Sidewalk Cafe,1426393,"343 BROOME ST, NEW YORK, NY 10013",343,BROOME ST,NEW YORK,NY,10013,Manhattan,,(917) 653-0633,132
109,345 COURT ST CORP,MARCO POLO REST     E/S/C #508,Enclosed Sidewalk Cafe,789922,"345 COURT ST, BROOKLYN, NY 11231",345,COURT ST,BROOKLYN,NY,11231,Brooklyn,,(718) 852-5015,420
110,345 COURT ST. CORP,MARCO POLO RISTORANTE,Unenclosed Sidewalk Cafe,1422815,"345 COURT ST, BROOKLYN, NY 11231",345,COURT ST,BROOKLYN,NY,11231,Brooklyn,,(718) 852-5015,252
111,348 WYTHE MANAGEMENT LLC,ISA,Unenclosed Sidewalk Cafe,1427399,"348 WYTHE AVE, BROOKLYN, NY 11211",348,WYTHE AVE,BROOKLYN,NY,11211,Brooklyn,,(917) 856-3091,347
112,352 EAST 86TH STREET RESTAURANT INC.,GRACIE'S CORNER,Enclosed Sidewalk Cafe,737570,"352 E 86TH ST, NEW YORK, NY 10028",352,E 86TH ST,NEW YORK,NY,10028,Manhattan,,(212) 737-8505,201
113,352 EAST 86TH STREET RESTAURANT INC.,GRACIE'S CORNER,Unenclosed Sidewalk Cafe,1408347,"352 EAST   86 STREET, NEW YORK, NY 10028",352,EAST   86 STREET,NEW YORK,NY,10028,Manhattan,,(212) 737-8505,196
114,352 RESTAURANT CORP,MUSTANG HARRY'S,Unenclosed Sidewalk Cafe,1320701,"352 7 AVENUE, NEW YORK, NY 10001",352,   7 AVENUE,NEW YORK,NY,10001,Manhattan,,(212) 268-8930,200
115,356 WEST 44TH ST. RESTAURANT INC.,THE IRISH ROGUE,Unenclosed Sidewalk Cafe,1171118,"356 WEST   44 STREET, NEW YORK, NY 10036",356,WEST   44 STREET,NEW YORK,NY,10036,Manhattan,,(917) 892-2958,69
116,357 HOSPITALITY INC,,Unenclosed Sidewalk Cafe,1387587,"435 AMSTERDAM AVENUE, NEW YORK, NY 10024",435,AMSTERDAM AVENUE,NEW YORK,NY,10024,Manhattan,,(718) 426-4420,473
