PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
Reading & Writing,Adult Literacy,"Agudath Israel of America Community Services, Inc.",New York,"Agudath Israel of America Community Services, Inc.",212.809.5935,At least 16 Years Old or Older,"225 Broadway
New York, NEW YORK 10007
(40.711843149995104, -74.00822898207605)"
Reading & Writing,Adult Literacy,Edenwald Community Center,Bronx,"Baychester Youth Council, Inc.",718.325.9484,At least 16 Years Old or Older,"1150 229th Street
Bronx, NEW YORK 10466
(40.88620097174483, -73.8451543714921)"
Reading & Writing,Adult Literacy,Brooklyn Chinese-American Association,Brooklyn,Brooklyn Chinese-American Association,718.438.0008,At least 16 Years Old or Older,"5006 8th Avenue
Brooklyn, NEW YORK 11220
(40.64107406995503, -74.00379511862667)"
Reading & Writing,Adult Literacy,Brooklyn Chinese-American Association,Brooklyn,Brooklyn Chinese-American Association,718.438.0008,At least 16 Years Old or Older,"6809 20th Avenue
Brooklyn, NEW YORK 11204
(40.614704025531445, -73.98771039717887)"
Reading & Writing,Adult Literacy,PS 25,Brooklyn,CAMBA,718.940.1737,At least 16 Years Old or Older,"787 Lafayette Avenue
Brooklyn, NEW YORK 11221
(40.691050099236115, -73.94139499953165)"
Reading & Writing,Adult Literacy,CAMBA,Brooklyn,CAMBA,718.940.1737,At least 16 Years Old or Older,"885 Flatbush Avenue
Brooklyn, NEW YORK 11226
(40.65037559450013, -73.95866477725933)"
Reading & Writing,Adult Literacy,Catholic Charities Neighborhood Services,Queens,Catholic Charities Neighborhood Services,718.726.9790,At least 16 Years Old or Older,"23 40 Astoria Boulevard
Queens, NEW YORK 11102
(40.77152402451418, -73.92643545073543)"
Reading & Writing,Adult Literacy,"Chinatown Manpower Project, Inc",New York,"Chinatown Manpower Project, Inc",212.571.1691,At least 16 Years Old or Older,"70 Mulberry Street
New York, NEW YORK 10013
(40.716141909295175, -73.99917280924103)"
Reading & Writing,Adult Literacy,Chinese American Planning Council,New York,Chinese American Planning Council,212.941.0041,At least 16 Years Old or Older,"220 Church Street
New York, NEW YORK 10013
(40.71698884234022, -74.00638009998525)"
Reading & Writing,Adult Literacy,CAB Community Center,Bronx,Citizens Advice Bureau,718.508.3132,At least 16 Years Old or Older,"1130 Grand
Bronx, NEW YORK 10456
(40.8316941436386, -73.9160410469591)"
Reading & Writing,Adult Literacy,Davidson Community Center,Bronx,Citizens Advice Bureau,718.508.3132,At least 16 Years Old or Older,"2038 Davidson Avenue
Bronx, NEW YORK 10453
(40.85374837851653, -73.90853996733885)"
Reading & Writing,Adult Literacy,CAB Immigration Office,Bronx,Citizens Advice Bureau,718.508.3132,At least 16 Years Old or Older,"2070 Grand Concourse
Bronx, NEW YORK 10457
(40.85309059209145, -73.90280877587541)"
Reading & Writing,Adult Literacy,Community Learning Center at IS 171,Brooklyn,Cypress Hills Local Development Corporation,718.647.2800,At least 16 Years Old or Older,"528 Ridgewood Avenue
Brooklyn, NEW YORK 11208
(40.6861530810444, -73.86966791838911)"
Reading & Writing,Adult Literacy,HANAC - c/o JHS 204,Queens,"HANAC, INC.",212.996.3949,At least 16 Years Old or Older,"36 41 28 Street
Queens, NEW YORK 11106
(40.761699790013324, -73.9316632529567)"
Reading & Writing,Adult Literacy,Highbridge Community Life Center,Bronx,Highbridge Community Life Center,718.681.2222,At least 16 Years Old or Older,"1038 Ogden Avenue
Bronx, NEW YORK 10452
(40.83388703055701, -73.92880933918217)"
Reading & Writing,Adult Literacy,Highbridge Community Life Center,Bronx,Highbridge Community Life Center,718.681.2222,At least 16 Years Old or Older,"950 Anderson Avenue
Bronx, NEW YORK 10452
(40.831063771587196, -73.92801825784692)"
Reading & Writing,Adult Literacy,Highbridge Community Life Center,Bronx,Highbridge Community Life Center,718.681.2222,At least 16 Years Old or Older,"979 Ogden Avenue
Bronx, NEW YORK 10452
(40.832241154928134, -73.92981251456219)"
Reading & Writing,Adult Literacy,IS 52,New York,"Inwood Community Services, Inc.",212.942.0043,At least 16 Years Old or Older,"650 Academy Street
New York, NEW YORK 10034
(40.8659943773106, -73.92483806023611)"
Reading & Writing,Adult Literacy,"Inwood Community Services, Inc.",New York,"Inwood Community Services, Inc.",212.942.0043,At least 16 Years Old or Older,"651 Academy Street
New York, NEW YORK 10034
(40.866018005306515, -73.92477264483693)"
Reading & Writing,Adult Literacy,Jacob A. Riis Neighborhood Settlement House at IS 126,Queens,Jacob A Riis Neighborhood Settlement House,718.784.7447,At least 16 Years Old or Older,"31 51 21st Street
Queens, NEW YORK 11106
(40.761699790013324, -73.9316632529567)"
Reading & Writing,Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",718.449.5000,At least 16 Years Old or Older,"1081 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.631085769961786, -73.96632046954319)"
Reading & Writing,Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",718.449.5000,At least 16 Years Old or Older,"2600 Ocean Avenue
Brooklyn, NEW YORK 11229
(40.598089925353555, -73.95126983806618)"
Reading & Writing,Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",718.449.5000,At least 16 Years Old or Older,"283 Prospect Avenue
Brooklyn, NEW YORK 11215
(40.66327557621057, -73.9890518678046)"
Reading & Writing,Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",718.449.5000,At least 16 Years Old or Older,"3049 Brighton 6th Street
Brooklyn, NEW YORK 11235
(40.578431288322754, -73.961743706863)"
Reading & Writing,Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",718.449.5000,At least 16 Years Old or Older,"387 Kingston Avenue
Brooklyn, NEW YORK 11225
(40.665762628592155, -73.94250335499902)"
Reading & Writing,Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",718.449.5000,At least 16 Years Old or Older,"4608 13th Avenue
Brooklyn, NEW YORK 11219
(40.63667021309369, -73.9904592808461)"
Reading & Writing,Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",718.449.5000,At least 16 Years Old or Older,"8635 21st Avenue
Brooklyn, NEW YORK 11214
(40.60253429326686, -73.99678043887103)"
Reading & Writing,Adult Literacy,"Korean Community Services of Metropolitan New York, Inc.",Queens,"Korean Community Services of Metropolitan New York, Inc.",718.353.2253,At least 16 Years Old or Older,"35 56 159th Street
Queens, NEW YORK 11358
(40.760350968822195, -73.79632645819947)"
Reading & Writing,Adult Literacy,Make the Road New York,Queens,Make the Road New York,718.418.7690,At least 16 Years Old or Older,"71 24 Roosevelt Avenue
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
Reading & Writing,Adult Literacy,Make the Road New York,Staten Island,Make the Road New York,718.418.7690,At least 16 Years Old or Older,"479 Port Richmond Avenue
Staten Island, NEW YORK 10302
(40.63093452909704, -74.13901464968129)"
Reading & Writing,Adult Literacy,Make the Road New York,Queens,Make the Road New York,718.418.7690,At least 16 Years Old or Older,"46 09 Skillman Avenue
Queens, NEW YORK 11377
(40.74519376448069, -73.9048471440804)"
Reading & Writing,Adult Literacy,PS 503,Brooklyn,Lutheran Family Health Centers Adult & Family Education,718.630.7150,At least 16 Years Old or Older,"330 59th Street
Brooklyn, NEW YORK 11220
(40.64220161479856, -74.0191758017247)"
Reading & Writing,Adult Literacy,Our Lady of Perpetual Help,Brooklyn,Lutheran Family Health Centers Adult & Family Education,718.630.7150,At least 16 Years Old or Older,"552 59 Street
Brooklyn, NEW YORK 11220
(40.639335782578094, -74.01443140643113)"
Reading & Writing,Adult Literacy,Family Support Center,Brooklyn,Lutheran Family Health Centers Adult & Family Education,718.630.7150,At least 16 Years Old or Older,"6025 6th Avenue
Brooklyn, NEW YORK 11220
(40.637992703156115, -74.01409498889532)"
Reading & Writing,Adult Literacy,"Mercy Center, Inc.",Bronx,"Mercy Center, Inc.",718.993.2789,At least 16 Years Old or Older,"377 145th Street
Bronx, NEW YORK 10454
(40.81385583017525, -73.92035529273)"
Reading & Writing,Adult Literacy,New Heights Neighborhood Center,New York,Northern Manhattan Improvement Corporation,212.822.8300,At least 16 Years Old or Older,"216 Ft Washington Avenue
New York, NEW YORK 10032
(40.842343769666854, -73.94220075868486)"
Reading & Writing,Adult Literacy,Opportunities for a Better Tomorrow,Brooklyn,Opportunities for a Better Tomorrow,718.369.0303,At least 16 Years Old or Older,"25 Thornton Street
Brooklyn, NEW YORK 11206
(40.70091258928835, -73.94390057487814)"
Reading & Writing,Adult Literacy,Queens Community House,Queens,Queens Community House,718.898.7461,At least 16 Years Old or Older,"74 09 37 Avenue
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
Reading & Writing,Adult Literacy,"Ridgewood Bushwick Senior Citizens Council, Inc.",Brooklyn,"Ridgewood Bushwick Senior Citizens Council, Inc.",718.381.9653,At least 16 Years Old or Older,"1474 Gates Avenue
Brooklyn, NEW YORK 11237
(40.69784030864716, -73.91383248246076)"
Reading & Writing,Adult Literacy,SCO Family of Services,Brooklyn,SCO Family of Services,718.455.1166,At least 16 Years Old or Older,"75 Lewis Avenue
Brooklyn, NEW YORK 11206
(40.69500799941421, -73.93742230252869)"
Reading & Writing,Adult Literacy,PS 225,Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",718.891.0264,At least 16 Years Old or Older,"1075 Oceanview Avenue
Brooklyn, NEW YORK 11235
(40.5797910944251, -73.95643350547934)"
Reading & Writing,Adult Literacy,Oceanview Jewish Center,Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",718.891.0264,At least 16 Years Old or Older,"3100 Brighton 4th Street
Brooklyn, NEW YORK 11235
(40.57664578354686, -73.96320963266943)"
Reading & Writing,Adult Literacy,Shorefront YM-YWHA,Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",718.646.1444,At least 16 Years Old or Older,"3300 Coney Island Avenue
Brooklyn, NEW YORK 11235
(40.575793969703795, -73.95950745079742)"
Reading & Writing,Adult Literacy,SoBRO,Bronx,SoBRO,718.292.3113,At least 16 Years Old or Older,"555 Bergen Avenue
Bronx, NEW YORK 10455
(40.81594441525443, -73.91641591148277)"
Reading & Writing,Adult Literacy,SoBRO,New York,SoBRO,718.292.3113,At least 16 Years Old or Older,"361 125th Street
New York, NEW YORK 10027
(40.81100239694575, -73.95314550778141)"
Reading & Writing,Adult Literacy,Beacon Family Center at IS 8,Queens,SQPA-NY Southern Queens Park Association NY,718.276.4630,At least 16 Years Old or Older,"108 35 167th Street
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
Reading & Writing,Adult Literacy,SQPA-NY Roy Wilkins Family Center,Queens,SQPA-NY Southern Queens Park Association NY,718.276.4630,At least 16 Years Old or Older,"177 01 Baisley Boulevard
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
Reading & Writing,Adult Literacy,St Nicholas NPC - Williamsburg Works,Brooklyn,St Nicholas NPC - Williamsburg Works,718.302.2057,At least 16 Years Old or Older,"545 Broadway
Brooklyn, NEW YORK 11206
(40.70493361836181, -73.94926253242915)"
Reading & Writing,Adult Literacy,The Arab American Family Support Center,Brooklyn,The Arab American Family Support Center,718.643.8000,At least 16 Years Old or Older,"150 Court Street
Brooklyn, NEW YORK 11201
(40.688807894259774, -73.99283183663935)"
Reading & Writing,Adult Literacy,The Fortune Society,Queens,The Fortune Society,212.691.7554,At least 16 Years Old or Older,"29 76 Northern Boulevard
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
Reading & Writing,Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,718.508.3881,At least 16 Years Old or Older,"1297 Arthur Kill Road
Staten Island, NEW YORK 10312
(40.565263465623865, -74.18400335105152)"
Reading & Writing,Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,718.508.3881,At least 16 Years Old or Older,"475 Victory Boulevard
Staten Island, NEW YORK 10301
(40.630627751644205, -74.08851956408898)"
Reading & Writing,Adult Literacy,Turning Point Education Center,Brooklyn,"Turning Point (aka Discipleship Outreach Ministries, Inc.)",718.360.8169,At least 16 Years Old or Older,"5013 7th Avenue
Brooklyn, NEW YORK 11220
(40.64235365356344, -74.00596380753073)"
Reading & Writing,Adult Literacy,Educational Center Satellite,Brooklyn,"Turning Point (aka Discipleship Outreach Ministries, Inc.)",718.360.8169,At least 16 Years Old or Older,"5224 Sixth Avenue
Brooklyn, NEW YORK 11221
(40.64252330888736, -74.00947286580126)"
Reading & Writing,Adult Literacy,Washington Houses Community Center,New York,Union Settlement Association,212.828.6016 ,At least 16 Years Old or Older,"1775 3rd Avenue
New York, NEW YORK 10029
(40.7870466388226, -73.94792934815561)"
Reading & Writing,Adult Literacy,Union Settlement Association,New York,Union Settlement Association,212.828.6016 ,At least 16 Years Old or Older,"237 104th Street
New York, NEW YORK 10029
(40.78992458809426, -73.94476913120286)"
Reading & Writing,Adult Literacy,Flatbush YMCA,Brooklyn,YMCA of Greater New York / ELESAIR,212.875.4336,At least 16 Years Old or Older,"1401 Flatbush Avenue
Brooklyn, NEW YORK 11210
(40.636590672567, -73.95160259310835)"
Reading & Writing,Adult Literacy,Harlem YMCA,New York,YMCA of Greater New York / ELESAIR,212.875.4336,At least 16 Years Old or Older,"180 135th Street
New York, NEW YORK 10030
(40.81502333827274, -73.94312298241152)"
Reading & Writing,Adult Literacy,YMCA of Greater New York / ELESAIR,New York,YMCA of Greater New York / ELESAIR,212.630.9688,At least 16 Years Old or Older,"5 63 Street
New York, NEW YORK 10023
(40.770651671717935, -73.98031431612111)"
Reading & Writing,Adult Literacy,YWCA of Queens,Queens,YWCA of Queens,718.353.4553,At least 16 Years Old or Older,"42 07 Parsons Boulevard
Queens, NEW YORK 11355
(40.7512997969481, -73.82147854789662)"
Reading & Writing,Family Literacy,Public School 8 - Luis Belliard Elementary School ,New York,The Children's Aid Society,212.740.8655,A parent 16 Years Old or Older ,"465 167th Street
New York, NEW YORK 10032
(40.8389205164512, -73.93676691090876)"
Reading & Writing,Family Literacy,Public School 173 ,New York,Northern Manhattan Improvement Corporation,212.822.8300,A parent 16 Years Old or Older ,"306 Fort Washington Avenue
New York, NEW YORK 10033
(40.84561730185351, -73.94042010106682)"
Reading & Writing,Family Literacy,Public School 189 ,New York,"Washington Heights- Inwood Coalition, Inc",212.781.6722,A parent 16 Years Old or Older ,"2580 Amsterdam Avenue
New York, NEW YORK 10040
(40.85286583740964, -73.92742489774344)"
Reading & Writing,Family Literacy,Public School 20 - Port Richmond Elementary School ,Staten Island,"Jewish Community Center of Staten Island, Inc.",718.508.3883,A parent 16 Years Old or Older ,"131 Park Avenue
Staten Island, NEW YORK 10302
(40.63738882560076, -74.13230103095928)"
Reading & Writing,Family Literacy,Community Elementary School 55 - Benjamin Franklin School ,Bronx,Supportive Childrens Advocacy Network (SCAN),212.683.2522,A parent 16 Years Old or Older ,"450 St Pauls Place
Bronx, NEW YORK 10456
(40.836276563944345, -73.90461113077222)"
Reading & Writing,Family Literacy,West Farms Beacon Program ,Bronx,Phipps Community Development,718.542.8333,A parent 16 Years Old or Older ,"1970 Farms Road
Bronx, NEW YORK 10460
(40.83840581198824, -73.88124818068118)"
Reading & Writing,Family Literacy,Public School 199Q - Maurice Fitzgerald Elementary School ,Queens,"Sunnyside Community Service, Inc.",718.786.6958,A parent 16 Years Old or Older ,"39 20 48th Avenue
Queens, NEW YORK 11104
(40.74489336663561, -73.92054134530679)"
Reading & Writing,Family Literacy,Public School 78Q - The Robert F. Wagner School ,Queens,Queens Borough Public Library (Central),718.661.1244,A parent 16 Years Old or Older ,"48 09 Center Boulevard
Queens, NEW YORK 11109
(40.744414792408804, -73.95770234668589)"
Reading & Writing,Family Literacy,Public School 196 - Ten Eyck Elementary School ,Brooklyn,Brooklyn Center For Urban Environment,718.788.8500,A parent 16 Years Old or Older ,"207 Bushwick Avenue
Brooklyn, NEW YORK 11206
(40.7087046125596, -73.9399693443983)"
Reading & Writing,Family Literacy,Public School 377 - Alejandrina DeGautier Elementary School ,Brooklyn,Brooklyn Center For Urban Environment,718.788.8500,A parent 16 Years Old or Older ,"200 Woodbine Street
Brooklyn, NEW YORK 11221
(40.693959806319896, -73.91529746155672)"
Reading & Writing,Family Literacy,PS 375 Jackie Robinson School (K375) ,Brooklyn,Brooklyn Center For Urban Environment,718.788.8500,A parent 16 Years Old or Older ,"46 McKeever Place
Brooklyn, NEW YORK 11225
(40.66501317051537, -73.95904314893046)"
Reading & Writing,Family Literacy,Public School 225 - Eileen E. Zaglin ,Brooklyn,Shorefront YM-YWHA,718.934.3500,A parent 16 Years Old or Older ,"1075 Ocean View Avenue
Brooklyn, NEW YORK 11235
(40.5797910944251, -73.95643350547934)"
Reading & Writing,Family Literacy,Public School 149 - Christa McAuliffe School ,Queens,Goodwill Industries of Greater New York,718.426.0888,A parent 16 Years Old or Older ,"93 11 34th Avenue
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
Reading & Writing,Family Literacy,Saratoga Family Inn ,Queens,Homes for the Homeless,718.244.0670,A parent 16 Years Old or Older ,"175 15 Rockaway Boulevard
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
Reading & Writing,Family Literacy,P.S 52,Queens,Homes for the Homeless,212.529.5252,A parent 16 Years Old or Older ,"178 37 146 Terrace
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
Reading & Writing,Family Literacy,I.S. 231,Queens,Homes for the Homeless,212.529.5252,A parent 16 Years Old or Older ,"145 00 Springfield Boulevard
Queens, NEW YORK 11413
(40.66971118122609, -73.75087393328533)"
Reading & Writing,Family Literacy,Good Shepherd Services,Bronx,Good Shepherd Services,718-933-7439,A parent 16 Years Old or Older ,"1508 Webster Avenue
Bronx, NEW YORK 10457
(40.839482319009306, -73.90540739991036)"
Reading & Writing,Family Literacy,P.S. 79,Bronx,Good Shepherd Services,718-933-7439,A parent 16 Years Old or Older ,"125 181 Street
Bronx, NEW YORK 10453
(40.854878793912164, -73.90342336565232)"
"Reading & Writing,English Language Program,Adult Literacy",ESOL,St. George's Episcopal Church,Queens,Flushing Jewish Community Council,718.463.0434,ESOL/Civics,"135 33 38th Avenue
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
"Reading & Writing,English Language Program,Adult Literacy",ESOL,Greater Chinatown Community Association,New York,Greater Chinatown Community Association,212.374.1311 or 12.374.0032         ,ESOL/Civics,"105 Mosco Street (between Mott &amp; Mulberry streets
New York, NEW YORK 10013
(40.714478163541, -73.99923576178304)"
"Reading & Writing,English Language Program,Adult Literacy",ESOL,Henry Street Settlement - Workforce Development Center ,New York,"Henry Street Settlement, Inc. ",212.766.9200,ESOL/Civics,"99 Essex Street
New York, NEW YORK 10002
(40.71844741559961, -73.98830122278652)"
"Reading & Writing,English Language Program,Adult Literacy",ESOL,Jackson Heights-Elmhust Kehilah,Queens,"Jackson Heights-Elmhust Kehilah, Inc.",718.457.4591,ESOL/Civics,"33 47 91st Street (Jackson Heights
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Reading & Writing,English Language Program,Adult Literacy",ESOL,Make the Road New York-Jackson Heights Center,Queens,Make the Road New York,718.565.8500,ESOL/Civics,"71 24 Roosevelt Avenue
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Reading & Writing,English Language Program,Adult Literacy",ESOL,Make the Road New York ,Queens,Make the Road New York,718.565.8500,ESOL/Civics,"49 06 Skillman Avenue
Queens, NEW YORK 11377
(40.74519376448069, -73.9048471440804)"
"Reading & Writing,English Language Program,Adult Literacy",ESOL,Southside Community Mission,Brooklyn,"Southside Community Mission, Inc.",718.782.8181 or 718.387.6052 ,ESOL/Civics,"250 Hooper Street
Brooklyn, NEW YORK 11211
(40.70581785170525, -73.9556640768342)"
