TITLE,DESCR,SFX,SFFX DESCR,STD HRS,ASG LVL,JOBCD,UNION CD,UNION DESCR,BARG UNIT,BARG UNIT DESCR,APRL BANK,APRL LVL,MIN RATE,MAX RATE
5103,DIR PLANT OPERATIONS,0,DIR PLANT OPERATIONS,35,0,11924,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
5103,DIR PLANT OPERATIONS,0,DIR PLANT OPERATIONS,35,0,11925,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
5103,DIR PLANT OPERATIONS,0,DIR PLANT OPERATIONS,35,0,11926,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
5103,DIR PLANT OPERATIONS,0,DIR PLANT OPERATIONS,35,0,11927,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
5103,DIR PLANT OPERATIONS,0,DIR PLANT OPERATIONS,35,0,11928,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
5103,DIR PLANT OPERATIONS,0,DIR PLANT OPERATIONS,35,0,11929,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
5103,DIR PLANT OPERATIONS,0,DIR PLANT OPERATIONS,35,0,11930,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
5289,EXECUTIVE DIRECTOR,0,EXECUTIVE DIRECTOR,35,0,11932,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
5289,EXECUTIVE DIRECTOR,0,EXECUTIVE DIRECTOR,35,0,11933,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
5289,EXECUTIVE DIRECTOR,0,EXECUTIVE DIRECTOR,35,0,11934,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
5289,EXECUTIVE DIRECTOR,0,EXECUTIVE DIRECTOR,35,0,11935,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
5289,EXECUTIVE DIRECTOR,0,EXECUTIVE DIRECTOR,35,0,11936,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
5289,EXECUTIVE DIRECTOR,0,EXECUTIVE DIRECTOR,35,0,11937,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
5289,EXECUTIVE DIRECTOR,0,EXECUTIVE DIRECTOR,35,0,11938,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
5289,EXECUTIVE DIRECTOR,0,EXECUTIVE DIRECTOR,35,0,11931,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
5348,CHIEF ADMN OF IMPART HEAR,0,CHIEF ADMN OF IMPART HEAR,35,0,11939,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
5348,CHIEF ADMN OF IMPART HEAR,0,CHIEF ADMN OF IMPART HEAR,35,0,11940,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
5348,CHIEF ADMN OF IMPART HEAR,0,CHIEF ADMN OF IMPART HEAR,35,0,11941,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
5348,CHIEF ADMN OF IMPART HEAR,0,CHIEF ADMN OF IMPART HEAR,35,0,11942,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
5348,CHIEF ADMN OF IMPART HEAR,0,CHIEF ADMN OF IMPART HEAR,35,0,11943,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
5348,CHIEF ADMN OF IMPART HEAR,0,CHIEF ADMN OF IMPART HEAR,35,0,11944,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
5348,CHIEF ADMN OF IMPART HEAR,0,CHIEF ADMN OF IMPART HEAR,35,0,11945,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
5348,CHIEF ADMN OF IMPART HEAR,0,CHIEF ADMN OF IMPART HEAR,35,0,11946,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
5350,DIR DATA PROC COORDINATOR,0,DIR DATA PROC COORDINATOR,35,0,11947,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
5350,DIR DATA PROC COORDINATOR,0,DIR DATA PROC COORDINATOR,35,0,11948,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
5350,DIR DATA PROC COORDINATOR,0,DIR DATA PROC COORDINATOR,35,0,11949,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
5350,DIR DATA PROC COORDINATOR,0,DIR DATA PROC COORDINATOR,35,0,11950,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
5350,DIR DATA PROC COORDINATOR,0,DIR DATA PROC COORDINATOR,35,0,11951,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
5350,DIR DATA PROC COORDINATOR,0,DIR DATA PROC COORDINATOR,35,0,11952,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
5350,DIR DATA PROC COORDINATOR,0,DIR DATA PROC COORDINATOR,35,0,11953,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
5350,DIR DATA PROC COORDINATOR,0,DIR DATA PROC COORDINATOR,35,0,11954,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
5359,EXEC DIR PUB AFF,0,EXEC DIR PUB AFF,35,0,11955,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
5359,EXEC DIR PUB AFF,0,EXEC DIR PUB AFF,35,0,11956,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
5359,EXEC DIR PUB AFF,0,EXEC DIR PUB AFF,35,0,11957,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
5359,EXEC DIR PUB AFF,0,EXEC DIR PUB AFF,35,0,11958,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
5359,EXEC DIR PUB AFF,0,EXEC DIR PUB AFF,35,0,11959,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
5359,EXEC DIR PUB AFF,0,EXEC DIR PUB AFF,35,0,11960,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
5359,EXEC DIR PUB AFF,0,EXEC DIR PUB AFF,35,0,11961,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
5359,EXEC DIR PUB AFF,0,EXEC DIR PUB AFF,35,0,11962,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
5378,DEPUTY DIR OF SCH SAFETY,0,DEPUTY DIR OF SCH SAFETY,35,0,11964,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
5378,DEPUTY DIR OF SCH SAFETY,0,DEPUTY DIR OF SCH SAFETY,35,0,11965,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
5378,DEPUTY DIR OF SCH SAFETY,0,DEPUTY DIR OF SCH SAFETY,35,0,11966,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
5378,DEPUTY DIR OF SCH SAFETY,0,DEPUTY DIR OF SCH SAFETY,35,0,11967,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
5378,DEPUTY DIR OF SCH SAFETY,0,DEPUTY DIR OF SCH SAFETY,35,0,11968,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
5378,DEPUTY DIR OF SCH SAFETY,0,DEPUTY DIR OF SCH SAFETY,35,0,11969,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
5378,DEPUTY DIR OF SCH SAFETY,0,DEPUTY DIR OF SCH SAFETY,35,0,11970,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
5378,DEPUTY DIR OF SCH SAFETY,0,DEPUTY DIR OF SCH SAFETY,35,0,11963,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
5388,DEP DIR FOR MAINTENANCE,0,DEP DIR FOR MAINTENANCE,35,0,11971,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
5388,DEP DIR FOR MAINTENANCE,0,DEP DIR FOR MAINTENANCE,35,0,11972,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
5388,DEP DIR FOR MAINTENANCE,0,DEP DIR FOR MAINTENANCE,35,0,11973,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
5388,DEP DIR FOR MAINTENANCE,0,DEP DIR FOR MAINTENANCE,35,0,11974,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
5388,DEP DIR FOR MAINTENANCE,0,DEP DIR FOR MAINTENANCE,35,0,11975,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
5388,DEP DIR FOR MAINTENANCE,0,DEP DIR FOR MAINTENANCE,35,0,11976,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
5388,DEP DIR FOR MAINTENANCE,0,DEP DIR FOR MAINTENANCE,35,0,11977,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
5388,DEP DIR FOR MAINTENANCE,0,DEP DIR FOR MAINTENANCE,35,0,11978,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
5417,DIRECTOR OF LEGAL SERVICE,0,DIRECTOR OF LEGAL SERVICE,35,0,11979,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
5417,DIRECTOR OF LEGAL SERVICE,0,DIRECTOR OF LEGAL SERVICE,35,0,11980,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
5417,DIRECTOR OF LEGAL SERVICE,0,DIRECTOR OF LEGAL SERVICE,35,0,11981,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
5417,DIRECTOR OF LEGAL SERVICE,0,DIRECTOR OF LEGAL SERVICE,35,0,11982,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
5417,DIRECTOR OF LEGAL SERVICE,0,DIRECTOR OF LEGAL SERVICE,35,0,11983,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
5417,DIRECTOR OF LEGAL SERVICE,0,DIRECTOR OF LEGAL SERVICE,35,0,11984,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
5417,DIRECTOR OF LEGAL SERVICE,0,DIRECTOR OF LEGAL SERVICE,35,0,11985,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
5417,DIRECTOR OF LEGAL SERVICE,0,DIRECTOR OF LEGAL SERVICE,35,0,11986,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
5422,SPEC ASST TO EXEC DIR,0,SPEC ASST TO EXEC DIR,35,0,11987,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
5422,SPEC ASST TO EXEC DIR,0,SPEC ASST TO EXEC DIR,35,0,11988,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
5422,SPEC ASST TO EXEC DIR,0,SPEC ASST TO EXEC DIR,35,0,11989,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
5422,SPEC ASST TO EXEC DIR,0,SPEC ASST TO EXEC DIR,35,0,11990,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
5422,SPEC ASST TO EXEC DIR,0,SPEC ASST TO EXEC DIR,35,0,11991,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
5422,SPEC ASST TO EXEC DIR,0,SPEC ASST TO EXEC DIR,35,0,11992,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
5422,SPEC ASST TO EXEC DIR,0,SPEC ASST TO EXEC DIR,35,0,11993,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
5422,SPEC ASST TO EXEC DIR,0,SPEC ASST TO EXEC DIR,35,0,11994,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
6019,ENGINEERING SPECIALIST,0,ENGINEERING SPECIALIST,35,1,8738,4,ENGINEERS DC 37 L375 CSTG,DC37,District Council 37,H,L1,$78109.00,$94363.00
6019,ENGINEERING SPECIALIST,0,ENGINEERING SPECIALIST,35,1,11364,4,ENGINEERS DC 37 L375 CSTG,DC37,District Council 37,Z,L1,$39.53,$47.75
6019,ENGINEERING SPECIALIST,0,ENGINEERING SPECIALIST,35,2,8739,4,ENGINEERS DC 37 L375 CSTG,DC37,District Council 37,H,L2,$87377.00,$103007.00
6019,ENGINEERING SPECIALIST,0,ENGINEERING SPECIALIST,35,2,11365,4,ENGINEERS DC 37 L375 CSTG,DC37,District Council 37,Z,L2,$44.22,$52.13
6106,ARCH SPECIALIST,0,ARCH SPECIALIST,35,1,8741,4,ENGINEERS DC 37 L375 CSTG,DC37,District Council 37,H,L1,$78109.00,$94363.00
6106,ARCH SPECIALIST,0,ARCH SPECIALIST,35,1,11366,4,ENGINEERS DC 37 L375 CSTG,DC37,District Council 37,Z,L1,$39.53,$47.75
6106,ARCH SPECIALIST,0,ARCH SPECIALIST,35,2,8742,4,ENGINEERS DC 37 L375 CSTG,DC37,District Council 37,H,L2,$87377.00,$103007.00
6106,ARCH SPECIALIST,0,ARCH SPECIALIST,35,2,11367,4,ENGINEERS DC 37 L375 CSTG,DC37,District Council 37,Z,L2,$44.22,$52.13
6141,CONF ASST TO BOE,0,CONF ASST TO BOE,35,0,11995,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
6141,CONF ASST TO BOE,0,CONF ASST TO BOE,35,0,11996,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
6141,CONF ASST TO BOE,0,CONF ASST TO BOE,35,0,11997,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
6141,CONF ASST TO BOE,0,CONF ASST TO BOE,35,0,11998,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
6141,CONF ASST TO BOE,0,CONF ASST TO BOE,35,0,11999,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
6141,CONF ASST TO BOE,0,CONF ASST TO BOE,35,0,12000,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
6141,CONF ASST TO BOE,0,CONF ASST TO BOE,35,0,12001,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
6141,CONF ASST TO BOE,0,CONF ASST TO BOE,35,0,12002,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
6165,SUPV  OF NURSES (BOE),5,SUPV  OF NURSES (BOE),38,0,8758,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,H,00,$65175.00,$71366.00
6165,SUPV  OF NURSES (BOE),5,SUPV  OF NURSES (BOE),38,0,8759,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,Z,00,$53.73,$58.84
6198,COUNSEL BOE RETIREMENT,0,COUNSEL BOE RETIREMENT,35,0,12003,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
6198,COUNSEL BOE RETIREMENT,0,COUNSEL BOE RETIREMENT,35,0,12004,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
6198,COUNSEL BOE RETIREMENT,0,COUNSEL BOE RETIREMENT,35,0,12005,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
6198,COUNSEL BOE RETIREMENT,0,COUNSEL BOE RETIREMENT,35,0,12006,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
6198,COUNSEL BOE RETIREMENT,0,COUNSEL BOE RETIREMENT,35,0,12007,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
6198,COUNSEL BOE RETIREMENT,0,COUNSEL BOE RETIREMENT,35,0,12008,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
6198,COUNSEL BOE RETIREMENT,0,COUNSEL BOE RETIREMENT,35,0,12009,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
6198,COUNSEL BOE RETIREMENT,0,COUNSEL BOE RETIREMENT,35,0,12010,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
6216,OCCUPATIONAL THERAPIST,5,OCCUPATIONAL THERAPIST,32,0,8785,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,H,00,$56094.00,$57407.00
6216,OCCUPATIONAL THERAPIST,5,OCCUPATIONAL THERAPIST,32,0,8786,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,Z,00,$46.24,$47.32
6217,SR OCCUPATIONAL THERAPIST,5,SR OCCUPATIONAL THERAPIST,32,0,8787,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,H,00,$60731.00,$62155.00
6217,SR OCCUPATIONAL THERAPIST,5,SR OCCUPATIONAL THERAPIST,32,0,8788,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,Z,00,$50.05,$51.24
6218,PHYSICAL THERAPIST,5,PHYSICAL THERAPIST,32,0,8789,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,H,00,$56094.00,$57407.00
6218,PHYSICAL THERAPIST,5,PHYSICAL THERAPIST,32,0,8790,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,Z,00,$46.24,$47.32
6219,SR PHYSICAL THERAPIST,5,SR PHYSICAL THERAPIST,32,0,8792,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,Z,00,$50.05,$51.24
6219,SR PHYSICAL THERAPIST,5,SR PHYSICAL THERAPIST,32,0,8791,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,H,00,$60731.00,$62155.00
6220,REGISTERED NURSE (BOE),5,REGISTERED NURSE (BOE),32,0,8793,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,H,00,$53031.00,$58070.00
6221,HEAD REGISTERED NURSE,5,HEAD REGISTERED NURSE,32,0,8794,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,H,00,$58017.00,$63530.00
6228,DEPUTY AUDITOR GENERAL,0,DEPUTY AUDITOR GENERAL,35,0,12019,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
6228,DEPUTY AUDITOR GENERAL,0,DEPUTY AUDITOR GENERAL,35,0,12020,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
6228,DEPUTY AUDITOR GENERAL,0,DEPUTY AUDITOR GENERAL,35,0,12021,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
6228,DEPUTY AUDITOR GENERAL,0,DEPUTY AUDITOR GENERAL,35,0,12022,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
6228,DEPUTY AUDITOR GENERAL,0,DEPUTY AUDITOR GENERAL,35,0,12023,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
6228,DEPUTY AUDITOR GENERAL,0,DEPUTY AUDITOR GENERAL,35,0,12024,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
6228,DEPUTY AUDITOR GENERAL,0,DEPUTY AUDITOR GENERAL,35,0,12025,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
6228,DEPUTY AUDITOR GENERAL,0,DEPUTY AUDITOR GENERAL,35,0,12026,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
6230,ASST EXEC DIRECTOR,0,ASST EXEC DIRECTOR,35,0,12027,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
6230,ASST EXEC DIRECTOR,0,ASST EXEC DIRECTOR,35,0,12028,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
6230,ASST EXEC DIRECTOR,0,ASST EXEC DIRECTOR,35,0,12029,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G3,$70000.00,$105000.00
6230,ASST EXEC DIRECTOR,0,ASST EXEC DIRECTOR,35,0,12030,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G4,$81000.00,$124000.00
6230,ASST EXEC DIRECTOR,0,ASST EXEC DIRECTOR,35,0,12031,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G5,$95000.00,$145000.00
6230,ASST EXEC DIRECTOR,0,ASST EXEC DIRECTOR,35,0,12032,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G6,$111000.00,$170000.00
6230,ASST EXEC DIRECTOR,0,ASST EXEC DIRECTOR,35,0,12033,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G7,$138000.00,$188000.00
6230,ASST EXEC DIRECTOR,0,ASST EXEC DIRECTOR,35,0,12034,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G8,$162000.00,$196575.00
6313,INTERPRETER BOE (HRLY),0,INTERPRETER BOE (HRLY),35,0,8825,128,CLERICAL TITLES DC37,DC37,District Council 37,Z,00,$23.77,$27.96
6313,INTERPRETER BOE (HRLY),0,INTERPRETER BOE (HRLY),35,0,11370,128,CLERICAL TITLES DC37,DC37,District Council 37,H,00,$40157.46,$47227.95
6317,DIRECTOR OF SPEC INVESTIG,0,DIRECTOR OF SPEC INVESTIG,35,0,12035,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G1,$51000.00,$77000.00
6317,DIRECTOR OF SPEC INVESTIG,0,DIRECTOR OF SPEC INVESTIG,35,0,12036,772,NON COMPETITIVE MANAGER,N/U,Non-Union,H,G2,$59000.00,$91000.00
