JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL
State Assembly District 054,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 055,14,7,0.5%,7,0.5%,0,0,14,100%,0,0%,0,0%,0,0%,0,0%,4,0.29%,9,0.64%,1,0.07%,0,0%,14,100%,0,0%,14,1%,0,0%,0,0%,14,100%,5,0.36%,9,0.64%,0,0%,14,100%
State Assembly District 056,5,5,1%,0,0%,0,0,5,100%,0,0%,0,0%,0,0%,0,0%,4,0.8%,0,0%,1,0.2%,0,0%,5,100%,0,0%,5,1%,0,0%,0,0%,5,100%,3,0.6%,2,0.4%,0,0%,5,100%
State Assembly District 057,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 058,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 059,60,28,0.47%,32,0.53%,0,0,60,100%,0,0%,7,0.12%,0,0%,0,0%,37,0.62%,12,0.2%,4,0.07%,0,0%,60,100%,2,0.03%,58,0.97%,0,0%,0,0%,60,100%,2,0.03%,58,0.97%,0,0%,60,100%
State Assembly District 060,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 061,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 062,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 063,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 064,61,32,0.52%,29,0.48%,0,0,61,100%,0,0%,3,0.05%,0,0%,46,0.75%,6,0.1%,6,0.1%,0,0%,0,0%,61,100%,4,0.07%,57,0.93%,0,0%,0,0%,61,100%,6,0.1%,55,0.9%,0,0%,61,100%
State Assembly District 065,0,0,0%,0,0%,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
State Assembly District 066,2,1,0.5%,1,0.5%,0,0,2,100%,0,0%,0,0%,0,0%,2,1%,0,0%,0,0%,0,0%,0,0%,2,100%,0,0%,2,1%,0,0%,0,0%,2,100%,1,0.5%,1,0.5%,0,0%,2,100%
State Assembly District 067,4,4,1%,0,0%,0,0,4,100%,0,0%,0,0%,0,0%,0,0%,3,0.75%,0,0%,0,0%,1,0.25%,4,100%,0,0%,4,1%,0,0%,0,0%,4,100%,1,0.25%,3,0.75%,0,0%,4,100%
State Assembly District 068,20,13,0.65%,7,0.35%,0,0,20,100%,0,0%,4,0.2%,0,0%,0,0%,0,0%,15,0.75%,1,0.05%,0,0%,20,100%,0,0%,20,1%,0,0%,0,0%,20,100%,8,0.4%,12,0.6%,0,0%,20,100%
State Assembly District 069,27,17,0.63%,10,0.37%,0,0,27,100%,0,0%,15,0.56%,0,0%,0,0%,0,0%,11,0.41%,1,0.04%,0,0%,27,100%,3,0.11%,24,0.89%,0,0%,0,0%,27,100%,8,0.3%,19,0.7%,0,0%,27,100%
State Assembly District 070,7,4,0.57%,3,0.43%,0,0,7,100%,0,0%,1,0.14%,0,0%,1,0.14%,0,0%,4,0.57%,1,0.14%,0,0%,7,99%,1,0.14%,6,0.86%,0,0%,0,0%,7,100%,1,0.14%,6,0.86%,0,0%,7,100%
State Assembly District 071,3,2,0.67%,1,0.33%,0,0,3,100%,0,0%,2,0.67%,0,0%,1,0.33%,0,0%,0,0%,0,0%,0,0%,3,100%,0,0%,3,1%,0,0%,0,0%,3,100%,0,0%,3,1%,0,0%,3,100%
State Assembly District 072,15,6,0.4%,9,0.6%,0,0,15,100%,0,0%,10,0.67%,0,0%,1,0.07%,0,0%,3,0.2%,1,0.07%,0,0%,15,100%,1,0.07%,14,0.93%,0,0%,0,0%,15,100%,7,0.47%,8,0.53%,0,0%,15,100%
State Assembly District 073,1,1,1%,0,0%,0,0,1,100%,0,0%,0,0%,0,0%,1,1%,0,0%,0,0%,0,0%,0,0%,1,100%,0,0%,1,1%,0,0%,0,0%,1,100%,0,0%,1,1%,0,0%,1,100%
State Assembly District 074,2,0,0%,2,1%,0,0,2,100%,0,0%,0,0%,0,0%,2,1%,0,0%,0,0%,0,0%,0,0%,2,100%,0,0%,2,1%,0,0%,0,0%,2,100%,0,0%,2,1%,0,0%,2,100%
State Assembly District 075,76,45,0.59%,31,0.41%,0,0,76,100%,0,0%,29,0.38%,0,0%,8,0.11%,1,0.01%,34,0.45%,4,0.05%,0,0%,76,100%,3,0.04%,73,0.96%,0,0%,0,0%,76,100%,36,0.47%,40,0.53%,0,0%,76,100%
State Assembly District 076,4,2,0.5%,2,0.5%,0,0,4,100%,0,0%,1,0.25%,0,0%,0,0%,0,0%,3,0.75%,0,0%,0,0%,4,100%,0,0%,4,1%,0,0%,0,0%,4,100%,3,0.75%,1,0.25%,0,0%,4,100%
State Assembly District 077,2,0,0%,2,1%,0,0,2,100%,0,0%,1,0.5%,1,0.5%,0,0%,0,0%,0,0%,0,0%,0,0%,2,100%,0,0%,2,1%,0,0%,0,0%,2,100%,1,0.5%,1,0.5%,0,0%,2,100%
State Assembly District 078,153,87,0.57%,66,0.43%,0,0,153,100%,0,0%,78,0.51%,0,0%,2,0.01%,3,0.02%,57,0.37%,13,0.08%,0,0%,153,99%,3,0.02%,148,0.97%,2,0.01%,0,0%,153,100%,48,0.31%,105,0.69%,0,0%,153,100%
State Assembly District 079,30,20,0.67%,10,0.33%,0,0,30,100%,0,0%,10,0.33%,0,0%,0,0%,0,0%,18,0.6%,2,0.07%,0,0%,30,100%,2,0.07%,27,0.9%,1,0.03%,0,0%,30,100%,12,0.4%,18,0.6%,0,0%,30,100%
State Assembly District 080,54,29,0.54%,25,0.46%,0,0,54,100%,1,0.02%,23,0.43%,1,0.02%,1,0.02%,2,0.04%,20,0.37%,5,0.09%,1,0.02%,54,100%,1,0.02%,53,0.98%,0,0%,0,0%,54,100%,23,0.43%,31,0.57%,0,0%,54,100%
State Assembly District 081,154,97,0.63%,57,0.37%,0,0,154,100%,0,0%,77,0.5%,1,0.01%,4,0.03%,1,0.01%,68,0.44%,3,0.02%,0,0%,154,100%,12,0.08%,140,0.91%,2,0.01%,0,0%,154,100%,54,0.35%,100,0.65%,0,0%,154,100%
State Assembly District 082,44,33,0.75%,11,0.25%,0,0,44,100%,0,0%,20,0.45%,0,0%,1,0.02%,5,0.11%,18,0.41%,0,0%,0,0%,44,99%,5,0.11%,38,0.86%,1,0.02%,0,0%,44,99%,17,0.39%,27,0.61%,0,0%,44,100%
State Assembly District 083,47,30,0.64%,17,0.36%,0,0,47,100%,0,0%,12,0.26%,0,0%,0,0%,0,0%,35,0.74%,0,0%,0,0%,47,100%,2,0.04%,45,0.96%,0,0%,0,0%,47,100%,8,0.17%,39,0.83%,0,0%,47,100%
State Assembly District 084,86,50,0.58%,36,0.42%,0,0,86,100%,1,0.01%,40,0.47%,0,0%,1,0.01%,0,0%,38,0.44%,4,0.05%,2,0.02%,86,100%,5,0.06%,81,0.94%,0,0%,0,0%,86,100%,26,0.3%,60,0.7%,0,0%,86,100%
State Assembly District 085,7,5,0.71%,2,0.29%,0,0,7,100%,0,0%,3,0.43%,0,0%,0,0%,0,0%,4,0.57%,0,0%,0,0%,7,100%,2,0.29%,5,0.71%,0,0%,0,0%,7,100%,3,0.43%,4,0.57%,0,0%,7,100%
State Assembly District 086,33,13,0.39%,20,0.61%,0,0,33,100%,0,0%,13,0.39%,0,0%,0,0%,0,0%,19,0.58%,1,0.03%,0,0%,33,100%,5,0.15%,28,0.85%,0,0%,0,0%,33,100%,15,0.45%,18,0.55%,0,0%,33,100%
