Name,Location,Type
Forest Park,Park Lane South & 89th St.,Tennis Courts
Kissena Park,Rose & Oak Aves.,Tennis Courts
Kissena Park,Rose & Oak Aves.,Tennis Courts
Flushing Meadows Corona Park,Flushing Meadows Corona Park,Tennis Courts
Willowbrook Park,Richmond Ave. & Eton Place,Tennis Courts
Wolfes Pond Park,"Cornelia Ave., off of Highland Blvd.",Tennis Courts
Patterson Playground,"Morris Avenue, East 148 Street, College Avenue, East 145 Street",Football Fields
Betsy Head Memorial Playground,"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",Football Fields
St. Vartan Playground,"1 to 2 avenues, East 35 to East 36 streets",Football Fields
Forest Park,Victory Field,Football Fields
World Ice Arena,125-40 Roosevelt Avenue,Ice Skating Rinks
Bensonhurst Park,BAY PKWY & CROPSEY AVENUE,Playgrounds
Betsy Head Memorial Playground,DUMONT AVE & BRISTOL ST,Playgrounds
Brower Park,BROOKLYN AVE & PROSPECT PL,Playgrounds
Brower Park,BROOKLYN AVE & PROSPECT PL,Playgrounds
Maria Hernandez Park,KNICKERBOCKER ST ENTRANCE,Playgrounds
Dinapoli Playground,"E. 92 ST, SEAVIEW AVE",Playgrounds
Carroll Park,"Carroll, Court, President, Smith Sts",Playgrounds
Commodore Barry Park,"Park Ave, Navy St, Flushing Ave, N Eliot Pl",Playgrounds
Middleton Playground,"Lynch, Middleton Sts, Lee Ave",Playgrounds
Lafayette Playground,"Lafayette Ave, E/o Malcolm X Blvd",Playgrounds
Bay 8 Playground,CROPSEY & BAY 8,Playgrounds
Dyker Playground,14 AVE & 86 ST,Playgrounds
Fort Greene Playground,MYRTLE AVE & ST EDWARDS PLAZA,Playgrounds
Fort Greene Park,DEKALB AVE & CUMBERLAND ST,Playgrounds
Gravesend Park,18 AVE & 56 ST,Playgrounds
Greenpoint Park,"Commercial, Franklin, Dupont Sts",Playgrounds
Van Voorhees Park,"Congress, Columbia, Pacific, Hicks Sts",Playgrounds
Wm E Kelly Memorial Park,"Ave S, E 14 & E 8 Sts",Playgrounds
Leif Ericson Park,"4TH AVE TO CS ADJ 5TH AVE, BTWN 66TH AND 67TH STREET",Playgrounds
Dr Martin Luther King Jr Park,"Dumont, Blake, Miller Aves, Bradford St",Playgrounds
Ps 278 Playground,"FILLMORE AVE, MADISON PL",Playgrounds
Lenape  Playground,S/O AVE U & E 38 ST,Playgrounds
Dr John's Playground,GERRITSEN AVE & AVE X,Playgrounds
Vincent V Abate Playground,"LORIMER ST, DRIGGS AVE",Playgrounds
Mckinley Park,"73-75 STS, FT HAMILTON PKWY",Playgrounds
Owls Head Park,"67 ST & COLONIAL RD, NORTH OF B066-02",Playgrounds
Owls Head Park,"NR ENT @ COLONIAL RD/67 ST, SOUTH OF B066-01",Playgrounds
Third St Playground,4 ST & PROSPECT PK W,Playgrounds
Garfield Tot Lot,WEST DRIVE OPP GARFIELD PL,Playgrounds
Vanderbilt Playground,"PROSPECT PK S/W, VANDERBILT ST",Playgrounds
Imagination Playground,OCEAN AVE & E LAKE DR,Playgrounds
Lincoln Rd Playground,LINCOLN RD & OCEAN AVE,Playgrounds
Harmony Playground,11 ST & PROSPECT PARK W,Playgrounds
Coffey Park,"KING, RICHARDS & DWIGHT STS",Playgrounds
Grace Playground,"Belmont & Pitkins Aves, Vermont & New Jersey Sts",Playgrounds
Saratoga Square Park,"Macon St, Howard Ave, Halsey St, Saratoga Ave",Playgrounds
Asser Levy Playground,SURF AVE & 5 ST,Playgrounds
Vinland Playground,95 ST & SHORE ROAD,Playgrounds
79 St Playground,79 ST & SHORE RD,Playgrounds
Sunset Park,6 AVE BET 41 & 44 STS,Playgrounds
Herbert Von King Park,"W/O TOMPKINS AVE, E/O MARCY AVE",Playgrounds
Weeksville Playground,"Atlantic, Howard Aves, Herkimer St",Playgrounds
Sgt William Dougherty Playground,"Anthony St, Vandervoort Ave, Cherry St",Playgrounds
Sledge Playground,E 95 St Bet Aves K & L,Playgrounds
Martin Luther Playground,"55 To 56 Sts, 2 Ave",Playgrounds
Lt Joseph Petrosino Park,"New Utrecht To 16 Aves, 70 To 71 Sts",Playgrounds
Seth Low Playground,"AVE P, BAY PKWY, W 12 ST",Playgrounds
Crispus Attucks Playground,"Classon Ave, Fulton St, Irving Pl",Playgrounds
Lions' Pride Playground,"Riverdale, Van Sinderen, Livonia, Snediker Aves",Playgrounds
Bill Brown Memorial Playground,"Bedford Ave, Ave X To Ave Y, E 24 St",Playgrounds
Washington Park,"3 To 4 Sts, 4 To 5 Aves",Playgrounds
Monsignor Mcgolrick Playground,NASSUA  AVE BET MONITOR ST & RUSSELL ST,Playgrounds
St Mary's Playground,Smith St Bet Nelson & Huntington Sts,Playgrounds
Dodger Playground,Sullivan Pl W/o Nostrand Ave,Playgrounds
Calvert Vaux,BAY 44 & CROPSEY AVE,Playgrounds
Bush Clinton Park,"LORRAINE, CLINTON, HENRY STS",Playgrounds
Col David Marcus Mem Playground,"Ocean Pkwy, Ave P, E 3 St",Playgrounds
Greenwood Playground,"Ft Hamilton Pkwy, Prospect Ave, Greenwood Ave",Playgrounds
Rudd Playground,"Bushwick Ave, Aberdeen St, Granite St",Playgrounds
Bedford Playground,"Bedford Ave & S 9 St, Division Ave",Playgrounds
Thomas Greene Playground,"3 Ave, Nevins, Degraw & Douglas Sts",Playgrounds
Rolf Henry Playground,New York & Clarkson Aves,Playgrounds
Linwood Playground,"Linwood St, New Lots & Hegeman Aves",Playgrounds
Paul W Kolbert Playground,"Ave L, E 17 To E 18 Sts",Playgrounds
Rappaport Playground,"Ft Hamilton Pkwy, 10 Ave, 52 To 53 Sts",Playgrounds
South Pacific Playground,"W/s Howard Ave, Pacific To Dean Sts",Playgrounds
Powell Playground,Sackman To Powell Sts Bet Glenmore & Pitkin Aves,Playgrounds
Kelly Playground,N/s Ave S Bet Bmt & Ps 255,Playgrounds
Garibaldi Playground,82 To 83 St At 18 Ave,Playgrounds
Mt Prospect Park,EASTERN PKWY BETWEEN WASHINGTON AVE & FLATBUSH AVE,Playgrounds
Nicholas A. Brizzi Playground,"42 To 43 Sts, 10 To New Utrecht Aves",Playgrounds
Sperandeo Brothers Playground,"Atlantic Ave, Elton To Linwood Sts",Playgrounds
Bath Beach Playground,Shore Pkwy & 17 Ave,Playgrounds
Homecrest Playground,"Shore Pkwy To Williams Ct, E 12 St",Playgrounds
Brighton Playground,W/s Brighton 2 St At Boardwalk,Playgrounds
Russell Pederson Playground,"Colonial Rd, 83 To 85 Sts",Playgrounds
Hamilton Metz Field,"Albany, East New York, Lefferts Aves",Playgrounds
Mellett Playground,"Ave V, E 13 St & E 14 St",Playgrounds
Fulton Park East,Stuyvesant Ave & Marion St,Playgrounds
Sunners Playgournd,"Ave H, Kings Highway & E 49 St",Playgrounds
Sarsfield Playground,E 38 St & Ryder St,Playgrounds
Pfc Thomas Norton Mem Playground,"Nostrand Ave & Ave P, Kings Highway",Playgrounds
Joe Galapo Playground,"Bedford Ave & Gravesend Neck Rd, Ave V, E 24 St",Playgrounds
Admiral Playground,"Clinton St, Nelson St, Hamilton Ave",Playgrounds
Ps 1 Playground,"46 & 47 Sts, 3 Ave",Playgrounds
PARK STRIP,"W/s Gowanus Pkwy, 81 & 82 Sts",Playgrounds
John J Carty Park,"FT HAMILTON PKWY, 94-95 STS",Playgrounds
Hot Spot Tot Lot,"Campus Rd, E 21 St & Ave H",Playgrounds
Israel Putnam,"M Garvey Blvd, Madison To Monroe Sts",Playgrounds
Paerdegat Park,"Foster Ave & Farragut Rd, E 40 St, Albany Ave",Playgrounds
Callahan-kelly Playground,"Fulton,truxton Sts, Van Sinderen Ave,eastern Pkwy",Playgrounds
Washington Hall Park,"Park, Washington Aves To Hall St",Playgrounds
Steuben Playground,"Flushing, Steuben St, Bklyn Queens Exwy",Playgrounds
Dimattina Playground,"Rapelye, Hicks, Coles St",Playgrounds
Palmetto Playground,"Atlantic Ave, Columbia, State Sts",Playgrounds
Harry Chapin Park,"Columbia Hts, Middagh, Cranberry & Willow Sts",Playgrounds
PARK,"Jay, York, Prospect, Bridge Sts",Playgrounds
Penn Triangle,Penn St & Wythe Ave,Playgrounds
Rodney Playground South,"Rodney, S 3 & S 4 Sts",Playgrounds
Jaime Campiz Playground,"Hope St, Marcy, Metropolitan Aves",Playgrounds
Plce Ofcr Reinaldo Salgado Playground,"Monroe To Madison Sts, Patchen & Ralph Aves",Playgrounds
St Andrew's Playground,"Atlantic Ave, Herkimer St, Kingston Ave",Playgrounds
Gowanus Playground,"Hoyt, Wyckoff, Bond Sts",Playgrounds
Dean Playground,Dean To Bergen Sts Bet 6 & Carlton Aves,Playgrounds
Tilden Playground,"Tilden Ave, E 48 To E 49 Sts",Playgrounds
Dolgon Playground,"Ave V, Nostrand & Batchelder Sts",Playgrounds
Glenwood Playground,Ralph Ave & Farragut Rd,Playgrounds
Hancock Playground,"BEDFORD AVE, HANCOCK ST, JEFFERSON AVE",Playgrounds
Sheepshead Playground,"Ave Z, Nostrand Ave To E 29 St",Playgrounds
Mcdonald Playground,"Mcdonald Ave, Bet Aves S & T",Playgrounds
Breukelen  Playground,LOUISIANA & FLATLANDS AVE,Playgrounds
Fox Playground,"Aves H & I, E 54 To E 55 Sts",Playgrounds
Van Dyke Playground,"Dumont Ave, Powell St",Playgrounds
Nostrand Playground,Nostrand & Foster Aves,Playgrounds
Pat Perlato Playground.,FALMOUTH ST & ORIENTAL AVE,Playgrounds
Manhattan Beach Park,MACKENZIE & ORIENTAL AVES,Playgrounds
West Playground,N/s Ave Z Bet West St & W 1 St,Playgrounds
Parham Playground,"Adelphi St, Clermont, Dekalb, Willoughby Aves",Playgrounds
Wingate Park,S E Corner Brooklyn Ave & Rutland Rd,Playgrounds
Frost Playground,"Frost St, Kingsland & Morgan Aves",Playgrounds
Brevoort Playground,W/s Ralph Ave Bet Sumpter & Chauncey Sts,Playgrounds
Underwood Park,Lafayette & Washington Aves,Playgrounds
Howard Playground & Pool,Glenmore & Mother Gaston Blvd,Playgrounds
Schenck Playground,"Livonia Ave, Barbey St & Schenck Ave",Playgrounds
Sumner Playground,"M Garvey Blvd, Throop, Park & Myrtle Aves",Playgrounds
Roebling Playground,"Wilson & Lee Aves, Taylor St, Bedford Ave",Playgrounds
Rainbow Park,55 & 56 Sts At 6 Ave,Playgrounds
Star Spangled Playground,Franklin Ave Bet Willoughby & Dekalb Aves,Playgrounds
Parkside Playground,"Rogers Ave, Winthrop St, Parkside Ave",Playgrounds
Nautilus Playground,"Public Beach, W 29 & W 32 Sts",Playgrounds
Jesse Owens Playground,Stuyvesant & Lafayette Aves,Playgrounds
Ditmas Playground,Ditmas Ave Bet E 91 & E 92 Sts,Playgrounds
Marlboro Playground,W 11 St & Ave W,Playgrounds
Bay View,S/s Seaview Ave Opp E 99 St,Playgrounds
Benson Playground,Bath Ave Bet Bay 22 & Bay 23 Sts,Playgrounds
Patrick O’Rourke Park ,"80 To 81 Sts, 11 To 12 Aves",Playgrounds
Belmont Playground,"Pitkin Ave, Drew St, Belmont, N Conduit Aves",Playgrounds
Harry Maze Playground,Ave D Bet E 56 & E 57 St,Playgrounds
Bartlett Playground,Bartlett St & Throop Ave,Playgrounds
Power Playground,Ave N & Utica Ave,Playgrounds
Pratt Playground,"Willoughby Ave, Emerson Pl",Playgrounds
Classon Playground,Lafayette & Classon Aves,Playgrounds
Jackie Robinson Park,Reid St Bet Chauncey And Marion Sts,Playgrounds
Oxport Playground,"Flushing Ave, N Portland Ave & N Oxford St",Playgrounds
Luna Park Playground,"Surf Ave, W 8 St To W 12 St",Playgrounds
Oracle Playground,Adelphi & Myrtle Aves,Playgrounds
Greene Playground,Greene Ave Bet Waverly & Washington Aves,Playgrounds
Charlie's Place,"Hopkins To Ellery Streets, Tomkins To Throop Aves",Playgrounds
Kennedy-king Playground,"Lenox Rd, Clarkson Ave, E 93 & E 94 Sts",Playgrounds
Ps 286 Playground,"Ave Y, Bet Brown & Haring Sts",Playgrounds
Tiger Playground,"Evergreen Ave, Eldert & Covert Sts",Playgrounds
Buswhick Pool,"Flushing Ave, Bushwick Ave & Humboldt St",Playgrounds
Ten Eyck Playground,"Bushwick Ave, Scholes & Meserole Sts",Playgrounds
El Hajj Malik El Shabazz Playground,"Reid Ave, Macon & Macdonough Sts",Playgrounds
Surf Playground,"Surf Ave, W 25 & W 27 Sts",Playgrounds
Digilio Playground,Mcdonald Ave & Ave F,Playgrounds
Park Slope Playground,"Berkeley Pl, Lincoln Pl, 5 & 6 Aves",Playgrounds
Edmonds Playground,"Dekalb Ave, Adelphi St & Carlton Ave",Playgrounds
Hattie Carthan Playground,"Monroe St, Tompkins Ave, Madison St & Marcy Ave",Playgrounds
Jacob Joffe Fields,Ave K Bet E 58 & E 59 Sts,Playgrounds
Fish Playground,Saratoga Ave Bet Herkimer & Fulton Sts,Playgrounds
Hickman Playground,Veterans Ave Bet E 68 & E 66 Sts,Playgrounds
Evergreen Playground,"Evergreen Ave & Decatur, Schaefer Sts",Playgrounds
Fermi Playground,"Troutman St & Central Ave, Starr St & Wilson Ave",Playgrounds
Century Playground,W Brighton Ave Bet W 2 & W 3 Sts,Playgrounds
Newport Playground,"Newport Ave & Thatford Ave, Osborne St",Playgrounds
100% Playground,"Glenwood Rd, E 100 & E 101 Sts",Playgrounds
Osborn Playground,"Linden Blvd & Osborn St, Thatford Ave",Playgrounds
Willoughby Playground,"Tompkins, Willoughby, Vernon Aves",Playgrounds
Bath Playground,Bath Ave Bet 24 Ave & Bay 37 St,Playgrounds
Elijah Stroud Playground,"Classon Ave, Sterling Pl & Park Pl",Playgrounds
Curtis Park,"S/s Foster Ave, E 81 & E 82 Sts",Playgrounds
Bergen Beach Playground,"Ave T, Ave N, E 71 & E 72 Sts",Playgrounds
North Pacific Playground,"N/s Pacific St, Bet Nevins St & 3 Ave",Playgrounds
Jackie Robinson Playground,"Sullivan Pl, Franklin Ave, Montgomery St",Playgrounds
Eugenio Maria De Hostos Playground,Harrison Ave Bet Walton & Lorimer Sts,Playgrounds
Chester Playground,"Chester St, Sutter Ave, Bristol St, Pitkin Ave",Playgrounds
Chiarantano Fields,"E 45-e 46 Sts, Glenwood To Farragut Rds",Playgrounds
Jacob's Ladder Playground,Clymer St Bet Wythe And Kent Aves,Playgrounds
Umma Park,"Woodruff, Ocean & Crooke Aves",Playgrounds
Mother Cabrini Park,President Street Bet Van Brunt & Columbia Streets,Playgrounds
Lt. Federico Narvaez Tot Lot,Argyle And Cortelyou Rds,Playgrounds
Nehemiah Park,"Osborn St, Watkins St, Riverdale",Playgrounds
Wyona Street Playground,"Wyona St, Vermont St, Fulton St, Jamaica Ave, Arln",Playgrounds
Epiphany Playground,"Berry St, S. 9th St, S. 10th St",Playgrounds
Bennett Park,"Ft Washington Ave, W 183 St, Pinehurst Ave",Playgrounds
Heckscher Playground,"62 ST, BET WEST & CENTER DRS",Playgrounds
Billy Johnson Playground,67 ST & 5TH AVE,Playgrounds
Adventure Playground,68 ST & CENTRAL PARK WEST,Playgrounds
Mariner's Gate Playground,84 ST & CENTRAL PARK WEST,Playgrounds
Safari Playground,91 ST & CENTRAL PARK WEST,Playgrounds
Bendheim Playground,100 ST & 5TH AVE,Playgrounds
Bernard Playground,108 ST & FIFTH AVE,Playgrounds
110th St Playground,110 ST & CATHEDRAL PKWY,Playgrounds
110th St & Lenox Ave Playground,110 ST & LENOX AVE,Playgrounds
Playground One Fifty Two Clii,W 152 ST & BRADHURST AVE,Playgrounds
Jackie Robinson Park,W 149 ST & BRADHURST AVE,Playgrounds
Columbus Park,"Baxter, Mulberry, Bayard & Park Sts",Playgrounds
Corlears Hook Park,"Jackson, Cherry Sts, Fdr Drive",Playgrounds
Carmansville Playground,"Amsterdam Ave, W 151 To W 152 Sts",Playgrounds
Downing Street Playground,"Downing To Carmine Sts, Ave Of Americas",Playgrounds
Lily Brown Playground,"W 162 ST, E/O RIVERSIDE DR",Playgrounds
Jacob Javits Playground,"M C PLAZA, FT WASHINGTON AVE",Playgrounds
Anne Loftus Playground,BROADWAY & DYCKMAN ST,Playgrounds
Sunken Playground,W 167 ST & EDGECOMBE AVE,Playgrounds
Quisqueya Playground,W 180 ST & AMSTERDAM AVE,Playgrounds
Wallenberg Playground,W 189 ST &  AMSTERDAM AVE,Playgrounds
Ft George Playground,"FT GEORGE, ST NICHOLAS AVES",Playgrounds
Adventure Playground,W 164 ST & EDGECOMBE AVE,Playgrounds
James J Walker Park,"Hudson, Leroy, Clarkson Sts, 7 Ave",Playgrounds
Hamilton Place Playground,"Hamilton Pl, W 140 To W 141 Sts",Playgrounds
Emerson Playground,"SEAMAN AVE BET ISHAM, W 207 ST",Playgrounds
Indian Road Playground,W 214 ST & SEAMAN AVE,Playgrounds
John Jay Park,"Fdr Drive, E 76 To E 78 Sts",Playgrounds
Thomas Jefferson Park,E 111 ST & 1 AVE,Playgrounds
Madison Square Park,E 25 ST & MADISON AVE,Playgrounds
Morningside Park,W 123 ST & MORNINGSIDE AVE,Playgrounds
Morningside Playground,W 117 ST & MORNINGSIDE AVE,Playgrounds
Morningside Park,MORNINGSIDE AVE & 113 ST,Playgrounds
Morningside Park,MORNINGSIDE DR &  110 ST,Playgrounds
Mt. Morris East,E 122 ST & MADISON AVE,Playgrounds
Luther Gulick Playground,"Columbia, Delancey & Willett Sts",Playgrounds
Loeb Playground,"Henry St, Market St, E Broadway",Playgrounds
Vesuvio Playground,"Thompson St, Spring To Prince Sts",Playgrounds
River Run Playground,W 83 ST & RIVERSIDE DR,Playgrounds
Hippo Playground,W 91 ST & RIVERSIDE DR,Playgrounds
Dinosaur Playground,W 97 ST & RIVERSIDE DR,Playgrounds
Claremont,W 124 ST & RIVERSIDE DR,Playgrounds
Tot Lot One Hundred Five,"W 105-106 ST, RIVERSIDE DR",Playgrounds
Tot Lot One Hundred And Ten,"W110-111ST, RIVERSIDE DR",Playgrounds
Tot Lot  One Hundred And Sixteen,W116ST-117ST/RIVERSIDE DR,Playgrounds
Riverbank Playground,W 142 ST & RIVERSIDE DR,Playgrounds
Palisades Playground,W 148 ST & RIVERSIDE DRIVE,Playgrounds
Arlington Edinboro Playground,W 140 ST & ST NICHOLAS AVE,Playgrounds
St Nicholas,W 129 ST & ST NICHOLAS TERR,Playgrounds
Catbird Playground,EAST 84 ST & EAST END AVE,Playgrounds
Seward Park,"Canal, Hester, Essex, Jefferson Sts",Playgrounds
Sakura Park,"Riverside Dr, Claremont Ave To W 122 St",Playgrounds
Union Square,UNION SQ W BETW. 17 & 16 ST,Playgrounds
Washington Square Park,WASHINGTON SQ N/EAST OF  5 AVE,Playgrounds
J Hood Wright Park,W 173 ST & FT WASHINGTONA VE,Playgrounds
Houston St Playground,E HOUSTON TO STANTON STS,Playgrounds
Stanton St Courts,STANTON ST,Playgrounds
Rivington St Playground,RIVINGTON ST,Playgrounds
Playground 103 CIII,Fdr Drive & E 103 St,Playgrounds
James Weldon Johnson Playground,E 115 St Bet 3 & Lexington Aves,Playgrounds
Essex Playground,"Essex, Norfolk & Houston Sts",Playgrounds
Playground Of The Americas,"S/s W Houston St, Ave Of Americas",Playgrounds
Capt Jacob Joseph Playground,Rutgers & Henry Sts,Playgrounds
First Park,"Houston St, E 1 St, 1 Ave",Playgrounds
Minetta Playground,"Minetta Lane, W 3 St & Ave Of Americas",Playgrounds
Little Flower Playground,Madison St Opp Jefferson St,Playgrounds
Harlem Lane Playground,"Harlem River, W 151 To W 154 Sts",Playgrounds
White Playground,"Lexington Ave, E 105 To E 106 Sts",Playgrounds
Courtney Callender Playground,"5 Ave, W 130 To W 131 Sts",Playgrounds
Samuel Playground,"Lenox Ave, W 139 To W 140 Sts",Playgrounds
Mccaffrey Playground,"W 43 St, 8 & 9 Aves",Playgrounds
Asser Levy Playground,"E 23 To E 25 Sts, Fdr Drive",Playgrounds
Baruch Playground,"Rivington, Mangin Sts & Baruch Pl",Playgrounds
Cherry Clinton Playground,"Clinton, Cherry & Water Sts",Playgrounds
Peter Minuit Park,E 108 To E 109 Sts Bet Park & Madison Aves,Playgrounds
Samuel N. Bennerson 2nd Playground,"W 64 St, W/s Amsterdam Ave",Playgrounds
Col Charles Young Playground,"W 145 To W 143 Sts, Lenox Ave, Harlem River Drive",Playgrounds
Marx Brothers Playground,"2 Ave, E 96 To E 97 Sts",Playgrounds
Sheltering Arms Park,"W 126 To W 129 Sts, Amsterdam Ave To Old Broadway",Playgrounds
Stanley Isaacs Court,"Fdr Drive, E 95 To E 97 St",Playgrounds
Lincoln Playground,S/e Corner 5 Ave & E 135 St,Playgrounds
Sidney Hillman Playground,"Lewis, Delancey Sts",Playgrounds
Monsignor Kett Playground,W 204 St Bet 10 & Nagle Aves,Playgrounds
Booker T Washington Playground,"N/s W 108 St, Columbus & Amsterdam Aves",Playgrounds
Moore Playground,"Madison Ave, E 130 & E 131 Sts",Playgrounds
Morningside Playground,"Morningside Ave, W 123 & W 124 Sts",Playgrounds
Tanahey Playground,"Cherry To Water Sts, W Catherine To Market Slips",Playgrounds
Harlem River Park,"Lexington Ave, E 128 & E 129 Sts",Playgrounds
Harlem River Park,"Lexington Ave, E 129 To E 130 Sts",Playgrounds
Blake Hobbs Park,E 102 To E 104 Sts & 2 Ave,Playgrounds
Washington Playground,"99 To 100 Sts, 3 Ave",Playgrounds
Holcombe Rucker Playground,"W 155 St, 8 Ave To Harlem River Drive",Playgrounds
Howard Bennett Playground,"W 135 To W 136 Sts, Lenox To 5 Aves",Playgrounds
Desalvio Playground,Spring & Mulberry Sts,Playgrounds
Tecumseh Playground,W 78 St & Amsterdam Ave,Playgrounds
Jacob Schiff Playground,"Amsterdam Ave, W 136 St",Playgrounds
Wagner Playground,N/s E 120 St Bet 1 & 2 Aves,Playgrounds
Augustus Saint Gaudens,"2 Ave, E 19 To E 20 Sts",Playgrounds
Playground 70,W 70 St Bet West End & Amsterdam Aves,Playgrounds
Orville & Wilbur Playground,St Nicholas Ave & W 156 St,Playgrounds
Sol Lain Playground,"Broadway, Henry St, Gouverneur St",Playgrounds
Samuel Seabury Playground,"Lexington Ave, E 95 To E 96 Sts",Playgrounds
Bloomingdale Playground,"Amsterdam Ave, W 104 & W 105 Sts",Playgrounds
Nathan Straus Playground,N/s Rivington & Attorney Sts,Playgrounds
Sol Bloom Playground,"Columbus Ave, W 91 To W 92 Sts, Central Park W",Playgrounds
Ps 194 Playground,"7 To 8 Aves, W 143 To W 144 Sts",Playgrounds
Penn South Playground,"W 26, 8 To 9 Aves",Playgrounds
Bleecker Playground,"Hudson, Bleecker & W 11 Sts",Playgrounds
East River Playground,"Fdr Drive, E 106 To E 107 Sts",Playgrounds
Mckinley Playground,"Ave A, E 3-e 4 Sts",Playgrounds
Bellevue South Park,"E 26 To E 28 Sts, 2 Ave",Playgrounds
Playground Eighty Nine Lxxxix,"S/s W 89 St, Amsterdam & Columbus Aves",Playgrounds
Hells Kitchen Park,"E/s 10 Ave, W 47 To W 48 St",Playgrounds
St. Gregory's Park,W. 90th St B/w Broadway & Amsterdam Ave,Playgrounds
Wild Flower Meadow,G CENTRAL PKWY (UPPER AREA),Playgrounds
Horatio Playground,HORATIO PKWY & 50th Ave,Playgrounds
Alley Pond Park: Near Ballfield,NR SPRINGFIELD LOT/BALLFIELDS,Playgrounds
Alley Athletic Playground,"WINCHESTER BLVD, UNION TPKE",Playgrounds
Grover Cleveland Park,"Rene Ct, Grandview Av, Stanhope St, Fairview Av",Playgrounds
Charybdis Playground,SHORE BLVD OPP 23 AVE,Playgrounds
Sutphin Playground,SUTPHIN BLVD & 125 AVE,Playgrounds
Lakeview Lane Playground,LAKEVIEW LANE & 122 AVE,Playgrounds
157th St Playground,157 ST & 116 AVE,Playgrounds
Baisley Park South,150 ST & 130 AVE,Playgrounds
Bowne Playground,"29 AND 32 AVES, 158 TO 159 STS",Playgrounds
Bayswater Playground,BEACH  32  ST  &  DICKENS AVE,Playgrounds
Poppenhusen Playground,"21 Ave, 124 St, 20 Ave, 123 St",Playgrounds
Sobelsohn Park,"UNION TPKE, PARK LANE S, ADJ OVERLOOK",Playgrounds
Jackson Pond Playground,108 ST & MYRTLE AVE,Playgrounds
Greenhouse Playground,"MYRTLE AVE, WOODHAVEN BLVD",Playgrounds
Dry Harbor Playground,80 ST & MYRTLE AVE,Playgrounds
Redwood Playground,N/O G C PKWY OPP 193 ST,Playgrounds
Seven Gables Playground,"S/o L I Exwy, 210 & Oceania Sts",Playgrounds
Rufus King Park,JAMAICA AVE & 153 ST,Playgrounds
Playground,164 ST & LITHONIA,Playgrounds
Four Winds Playground,BOOTH MEMORIAL AVE & 160 ST,Playgrounds
Playground,ROSE & OAK AVES,Playgrounds
Linden Park,"41 To 42 Aves, 103 St",Playgrounds
Laurelton Parkway West,120TH AVE & 238TH STREET,Playgrounds
Windmuller Playground,"52 St, Woodside Ave, 39 Rd, 39 Dr, 54 St",Playgrounds
