Building Address,Building Name,Building Park,Submarket Name,Submarket Cluster,County Name,PropertyType,Building Class,Building Status,Year Built,Year Renovated,Number Of Stories,Last Sale Price,Last Sale Date,For Sale Status,For Sale Price,Land Area (AC),Rentable Building Area,Typical Floor Size,Number Of Elevators,Core Factor,Percent Leased,Average Weighted Rent,Services,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Max Building Contiguous Space,Max Floor Contiguous Space,Total Available Space (SF),Amenities,Zoning,Number Of Parking Spaces,Parking Ratio,Building Operating Expenses,Building Tax Expenses,Location 1
687 8th Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,4100000,05/16/1998,N,,0.0465,5588,1587,0,,100,-,,,,,,,,,,,"C6-4, New York",,,2011 Tax @ $36.10/sf; 2011 Est Ops @ $20.58/sf,2011 Tax @ $36.10/sf; 2011 Est Ops @ $20.58/sf,"687 8th Ave
New York, NY 10036
(40.75820320060552, -73.98910040251286)"
688 8th Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,5,,,N,,0.06,8484,1696,0,,100,-,,,,,,,,,,,C6-4,,,2008 Tax @ $5.55/sf,2008 Tax @ $5.55/sf,"688 8th Ave
New York, NY 10036
(40.75820320060552, -73.98910040251286)"
713 8th Ave,,,Times Square,Midtown,Manhattan,Office,B,Existing,,,3,,,N,,,25318,8439,0,,100,-,,,,,,,,,,,,,,"2011 Tax @ $11.77/sf, 2010 Est Tax @ $11.38/sf; 2011 Est Ops @ $17.25/sf","2011 Tax @ $11.77/sf, 2010 Est Tax @ $11.38/sf; 2011 Est Ops @ $17.25/sf","713 8th Ave
New York, NY 10036
(40.75906832243723, -73.9884815362417)"
219-235 W 40th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1923,,5,59990000,07/13/2000,N,,0.1148,25000,4696,0,,100,-,,,,,,,,,,,M1-6,,,2011 Tax @ $36.04/sf; 2011 Est Ops @ $209.70/sf,2011 Tax @ $36.04/sf; 2011 Est Ops @ $209.70/sf,"219 235 W 40th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
141 W 41st St,,,Penn Plaza/Garment,Midtown,Manhattan,Office,C,Existing,1900,,5,4500000,01/31/2004,N,,0.0562,8545,1375,1,,82.45,60.45,Direct - Plus Electric,,6700,0,1500,0,5200,2200,6700,Food Service,C5-3,,,"2011 Tax @ $7.33/sf; 2001 Ops @ $6.48/sf, 2011 Est Ops @ $9.16/sf","2011 Tax @ $7.33/sf; 2001 Ops @ $6.48/sf, 2011 Est Ops @ $9.16/sf","141 41st St
New York, NY 10036
(40.75479477011447, -73.986096666935)"
220 W 41st St,,,Times Square,Midtown,Manhattan,Retail,,Existing,,,5,,,N,,,39631,7926,0,,100,-,,,,,,,,,,,,200,,,,"220 41st St
New York, NY 10036
(40.75561380596294, -73.98808789816832)"
262 W 41st St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1923,,8,,,N,,0.1134,35600,4450,0,,100,-,,,,,,,,,,Property Manager on Site,C6-7.5,,,,,"262 41st St
New York, NY 10036
(40.75609928567383, -73.98922189182137)"
136 W 42nd St,,,Penn Plaza/Garment,Midtown,Manhattan,Office,B,Existing,1900,1983,5,5250000,09/22/1995,N,,0.0562,8812,2002,0,,100,-,,,,,,,,,,,"C6-7, New York",,,2008 Tax @ $8.01/sf,2008 Tax @ $8.01/sf,"136 42nd St
New York, NY 10036
(40.75539731587412, -73.98543116863328)"
215-219 W 42nd St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1919,,6,,,N,,0.4723,30392,7500,0,,100,-,,,,,,,,,,,C6-7.5,,,2010 Tax @ $0.82/sf,2010 Tax @ $0.82/sf,"215 219 W 42nd St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
225-229 W 42nd St,The New 42nd St Studios,,Times Square,Midtown,Manhattan,Retail,,Existing,2000,,10,,,N,,0.3089,84000,7500,2,,100,-,,,,,,,,,,,C6-5,,,2010 Tax @ $12.95/sf; 2010 Est Ops @ $15.71/sf,2010 Tax @ $12.95/sf; 2010 Est Ops @ $15.71/sf,"225 229 W 42nd St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
234 W 42nd St,,42nd Street Retail Shops,Times Square,Midtown,Manhattan,Retail,,Existing,2000,,15,851500000,03/29/2007,N,,1.3432,300359,20023,0,,100,-,,,,,,,,,,"Enclosed Mall, Food Court, Hotel, Kiosk/Cart Space, Metro/Subway, Mixed Use, Restaurant, Signage",NZS,,,2009 Combined Tax/Ops @ $27.59/sf; 2011 Est Ops @ $13.32/sf,2009 Combined Tax/Ops @ $27.59/sf; 2011 Est Ops @ $13.32/sf,"234 42nd St
New York, NY 10036
(40.75644935397512, -73.98798606489039)"
301 W 42nd St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1972,1999,2,27000000,07/24/2001,N,,0.1385,12905,6000,0,,100,-,,,,,,,,,,,C6-4,,,2011 Tax @ $39.79/sf; 2011 Est Ops @ $12.40/sf,2011 Tax @ $39.79/sf; 2011 Est Ops @ $12.40/sf,"301 42nd St
New York, NY 10036
(40.75728466411027, -73.9898319776268)"
303 W 42nd St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1900,,13,,,N,,0.4224,45500,3500,0,,95.33,42.35,Direct - Full Service Gross,,2125,0,2125,0,1000,1000,2125,,C6-4,,,"2011 Tax @ $7.65/sf; 2001 Ops @ $41.62/sf, 2011 Est Ops @ $14.14/sf","2011 Tax @ $7.65/sf; 2001 Ops @ $41.62/sf, 2011 Est Ops @ $14.14/sf","303 42nd St
New York, NY 10036
(40.75730752021273, -73.98988708275053)"
125 W 43rd St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,5,,,N,,0.048,7041,1408,0,,100,-,,,,,,,,,,,C6-5.5,,,2008 Ops @ $12.47/sf,2008 Ops @ $12.47/sf,"125 43rd St
New York, NY 10036
(40.75603583451493, -73.98482862287369)"
253 W 43rd St,,,Times Square,Midtown,Manhattan,Retail,,Existing,,,5,,,N,,,17987,3597,0,,100,-,,,,,,,,,,,,,,,,"253 43rd St
New York, NY 10036
(40.75735541284205, -73.98794832950449)"
300 W 43rd St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1928,,6,,,N,,0.287,72038,12006,3,,100,45,Direct - Plus Electric,,3600,17316,0,0,2500,2500,20916,,C6-4,,,"2011 Tax @ $5.36/sf; 2011 Ops @ $14.24/sf, 2010 Est Ops @ $15.49/sf","2011 Tax @ $5.36/sf; 2011 Ops @ $14.24/sf, 2010 Est Ops @ $15.49/sf","300 43rd St
New York, NY 10036
(40.75793576160128, -73.98941818760571)"
120 W 44th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1930,,17,,,N,,0.1722,120000,7500,2,,100,-,,,,,,,,,,Property Manager on Site,C6-5.5,,,2010 Tax @ $4.69/sf; 2001 Ops @ $8.18/sf,2010 Tax @ $4.69/sf; 2001 Ops @ $8.18/sf,"120 44th St
New York, NY 10036
(40.756602407393416, -73.98428003643579)"
234-236 W 44th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1927,,11,,,N,,0.1309,53200,5200,2,,94.47,45,Direct - Modified Gross,,2944,0,2944,0,1884,1884,2944,,C6-5,,,"2011 Tax @ $5.77/sf; 2011 Ops @ $14.65/sf, 2010 Est Ops @ $15.04/sf","2011 Tax @ $5.77/sf; 2011 Ops @ $14.65/sf, 2010 Est Ops @ $15.04/sf","234 236 W 44th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
300-304 W 44th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1930,,4,,,N,,0.06,9483,2370,0,,100,-,,,,,,,,,,"Corner Lot, Street parking only",C6-4,,,2008 Tax @ $10.44/sf,2008 Tax @ $10.44/sf,"300 304 W 44th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
305 W 44th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1928,,5,,,N,,0.23,20676,4135,0,,100,-,,,,,,,,,,,C6-4,,,2011 Tax @ $12.78/sf; 2011 Est Ops @ $30.63/sf,2011 Tax @ $12.78/sf; 2011 Est Ops @ $30.63/sf,"305 44th St
New York, NY 10036
(40.7586416486521, -73.98902399049685)"
115 W 45th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1925,,12,,,N,,0.1033,43644,3637,0,,83.1,40.82,Direct - Plus All Utilities,,7375,0,7375,0,4200,4200,7375,"24/7 Building Access, Bus Line, Metro/Subway",C6-5.5,,,1999 Tax @ $4.61/sf; 1999 Ops @ $9.64/sf,1999 Tax @ $4.61/sf; 1999 Ops @ $9.64/sf,"115 45th St
New York, NY 10036
(40.757088041289194, -73.98349762627032)"
121 W 45th St,Connolly's Pub,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,3,4500000,08/07/1998,N,,0.0715,9429,3143,0,,100,-,,,,,,,,,,,"C6-5.5, New York",,,"2011 Tax @ $14.91/sf; 2011 Ops @ $7.08/sf, 2010 Est Ops @ $6.38/sf","2011 Tax @ $14.91/sf; 2011 Ops @ $7.08/sf, 2010 Est Ops @ $6.38/sf","121 45th St
New York, NY 10036
(40.75716898027184, -73.98370447033705)"
123 W 45th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1930,,5,3410000,03/02/2002,N,,0.129,4942,1214,0,,100,-,,,,,,,,,,,"C6-5.5,Manhattan(K9)",,,"2011 Tax @ $20.80/sf; 2011 Ops @ $13.62/sf, 2010 Est Ops @ $4.54/sf","2011 Tax @ $20.80/sf; 2011 Ops @ $13.62/sf, 2010 Est Ops @ $4.54/sf","123 45th St
New York, NY 10036
(40.75720495315301, -73.9837854093197)"
251 W 45th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1958,,7,,,N,,0.3691,45584,6511,0,,100,-,,,,,,,,,,Pylon Sign,C6-5,,,2010 Tax @ $6.61/sf; 2010 Est Ops @ $4.66/sf,2010 Tax @ $6.61/sf; 2010 Est Ops @ $4.66/sf,"251 45th St
New York, NY 10036
(40.75885071246665, -73.98766148726594)"
263 W 45th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,3,,,N,,0.0367,7799,2599,0,,100,-,,,,,,,,,,,C6-5,,,2008 Tax @ $6.67/sf,2008 Tax @ $6.67/sf,"263 45th St
New York, NY 10036
(40.758940644669565, -73.98786833133272)"
347 W 46 St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,3,650000,03/29/1991,N,,0.045,3168,1000,0,,100,-,,,,,,,,,,,"R8, New York",,,1995 Tax @ $7.49/sf,1995 Tax @ $7.49/sf,"347 46 St
New York, NY 10036
(40.76054143788173, -73.98970294827245)"
129 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1902,,9,,,N,,0.0849,27250,4284,0,,100,-,,,,,,,,,,,C6-5.5,,,2008 Tax @ $13.08/sf,2008 Tax @ $13.08/sf,"129 46th St
New York, NY 10036
(40.75795139043731, -73.98356057881233)"
136 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,5,,,N,,0.0344,5720,1144,0,,100,-,,,,,,,,,,,C6-5.5,,,2009 Tax @ $5.63/sf,2009 Tax @ $5.63/sf,"136 46th St
New York, NY 10036
(40.75805930908086, -73.98382138220086)"
140a W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,5,,,N,,0.0344,6358,1272,0,,100,-,,,,,,,,,,,C6-5.5,,,2009 Tax @ $6.23/sf,2009 Tax @ $6.23/sf,"140a 46th St
New York, NY 10036
(40.75817457848294, -73.98418595742201)"
147-149 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,2006,4,18000000,10/06/2006,N,,0.0867,13460,3308,0,,100,-,,,,,,,,,,,C6-5.5,,,2010 Tax @ $12.96/sf; 2010 Est Ops @ $4.12/sf,2010 Tax @ $12.96/sf; 2010 Est Ops @ $4.12/sf,"147 149 W 46th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
150 W 46th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1930,,7,,,N,,0.0689,21000,3000,1,,71.430000000000007,26,Direct - Triple Net,,6000,0,6000,0,6000,3000,6000,"24/7 Building Access, Property Manager on Site",C6-5.5,,,"2011 Tax @ $7.96/sf, 2010 Est Tax @ $8.13/sf; 2010 Ops @ $12.60/sf, 2011 Est Ops @ $7.53/sf","2011 Tax @ $7.96/sf, 2010 Est Tax @ $8.13/sf; 2010 Ops @ $12.60/sf, 2011 Est Ops @ $7.53/sf","150 46th St
New York, NY 10036
(40.75818521416494, -73.98411815847055)"
227 W 46th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1919,,6,,,N,,0.1722,28765,4794,0,,100,-,,,,,,,,,,,C6-5,,,,,"227 46th St
New York, NY 10036
(40.7592644006001, -73.98669021947433)"
247 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,2006,,1,820000,03/12/2004,N,,0.1148,5000,5000,0,,100,-,,,,,,,,,,,C6-4,,,2008 Tax @ $61.11/sf,2008 Tax @ $61.11/sf,"247 46th St
New York, NY 10036
(40.759169981512386, -73.98640276810715)"
252 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,,,N,,0.0367,5319,1329,0,,100,-,,,,,,,,,,,C6-5,,,2010 Tax @ $5.57/sf; 2010 Est Ops @ $7.21/sf,2010 Tax @ $5.57/sf; 2010 Est Ops @ $7.21/sf,"252 46th St
New York, NY 10036
(40.759453258226245, -73.98713088726868)"
256-262 W 46th St,,Show Biz Parking,Times Square,Midtown,Manhattan,Retail,,Existing,,,,1166620,10/14/2005,N,,0.2399,5808,,0,,0,-,,,,,,,,,,,"C65, New York",90,,,,"256 262 W 46th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
300 W 46th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1890,,5,,,N,,0.186,29670,4772,0,,100,-,,,,,,,,,,,C6-4,,,2011 Tax @ $4.05/sf; 2011 Est Ops @ $11.23/sf,2011 Tax @ $4.05/sf; 2011 Est Ops @ $11.23/sf,"300 46th St
New York, NY 10036
(40.75980677379133, -73.98803431257573)"
303-305 W 46th St,Parking Lot,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,1,11000000,08/16/2003,N,,0.11,4060,4060,0,,100,-,,,,,,,,,,,C6-4 (G6),,,2010 Tax @ $9.64/sf; 2010 Est Ops @ $2.96/sf,2010 Tax @ $9.64/sf; 2010 Est Ops @ $2.96/sf,"303 305 W 46th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
307-311 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,,,1,15813790,08/16/2003,N,,0.14,5280,5281,0,,100,-,,,,,,,,,,,R8 (G6),,,2010 Tax @ $10.41/sf; 2010 Est Ops @ $1.98/sf,2010 Tax @ $10.41/sf; 2010 Est Ops @ $1.98/sf,"307 311 W 46th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
315 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,3,3750000,11/05/2002,N,,0.046,3539,1180,0,,100,-,,,,,,,,,,,R8 (K4),,,2010 Tax @ $11.81/sf; 2010 Est Ops @ $11.59/sf,2010 Tax @ $11.81/sf; 2010 Est Ops @ $11.59/sf,"315 46th St
New York, NY 10036
(40.760145736188804, -73.98877664658232)"
318-320 W 46th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1928,,6,,,N,,0.101,24308,4051,0,,100,-,,,,,,,,,,,R8,,,2008 Tax @ $4.28/sf,2008 Tax @ $4.28/sf,"318 320 W 46th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
323-325 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,,,4,,,N,,,8796,1709,0,,100,-,,,,,,,,,,,,,,,,"323 325 W 46th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
334-338 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,,,N,,0.2537,15576,3894,0,,100,-,,,,,,,,,,,R8,,,2008 Tax @ $3.43/sf,2008 Tax @ $3.43/sf,"334 338 W 46th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
343 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1915,,3,3600000,09/17/2003,N,,0.0436,4832,1611,0,,100,-,,,,,,,,,,"Mixed Use, Restaurant",R8/C1-5,,,2008 Tax @ $7.32/sf,2008 Tax @ $7.32/sf,"343 46th St
New York, NY 10036
(40.76048747855998, -73.98957704318838)"
344 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,3,2000000,09/19/2000,N,,0.0461,3464,1154,0,,100,-,,,,,,,,,,Street parking only,"R8,New York,(K4)",,,2010 Tax @ $12.27/sf; 2010 Est Ops @ $16.24/sf,2010 Tax @ $12.27/sf; 2010 Est Ops @ $16.24/sf,"344 46th St
New York, NY 10036
(40.76047848533966, -73.98956804996806)"
346-348 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,1986,4,5000000,03/22/2003,N,,0.082,8750,1750,0,,100,-,,,,,,,,,,,R8/C1-5 (C7),,,2009 Tax @ $18.84/sf,2009 Tax @ $18.84/sf,"346 348 W 46th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
350 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,3,563500,08/12/1992,N,,0.036,2791,930,0,,100,-,,,,,,,,,,,"R8, New York",,,2008 Tax @ $11.50/sf,2008 Tax @ $11.50/sf,"350 46th St
New York, NY 10036
(40.76055043110199, -73.98972992793335)"
353 W 46th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1910,,4,2000000,11/29/1997,N,,0.0436,4043,1025,0,,100,-,,,,,,,,,,,"R-8, New York",,,2010 Tax @ $6.09/sf; 2010 Est Ops @ $10.39/sf,2010 Tax @ $6.09/sf; 2010 Est Ops @ $10.39/sf,"353 46th St
New York, NY 10036
(40.760622376864376, -73.98989180589865)"
355-365 W 46th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1920,,4,,,N,,0.0459,8000,2000,1,,100,-,,,,,,,,,,,R8,,,2001 Tax @ $3.42/sf; 2001 Ops @ $4.45/sf,2001 Tax @ $3.42/sf; 2001 Ops @ $4.45/sf,"355 365 W 46th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
362 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,3,,,N,,0.04,10412,3470,0,,100,-,,,,,,,,,,,R8,,,,,"362 46th St
New York, NY 10036
(40.76072130228761, -73.99011663640596)"
365-367 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1899,,4,6450000,04/16/2002,N,,0.076,10164,3322,0,,100,-,,,,,,,,,,,"R8, New York, K9",,,2009 Tax @ $7.02/sf,2009 Tax @ $7.02/sf,"365 367 W 46th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
366 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,2002,5,3700000,05/11/2006,N,,0.0386,3200,1600,0,,100,-,,,,,,,,,,"Mezzanine, Signage, Street parking only",C1-5/R-8,,,2010 Tax @ $7.50/sf; 2010 Ops @ $12.81/sf,2010 Tax @ $7.50/sf; 2010 Ops @ $12.81/sf,"366 46th St
New York, NY 10036
(40.760766268389034, -73.99022455504945)"
368 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,,,4,,,N,,,3400,850,0,,100,-,,,,,,,,,,,,,,1995 Tax @ $2.57/sf; 1995 Ops @ $16.06/sf,1995 Tax @ $2.57/sf; 1995 Ops @ $16.06/sf,"368 46th St
New York, NY 10036
(40.760784254829616, -73.99027851437125)"
370-372 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,,,N,,0.0248,10233,2558,0,,94.14,30,,,600,0,600,0,600,600,600,,R8,,,2008 Tax @ $2.16/sf,2008 Tax @ $2.16/sf,"370 372 W 46th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
373 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,,,N,,0.0231,2880,720,0,,100,-,,,,,,,,,,,R8,,,2010 Tax @ $4.08/sf; 2010 Est Ops @ $8.68/sf,2010 Tax @ $4.08/sf; 2010 Est Ops @ $8.68/sf,"373 46th St
New York, NY 10036
(40.76084720737168, -73.99042240589591)"
165 W 47th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1909,,4,,,N,,0.0557,8000,2000,0,,100,-,,,,,,,,,,,C6-7T,,,2008 Tax @ $83.06/sf,2008 Tax @ $83.06/sf,"165 47th St
New York, NY 10036
(40.75905755653338, -73.98424406355463)"
226 W 47th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1923,,10,,,N,,0.0735,27500,3125,2,,0,-,,,,,,,,,,Property Manager on Site,C6-7.5,,,2008 Tax @ $11.37/sf,2008 Tax @ $11.37/sf,"226 47th St
New York, NY 10036
(40.75965311672302, -73.98574317354236)"
254 W 47th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1925,,5,7500000,01/23/2002,N,,0.058,10750,2150,1,,100,-,,,,,,,,,,,"C6-5, New York, L8",,,2010 Tax @ $5.24/sf; 2010 Est Ops @ $9.77/sf,2010 Tax @ $5.24/sf; 2010 Est Ops @ $9.77/sf,"254 47th St
New York, NY 10036
(40.76004681076563, -73.98662726693226)"
257-259 W 47th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1930,,4,1208500,02/01/1994,N,,0.125,20072,5307,1,,100,-,,,,,,,,,,,C6-5,160,,2009 Tax @ $4.88/sf,2009 Tax @ $4.88/sf,"257 259 W 47th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
