PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
After-School Programs,High School,Intermediate School 27 - Anning S. Prall,Staten Island,"Sports and Arts In Schools Foundation, Inc.",347 417.8135,High School,"11 Clove Lake Place
Staten Island, NEW YORK 10310
(40.62819560442818, -74.11703328220538)"
After-School Programs,High School,Mullaly Academy ,Bronx,Supportive Childrens Advocacy Network (SCAN),212.683.2522,High School,"40 164th Street
Bronx, NEW YORK 10450
(40.830483836307955, -73.92378892578503)"
After-School Programs,High School,Middle School 203,Bronx,"East Side House, Inc.",718.665.5250,High School,"339 Morris Avenue
Bronx, NEW YORK 10451
(40.813386726364335, -73.92553701094046)"
After-School Programs,High School,Highbridge Community Life Center AfterSchool and Summer Program ,Bronx,Highbridge Community Life Center,718.681.2222,High School,"1248 Nelson Avenue
Bronx, NEW YORK 10452
(40.83872461597058, -73.92463441589643)"
After-School Programs,High School,New Settlement Apartments,Bronx,New Settlement Apartments,718.716.8000,High School,"1512 Townsend Avenue
Bronx, NEW YORK 10452
(40.842289963686326, -73.9150263058931)"
After-School Programs,High School,Elemetary School 55,Bronx,Bronx Arts Ensemble,718 601.7399,High School,"450 St Pauls Place
Bronx, NEW YORK 10456
(40.836276563944345, -73.90461113077222)"
After-School Programs,High School,Bronx International H.S.,Bronx,Bronx Arts Ensemble,718.601.7399,High School,"1100 Boston Road
Bronx, NEW YORK 10456
(40.82743805805522, -73.904676763458)"
After-School Programs,High School,Intermediate School 399,Bronx,Bronx Arts Ensemble,718.601.7399,High School,"120 184 Street
Bronx, NEW YORK 10453
(40.859718306516946, -73.9001023348563)"
After-School Programs,High School,Junior High School 117 - Joseph H. Wade School,Bronx,Community Association of Progressive Dominicans,212.781.5500,High School,"1865 Morris Avenue
Bronx, NEW YORK 10453
(40.84854841840716, -73.90843506819625)"
After-School Programs,High School,Career Development Institute,Bronx,Federation Employment & Guidance Services (FEGS),212.366.8401,High School,"412 147th Street
Bronx, NEW YORK 10455
(40.81448730256519, -73.91817521800282)"
After-School Programs,High School,MS 298,Bronx,"Urban Youth Alliance International, Inc.",718.402.6872,High School,"778 Forest Avenue
Bronx, NEW YORK 10454
(40.81888494686362, -73.90589968772917)"
After-School Programs,High School,Mott Hall Bronx H.S.,Bronx,South Bronx Overall Economic Development Corp.,718.585.2600,High School,"1595 Bathgate Avenue
Bronx, NEW YORK 10457
(40.83963958408137, -73.9011304410102)"
After-School Programs,High School,"Citizens Advice Bureau, Inc.",Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,High School,"632 Southern Boulevard
Bronx, NEW YORK 10455
(40.812893537386145, -73.90133270321454)"
After-School Programs,High School,"Mid Bronx Community Preservation Coalition, Inc.",Bronx,"Mid Bronx Community Preservation Coalition, Inc.",718.590.0655,High School,"489 St Pauls Place
Bronx, NEW YORK 10456
(40.836119255150884, -73.90381884847041)"
After-School Programs,High School,Citizens Advice Bureau / Girls Club of New York,Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,High School,"1130 Grand
Bronx, NEW YORK 10456
(40.8316941436386, -73.9160410469591)"
After-School Programs,High School,"Citizens Advice Bureau, Inc.",Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,High School,"236 Tremont Avenue
Bronx, NEW YORK 10457
(40.8488976439402, -73.90498685825524)"
After-School Programs,High School,Community Association of Progressive Dominicans,Bronx,Community Association of Progressive Dominicans,212.781.5500,High School,"1865 Morris Avenue
Bronx, NEW YORK 10453
(40.84854841840716, -73.90843506819625)"
After-School Programs,High School,Columbus Clubhouse ,Bronx,Madison Square Boys & Girls Club,212.760.9600,High School,"543 189 Street
Bronx, NEW YORK 10458
(40.858390156400105, -73.88786591803597)"
After-School Programs,High School,Presbyterian Senior Services,Bronx,Presbyterian Senior Services,212.874.6633,High School,"951 Prospect Avenue
Bronx, NEW YORK 10459
(40.82215857521681, -73.90061538899755)"
After-School Programs,High School,Hoe Avenue Clubhouse ,Bronx,Madison Square Boys & Girls Club,212.760.9600,High School,"1665 Hoe Avenue
Bronx, NEW YORK 10460
(40.836095735535444, -73.88743624188753)"
After-School Programs,High School,"Bronx River Art Center, Inc.",Bronx,"Bronx River Art Center, Inc.",718.589.5819,High School,"1087 Tremont Avenue
Bronx, NEW YORK 10460
(40.84006972385026, -73.87771805339278)"
After-School Programs,High School,Phipps West Farms Career Center,Bronx,Phipps Community Development,212.243.9090,High School,"1030 178th Street
Bronx, NEW YORK 10460
(40.84134504810141, -73.88030387915799)"
After-School Programs,High School,Santa Maria School ,Bronx,Reading Excellence and Discovery (READ) Foundation,212.849.6840,High School,"1510 Zerega Avenue
Bronx, NEW YORK 10462
(40.83827636107804, -73.8488083827675)"
After-School Programs,High School,,,,,High School,
After-School Programs,High School,St Raymond Grammar School Annex,Bronx,St. Raymond Community Outreach,718.824.0353,High School,"1725 Castle Hill Avenue
Bronx, NEW YORK 10462
(40.84102956902165, -73.85312184980575)"
After-School Programs,High School,St. Dominic's School ,Bronx,Reading Excellence and Discovery (READ) Foundation,212.849.6840,High School,"1684 White Plains Road
Bronx, NEW YORK 10462
(40.84352928468312, -73.8654751708726)"
After-School Programs,High School,"Unity Neighborhood Center, Inc.",Bronx,"Unity Neighborhood Center, Inc.",718.994.8400,High School,"3410 DeReiner Avenue
Bronx, NEW YORK 10475
(40.87960219215409, -73.83666318298415)"
After-School Programs,High School,City Parks Foundation,Bronx,City Parks Foundation,212.360.1399,High School,"3225 Reservior Oval
Bronx, NEW YORK 10467
(40.87799269727829, -73.8790952539838)"
After-School Programs,High School,"Mosholu Montefiore Community Center, Inc.",Bronx,"Mosholu Montefiore Community Center, Inc.",718.882.4000,High School,"3512 Dekalb Avenue
Bronx, NEW YORK 10467
(40.88259098776513, -73.88011465611547)"
After-School Programs,High School,"The Learning Tree Cultural Center, Inc.",Bronx,"The Learning Tree Cultural Center, Inc.",718.944.0958,High School,"801 Bartholdi Street
Bronx, NEW YORK 10467
(40.873859324545734, -73.86280526090314)"
After-School Programs,High School,Public School 89 ,Bronx,Reading Excellence and Discovery (READ) Foundation,212.849.6840,High School,"980 Mace Avenue
Bronx, NEW YORK 10469
(40.86303713678554, -73.85940621398156)"
After-School Programs,High School,PS 119 ,Bronx,YMCA of Greater New York/Corporate,212.792.9736,High School,"1075 Pugsley Avenue
Bronx, NEW YORK 10472
(40.82849055646956, -73.85659199905312)"
After-School Programs,High School,Wildcat High School,Bronx,Wildcat Service Corporation,718 620.0748,High School,"1231 Lafayette Avenue
Bronx, NEW YORK 10474
(40.81655388322442, -73.89020247936504)"
After-School Programs,High School,"Jacob A. Riis Neighborhood Settlement, Inc. ",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718.784.7447,High School,"10 25 41st Avenue
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
After-School Programs,High School,"Variety Boys & Girls Club of Queens, Inc.",Queens,"Variety Boys & Girls Club of Queens, Inc.",718.728.0946,High School,"21 12 30th Road
Queens, NEW YORK 11102
(40.77152402451418, -73.92643545073543)"
After-School Programs,High School,Public School 122 - Mamie Fay Elementary School ,Queens,"Sports and Arts In Schools Foundation, Inc.",718.417.8135,High School,"21 21 Ditmars Boulevard
Queens, NEW YORK 11105
(40.780092072491186, -73.90960650023976)"
After-School Programs,High School,Junior High School 204 - Oliver Wendell Holmes Middle,Queens,New York Junior Tennis League,718.417.8135,High School,"36 41 28th Street
Queens, NEW YORK 11106
(40.761699790013324, -73.9316632529567)"
After-School Programs,High School,Intermediate School 96 - Seth Low School ,Brooklyn,Federation of Italian-American Organizations of Brooklyn,718.259.2829,High School,"99 Avenue
Brooklyn, NEW YORK 11204
(40.619055848049015, -73.98479859887618)"
After-School Programs,High School,Public School 247,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,718.236.5266,High School,"7000 21st Avenue
Brooklyn, NEW YORK 11204
(40.612350730896566, -73.98666403131371)"
After-School Programs,High School,SCO Family of Services,Brooklyn,SCO Family of Services,718.455.1166,High School,"75 Lewis Avenue
Brooklyn, NEW YORK 11206
(40.69500799941421, -73.93742230252869)"
After-School Programs,High School,St. Stephen Outreach Inc.,Brooklyn,St. Stephen Outreach Inc.,718.384.8854,High School,"874 Myrtle Ave
Brooklyn, NEW YORK 11206
(40.69557673055322, -73.94723933262884)"
After-School Programs,High School,College S.T.E.P.S.,Brooklyn,Cypress Hills Local Development Corporation,718.647.2800,High School,"2836 Fulton Street
Brooklyn, NEW YORK 11207
(40.67826754460563, -73.88993426086328)"
After-School Programs,High School,Unity Fiorentino Breukelen,Brooklyn,"Groundwork Inc,",718.346.2200,High School,"330 Alabama Avenue
Brooklyn, NEW YORK 11207
(40.668138271519794, -73.89786239243736)"
After-School Programs,High School,Intermediate School 292- Margaret S.  Douglas School,Brooklyn,"Groundwork Inc,",718 346. 2200,High School,"301 Vermont Street
Brooklyn, NEW YORK 11207
(40.67232012790976, -73.89398085584912)"
After-School Programs,High School,Public School 260 - Breuckelen Elementary School,Brooklyn,"Groundwork Inc,",7118 346.2200,High School,"875 Williams Avenue
Brooklyn, NEW YORK 11207
(40.65401673691302, -73.8948296599744)"
After-School Programs,High School,,,,,High School,
After-School Programs,High School,Schwartz Center ,Brooklyn,"Police Athletic League, Inc.",212.477.9450,High School,"127 Pennsylvania Avenue
Brooklyn, NEW YORK 11207
(40.67474021180885, -73.89657635302484)"
After-School Programs,High School,Intermediate School 171 - Abraham Lincoln School,Brooklyn,Cypress Hills Local Development Corporation,718.647.2800,High School,"528 Ridgewood Avenue
Brooklyn, NEW YORK 11208
(40.6861530810444, -73.86966791838911)"
After-School Programs,High School,Bnos Yakov Educational Center,Brooklyn,Bnos Yakov Educational Center,718.963.1212,High School,"62 Harrison Avenue
Brooklyn, NEW YORK 11211
(40.70509777565483, -73.95271360115831)"
After-School Programs,High School,Transfiguration School,Brooklyn,"Southside Community Mission, Inc.",718.782.8181,High School,"250 Hooper Street
Brooklyn, NEW YORK 11211
(40.70581785170525, -73.9556640768342)"
After-School Programs,High School,K577 Conselyea Preparatory School,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",718.786.7110,High School,"320 Manhattan Avenue
Brooklyn, NEW YORK 11211
(40.71463833332369, -73.94607320762356)"
After-School Programs,High School,St. Nicholas Neighborhood Preservation Corporation ,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,718.388.5454,High School,"306 Union Avenue
Brooklyn, NEW YORK 11211
(40.709531299983055, -73.95084580203302)"
After-School Programs,High School,Public School / Intermediate School 298 ,Brooklyn,"Church Avenue Merchants Block Association, Inc.",718.287.2600,High School,"85 Watkins Street
Brooklyn, NEW YORK 11212
(40.67042776691945, -73.90800436590118)"
After-School Programs,High School,Ralph Lincoln Service Center ,Brooklyn,"Ralph Lincoln Service Center, Inc.",718.604.1358,High School,"261 Buffalo Avenue
Brooklyn, NEW YORK 11213
(40.67003864096985, -73.92540014432034)"
After-School Programs,High School,P.S. 12 ,Brooklyn,"Ralph Lincoln Service Center, Inc.",718.604.1358,High School,"430 Howard Avenue
Brooklyn, NEW YORK 11213
(40.67307365825991, -73.91963048073077)"
After-School Programs,High School,Secondary School of Law Research & Journalism ,Brooklyn,"Project Reach Youth, Inc.",718.768.0778,High School,"237 7th Avenue
Brooklyn, NEW YORK 11215
(40.669623280409056, -73.97924096910276)"
After-School Programs,High School,Junior High School 258 (K) - David Ruggles School,Brooklyn,"Vannguard Urban Improvement Association, Inc.",718.453.3330,High School,"141 Macon Street
Brooklyn, NEW YORK 11216
(40.681569834987634, -73.94559613967623)"
After-School Programs,High School,Public School 94 - Henry Longfellow Elementary School,Brooklyn,Brooklyn Chinese American Association,718.438.9312,High School,"5010 6th Avenue
Brooklyn, NEW YORK 11220
(40.64372817395559, -74.0082060957207)"
After-School Programs,High School,Public School 314 - Luis Munoz Marin Elementary School,Brooklyn,Turning Point,718.439.0077,High School,"330 59th Street
Brooklyn, NEW YORK 11220
(40.64220161479856, -74.0191758017247)"
After-School Programs,High School,Turning Point,Brooklyn,Turning Point,718 439.0077,High School,"5220 Fourth Avenue
Brooklyn, NEW YORK 11220
(40.645290640072034, -74.01395648948358)"
After-School Programs,High School,Educational Center,Brooklyn,Turning Point,718.439.0077,High School,"5013 Seventh Avenue
Brooklyn, NEW YORK 11220
(40.64235365356344, -74.00596380753073)"
After-School Programs,High School,Kaplan Center for Community Services Annex ,Brooklyn,"Jewish Board of Family and Children's Services, Inc.",212.423.6200,High School,
After-School Programs,High School,I.S 228 ,Brooklyn,New York Junior Tennis League,718.417.8135,High School,"228 Avenue
Brooklyn, NEW YORK 11223
(40.596939623165156, -73.97331147204676)"
After-School Programs,High School,Associated Beth Rivkah Schools (Elementary/Middle School),Brooklyn,"Associated Beth Rivkah Schools, Inc",718.735.0400,High School,"470 Lefferts Avenue
Brooklyn, NEW YORK 11225
(40.66263900490517, -73.94564720102588)"
After-School Programs,High School,Public School 161,Brooklyn,Caribbean American Sports & Cultural Youth Movement,718.774.7977,High School,"330 Crown Street
Brooklyn, NEW YORK 11225
(40.66615564566118, -73.94885261044026)"
After-School Programs,High School,Prospect Heights High School - H.S. 440,Brooklyn,Research Foundation of CUNY,718.951.5015,High School,"883 Classon Avenue
Brooklyn, NEW YORK 11225
(40.67045865769921, -73.96162827573441)"
After-School Programs,High School,Erasmus High School,Brooklyn,Research Foundation of CUNY,718.951.5015,High School,"911 Flatbush Avenue
Brooklyn, NEW YORK 11226
(40.649532936565414, -73.95845755993555)"
After-School Programs,High School,Oasis Community Corporation,Brooklyn,Oasis Community Corporation,718.596.4900,High School,"180 Chauncey Street
Brooklyn, NEW YORK 11233
(40.68059860511169, -73.92749843320017)"
After-School Programs,High School,"The East New York Learning Center, Inc",Brooklyn,"The East New York Learning Center, Inc",718.345.4775,High School,"1495 Herkimer Street
Brooklyn, NEW YORK 11233
(40.67716592828484, -73.90400913232205)"
After-School Programs,High School,Shorefront YM-YWHA,Brooklyn,Shorefront YM-YWHA,718.646.1444,High School,"3300 Coney Island Avenue
Brooklyn, NEW YORK 11235
(40.575793969703795, -73.95950745079742)"
After-School Programs,High School,"Adams & White, PC",Brooklyn,Bronx Arts Ensemble,718.601.7399,High School,"9318 Avenue
Brooklyn, NEW YORK 11236
(40.64002149379695, -73.90112193992553)"
After-School Programs,High School,Intermediate School 211 - John Wilson School ,Brooklyn,New York Junior Tennis League,718.786.7110,High School,"1001 100th Street
Brooklyn, NEW YORK 11236
(40.64348164485336, -73.89642371322941)"
After-School Programs,High School,Make the Road by Walking,Brooklyn,Make the Road by Walking,718.418.7690,High School,"301 Grove Street
Brooklyn, NEW YORK 11237
(40.698428502523264, -73.91562347499381)"
After-School Programs,High School,Bushwick High School - H.S. ,Brooklyn,Research Foundation of CUNY,347.417.8135,High School,"480 400 Irving Avenue
Brooklyn, NEW YORK 11237
(40.704095739826585, -73.92099423399668)"
After-School Programs,High School,Martha Udell Early Childhood Academy,Brooklyn,Faith Hope and Charity,718.649.8610,High School,"505 St Marks Avenue
Brooklyn, NEW YORK 11238
(40.67626428747749, -73.95745326633335)"
After-School Programs,High School,The Young Womens Christian Association of Queens (YWCA) ,Queens,YWCA of Queens,718.353.4553,High School,"42 07
Queens, NEW YORK 11355
(40.7512997969481, -73.82147854789662)"
After-School Programs,High School,P.S. 92,Queens,La Asociaci�n Ben�fica Cultural Father Billini,718.651.8427,High School,"99 01 34th Ave
Queens, NEW YORK 11368
(40.749678220373596, -73.85304068857687)"
After-School Programs,High School,Intermediate School 61,Queens,New York Junior Tennis League,347 417.8135,High School,"98 50 50th Avenue
Queens, NEW YORK 11368
(40.749678220373596, -73.85304068857687)"
After-School Programs,High School,"Elmcor Youth and Adult Activities, Inc.",Queens,"Elmcor Youth and Adult Activities, Inc.",718.651.0096,High School,"33 16 108th Street
Queens, NEW YORK 11369
(40.76341327370369, -73.8723788986672)"
After-School Programs,High School,Asian Outreach,Queens,Queens Child Guidance Center,718.651.7770,High School,"87 08 Justice Avenue
Queens, NEW YORK 11373
(40.73871040256307, -73.87835115518163)"
After-School Programs,High School,Intermediate School 5 - Walter H. Crowley School,Queens,"Sunnyside Community Service, Inc.",718.784.6173,High School,"50 40 Jacobus Street
Queens, NEW YORK 11373
(40.73871040256307, -73.87835115518163)"
After-School Programs,High School,St. Sebastians Parochial School,Queens,"Woodside On The Move, Inc.",718.476.8449,High School,"39 76 58th Street
Queens, NEW YORK 11377
(40.74519376448069, -73.9048471440804)"
After-School Programs,High School,P.S 88,Queens,"Greater Ridgewood Youth Council, Inc.",718.456.5437,High School,"60 85 Catalpa Avenue
Queens, NEW YORK 11385
(40.70122489161548, -73.88334858436963)"
After-School Programs,High School,G.R.Y.C. Headquarters,Queens,"Greater Ridgewood Youth Council, Inc.",718.456.5437,High School,"62 04 Myrtle Avenue
Queens, NEW YORK 11385
(40.70122489161548, -73.88334858436963)"
After-School Programs,High School,Intermediate School 238 - Susan B. Anthony School,Queens,New York Junior Tennis League,347.417.8135,High School,"88 15 182nd Street
Queens, NEW YORK 11423
(40.71722229567246, -73.7671414999802)"
After-School Programs,High School,New Visions Abstinence Education Program,Queens,"Catholic Charities Neighborhood Services, Inc.",718.726.9790,High School,"161 06 89th Avenue
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
After-School Programs,High School,Southern Queens Park Association,Queens,Southern Queens Park Association,718.276.4630,High School,"177th Street
Queens, NEW YORK 11434
(40.66403098983331, -73.77064992208444)"
After-School Programs,High School,The South Jamacia Child Guidance Clinic ,Queens,Queens Child Guidance Center,718.651.7770,High School,"114 14 Sutphin Boulevard
Queens, NEW YORK 11436
(40.67571820912809, -73.79646501494847)"
After-School Programs,High School,Intermediate School 43,Queens,Federation Employment & Guidance Services (FEGS),718.471.7875,High School,"160 Beach 29th Street
Queens, NEW YORK 11691
(40.594515128003, -73.76182654029463)"
After-School Programs,High School,"Jewish Services Coalition, Inc",Queens,"Jewish Services Coalition, Inc",718.327.6060,High School,"1525 Central Avenue
Queens, NEW YORK 11691
(40.60566235698948, -73.75132461159502)"
After-School Programs,High School,Children's Arts & Science Workshops,New York,"Children's Arts & Science Workshops, Inc.                    ",212.923.7766,High School,"4271 Broadway
New York, NEW YORK 10032
(40.84542028778276, -73.93872543942075)"
After-School Programs,High School,Highbridge Community Life Center                            ,Bronx,Highbridge Community Life Center                            ,718.293.6103,High School,"1248 Nelson Avenue
Bronx, NEW YORK 10452
(40.83872461597058, -73.92463441589643)"
After-School Programs,High School,Make the Road New York -Brooklyn,Brooklyn,Make the Road New York,718.418.7690 ,High School,"301 Grove Street
Brooklyn, NEW YORK 11237
(40.698428502523264, -73.91562347499381)"
After-School Programs,High School,Southside Community Mission,Brooklyn,"Southside Community Mission, Inc.                           ",718.541.9555,High School,"280 Marcy Avenue
Brooklyn, NEW YORK 11211
(40.70499449388848, -73.95589166067984)"
After-School Programs,High School,Asian Outreach Clinic,Queens,The Child Center of NY,718.458.4243,High School,"87 08 Justice Avenue
Queens, NEW YORK 11373
(40.73871040256307, -73.87835115518163)"
After-School Programs,High School,South Jamaica Outreach Clinic,Queens,The Child Center of NY,717.659.4000,High School,"115 15 Sutphin Boulevard
Queens, NEW YORK 11436
(40.67571820912809, -73.79646501494847)"
After-School Programs,High School,YWCA of Queens,Queens,YWCA of Queens                                              ,718.353.4553,,"42 07 Parsons Boulevard
Queens, NEW YORK 11355
(40.7512997969481, -73.82147854789662)"
After-School Programs,High School,The Children's Aid Society,New York,The Children's Aid Society,212.865.6337,,"885 Columbus Avenue
New York, NEW YORK 10025
(40.79771334863237, -73.963944750805)"
After-School Programs,High School,ECDO Community Partnership Center ,New York,Ecumenical Community Development Organization,212.678.0037,,"413 125th Street
New York, NEW YORK 10027
(40.811640915586565, -73.95464737557035)"
After-School Programs,High School,"Boys & Girls Harbor, Inc",New York,"Boys & Girls Harbor, Inc",212.427.2244,,"1 104th Street
New York, NEW YORK 10029
(40.79298338723134, -73.95200031741886)"
After-School Programs,High School,Harlem RBI (Reviving Baseball in Inner Cities),New York,Harlem RBI (Reviving Baseball in Inner Cities),212.722.1608,,"333 100 Street
New York, NEW YORK 10029
(40.7864951475855, -73.94439880643534)"
After-School Programs,High School,"STEPS, Inc ",New York,"Support For Training and Educational Services, Inc.",212.831.9080,,"1325 5th Avenue
New York, NEW YORK 10029
(40.79757895315326, -73.94866453390082)"
After-School Programs,High School,Police Athletic League PAL\Harlem Center ,New York,"Police Athletic League, Inc.",212 665-8699,,"441 Manhattan Avenue
New York, NEW YORK 10026
(40.80669464442542, -73.95561864336202)"
After-School Programs,High School,Lt. Joseph P. Kennedy Jr. Memorial Community Center,New York,"Catholic Charities Community Service, Archdiocese of N.Y.",212.371.1000,,"34 134th Street
New York, NEW YORK 10037
(40.812765068123156, -73.93981755530723)"
After-School Programs,High School,"Mid-Bronx Council Services, Inc.",Bronx,"Mid-Bronx Council Services, Inc.",718.588.8200,,"1125 Grand
Bronx, NEW YORK 10452
(40.83772426336412, -73.9233322114124)"
After-School Programs,High School,Woodycrest Center,Bronx,Woodycrest Center For Human Development,718.992.2178,,"153 165th Street
Bronx, NEW YORK 10452
(40.83108457687954, -73.92085753444195)"
After-School Programs,High School,Bronx Community Resource Center,Bronx,Covenant House/Under 21,718 294. 7182,,"81 83C Featherbed Lane
Bronx, NEW YORK 10452
(40.83772426336412, -73.9233322114124)"
After-School Programs,High School,Project Ready Headquarters,Bronx,Mount Hope Housing Company,718 466.3600,,"55 175th Street
Bronx, NEW YORK 10453
(40.847312989377464, -73.91136475443619)"
After-School Programs,High School,"Claremont Neighborhood Centers, Inc.",Bronx,"Claremont Neighborhood Centers, Inc.",718.588.1000,,"489 169th Street
Bronx, NEW YORK 10456
(40.83300943887456, -73.90573521731622)"
After-School Programs,High School,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",Bronx,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",718.542.2727,,"751 163rd Street
Bronx, NEW YORK 10456
(40.82293544110214, -73.90393806191068)"
After-School Programs,High School,William H. Taft High School - H.S. 410 ,Bronx,Woodycrest Center For Human Development,718.992.2178,,"240 172nd Street
Bronx, NEW YORK 10457
(40.84038797720987, -73.9108816444482)"
After-School Programs,High School,Police Athletic League PAL-Webster Center ,Bronx,"Police Athletic League, Inc.",212.477.9450,,"2255 Webster Avenue
Bronx, NEW YORK 10457
(40.85563091671904, -73.89602321003798)"
After-School Programs,High School,Rafael Academy School ,Bronx,"Simpson Street Development Association, Inc.",718.589.1510,,"977 Fox Street
Bronx, NEW YORK 10459
(40.822428225918, -73.89392410102988)"
After-School Programs,High School,Youth Employment Program ,Bronx,"Mosholu Montefiore Community Center, Inc.",718.652.1471,,"3400 Reservoir Oval
Bronx, NEW YORK 10467
(40.87877505492227, -73.87563356258636)"
After-School Programs,High School,"Riverdale Neighborhood House, Inc.",Bronx,"Riverdale Neighborhood House, Inc.",718.549.8100,,"5521 Mosholu Avenue
Bronx, NEW YORK 10471
(40.90296572432813, -73.90384240450045)"
After-School Programs,High School,"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718.784.7447,,"10 25 41st Avenue
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
After-School Programs,High School,Intermediate School 232 - WInthrop School,Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,,"905 Winthrop Street
Brooklyn, NEW YORK 11203
(40.65845142217417, -73.92913135988232)"
After-School Programs,High School,Samuel J. Tilden High School - H.S. 415,Brooklyn,"Church Avenue Merchants Block Association, Inc.",718.629.4523,,"5800 Tilden Avenue
Brooklyn, NEW YORK 11203
(40.648631368632266, -73.92228549725635)"
