"Borough, Block and Lot #",Facility Address,Natural Gas Utility (Con Edison or National Grid,Building Manager,Owner,Owner Address,DEP Boiler Application #,Deadline for phasing out #6 oil (i.e. data of next DEP permit renewal after July 1 2012),Boiler Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Estimated retirement date of boiler (assuming 35 year average useful life),Is boiler dual fuel capable?,Age range of boiler,Burner Model,Primary Fuel,Total Estimated Cosumption - High Estimate (Gallons) ,Total Estimated Cosumption - Low Estimate (Gallons) ,Total Estimated Cosumption - High Estimate (MMBTUs) ,Total Estimated Cosumption - Low Estimate  (MMBTUs) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,City Council District,Total area of buildings on lot,Number of buildings on property (tax lot),Number of floors,Number of residential units,Number of total units,Year constructed,Condominium housing?,Cooperative housing?
2036810001,"2001 STORY AVENUE
Bronx, NY 10473
(40.824675513051055, -73.85556465126794)",Con Edison,BOULEVARD MANOR INC,"BOULEVARD STORY, LLC","97 77 QUEENS BOULEVARD
REGO PARK, NY 11374
(40.72646491702238, -73.86148084756303)",CA231573M,7/6/05,FEDERAL FLW 463,3,14.7,1973,2010, ,36 - 40 year old,S T JOHNSON A53-H-400,#4,375584,262909,54460,38122,Yes,2021,Condominiums,18,421833,2,9,355,355,1973, , 
2036270040,"820 BOYNTON AVENUE
Bronx, NY 10473
(40.820116404127724, -73.87619412647015)",Con Edison,PRESTIGE MANAGEMENT INC.,LAFAYETTE MORRISON,"3924 TREMONT AVE
BRONX, NY 10456
(40.821281757097886, -73.8185974257523)",CA391092Y,7/6/05,FEDERAL FST-500,3,19.99,1992,2027, ,16 to 20 years old,I.C.I.DEG-210 (P),#6,374490,262143,56174,39321,Yes,2017,Office Buildings,18,256750,1,19,225,225,1962, ,YES
2032200037,"100 KINGSBRIDGE ROAD
Bronx, NY 10468
(40.86655665070593, -73.89550275927074)",Con Edison,THE JEWISH HOME & HOSPITAL,WEST ROAD NURSING HOM,"100 KINGSBRIDGE ROAD
BRONX, NY 10468
(40.86655665070593, -73.89550275927074)",CA119899M,7/7/05,EXISTING KEWANEE 7L291,1,21,1999,2034,DUAL FUEL,11 to 15 years old,NEW HEVE/I.C. DEG-210P,#6,373020,261114,55953,39167,Yes,2020,Condominiums,14,235297,1,12,0,1,1975, , 
2026100012,"530 169 STREET
Bronx, NY 10456
(40.83263791097771, -73.90483959391557)",Con Edison,TERRACE FULTON ASSOC,FORDHAM FULTON LLC,"530 169 STREET
BRONX, NY 10456
(40.83263791097771, -73.90483959391557)",CA271366X,7/7/05,FEDERAL FLR-4857,2,16.8,1966,2010, ,41 - 45 years old,S T JOHNSON A53-H-3M SIZE 500,#6,367920,257544,55188,38632,Yes,2020,Walk-Up Apartments,16,285056,1,17,321,322,1965, ,YES
2032200090,"2545 DR M L KING JR BOULEVARD
Bronx, NY 10468
(40.869693003729196, -73.89892699248668)",Con Edison,THE JEWISH HOME & HOSPITAL,WK NURSING HOME CORPO,"100 KINGSBRIDGE ROAD
BRONX, NY 10468
(40.86655665070593, -73.89550275927074)",CA118899H,7/7/05,KEWANEE 7L-291F,2,21,1999,2034,DUAL FUEL,11 to 15 years old,(NEW) HEVE/IND COMB.DEG-210 P,#6,365000,255500,54750,38325,Yes,2020,Educational Structures,14,173369,1,10,0,1,1971, , 
2039200029,"1801 ARCHER STREET
Bronx, NY 10460
(40.83751749436405, -73.86722211809419)",Con Edison,MATSIA PROPERTY CORP.,MATSIA PROPERTIES COR,"1601 BRONXDALE AVENUE
BRONX, NY 10462
(40.84351657306597, -73.85691921749257)",CA222187J,7/6/05,FEDERAL FST 100,1,4.2,1987,2022, ,21 to 26 years old,ICI DEG 42 P,#6,361356,252949,54203,37942,,,Elevator Apartments,18,34356,1,5,46,52,1927, , 
2046710051,"801 TILDEN STREET
Bronx, NY 10467
(40.876896153761976, -73.86159668357158)",Con Edison,801 TILDEN STREET CORP.,TILDEN TOWERS  II,"250 PARK AVE
NEW YORK, NY 10003
(40.738333453173844, -73.9878407889095)",CA007982R,7/5/05,KEWANEE 7L-289,2,16.94,1982,2017,DUAL FUEL,26 to 30 years old,HEV-E DEG 175-5  (I.C.I.),#6,354364,248055,53155,37208,Yes,2021,Elevator Apartments,12,318060,2,30,266,266,1971, ,YES
2059530038,"5700 ARLINGTON AVENUE
Bronx, NY 10471
(40.90648810489785, -73.90672785029895)",Con Edison,SKYVIEW OWNERS CORPC/O BLUE WOODS MGT. GROUP.,"GOLDSTICK,PATRICIA","5701 ARLINGTON AVENUE
RIVERDALE, NY 10471
(40.90647653354831, -73.90679875550259)",CA511786M,7/6/05,ROCKMILLS MP-400,2,16.8,1986,2021, ,21 to 26 years old,S T JOHNSON FD68CAHM 400,#6,350000,245000,52500,36750,Yes,2013,Walk-Up Apartments,11,404890,2,20,437,437,1961, ,YES
2025680068,"711 140 STREET
Bronx, NY 10454
(40.80635444956329, -73.91229009248678)",Con Edison,ROBERT SARDINA,JACKSON AVENUE DEVELO,"175 WALNUT AVENUE
BRONX, NY 10454
(40.80141852411647, -73.9099237496021)",CA292971R,7/4/05,TITUSVILLE SOH 103,1,4.48,1971,2010, ,36 - 40 year old,HEV-E-OIL AME - 6,#4,343075,240152,49746,34822,,,Loft Buildings,17,34800,2,5,0,6,1931, , 
2035670001,"2070 SEWARD AVENUE
Bronx, NY 10473
(40.820568656354716, -73.85250623408656)",Con Edison,JAMIE TOWERS ,JAMIE TOWERS HOUSING,"3485 TREMONT AVE
BRONX, NY 10465
(40.83151013263028, -73.82690649796429)",CA161593Z,7/7/05,CLEAVER BROOKS  CB 400 400,3,17.76,1993,2028, ,16 to 20 years old,CLEAVER BROOKS  CB 400 400,#6,328500,229950,49275,34492,Yes,2017,Walk-Up Apartments,18,598478,5,13,624,624,1966, ,YES
2036230001,"875 BOYNTON AVENUE
Bronx, NY 10473
(40.82123834375134, -73.87654080360605)",Con Edison,LAFAYETTE BOYNTON/M&E MGT,BOYNTON ACQUISITION C,"875 BOYNTON AVE
BRONX, NY 10473
(40.82123834375134, -73.87654080360605)",CA093494L,7/7/05,FEDERAL   FST-400,4,16.8,1994,2029, ,16 to 20 years old,ST JOHNSON  FD 68 CAHM SIZE 400,#4,328500,229950,47632,33343,Yes,2013,Walk-Up Apartments,17,1069698,4,19,968,968,1969, , 
2032490092,"2805 DR M L KING JR BOULEVARD
Bronx, NY 10468
(40.869693003729196, -73.89892699248668)",Con Edison,MEWS MANAGEMENT ASSOCIATES,"MORG-HITCH,    .","111 BROOK ST
SCARSDALE, NY 10583
(40.977925558804145, -73.80659198988673)",CA574486Z,7/6/05,FEDERAL FST 80,1,3.1,1986,2021, ,21 to 26 years old,I.C.I. MEG 34 D,#6,328500,229950,49275,34492,,,Walk-Up Apartments,14,45000,1,5,48,48,1926, , 
2036680001,"945 UNDERHILL AVENUE
Bronx, NY 10473
(40.82461882331404, -73.86089032634595)",Con Edison,LANGSAM PROPERTY SERV%NHP,UNDERHILL REALTY    .,"1920 NEW
YORK, NY 10116
(40.8110019996426, -73.95309800037239)",CA006297Y,7/7/05,FEDERAL FST 400,2,15.46,1997,2032,DUAL FUEL,11 to 15 years old,I.C. DEG-175 P,#6,317952,222566,47693,33385,Yes,2018,Office Buildings,18,490000,2,21,459,459,1965, , 
2059530240,"5900 ARLINGTON AVENUE
Bronx, NY 10471
(40.90770565572506, -73.90662103886359)",Con Edison,SKYVIEW OWNERS CORP.,SKYVIEW OWNERS CORP,"5701 ARLINGTON AVENUE
RIVERDALE, NY 10471
(40.90647653354831, -73.90679875550259)",CA511686P,7/6/05,ROCKMILLS MP-400,2,18.3,1986,2021, ,21 to 26 years old,ST JOHNSON FD 68 CAHM 400,#6,306600,214620,45990,32193,Yes,2013,Office Buildings,11,407920,1,20,437,437,1962, ,YES
2043440038,"2241 HOLLAND AVENUE
Bronx, NY 10467
(40.85859997533936, -73.86566734527067)",Con Edison,HOLLAND APT INC/HERON MGMT,HOLLAND APARTMENTS IN,"909 3 AVENUE
MANHATTAN, NY 10022
(40.75866185484051, -73.96870377888831)",CA343089R,7/4/05,FEDERAL FST 80,1,3.28,1989,2024, ,21 to 26 years old,ICI MEG 34 P,#6,281853,197297,42278,29595,,,Elevator Apartments,13,35986,1,6,48,48,1948, , 
2032510490,"20 MOSHOLU PARKWAY
Bronx, NY 10468
(40.88007941088719, -73.88590228397366)",Con Edison,"CUMMINGS,THOMAS",TRACEY TOWERS ASSOCS,"43 20 203 STREET
BAYSIDE, NY 11361
(40.76418884813688, -73.77232552860022)",CA009984J,7/6/05,"KEWANEE (,#3)7L291",1,21,1984,2019, ,26 to 30 years old,ST JOHNSON FD68 CAHM SIZE 500,#6,280000,196000,42000,29400,Yes,2021,Elevator Apartments,11,1074489,2,42,871,872,1975, ,YES
2036810001,"2001 STORY AVENUE
Bronx, NY 10473
(40.824675513051055, -73.85556465126794)",Con Edison,BLVD. STORY LLC DANA MGT. % STELLAR MGT.,"BOULEVARD STORY, LLC","156 WILLIAM STREET
OCEANSIDE, NY 11572
(40.633200775495425, -73.63736533034569)",CB602803M,7/6/05,ROCKMILLS   MP-300 (NEW),3,10.04,2003,2038,DUAL FUEL,5 to 10 years old,ICI   DEG-145P (NEW),#6,279882,195917,41982,29388,Yes,2021,Walk-Up Apartments,18,421833,2,9,355,355,1973, , 
2047220012,"3457 EASTCHESTER ROAD
Bronx, NY 10469
(40.877973827588555, -73.84691810236014)",Con Edison,LANGSAM PROPERTY,EASTCHESTER HEIGHTS L,"1230 PENNSYLVANIA
BROOKLYN, NY 11239
(40.650468611487966, -73.88474281984874)",CA356989P,7/6/05,ROCKMILLS MP300 SL,2,12.62,1989,2024, ,21 to 26 years old,HEVE DEG145P,#6,279225,195458,41884,29319,Yes,2022,Elevator Apartments,12,254000,1,6,326,326,1935, , 
2047120001,"3467 FISH AVENUE
Bronx, NY 10469
(40.87721762009429, -73.85061111286609)",Con Edison,OWNER/SUPERINTENDENT,EASTCHESTER HEIGHTS L,"1230 PENNSYLVIA
BROOKLYN, NY 11239
(40.650468611487966, -73.88474281984874)",CA357289Z,7/6/05,ROCKMILLS MP300,2,12.62,1989,2024, ,21 to 26 years old,HEVE DEG145P,#6,262800,183960,39420,27594,Yes,2022,Walk-Up Apartments,12,320157,1,4,360,360,1935, , 
2024350025,"1175 FINDLAY AVENUE
Bronx, NY 10456
(40.831863084754644, -73.91293414135353)",Con Edison,FINDLAY HOUSE INC.,FINDLAY HOUSE INC,"1175 FINDLAY AVE
N Y 10456
(40.831863084754644, -73.91293414135353)",CB032002Y,7/6/05,FEDERAL FST 300,2,12.6,2002,2037,DUAL FUEL,5 to 10 years old,HEVE (I.C.) DEG-145 P,#4,262075,183453,38001,26601,Yes,2015,Office Buildings,16,235000,1,14,227,227,1971, , 
2059090977,"4525 HENRY HUDSON PARKWAY
Bronx, NY 10471
(40.89190699650249, -73.90799983008884)",Con Edison,GARTHCHESTER REALTY LTD,4525 & 4555 APARTMENT,"209 GARTH ROAD
SCARSDALE, NY 10583
(40.98302825396644, -73.81227485020388)",CA366190N,7/7/05,BEST 5E-300,2,11.9,1990,2025, ,16 to 20 years old,IRON FIREMAN EED-GO-6-12.5RK,#6,260610,182427,39092,27364,Yes,2019,Walk-Up Apartments,11,201511,2,12,145,145,1953, ,YES
2032370067,"2630 KINGSBRIDGE TERRACE
Bronx, NY 10463
(40.87011398555815, -73.90559985194173)",Con Edison,KINGSBRIDGE TERR OWNERS,2630 KINGSBRIDGE TER,"2736 INDEPENDENCE AVE
RIVERDALE, NY 10463
(40.882258954549314, -73.91765023386792)",CA359286M,7/5/05,FEDERAL FST350,1,14.7,1986,2021, ,21 to 26 years old,HEV-E DEG145P,#6,252945,177062,37942,26559,Yes,2017,Elevator Apartments,14,200000,1,6,185,185,1955, ,YES
2024600001,"900 GRAND
Bronx, NY 10451
(40.82701032928083, -73.91871827168761)",Con Edison,RENTAL  &  MANAGEMENT ASSOCATIES,CONCOURSE PLAZA REDEV,"900 GRAND
BRONX, NY 10451
(40.82701032928083, -73.91871827168761)",CA271394N,7/5/05,ROCKMILLS  MP-300 SL,2,12.6,1994,2029, ,16 to 20 years old,S.T. JOHNSON  FD 68 CAHM (SIZE 300),#4,246375,172462,35724,25007,Yes,2020,Elevator Apartments,17,276550,1,10,298,301,1923, , 
2032630085,"3900 BAILEY AVENUE
Bronx, NY 10463
(40.885139255638144, -73.89623515254294)",Con Edison,MATTHEW ADAMS/ DARWOOD MGMT,ORLOFF TOWER,"127 59TH STREET
NEW YORK, NY 10018
(40.64351622796349, -74.02123094827493)",CA176882R,7/5/05,GIBRALTAR GHF 386-9,2,17.71,1982,2017, ,26 to 30 years old,I.C.I. DEG 145 S,#6,233600,163520,35040,24528,Yes,2013,Elevator Apartments,11,247530,1,19,188,188,1963, ,YES
2036500001,"950 EVERGREEN AVENUE
Bronx, NY 10473
(40.82236069035507, -73.87959441577239)",Con Edison,EVERGREEN GRDNS. INC % GRENADIER RLTY.,EVERGREEN GARDENS INC,"155 ELMIRA LOOP
BROOKLYN, NY 11239
(40.649723063146425, -73.88037616574464)",CB196906J,7/6/05,FEDERAL FLR - 4857 (EXSTG),2,17.7,2006,2041,DUAL FUEL,Fewer than 5 years old,ICI DEG - 145P (NEW),#6,230607,161425,34591,24214,Yes,2020,Educational Structures,17,174671,1,18,213,213,1964, , 
2059090163,"3950 BLACKSTONE AVENUE
Bronx, NY 10471
(40.89026164254843, -73.9113627190534)",Con Edison,WEINREB MANAGEMENT,3950 BLACKSTONE ASSOC,"276 RIVERSIDE DRIVE
MANHATTAN, NY 10025
(40.79837591565439, -73.97328132801744)",CA204694P,7/4/05,FEDERAL  FST-250,2,10.36,1994,2029, ,16 to 20 years old,HEVE  DEG-105 (S),#6,229950,160965,34492,24145,Yes,2019,Elevator Apartments,11,237000,1,6,176,176,1959, , 
2024760050,"911 WALTON AVENUE
Bronx, NY 10452
(40.827944428864775, -73.92370093527764)",Con Edison,911 LLC.,911 LLC,,CA263882M,7/6/05,FEDERAL FST 125,1,5.3,1982,2017,DUAL FUEL,26 to 30 years old,IRON FIREMAN AGO-6-6.3 RK,#4,226750,158725,32879,23015,Yes,2016,Walk-Up Apartments,17,90744,1,6,64,65,1925, , 
2024760047,"923 WALTON AVENUE
Bronx, NY 10452
(40.82822220443063, -73.92353661733728)",Con Edison,"COHEN,IRWIN",911 LLC,,CA263982J,7/5/05,FEDERAL FST 125,1,5.32,1982,2017,DUAL FUEL,26 to 30 years old,IRON FIREMAN AGO 6-6.3RK,#4,226750,158725,32879,23015,Yes,2016,Office Buildings,17,105356,1,6,60,60,1926, , 
2057450305,"2575 PALISADE AVENUE
Bronx, NY 10463
(40.88137737251539, -73.92186414973085)",Con Edison,2575 OWNERS CORP.,"STAMOULIS, GEORGIA","7 PENN PLAZA
NEW YORK, NY 10001
(40.74956954963903, -73.99160848411982)",CA172183J,7/5/05,FEDERAL FLW 3036,2,10.5,1983,2018, ,26 to 30 years old,ST JOHNSON FD68CAHN SIZE 200,#6,219000,153300,32850,22995,Yes,2015,Loft Buildings,11,168962,1,12,143,143,1958, ,YES
2059530550,"5640 NETHERLAND AVENUE
Bronx, NY 10471
(40.90491455520935, -73.90633601836625)",Con Edison,NETHERLAND GARDENS CORP,"JOSEPH, TIERNEY","5620 NETHERLAND AVENUE
RIVERDALE, NY 10471
(40.904634495681464, -73.90625456199678)",CA376069K,7/6/05,FITZGIBBONS DM 303,2,21,1969,2010, ,41 - 45 years old,SUPERIOR # AG-200,#6,219000,153300,32850,22995,Yes,2013,Office Buildings,11,395000,3,6,462,462,1949, ,YES
2059530550,"5615 5621 NETHERLAND AVENUE
Bronx, NY 10471
(40.90199442310421, -73.9036265005625)",Con Edison,NETHERLAND GARDENS INC.,"JOSEPH, TIERNEY","5620 NETHERLAND AVENUE
RIVERDALE, NY 10471
(40.904634495681464, -73.90625456199678)",CA376169H,7/6/05,FITZGIBBONS DM 242,2,12.3,1969,2010, ,41 - 45 years old,SUPERIOR # ABAA6-200,#6,219000,153300,32850,22995,Yes,2013,Walk-Up Apartments,11,395000,3,6,462,462,1949, ,YES
2030640001,"4422 3 AVENUE
Bronx, NY 10457
(40.854068314549714, -73.8909193391362)",Con Edison,ST.BARNABAS HOSPITAL BOILER ROOM,ST BARNABAS NURSING H,"4422 3 AVENUE
N Y 10457
(40.854068314549714, -73.8909193391362)",CB078301Z,#N/A,B & W  FM  9-43,2,23.94,2001,2036,DUAL FUEL,5 to 10 years old,FORNEY  WT  18,#6,214240,149968,32136,22495,Yes,2014,Walk-Up Apartments,15,421234,4,8,0,1,1943, , 
2059120001,"4705 HENRY HUDSON PARKWAY
Bronx, NY 10471
(40.895273914355045, -73.90793650701306)",Con Edison,WINDSOR APT INC,"WINDSOR APARTMENTS, I","166 10 POWELLS COVE BOULEVARD
WHITESTONE, NY 11357
(40.78628404147537, -73.81123206101074)",CA167682H,7/5/05,GIBRALTAR GCB 322,2,14.76,1982,2017, ,26 to 30 years old,I.C.I. DEG 105S,#6,211044,147731,31657,22160,Yes,2022,Elevator Apartments,11,213921,1,13,183,183,1961, ,YES
2033280152,"3540 DEKALB AVENUE
Bronx, NY 10467
(40.8833476047841, -73.87954067079073)",Con Edison,JOLU REAL PROPERTIES.,JO LU REAL PROPERTIES,"198 YONKERS
NY 10704
(40.91979536266592, -73.86310263457887)",CA534685P,7/5/05,ROCKMILLS MP-60,1,2.6,1985,2020, ,21 to 26 years old,ICI MMG-28,#4,210000,147000,30450,21315,,,Elevator Apartments,11,27000,1,5,31,31,1927, , 
2059530550,"5640 NETHERLAND AVENUE
Bronx, NY 10471
(40.90491455520935, -73.90633601836625)",Con Edison,NETHERLAND GARDENS CORP.,"JOSEPH, TIERNEY","6 43RD STREET
NEW YORK, NY 10017
(40.75381517729913, -73.97967506743592)",CB139203Y,7/5/05,FEDERAL FST-250 (NEW),2,8.36,2003,2038,DUAL FUEL,5 to 10 years old,INDDUSTRIAL COMBUSTION DEG-105 (P)(NEW),#6,208999,146299,31350,21945,Yes,2013,Loft Buildings,11,395000,3,6,462,462,1949, ,YES
2031510043,"2335 VALENTINE AVENUE
Bronx, NY 10458
(40.857847218960636, -73.89779739556562)",Con Edison,FM WEISS RLTY CORP,"MSJ HOLDING    , A NE","198 WESTCHESTER
BRONX, NY 10461
(40.84054431315492, -73.84125020140367)",CA001982J,7/7/05,ROCKMILLS MP70,1,2.6,1982,2017,DUAL FUEL,26 to 30 years old,ICI MMG 34(P),#4,208040,145628,30166,21116,,,Elevator Apartments,15,26300,1,5,35,35,1925, , 
2024430170,"775 MORRIS AVENUE
Bronx, NY 10451
(40.8229938257732, -73.91992687368291)",Con Edison,CONCOURSE VILLAGE INC,CONCOURSE VILLAGE INC,"775 CONCOURSE VILLAGE
BRONX, NY 10451
(40.8229938257732, -73.91992687368291)",CA030596Y,7/6/05,FEDERAL PLW 529,1,21.14,1996,2031,DUAL FUEL,11 to 15 years old,HEVE DEG 210P,#6,205312,143719,30797,21558,Yes,2013,Elevator Apartments,16,876500,2,25,1248,1248,1964, ,YES
2057140164,"3130 IRWIN AVENUE
Bronx, NY 10463
(40.88198450263496, -73.9084442204872)",Con Edison,N.Y TEACHERS HOUSING CORP,NEW YORK TEACHERS HOU,"3130 IRWIN AVE
BRONX, NY 10463
(40.88198450263496, -73.9084442204872)",CA258091J,7/5/05,ROCKMILLS MP300 SS,1,12.6,1991,2026, ,16 to 20 years old,S.T.JOHNSON FD68CAHM-300,#6,200000,140000,30000,21000,Yes,2014,Condominiums,11,234000,2,12,224,225,1961, ,YES
2043470007,"2334 BOSTON ROAD
Bronx, NY 10467
(40.860060266685025, -73.86714024203658)",Con Edison,BRONX PARK EAST HOUSING CO.INC,BRONX PARK HSNG CO IN,"2334 BOSTON ROAD
N Y 10467
(40.860060266685025, -73.86714024203658)",CB126702K,7/4/05,EASTMOND/FEDERAL FST-500,1,21,2002,2037,DUAL FUEL,5 to 10 years old,HEVE (IC)  DEG-210 P,#6,199400,139580,29910,20937,Yes,2017,"Churches, Synagogues, etc.",13,337570,1,21,322,322,1963, ,YES
2043470007,"2334 BOSTON ROAD
Bronx, NY 10467
(40.860060266685025, -73.86714024203658)",Con Edison,BRONX PARK EAST HSG,BRONX PARK HSNG CO IN,"2334 BOSTON RD
BRONX, NY 10467
(40.860060266685025, -73.86714024203658)",CA063393P,7/4/05,FEDERAL  FLR 4857,1,20.3,1993,2028, ,16 to 20 years old,WEBSTER  HDRV 7  0 100,#6,197100,137970,29565,20696,Yes,2017,Elevator Apartments,13,337570,1,21,322,322,1963, ,YES
2057600112,"3424 KINGSBRIDGE AVENUE
Bronx, NY 10463
(40.88299528302095, -73.90344028354679)",Con Edison,KINGSBRIDGE GDNS%LANGSAM PROPT,KINGSBRIDGE REALTY AS,"1020 NEW
YORK, NY 10116
(40.8110019996426, -73.95309800037239)",CA104788H,7/7/05,FEDERAL FLR 3036,1,14.75,1988,2023, ,21 to 26 years old,HEV-E DEG 105 S,#6,197100,137970,29565,20696,Yes,2020,Walk-Up Apartments,11,128500,1,13,138,138,1962, , 
2047130001,"3466 FISH AVENUE
Bronx, NY 10469
(40.877237240995804, -73.8505434099016)",Con Edison,OWNER/SUPERINTENDENT,EASTCHESTER HEIGHTS L,"1230 PENNSYLVIA
BROOKLYN, NY 11239
(40.650468611487966, -73.88474281984874)",CA357089Y,7/6/05,ROCKMILLS MP250,2,10.36,1989,2024, ,21 to 26 years old,HEVE DEG105P,#6,197100,137970,29565,20696,Yes,2013,Elevator Apartments,12,268560,1,4,292,292,1935, , 
2057450001,"2621 PALISADE AVENUE
Bronx, NY 10463
(40.88178886634991, -73.92140725944232)",Con Edison,RIVER TERR/KREISEL CO.,RIVER TERRACE APTS IN,"209 GARTH ROAD
SCARSDALE, NY 10583
(40.98302825396644, -73.81227485020388)",CA236094H,7/5/05,FEDERAL  FST 250,2,10.5,1994,2029, ,16 to 20 years old,HEVE  DEG 145 (P),#6,197100,137970,29565,20696,Yes,2015,Walk-Up Apartments,11,231154,1,15,180,180,1962, ,YES
