VENDOR_NAME,ZIP CODE,PHONE,FAX,CONTACT PERSON,MBE,WBE,LBE,> 1M,PREQUALIFIED DATE,TRADE CODE (MASTER FORMAT),TRADE DESCRIPTION,Location 1
8 Brothers Company,"2138 Wisconsin Ave., N.W.",Washington,DC,202-333-3099,202-295-9089,Oscar Amurrio,N,N,N,N,11/25/2012,
8 Brothers Company,"2138 Wisconsin Ave., N.W.",Washington,DC,202-333-3099,202-295-9089,Oscar Amurrio,N,N,N,N,11/25/2012,
911 Security Services Inc,58-23  Van Cleef Street,Corona,NY,718-393-0822,718-393-0823,Runie C. Mensche,Y,N,Y,Y,12/30/2013,"86080
"
"A & A MAINTENANCE ENTERPRISE, INC.",965  Midland Avenue,Yonkers,NY,914-969-0009,914-969-0070,Armando Rodriguez,N,N,N,Y,4/5/2013,"80025
(39.98447900030567, -105.2376580001166)"
"A & B CAULKING CO., INC.",1283  Dolsontown Road,Middletown,NY,845-344-8540,845-341-1283,BOBBIE BLUMFIELD,N,N,N,N,8/3/2014,
A & J CONSULTING ENGINEERING SERVIC,164 BRIGHTON ROAD,CLIFTON,NJ,973-777-9696,973-777-5528,Jitendra Agarwal,Y,N,N,Y,11/5/2012,"32025
(30.144822635456308, -82.51089275010031)"
A QUEST CORPORATION,159  42nd  STREET,BROOKLYN,NY,718-965-4866,718-965-4867,Tony Msallem,N,N,N,Y,8/17/2012,
A QUEST CORPORATION,159  42nd  STREET,BROOKLYN,NY,718-965-4866,718-965-4867,Tony Msallem,N,N,N,Y,8/17/2012,"13285
"
A S M Construction of NY Corp,152 Watchogue rd,Staten Island,NY,718-698-6365,718-698-6361,Qasim Mohmood,Y,N,N,N,4/27/2013,
"A TECH ELECTRIC ENTERPRISE, INC.",90 WHITE STREET,NEW YORK,NY,212-343-8700,212-343-8885,KWOK LI,Y,N,N,Y,6/16/2014,"13850
(42.05322342981748, -76.03346068865983)"
"A TECH ELECTRIC ENTERPRISE, INC.",90 WHITE STREET,NEW YORK,NY,212-343-8700,212-343-8885,KWOK LI,Y,N,N,Y,6/16/2014,"16000
"
"A TECH ELECTRIC ENTERPRISE, INC.",90 WHITE STREET,NEW YORK,NY,212-343-8700,212-343-8885,KWOK LI,Y,N,N,Y,6/16/2014,"16810
"
"A&B ELECTRIC, INC.",45-52 162ND STREET,FLUSHING,NY,718-460-8666,718-460-8975,Anthony Bracco,N,N,N,N,9/30/2011,"16500
"
"A&B ELECTRIC, INC.",45-52 162ND STREET,FLUSHING,NY,718-460-8666,718-460-8975,Anthony Bracco,N,N,N,N,9/30/2011,"16100
"
"A&B ELECTRIC, INC.",45-52 162ND STREET,FLUSHING,NY,718-460-8666,718-460-8975,Anthony Bracco,N,N,N,N,9/30/2011,"16050
(41.043973583514116, -79.7705795610978)"
"A&B ELECTRIC, INC.",45-52 162ND STREET,FLUSHING,NY,718-460-8666,718-460-8975,Anthony Bracco,N,N,N,N,9/30/2011,"16400
"
A&E Quality Constuction Corp.,399  E 34th street,Brooklyn,NY,347-365-3790,718-693-5518,Eli Asdon,N,N,Y,Y,7/8/2012,"99999
"
"A+TECHNOLOGY SOLUTIONS, INC.",1490 North Clinton Avenue,Bay Shore,NY,631-969-2600,631-969-2400,David Antar,N,N,N,N,9/15/2012,"16810
"
A-1 SEWER & WATERMAIN CONTR. CORP.,758 East 98 Street,Brooklyn,NY,718-272-4784,718-272-0915,Joe Passalacqua,N,N,N,N,4/12/2014,"15400
"
A-1 SEWER & WATERMAIN CONTR. CORP.,758 East 98 Street,Brooklyn,NY,718-272-4784,718-272-0915,Joe Passalacqua,N,N,N,N,4/12/2014,
A-1 SEWER & WATERMAIN CONTR. CORP.,758 East 98 Street,Brooklyn,NY,718-272-4784,718-272-0915,Joe Passalacqua,N,N,N,N,4/12/2014,
A. Davino Electrical Contracting Corp.,275 Water Street,New York,NY,718-227-8675,718-227-8676,Dana Davino,N,N,N,N,9/20/2014,"16500
"
A. Davino Electrical Contracting Corp.,275 Water Street,New York,NY,718-227-8675,718-227-8676,Dana Davino,N,N,N,N,9/20/2014,"16100
"
A. Davino Electrical Contracting Corp.,275 Water Street,New York,NY,718-227-8675,718-227-8676,Dana Davino,N,N,N,N,9/20/2014,"16700
"
A. Davino Electrical Contracting Corp.,275 Water Street,New York,NY,718-227-8675,718-227-8676,Dana Davino,N,N,N,N,9/20/2014,"16550
(42.13320700030289, -80.0877600002238)"
A. Davino Electrical Contracting Corp.,275 Water Street,New York,NY,718-227-8675,718-227-8676,Dana Davino,N,N,N,N,9/20/2014,"16200
"
A. Davino Electrical Contracting Corp.,275 Water Street,New York,NY,718-227-8675,718-227-8676,Dana Davino,N,N,N,N,9/20/2014,"16080
"
A. Davino Electrical Contracting Corp.,275 Water Street,New York,NY,718-227-8675,718-227-8676,Dana Davino,N,N,N,N,9/20/2014,"16710
"
A. Davino Electrical Contracting Corp.,275 Water Street,New York,NY,718-227-8675,718-227-8676,Dana Davino,N,N,N,N,9/20/2014,"16800
"
A. Davino Electrical Contracting Corp.,275 Water Street,New York,NY,718-227-8675,718-227-8676,Dana Davino,N,N,N,N,9/20/2014,"16300
"
A. Davino Electrical Contracting Corp.,275 Water Street,New York,NY,718-227-8675,718-227-8676,Dana Davino,N,N,N,N,9/20/2014,"16050
(41.043973583514116, -79.7705795610978)"
A. Davino Electrical Contracting Corp.,275 Water Street,New York,NY,718-227-8675,718-227-8676,Dana Davino,N,N,N,N,9/20/2014,"16400
"
A. J. & Son Mechanical Inc.,279-283 Marshall Street,Paterson,NJ,973-689-7762,973-689-7763,Alexander Jankovic,N,N,N,N,6/1/2013,"15180
"
"A. LISS & CO., INC.",51-55 59th Place,WOODSIDE,NY,718-728-0600,718-728-1227,JEROLD C. LISS,N,N,N,N,5/13/2013,"10500
"
"A. LISS & CO., INC.",51-55 59th Place,WOODSIDE,NY,718-728-0600,718-728-1227,JEROLD C. LISS,N,N,N,N,5/13/2013,"10600
"
"A. LISS & CO., INC.",51-55 59th Place,WOODSIDE,NY,718-728-0600,718-728-1227,JEROLD C. LISS,N,N,N,N,5/13/2013,"10670
"
"A. LISS & CO., INC.",51-55 59th Place,WOODSIDE,NY,718-728-0600,718-728-1227,JEROLD C. LISS,N,N,N,N,5/13/2013,"10100
"
"A. LISS & CO., INC.",51-55 59th Place,WOODSIDE,NY,718-728-0600,718-728-1227,JEROLD C. LISS,N,N,N,N,5/13/2013,"10800
"
"A. M. MARCA, INC.",361 NEWBRIDGE RD.,EAST MEADOW,NY,516-783-7117,516-783-9270,REMO MASTROIANNI,N,N,N,Y,3/16/2012,
"A. M. MARCA, INC.",361 NEWBRIDGE RD.,EAST MEADOW,NY,516-783-7117,516-783-9270,REMO MASTROIANNI,N,N,N,Y,3/16/2012,
"A. M. MARCA, INC.",361 NEWBRIDGE RD.,EAST MEADOW,NY,516-783-7117,516-783-9270,REMO MASTROIANNI,N,N,N,Y,3/16/2012,
"A. M. MARCA, INC.",361 NEWBRIDGE RD.,EAST MEADOW,NY,516-783-7117,516-783-9270,REMO MASTROIANNI,N,N,N,Y,3/16/2012,
A. OTTAVINO CORP.,80-60 PITKIN AVENUE,OZONE PARK,NY,718-848-9404,718-848-7156,MOHAMED ELKORDY,N,N,N,Y,11/30/2011,
"A. RUSSO WRECKING, INC.",67 EAST AVENUE,LAWRENCE,NY,516-239-8823,516-239-9324,ANN MARIE RUSSO,N,Y,N,Y,6/8/2013,
A. Tempo Inc.,796 Rensselaer Ave,Staten Island,NY,347-983-4821,347-983-4856,Alex Temperino,N,N,N,N,1/11/2013,
A. Tempo Inc.,796 Rensselaer Ave,Staten Island,NY,347-983-4821,347-983-4856,Alex Temperino,N,N,N,N,1/11/2013,
A. Williams Trucking & Backhoe Trenching  INC.,225 3RD AVENUE,BROOKLYN,NY,718-923-9600,718-923-1603,SALLY WILLIAMS,Y,Y,N,Y,11/22/2013,
A. Williams Trucking & Backhoe Trenching  INC.,225 3RD AVENUE,BROOKLYN,NY,718-923-9600,718-923-1603,SALLY WILLIAMS,Y,Y,N,Y,11/22/2013,
A.B.M. CONTRACTING SERVICES CORP.,1074 CONEY ISLAND AVENUE,BROOKLYN,NY,718-421-1048,718-421-8657,HASHIM CHOUDHARY,Y,N,Y,N,4/20/2012,
A.C. ASSOCIATES,124 PARK AVENUE,LYNDHURST,NJ,201-939-6866,201-939-5023,ROBERT A. SAMELA,N,N,N,Y,3/8/2013,
A.D. WINSTON CORPORATION,43-15 36TH STREET,LONG ISLAND CITY,NY,718-786-7848,718-786-4519,Noelle Viggiano,N,N,N,Y,1/26/2012,"15700
"
A.G. Construction Corp.,289  Beaverbrook Road,Lincoln Park,NJ,973-686-5100,973-686-5115,Robert Kalisch,N,Y,N,Y,12/9/2012,
A.G. Construction Corp.,289  Beaverbrook Road,Lincoln Park,NJ,973-686-5100,973-686-5115,Robert Kalisch,N,Y,N,Y,12/9/2012,
A.G. Construction Corp.,289  Beaverbrook Road,Lincoln Park,NJ,973-686-5100,973-686-5115,Robert Kalisch,N,Y,N,Y,12/9/2012,
"A.G. CONSULTING ENGINEERING,  PC",131 WEST 33rd STREET,NEW YORK,NY,212-268-0950,212-268-7497,Ariganjan Guleria,Y,N,N,Y,8/12/2013,"37022
(36.499007890401856, -86.30727094060137)"
"A.G. CONSULTING ENGINEERING,  PC",131 WEST 33rd STREET,NEW YORK,NY,212-268-0950,212-268-7497,Ariganjan Guleria,Y,N,N,Y,8/12/2013,"86060
"
"A.G. CONSULTING ENGINEERING,  PC",131 WEST 33rd STREET,NEW YORK,NY,212-268-0950,212-268-7497,Ariganjan Guleria,Y,N,N,Y,8/12/2013,"32025
(30.144822635456308, -82.51089275010031)"
"A.J.S. PROJECT MANAGEMENT, INC.",149 5th Avenue,New York,NY,212-420-9593,212-420-8681,Anthony Sclafani,N,N,N,Y,7/12/2013,"99945
"
"A.J.S. PROJECT MANAGEMENT, INC.",149 5th Avenue,New York,NY,212-420-9593,212-420-8681,Anthony Sclafani,N,N,N,Y,7/12/2013,"99960
"
A.K.S. INTERNATIONAL INC,37-04 19TH AVENUE,LONG ISLAND CITY,NY,718-267-6800,718-932-2527,ANGELA PAMIC,N,N,N,Y,1/25/2014,"15700
"
"A.L. EASTMOND & SONS, INC.",1175 LEGGETT AVENUE,BRONX,NY,718-378-3000,718-378-4560,TYREN EASTMOND,N,N,N,N,5/21/2012,"15190
"
"A.L. EASTMOND & SONS, INC.",1175 LEGGETT AVENUE,BRONX,NY,718-378-3000,718-378-4560,TYREN EASTMOND,N,N,N,N,5/21/2012,"80120
(39.59303930861728, -105.00931570525557)"
"A.L. EASTMOND & SONS, INC.",1175 LEGGETT AVENUE,BRONX,NY,718-378-3000,718-378-4560,TYREN EASTMOND,N,N,N,N,5/21/2012,
"A.L. EASTMOND & SONS, INC.",1175 LEGGETT AVENUE,BRONX,NY,718-378-3000,718-378-4560,TYREN EASTMOND,N,N,N,N,5/21/2012,"13200
"
"A.L. EASTMOND & SONS, INC.",1175 LEGGETT AVENUE,BRONX,NY,718-378-3000,718-378-4560,TYREN EASTMOND,N,N,N,N,5/21/2012,
"A.L. EASTMOND & SONS, INC.",1175 LEGGETT AVENUE,BRONX,NY,718-378-3000,718-378-4560,TYREN EASTMOND,N,N,N,N,5/21/2012,
"A.L. EASTMOND & SONS, INC.",1175 LEGGETT AVENUE,BRONX,NY,718-378-3000,718-378-4560,TYREN EASTMOND,N,N,N,N,5/21/2012,
A.L.A.C.,522 EAST 20TH STREET,NEW YORK,NY,646-654-1473,646-654-1476,ALEKSANDR KNOBEL,N,N,N,Y,11/9/2012,"37106
"
A.L.A.C.,522 EAST 20TH STREET,NEW YORK,NY,646-654-1473,646-654-1476,ALEKSANDR KNOBEL,N,N,N,Y,11/9/2012,"86030
(36.24375867762092, -110.58843608195957)"
A.M.P. CONSTRUCTION CORP.,22  Illinois Avenue,Bronxville,NY,914-319-3989,914-346-5927,Patrick O'Neill,N,N,Y,N,10/31/2011,
A.S.A.R. INTERNATIONAL CORP.,491  Wild Avenue,Staten Island,NY,718-761-7420,718-761-7428,ANETTA M. SUSZ,N,Y,N,Y,11/12/2013,"13280
"
A.S.A.R. INTERNATIONAL CORP.,491  Wild Avenue,Staten Island,NY,718-761-7420,718-761-7428,ANETTA M. SUSZ,N,Y,N,Y,11/12/2013,"13285
"
A.S.C. CONTRACTING CORP.,68  Birch Hill,Albertson,NY,718-278-9349,718-545-5866,CHARLES ROMANO,N,N,N,N,12/18/2012,
A.S.C. CONTRACTING CORP.,68  Birch Hill,Albertson,NY,718-278-9349,718-545-5866,CHARLES ROMANO,N,N,N,N,12/18/2012,
A.S.C. CONTRACTING CORP.,68  Birch Hill,Albertson,NY,718-278-9349,718-545-5866,CHARLES ROMANO,N,N,N,N,12/18/2012,
"A.S.R. ELECTRICAL CONTRACTING, INC.",845  LEXINGTON AVE,NEW YORK,NY,917-432-2700,516-420-0136,ROBERT CHAIKIN,N,N,N,Y,1/19/2014,"16000
"
"A.T.J. ELECTRICAL CO., INC.",122-13 15th Avenue,College Point,NY,718-321-0117,718-321-0788,Jenny Khait,N,N,N,Y,1/7/2014,"13850
(42.05322342981748, -76.03346068865983)"
"A.T.J. ELECTRICAL CO., INC.",122-13 15th Avenue,College Point,NY,718-321-0117,718-321-0788,Jenny Khait,N,N,N,Y,1/7/2014,"16000
"
"A.T.J. ELECTRICAL CO., INC.",122-13 15th Avenue,College Point,NY,718-321-0117,718-321-0788,Jenny Khait,N,N,N,Y,1/7/2014,"16810
"
A.W.I. SECURITY & INVESTIGATIONS IN,"202 East 179th Street, Ste  GB",BRONX,NY,718-299-4383,718-299-4818,ADAZE W. IMAFIDON,Y,N,Y,N,6/2/2014,"86080
"
"A1 Furniture Services, Inc.",331  Dante Court,Holbrook,NY,631-738-0726,631-738-0728,John,N,N,N,N,6/26/2012,
"A1 WORKS-IN-PROGRESS ASSOCS., LLC","33 Rector Street, 14th Fl",New  York,NY,212-871-0933,212-777-4781,"Debra Inwald, AIA,",N,Y,N,Y,2/11/2013,"36000
"
AABCO SHEET METAL-D/B/A-ASM MECH,47-40 Metropolitan Avenue,Maspeth,NY,718-821-1166,718-417-7065,Donna Chanthavong,N,N,N,Y,1/28/2014,"15700
"
"Aaes Engineering, Inc.",45 Eisenhower Drive,Paramus,NJ,201-368-1952,201-368-1457,Joseph Ettinger,N,N,N,Y,10/26/2012,"32030
(30.07093199971206, -81.86194799970036)"
"AALCO TRANSPORT & STORAGE, INC.",1100 FULTON STREET,FARMINGDALE,NY,631-420-9000,631-420-9080,JEFF S. KREVAT,N,N,N,N,1/11/2014,"14600
"
AARCO Environmental Services Corp.,1 50 Gear Avenue,Lindenhurst,NY,631-586-5900,631-586-5900,Carmela Dettling,N,N,N,N,12/8/2013,
AARCO Environmental Services Corp.,1 50 Gear Avenue,Lindenhurst,NY,631-586-5900,631-586-5900,Carmela Dettling,N,N,N,N,12/8/2013,
AB CONSULTING,34 SCANDIA ROAD,CONGERS,NY,845-268-0170,845-268-0170,Mr. Bharat Patel,N,N,N,Y,12/29/2011,"14200
"
AB OIL SERVICE LTD.,1599 OCEAN AVENUE,BOHEMIA,NY,631-567-6545,631-567-9390,John Wade,N,N,N,Y,1/11/2014,
"ABATECH INDUSTRIES, INC.",1623 EAST SECOND STREET,SCOTCH PLAINS,NJ,908-322-3000,908-322-4288,ROBERT A. MONTI,N,Y,N,N,1/21/2013,"13285
"
ABAX INCORPORATED,51-09  Second Street,Long Island City,NY,718-784-2229,718-784-2296,Edward Monaco,N,N,N,Y,9/2/2012,
ABAX INCORPORATED,51-09  Second Street,Long Island City,NY,718-784-2229,718-784-2296,Edward Monaco,N,N,N,Y,9/2/2012,
ABAX INCORPORATED,51-09  Second Street,Long Island City,NY,718-784-2229,718-784-2296,Edward Monaco,N,N,N,Y,9/2/2012,"13280
"
ABAX INCORPORATED,51-09  Second Street,Long Island City,NY,718-784-2229,718-784-2296,Edward Monaco,N,N,N,Y,9/2/2012,"99945
"
ABAX INCORPORATED,51-09  Second Street,Long Island City,NY,718-784-2229,718-784-2296,Edward Monaco,N,N,N,Y,9/2/2012,"13285
"
"ABC & NY CONSTRUCTION, INC.",201 Seventh Street,Brooklyn,NY,718-965-0207,718-965-0277,Nevzat Sisman,Y,Y,Y,N,10/26/2013,
"ABC & NY CONSTRUCTION, INC.",201 Seventh Street,Brooklyn,NY,718-965-0207,718-965-0277,Nevzat Sisman,Y,Y,Y,N,10/26/2013,
"ABC & NY CONSTRUCTION, INC.",201 Seventh Street,Brooklyn,NY,718-965-0207,718-965-0277,Nevzat Sisman,Y,Y,Y,N,10/26/2013,
"ABC CONSTRUCTION CONTRACTING, INC.",36-16  19th Avenue,ASTORIA,NY,718-729-2501,718-729-2509,Stanko Koronsovac,N,N,N,Y,6/9/2013,"13280
"
"ABC CONSTRUCTION CONTRACTING, INC.",36-16  19th Avenue,ASTORIA,NY,718-729-2501,718-729-2509,Stanko Koronsovac,N,N,N,Y,6/9/2013,"13285
"
"ABEL BAINNSON BUTZ, LLP",80 8TH AVENUE,NEW YORK,NY,212-206-0630,212-645-0048,John Butz,N,N,N,Y,3/15/2013,"37059
(35.978476846629235, -85.90787569051065)"
Abel Cine Tech,609 Greenwich Street,New York,NY,212-462-0100,212-462-0199,Christine Gaffigan,N,N,N,Y,12/8/2013,"80075
"
ABLE Equipment Rental,21 Dixon Avenue,Copiague,NY,631-841-3333,631-841-3066,Joseph McCaffrey,N,Y,N,Y,7/13/2014,"80080
"
"ABLE RIGGING CONTRACTORS, INC.",14  West Jefryn Blvd,Deer Park,NY,516-420-4444,516-420-5555,Barry Lichtenstein,N,N,N,N,9/7/2013,"14600
"
About Energy Solutions LLC,3085 South Western blvd,Orchard Park,NY,914-750-5833,888-750-5838,Peter Kitchin,N,N,N,Y,1/26/2014,"37061
(36.2780590102152, -87.65151089800952)"
About Energy Solutions LLC,3085 South Western blvd,Orchard Park,NY,914-750-5833,888-750-5838,Peter Kitchin,N,N,N,Y,1/26/2014,"37032
(36.55500141038681, -86.9695487500747)"
Abtron Associates Corp.,60A Corbin Avenue,Bay Shore,NY,631-392-1330,631-392-1328,Robert A. Green,Y,N,N,N,8/19/2013,"13280
"
Abtron Associates Corp.,60A Corbin Avenue,Bay Shore,NY,631-392-1330,631-392-1328,Robert A. Green,Y,N,N,N,8/19/2013,"13285
"
"AC DRYWALL SYSTEMS, INC.",9 Windingwood Road North,Rye Brook,NY,914-937-2260,914-937-2294,Larry Pomara,N,N,N,N,10/14/2013,
"AC DRYWALL SYSTEMS, INC.",9 Windingwood Road North,Rye Brook,NY,914-937-2260,914-937-2294,Larry Pomara,N,N,N,N,10/14/2013,
"AC DRYWALL SYSTEMS, INC.",9 Windingwood Road North,Rye Brook,NY,914-937-2260,914-937-2294,Larry Pomara,N,N,N,N,10/14/2013,
"AC DRYWALL SYSTEMS, INC.",9 Windingwood Road North,Rye Brook,NY,914-937-2260,914-937-2294,Larry Pomara,N,N,N,N,10/14/2013,
"AC DRYWALL SYSTEMS, INC.",9 Windingwood Road North,Rye Brook,NY,914-937-2260,914-937-2294,Larry Pomara,N,N,N,N,10/14/2013,
Acalan Corp,62 Bianca ct,Staten Island,NY,718-984-0989,718-984-0989,Angelic Sealy,Y,Y,N,N,11/9/2013,
Acalan Corp,62 Bianca ct,Staten Island,NY,718-984-0989,718-984-0989,Angelic Sealy,Y,Y,N,N,11/9/2013,
"Accolade Construction Group, Inc.",320 West 37th Street,New York,NY,212-239-1929,212-239-1989,Faisal Ahmed,Y,N,N,N,8/17/2013,"99960
"
"ACCRA SHEET METAL, LLC",1359 Straight Path,Wyandanch,NY,631-643-2100,631-643-2155,Orlando Stokes,Y,N,N,N,2/16/2014,
"ACCRA SHEET METAL, LLC",1359 Straight Path,Wyandanch,NY,631-643-2100,631-643-2155,Orlando Stokes,Y,N,N,N,2/16/2014,"15800
"
ACCU COST CONSTRUC CONSULTNTS INC,575 Eighth Avenue,NEW YORK,NY,212-687-2121,212-687-2323,Patricia Neumann,N,Y,N,N,4/14/2012,"37023
(36.59404294092906, -87.72424601014524)"
ACCU COST CONSTRUC CONSULTNTS INC,575 Eighth Avenue,NEW YORK,NY,212-687-2121,212-687-2323,Patricia Neumann,N,Y,N,N,4/14/2012,"37112
"
ACCURATE CONTRACTING CORP.,750 Onderdonk Avenue,Ridgewood,NY,718-384-6062,718-384-6063,Taip Redzovic,N,N,N,N,8/24/2013,
ACCURATE CONTRACTING CORP.,750 Onderdonk Avenue,Ridgewood,NY,718-384-6062,718-384-6063,Taip Redzovic,N,N,N,N,8/24/2013,
ACCURATE CONTRACTING CORP.,750 Onderdonk Avenue,Ridgewood,NY,718-384-6062,718-384-6063,Taip Redzovic,N,N,N,N,8/24/2013,
ACCURATE CONTRACTING CORP.,750 Onderdonk Avenue,Ridgewood,NY,718-384-6062,718-384-6063,Taip Redzovic,N,N,N,N,8/24/2013,
"ACCURATE SPECIALTY METAL FABRICATORS, INC.",1333 Flushing Avenue,BROOKLYN,NY,718-381-2106,718-456-4567,Sheldon Teicher,N,N,N,N,5/25/2013,
"ACCURATE SPECIALTY METAL FABRICATORS, INC.",1333 Flushing Avenue,BROOKLYN,NY,718-381-2106,718-456-4567,Sheldon Teicher,N,N,N,N,5/25/2013,
"ACE CONTRACTING, INC.",1990 CONEY ISLAND AVENUE,BROOKLYN,NY,718-998-8437,718-627-3585,Sofia Antoniadis,N,N,N,N,4/21/2012,"15400
"
"ACE CONTRACTING, INC.",1990 CONEY ISLAND AVENUE,BROOKLYN,NY,718-998-8437,718-627-3585,Sofia Antoniadis,N,N,N,N,4/21/2012,"13900
"
"ACE SCAFFOLD CO., INC.",169 Kennedy Drive,Lodi,NJ,973-773-0990,973-773-2988,Arthur Lamendola,N,N,N,N,6/17/2012,"14800
"
"ACE SCAFFOLD CO., INC.",169 Kennedy Drive,Lodi,NJ,973-773-0990,973-773-2988,Arthur Lamendola,N,N,N,N,6/17/2012,
"ACHILLES CONSTRUCTION CO., INC.",262 GREEN STREET,BROOKLYN,NY,718-389-4717,718-389-4719,Maureen Bonal,N,N,N,N,5/11/2013,
"ACHILLES CONSTRUCTION CO., INC.",262 GREEN STREET,BROOKLYN,NY,718-389-4717,718-389-4719,Maureen Bonal,N,N,N,N,5/11/2013,
"ACM Playgrounds, Inc.",157 1/2  Seward Street,Buchanan,NY,914-739-6858,914-736-0554,Patricia Maden,Y,Y,Y,N,8/26/2012,
"ACM Playgrounds, Inc.",157 1/2  Seward Street,Buchanan,NY,914-739-6858,914-736-0554,Patricia Maden,Y,Y,Y,N,8/26/2012,"11480
"
Acme Contracting Corp.,201  Bay 43rd Street,Brooklyn,NY,718-372-0820,718-360-5848,Muhammad Chaudhry,Y,N,N,N,4/7/2014,
Acme Contracting Corp.,201  Bay 43rd Street,Brooklyn,NY,718-372-0820,718-360-5848,Muhammad Chaudhry,Y,N,N,N,4/7/2014,
Acme Contracting Corp.,201  Bay 43rd Street,Brooklyn,NY,718-372-0820,718-360-5848,Muhammad Chaudhry,Y,N,N,N,4/7/2014,
ACME STAGE & SPORTS SPECIALTIES IN,32 East Central Avenue,Pearl River,NY,845-735-0100,845-735-0960,Anne Partridge,N,Y,N,N,8/18/2012,"12490
(42.12384300015441, -73.9338290003081)"
