name,phone,Mn,Tu,We,Th,Fr,Sa,Su,notification,Location 1
Central Library,(718) 990-0700,10:00AM -  9:00PM,10:00AM -  9:00PM,10:00AM -  9:00PM,10:00AM -  9:00PM,10:00AM -  9:00PM,10:00AM -  5:30PM,12:00PM -  5:00PM,,"89 11 Merrick Boulevard
Jamaica, NY 11432
(40.71311535449007, -73.79282099978928)"
Corona,(718) 426-2844,10:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM, 1:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"38 23 104 Street
Corona, NY 11368
(40.749678220373596, -73.85304068857687)"
Court Square,(718) 937-2790,12:00PM -  7:00PM, 1:00PM -  6:00PM,10:00PM -  6:00PM,12:00PM -  6:00PM,12:00PM -  6:00PM,10:00AM -  5:30PM,closed,,"25 01 Jackson Avenue
Long Island City, NY 11101
(40.74570244980828, -73.93866902925225)"
Cyber Center,(718) 990-0700,10:00AM -  8:45PM,10:00AM -  8:45PM,10:00AM -  8:45PM,10:00AM -  8:45PM,10:00AM -  8:45PM,10:00AM -  5:15PM,12:00PM -  4:45PM,,"89 11 Merrick Boulevard
Jamaica, NY 11432
(40.71311535449007, -73.79282099978928)"
Douglaston/Little Neck,(718) 225-8414,closed,closed,closed,closed,closed,closed,closed,,"249 01 Northern Boulevard
Little Neck, NY 11363
(40.772398418252465, -73.74679788741253)"
East Elmhurst,(718) 424-2619, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"95 06 Astoria Boulevard
East Elmhurst, NY 11369
(40.76341327370369, -73.8723788986672)"
East Flushing,(718) 357-6643, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"196 36 Northern Boulevard
Flushing, NY 11358
(40.760350968822195, -73.79632645819947)"
Elmhurst,(718) 271-1020,10:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  8:00PM,10:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"86 01
Elmhurst, NY 11373
(40.73871040256307, -73.87835115518163)"
Far Rockaway,(718) 327-2549, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM,10:00AM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"1637 Central Avenue
Far Rockaway, NY 11691
(40.60476369826094, -73.75234169735829)"
Flushing,(718) 661-1200, 9:00AM -  9:00PM, 9:00AM -  9:00PM, 9:00AM -  9:00PM, 9:00AM -  9:00PM, 9:00AM -  9:00PM, 9:00AM -  9:00PM,closed,,"41 17 Main Street
Flushing, NY 11355
(40.7512997969481, -73.82147854789662)"
Forest Hills,(718) 268-7934, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"108 19 71 Avenue
Forest Hills, NY 11375
(40.720707263029794, -73.84628429608335)"
Fresh Meadows,(718) 454-7272,10:00AM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"193 20 Horace Harding Expressway
Fresh Meadows, NY 11365
(40.73987184371066, -73.79462153515567)"
Glen Oaks,(718) 831-8636, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"256 04 Union Turnpike
Glen Oaks, NY 11004
(40.74323783435864, -73.71201500019208)"
Glendale,(718) 821-4980, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"78 60 73 Place
Glendale, NY 11385
(40.70122489161548, -73.88334858436963)"
Hillcrest,(718) 454-2786,10:00AM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"187 05 Union Turnpike
Flushing, NY 11366
(40.72816440726166, -73.79226817393703)"
Hollis,(718) 465-7355, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"202 05 Hillside Avenue
Hollis, NY 11423
(40.71722229567246, -73.7671414999802)"
Howard Beach,(718) 641-7086, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"92 06 156 Avenue
Howard Beach, NY 11414
(40.65817022817356, -73.84496263981396)"
Jackson Heights,(718) 899-2500,10:00AM -  8:00PM, 1:00AM -  8:00PM,10:00AM -  8:00PM,10:00AM -  6:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"35 51 81 Street
Jackson Heights, NY 11372
(40.75163073936716, -73.88361254528269)"
Job Information Center,(718) 990-0700,10:00AM -  9:00PM,10:00AM -  9:00PM,10:00AM -  9:00PM,10:00AM -  9:00PM,10:00AM -  9:00PM,10:00AM -  5:30PM,12:00PM -  5:00PM,,"89 11 Merrick Boulevard
Jamaica, NY 11432
(40.71311535449007, -73.79282099978928)"
Kew Gardens Hills,(718) 261-6654, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,closed,12:00PM -  5:00PM,,"72 33 Vleigh Place
Flushing, NY 11367
(40.730323085042414, -73.82610630716033)"
Langston Hughes,(718) 651-1100, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00PM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"100 01 Northern Boulevard
Corona, NY 11368
(40.749678220373596, -73.85304068857687)"
Laurelton,(718) 528-2822, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"134 26 225 Street
Laurelton, NY 11413
(40.66971118122609, -73.75087393328533)"
Lefferts,(718) 843-5950, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"103 34 Lefferts Boulevard
Richmond Hill, NY 11419
(40.68871379040917, -73.82288833053201)"
Lefrak City,(718) 592-7677, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"98 30 57 Avenue
Corona, NY 11368
(40.749678220373596, -73.85304068857687)"
Long Island City,(718) 752-3700, 1:00AM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00AM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"37 44 21 Street
Long Island City, NY 11101
(40.74570244980828, -73.93866902925225)"
Long Island Division,(718) 990-0700,10:00AM -  9:00PM,10:00AM -  7:00PM,10:00AM -  7:00PM,10:00AM -  7:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,12:00PM -  5:00PM,,"89 11 Merrick Boulevard
Jamaica, NY 11432
(40.71311535449007, -73.79282099978928)"
Maspeth,(718) 639-5228, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,"Return all Queens Library books, videos, music at Queens Library at Maspeth. Use the self-service book return, available every day and every night. Receipts given for your security.","69 70 Grand Avenue
Maspeth, NY 11378
(40.72145310497689, -73.90854350068196)"
McGoldrick,(718) 461-1616,10:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"155 06 Roosevelt Av (off Northern Blvd
Flushing, NY 11354
(40.76862022064671, -73.82719028070687)"
Middle Village,(718) 326-1390,closed,closed,closed,closed,closed,closed,closed,,"72 31 Metropolitan Avenue
Middle Village, NY 11379
(40.71679766547993, -73.87933421310339)"
Mitchell-Linden,(718) 539-2330,10:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"29 42 Union Street
Flushing, NY 11354
(40.76862022064671, -73.82719028070687)"
North Forest Park,(718) 261-5512, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"98 27 Metropolitan Avenue
Forest Hills, NY 11375
(40.720707263029794, -73.84628429608335)"
North Hills,(718) 225-3550, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  6:00PM,10:00AM -  5:30PM,closed,,"57 04 Marathon Parkway
Little Neck, NY 11362
(40.759074216601846, -73.73430017711144)"
On Order,(718) 990-0700, 1:00PM -  7:00PM, 1:00PM -  5:30PM, 1:00PM -  5:30PM, 1:00PM -  5:30PM, 1:00PM -  5:30PM,10:00AM -  4:00PM,,,"89 11 Merrick Boulevard
Jamaica, NY 11432
(40.71311535449007, -73.79282099978928)"
Ozone Park,(718) 845-3127, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"92 24 Rockaway Boulevard
Ozone Park, NY 11417
(40.6763637308016, -73.84454275534387)"
Peninsula,(718) 634-1110, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"92 25 Rockaway Beach Boulevard
Rockaway Beach, NY 11693
(40.6183036047276, -73.82495531523557)"
Pomonok,(718) 591-4343, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"158 21 Jewel Avenue
Flushing, NY 11365
(40.73987184371066, -73.79462153515567)"
Poppenhusen,(718) 359-1102, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00PM -  6:00PM,10:00AM -  5:30PM,closed,,"121 23 14 Avenue
College Point, NY 11356
(40.7849280967543, -73.84181070040347)"
Queens Village,(718) 776-6800, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"94 11 217 Street
Queens Village, NY 11428
(40.721396964798146, -73.74193729726841)"
Queensboro Hill,(718) 359-8332, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"60 05 Main Street
Flushing, NY 11355
(40.7512997969481, -73.82147854789662)"
Queensbridge,By apptmt only,closed,closed,closed,closed,closed,closed,closed,,"10 43 41 Ave
LIC, NY 11101
(40.74570244980828, -73.93866902925225)"
Ravenswood,By apptmt only,closed,closed,closed,closed,closed,closed,closed,,"35 32 21 St
LIC, NY 11106
(40.761699790013324, -73.9316632529567)"
Rego Park,(718) 459-5140, 1:00AM -  8:00PM, 1:00AM -  6:00PM,10:00AM -  8:00PM, 1:00AM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"91 41 63 Drive
Rego Park, NY 11374
(40.72646491702238, -73.86148084756303)"
Richmond Hill,(718) 849-7150, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM,10:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"118 14 Hillside Avenue
Richmond Hill, NY 11418
(40.69637041236467, -73.84031024991805)"
Ridgewood,(718) 821-4770, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"20 12 Madison Street
Ridgewood, NY 11385
(40.70122489161548, -73.88334858436963)"
Rochdale Village,(718) 723-4440, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"169 09 137 Avenue
Jamaica, NY 11434
(40.6769452621142, -73.77530690169215)"
Rosedale,(718) 528-8490,closed,closed,closed,closed,closed,closed,closed,,"144 20 243 Street
Rosedale, NY 11422
(40.66161349396765, -73.736051726406)"
Seaside,(718) 634-1876, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  6:00PM,10:00AM -  5:30PM,closed,,"116 15 Rockaway Beach Boulevard
Rockaway Park, NY 11694
(40.57657830564432, -73.85077700055808)"
South Hollis,(718) 465-6779, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  6:00PM,10:00AM -  5:30PM,closed,,"204 01 Hollis Avenue
South Hollis, NY 11412
(40.69812711747255, -73.75923519834566)"
South Jamaica,(718) 739-4088, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM,10:00AM -  6:00AM, 1:00PM -  6:00PM,10:00AM -  5:30PM,closed,,"108 41 Guy R Brewer Boulevard
Jamaica, NY 11433
(40.698104881734935, -73.7875740339145)"
South Ozone Park,(718) 529-1660, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  6:00PM,10:00AM -  5:30PM,closed,,"128 16 Rockaway Boulevard
South Ozone Park, NY 11420
(40.67334524268887, -73.81770717164864)"
St. Albans,(718) 528-8196, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"191 05 Linden Boulevard
St Albans, NY 11412
(40.69812711747255, -73.75923519834566)"
Steinway,(718) 728-1965,closed,closed,closed,closed,closed,closed,closed,,"21 45 31 Street
Long Island City, NY 11105
(40.780092072491186, -73.90960650023976)"
Sunnyside,(718) 784-3033, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"43 06 Greenpoint Avenue
Long Island City, NY 11104
(40.74489336663561, -73.92054134530679)"
Whitestone,(718) 767-8010, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"151 10 14 Road
Whitestone, NY 11357
(40.78628404147537, -73.81123206101074)"
Windsor Park,(718) 468-8300, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"79 50 Bell Boulevard
Bayside, NY 11364
(40.745924680379744, -73.75790275560763)"
Woodhaven,(718) 849-1010, 1:00PM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"85 41 Forest Parkway
Woodhaven, NY 11421
(40.69176458756573, -73.85702228584978)"
Woodside,(718) 429-4700,10:00AM -  8:00PM, 1:00PM -  6:00PM,10:00AM -  6:00PM, 1:00PM -  8:00PM,10:00AM -  6:00PM,10:00AM -  5:30PM,closed,,"54 22 Skillman Avenue
Woodside, NY 11377
(40.74519376448069, -73.9048471440804)"
