Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort,Total Regents Num,Total Regents Pct of cohort,Total Regents Pct of grads,Advanced Regents Num,Advanced Regents Pct of cohort,Advanced Regents Pct of grads,Regents w/o Advanced Num,Regents w/o Advanced Pct of cohort,Regents w/o Advanced Pct of grads,Local Num,Local Pct of cohort,Local Pct of grads,Still Enrolled Num,Still Enrolled Pct of cohort,Dropped Out Num,Dropped Out Pct of cohort
2005,5 Year,English Language Learner,"8,743","4,546",52.00%,"2,232",25.50%,49.10%,642,7.30%,14.10%,"1,590",18.20%,35.00%,"2,314",26.50%,50.90%,"1,016",11.60%,"2,531",28.90%
2005,6 Year,English Language Learner,"8,673","4,852",55.90%,"2,304",26.60%,47.50%,647,7.50%,13.30%,"1,657",19.10%,34.20%,"2,548",29.40%,52.50%,454,5.20%,"2,711",31.30%
2006,4 Year  June,English Language Learner,"9,056","3,755",41.50%,"2,437",26.90%,64.90%,593,6.50%,15.80%,"1,844",20.40%,49.10%,"1,318",14.60%,35.10%,"3,002",33.10%,"1,797",19.80%
2006,4 Year August,English Language Learner,"9,056","4,175",46.10%,"2,573",28.40%,61.60%,608,6.70%,14.60%,"1,965",21.70%,47.10%,"1,602",17.70%,38.40%,"2,588",28.60%,"1,791",19.80%
2006,5 Year  June,English Language Learner,"9,158","4,775",52.10%,"2,783",30.40%,58.30%,633,6.90%,13.30%,"2,150",23.50%,45.00%,"1,992",21.80%,41.70%,"1,095",12.00%,"2,575",28.10%
2006,5 Year August,English Language Learner,"9,158","4,878",53.30%,"2,812",30.70%,57.60%,633,6.90%,13.00%,"2,179",23.80%,44.70%,"2,066",22.60%,42.40%,"1,005",11.00%,"2,559",27.90%
2007,4 Year  June,English Language Learner,"9,444","3,720",39.40%,"2,765",29.30%,74.30%,562,6.00%,15.10%,"2,203",23.30%,59.20%,955,10.10%,25.70%,"3,407",36.10%,"1,896",20.10%
2007,4 Year August,English Language Learner,"9,444","4,263",45.10%,"3,013",31.90%,70.70%,575,6.10%,13.50%,"2,438",25.80%,57.20%,"1,250",13.20%,29.30%,"2,881",30.50%,"1,883",19.90%
2001,4 Year  June,English Language Proficient,"63,603","31,712",49.90%,"21,205",33.30%,66.90%,"8,934",14.00%,28.20%,"12,271",19.30%,38.70%,"10,530",16.60%,33.20%,"17,199",27.00%,"13,117",20.60%
2001,5 Year,English Language Proficient,"63,603","37,397",58.80%,"22,692",35.70%,60.70%,"9,078",14.30%,24.30%,"13,614",21.40%,36.40%,"14,764",23.20%,39.50%,"6,819",10.70%,"17,189",27.00%
2001,6 Year,English Language Proficient,"63,603","39,055",61.40%,"23,047",36.20%,59.00%,"9,093",14.30%,23.30%,"13,954",21.90%,35.70%,"16,152",25.40%,41.40%,"3,241",5.10%,"18,940",29.80%
2002,4 Year  June,English Language Proficient,"67,057","34,861",52.00%,"24,459",36.50%,70.20%,"9,303",13.90%,26.70%,"15,156",22.60%,43.50%,"10,427",15.50%,29.90%,"18,659",27.80%,"11,428",17.00%
2002,5 Year,English Language Proficient,"67,057","41,481",61.90%,"26,684",39.80%,64.30%,"9,569",14.30%,23.10%,"17,115",25.50%,41.30%,"15,047",22.40%,36.30%,"7,470",11.10%,"15,393",23.00%
2002,6 Year,English Language Proficient,"67,057","43,338",64.60%,"27,081",40.40%,62.50%,"9,583",14.30%,22.10%,"17,498",26.10%,40.40%,"16,507",24.60%,38.10%,"4,032",6.00%,"16,784",25.00%
2003,4 Year  June,English Language Proficient,"65,725","36,938",56.20%,"26,536",40.40%,71.80%,"11,066",16.80%,30.00%,"15,470",23.50%,41.90%,"10,402",15.80%,28.20%,"17,993",27.40%,"9,310",14.20%
2003,5 Year,English Language Proficient,"65,725","43,160",65.70%,"28,728",43.70%,66.60%,"11,236",17.10%,26.00%,"17,492",26.60%,40.50%,"14,432",22.00%,33.40%,"7,193",10.90%,"12,984",19.80%
2003,6 Year,English Language Proficient,"65,986","45,192",68.50%,"29,267",44.40%,64.80%,"11,244",17.00%,24.90%,"18,023",27.30%,39.90%,"15,925",24.10%,35.20%,"3,550",5.40%,"14,156",21.50%
2004,4 Year  June,English Language Proficient,"66,523","39,274",59.00%,"29,148",43.80%,74.20%,"12,105",18.20%,30.80%,"17,043",25.60%,43.40%,"10,126",15.20%,25.80%,"17,556",26.40%,"8,287",12.50%
2004,4 Year August,English Language Proficient,"66,523","42,086",63.30%,"30,377",45.70%,72.20%, n/a , n/a , n/a , n/a , n/a , n/a ,"11,713",17.60%,27.80%,"14,746",22.20%,"8,286",12.50%
2004,5 Year,English Language Proficient,"67,305","45,894",68.20%,"31,740",47.20%,69.20%,"12,283",18.20%,26.80%,"19,457",28.90%,42.40%,"14,154",21.00%,30.80%,"6,214",9.20%,"11,397",16.90%
2004,6 Year,English Language Proficient,"67,355","47,985",71.20%,"32,358",48.00%,67.40%,"12,282",18.20%,25.60%,"20,076",29.80%,41.80%,"15,627",23.20%,32.60%,"3,849",5.70%,"12,596",18.70%
2005,4 Year  June,English Language Proficient,"68,600","42,134",61.40%,"32,581",47.50%,77.30%,"11,929",17.40%,28.30%,"20,652",30.10%,49.00%,"9,553",13.90%,22.70%,"16,283",23.70%,"7,457",10.90%
2005,4 Year August,English Language Proficient,"68,600","44,600",65.00%,"33,703",49.10%,75.60%,"12,023",17.50%,27.00%,"21,680",31.60%,48.60%,"10,897",15.90%,24.40%,"13,822",20.10%,"7,455",10.90%
2005,5 Year,English Language Proficient,"69,404","48,442",69.80%,"35,379",51.00%,73.00%,"12,132",17.50%,25.00%,"23,247",33.50%,48.00%,"13,063",18.80%,27.00%,"5,650",8.10%,"11,728",16.90%
2005,6 Year,English Language Proficient,"69,321","50,425",72.70%,"36,008",51.90%,71.40%,"12,136",17.50%,24.10%,"23,872",34.40%,47.30%,"14,417",20.80%,28.60%,"2,971",4.30%,"12,379",17.90%
2006,4 Year  June,English Language Proficient,"69,290","44,031",63.50%,"36,133",52.10%,82.10%,"12,292",17.70%,27.90%,"23,841",34.40%,54.10%,"7,898",11.40%,17.90%,"15,135",21.80%,"7,700",11.10%
2006,4 Year August,English Language Proficient,"69,290","46,831",67.60%,"37,578",54.20%,80.20%,"12,393",17.90%,26.50%,"25,185",36.30%,53.80%,"9,253",13.40%,19.80%,"12,387",17.90%,"7,649",11.00%
2006,5 Year  June,English Language Proficient,"69,998","50,161",71.70%,"39,135",55.90%,78.00%,"12,442",17.80%,24.80%,"26,693",38.10%,53.20%,"11,026",15.80%,22.00%,"5,133",7.30%,"11,527",16.50%
2006,5 Year August,English Language Proficient,"69,998","50,830",72.60%,"39,377",56.30%,77.50%,"12,442",17.80%,24.50%,"26,935",38.50%,53.00%,"11,453",16.40%,22.50%,"4,645",6.60%,"11,317",16.20%
2007,4 Year  June,English Language Proficient,"70,032","44,660",63.80%,"39,341",56.20%,88.10%,"12,396",17.70%,27.80%,"26,945",38.50%,60.30%,"5,319",7.60%,11.90%,"15,553",22.20%,"7,844",11.20%
2007,4 Year August,English Language Proficient,"70,032","47,806",68.30%,"41,203",58.80%,86.20%,"12,502",17.90%,26.20%,"28,701",41.00%,60.00%,"6,603",9.40%,13.80%,"12,522",17.90%,"7,748",11.10%
